"ple0040","year","migback","sex","n","percent","lower_confidence","upper_confidence","value"
"Yes","2012","direct migration background","Male","134","0.106354821049535","0.0899519709447414","0.122757671154328","1"
"Yes","2012","direct migration background","Female","120","0.0912840858249046","0.0775445053515098","0.105023666298299","1"
"Yes","2012","indirect migration background","Male","32","0.0796473606025688","0.0574596290916228","0.101835092113515","1"
"Yes","2012","indirect migration background","Female","32","0.056741659562412","0.0396522087936985","0.0738311103311255","1"
"No","2013","no migration background","Male","8651","0.840247919228437","0.833100595959175","0.847395242497699","2"
"No","2013","no migration background","Female","10691","0.856222873389998","0.849953595911669","0.862492150868328","2"
"No","2013","direct migration background","Male","2649","0.888460926241827","0.876965921756609","0.899955930727046","2"
"No","2013","direct migration background","Female","3319","0.897743118778877","0.887733925556321","0.907752312001433","2"
"No","2013","indirect migration background","Male","982","0.933998451650639","0.918761498043569","0.949235405257709","2"
"No","2013","indirect migration background","Female","1066","0.95082325701804","0.938108125976128","0.963538388059952","2"
"Yes","2013","no migration background","Male","1443","0.159752080771563","0.152604757502301","0.166899404040825","1"
"Yes","2013","no migration background","Female","1341","0.143777126610001","0.137507849131672","0.150046404088331","1"
"Yes","2013","direct migration background","Male","232","0.111539073758173","0.100044069272954","0.123034078243391","1"
"Yes","2013","direct migration background","Female","201","0.102256881221123","0.0922476879985669","0.112266074443679","1"
"Yes","2013","indirect migration background","Male","38","0.0660015483493608","0.0507645947422907","0.081238501956431","1"
"Yes","2013","indirect migration background","Female","45","0.0491767429819601","0.0364616119400481","0.0618918740238721","1"
"No","2014","no migration background","Male","7900","0.833055951778272","0.825477465310744","0.8406344382458","2"
"No","2014","no migration background","Female","9590","0.848140951264057","0.841414083192995","0.854867819335119","2"
"No","2014","direct migration background","Male","2122","0.886524819446347","0.873643533016866","0.899406105875828","2"
"No","2014","direct migration background","Female","2612","0.895520797078918","0.884184933226832","0.906856660931004","2"
"No","2014","indirect migration background","Male","797","0.934391959005635","0.917608246426003","0.951175671585266","2"
"No","2014","indirect migration background","Female","917","0.926706394767652","0.910185891728929","0.943226897806376","2"
"Yes","2014","no migration background","Male","1402","0.166944048221728","0.1593655617542","0.174522534689256","1"
"Yes","2014","no migration background","Female","1344","0.151859048735943","0.145132180664881","0.158585916807005","1"
"Yes","2014","direct migration background","Male","207","0.113475180553653","0.100593894124172","0.126356466983134","1"
"Yes","2014","direct migration background","Female","185","0.104479202921082","0.0931433390689965","0.115815066773168","1"
"Yes","2014","indirect migration background","Male","39","0.0656080409943655","0.0488243284147339","0.0823917535739971","1"
"Yes","2014","indirect migration background","Female","39","0.0732936052323477","0.0567731021936245","0.0898141082710708","1"
"No","2015","no migration background","Male","7566","0.83444199420005","0.826693895793534","0.842190092606566","2"
"No","2015","no migration background","Female","9084","0.846819561760296","0.8398889421366","0.853750181383992","2"
"No","2015","direct migration background","Male","2538","0.888031330164103","0.876191997019652","0.899870663308554","2"
"No","2015","direct migration background","Female","3043","0.926378487852505","0.917325887033063","0.935431088671947","2"
"No","2015","indirect migration background","Male","743","0.944156302115263","0.927979724594482","0.960332879636043","2"
"No","2015","indirect migration background","Female","873","0.943179710174873","0.928171671497926","0.95818774885182","2"
"Yes","2015","no migration background","Male","1274","0.16555800579995","0.157809907393434","0.173306104206466","1"
"Yes","2015","no migration background","Female","1290","0.153180438239704","0.146249818616008","0.1601110578634","1"
"Yes","2015","direct migration background","Male","187","0.111968669835897","0.100129336691446","0.123808002980348","1"
"Yes","2015","direct migration background","Female","154","0.0736215121474946","0.0645689113280526","0.0826741129669367","1"
"Yes","2015","indirect migration background","Male","31","0.0558436978847372","0.0396671203639567","0.0720202754055177","1"
"Yes","2015","indirect migration background","Female","41","0.0568202898251269","0.0418122511481799","0.0718283285020739","1"
"No","2016","no migration background","Male","7019","0.83357884333192","0.825526122705182","0.841631563958658","2"
"No","2016","no migration background","Female","8457","0.851974163522536","0.844894596950235","0.859053730094838","2"
"No","2016","direct migration background","Male","2038","0.885026134687137","0.871753808280527","0.898298461093747","2"
"No","2016","direct migration background","Female","2530","0.920878165327106","0.910645285496814","0.931111045157398","2"
"No","2016","indirect migration background","Male","686","0.948656454607325","0.932502237201303","0.964810672013347","2"
"No","2016","indirect migration background","Female","817","0.952324825981245","0.938025608487326","0.966624043475165","2"
"Yes","2016","no migration background","Male","1199","0.16642115666808","0.158368436041342","0.174473877294818","1"
"Yes","2016","no migration background","Female","1209","0.148025836477464","0.140946269905162","0.155105403049765","1"
"Yes","2016","direct migration background","Female","143","0.0791218346728943","0.0688889548426022","0.0893547145031864","1"
"Yes","2016","direct migration background","Male","181","0.114973865312863","0.101701538906253","0.128246191719473","1"
"Yes","2016","indirect migration background","Male","31","0.0513435453926749","0.0351893279866525","0.0674977627986973","1"
"Yes","2016","indirect migration background","Female","36","0.047675174018755","0.0333759565248355","0.0619743915126745","1"
"No","2017","no migration background","Male","8133","0.841863359000197","0.834505335354488","0.849221382645906","2"
"No","2017","no migration background","Female","9490","0.850555698231017","0.843843503044175","0.857267893417858","2"
"No","2017","direct migration background","Male","1898","0.87954000206602","0.865558399522023","0.893521604610017","2"
"No","2017","direct migration background","Female","2423","0.914462477786639","0.903670537937809","0.925254417635469","2"
"No","2017","indirect migration background","Male","739","0.93267301957334","0.915165686257661","0.95018035288902","2"
"No","2017","indirect migration background","Female","885","0.962800399203976","0.950611068267201","0.974989730140752","2"
"Yes","2017","no migration background","Male","1313","0.158136640999803","0.150778617354094","0.165494664645512","1"
"Yes","2017","no migration background","Female","1348","0.149444301768983","0.142732106582142","0.156156496955825","1"
"Yes","2017","direct migration background","Female","157","0.0855375222133611","0.0747455823645308","0.0963294620621915","1"
"Yes","2017","direct migration background","Male","184","0.12045999793398","0.106478395389983","0.134441600477977","1"
"Yes","2017","indirect migration background","Female","41","0.0371996007960237","0.0250102698592482","0.0493889317327992","1"
"Yes","2017","indirect migration background","Male","48","0.0673269804266598","0.0498196471109803","0.0848343137423393","1"
"No","2018","no migration background","Male","7759","0.841057810757153","0.833539536837187","0.84857608467712","2"
"No","2018","no migration background","Female","9138","0.851617869790937","0.844818855633471","0.858416883948403","2"
"No","2018","direct migration background","Male","1802","0.869203561380372","0.854381841231476","0.884025281529269","2"
"No","2018","direct migration background","Female","2282","0.927754367263764","0.917498681925333","0.938010052602195","2"
"No","2018","indirect migration background","Male","718","0.912580209186909","0.892668948948079","0.932491469425738","2"
"No","2018","indirect migration background","Female","887","0.946749505974468","0.932372857304162","0.961126154644773","2"
"Yes","2018","no migration background","Male","1326","0.158942189242847","0.15142391532288","0.166460463162813","1"
"Yes","2018","no migration background","Female","1363","0.148382130209063","0.141583116051597","0.155181144366529","1"
"Yes","2018","direct migration background","Male","186","0.130796438619628","0.115974718470731","0.145618158768524","1"
"Yes","2018","direct migration background","Female","166","0.0722456327362362","0.0619899473978051","0.0825013180746673","1"
"Yes","2018","indirect migration background","Male","55","0.0874197908130913","0.0675085305742616","0.107331051051921","1"
"Yes","2018","indirect migration background","Female","50","0.0532504940255324","0.0388738453552265","0.0676271426958382","1"
"No","2019","no migration background","Male","8425","0.843349813189596","0.836142922756877","0.850556703622315","2"
"No","2019","no migration background","Female","9157","0.852314464886476","0.845519914615269","0.859109015157683","2"
"No","2019","direct migration background","Male","1590","0.875512003882675","0.860004442959577","0.891019564805773","2"
"No","2019","direct migration background","Female","1967","0.91760280472184","0.90585359099681","0.92935201844687","2"
"No","2019","indirect migration background","Male","740","0.914657623174147","0.895260801348663","0.934054444999632","2"
"No","2019","indirect migration background","Female","861","0.94901004470591","0.934662356310244","0.963357733101577","2"
"Yes","2019","no migration background","Male","1346","0.156650186810404","0.149443296377685","0.163857077243123","1"
"Yes","2019","no migration background","Female","1317","0.147685535113524","0.140890984842317","0.154480085384731","1"
"Yes","2019","direct migration background","Male","151","0.124487996117325","0.108980435194227","0.139995557040424","1"
"Yes","2019","indirect migration background","Male","57","0.0853423768258526","0.065945555000368","0.104739198651337","1"
"Yes","2019","direct migration background","Female","137","0.0823971952781599","0.0706479815531295","0.0941464090031902","1"
"Yes","2019","indirect migration background","Female","42","0.0509899552940899","0.0366422668984234","0.0653376436897564","1"
