"ple0040","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Yes","2001","66 and older","East Germany","135","0.162263613068834","0.137375122157072","0.187152103980596","1"
"No","2002","16-34 y.","West Germany","4564","0.973494661458125","0.968884647024938","0.978104675891313","2"
"No","2002","66 and older","West Germany","1971","0.70964826248149","0.692570657809907","0.726725867153074","2"
"No","2002","16-34 y.","East Germany","1460","0.977611776593299","0.97010494440159","0.985118608785007","2"
"No","2002","35-65 y.","West Germany","9036","0.865495091447093","0.858878885425064","0.872111297469122","2"
"No","2002","35-65 y.","East Germany","2684","0.863029107753298","0.850817262095078","0.875240953411518","2"
"No","2002","66 and older","East Germany","732","0.813536702178595","0.787977286584715","0.839096117772475","2"
"Yes","2002","16-34 y.","West Germany","100","0.0265053385418748","0.0218953241086874","0.0311153529750621","1"
"Yes","2002","35-65 y.","West Germany","1180","0.134504908552907","0.127888702530878","0.141121114574936","1"
"Yes","2002","35-65 y.","East Germany","361","0.136970892246702","0.124759046588482","0.149182737904922","1"
"Yes","2002","66 and older","West Germany","743","0.29035173751851","0.273274132846926","0.307429342190093","1"
"Yes","2002","16-34 y.","East Germany","32","0.0223882234067013","0.014881391214993","0.0298950555984096","1"
"Yes","2002","66 and older","East Germany","160","0.186463297821405","0.160903882227525","0.212022713415285","1"
"No","2003","16-34 y.","West Germany","4313","0.975378113427122","0.970804326145251","0.979951900708992","2"
"No","2003","16-34 y.","East Germany","1431","0.976717535659114","0.968977048495871","0.984458022822356","2"
"No","2003","35-65 y.","West Germany","8567","0.869784689590797","0.863078751977055","0.87649062720454","2"
"No","2003","66 and older","West Germany","1978","0.708754209356598","0.691773360424934","0.725735058288263","2"
"No","2003","35-65 y.","East Germany","2618","0.868666311570523","0.856529093186988","0.880803529954058","2"
"No","2003","66 and older","East Germany","756","0.817994964386546","0.79295304063197","0.843036888141122","2"
"Yes","2003","16-34 y.","West Germany","97","0.0246218865728784","0.0200480992910081","0.0291956738547487","1"
"Yes","2003","35-65 y.","West Germany","1108","0.130215310409203","0.12350937279546","0.136921248022945","1"
"Yes","2003","35-65 y.","East Germany","357","0.131333688429478","0.119196470045943","0.143470906813013","1"
"Yes","2003","16-34 y.","East Germany","27","","","","1"
"Yes","2003","66 and older","West Germany","772","0.291245790643402","0.274264941711737","0.308226639575067","1"
"Yes","2003","66 and older","East Germany","156","0.182005035613454","0.156963111858878","0.20704695936803","1"
"No","2004","16-34 y.","West Germany","4115","0.975176595303979","0.97047623730701","0.979876953300948","2"
"No","2004","16-34 y.","East Germany","1391","0.964681952159833","0.955108371309267","0.974255533010399","2"
"No","2004","35-65 y.","West Germany","8279","0.863842918904029","0.8569025240853","0.870783313722759","2"
"No","2004","66 and older","West Germany","2028","0.706514164495447","0.689713610769512","0.723314718221382","2"
