"ple0040","year","migback","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Yes","2013","indirect migration background","West Germany","75","0.0530390857754483","0.0432803757752208","0.0627977957756758","1"
"Yes","2013","indirect migration background","East Germany","8","","","","1"
"No","2014","no migration background","West Germany","13020","0.838605072648363","0.832733858673795","0.844476286622931","2"
"No","2014","no migration background","East Germany","4470","0.849153714236143","0.839381826090623","0.858925602381664","2"
"No","2014","direct migration background","West Germany","4416","0.891725564835616","0.882917767940806","0.900533361730427","2"
"No","2014","direct migration background","East Germany","318","0.879415717526354","0.845053513913416","0.913777921139291","2"
"No","2014","indirect migration background","West Germany","1618","0.930727621957903","0.918618166443529","0.942837077472277","2"
"No","2014","indirect migration background","East Germany","96","0.933556956849888","0.88545921953312","0.981654694166655","2"
"Yes","2014","no migration background","West Germany","2063","0.161394927351637","0.155523713377069","0.167266141326205","1"
"Yes","2014","no migration background","East Germany","683","0.150846285763857","0.141074397618336","0.160618173909378","1"
"Yes","2014","direct migration background","West Germany","365","0.108274435164383","0.0994666382695731","0.117082232059194","1"
"Yes","2014","direct migration background","East Germany","27","","","","1"
"Yes","2014","indirect migration background","West Germany","71","0.069272378042097","0.057162922527723","0.0813818335564711","1"
"Yes","2014","indirect migration background","East Germany","7","","","","1"
"No","2015","no migration background","West Germany","12393","0.837052163714514","0.831005786304989","0.843098541124039","2"
"No","2015","no migration background","East Germany","4257","0.854927307865134","0.845048452355571","0.864806163374697","2"
"No","2015","direct migration background","West Germany","5176","0.908895409921695","0.901285660158723","0.916505159684668","2"
"No","2015","direct migration background","East Germany","405","0.884969480332018","0.854777602005813","0.915161358658223","2"
"No","2015","indirect migration background","West Germany","1517","0.944235171409924","0.932931281843475","0.955539060976373","2"
"No","2015","indirect migration background","East Germany","99","0.931689055119686","0.883434970149765","0.979943140089607","2"
"Yes","2015","no migration background","West Germany","1939","0.162947836285486","0.156901458875961","0.168994213695011","1"
"Yes","2015","no migration background","East Germany","625","0.145072692134866","0.135193836625303","0.154951547644429","1"
"Yes","2015","direct migration background","West Germany","317","0.0911045900783048","0.083494840315332","0.0987143398412775","1"
"Yes","2015","direct migration background","East Germany","24","","","","1"
"Yes","2015","indirect migration background","West Germany","66","0.0557648285900759","0.0444609390236269","0.0670687181565248","1"
"Yes","2015","indirect migration background","East Germany","6","","","","1"
"No","2016","no migration background","West Germany","11480","0.839029437316012","0.832782989921061","0.845275884710964","2"
"No","2016","no migration background","East Germany","3996","0.858011228007181","0.847910394606417","0.868112061407946","2"
"No","2016","direct migration background","West Germany","4234","0.903593615145115","0.895004448209365","0.912182782080864","2"
"No","2016","direct migration background","East Germany","334","0.901383584423178","0.870412777488129","0.932354391358228","2"
"No","2016","indirect migration background","West Germany","1399","0.94882628057921","0.937531150178548","0.960121410979871","2"
"No","2016","indirect migration background","East Germany","104","0.979925806649486","0.953474211792359","1.00637740150661","2"
"Yes","2016","no migration background","West Germany","1817","0.160970562683988","0.154724115289036","0.167217010078939","1"
"Yes","2016","no migration background","East Germany","591","0.141988771992819","0.131887938592054","0.152089605393583","1"
"Yes","2016","direct migration background","East Germany","22","","","","1"
"Yes","2016","direct migration background","West Germany","302","0.0964063848548852","0.0878172179191358","0.104995551790635","1"
"Yes","2016","indirect migration background","West Germany","63","0.0511737194207902","0.0398785890201288","0.0624688498214516","1"
"Yes","2016","indirect migration background","East Germany","4","","","","1"
"No","2017","no migration background","West Germany","13124","0.842355130022181","0.836548606885217","0.848161653159145","2"
"No","2017","no migration background","East Germany","4499","0.861428565079794","0.851996161478004","0.870860968681583","2"
"No","2017","direct migration background","West Germany","3972","0.896676937802055","0.887571846999529","0.905782028604581","2"
"No","2017","direct migration background","East Germany","349","0.92477407437657","0.897862661388288","0.951685487364851","2"
"No","2017","indirect migration background","West Germany","1523","0.947626767256688","0.936731229471734","0.958522305041643","2"
"No","2017","indirect migration background","East Germany","101","0.936763856662054","0.890647610073194","0.982880103250913","2"
"Yes","2017","no migration background","West Germany","2006","0.157644869977819","0.151838346840855","0.163451393114783","1"
"Yes","2017","no migration background","East Germany","655","0.138571434920206","0.129139031318417","0.148003838521996","1"
"Yes","2017","direct migration background","East Germany","20","","","","1"
"Yes","2017","direct migration background","West Germany","321","0.103323062197945","0.0942179713954188","0.112428153000471","1"
"Yes","2017","indirect migration background","East Germany","6","","","","1"
"Yes","2017","indirect migration background","West Germany","83","0.0523732327433116","0.041477694958357","0.0632687705282663","1"
"No","2018","no migration background","West Germany","12542","0.845291365293419","0.839415024993518","0.85116770559332","2"
"No","2018","no migration background","East Germany","4355","0.850862752499218","0.841026224617169","0.860699280381268","2"
"No","2018","direct migration background","West Germany","3749","0.895801231024102","0.88643575688467","0.905166705163534","2"
"No","2018","direct migration background","East Germany","335","0.979739108187906","0.964936338917904","0.994541877457907","2"
"No","2018","indirect migration background","West Germany","1493","0.927887043184461","0.915164408745694","0.940609677623227","2"
"No","2018","indirect migration background","East Germany","112","0.955509692848194","0.918923398323549","0.992095987372839","2"
"Yes","2018","no migration background","West Germany","2006","0.154708634706581","0.14883229440668","0.160584975006482","1"
"Yes","2018","no migration background","East Germany","683","0.149137247500781","0.139300719618732","0.158973775382831","1"
"Yes","2018","direct migration background","West Germany","339","0.104198768975898","0.0948332948364655","0.11356424311533","1"
"Yes","2018","direct migration background","East Germany","13","","","","1"
"Yes","2018","indirect migration background","West Germany","95","0.0721129568155393","0.0593903223767728","0.0848355912543057","1"
"Yes","2018","indirect migration background","East Germany","10","","","","1"
"No","2019","no migration background","West Germany","13072","0.847508489722333","0.841762532972873","0.853254446471792","2"
"No","2019","no migration background","East Germany","4457","0.849516413348106","0.839747558558049","0.859285268138162","2"
"No","2019","direct migration background","West Germany","3277","0.894748473046941","0.884656494979819","0.904840451114062","2"
"No","2019","direct migration background","East Germany","278","0.952417880414499","0.927916827163816","0.976918933665182","2"
"No","2019","indirect migration background","West Germany","1472","0.93219928166365","0.919735778405363","0.944662784921937","2"
"No","2019","indirect migration background","East Germany","125","0.925941547589704","0.881269050683575","0.970614044495832","2"
"Yes","2019","no migration background","West Germany","1965","0.152491510277667","0.146745553528208","0.158237467027127","1"
"Yes","2019","no migration background","East Germany","689","0.150483586651894","0.140714731861838","0.160252441441951","1"
"Yes","2019","direct migration background","West Germany","275","0.105251526953059","0.0951595488859377","0.115343505020181","1"
"Yes","2019","indirect migration background","West Germany","91","0.0678007183363501","0.0553372150780632","0.080264221594637","1"
"Yes","2019","direct migration background","East Germany","12","","","","1"
"Yes","2019","indirect migration background","East Germany","7","","","","1"
