"ple0040","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Yes","2010","Couple + C. LE and GT 16","87","0.0586275358443562","0.0471911671140663","0.0700639045746461"
"No","2010","1-pers.-HH","2229","0.813592832907198","0.799029739953114","0.828155925861283"
"No","2010","(Married) couple without C. ","5118","0.810885669699511","0.801216584578933","0.82055475482009"
"No","2010","Single parent ","2146","0.927750220496984","0.917113793631672","0.938386647362295"
"No","2010","Couple + C. LE 16 ","7535","0.957002327538422","0.952493942372816","0.961510712704027"
"No","2010","Couple + C. GT 16 ","2621","0.907552193383764","0.896980743038862","0.918123643728665"
"No","2010","Couple + C. LE and GT 16","1534","0.941372464155644","0.929936095425354","0.952808832885934"
"Yes","2011","1-pers.-HH","671","0.184079610029046","0.171375717709768","0.196783502348323"
"Yes","2011","(Married) couple without C. ","1504","0.180469960347188","0.17208501111094","0.188854909583436"
"Yes","2011","Single parent ","191","0.0825140346299751","0.0724177675282896","0.0926103017316606"
"Yes","2011","Couple + C. LE 16 ","268","0.0429554392545583","0.0385135296831794","0.0473973488259372"
"Yes","2011","Couple + C. GT 16 ","306","0.0961289701974161","0.0860274160215115","0.106230524373321"
"Yes","2011","Couple + C. LE and GT 16","113","0.0572001553042714","0.0472034521752788","0.0671968584332639"
"No","2011","1-pers.-HH","2904","0.815920389970954","0.803216497651677","0.828624282290232"
"No","2011","(Married) couple without C. ","6577","0.819530039652812","0.811145090416564","0.82791498888906"
"No","2011","Single parent ","2662","0.917485965370025","0.907389698268339","0.92758223247171"
"No","2011","Couple + C. LE 16 ","7736","0.957044560745442","0.952602651174063","0.961486470316821"
"No","2011","Couple + C. GT 16 ","2965","0.903871029802584","0.893769475626679","0.913972583978488"
"No","2011","Couple + C. LE and GT 16","1960","0.942799844695729","0.932803141566736","0.952796547824721"
"Yes","2012","1-pers.-HH","723","0.188825974540412","0.176289712650208","0.201362236430616"
"Yes","2012","(Married) couple without C. ","1574","0.184516717286992","0.176103885521844","0.192929549052139"
"Yes","2012","Single parent ","222","0.0916570243333084","0.0809292006887165","0.1023848479779"
"Yes","2012","Couple + C. LE 16 ","263","0.0460100860792014","0.0412083452149315","0.0508118269434714"
"Yes","2012","Couple + C. GT 16 ","299","0.0955610646486236","0.0852054059185305","0.105916723378717"
"Yes","2012","Couple + C. LE and GT 16","126","0.0732265099285937","0.0619219417786572","0.0845310780785303"
"No","2012","1-pers.-HH","3021","0.811174025459588","0.798637763569384","0.823710287349792"
"No","2012","(Married) couple without C. ","6593","0.815483282713008","0.807070450947861","0.823896114478156"
"No","2012","Single parent ","2557","0.908342975666692","0.8976151520221","0.919070799311283"
"No","2012","Couple + C. LE 16 ","7050","0.953989913920799","0.949188173056529","0.958791654785069"
"No","2012","Couple + C. GT 16 ","2797","0.904438935351376","0.894083276621283","0.91479459408147"
"No","2012","Couple + C. LE and GT 16","1914","0.926773490071406","0.91546892192147","0.938078058221343"
"Yes","2013","1-pers.-HH","696","0.186592476347863","0.174407665348353","0.198777287347373"
"Yes","2013","(Married) couple without C. ","1504","0.183116135218151","0.174891628395381","0.191340642040921"
"Yes","2013","Single parent ","228","0.0967563981373284","0.0860993195202736","0.107413476754383"
"Yes","2013","Couple + C. LE 16 ","303","0.0408396984123227","0.0365556486310545","0.0451237481935909"
"Yes","2013","Couple + C. GT 16 ","314","0.0949472261332791","0.0851197917124694","0.104774660554089"
"Yes","2013","Couple + C. LE and GT 16","135","0.0628022690995608","0.053408025658061","0.0721965125410606"
"No","2013","1-pers.-HH","3231","0.813407523652137","0.801222712652627","0.825592334651646"
"No","2013","(Married) couple without C. ","6991","0.816883864781849","0.808659357959079","0.825108371604619"
"No","2013","Single parent ","2728","0.903243601862672","0.892586523245617","0.913900680479726"
"No","2013","Couple + C. LE 16 ","7896","0.959160301587677","0.954876251806409","0.963444351368945"
"No","2013","Couple + C. GT 16 ","3104","0.905052773866721","0.895225339445911","0.914880208287531"
"No","2013","Couple + C. LE and GT 16","2427","0.937197730900439","0.927803487458939","0.946591974341939"
"Yes","2014","1-pers.-HH","710","0.199954396975232","0.186987763018041","0.212921030932424"
"Yes","2014","(Married) couple without C. ","1504","0.185911587976564","0.177386099743844","0.194437076209284"
"Yes","2014","Single parent ","223","0.11563597429847","0.102973252520288","0.128298696076651"
"Yes","2014","Couple + C. LE 16 ","265","0.0433546164977469","0.0385360717254107","0.0481731612700831"
"Yes","2014","Couple + C. GT 16 ","293","0.102809192163367","0.0920746404640576","0.113543743862677"
"Yes","2014","Couple + C. LE and GT 16","114","0.0586081566989239","0.048887453098945","0.0683288602989028"
"No","2014","1-pers.-HH","2945","0.800045603024768","0.787078969067576","0.813012236981959"
"No","2014","(Married) couple without C. ","6495","0.814088412023436","0.805562923790716","0.822613900256156"
"No","2014","Single parent ","2227","0.88436402570153","0.871701303923348","0.897026747479712"
"No","2014","Couple + C. LE 16 ","6597","0.956645383502253","0.951826838729917","0.961463928274589"
"No","2014","Couple + C. GT 16 ","2782","0.897190807836633","0.886456256137323","0.907925359535942"
"No","2014","Couple + C. LE and GT 16","2129","0.941391843301076","0.931671139701097","0.951112546901055"
"Yes","2015","1-pers.-HH","664","0.200844647437279","0.187958254978011","0.213731039896546"
"Yes","2015","(Married) couple without C. ","1403","0.182418453267039","0.173906785070713","0.190930121463364"
"Yes","2015","Single parent ","220","0.0996199508461499","0.0876229659758326","0.111616935716467"
"Yes","2015","Couple + C. LE 16 ","240","0.0430463401683529","0.0382159438038255","0.0478767365328803"
"Yes","2015","Couple + C. GT 16 ","267","0.0952469253382813","0.084657304002924","0.105836546673639"
"Yes","2015","Couple + C. LE and GT 16","96","0.0540504403580656","0.0446760521308345","0.0634248285852967"
"No","2015","1-pers.-HH","3049","0.799155352562721","0.786268960103453","0.812041745021989"
"No","2015","(Married) couple without C. ","6505","0.817581546732961","0.809069878536635","0.826093214929287"
"No","2015","Single parent ","2174","0.90038004915385","0.888383064283533","0.912377034024167"
"No","2015","Couple + C. LE 16 ","6542","0.956953659831647","0.95212326346712","0.961784056196174"
"No","2015","Couple + C. GT 16 ","2685","0.904753074661719","0.894163453326361","0.915342695997076"
"No","2015","Couple + C. LE and GT 16","2139","0.945949559641934","0.936575171414703","0.955323947869166"
"Yes","2016","1-pers.-HH","659","0.203761895393355","0.190385031189912","0.217138759596798"
"Yes","2016","(Married) couple without C. ","1306","0.175749985257626","0.167054059565676","0.184445910949577"
"Yes","2016","Single parent ","207","0.101670587266138","0.0889020122219708","0.114439162310304"
"Yes","2016","Couple + C. LE 16 ","199","0.037374887493768","0.0325059706843722","0.0422438043031638"
"Yes","2016","Couple + C. GT 16 ","252","0.0981036193084514","0.0869983442064548","0.109208894410448"
"Yes","2016","Couple + C. LE and GT 16","93","0.0512055593620321","0.0417693607158562","0.060641758008208"
"No","2016","1-pers.-HH","2824","0.796238104606645","0.782861240403202","0.809614968810088"
"No","2016","(Married) couple without C. ","6053","0.824250014742374","0.815554089050423","0.832945940434324"
"No","2016","Single parent ","1945","0.898329412733862","0.885560837689696","0.911097987778029"
"No","2016","Couple + C. LE 16 ","5631","0.962625112506232","0.957756195696836","0.967494029315628"
"No","2016","Couple + C. GT 16 ","2504","0.901896380691549","0.890791105589552","0.913001655793545"
"No","2016","Couple + C. LE and GT 16","2003","0.948794440637968","0.939358241991792","0.958230639284144"
"Yes","2017","1-pers.-HH","703","0.197330457729859","0.184900327217001","0.209760588242716"
"Yes","2017","(Married) couple without C. ","1455","0.17479595068325","0.166595132214323","0.182996769152177"
"Yes","2017","Single parent ","212","0.0969821847731241","0.0847188314815118","0.109245538064736"
"Yes","2017","Couple + C. LE 16 ","209","0.0391030169936793","0.0341785392612134","0.0440274947261452"
"Yes","2017","Couple + C. GT 16 ","296","0.0963116616102404","0.0861829387656985","0.106440384454782"
"Yes","2017","Couple + C. LE and GT 16","119","0.0484156210000287","0.0395308407180265","0.0573004012820309"
"No","2017","1-pers.-HH","3235","0.802669542270141","0.790239411757284","0.815099672782999"
"No","2017","(Married) couple without C. ","6784","0.82520404931675","0.817003230847823","0.833404867785677"
"No","2017","Single parent ","2025","0.903017815226876","0.890754461935264","0.915281168518488"
"No","2017","Couple + C. LE 16 ","5743","0.960896983006321","0.955972505273855","0.965821460738787"
"No","2017","Couple + C. GT 16 ","2963","0.90368833838976","0.893559615545218","0.913817061234302"
"No","2017","Couple + C. LE and GT 16","2123","0.951584378999971","0.942699598717969","0.960469159281974"
"Yes","2018","1-pers.-HH","771","0.195626786231313","0.183519920588361","0.207733651874265"
"Yes","2018","(Married) couple without C. ","1445","0.177980190673345","0.169598006127863","0.186362375218826"
"Yes","2018","Single parent ","224","0.0954340139138678","0.0832009587315972","0.107667069096138"
"Yes","2018","Couple + C. LE 16 ","205","0.0348375670755836","0.0299755457501286","0.0396995884010386"
"Yes","2018","Couple + C. GT 16 ","284","0.0953208998013118","0.084835382273972","0.105806417328652"
"Yes","2018","Couple + C. LE and GT 16","119","0.055338774234911","0.0457694429980842","0.0649081054717378"
"No","2018","1-pers.-HH","3353","0.804373213768687","0.792266348125735","0.816480079411639"
"No","2018","(Married) couple without C. ","6554","0.822019809326655","0.813637624781174","0.830401993872137"
"No","2018","Single parent ","1992","0.904565986086132","0.892332930903862","0.916799041268403"
"No","2018","Couple + C. LE 16 ","5259","0.965162432924416","0.960300411598961","0.970024454249871"
"No","2018","Couple + C. GT 16 ","2729","0.904679100198688","0.894193582671348","0.915164617726028"
"No","2018","Couple + C. LE and GT 16","2074","0.944661225765089","0.935091894528262","0.954230557001916"
"Yes","2019","1-pers.-HH","775","0.190574671532809","0.178763939340326","0.202385403725291"
"Yes","2019","(Married) couple without C. ","1432","0.176435766643993","0.168343058096367","0.184528475191618"
"Yes","2019","Single parent ","199","0.120284817457245","0.106247797175691","0.134321837738799"
"Yes","2019","Couple + C. LE 16 ","175","0.0305200008266161","0.0258438161883417","0.0351961854648905"
"Yes","2019","Couple + C. GT 16 ","291","0.10402778949895","0.0930425059103149","0.115013073087584"
"Yes","2019","Couple + C. LE and GT 16","99","0.0506633270659225","0.0414508618985907","0.0598757922332544"
"No","2019","1-pers.-HH","3473","0.809425328467191","0.797614596274709","0.821236060659674"
"No","2019","(Married) couple without C. ","7091","0.823564233356007","0.815471524808382","0.831656941903633"
"No","2019","Single parent ","1864","0.879715182542755","0.865678162261201","0.893752202824309"
"No","2019","Couple + C. LE 16 ","5023","0.969479999173384","0.96480381453511","0.974156183811658"
"No","2019","Couple + C. GT 16 ","2676","0.89597221050105","0.884986926912416","0.906957494089685"
"No","2019","Couple + C. LE and GT 16","2078","0.949336672934077","0.940124207766746","0.958549138101409"
