"plh0206i06","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence","value"
"4 on scale 1-7","2007","Couple + C. GT 16 ","East Germany","","","","","4"
"4 on scale 1-7","2007","Couple + C. LE and GT 16","East Germany","","","","","4"
"4 on scale 1-7","2007","(Married) couple without C. ","West Germany","","","","","4"
"4 on scale 1-7","2007","(Married) couple without C. ","East Germany","","","","","4"
"4 on scale 1-7","2007","Single parent ","West Germany","","","","","4"
"4 on scale 1-7","2007","Single parent ","East Germany","","","","","4"
"5 on scale 1-7","2007","Couple + C. LE 16 ","East Germany","","","","","5"
"5 on scale 1-7","2007","1-pers.-HH","West Germany","","","","","5"
"5 on scale 1-7","2007","1-pers.-HH","East Germany","","","","","5"
"5 on scale 1-7","2007","(Married) couple without C. ","West Germany","","","","","5"
"5 on scale 1-7","2007","(Married) couple without C. ","East Germany","","","","","5"
"5 on scale 1-7","2007","Single parent ","West Germany","","","","","5"
"5 on scale 1-7","2007","Single parent ","East Germany","","","","","5"
"5 on scale 1-7","2007","Couple + C. LE 16 ","West Germany","","","","","5"
"5 on scale 1-7","2007","Couple + C. GT 16 ","East Germany","","","","","5"
"5 on scale 1-7","2007","Couple + C. GT 16 ","West Germany","","","","","5"
"5 on scale 1-7","2007","Couple + C. LE and GT 16","West Germany","","","","","5"
"5 on scale 1-7","2007","Couple + C. LE and GT 16","East Germany","","","","","5"
"6 on scale 1-7","2007","1-pers.-HH","West Germany","","","","","6"
"6 on scale 1-7","2007","1-pers.-HH","East Germany","","","","","6"
"6 on scale 1-7","2007","(Married) couple without C. ","West Germany","","","","","6"
"6 on scale 1-7","2007","(Married) couple without C. ","East Germany","","","","","6"
"6 on scale 1-7","2007","Single parent ","West Germany","","","","","6"
"6 on scale 1-7","2007","Single parent ","East Germany","","","","","6"
"6 on scale 1-7","2007","Couple + C. LE and GT 16","West Germany","","","","","6"
"6 on scale 1-7","2007","Couple + C. LE and GT 16","East Germany","","","","","6"
"6 on scale 1-7","2007","Couple + C. LE 16 ","West Germany","","","","","6"
"6 on scale 1-7","2007","Couple + C. GT 16 ","East Germany","","","","","6"
"6 on scale 1-7","2007","Couple + C. LE 16 ","East Germany","","","","","6"
"6 on scale 1-7","2007","Couple + C. GT 16 ","West Germany","","","","","6"
"7 Strongly agree","2007","(Married) couple without C. ","West Germany","","","","","7"
"7 Strongly agree","2007","1-pers.-HH","West Germany","","","","","7"
"7 Strongly agree","2007","Couple + C. LE and GT 16","West Germany","","","","","7"
"7 Strongly agree","2007","Couple + C. LE and GT 16","East Germany","","","","","7"
"7 Strongly agree","2007","1-pers.-HH","East Germany","","","","","7"
"7 Strongly agree","2007","(Married) couple without C. ","East Germany","","","","","7"
"7 Strongly agree","2007","Single parent ","West Germany","","","","","7"
"7 Strongly agree","2007","Single parent ","East Germany","","","","","7"
"7 Strongly agree","2007","Couple + C. LE 16 ","West Germany","","","","","7"
"7 Strongly agree","2007","Couple + C. LE 16 ","East Germany","","","","","7"
"7 Strongly agree","2007","Couple + C. GT 16 ","West Germany","","","","","7"
"7 Strongly agree","2007","Couple + C. GT 16 ","East Germany","","","","","7"
"1 Strongly disagree","2008","(Married) couple without C. ","West Germany","","","","","1"
"1 Strongly disagree","2008","(Married) couple without C. ","East Germany","","","","","1"
"1 Strongly disagree","2008","Single parent ","West Germany","","","","","1"
"1 Strongly disagree","2008","Single parent ","East Germany","","","","","1"
"1 Strongly disagree","2008","Couple + C. LE 16 ","West Germany","","","","","1"
"1 Strongly disagree","2008","Couple + C. LE 16 ","East Germany","","","","","1"
"1 Strongly disagree","2008","Couple + C. GT 16 ","West Germany","","","","","1"
"1 Strongly disagree","2008","1-pers.-HH","West Germany","","","","","1"
"1 Strongly disagree","2008","1-pers.-HH","East Germany","","","","","1"
"1 Strongly disagree","2008","Couple + C. GT 16 ","East Germany","","","","","1"
"1 Strongly disagree","2008","Couple + C. LE and GT 16","West Germany","","","","","1"
"1 Strongly disagree","2008","Couple + C. LE and GT 16","East Germany","","","","","1"
"2 on scale 1-7 ","2008","(Married) couple without C. ","West Germany","","","","","2"
"2 on scale 1-7 ","2008","Single parent ","East Germany","","","","","2"
"2 on scale 1-7 ","2008","(Married) couple without C. ","East Germany","","","","","2"
"2 on scale 1-7 ","2008","Single parent ","West Germany","","","","","2"
"2 on scale 1-7 ","2008","1-pers.-HH","West Germany","","","","","2"
"2 on scale 1-7 ","2008","1-pers.-HH","East Germany","","","","","2"
"2 on scale 1-7 ","2008","Couple + C. LE 16 ","West Germany","","","","","2"
"2 on scale 1-7 ","2008","Couple + C. LE 16 ","East Germany","","","","","2"
"2 on scale 1-7 ","2008","Couple + C. GT 16 ","West Germany","","","","","2"
"2 on scale 1-7 ","2008","Couple + C. GT 16 ","East Germany","","","","","2"
"2 on scale 1-7 ","2008","Couple + C. LE and GT 16","West Germany","","","","","2"
"2 on scale 1-7 ","2008","Couple + C. LE and GT 16","East Germany","","","","","2"
"3 on scale 1-7 ","2008","1-pers.-HH","West Germany","","","","","3"
"3 on scale 1-7 ","2008","(Married) couple without C. ","West Germany","","","","","3"
"3 on scale 1-7 ","2008","(Married) couple without C. ","East Germany","","","","","3"
"3 on scale 1-7 ","2008","1-pers.-HH","East Germany","","","","","3"
"3 on scale 1-7 ","2008","Single parent ","West Germany","","","","","3"
"3 on scale 1-7 ","2008","Single parent ","East Germany","","","","","3"
"3 on scale 1-7 ","2008","Couple + C. LE 16 ","West Germany","","","","","3"
"3 on scale 1-7 ","2008","Couple + C. LE 16 ","East Germany","","","","","3"
"3 on scale 1-7 ","2008","Couple + C. GT 16 ","West Germany","","","","","3"
"3 on scale 1-7 ","2008","Couple + C. GT 16 ","East Germany","","","","","3"
"3 on scale 1-7 ","2008","Couple + C. LE and GT 16","West Germany","","","","","3"
"3 on scale 1-7 ","2008","Couple + C. LE and GT 16","East Germany","","","","","3"
"4 on scale 1-7","2008","Couple + C. LE 16 ","East Germany","","","","","4"
