"plh0184","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence"
"Rarely","2010","35-65 y.","Rural Area","823","0.267939608939105","0.25239669945028","0.283482518427931"
"Rarely","2010","35-65 y.","Urban Area","1342","0.220228659476578","0.209706172574673","0.230751146378482"
"Rarely","2010","66 and older","Rural Area","455","0.315437348185247","0.290812804038421","0.340061892332073"
"Rarely","2010","66 and older","Urban Area","919","0.335129583979658","0.317211444756179","0.353047723203138"
"Sometimes","2010","16-34 y.","Rural Area","524","0.46774784089524","0.439169681436423","0.496326000354056"
"Sometimes","2010","16-34 y.","Urban Area","1017","0.41647545769677","0.396797783928473","0.436153131465066"
"Sometimes","2010","35-65 y.","Rural Area","1421","0.443751879702386","0.426315963035091","0.461187796369681"
"Sometimes","2010","35-65 y.","Urban Area","2746","0.459793597332752","0.447138684301181","0.472448510364323"
"Sometimes","2010","66 and older","Rural Area","505","0.398235628037956","0.372294531270843","0.424176724805069"
"Sometimes","2010","66 and older","Urban Area","993","0.377882658704617","0.359477792982","0.396287524427234"
"Very often","2010","16-34 y.","Rural Area","46","0.0350648847547454","0.0245293906836653","0.0456003788258255"
"Very often","2010","16-34 y.","Urban Area","86","0.0294923857070227","0.0227392743388873","0.0362454970751581"
"Very often","2010","35-65 y.","Rural Area","86","0.0276882877790417","0.0219300285502285","0.0334465470078548"
"Very often","2010","35-65 y.","Urban Area","215","0.0378664921431354","0.0330198266231057","0.0427131576631652"
"Very often","2010","66 and older","Rural Area","25","","",""
"Very often","2010","66 and older","Urban Area","40","0.0142882592554892","0.00978338530037665","0.0187931332106017"
"Very rare","2010","16-34 y.","Rural Area","76","0.0513614363222392","0.0387187718752749","0.0640041007692035"
"Very rare","2010","16-34 y.","Urban Area","165","0.0596460579918029","0.0501927015418591","0.0690994144417467"
"Very rare","2010","35-65 y.","Rural Area","237","0.0751914174356936","0.0659369705907592","0.084445864280628"
"Very rare","2010","35-65 y.","Urban Area","553","0.0946324956062026","0.0872000722478049","0.1020649189646"
"Very rare","2010","66 and older","Rural Area","279","0.183964843880377","0.163433050029848","0.204496637730906"
"Very rare","2010","66 and older","Urban Area","496","0.195002429426287","0.17996286306481","0.210041995787763"
"Often","2011","16-34 y.","Rural Area","317","0.223005674542928","0.201083174231324","0.244928174854533"
"Often","2011","16-34 y.","Urban Area","693","0.232929326901962","0.217566162950009","0.248292490853915"
"Often","2011","35-65 y.","Rural Area","752","0.185617747410836","0.173674527221926","0.197560967599746"
"Often","2011","35-65 y.","Urban Area","1339","0.184363624849036","0.175436842350963","0.193290407347109"
"Often","2011","66 and older","Rural Area","162","0.0924286779360059","0.0789623827587215","0.10589497311329"
