"m11124","year","e11102","e11103","n","percent","lower_confidence","upper_confidence","value"
"Disabled","2015","Not Employed","Not Working","1839","0.234255294063154","0.226058466599098","0.24245212152721","1"
"Disabled","2015","Employed","Full Time","458","0.0604335007134589","0.0556458383859325","0.0652211630409853","1"
"Disabled","2015","Employed","Part Time","474","0.0856732481803671","0.0791767898684026","0.0921697064923315","1"
"Disabled","2015","Employed","Not Working","","","","","1"
"Not disabled","2015","Not Employed","Full Time","","","","","0"
"Not disabled","2015","Not Employed","Part Time","","","","","0"
"Not disabled","2015","Not Employed","Not Working","8417","0.765744705936846","0.75754787847279","0.773941533400902","0"
"Not disabled","2015","Employed","Full Time","9058","0.939566499286541","0.934778836959015","0.944354161614067","0"
"Not disabled","2015","Employed","Part Time","6656","0.914326751819633","0.907830293507669","0.920823210131597","0"
"Not disabled","2015","Employed","Not Working","","","","","0"
"Disabled","2016","Not Employed","Full Time","","","","","1"
"Disabled","2016","Not Employed","Part Time","","","","","1"
"Disabled","2016","Not Employed","Not Working","1712","0.243972136959215","0.234688358189386","0.253255915729044","1"
"Disabled","2016","Employed","Full Time","432","0.0603425424269419","0.0554728100413933","0.0652122748124905","1"
"Disabled","2016","Employed","Part Time","468","0.0854764828680036","0.078910842104186","0.0920421236318213","1"
"Disabled","2016","Employed","Not Working","","","","","1"
"Not disabled","2016","Not Employed","Full Time","","","","","0"
"Not disabled","2016","Not Employed","Part Time","","","","","0"
"Not disabled","2016","Employed","Full Time","8753","0.939657457573058","0.93478772518751","0.944527189958607","0"
"Not disabled","2016","Not Employed","Not Working","6509","0.756027863040785","0.746744084270956","0.765311641810614","0"
"Not disabled","2016","Employed","Part Time","6498","0.914523517131996","0.907957876368179","0.921089157895814","0"
"Not disabled","2016","Employed","Not Working","","","","","0"
"Disabled","2017","Not Employed","Full Time","","","","","1"
"Disabled","2017","Not Employed","Part Time","","","","","1"
"Disabled","2017","Not Employed","Not Working","1818","0.241294396747583","0.232248311406588","0.250340482088578","1"
"Disabled","2017","Employed","Full Time","486","0.0521903159192507","0.0479168269974224","0.056463804841079","1"
"Disabled","2017","Employed","Part Time","567","0.0968281400650501","0.0902082667659529","0.103448013364147","1"
"Disabled","2017","Employed","Not Working","","","","","1"
"Not disabled","2017","Not Employed","Full Time","","","","","0"
"Not disabled","2017","Not Employed","Part Time","","","","","0"
"Not disabled","2017","Employed","Full Time","9919","0.947809684080749","0.943536195158921","0.952083173002578","0"
"Not disabled","2017","Not Employed","Not Working","6776","0.758705603252417","0.749659517911422","0.767751688593412","0"
"Not disabled","2017","Employed","Not Working","","","","","0"
"Not disabled","2017","Employed","Part Time","7099","0.90317185993495","0.896551986635852","0.909791733234047","0"
"Disabled","2018","Not Employed","Full Time","","","","","1"
"Disabled","2018","Not Employed","Part Time","","","","","1"
"Disabled","2018","Not Employed","Not Working","1845","0.247944049650841","0.238631684683631","0.257256414618052","1"
"Disabled","2018","Employed","Full Time","504","0.0537545648662239","0.0493190983035292","0.0581900314289185","1"
"Disabled","2018","Employed","Part Time","592","0.093645726460629","0.0870702595660963","0.100221193355162","1"
"Disabled","2018","Employed","Not Working","","","","","1"
"Not disabled","2018","Not Employed","Full Time","","","","","0"
"Not disabled","2018","Not Employed","Part Time","","","","","0"
"Not disabled","2018","Not Employed","Not Working","6415","0.752055950349159","0.742743585381948","0.761368315316369","0"
"Not disabled","2018","Employed","Full Time","9428","0.946245435133776","0.941809968571081","0.950680901696471","0"
"Not disabled","2018","Employed","Part Time","6949","0.906354273539371","0.899778806644838","0.912929740433904","0"
"Not disabled","2018","Employed","Not Working","","","","","0"
"Disabled","2019","Not Employed","Full Time","","","","","1"
"Disabled","2019","Not Employed","Part Time","","","","","1"
"Disabled","2019","Not Employed","Not Working","1792","0.245585874694112","0.236199975519622","0.254971773868602","1"
"Disabled","2019","Employed","Full Time","503","0.0565980966941778","0.0521822890097364","0.0610139043786192","1"
"Disabled","2019","Employed","Part Time","548","0.0813025794029884","0.0750007364510977","0.0876044223548792","1"
"Disabled","2019","Employed","Not Working","","","","","1"
"Not disabled","2019","Not Employed","Full Time","","","","","0"
"Not disabled","2019","Not Employed","Part Time","","","","","0"
"Not disabled","2019","Not Employed","Not Working","6287","0.754414125305888","0.745028226131398","0.763800024480378","0"
"Not disabled","2019","Employed","Part Time","6677","0.918697420597011","0.912395577645121","0.924999263548902","0"
"Not disabled","2019","Employed","Full Time","10016","0.943401903305822","0.938986095621381","0.947817710990264","0"
"Not disabled","2019","Employed","Not Working","","","","","0"
