"m11124","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"Not disabled","2013","indirect migration background","East Germany","98","0.832514100248667","0.761091054575416","0.903937145921918"
"Disabled","2013","no migration background","West Germany","1967","0.144650282015761","0.139297624109664","0.150002939921858"
"Disabled","2013","no migration background","East Germany","634","0.128821350114964","0.120040995734176","0.137601704495753"
"Disabled","2013","direct migration background","West Germany","375","0.0992625930862377","0.0916731904465745","0.106851995725901"
"Disabled","2013","direct migration background","East Germany","25","","",""
"Disabled","2013","indirect migration background","West Germany","68","0.0483584409235897","0.0390218794509819","0.0576950023961976"
"Disabled","2013","indirect migration background","East Germany","7","","",""
"Not disabled","2014","no migration background","West Germany","13156","0.848575072798942","0.842855714652528","0.854294430945356"
"Not disabled","2014","no migration background","East Germany","4525","0.860393117295576","0.850933065475531","0.869853169115621"
"Not disabled","2014","direct migration background","West Germany","4445","0.899195552545397","0.890657921315134","0.907733183775661"
"Not disabled","2014","direct migration background","East Germany","321","0.881828518737326","0.847814460471796","0.915842577002856"
"Not disabled","2014","indirect migration background","West Germany","1629","0.9381043650751","0.926619341876822","0.949589388273378"
"Not disabled","2014","indirect migration background","East Germany","97","0.93359087602727","0.885736286393071","0.98144546566147"
"Disabled","2014","no migration background","West Germany","1934","0.151424927201058","0.145705569054644","0.157144285347472"
"Disabled","2014","no migration background","East Germany","631","0.139606882704424","0.130146830884379","0.149066934524469"
"Disabled","2014","direct migration background","West Germany","332","0.100804447454603","0.0922668162243392","0.109342078684866"
"Disabled","2014","direct migration background","East Germany","25","","",""
"Disabled","2014","indirect migration background","West Germany","62","0.0618956349249003","0.0504106117266223","0.0733806581231784"
"Disabled","2014","indirect migration background","East Germany","7","","",""
"Not disabled","2015","no migration background","West Germany","12557","0.849227750382968","0.843377053281603","0.855078447484333"
"Not disabled","2015","no migration background","East Germany","4324","0.86621335459514","0.856691398719791","0.87573531047049"
"Not disabled","2015","direct migration background","West Germany","5217","0.915542065451213","0.908197106596811","0.922887024305615"
"Not disabled","2015","direct migration background","East Germany","407","0.890338690398139","0.860736043579984","0.919941337216293"
"Not disabled","2015","indirect migration background","West Germany","1527","0.950874726172236","0.940231221709729","0.961518230634743"
"Not disabled","2015","indirect migration background","East Germany","99","0.931689055119686","0.883434970149765","0.979943140089607"
"Disabled","2015","no migration background","West Germany","1812","0.150772249617032","0.144921552515667","0.156622946718397"
"Disabled","2015","no migration background","East Germany","586","0.133786645404859","0.12426468952951","0.143308601280209"
"Disabled","2015","direct migration background","West Germany","289","0.0844579345487871","0.0771129756943848","0.0918028934031893"
"Disabled","2015","direct migration background","East Germany","21","","",""
"Disabled","2015","indirect migration background","West Germany","57","0.0491252738277639","0.0384817693652565","0.0597687782902713"
"Disabled","2015","indirect migration background","East Germany","6","","",""
"Not disabled","2016","no migration background","West Germany","11614","0.849162677058109","0.843083743979577","0.855241610136641"
"Not disabled","2016","no migration background","East Germany","4045","0.868392706699821","0.858618007637456","0.878167405762186"
"Not disabled","2016","direct migration background","West Germany","4255","0.908375721223229","0.899979236756579","0.916772205689879"
"Not disabled","2016","direct migration background","East Germany","336","0.902685891835955","0.871941195077833","0.933430588594078"
"Not disabled","2016","indirect migration background","West Germany","1406","0.952879367614865","0.942017639649982","0.963741095579748"
"Not disabled","2016","indirect migration background","East Germany","104","0.979925806649486","0.953474211792359","1.00637740150661"
"Disabled","2016","no migration background","West Germany","1701","0.150837322941891","0.144758389863359","0.156916256020423"
"Disabled","2016","no migration background","East Germany","550","0.131607293300179","0.121832594237814","0.141381992362544"
"Disabled","2016","direct migration background","West Germany","280","0.0916242787767712","0.0832277943101215","0.100020763243421"
"Disabled","2016","direct migration background","East Germany","21","","",""
"Disabled","2016","indirect migration background","West Germany","56","0.0471206323851349","0.0362589044202519","0.0579823603500179"
"Disabled","2016","indirect migration background","East Germany","4","","",""
"Not disabled","2017","no migration background","West Germany","13267","0.851894155146831","0.846236700930491","0.857551609363172"
"Not disabled","2017","no migration background","East Germany","4544","0.871500677751114","0.862360157225465","0.880641198276763"
"Not disabled","2017","direct migration background","West Germany","3998","0.906362204064502","0.897645640159783","0.915078767969222"
"Not disabled","2017","direct migration background","East Germany","350","0.929140173135223","0.902959815772615","0.955320530497831"
"Not disabled","2017","indirect migration background","West Germany","1533","0.953231332795096","0.942904860789854","0.963557804800337"
"Not disabled","2017","indirect migration background","East Germany","102","0.949837030640458","0.908477807863437","0.99119625341748"
"Disabled","2017","no migration background","West Germany","1876","0.148105844853169","0.142448390636828","0.153763299069509"
"Disabled","2017","no migration background","East Germany","605","0.128499322248886","0.119358801723237","0.137639842774535"
"Disabled","2017","direct migration background","West Germany","293","0.0936377959354978","0.0849212320307785","0.102354359840217"
"Disabled","2017","direct migration background","East Germany","19","","",""
"Disabled","2017","indirect migration background","West Germany","73","0.0467686672049045","0.0364421951996626","0.0570951392101464"
"Disabled","2017","indirect migration background","East Germany","5","","",""
"Not disabled","2018","no migration background","West Germany","12667","0.854185293427113","0.848451611265556","0.859918975588671"
"Not disabled","2018","no migration background","East Germany","4401","0.864045089523152","0.854575232389122","0.873514946657181"
"Not disabled","2018","direct migration background","West Germany","3774","0.902387860332114","0.893294407531935","0.911481313132293"
"Not disabled","2018","direct migration background","East Germany","336","0.980761918182736","0.96633009664046","0.995193739725013"
"Not disabled","2018","indirect migration background","West Germany","1501","0.93445489862596","0.922271098943769","0.94663869830815"
"Not disabled","2018","indirect migration background","East Germany","113","0.959542798764964","0.924580637736299","0.994504959793628"
"Disabled","2018","no migration background","West Germany","1887","0.145814706572887","0.140081024411329","0.151548388734444"
"Disabled","2018","no migration background","East Germany","631","0.135954910476848","0.126485053342819","0.145424767610878"
"Disabled","2018","direct migration background","West Germany","318","0.0976121396678862","0.0885186868677073","0.106705592468065"
"Disabled","2018","direct migration background","East Germany","12","","",""
"Disabled","2018","indirect migration background","West Germany","84","0.0655451013740401","0.0533613016918497","0.0777289010562306"
"Disabled","2018","indirect migration background","East Germany","9","","",""
"Not disabled","2019","no migration background","West Germany","13210","0.857341308782197","0.851753216689216","0.862929400875179"
"Not disabled","2019","no migration background","East Germany","4505","0.861457854072195","0.852019875663067","0.870895832481323"
"Not disabled","2019","direct migration background","West Germany","3304","0.906682605294386","0.897124890568313","0.91624032002046"
"Not disabled","2019","direct migration background","East Germany","281","0.980102293956496","0.964057327826827","0.996147260086165"
"Not disabled","2019","indirect migration background","West Germany","1487","0.93518232456787","0.92300384321099","0.947360805924751"
"Not disabled","2019","indirect migration background","East Germany","126","0.926596290618078","0.882273555475207","0.970919025760949"
"Disabled","2019","no migration background","West Germany","1836","0.142658691217803","0.137070599124821","0.148246783310785"
"Disabled","2019","no migration background","East Germany","642","0.138542145927805","0.129104167518677","0.147980124336932"
"Disabled","2019","direct migration background","West Germany","254","0.0933173947056136","0.0837596799795404","0.102875109431687"
"Disabled","2019","direct migration background","East Germany","10","","",""
"Disabled","2019","indirect migration background","West Germany","83","0.0648176754321295","0.0526391940752492","0.0769961567890099"
"Disabled","2019","indirect migration background","East Germany","7","","",""
