"m11124","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Disabled","2010","Part Time","West Germany","292","0.083654994781606","0.0760600317459","0.0912499578173121","1"
"Disabled","2010","Part Time","East Germany","67","0.0729766243587185","0.0585172415851043","0.0874360071323326","1"
"Disabled","2010","Not Working","West Germany","1139","0.236853561982422","0.226398256001376","0.247308867963469","1"
"Disabled","2010","Not Working","East Germany","358","0.199666578089592","0.182362067351945","0.216971088827239","1"
"Not disabled","2010","Full Time","West Germany","6753","0.944106353394518","0.938753986678141","0.949458720110895","0"
"Not disabled","2010","Full Time","East Germany","2095","0.945244740345079","0.935683735979321","0.954805744710837","0"
"Not disabled","2010","Part Time","West Germany","4813","0.916345005218394","0.908750042182688","0.9239399682541","0"
"Not disabled","2010","Part Time","East Germany","1176","0.927023375641281","0.912563992867667","0.941482758414896","0"
"Not disabled","2010","Not Working","West Germany","5213","0.763146438017578","0.752691132036531","0.773601743998624","0"
"Not disabled","2010","Not Working","East Germany","1692","0.800333421910408","0.783028911172761","0.817637932648055","0"
"Disabled","2011","Full Time","West Germany","415","0.0546450376915335","0.04971689465138","0.059573180731687","1"
"Disabled","2011","Not Working","West Germany","1483","0.235691964159569","0.226229744230875","0.245154184088262","1"
"Disabled","2011","Full Time","East Germany","100","0.050123772463118","0.0415186907503165","0.0587288541759194","1"
"Disabled","2011","Part Time","West Germany","360","0.0798900478949562","0.0731554799683336","0.0866246158215788","1"
"Disabled","2011","Part Time","East Germany","96","0.0838445931243511","0.0695544600611966","0.0981347261875055","1"
"Disabled","2011","Not Working","East Germany","456","0.207729825433204","0.191549933930508","0.2239097169359","1"
"Not disabled","2011","Full Time","West Germany","7756","0.945354962308466","0.940426819268313","0.95028310534862","0"
"Not disabled","2011","Full Time","East Germany","2370","0.949876227536882","0.941271145824081","0.958481309249683","0"
"Not disabled","2011","Part Time","West Germany","5866","0.920109952105044","0.913375384178421","0.926844520031666","0"
"Not disabled","2011","Part Time","East Germany","1349","0.916155406875649","0.901865273812494","0.930445539938804","0"
"Not disabled","2011","Not Working","West Germany","6246","0.764308035840431","0.754845815911738","0.773770255769125","0"
"Not disabled","2011","Not Working","East Germany","1959","0.792270174566796","0.7760902830641","0.808450066069492","0"
"Disabled","2012","Full Time","West Germany","429","0.0616953673951647","0.0564322553370959","0.0669584794532335","1"
"Disabled","2012","Not Working","West Germany","1515","0.23916895188782","0.229445191429363","0.248892712346276","1"
"Disabled","2012","Full Time","East Germany","98","0.0499864829161689","0.0412934636784004","0.0586795021539375","1"
"Disabled","2012","Part Time","West Germany","383","0.0761822193949236","0.0695139018899201","0.082850536899927","1"
"Disabled","2012","Part Time","East Germany","100","0.0979947752474472","0.0823257136393973","0.113663836855497","1"
"Disabled","2012","Not Working","East Germany","507","0.230101907294496","0.213259285437944","0.246944529151048","1"
"Not disabled","2012","Full Time","West Germany","7599","0.938304632604835","0.933041520546766","0.943567744662904","0"
"Not disabled","2012","Full Time","East Germany","2316","0.950013517083831","0.941320497846063","0.9587065363216","0"
"Not disabled","2012","Part Time","West Germany","5697","0.923817780605076","0.917149463100073","0.93048609811008","0"
"Not disabled","2012","Part Time","East Germany","1283","0.902005224752553","0.886336163144503","0.917674286360603","0"
"Not disabled","2012","Not Working","West Germany","5878","0.76083104811218","0.751107287653724","0.770554808570637","0"
"Not disabled","2012","Not Working","East Germany","1892","0.769898092705504","0.753055470848952","0.786740714562056","0"
"Disabled","2013","Full Time","West Germany","420","0.0634333782276912","0.0579207794946034","0.0689459769607791","1"
"Disabled","2013","Full Time","East Germany","88","0.0511458813474615","0.041982059011015","0.060309703683908","1"
"Disabled","2013","Part Time","West Germany","391","0.0899722890449685","0.0826114271012234","0.0973331509887135","1"
"Disabled","2013","Part Time","East Germany","103","0.0878804439997505","0.0728829612263778","0.102877926773123","1"
"Disabled","2013","Not Working","West Germany","1599","0.207387731774924","0.199900790633854","0.214874672915994","1"
"Disabled","2013","Not Working","East Germany","475","0.221804965623927","0.205663831078111","0.237946100169743","1"
"Not disabled","2013","Full Time","West Germany","7090","0.936566621772309","0.931054023039221","0.942079220505396","0"
"Not disabled","2013","Full Time","East Germany","2132","0.948854118652539","0.939690296316092","0.958017940988985","0"
"Not disabled","2013","Part Time","West Germany","5414","0.910027710955032","0.902666849011286","0.917388572898777","0"
"Not disabled","2013","Part Time","East Germany","1266","0.91211955600025","0.897122073226877","0.927117038773622","0"
"Not disabled","2013","Not Working","West Germany","9666","0.792612268225076","0.785125327084006","0.800099209366146","0"
"Not disabled","2013","Not Working","East Germany","2070","0.778195034376073","0.762053899830257","0.794336168921889","0"
"Disabled","2014","Full Time","West Germany","425","0.0629615003716605","0.0576686443291647","0.0682543564141564","1"
"Disabled","2014","Full Time","East Germany","96","0.0548796870793402","0.045252969680068","0.0645064044786125","1"
"Disabled","2014","Part Time","West Germany","413","0.0849253312730502","0.0780174221996691","0.0918332403464314","1"
"Disabled","2014","Part Time","East Germany","96","0.0925281432196721","0.0768245974291205","0.108231689010224","1"
"Disabled","2014","Not Working","West Germany","1490","0.250056173649905","0.240061850447424","0.260050496852386","1"
"Disabled","2014","Not Working","East Germany","471","0.24418862144211","0.226020903574608","0.262356339309612","1"
"Not disabled","2014","Full Time","West Germany","7665","0.93703849962834","0.931745643585844","0.942331355670835","0"
"Not disabled","2014","Full Time","East Germany","2054","0.94512031292066","0.935493595521388","0.954747030319932","0"
"Not disabled","2014","Part Time","West Germany","5843","0.91507466872695","0.908166759653569","0.921982577800331","0"
"Not disabled","2014","Part Time","East Germany","1212","0.907471856780328","0.891768310989776","0.923175402570879","0"
"Not disabled","2014","Not Working","West Germany","5722","0.749943826350095","0.739949503147614","0.759938149552576","0"
"Not disabled","2014","Not Working","East Germany","1677","0.75581137855789","0.737643660690388","0.773979096425392","0"
"Disabled","2015","Full Time","West Germany","378","0.0635103303740507","0.0579975510025057","0.0690231097455957","1"
"Disabled","2015","Full Time","East Germany","80","0.0467665156018003","0.0375085086929267","0.0560245225106738","1"
"Disabled","2015","Part Time","West Germany","379","0.0835289213996335","0.076457002902213","0.090600839897054","1"
"Disabled","2015","Part Time","East Germany","95","0.0974500549974288","0.0810093759633736","0.113890734031484","1"
"Disabled","2015","Not Working","West Germany","1401","0.234786527009174","0.22553354920701","0.244039504811338","1"
"Disabled","2015","Not Working","East Germany","438","0.231944034722448","0.214286955491814","0.249601113953083","1"
"Not disabled","2015","Full Time","West Germany","7140","0.936489669625949","0.930976890254404","0.942002448997494","0"
"Not disabled","2015","Full Time","East Germany","1918","0.9532334843982","0.943975477489326","0.962491491307073","0"
"Not disabled","2015","Part Time","West Germany","5501","0.916471078600367","0.909399160102946","0.923542997097787","0"
"Not disabled","2015","Part Time","East Germany","1155","0.902549945002571","0.886109265968516","0.918990624036626","0"
"Not disabled","2015","Not Working","West Germany","6660","0.765213472990826","0.755960495188663","0.77446645079299","0"
"Not disabled","2015","Not Working","East Germany","1757","0.768055965277552","0.750398886046917","0.785713044508187","0"
"Disabled","2016","Full Time","West Germany","356","0.0638981268417036","0.0582618219337251","0.0695344317496821","1"
"Disabled","2016","Full Time","East Germany","76","0.0446930781041412","0.0355266575266279","0.0538594986816546","1"
"Disabled","2016","Part Time","West Germany","372","0.0828939228268892","0.0757722274602654","0.0900156181935129","1"
"Disabled","2016","Part Time","East Germany","96","0.0989024197519999","0.082067773528689","0.115737065975311","1"
"Disabled","2016","Not Working","West Germany","1309","0.244813048319502","0.234213198420468","0.255412898218536","1"
"Disabled","2016","Not Working","East Germany","403","0.240087357414094","0.220881319970625","0.259293394857563","1"
"Not disabled","2016","Full Time","West Germany","6877","0.936101873158296","0.930465568250318","0.941738178066275","0"
"Not disabled","2016","Full Time","East Germany","1876","0.955306921895859","0.946140501318345","0.964473342473372","0"
"Not disabled","2016","Part Time","East Germany","1112","0.901097580248","0.884262934024689","0.917932226471311","0"
"Not disabled","2016","Part Time","West Germany","5386","0.917106077173111","0.909984381806487","0.924227772539735","0"
"Not disabled","2016","Not Working","West Germany","5012","0.755186951680498","0.744587101781464","0.765786801579532","0"
"Not disabled","2016","Not Working","East Germany","1497","0.759912642585906","0.740706605142437","0.779118680029375","0"
"Disabled","2017","Full Time","West Germany","398","0.053447462316753","0.048558853204027","0.058336071429479","1"
"Disabled","2017","Full Time","East Germany","88","0.0464610397953505","0.0378081323797048","0.0551139472109961","1"
"Disabled","2017","Part Time","West Germany","460","0.0974586505656733","0.0901599678240563","0.10475733330729","1"
"Disabled","2017","Part Time","East Germany","107","0.0932722126570241","0.0776017156337054","0.108942709680343","1"
"Disabled","2017","Not Working","West Germany","1384","0.244336257610543","0.233942107679432","0.254730407541655","1"
"Disabled","2017","Not Working","East Germany","434","0.227650443758171","0.209405258864607","0.245895628651735","1"
"Not disabled","2017","Full Time","West Germany","7734","0.946552537683247","0.941663928570521","0.951441146795973","0"
"Not disabled","2017","Full Time","East Germany","2185","0.953538960204649","0.944886052789004","0.962191867620295","0"
"Not disabled","2017","Part Time","East Germany","1216","0.906727787342976","0.891057290319657","0.922398284366295","0"
"Not disabled","2017","Part Time","West Germany","5883","0.902541349434327","0.89524266669271","0.909840032175944","0"
"Not disabled","2017","Not Working","East Germany","1595","0.772349556241829","0.754104371348265","0.790594741135393","0"
"Not disabled","2017","Not Working","West Germany","5181","0.755663742389457","0.745269592458345","0.766057892320568","0"
"Disabled","2018","Full Time","West Germany","420","0.0568023468730386","0.0516540704573867","0.0619506232886906","1"
"Disabled","2018","Full Time","East Germany","84","0.0394621667809404","0.031264951577245","0.0476593819846357","1"
"Disabled","2018","Part Time","West Germany","464","0.0893367036839629","0.0822328921742324","0.0964405151936934","1"
"Disabled","2018","Part Time","East Germany","128","0.116725407475677","0.0995845038422644","0.133866311109091","1"
"Disabled","2018","Not Working","West Germany","1405","0.24996939772839","0.239254368477793","0.260684426978987","1"
"Disabled","2018","Not Working","East Germany","440","0.238468692298924","0.219731318369247","0.257206066228602","1"
"Not disabled","2018","Full Time","West Germany","7345","0.943197653126961","0.938049376711309","0.948345929542613","0"
"Not disabled","2018","Full Time","East Germany","2083","0.96053783321906","0.952340618015364","0.968735048422755","0"
"Not disabled","2018","Part Time","West Germany","5729","0.910663296316037","0.903559484806307","0.917767107825768","0"
"Not disabled","2018","Part Time","East Germany","1220","0.883274592524322","0.866133688890909","0.900415496157736","0"
"Not disabled","2018","Not Working","West Germany","4868","0.75003060227161","0.739315573021013","0.760745631522207","0"
"Not disabled","2018","Not Working","East Germany","1547","0.761531307701076","0.742793933771398","0.780268681630753","0"
"Disabled","2019","Full Time","West Germany","394","0.0568176644833938","0.0517884276808779","0.0618469012859097","1"
"Disabled","2019","Full Time","East Germany","107","0.0552525390938199","0.0460092713493665","0.0644958068382734","1"
"Disabled","2019","Part Time","West Germany","441","0.081296248271926","0.0743446036308063","0.0882478929130456","1"
"Disabled","2019","Part Time","East Germany","103","0.0805915105936799","0.0655852163829018","0.0955978048044581","1"
"Disabled","2019","Not Working","West Germany","1338","0.246522422785619","0.235705150516818","0.257339695054419","1"
"Disabled","2019","Not Working","East Germany","449","0.241499629626636","0.222551943214671","0.260447316038602","1"
"Not disabled","2019","Full Time","West Germany","7745","0.943182335516606","0.93815309871409","0.948211572319122","0"
"Not disabled","2019","Full Time","East Germany","2240","0.94474746090618","0.935504193161727","0.953990728650634","0"
"Not disabled","2019","Part Time","West Germany","5496","0.918703751728074","0.911752107086954","0.925655396369194","0"
"Not disabled","2019","Not Working","West Germany","4760","0.753477577214381","0.742660304945581","0.764294849483181","0"
"Not disabled","2019","Part Time","East Germany","1161","0.91940848940632","0.904402195195542","0.934414783617098","0"
"Not disabled","2019","Not Working","East Germany","1511","0.758500370373363","0.739552683961398","0.777448056785329","0"
