"m11124","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Disabled","2009","Part Time","Rural Area","99","0.0749724384588621","0.0611875822960249","0.0887572946216993","1"
"Disabled","2009","Not Working","Urban Area","1020","0.250040196845402","0.237338513875587","0.262741879815217","1"
"Disabled","2009","Not Working","Rural Area","480","0.200417550171903","0.184371882093322","0.216463218250484","1"
"Not disabled","2009","Full Time","Urban Area","4311","0.940667745703793","0.933809319314713","0.947526172092872","0"
"Not disabled","2009","Full Time","Rural Area","2312","0.939546051712242","0.930105143934712","0.948986959489772","0"
"Not disabled","2009","Part Time","Urban Area","2639","0.933807148465561","0.924635935162725","0.942978361768397","0"
"Not disabled","2009","Part Time","Rural Area","1303","0.925027561541138","0.911242705378301","0.938812417703975","0"
"Not disabled","2009","Not Working","Urban Area","3445","0.749959803154598","0.737258120184783","0.762661486124413","0"
"Not disabled","2009","Not Working","Rural Area","1911","0.799582449828097","0.783536781749516","0.815628117906678","0"
"Disabled","2010","Full Time","Urban Area","263","0.054790979571495","0.0490598824867377","0.0605220766562523","1"
"Disabled","2010","Full Time","Rural Area","140","0.0575987417356723","0.0495188589251229","0.0656786245462218","1"
"Disabled","2010","Part Time","Urban Area","240","0.0794893893780063","0.0712940047702601","0.0876847739857524","1"
"Disabled","2010","Part Time","Rural Area","119","0.0874724292817145","0.0755660853746987","0.0993787731887302","1"
"Disabled","2010","Not Working","Urban Area","1014","0.239092244079479","0.22786063554409","0.250323852614867","1"
"Disabled","2010","Not Working","Rural Area","483","0.208233599449105","0.193357563696496","0.223109635201715","1"
"Not disabled","2010","Full Time","Urban Area","5794","0.945209020428505","0.939477923343748","0.950940117513262","0"
"Not disabled","2010","Full Time","Rural Area","3054","0.942401258264328","0.934321375453778","0.950481141074877","0"
"Not disabled","2010","Part Time","Urban Area","3945","0.920510610621994","0.912315226014248","0.92870599522974","0"
"Not disabled","2010","Part Time","Rural Area","2044","0.912527570718285","0.90062122681127","0.924433914625301","0"
"Not disabled","2010","Not Working","Urban Area","4526","0.760907755920521","0.749676147385133","0.77213936445591","0"
"Not disabled","2010","Not Working","Rural Area","2379","0.791766400550895","0.776890364798285","0.806642436303504","0"
"Disabled","2011","Full Time","Urban Area","338","0.0537612229928617","0.0484126135221624","0.0591098324635609","1"
"Disabled","2011","Full Time","Rural Area","177","0.0538718213738371","0.0467031046164098","0.0610405381312645","1"
"Disabled","2011","Part Time","Urban Area","289","0.0796087981156115","0.0720923443170658","0.0871252519141572","1"
"Disabled","2011","Part Time","Rural Area","167","0.0824428230595583","0.0720473158116629","0.0928383303074537","1"
"Disabled","2011","Not Working","Urban Area","1274","0.236819686184408","0.226556978193007","0.247082394175809","1"
"Disabled","2011","Not Working","Rural Area","665","0.216076516100597","0.202541703896636","0.229611328304558","1"
"Not disabled","2011","Full Time","Urban Area","6493","0.946238777007138","0.940890167536439","0.951587386477838","0"
"Not disabled","2011","Full Time","Rural Area","3633","0.946128178626163","0.938959461868736","0.95329689538359","0"
"Not disabled","2011","Part Time","Urban Area","4693","0.920391201884388","0.912874748085843","0.927907655682934","0"
"Not disabled","2011","Part Time","Rural Area","2522","0.917557176940442","0.907161669692546","0.927952684188337","0"
"Not disabled","2011","Not Working","Urban Area","5318","0.763180313815592","0.752917605824191","0.773443021806993","0"
"Not disabled","2011","Not Working","Rural Area","2887","0.783923483899403","0.770388671695442","0.797458296103364","0"
"Disabled","2012","Full Time","Urban Area","347","0.0594392943581414","0.053737964405542","0.0651406243107409","1"
"Disabled","2012","Not Working","Urban Area","1283","0.240245879181676","0.229647225180667","0.250844533182685","1"
"Disabled","2012","Full Time","Rural Area","180","0.0598481082325065","0.0523407069091325","0.0673555095558804","1"
"Disabled","2012","Part Time","Urban Area","321","0.0794236509304403","0.0718371238932511","0.0870101779676294","1"
"Disabled","2012","Part Time","Rural Area","162","0.0793300916008489","0.0689079531021375","0.0897522300995604","1"
"Disabled","2012","Not Working","Rural Area","739","0.231397182609512","0.217524388718993","0.245269976500031","1"
"Not disabled","2012","Full Time","Urban Area","6260","0.940560705641859","0.934859375689259","0.946262035594458","0"
"Not disabled","2012","Full Time","Rural Area","3655","0.940151891767493","0.932644490444119","0.947659293090867","0"
"Not disabled","2012","Part Time","Urban Area","4559","0.92057634906956","0.912989822032371","0.928162876106749","0"
"Not disabled","2012","Part Time","Rural Area","2421","0.920669908399151","0.91024776990044","0.931092046897863","0"
"Not disabled","2012","Not Working","Urban Area","4959","0.759754120818324","0.749155466817315","0.770352774819333","0"
"Not disabled","2012","Not Working","Rural Area","2811","0.768602817390488","0.754730023499969","0.782475611281007","0"
"Disabled","2013","Full Time","Urban Area","329","0.0584651975770536","0.0526321647008146","0.0642982304532926","1"
"Disabled","2013","Full Time","Rural Area","179","0.0662941671103674","0.0580693145472154","0.0745190196735194","1"
"Disabled","2013","Part Time","Urban Area","312","0.0919639488018391","0.0836545646090611","0.100273332994617","1"
"Disabled","2013","Part Time","Rural Area","182","0.0850059273496789","0.074134331445848","0.0958775232535099","1"
"Disabled","2013","Not Working","Urban Area","1387","0.21096591553878","0.202774991739899","0.21915683933766","1"
"Disabled","2013","Not Working","Rural Area","687","0.207425999860722","0.195277337711422","0.219574662010021","1"
"Not disabled","2013","Full Time","Urban Area","5886","0.941534802422946","0.935701769546707","0.947367835299185","0"
"Not disabled","2013","Full Time","Rural Area","3336","0.933705832889633","0.925480980326481","0.941930685452785","0"
"Not disabled","2013","Part Time","Urban Area","4334","0.908036051198161","0.899726667005383","0.916345435390939","0"
"Not disabled","2013","Part Time","Rural Area","2346","0.914994072650321","0.90412247674649","0.925865668554152","0"
"Not disabled","2013","Not Working","Urban Area","8144","0.78903408446122","0.78084316066234","0.797225008260101","0"
"Not disabled","2013","Not Working","Rural Area","3592","0.792574000139278","0.780425337989979","0.804722662288578","0"
"Disabled","2014","Full Time","Urban Area","326","0.0586931016934251","0.0530724426349305","0.0643137607519197","1"
"Disabled","2014","Full Time","Rural Area","195","0.0674143699295322","0.0591335371493469","0.0756952027097175","1"
"Disabled","2014","Part Time","Urban Area","327","0.0826907030730759","0.0751021483129775","0.0902792578331742","1"
"Disabled","2014","Part Time","Rural Area","182","0.0937729983135995","0.0823550432611427","0.105190953366056","1"
"Disabled","2014","Not Working","Urban Area","1267","0.252861303240162","0.241939476328975","0.263783130151348","1"
"Disabled","2014","Not Working","Rural Area","694","0.240693073475798","0.226053897832049","0.255332249119547","1"
"Not disabled","2014","Full Time","Urban Area","6392","0.941306898306575","0.93568623924808","0.94692755736507","0"
"Not disabled","2014","Full Time","Rural Area","3327","0.932585630070468","0.924304797290282","0.940866462850653","0"
"Not disabled","2014","Part Time","Urban Area","4733","0.917309296926924","0.909720742166826","0.924897851687022","0"
"Not disabled","2014","Part Time","Rural Area","2322","0.906227001686401","0.894809046633944","0.917644956738857","0"
"Not disabled","2014","Not Working","Urban Area","4817","0.747138696759838","0.736216869848652","0.758060523671025","0"
"Not disabled","2014","Not Working","Rural Area","2582","0.759306926524202","0.744667750880453","0.773946102167951","0"
"Disabled","2015","Full Time","Urban Area","287","0.0591622836703651","0.0533000528838285","0.0650245144569018","1"
"Disabled","2015","Full Time","Rural Area","171","0.0631404740766055","0.054834750919308","0.071446197233903","1"
"Disabled","2015","Part Time","Urban Area","297","0.0802477928738123","0.0724692380596723","0.0880263476879522","1"
"Disabled","2015","Part Time","Rural Area","177","0.0974468450352803","0.0856892695409121","0.109204420529648","1"
"Disabled","2015","Not Working","Urban Area","1203","0.238801593727587","0.228682181416612","0.248921006038563","1"
"Disabled","2015","Not Working","Rural Area","636","0.223988692074765","0.21005053364262","0.237926850506909","1"
"Not disabled","2015","Full Time","Urban Area","5935","0.940837716329635","0.934975485543098","0.946699947116171","0"
"Not disabled","2015","Full Time","Rural Area","3123","0.936859525923394","0.928553802766097","0.945165249080692","0"
"Not disabled","2015","Part Time","Urban Area","4389","0.919752207126188","0.911973652312048","0.927530761940328","0"
"Not disabled","2015","Part Time","Rural Area","2267","0.90255315496472","0.890795579470352","0.914310730459088","0"
"Not disabled","2015","Not Working","Urban Area","5616","0.761198406272413","0.751078993961437","0.771317818583388","0"
"Not disabled","2015","Not Working","Rural Area","2801","0.776011307925235","0.762073149493091","0.78994946635738","0"
"Disabled","2016","Full Time","Urban Area","292","0.0609514424951387","0.0548969063065093","0.0670059786837681","1"
"Disabled","2016","Full Time","Rural Area","140","0.0590213831529037","0.050839530990988","0.0672032353148194","1"
"Disabled","2016","Part Time","Urban Area","294","0.0844422346492962","0.0764141010719606","0.0924703682266318","1"
"Disabled","2016","Part Time","Rural Area","174","0.0877339497359954","0.0763151412819555","0.0991527581900353","1"
"Disabled","2016","Not Working","Urban Area","1097","0.243659462687282","0.23219043571035","0.255128489664213","1"
"Disabled","2016","Not Working","Rural Area","615","0.244678230831074","0.228864692288705","0.260491769373442","1"
"Not disabled","2016","Full Time","Urban Area","5706","0.939048557504861","0.932994021316232","0.945103093693491","0"
"Not disabled","2016","Full Time","Rural Area","3047","0.940978616847096","0.932796764685181","0.949160469009012","0"
"Not disabled","2016","Part Time","Urban Area","4314","0.915557765350704","0.907529631773368","0.923585898928039","0"
"Not disabled","2016","Part Time","Rural Area","2184","0.912266050264005","0.900847241809965","0.923684858718045","0"
"Not disabled","2016","Not Working","Urban Area","4285","0.756340537312718","0.744871510335787","0.76780956428965","0"
"Not disabled","2016","Not Working","Rural Area","2224","0.755321769168926","0.739508230626558","0.771135307711295","0"
"Disabled","2017","Full Time","Urban Area","309","0.0513646798105659","0.0460660350811208","0.056663324540011","1"
"Disabled","2017","Full Time","Rural Area","177","0.0539468230322115","0.0467046457183788","0.0611890003460442","1"
"Disabled","2017","Part Time","Urban Area","366","0.0954406998601807","0.0873449298522139","0.103536469868148","1"
"Disabled","2017","Part Time","Rural Area","201","0.0999924715647812","0.0884747226150343","0.111510220514528","1"
"Disabled","2017","Not Working","Urban Area","1146","0.241494566358291","0.230191815489883","0.252797317226699","1"
"Disabled","2017","Not Working","Rural Area","672","0.240859072812092","0.225772422009079","0.255945723615104","1"
"Not disabled","2017","Full Time","Urban Area","6358","0.948635320189434","0.943336675459989","0.953933964918879","0"
"Not disabled","2017","Full Time","Rural Area","3561","0.946053176967789","0.938810999653956","0.953295354281621","0"
"Not disabled","2017","Part Time","Rural Area","2405","0.900007528435219","0.888489779485472","0.911525277384966","0"
"Not disabled","2017","Part Time","Urban Area","4694","0.904559300139819","0.896463530131853","0.912655070147786","0"
"Not disabled","2017","Not Working","Urban Area","4362","0.758505433641709","0.747202682773301","0.769808184510117","0"
"Not disabled","2017","Not Working","Rural Area","2414","0.759140927187908","0.744054276384896","0.774227577990921","0"
"Disabled","2018","Full Time","Urban Area","335","0.0540343995134732","0.0484988635565782","0.0595699354703682","1"
"Disabled","2018","Full Time","Rural Area","169","0.0531395212205139","0.0457335511155431","0.0605454913254847","1"
"Disabled","2018","Part Time","Urban Area","355","0.0917293345126112","0.0836761754370954","0.099782493588127","1"
"Disabled","2018","Part Time","Rural Area","237","0.0977657397119862","0.0863628772026503","0.109168602221322","1"
"Disabled","2018","Not Working","Urban Area","1175","0.242083478934358","0.230613026964329","0.253553930904387","1"
"Disabled","2018","Not Working","Rural Area","670","0.260956675902564","0.244981570654997","0.27693178115013","1"
"Not disabled","2018","Full Time","Urban Area","6073","0.945965600486527","0.940430064529632","0.951501136443422","0"
"Not disabled","2018","Full Time","Rural Area","3355","0.946860478779486","0.939454508674515","0.954266448884457","0"
"Not disabled","2018","Part Time","Rural Area","2369","0.902234260288014","0.890831397778678","0.91363712279735","0"
"Not disabled","2018","Part Time","Urban Area","4580","0.908270665487389","0.900217506411873","0.916323824562905","0"
"Not disabled","2018","Not Working","Rural Area","2233","0.739043324097436","0.72306821884987","0.755018429345003","0"
"Not disabled","2018","Not Working","Urban Area","4182","0.757916521065642","0.746446069095613","0.769386973035671","0"
"Disabled","2019","Full Time","Urban Area","292","0.0555873849414112","0.0499183355930179","0.0612564342898044","1"
"Disabled","2019","Full Time","Rural Area","172","0.0558848045385371","0.0484145649130646","0.0633550441640096","1"
"Disabled","2019","Part Time","Urban Area","319","0.0774458426333966","0.0695487470137663","0.0853429382530268","1"
"Disabled","2019","Part Time","Rural Area","187","0.0858262276677698","0.0745775466062478","0.0970749087292919","1"
"Disabled","2019","Not Working","Urban Area","1001","0.234142539486358","0.222121565677787","0.246163513294929","1"
"Disabled","2019","Not Working","Rural Area","662","0.263701174404813","0.247518094279712","0.279884254529914","1"
"Not disabled","2019","Full Time","Urban Area","5983","0.944412615058589","0.938743565710196","0.950081664406982","0"
"Not disabled","2019","Full Time","Rural Area","3460","0.944115195461463","0.936644955835991","0.951585435086935","0"
"Not disabled","2019","Part Time","Urban Area","4082","0.922554157366603","0.914657061746973","0.930451252986234","0"
"Not disabled","2019","Part Time","Rural Area","2195","0.91417377233223","0.902925091270708","0.925422453393752","0"
"Not disabled","2019","Not Working","Urban Area","3766","0.765857460513642","0.753836486705071","0.777878434322213","0"
"Not disabled","2019","Not Working","Rural Area","2186","0.736298825595187","0.720115745470086","0.752481905720288","0"
