"m11124","year","bula_h","n","percent","lower_confidence","upper_confidence"
"Not disabled","2003","Mecklenburg-Western Pomerania","467","0.872340006433416","0.843794434853559","0.900885578013272"
"Not disabled","2003","Saxony","1492","0.913732498834538","0.900052313614156","0.92741268405492"
"Not disabled","2003","Saxony-Anhalt","847","0.894304971617129","0.874577229981671","0.914032713252587"
"Not disabled","2003","Thuringia","877","0.900871394463976","0.881928338523001","0.919814450404952"
"Disabled","2003","Schleswig-Holstein","76","0.12305047021747","0.0982691098498968","0.147831830585043"
"Disabled","2003","Hamburg","33","0.175720189947988","0.132437122684209","0.219003257211767"
"Disabled","2003","Lower Saxony","200","0.129015892114654","0.113990325184078","0.144041459045231"
"Disabled","2003","Bremen","19","","",""
"Disabled","2003","North Rhine-Westphalia","549","0.138402253114377","0.128518273703131","0.148286232525622"
"Disabled","2003","Hesse","183","0.131991359117604","0.114873561030132","0.149109157205076"
"Disabled","2003","Rhineland-Palatinate,Saarland","158","0.124607947877202","0.107003033517447","0.142212862236957"
"Disabled","2003","Baden-Württemberg","274","0.125853787229423","0.113352062501747","0.1383555119571"
"Disabled","2003","Bavaria","298","0.109876315063275","0.0989447072113404","0.12080792291521"
"Disabled","2003","Berlin","101","0.13961139930142","0.116004405472306","0.163218393130535"
"Disabled","2003","Brandenburg","104","0.108834159204451","0.0889885515256909","0.128679766883212"
"Disabled","2003","Mecklenburg-Western Pomerania","58","0.127659993566584","0.0991144219867277","0.156205565146441"
"Disabled","2003","Saxony","126","0.0862675011654617","0.0725873159450801","0.0999476863858434"
"Disabled","2003","Saxony-Anhalt","86","0.105695028382871","0.0859672867474129","0.125422770018329"
"Disabled","2003","Thuringia","79","0.0991286055360236","0.0801855495950483","0.118071661476999"
"Not disabled","2004","Schleswig-Holstein","602","0.875194014958462","0.850316722041242","0.900071307875681"
"Not disabled","2004","Hamburg","262","0.820405958235717","0.776824643860622","0.863987272610812"
"Not disabled","2004","Lower Saxony","1686","0.86262112189381","0.847097175344496","0.878145068443124"
"Not disabled","2004","Bremen","148","0.846672097508738","0.792189014944524","0.901155180072951"
"Not disabled","2004","North Rhine-Westphalia","4002","0.855551932395511","0.845342938202088","0.865760926588933"
"Not disabled","2004","Hesse","1271","0.876235699185982","0.85923864618338","0.893232752188585"
"Not disabled","2004","Rhineland-Palatinate,Saarland","1150","0.869707191178265","0.851443456517437","0.887970925839093"
"Not disabled","2004","Baden-Württemberg","2333","0.868524337571335","0.855585027342287","0.881463647800384"
"Not disabled","2004","Bavaria","2759","0.883660854939623","0.872302323915637","0.895019385963609"
"Not disabled","2004","Berlin","707","0.851756066377352","0.827300160920665","0.876211971834039"
"Not disabled","2004","Brandenburg","801","0.876198290836864","0.854799367841465","0.897597213832264"
"Not disabled","2004","Mecklenburg-Western Pomerania","460","0.901064261489448","0.875176641592202","0.926951881386694"
"Not disabled","2004","Saxony","1447","0.902271111073028","0.887610570260576","0.91693165188548"
"Not disabled","2004","Saxony-Anhalt","838","0.882561709354333","0.861837134733934","0.903286283974731"
"Not disabled","2004","Thuringia","860","0.890516240894874","0.870587125720492","0.910445356069257"
"Disabled","2004","Schleswig-Holstein","76","0.124805985041538","0.099928692124319","0.149683277958758"
"Disabled","2004","Hamburg","36","0.179594041764283","0.136012727389188","0.223175356139378"
"Disabled","2004","Lower Saxony","203","0.13737887810619","0.121854931556876","0.152902824655504"
"Disabled","2004","Bremen","20","","",""
"Disabled","2004","North Rhine-Westphalia","553","0.144448067604489","0.134239073411067","0.154657061797912"
"Disabled","2004","Hesse","171","0.123764300814018","0.106767247811415","0.14076135381662"
"Disabled","2004","Rhineland-Palatinate,Saarland","155","0.130292808821735","0.112029074160907","0.148556543482563"
"Disabled","2004","Baden-Württemberg","287","0.131475662428665","0.118536352199616","0.144414972657713"
"Disabled","2004","Bavaria","302","0.116339145060377","0.104980614036391","0.127697676084363"
"Disabled","2004","Berlin","104","0.148243933622648","0.123788028165961","0.172699839079335"
"Disabled","2004","Brandenburg","109","0.123801709163136","0.102402786167736","0.145200632158535"
"Disabled","2004","Mecklenburg-Western Pomerania","51","0.0989357385105521","0.0730481186133059","0.124823358407798"
"Disabled","2004","Saxony","129","0.0977288889269719","0.0830683481145195","0.112389429739424"
"Disabled","2004","Saxony-Anhalt","89","0.117438290645667","0.0967137160252692","0.138162865266066"
"Disabled","2004","Thuringia","83","0.109483759105126","0.089554643930743","0.129412874279508"
"Not disabled","2005","Schleswig-Holstein","575","0.870231747000118","0.84443731413855","0.896026179861687"
"Not disabled","2005","Hamburg","256","0.824676377064388","0.78098823337437","0.868364520754406"
"Not disabled","2005","Lower Saxony","1598","0.866455611500417","0.850714954591406","0.882196268409429"
"Not disabled","2005","Bremen","127","0.839407186993247","0.780054714143862","0.898759659842632"
"Not disabled","2005","North Rhine-Westphalia","3810","0.855271184675611","0.844839924053274","0.865702445297947"
"Not disabled","2005","Hesse","1213","0.886619349583366","0.869824178136604","0.903414521030128"
"Not disabled","2005","Rhineland-Palatinate,Saarland","1102","0.88082415082578","0.862798085743369","0.898850215908192"
"Not disabled","2005","Baden-Württemberg","2263","0.881492088979566","0.868902860335079","0.894081317624052"
"Not disabled","2005","Bavaria","2607","0.884763456016205","0.873166043466493","0.896360868565917"
"Not disabled","2005","Berlin","659","0.852214496501771","0.826950394581097","0.877478598422444"
"Not disabled","2005","Brandenburg","781","0.88029492151767","0.858944227618929","0.90164561541641"
"Not disabled","2005","Mecklenburg-Western Pomerania","447","0.890492821875734","0.863203006098857","0.917782637652612"
"Not disabled","2005","Saxony","1397","0.899448612158067","0.884384528866289","0.914512695449845"
"Not disabled","2005","Saxony-Anhalt","809","0.877715727720018","0.856264293787318","0.899167161652717"
"Not disabled","2005","Thuringia","809","0.88733584443764","0.866563286287813","0.908108402587467"
"Disabled","2005","Schleswig-Holstein","77","0.129768252999882","0.103973820138313","0.15556268586145"
"Disabled","2005","Hamburg","35","0.175323622935612","0.131635479245594","0.21901176662563"
"Disabled","2005","Lower Saxony","196","0.133544388499583","0.117803731590571","0.149285045408594"
"Disabled","2005","Bremen","20","","",""
"Disabled","2005","North Rhine-Westphalia","560","0.144728815324389","0.134297554702053","0.155160075946726"
"Disabled","2005","Hesse","156","0.113380650416634","0.0965854789698724","0.130175821863396"
"Disabled","2005","Rhineland-Palatinate,Saarland","139","0.11917584917422","0.101149784091808","0.137201914256631"
"Disabled","2005","Baden-Württemberg","269","0.118507911020434","0.105918682375948","0.131097139664921"
"Disabled","2005","Bavaria","305","0.115236543983795","0.103639131434083","0.126833956533507"
"Disabled","2005","Berlin","99","0.147785503498229","0.122521401577556","0.173049605418903"
"Disabled","2005","Brandenburg","107","0.11970507848233","0.0983543845835898","0.141055772381071"
"Disabled","2005","Mecklenburg-Western Pomerania","56","0.109507178124266","0.0822173623473883","0.136796993901143"
"Disabled","2005","Saxony","134","0.100551387841933","0.0854873045501548","0.115615471133711"
"Disabled","2005","Saxony-Anhalt","87","0.122284272279982","0.100832838347283","0.143735706212681"
"Disabled","2005","Thuringia","81","0.11266415556236","0.0918915974125332","0.133436713712187"
"Not disabled","2006","Schleswig-Holstein","583","0.844399259691364","0.817074616823274","0.871723902559453"
"Not disabled","2006","Hamburg","267","0.810233270594836","0.766512891001821","0.853953650187852"
"Not disabled","2006","Lower Saxony","1753","0.867393400288491","0.852420862939064","0.882365937637918"
"Not disabled","2006","Bremen","128","0.861868578922694","0.805708093393666","0.918029064451722"
"Not disabled","2006","North Rhine-Westphalia","3975","0.856372069809966","0.846188338516711","0.866555801103221"
"Not disabled","2006","Hesse","1289","0.867051749284855","0.849771844759336","0.884331653810373"
"Not disabled","2006","Rhineland-Palatinate,Saarland","1138","0.880443010964964","0.862731331579913","0.898154690350015"
"Not disabled","2006","Baden-Württemberg","2408","0.870943266874535","0.858364687636818","0.883521846112253"
"Not disabled","2006","Bavaria","2814","0.883412702105397","0.872208977506621","0.894616426704173"
"Not disabled","2006","Berlin","685","0.860123817408399","0.835828667534337","0.884418967282461"
"Not disabled","2006","Brandenburg","827","0.884614235031318","0.864212095271212","0.905016374791424"
"Not disabled","2006","Mecklenburg-Western Pomerania","492","0.883596526682455","0.856818272400147","0.910374780964764"
"Not disabled","2006","Saxony","1433","0.880398308950774","0.864403081650881","0.896393536250666"
"Not disabled","2006","Saxony-Anhalt","824","0.888272068123865","0.867837447225225","0.908706689022505"
"Not disabled","2006","Thuringia","854","0.876842082685576","0.855978278348832","0.897705887022319"
"Disabled","2006","Schleswig-Holstein","93","0.155600740308636","0.128276097440547","0.182925383176726"
"Disabled","2006","Hamburg","42","0.189766729405164","0.146046349812148","0.233487108998179"
"Disabled","2006","Lower Saxony","218","0.132606599711509","0.117634062362082","0.147579137060936"
"Disabled","2006","Bremen","17","","",""
"Disabled","2006","North Rhine-Westphalia","581","0.143627930190034","0.133444198896779","0.153811661483289"
"Disabled","2006","Hesse","194","0.132948250715145","0.115668346189627","0.150228155240664"
"Disabled","2006","Rhineland-Palatinate,Saarland","151","0.119556989035036","0.101845309649985","0.137268668420087"
"Disabled","2006","Baden-Württemberg","321","0.129056733125465","0.116478153887747","0.141635312363182"
"Disabled","2006","Bavaria","338","0.116587297894603","0.105383573295827","0.127791022493379"
"Disabled","2006","Berlin","98","0.139876182591601","0.115581032717539","0.164171332465663"
"Disabled","2006","Brandenburg","115","0.115385764968682","0.0949836252085765","0.135787904728788"
