"year","age_gr","e11102","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2015","35-65 y.","Employed","1.27","1","1139","1","1","1","2","4","1.17","1.37","1","50","1","1"
"2015","35-65 y.","Not Employed","1.5","1","447","1","1","2","3","6","1.36","1.64","1","25","1","1"
"2015","66 and older","Employed","1.4","1","73","1","1","1","2","5","1.2","1.6","1","5","1","1"
"2015","66 and older","Not Employed","1.63","1","997","1","1","2","3","10","1.52","1.74","1","32","1","1"
"2016","16-34 y.","Employed","1.3","1","411","1","1","1","2","6","1.23","1.37","1","10","1","1"
"2016","16-34 y.","Not Employed","1.33","1","205","1","1","1","2","4","1.23","1.43","1","8","1","1"
"2016","35-65 y.","Employed","1.26","1","1136","1","1","1","2","4","1.21","1.31","1","12","1","1"
"2016","35-65 y.","Not Employed","1.71","1","431","1","1","2","3","10","1.54","1.88","1","30","1","1"
"2016","66 and older","Employed","1.52","1","69","1","1","1","3","8","1.2","1.84","1","8","1","1"
"2016","66 and older","Not Employed","1.66","1","908","1","1","2","3","6","1.54","1.78","1","48","1","1"
"2017","16-34 y.","Employed","1.17","1","457","1","1","1","2","3","1.12","1.22","1","6","1","1"
"2017","16-34 y.","Not Employed","1.27","1","202","1","1","1","2","4","1.17","1.37","1","7","1","1"
"2017","35-65 y.","Employed","1.35","1","1272","1","1","1","2","5","1.31","1.39","1","9","1","1"
"2017","35-65 y.","Not Employed","1.66","1","486","1","1","2","3","7","1.51","1.81","1","30","1","1"
"2017","66 and older","Employed","1.24","1","101","1","1","1","2","4","1.02","1.46","1","10","1","1"
"2017","66 and older","Not Employed","1.55","1","1005","1","1","2","3","6","1.48","1.62","1","15","1","1"
"2018","16-34 y.","Employed","1.19","1","423","1","1","1","2","4","1.12","1.26","1","8","1","1"
"2018","16-34 y.","Not Employed","1.46","1","218","1","1","1","2","12","1.24","1.68","1","20","1","1"
"2018","35-65 y.","Employed","1.31","1","1263","1","1","1","2","4","1.09","1.53","1","100","1","1"
"2018","35-65 y.","Not Employed","1.54","1","432","1","1","2","3","7","1.41","1.67","1","15","1","1"
"2018","66 and older","Employed","1.56","1","93","1","1","2","2","10","1.33","1.79","1","10","1","1"
"2018","66 and older","Not Employed","1.55","1","960","1","1","2","3","5","1.48","1.62","1","12","1","1"
"2019","16-34 y.","Employed","1.19","1","414","1","1","1","2","3","1.11","1.27","1","9","1","1"
"2019","16-34 y.","Not Employed","1.31","1","172","1","1","1","2","5","1.19","1.43","1","8","1","1"
"2019","35-65 y.","Employed","1.31","1","1334","1","1","1","2","5","1.22","1.4","1","50","1","1"
"2019","35-65 y.","Not Employed","1.53","1","440","1","1","2","3","6","1.42","1.64","1","10","1","1"
"2019","66 and older","Employed","1.45","1","139","1","1","2","3","4","1.3","1.6","1","7","1","1"
"2019","66 and older","Not Employed","1.62","1","924","1","1","2","3","8","1.53","1.71","1","20","1","1"
