"year","e11103","education","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1992","Full Time","Other degree","1.14","1","49","1","1","1","1","4","0.98","1.3","1","4","1","1"
"1992","Full Time","secondary school degree","1.26","1","148","1","1","1","2","6","1.08","1.44","1","12","1","1"
"1992","Not Working","college entrance qualification","1.31","1","67","1","1","1","3","3","1.15","1.47","1","4","1","1"
"1992","Not Working","lower secondary degree","1.6","1","347","1","1","2","2","10","1.37","1.83","1","21","1","1"
"1992","Not Working","no degree/no degree yet","1.56","1","41","1","1","2","3","4","1.35","1.77","1","4","1","1"
"1992","Not Working","Other degree","","","","","","","","","","","","","",""
"1992","Not Working","secondary school degree","1.55","1","91","1","1","1","3","10","1.26","1.84","1","10","1","1"
"1992","Part Time","college entrance qualification","1.66","1","49","1","1","2","2","30","0.45","2.87","1","30","1","1"
"1992","Part Time","lower secondary degree","1.58","1","136","1","1","2","3","10","1.37","1.79","1","10","1","1"
"1992","Part Time","no degree/no degree yet","","","","","","","","","","","","","",""
"1992","Part Time","Other degree","","","","","","","","","","","","","",""
"1992","Part Time","secondary school degree","1.46","1","107","1","1","1","2","4","0.27","2.65","1","65","1","1"
"1993","Full Time","college entrance qualification","","","","","","","","","","","","","",""
"1993","Full Time","lower secondary degree","","","","","","","","","","","","","",""
"1993","Full Time","no degree/no degree yet","","","","","","","","","","","","","",""
"1993","Full Time","Other degree","","","","","","","","","","","","","",""
"1993","Full Time","secondary school degree","","","","","","","","","","","","","",""
"1993","Not Working","college entrance qualification","","","","","","","","","","","","","",""
"1993","Not Working","lower secondary degree","","","","","","","","","","","","","",""
"1993","Not Working","no degree/no degree yet","","","","","","","","","","","","","",""
"1993","Not Working","Other degree","","","","","","","","","","","","","",""
"1993","Not Working","secondary school degree","","","","","","","","","","","","","",""
"1993","Part Time","college entrance qualification","","","","","","","","","","","","","",""
"1993","Part Time","lower secondary degree","","","","","","","","","","","","","",""
"1993","Part Time","no degree/no degree yet","","","","","","","","","","","","","",""
"1993","Part Time","Other degree","","","","","","","","","","","","","",""
"1993","Part Time","secondary school degree","","","","","","","","","","","","","",""
"1994","Full Time","college entrance qualification","1.21","1","66","1","1","1","2","2","0.81","1.61","1","14","1","1"
"1994","Full Time","lower secondary degree","1.34","1","182","1","1","1","2","8","1.15","1.53","1","16","1","1"
"1994","Full Time","no degree/no degree yet","","","","","","","","","","","","","",""
"1994","Full Time","Other degree","1.13","1","32","1","1","1","2","2","1","1.26","1","2","1","1"
"1994","Full Time","secondary school degree","1.34","1","142","1","1","1","2","5","1","1.68","1","21","1","1"
"1994","Not Working","college entrance qualification","1.29","1","51","1","1","2","2","3","1.15","1.43","1","3","1","1"
"1994","Not Working","lower secondary degree","1.56","1","395","1","1","1","2","8","1.26","1.86","1","50","1","1"
"1994","Not Working","no degree/no degree yet","1.53","1","49","1","1","1","2","6","1.32","1.74","1","6","1","1"
"1994","Not Working","Other degree","1.29","1","34","1","1","1","2","3","1.11","1.47","1","3","1","1"
"1994","Not Working","secondary school degree","1.64","1","117","1","1","2","3","13","1.38","1.9","1","13","1","1"
"1994","Part Time","college entrance qualification","1.7","1","37","1","1","2","2","7","1.29","2.11","1","7","1","1"
"1994","Part Time","lower secondary degree","1.58","1","126","1","1","1","3","14","1.33","1.83","1","14","1","1"
"1994","Part Time","no degree/no degree yet","","","","","","","","","","","","","",""
"1994","Part Time","Other degree","","","","","","","","","","","","","",""
"1994","Part Time","secondary school degree","1.26","1","84","1","1","1","2","3","1.05","1.47","1","7","1","1"
"1995","Full Time","college entrance qualification","1.05","1","59","1","1","1","1","3","0.88","1.22","1","5","1","1"
"1995","Full Time","lower secondary degree","1.35","1","161","1","1","1","2","14","1.15","1.55","0","14","1","1"
"1995","Full Time","no degree/no degree yet","","","","","","","","","","","","","",""
"1995","Full Time","Other degree","1.22","1","58","1","1","1","2","3","0.86","1.58","1","11","1","1"
"1995","Full Time","secondary school degree","1.38","1","130","1","1","1","2","11","1.14","1.62","1","11","1","1"
"1995","Not Working","college entrance qualification","1.78","1","53","1","1","2","3","4","0.49","3.07","1","35","1","1"
"1995","Not Working","lower secondary degree","1.64","1","377","1","1","2","3","7","1.46","1.82","0","21","1","1"
"1995","Not Working","no degree/no degree yet","2.15","1","56","1","1","1","3","20","1.36","2.94","1","20","1","1"
"1995","Not Working","Other degree","1.08","1","52","1","1","1","1","2","1.01","1.15","1","2","1","1"
"1995","Not Working","secondary school degree","1.68","1","145","1","1","2","3","6","1.48","1.88","0","8","1","1"
"1995","Part Time","college entrance qualification","1.2","1","55","1","1","1","1","4","1.04","1.36","1","4","1","1"
"1995","Part Time","lower secondary degree","1.41","1","144","1","1","1","2","8","1.17","1.65","1","11","1","1"
"1995","Part Time","no degree/no degree yet","","","","","","","","","","","","","",""
"1995","Part Time","Other degree","","","","","","","","","","","","","",""
"1995","Part Time","secondary school degree","1.24","1","97","1","1","1","2","5","1","1.48","0","11","1","1"
"1996","Full Time","college entrance qualification","1.19","1","78","1","1","1","2","4","1.07","1.31","1","4","1","1"
"1996","Full Time","lower secondary degree","1.57","1","139","1","1","1","3","7","1.37","1.77","1","7","1","1"
"1996","Full Time","no degree/no degree yet","","","","","","","","","","","","","",""
"1996","Full Time","Other degree","1.11","1","38","1","1","1","2","2","1.02","1.2","1","2","1","1"
"1996","Full Time","secondary school degree","1.29","1","138","1","1","1","2","9","1.05","1.53","1","10","1","1"
"1996","Not Working","college entrance qualification","2.53","1","60","1","1","2","3","14","1.92","3.14","1","14","1","1"
"1996","Not Working","lower secondary degree","1.8","1","388","1","1","2","2","15","1.52","2.08","1","35","1","1"
"1996","Not Working","no degree/no degree yet","1.28","1","59","1","1","1","2","5","1.08","1.48","1","5","1","1"
"1996","Not Working","Other degree","1.35","1","67","1","1","2","2","6","1.14","1.56","1","6","1","1"
"1996","Not Working","secondary school degree","1.76","1","130","1","1","1","2","30","1.29","2.23","1","30","1","1"
"1996","Part Time","college entrance qualification","1.18","1","56","1","1","1","2","3","1.05","1.31","1","3","1","1"
"1996","Part Time","lower secondary degree","1.7","1","116","1","1","1","3","10","1.35","2.05","1","17","1","1"
"1996","Part Time","no degree/no degree yet","","","","","","","","","","","","","",""
"1996","Part Time","Other degree","1.33","1","30","1","1","1","2","5","1.02","1.64","1","5","1","1"
"1996","Part Time","secondary school degree","1.29","1","128","1","1","1","2","6","1.05","1.53","1","14","1","1"
"1997","Full Time","college entrance qualification","1.18","1","70","1","1","1","2","3","1.06","1.3","1","3","1","1"
"1997","Full Time","lower secondary degree","1.72","1","158","1","1","1","2","15","1.44","2","1","15","1","1"
"1997","Full Time","no degree/no degree yet","","","","","","","","","","","","","",""
"1997","Full Time","Other degree","1.2","1","32","1","1","1","1","6","0.87","1.53","1","6","1","1"
"1997","Full Time","secondary school degree","1.48","1","139","1","1","1","2","7","1.05","1.91","1","30","1","1"
"1997","Not Working","college entrance qualification","1.17","1","61","1","1","1","2","3","1.04","1.3","1","3","1","1"
"1997","Not Working","lower secondary degree","2.03","1","419","1","1","2","3","30","1.74","2.32","1","36","1","1"
"1997","Not Working","no degree/no degree yet","1.49","1","53","1","1","1","3","21","0.73","2.25","1","21","1","1"
"1997","Not Working","Other degree","1.31","1","63","1","1","1","2","3","1.14","1.48","1","4","1","1"
"1997","Not Working","secondary school degree","1.35","1","120","1","1","1","2","7","1.1","1.6","1","12","1","1"
