"pli0091_h","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Daily","1986","Part Time","middle vocational","","","","","1"
"Daily","1986","Part Time","vocational + Abi","","","","","1"
"Daily","1986","Part Time","higher vocational","","","","","1"
"Daily","1986","Part Time","higher education","","","","","1"
"Daily","1986","Not Working","in school","","","","","1"
"Daily","1986","Not Working","inadequately","","","","","1"
"Daily","1986","Not Working","general elemantary","","","","","1"
"Daily","1986","Not Working","middle vocational","","","","","1"
"Daily","1986","Not Working","vocational + Abi","","","","","1"
"Daily","1986","Not Working","higher vocational","","","","","1"
"Daily","1986","Not Working","higher education","","","","","1"
"Min 1x per month","1986","Not Working","higher education","18","","","","3"
"Min 1x per month","1986","Not Working","middle vocational","159","0.0792331988570193","0.0660722484263329","0.0923941492877058","3"
"Min 1x per month","1986","Part Time","in school","","","","","3"
"Min 1x per month","1986","Part Time","inadequately","8","","","","3"
"Min 1x per month","1986","Part Time","general elemantary","78","0.135067651361202","0.105858296625448","0.164277006096956","3"
"Min 1x per month","1986","Part Time","vocational + Abi","15","","","","3"
"Min 1x per month","1986","Part Time","higher education","38","0.276374505351863","0.199793976344914","0.352955034358813","3"
"Min 1x per month","1986","Not Working","higher vocational","21","","","","3"
"Min 1x per month","1986","Part Time","middle vocational","148","0.170052142951734","0.145202663725155","0.194901622178314","3"
"Min 1x per month","1986","Part Time","higher vocational","15","","","","3"
"Min 1x per month","1986","Not Working","in school","70","0.406277283746401","0.334923747736315","0.477630819756488","3"
"Min 1x per month","1986","Not Working","inadequately","19","","","","3"
"Min 1x per month","1986","Not Working","general elemantary","123","0.0682409419064077","0.0548443802740065","0.0816375035388089","3"
"Min 1x per month","1986","Not Working","vocational + Abi","11","","","","3"
"Min 1x per month","1986","Full Time","in school","","","","","3"
"Min 1x per month","1986","Full Time","inadequately","25","","","","3"
"Min 1x per month","1986","Full Time","general elemantary","152","0.178848301561262","0.155190633561532","0.202505969560993","3"
"Min 1x per month","1986","Full Time","middle vocational","447","0.179421383895901","0.164341173628004","0.194501594163797","3"
"Min 1x per month","1986","Full Time","vocational + Abi","28","","","","3"
"Min 1x per month","1986","Full Time","higher vocational","49","0.177771527495437","0.135551338603384","0.219991716387489","3"
"Min 1x per month","1986","Full Time","higher education","84","0.163413106721471","0.129986050370045","0.196840163072898","3"
"Min 1x per week","1986","Not Working","higher education","12","","","","2"
"Min 1x per week","1986","Not Working","higher vocational","1","","","","2"
"Min 1x per week","1986","Full Time","in school","","","","","2"
"Min 1x per week","1986","Part Time","higher education","9","","","","2"
"Min 1x per week","1986","Not Working","general elemantary","97","0.0477829313164488","0.0364504919577334","0.0591153706751643","2"
"Min 1x per week","1986","Full Time","inadequately","13","","","","2"
"Min 1x per week","1986","Full Time","general elemantary","118","0.134764536944638","0.113684430848361","0.155844643040914","2"
"Min 1x per week","1986","Full Time","middle vocational","260","0.104045635824983","0.0920460825764293","0.116045189073536","2"
"Min 1x per week","1986","Full Time","vocational + Abi","17","","","","2"
"Min 1x per week","1986","Part Time","in school","4","","","","2"
"Min 1x per week","1986","Part Time","inadequately","5","","","","2"
"Min 1x per week","1986","Part Time","general elemantary","78","0.158869081234663","0.127629391668212","0.190108770801115","2"
"Min 1x per week","1986","Part Time","middle vocational","102","0.11637600102526","0.0951647492398841","0.137587252810637","2"
"Min 1x per week","1986","Part Time","vocational + Abi","1","","","","2"
"Min 1x per week","1986","Part Time","higher vocational","6","","","","2"
"Min 1x per week","1986","Not Working","in school","58","0.30374871381589","0.236936997860411","0.370560429771369","2"
"Min 1x per week","1986","Not Working","inadequately","15","","","","2"
"Min 1x per week","1986","Not Working","middle vocational","90","0.0481364808729861","0.0377065040795161","0.0585664576664561","2"
"Min 1x per week","1986","Not Working","vocational + Abi","5","","","","2"
"Min 1x per week","1986","Full Time","higher vocational","24","","","","2"
"Min 1x per week","1986","Full Time","higher education","40","0.0884117067317819","0.0627459886888841","0.11407742477468","2"
"Never","1986","Not Working","higher education","74","0.610592673668662","0.530672222696407","0.690513124640917","5"
"Never","1986","Not Working","higher vocational","98","0.643630906468152","0.569881412444553","0.717380400491751","5"
"Never","1986","Full Time","in school","","","","","5"
