"pli0091_h","year","pgcasmin","sex","n","percent","lower_confidence","upper_confidence"
"Min 1x per month","1986","(1a) inadequately completed","Female","22","","",""
"Min 1x per month","1986","(1b) general elementary school","Male","120","0.128337340605074","0.105826023605011","0.150848657605137"
"Min 1x per month","1986","(1b) general elementary school","Female","94","0.0468157339670298","0.0365067643875974","0.0571247035464622"
"Min 1x per month","1986","(1c) basic vocational qualification","Male","282","0.122156654410453","0.1082302850205","0.136083023800407"
"Min 1x per month","1986","(1c) basic vocational qualification","Female","143","0.086198317742473","0.0718900767709636","0.100506558713982"
"Min 1x per month","1986","(2b) intermediate general qualification","Male","65","0.381924279565885","0.310347701176991","0.45350085795478"
"Min 1x per month","1986","(2b) intermediate general qualification","Female","77","0.247263793837452","0.19717652764382","0.297351060031084"
"Min 1x per month","1986","(2a) intermediate vocational","Male","96","0.161888426408302","0.131461876272898","0.192314976543707"
"Min 1x per month","1986","(2a) intermediate vocational","Female","133","0.164707464792279","0.138054988566967","0.191359941017591"
"Min 1x per month","1986","(2c_gen) general maturity certificate","Male","78","0.368037428208903","0.306113028816828","0.429961827600977"
"Min 1x per month","1986","(2c_gen) general maturity certificate","Female","67","0.411565238902682","0.338020371194126","0.485110106611237"
"Min 1x per month","1986","(2c_voc) vocational maturity certificate","Male","44","0.175375040574457","0.127162360866897","0.223587720282018"
"Min 1x per month","1986","(2c_voc) vocational maturity certificate","Female","38","0.264001099652923","0.197739017134398","0.330263182171448"
"Min 1x per month","1986","(3a) lower tertiary education","Male","26","","",""
"Min 1x per month","1986","(3a) lower tertiary education","Female","15","","",""
"Min 1x per month","1986","(3b) higher tertiary education","Male","69","0.190642777377145","0.147936992104899","0.23334856264939"
"Min 1x per month","1986","(3b) higher tertiary education","Female","30","0.143402579155075","0.0913262540854587","0.19547890422469"
"Rarely","1986","(0) in school","Male","26","","",""
"Rarely","1986","(0) in school","Female","19","","",""
"Rarely","1986","(1a) inadequately completed","Male","77","0.225489021211651","0.182907250325342","0.26807079209796"
"Rarely","1986","(1a) inadequately completed","Female","77","0.201125431573282","0.165040015875569","0.237210847270994"
