"ple0182","year","bula_h","sex","n","percent","lower_confidence","upper_confidence"
"Yes, vegan","2018","Hesse","Female","9","","",""
"Yes, vegan","2018","Rhineland-Palatinate,Saarland","Male","5","","",""
"Yes, vegan","2018","Rhineland-Palatinate,Saarland","Female","6","","",""
"Yes, vegan","2018","Baden-Württemberg","Male","7","","",""
"Yes, vegan","2018","Baden-Württemberg","Female","11","","",""
"Yes, vegan","2018","Bavaria","Male","6","","",""
"Yes, vegan","2018","Bavaria","Female","18","","",""
"Yes, vegan","2018","Berlin","Male","5","","",""
"Yes, vegan","2018","Berlin","Female","10","","",""
"Yes, vegan","2018","Brandenburg","Male","","","",""
"Yes, vegan","2018","Brandenburg","Female","1","","",""
"Yes, vegan","2018","Mecklenburg-Western Pomerania","Male","","","",""
"Yes, vegan","2018","Mecklenburg-Western Pomerania","Female","3","","",""
"Yes, vegan","2018","Saxony","Male","4","","",""
"Yes, vegan","2018","Saxony","Female","5","","",""
"Yes, vegan","2018","Saxony-Anhalt","Male","1","","",""
"Yes, vegan","2018","Saxony-Anhalt","Female","2","","",""
"Yes, vegan","2018","Thuringia","Male","1","","",""
"Yes, vegan","2018","Thuringia","Female","2","","",""
"No","2018","Schleswig-Holstein","Male","417","0.963627988604591","0.945870869179003","0.98138510803018"
"No","2018","Schleswig-Holstein","Female","461","0.906798964069341","0.88139333365572","0.932204594482961"
"No","2018","Hamburg","Male","206","0.927711588883776","0.893015379116348","0.962407798651204"
"No","2018","Hamburg","Female","239","0.840457920408378","0.797178906642306","0.883736934174449"
"No","2018","Lower Saxony","Male","1145","0.954151819201122","0.942223124114549","0.966080514287696"
"No","2018","Lower Saxony","Female","1256","0.930904963556939","0.917411163669935","0.944398763443942"
"No","2018","Bremen","Male","101","0.948773996120479","0.906805656861419","0.99074233537954"
"No","2018","Bremen","Female","103","0.793823377332412","0.722035712170327","0.865611042494497"
"No","2018","North Rhine-Westphalia","Male","2408","0.967859273656773","0.960926109546047","0.9747924377675"
"No","2018","North Rhine-Westphalia","Female","2708","0.910458502082503","0.900162109309548","0.920754894855459"
"No","2018","Hesse","Male","763","0.967552192713547","0.955250955084708","0.979853430342385"
"No","2018","Hesse","Female","820","0.924828328432113","0.907706640843343","0.941950016020883"
"No","2018","Rhineland-Palatinate,Saarland","Male","670","0.965437345754054","0.951817422575685","0.979057268932423"
"No","2018","Rhineland-Palatinate,Saarland","Female","741","0.903616950206582","0.883128389686391","0.924105510726773"
"No","2018","Baden-Württemberg","Male","1233","0.963593897165501","0.953380953171536","0.973806841159465"
"No","2018","Baden-Württemberg","Female","1368","0.920046562616953","0.906339397436415","0.933753727797492"
