"pgnation","year","sampreg","n","percent","lower_confidence","upper_confidence"
"54","1990","West Germany","","","",""
"54","1990","East Germany","","","",""
"55","1990","West Germany","","","",""
"55","1990","East Germany","","","",""
"56","1990","West Germany","","","",""
"56","1990","East Germany","","","",""
"59","1990","West Germany","","","",""
"59","1990","East Germany","","","",""
"60","1990","West Germany","","","",""
"60","1990","East Germany","","","",""
"61","1990","West Germany","","","",""
"61","1990","East Germany","","","",""
"64","1990","West Germany","","","",""
"64","1990","East Germany","","","",""
"65","1990","West Germany","","","",""
"65","1990","East Germany","","","",""
"66","1990","West Germany","","","",""
"66","1990","East Germany","","","",""
"67","1990","West Germany","","","",""
"67","1990","East Germany","","","",""
"68","1990","West Germany","","","",""
"68","1990","East Germany","","","",""
"71","1990","West Germany","","","",""
"71","1990","East Germany","","","",""
"72","1990","West Germany","","","",""
"72","1990","East Germany","","","",""
"73","1990","West Germany","","","",""
"73","1990","East Germany","","","",""
"74","1990","West Germany","","","",""
"74","1990","East Germany","","","",""
"75","1990","West Germany","","","",""
"75","1990","East Germany","","","",""
"76","1990","West Germany","","","",""
"76","1990","East Germany","","","",""
"77","1990","West Germany","","","",""
"77","1990","East Germany","","","",""
"78","1990","West Germany","","","",""
"78","1990","East Germany","","","",""
"79","1990","West Germany","","","",""
"79","1990","East Germany","","","",""
"80","1990","West Germany","","","",""
"80","1990","East Germany","","","",""
"81","1990","West Germany","","","",""
"81","1990","East Germany","","","",""
"82","1990","West Germany","","","",""
"82","1990","East Germany","","","",""
"83","1990","West Germany","","","",""
"83","1990","East Germany","","","",""
"84","1990","West Germany","","","",""
"84","1990","East Germany","","","",""
"85","1990","West Germany","","","",""
"85","1990","East Germany","","","",""
"86","1990","West Germany","","","",""
"86","1990","East Germany","","","",""
"89","1990","West Germany","","","",""
"89","1990","East Germany","","","",""
"90","1990","West Germany","","","",""
"90","1990","East Germany","","","",""
"92","1990","West Germany","","","",""
"92","1990","East Germany","","","",""
"94","1990","West Germany","","","",""
"94","1990","East Germany","","","",""
"95","1990","West Germany","","","",""
"95","1990","East Germany","","","",""
"96","1990","West Germany","","","",""
"96","1990","East Germany","","","",""
"97","1990","West Germany","","","",""
"97","1990","East Germany","","","",""
"98","1990","West Germany","5","","",""
"98","1990","East Germany","1","","",""
"101","1990","West Germany","","","",""
"101","1990","East Germany","","","",""
"102","1990","West Germany","","","",""
"102","1990","East Germany","","","",""
"103","1990","West Germany","","","",""
"103","1990","East Germany","","","",""
"105","1990","West Germany","","","",""
"105","1990","East Germany","","","",""
"108","1990","West Germany","","","",""
"108","1990","East Germany","","","",""
"110","1990","West Germany","","","",""
"110","1990","East Germany","","","",""
"111","1990","West Germany","","","",""
"111","1990","East Germany","","","",""
"113","1990","West Germany","","","",""
"113","1990","East Germany","","","",""
"116","1990","West Germany","","","",""
"116","1990","East Germany","","","",""
"117","1990","West Germany","","","",""
"117","1990","East Germany","","","",""
"118","1990","West Germany","","","",""
"118","1990","East Germany","","","",""
"119","1990","West Germany","","","",""
"119","1990","East Germany","","","",""
"120","1990","West Germany","","","",""
"120","1990","East Germany","","","",""
"121","1990","West Germany","","","",""
"121","1990","East Germany","","","",""
"122","1990","West Germany","","","",""
"122","1990","East Germany","","","",""
"123","1990","West Germany","","","",""
"123","1990","East Germany","","","",""
"124","1990","West Germany","","","",""
"124","1990","East Germany","","","",""
"125","1990","West Germany","","","",""
"125","1990","East Germany","","","",""
"127","1990","West Germany","","","",""
"127","1990","East Germany","","","",""
"128","1990","West Germany","","","",""
"128","1990","East Germany","","","",""
"129","1990","West Germany","","","",""
"129","1990","East Germany","","","",""
"130","1990","West Germany","","","",""
"130","1990","East Germany","","","",""
"131","1990","West Germany","","","",""
"131","1990","East Germany","","","",""
"132","1990","West Germany","","","",""
"132","1990","East Germany","","","",""
"133","1990","West Germany","","","",""
"133","1990","East Germany","","","",""
"135","1990","West Germany","","","",""
"135","1990","East Germany","","","",""
"138","1990","West Germany","","","",""
"138","1990","East Germany","","","",""
"139","1990","West Germany","","","",""
"139","1990","East Germany","","","",""
"140","1990","West Germany","","","",""
"140","1990","East Germany","","","",""
"141","1990","West Germany","","","",""
"141","1990","East Germany","","","",""
"142","1990","West Germany","","","",""
"142","1990","East Germany","","","",""
"143","1990","West Germany","","","",""
"143","1990","East Germany","","","",""
"144","1990","West Germany","","","",""
"144","1990","East Germany","","","",""
"145","1990","West Germany","","","",""
"145","1990","East Germany","","","",""
"146","1990","West Germany","","","",""
"146","1990","East Germany","","","",""
"147","1990","West Germany","","","",""
"147","1990","East Germany","","","",""
"148","1990","West Germany","","","",""
"148","1990","East Germany","","","",""
"149","1990","West Germany","","","",""
"149","1990","East Germany","","","",""
"151","1990","West Germany","","","",""
"151","1990","East Germany","","","",""
"152","1990","West Germany","","","",""
"152","1990","East Germany","","","",""
"154","1990","West Germany","","","",""
"154","1990","East Germany","","","",""
"155","1990","West Germany","","","",""
"155","1990","East Germany","","","",""
"156","1990","West Germany","","","",""
"156","1990","East Germany","","","",""
"158","1990","West Germany","","","",""
"158","1990","East Germany","","","",""
"162","1990","West Germany","","","",""
"162","1990","East Germany","","","",""
"164","1990","West Germany","","","",""
"164","1990","East Germany","","","",""
"165","1990","West Germany","","","",""
"165","1990","East Germany","","","",""
"166","1990","West Germany","","","",""
"166","1990","East Germany","","","",""
"167","1990","West Germany","","","",""
"167","1990","East Germany","","","",""
"168","1990","West Germany","","","",""
"168","1990","East Germany","","","",""
"169","1990","West Germany","","","",""
"169","1990","East Germany","","","",""
"172","1990","West Germany","","","",""
"172","1990","East Germany","","","",""
"173","1990","West Germany","","","",""
"173","1990","East Germany","","","",""
"178","1990","West Germany","","","",""
"178","1990","East Germany","","","",""
"181","1990","West Germany","","","",""
"181","1990","East Germany","","","",""
"183","1990","West Germany","","","",""
"183","1990","East Germany","","","",""
"188","1990","West Germany","","","",""
"188","1990","East Germany","","","",""
"195","1990","West Germany","","","",""
"195","1990","East Germany","","","",""
"196","1990","West Germany","","","",""
"196","1990","East Germany","","","",""
"999","1990","West Germany","","","",""
"999","1990","East Germany","","","",""
"1","1991","West Germany","7089","0.920055530539665","0.914603311903272","0.925507749176057"
"1","1991","East Germany","4148","0.995317611892442","0.993243847400232","0.997391376384653"
"2","1991","West Germany","901","0.0312218737494746","0.0277255336248323","0.034718213874117"
"2","1991","East Germany","","","",""
"3","1991","West Germany","456","0.0155840129512274","0.0130940034188103","0.0180740224836444"
"3","1991","East Germany","","","",""
"4","1991","West Germany","324","0.00617583511640122","0.00460085653184129","0.00775081370096115"
"4","1991","East Germany","1","","",""
"5","1991","West Germany","454","0.0126621021340886","0.0104143012371368","0.0149099030310404"
"5","1991","East Germany","","","",""
"6","1991","West Germany","205","0.00257013636430041","0.00155226874853386","0.00358800398006696"
"6","1991","East Germany","","","",""
"10","1991","West Germany","23","","",""
"10","1991","East Germany","","","",""
"11","1991","West Germany","6","","",""
"11","1991","East Germany","","","",""
"12","1991","West Germany","8","","",""
"12","1991","East Germany","","","",""
"13","1991","West Germany","1","","",""
"13","1991","East Germany","","","",""
"14","1991","West Germany","6","","",""
"14","1991","East Germany","","","",""
"15","1991","West Germany","","","",""
"15","1991","East Germany","","","",""
"16","1991","West Germany","","","",""
"16","1991","East Germany","","","",""
"17","1991","West Germany","","","",""
"17","1991","East Germany","","","",""
"18","1991","West Germany","5","","",""
"18","1991","East Germany","","","",""
"19","1991","West Germany","3","","",""
"19","1991","East Germany","","","",""
"20","1991","West Germany","1","","",""
"20","1991","East Germany","","","",""
"21","1991","West Germany","","","",""
"21","1991","East Germany","","","",""
"22","1991","West Germany","5","","",""
"22","1991","East Germany","3","","",""
"23","1991","West Germany","","","",""
"23","1991","East Germany","","","",""
"24","1991","West Germany","2","","",""
"24","1991","East Germany","","","",""
"25","1991","West Germany","","","",""
"25","1991","East Germany","","","",""
"26","1991","West Germany","2","","",""
"26","1991","East Germany","3","","",""
"27","1991","West Germany","","","",""
"27","1991","East Germany","","","",""
"28","1991","West Germany","","","",""
"28","1991","East Germany","","","",""
"29","1991","West Germany","1","","",""
"29","1991","East Germany","1","","",""
"30","1991","West Germany","","","",""
"30","1991","East Germany","","","",""
"31","1991","West Germany","2","","",""
"31","1991","East Germany","2","","",""
"32","1991","West Germany","1","","",""
"32","1991","East Germany","4","","",""
"34","1991","West Germany","","","",""
"34","1991","East Germany","","","",""
"35","1991","West Germany","","","",""
"35","1991","East Germany","","","",""
"36","1991","West Germany","","","",""
"36","1991","East Germany","","","",""
"37","1991","West Germany","","","",""
"37","1991","East Germany","","","",""
"38","1991","West Germany","1","","",""
"38","1991","East Germany","","","",""
"39","1991","West Germany","","","",""
"39","1991","East Germany","","","",""
"40","1991","West Germany","","","",""
"40","1991","East Germany","","","",""
"41","1991","West Germany","2","","",""
"41","1991","East Germany","","","",""
"42","1991","West Germany","","","",""
"42","1991","East Germany","","","",""
"43","1991","West Germany","","","",""
"43","1991","East Germany","","","",""
"44","1991","West Germany","","","",""
"44","1991","East Germany","","","",""
"45","1991","West Germany","","","",""
"45","1991","East Germany","","","",""
"46","1991","West Germany","","","",""
"46","1991","East Germany","","","",""
"47","1991","West Germany","","","",""
"47","1991","East Germany","","","",""
"48","1991","West Germany","","","",""
"48","1991","East Germany","","","",""
"49","1991","West Germany","1","","",""
"49","1991","East Germany","","","",""
"50","1991","West Germany","1","","",""
"50","1991","East Germany","","","",""
"51","1991","West Germany","1","","",""
"51","1991","East Germany","","","",""
"52","1991","West Germany","1","","",""
"52","1991","East Germany","","","",""
"53","1991","West Germany","","","",""
"53","1991","East Germany","","","",""
"54","1991","West Germany","","","",""
"54","1991","East Germany","","","",""
"55","1991","West Germany","","","",""
"55","1991","East Germany","","","",""
"56","1991","West Germany","","","",""
"56","1991","East Germany","","","",""
"59","1991","West Germany","","","",""
"59","1991","East Germany","","","",""
"60","1991","West Germany","","","",""
"60","1991","East Germany","","","",""
"61","1991","West Germany","","","",""
"61","1991","East Germany","","","",""
"64","1991","West Germany","","","",""
"64","1991","East Germany","","","",""
"65","1991","West Germany","","","",""
"65","1991","East Germany","","","",""
"66","1991","West Germany","","","",""
"66","1991","East Germany","","","",""
"67","1991","West Germany","","","",""
"67","1991","East Germany","","","",""
"68","1991","West Germany","","","",""
"68","1991","East Germany","","","",""
"71","1991","West Germany","","","",""
"71","1991","East Germany","","","",""
"72","1991","West Germany","","","",""
"72","1991","East Germany","","","",""
"73","1991","West Germany","","","",""
"73","1991","East Germany","","","",""
"74","1991","West Germany","","","",""
"74","1991","East Germany","","","",""
"75","1991","West Germany","","","",""
"75","1991","East Germany","","","",""
"76","1991","West Germany","","","",""
"76","1991","East Germany","","","",""
"77","1991","West Germany","","","",""
"77","1991","East Germany","","","",""
"78","1991","West Germany","","","",""
"78","1991","East Germany","","","",""
"79","1991","West Germany","","","",""
"79","1991","East Germany","","","",""
"80","1991","West Germany","","","",""
"80","1991","East Germany","","","",""
"81","1991","West Germany","","","",""
"81","1991","East Germany","","","",""
"82","1991","West Germany","","","",""
"82","1991","East Germany","","","",""
"83","1991","West Germany","","","",""
"83","1991","East Germany","","","",""
"84","1991","West Germany","","","",""
"84","1991","East Germany","","","",""
"85","1991","West Germany","","","",""
"85","1991","East Germany","","","",""
"86","1991","West Germany","","","",""
"86","1991","East Germany","","","",""
"89","1991","West Germany","","","",""
"89","1991","East Germany","","","",""
"90","1991","West Germany","","","",""
"90","1991","East Germany","","","",""
"92","1991","West Germany","","","",""
"92","1991","East Germany","","","",""
"94","1991","West Germany","","","",""
"94","1991","East Germany","","","",""
"95","1991","West Germany","","","",""
"95","1991","East Germany","","","",""
"96","1991","West Germany","","","",""
"96","1991","East Germany","","","",""
"97","1991","West Germany","","","",""
"97","1991","East Germany","","","",""
"98","1991","West Germany","3","","",""
"98","1991","East Germany","1","","",""
"101","1991","West Germany","","","",""
"101","1991","East Germany","","","",""
"102","1991","West Germany","","","",""
"102","1991","East Germany","","","",""
"103","1991","West Germany","","","",""
"103","1991","East Germany","","","",""
"105","1991","West Germany","","","",""
"105","1991","East Germany","","","",""
"108","1991","West Germany","","","",""
"108","1991","East Germany","","","",""
"110","1991","West Germany","","","",""
"110","1991","East Germany","","","",""
"111","1991","West Germany","","","",""
"111","1991","East Germany","","","",""
"113","1991","West Germany","","","",""
"113","1991","East Germany","","","",""
"116","1991","West Germany","","","",""
"116","1991","East Germany","","","",""
"117","1991","West Germany","","","",""
"117","1991","East Germany","","","",""
"118","1991","West Germany","","","",""
"118","1991","East Germany","","","",""
"119","1991","West Germany","","","",""
"119","1991","East Germany","","","",""
"120","1991","West Germany","","","",""
"120","1991","East Germany","","","",""
"121","1991","West Germany","","","",""
"121","1991","East Germany","","","",""
"122","1991","West Germany","","","",""
"122","1991","East Germany","","","",""
"123","1991","West Germany","","","",""
"123","1991","East Germany","","","",""
"124","1991","West Germany","","","",""
"124","1991","East Germany","","","",""
"125","1991","West Germany","","","",""
"125","1991","East Germany","","","",""
"127","1991","West Germany","","","",""
"127","1991","East Germany","","","",""
"128","1991","West Germany","","","",""
"128","1991","East Germany","","","",""
"129","1991","West Germany","","","",""
"129","1991","East Germany","","","",""
"130","1991","West Germany","","","",""
"130","1991","East Germany","","","",""
"131","1991","West Germany","","","",""
"131","1991","East Germany","","","",""
"132","1991","West Germany","","","",""
"132","1991","East Germany","","","",""
"133","1991","West Germany","","","",""
"133","1991","East Germany","","","",""
"135","1991","West Germany","","","",""
"135","1991","East Germany","","","",""
"138","1991","West Germany","","","",""
"138","1991","East Germany","","","",""
"139","1991","West Germany","","","",""
"139","1991","East Germany","","","",""
"140","1991","West Germany","","","",""
"140","1991","East Germany","","","",""
"141","1991","West Germany","","","",""
"141","1991","East Germany","","","",""
"142","1991","West Germany","","","",""
"142","1991","East Germany","","","",""
"143","1991","West Germany","","","",""
"143","1991","East Germany","","","",""
"144","1991","West Germany","","","",""
"144","1991","East Germany","","","",""
"145","1991","West Germany","","","",""
"145","1991","East Germany","","","",""
"146","1991","West Germany","","","",""
"146","1991","East Germany","","","",""
"147","1991","West Germany","","","",""
"147","1991","East Germany","","","",""
"148","1991","West Germany","","","",""
"148","1991","East Germany","","","",""
"149","1991","West Germany","","","",""
"149","1991","East Germany","","","",""
"151","1991","West Germany","","","",""
"151","1991","East Germany","","","",""
"152","1991","West Germany","","","",""
"152","1991","East Germany","","","",""
"154","1991","West Germany","","","",""
"154","1991","East Germany","","","",""
"155","1991","West Germany","","","",""
"155","1991","East Germany","","","",""
"156","1991","West Germany","","","",""
"156","1991","East Germany","","","",""
"158","1991","West Germany","","","",""
"158","1991","East Germany","","","",""
"162","1991","West Germany","","","",""
"162","1991","East Germany","","","",""
"164","1991","West Germany","","","",""
"164","1991","East Germany","","","",""
"165","1991","West Germany","","","",""
"165","1991","East Germany","","","",""
"166","1991","West Germany","","","",""
"166","1991","East Germany","","","",""
"167","1991","West Germany","","","",""
"167","1991","East Germany","","","",""
"168","1991","West Germany","","","",""
"168","1991","East Germany","","","",""
"169","1991","West Germany","","","",""
"169","1991","East Germany","","","",""
"172","1991","West Germany","","","",""
"172","1991","East Germany","","","",""
"173","1991","West Germany","","","",""
"173","1991","East Germany","","","",""
"178","1991","West Germany","","","",""
"178","1991","East Germany","","","",""
"181","1991","West Germany","","","",""
"181","1991","East Germany","","","",""
"183","1991","West Germany","","","",""
"183","1991","East Germany","","","",""
"188","1991","West Germany","","","",""
"188","1991","East Germany","","","",""
"195","1991","West Germany","","","",""
"195","1991","East Germany","","","",""
"196","1991","West Germany","","","",""
"196","1991","East Germany","","","",""
"999","1991","West Germany","","","",""
"999","1991","East Germany","","","",""
"1","1992","West Germany","7026","0.910976391585179","0.90521793818476","0.916734844985597"
"1","1992","East Germany","3982","0.995924451926816","0.993948371376174","0.997900532477457"
"2","1992","West Germany","904","0.0338868970792277","0.0302281736055398","0.0375456205529155"
"2","1992","East Germany","","","",""
"3","1992","West Germany","445","0.0180813709087449","0.0153870263954678","0.020775715422022"
"3","1992","East Germany","","","",""
"4","1992","West Germany","327","0.00716601728192971","0.00546041824827085","0.00887161631558857"
"4","1992","East Germany","1","","",""
"5","1992","West Germany","433","0.013213822449384","0.0109048143248525","0.0155228305739154"
"5","1992","East Germany","","","",""
"6","1992","West Germany","183","0.00284560097341253","0.00176847151410995","0.0039227304327151"
"6","1992","East Germany","","","",""
"10","1992","West Germany","24","","",""
"10","1992","East Germany","","","",""
"11","1992","West Germany","7","","",""
"11","1992","East Germany","","","",""
"12","1992","West Germany","4","","",""
"12","1992","East Germany","","","",""
"13","1992","West Germany","1","","",""
"13","1992","East Germany","","","",""
"14","1992","West Germany","6","","",""
"14","1992","East Germany","","","",""
"15","1992","West Germany","","","",""
"15","1992","East Germany","","","",""
"16","1992","West Germany","","","",""
"16","1992","East Germany","","","",""
"17","1992","West Germany","","","",""
"17","1992","East Germany","","","",""
"18","1992","West Germany","5","","",""
"18","1992","East Germany","","","",""
"19","1992","West Germany","5","","",""
"19","1992","East Germany","","","",""
"20","1992","West Germany","1","","",""
"20","1992","East Germany","","","",""
"21","1992","West Germany","","","",""
"21","1992","East Germany","","","",""
"22","1992","West Germany","6","","",""
"22","1992","East Germany","1","","",""
"23","1992","West Germany","","","",""
"23","1992","East Germany","","","",""
"24","1992","West Germany","2","","",""
"24","1992","East Germany","","","",""
"25","1992","West Germany","","","",""
"25","1992","East Germany","","","",""
"26","1992","West Germany","1","","",""
"26","1992","East Germany","3","","",""
"27","1992","West Germany","","","",""
"27","1992","East Germany","","","",""
"28","1992","West Germany","","","",""
"28","1992","East Germany","","","",""
"29","1992","West Germany","2","","",""
"29","1992","East Germany","1","","",""
"30","1992","West Germany","","","",""
"30","1992","East Germany","","","",""
"31","1992","West Germany","2","","",""
"31","1992","East Germany","1","","",""
"32","1992","West Germany","1","","",""
"32","1992","East Germany","3","","",""
"34","1992","West Germany","","","",""
"34","1992","East Germany","","","",""
"35","1992","West Germany","","","",""
"35","1992","East Germany","","","",""
"36","1992","West Germany","","","",""
"36","1992","East Germany","","","",""
"37","1992","West Germany","","","",""
"37","1992","East Germany","","","",""
"38","1992","West Germany","1","","",""
"38","1992","East Germany","","","",""
"39","1992","West Germany","","","",""
"39","1992","East Germany","","","",""
"40","1992","West Germany","","","",""
"40","1992","East Germany","","","",""
"41","1992","West Germany","1","","",""
"41","1992","East Germany","","","",""
"42","1992","West Germany","","","",""
"42","1992","East Germany","","","",""
"43","1992","West Germany","","","",""
"43","1992","East Germany","","","",""
"44","1992","West Germany","","","",""
"44","1992","East Germany","","","",""
"45","1992","West Germany","","","",""
"45","1992","East Germany","","","",""
"46","1992","West Germany","","","",""
"46","1992","East Germany","","","",""
"47","1992","West Germany","","","",""
"47","1992","East Germany","","","",""
"48","1992","West Germany","","","",""
"48","1992","East Germany","","","",""
"49","1992","West Germany","1","","",""
"49","1992","East Germany","","","",""
"50","1992","West Germany","","","",""
"50","1992","East Germany","","","",""
"51","1992","West Germany","1","","",""
"51","1992","East Germany","","","",""
"52","1992","West Germany","1","","",""
"52","1992","East Germany","","","",""
"53","1992","West Germany","1","","",""
"53","1992","East Germany","","","",""
"54","1992","West Germany","1","","",""
"54","1992","East Germany","","","",""
"55","1992","West Germany","","","",""
"55","1992","East Germany","","","",""
"56","1992","West Germany","","","",""
"56","1992","East Germany","","","",""
"59","1992","West Germany","","","",""
"59","1992","East Germany","","","",""
"60","1992","West Germany","","","",""
"60","1992","East Germany","","","",""
"61","1992","West Germany","","","",""
"61","1992","East Germany","","","",""
"64","1992","West Germany","","","",""
"64","1992","East Germany","","","",""
"65","1992","West Germany","","","",""
"65","1992","East Germany","","","",""
"66","1992","West Germany","","","",""
"66","1992","East Germany","","","",""
"67","1992","West Germany","","","",""
"67","1992","East Germany","","","",""
"68","1992","West Germany","","","",""
"68","1992","East Germany","","","",""
"71","1992","West Germany","","","",""
"71","1992","East Germany","","","",""
"72","1992","West Germany","","","",""
"72","1992","East Germany","","","",""
"73","1992","West Germany","","","",""
"73","1992","East Germany","","","",""
"74","1992","West Germany","","","",""
"74","1992","East Germany","","","",""
"75","1992","West Germany","","","",""
"75","1992","East Germany","","","",""
"76","1992","West Germany","","","",""
"76","1992","East Germany","","","",""
"77","1992","West Germany","","","",""
"77","1992","East Germany","","","",""
"78","1992","West Germany","","","",""
"78","1992","East Germany","","","",""
"79","1992","West Germany","","","",""
"79","1992","East Germany","","","",""
"80","1992","West Germany","","","",""
"80","1992","East Germany","","","",""
"81","1992","West Germany","","","",""
"81","1992","East Germany","","","",""
"82","1992","West Germany","","","",""
"82","1992","East Germany","","","",""
"83","1992","West Germany","","","",""
"83","1992","East Germany","","","",""
"84","1992","West Germany","","","",""
"84","1992","East Germany","","","",""
"85","1992","West Germany","","","",""
"85","1992","East Germany","","","",""
"86","1992","West Germany","","","",""
"86","1992","East Germany","","","",""
"89","1992","West Germany","","","",""
"89","1992","East Germany","","","",""
"90","1992","West Germany","","","",""
"90","1992","East Germany","","","",""
"92","1992","West Germany","","","",""
"92","1992","East Germany","","","",""
"94","1992","West Germany","","","",""
"94","1992","East Germany","","","",""
"95","1992","West Germany","","","",""
"95","1992","East Germany","","","",""
"96","1992","West Germany","","","",""
"96","1992","East Germany","","","",""
"97","1992","West Germany","","","",""
"97","1992","East Germany","","","",""
"98","1992","West Germany","3","","",""
"98","1992","East Germany","1","","",""
"101","1992","West Germany","","","",""
"101","1992","East Germany","","","",""
"102","1992","West Germany","","","",""
"102","1992","East Germany","","","",""
"103","1992","West Germany","","","",""
"103","1992","East Germany","","","",""
"105","1992","West Germany","","","",""
"105","1992","East Germany","","","",""
"108","1992","West Germany","","","",""
"108","1992","East Germany","","","",""
"110","1992","West Germany","","","",""
"110","1992","East Germany","","","",""
"111","1992","West Germany","","","",""
"111","1992","East Germany","","","",""
"113","1992","West Germany","","","",""
"113","1992","East Germany","","","",""
"116","1992","West Germany","","","",""
"116","1992","East Germany","","","",""
"117","1992","West Germany","","","",""
"117","1992","East Germany","","","",""
"118","1992","West Germany","","","",""
"118","1992","East Germany","","","",""
"119","1992","West Germany","","","",""
"119","1992","East Germany","","","",""
"120","1992","West Germany","","","",""
"120","1992","East Germany","","","",""
"121","1992","West Germany","","","",""
"121","1992","East Germany","","","",""
"122","1992","West Germany","","","",""
"122","1992","East Germany","","","",""
"123","1992","West Germany","","","",""
"123","1992","East Germany","","","",""
"124","1992","West Germany","","","",""
"124","1992","East Germany","","","",""
"125","1992","West Germany","","","",""
"125","1992","East Germany","","","",""
"127","1992","West Germany","","","",""
"127","1992","East Germany","","","",""
"128","1992","West Germany","","","",""
"128","1992","East Germany","","","",""
"129","1992","West Germany","","","",""
"129","1992","East Germany","","","",""
"130","1992","West Germany","","","",""
"130","1992","East Germany","","","",""
"131","1992","West Germany","","","",""
"131","1992","East Germany","","","",""
"132","1992","West Germany","","","",""
"132","1992","East Germany","","","",""
"133","1992","West Germany","","","",""
"133","1992","East Germany","","","",""
"135","1992","West Germany","","","",""
"135","1992","East Germany","","","",""
"138","1992","West Germany","","","",""
"138","1992","East Germany","","","",""
"139","1992","West Germany","","","",""
"139","1992","East Germany","","","",""
"140","1992","West Germany","","","",""
"140","1992","East Germany","","","",""
"141","1992","West Germany","","","",""
"141","1992","East Germany","","","",""
"142","1992","West Germany","","","",""
"142","1992","East Germany","","","",""
"143","1992","West Germany","","","",""
"143","1992","East Germany","","","",""
"144","1992","West Germany","","","",""
"144","1992","East Germany","","","",""
"145","1992","West Germany","","","",""
"145","1992","East Germany","","","",""
"146","1992","West Germany","","","",""
"146","1992","East Germany","","","",""
"147","1992","West Germany","","","",""
"147","1992","East Germany","","","",""
"148","1992","West Germany","","","",""
"148","1992","East Germany","","","",""
"149","1992","West Germany","","","",""
"149","1992","East Germany","","","",""
"151","1992","West Germany","","","",""
"151","1992","East Germany","","","",""
"152","1992","West Germany","","","",""
"152","1992","East Germany","","","",""
"154","1992","West Germany","","","",""
"154","1992","East Germany","","","",""
"155","1992","West Germany","","","",""
"155","1992","East Germany","","","",""
"156","1992","West Germany","","","",""
"156","1992","East Germany","","","",""
"158","1992","West Germany","","","",""
"158","1992","East Germany","","","",""
"162","1992","West Germany","","","",""
"162","1992","East Germany","","","",""
"164","1992","West Germany","","","",""
"164","1992","East Germany","","","",""
"165","1992","West Germany","","","",""
"165","1992","East Germany","","","",""
"166","1992","West Germany","","","",""
"166","1992","East Germany","","","",""
"167","1992","West Germany","","","",""
"167","1992","East Germany","","","",""
"168","1992","West Germany","","","",""
"168","1992","East Germany","","","",""
"169","1992","West Germany","","","",""
"169","1992","East Germany","","","",""
"172","1992","West Germany","","","",""
"172","1992","East Germany","","","",""
"173","1992","West Germany","","","",""
"173","1992","East Germany","","","",""
"178","1992","West Germany","","","",""
"178","1992","East Germany","","","",""
"181","1992","West Germany","","","",""
"181","1992","East Germany","","","",""
"183","1992","West Germany","","","",""
"183","1992","East Germany","","","",""
"188","1992","West Germany","","","",""
"188","1992","East Germany","","","",""
"195","1992","West Germany","","","",""
"195","1992","East Germany","","","",""
"196","1992","West Germany","","","",""
"196","1992","East Germany","","","",""
"999","1992","West Germany","","","",""
"999","1992","East Germany","","","",""
"1","1993","West Germany","6999","0.903381786437016","0.897389586123345","0.909373986750686"
"1","1993","East Germany","3832","0.99708646022728","0.995381715468919","0.998791204985642"
"2","1993","West Germany","890","0.0370131549250044","0.033183943147741","0.0408423667022679"
"2","1993","East Germany","","","",""
"3","1993","West Germany","459","0.0201326532412814","0.0172838968952004","0.0229814095873624"
"3","1993","East Germany","","","",""
"4","1993","West Germany","320","0.00755371683733206","0.00579759351217886","0.00930984016248526"
"4","1993","East Germany","1","","",""
"5","1993","West Germany","426","0.0143126517723078","0.0119035741150258","0.0167217294295898"
"5","1993","East Germany","","","",""
"6","1993","West Germany","167","0.00323362978672151","0.00208213230357563","0.00438512726986738"
"6","1993","East Germany","","","",""
"10","1993","West Germany","25","","",""
"10","1993","East Germany","","","",""
"11","1993","West Germany","9","","",""
"11","1993","East Germany","","","",""
"12","1993","West Germany","6","","",""
"12","1993","East Germany","","","",""
"13","1993","West Germany","","","",""
"13","1993","East Germany","","","",""
"14","1993","West Germany","6","","",""
"14","1993","East Germany","","","",""
"15","1993","West Germany","","","",""
"15","1993","East Germany","","","",""
"16","1993","West Germany","","","",""
"16","1993","East Germany","","","",""
"17","1993","West Germany","","","",""
"17","1993","East Germany","","","",""
"18","1993","West Germany","4","","",""
"18","1993","East Germany","","","",""
"19","1993","West Germany","3","","",""
"19","1993","East Germany","","","",""
"20","1993","West Germany","1","","",""
"20","1993","East Germany","","","",""
"21","1993","West Germany","1","","",""
"21","1993","East Germany","","","",""
"22","1993","West Germany","6","","",""
"22","1993","East Germany","1","","",""
"23","1993","West Germany","","","",""
"23","1993","East Germany","","","",""
"24","1993","West Germany","2","","",""
"24","1993","East Germany","","","",""
"25","1993","West Germany","","","",""
"25","1993","East Germany","","","",""
"26","1993","West Germany","2","","",""
"26","1993","East Germany","3","","",""
"27","1993","West Germany","","","",""
"27","1993","East Germany","","","",""
"28","1993","West Germany","","","",""
"28","1993","East Germany","","","",""
"29","1993","West Germany","3","","",""
"29","1993","East Germany","1","","",""
"30","1993","West Germany","","","",""
"30","1993","East Germany","","","",""
"31","1993","West Germany","1","","",""
"31","1993","East Germany","1","","",""
"32","1993","West Germany","","","",""
"32","1993","East Germany","1","","",""
"34","1993","West Germany","","","",""
"34","1993","East Germany","","","",""
"35","1993","West Germany","","","",""
"35","1993","East Germany","","","",""
"36","1993","West Germany","","","",""
"36","1993","East Germany","","","",""
"37","1993","West Germany","","","",""
"37","1993","East Germany","","","",""
"38","1993","West Germany","1","","",""
"38","1993","East Germany","","","",""
"39","1993","West Germany","","","",""
"39","1993","East Germany","","","",""
