"pgnation","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"133","1988","35-65 y.","East Germany","","","",""
"133","1988","66 and older","West Germany","","","",""
"133","1988","66 and older","East Germany","","","",""
"135","1988","16-34 y.","West Germany","","","",""
"135","1988","16-34 y.","East Germany","","","",""
"135","1988","35-65 y.","West Germany","","","",""
"135","1988","35-65 y.","East Germany","","","",""
"135","1988","66 and older","West Germany","","","",""
"135","1988","66 and older","East Germany","","","",""
"138","1988","16-34 y.","West Germany","","","",""
"138","1988","16-34 y.","East Germany","","","",""
"138","1988","35-65 y.","West Germany","","","",""
"138","1988","35-65 y.","East Germany","","","",""
"138","1988","66 and older","West Germany","","","",""
"138","1988","66 and older","East Germany","","","",""
"139","1988","16-34 y.","West Germany","","","",""
"139","1988","16-34 y.","East Germany","","","",""
"139","1988","35-65 y.","West Germany","","","",""
"139","1988","35-65 y.","East Germany","","","",""
"139","1988","66 and older","West Germany","","","",""
"139","1988","66 and older","East Germany","","","",""
"140","1988","16-34 y.","West Germany","","","",""
"140","1988","16-34 y.","East Germany","","","",""
"140","1988","35-65 y.","West Germany","","","",""
"140","1988","35-65 y.","East Germany","","","",""
"140","1988","66 and older","West Germany","","","",""
"140","1988","66 and older","East Germany","","","",""
"141","1988","16-34 y.","West Germany","","","",""
"141","1988","16-34 y.","East Germany","","","",""
"141","1988","35-65 y.","West Germany","","","",""
"141","1988","35-65 y.","East Germany","","","",""
"141","1988","66 and older","West Germany","","","",""
"141","1988","66 and older","East Germany","","","",""
"142","1988","16-34 y.","West Germany","","","",""
"142","1988","16-34 y.","East Germany","","","",""
"142","1988","35-65 y.","West Germany","","","",""
"142","1988","35-65 y.","East Germany","","","",""
"142","1988","66 and older","West Germany","","","",""
"142","1988","66 and older","East Germany","","","",""
"143","1988","16-34 y.","West Germany","","","",""
"143","1988","16-34 y.","East Germany","","","",""
"143","1988","35-65 y.","West Germany","","","",""
"143","1988","35-65 y.","East Germany","","","",""
"143","1988","66 and older","West Germany","","","",""
"143","1988","66 and older","East Germany","","","",""
"144","1988","16-34 y.","West Germany","","","",""
"144","1988","16-34 y.","East Germany","","","",""
"144","1988","35-65 y.","West Germany","","","",""
"144","1988","35-65 y.","East Germany","","","",""
"144","1988","66 and older","West Germany","","","",""
"144","1988","66 and older","East Germany","","","",""
"145","1988","16-34 y.","West Germany","","","",""
"145","1988","16-34 y.","East Germany","","","",""
"145","1988","35-65 y.","West Germany","","","",""
"145","1988","35-65 y.","East Germany","","","",""
"145","1988","66 and older","West Germany","","","",""
"145","1988","66 and older","East Germany","","","",""
"146","1988","16-34 y.","West Germany","","","",""
"146","1988","16-34 y.","East Germany","","","",""
"146","1988","35-65 y.","West Germany","","","",""
"146","1988","35-65 y.","East Germany","","","",""
"146","1988","66 and older","West Germany","","","",""
"146","1988","66 and older","East Germany","","","",""
"147","1988","16-34 y.","West Germany","","","",""
"147","1988","16-34 y.","East Germany","","","",""
"147","1988","35-65 y.","West Germany","","","",""
"147","1988","35-65 y.","East Germany","","","",""
"147","1988","66 and older","West Germany","","","",""
"147","1988","66 and older","East Germany","","","",""
"148","1988","16-34 y.","West Germany","","","",""
"148","1988","16-34 y.","East Germany","","","",""
"148","1988","35-65 y.","West Germany","","","",""
"148","1988","35-65 y.","East Germany","","","",""
"148","1988","66 and older","West Germany","","","",""
"148","1988","66 and older","East Germany","","","",""
"149","1988","16-34 y.","West Germany","","","",""
"149","1988","16-34 y.","East Germany","","","",""
"149","1988","35-65 y.","West Germany","","","",""
"149","1988","35-65 y.","East Germany","","","",""
"149","1988","66 and older","West Germany","","","",""
"149","1988","66 and older","East Germany","","","",""
"151","1988","16-34 y.","West Germany","","","",""
"151","1988","16-34 y.","East Germany","","","",""
"151","1988","35-65 y.","West Germany","","","",""
"151","1988","35-65 y.","East Germany","","","",""
"151","1988","66 and older","West Germany","","","",""
"151","1988","66 and older","East Germany","","","",""
"152","1988","16-34 y.","West Germany","","","",""
"152","1988","16-34 y.","East Germany","","","",""
"152","1988","35-65 y.","West Germany","","","",""
"152","1988","35-65 y.","East Germany","","","",""
"152","1988","66 and older","West Germany","","","",""
"152","1988","66 and older","East Germany","","","",""
"154","1988","16-34 y.","West Germany","","","",""
"154","1988","16-34 y.","East Germany","","","",""
"154","1988","35-65 y.","West Germany","","","",""
"154","1988","35-65 y.","East Germany","","","",""
"154","1988","66 and older","West Germany","","","",""
"154","1988","66 and older","East Germany","","","",""
"155","1988","16-34 y.","West Germany","","","",""
"155","1988","16-34 y.","East Germany","","","",""
"155","1988","35-65 y.","West Germany","","","",""
"155","1988","35-65 y.","East Germany","","","",""
"155","1988","66 and older","West Germany","","","",""
"155","1988","66 and older","East Germany","","","",""
"156","1988","16-34 y.","West Germany","","","",""
"156","1988","16-34 y.","East Germany","","","",""
"156","1988","35-65 y.","West Germany","","","",""
"156","1988","35-65 y.","East Germany","","","",""
"156","1988","66 and older","West Germany","","","",""
"156","1988","66 and older","East Germany","","","",""
"158","1988","16-34 y.","West Germany","","","",""
"158","1988","16-34 y.","East Germany","","","",""
"158","1988","35-65 y.","West Germany","","","",""
"158","1988","35-65 y.","East Germany","","","",""
"158","1988","66 and older","West Germany","","","",""
"158","1988","66 and older","East Germany","","","",""
"162","1988","16-34 y.","West Germany","","","",""
"162","1988","16-34 y.","East Germany","","","",""
"162","1988","35-65 y.","West Germany","","","",""
"162","1988","35-65 y.","East Germany","","","",""
"162","1988","66 and older","West Germany","","","",""
"162","1988","66 and older","East Germany","","","",""
"164","1988","16-34 y.","West Germany","","","",""
"164","1988","16-34 y.","East Germany","","","",""
"164","1988","35-65 y.","West Germany","","","",""
"164","1988","35-65 y.","East Germany","","","",""
"164","1988","66 and older","West Germany","","","",""
"164","1988","66 and older","East Germany","","","",""
"165","1988","16-34 y.","West Germany","","","",""
"165","1988","16-34 y.","East Germany","","","",""
"165","1988","35-65 y.","West Germany","","","",""
"165","1988","35-65 y.","East Germany","","","",""
"165","1988","66 and older","West Germany","","","",""
"165","1988","66 and older","East Germany","","","",""
"166","1988","16-34 y.","West Germany","","","",""
"166","1988","16-34 y.","East Germany","","","",""
"166","1988","35-65 y.","West Germany","","","",""
"166","1988","35-65 y.","East Germany","","","",""
"166","1988","66 and older","West Germany","","","",""
"166","1988","66 and older","East Germany","","","",""
"167","1988","16-34 y.","West Germany","","","",""
"167","1988","16-34 y.","East Germany","","","",""
"167","1988","35-65 y.","West Germany","","","",""
"167","1988","35-65 y.","East Germany","","","",""
"167","1988","66 and older","West Germany","","","",""
"167","1988","66 and older","East Germany","","","",""
"168","1988","16-34 y.","West Germany","","","",""
"168","1988","16-34 y.","East Germany","","","",""
"168","1988","35-65 y.","West Germany","","","",""
"168","1988","35-65 y.","East Germany","","","",""
"168","1988","66 and older","West Germany","","","",""
"168","1988","66 and older","East Germany","","","",""
"169","1988","16-34 y.","West Germany","","","",""
"169","1988","16-34 y.","East Germany","","","",""
"169","1988","35-65 y.","West Germany","","","",""
"169","1988","35-65 y.","East Germany","","","",""
"169","1988","66 and older","West Germany","","","",""
"169","1988","66 and older","East Germany","","","",""
"172","1988","16-34 y.","West Germany","","","",""
"172","1988","16-34 y.","East Germany","","","",""
"172","1988","35-65 y.","West Germany","","","",""
"172","1988","35-65 y.","East Germany","","","",""
"172","1988","66 and older","West Germany","","","",""
"172","1988","66 and older","East Germany","","","",""
"173","1988","16-34 y.","West Germany","","","",""
"173","1988","16-34 y.","East Germany","","","",""
"173","1988","35-65 y.","West Germany","","","",""
"173","1988","35-65 y.","East Germany","","","",""
"173","1988","66 and older","West Germany","","","",""
"173","1988","66 and older","East Germany","","","",""
"178","1988","16-34 y.","West Germany","","","",""
"178","1988","16-34 y.","East Germany","","","",""
"178","1988","35-65 y.","West Germany","","","",""
"178","1988","35-65 y.","East Germany","","","",""
"178","1988","66 and older","West Germany","","","",""
"178","1988","66 and older","East Germany","","","",""
"181","1988","16-34 y.","West Germany","","","",""
"181","1988","16-34 y.","East Germany","","","",""
"181","1988","35-65 y.","West Germany","","","",""
"181","1988","35-65 y.","East Germany","","","",""
"181","1988","66 and older","West Germany","","","",""
"181","1988","66 and older","East Germany","","","",""
"183","1988","16-34 y.","West Germany","","","",""
"183","1988","16-34 y.","East Germany","","","",""
"183","1988","35-65 y.","West Germany","","","",""
"183","1988","35-65 y.","East Germany","","","",""
"183","1988","66 and older","West Germany","","","",""
"183","1988","66 and older","East Germany","","","",""
"188","1988","16-34 y.","West Germany","","","",""
"188","1988","16-34 y.","East Germany","","","",""
"188","1988","35-65 y.","West Germany","","","",""
"188","1988","35-65 y.","East Germany","","","",""
"188","1988","66 and older","West Germany","","","",""
"188","1988","66 and older","East Germany","","","",""
"195","1988","16-34 y.","West Germany","","","",""
"195","1988","16-34 y.","East Germany","","","",""
"195","1988","35-65 y.","West Germany","","","",""
"195","1988","35-65 y.","East Germany","","","",""
"195","1988","66 and older","West Germany","","","",""
"195","1988","66 and older","East Germany","","","",""
"196","1988","16-34 y.","West Germany","","","",""
"196","1988","16-34 y.","East Germany","","","",""
"196","1988","35-65 y.","West Germany","","","",""
"196","1988","35-65 y.","East Germany","","","",""
"196","1988","66 and older","West Germany","","","",""
"196","1988","66 and older","East Germany","","","",""
"999","1988","16-34 y.","West Germany","","","",""
"999","1988","16-34 y.","East Germany","","","",""
"999","1988","35-65 y.","West Germany","","","",""
"999","1988","35-65 y.","East Germany","","","",""
"999","1988","66 and older","West Germany","","","",""
"999","1988","66 and older","East Germany","","","",""
"1","1989","16-34 y.","West Germany","2694","0.920132995067876","0.911462335766091","0.92880365436966"
"1","1989","16-34 y.","East Germany","","","",""
"1","1989","35-65 y.","West Germany","3539","0.919470410966506","0.911855318072263","0.927085503860749"
"1","1989","35-65 y.","East Germany","","","",""
"1","1989","66 and older","West Germany","1008","0.990667128992127","0.984792074327808","0.996542183656446"
"1","1989","66 and older","East Germany","","","",""
"2","1989","16-34 y.","West Germany","487","0.037587302059145","0.031503930128355","0.043670673989935"
"2","1989","16-34 y.","East Germany","","","",""
"2","1989","35-65 y.","West Germany","401","0.025114260264648","0.0207353540946704","0.0294931664346256"
"2","1989","35-65 y.","East Germany","","","",""
"2","1989","66 and older","West Germany","2","","",""
"2","1989","66 and older","East Germany","","","",""
"3","1989","16-34 y.","West Germany","113","0.00910378528755747","0.00606592212079781","0.0121416484543171"
"3","1989","16-34 y.","East Germany","","","",""
"3","1989","35-65 y.","West Germany","321","0.0197662911809825","0.0158708558750145","0.0236617264869506"
"3","1989","35-65 y.","East Germany","","","",""
"3","1989","66 and older","West Germany","1","","",""
"3","1989","66 and older","East Germany","","","",""
"4","1989","16-34 y.","West Germany","125","0.00566440605678206","0.00326398845555883","0.00806482365800529"
"4","1989","16-34 y.","East Germany","","","",""
"4","1989","35-65 y.","West Germany","212","0.0070873308511192","0.00473972347853872","0.00943493822369968"
"4","1989","35-65 y.","East Germany","","","",""
"4","1989","66 and older","West Germany","1","","",""
"4","1989","66 and older","East Germany","","","",""
"5","1989","16-34 y.","West Germany","215","0.0141613138941166","0.0103821317557184","0.0179404960325149"
"5","1989","16-34 y.","East Germany","","","",""
"5","1989","35-65 y.","West Germany","235","0.0122945151654164","0.00921063125312088","0.015378399077712"
"5","1989","35-65 y.","East Germany","","","",""
"5","1989","66 and older","West Germany","6","","",""
"5","1989","66 and older","East Germany","","","",""
"6","1989","16-34 y.","West Germany","91","0.00274942205817559","0.00107461040118952","0.00442423371516166"
"6","1989","16-34 y.","East Germany","","","",""
"6","1989","35-65 y.","West Germany","152","0.00353069576088532","0.00187076223801317","0.00519062928375748"
"6","1989","35-65 y.","East Germany","","","",""
"6","1989","66 and older","West Germany","4","","",""
"6","1989","66 and older","East Germany","","","",""
"10","1989","16-34 y.","West Germany","6","","",""
"10","1989","16-34 y.","East Germany","","","",""
"10","1989","35-65 y.","West Germany","17","","",""
"10","1989","35-65 y.","East Germany","","","",""
"10","1989","66 and older","West Germany","","","",""
"10","1989","66 and older","East Germany","","","",""
"11","1989","16-34 y.","West Germany","5","","",""
"11","1989","16-34 y.","East Germany","","","",""
"11","1989","35-65 y.","West Germany","2","","",""
"11","1989","35-65 y.","East Germany","","","",""
"11","1989","66 and older","West Germany","","","",""
"11","1989","66 and older","East Germany","","","",""
"12","1989","16-34 y.","West Germany","4","","",""
"12","1989","16-34 y.","East Germany","","","",""
"12","1989","35-65 y.","West Germany","3","","",""
"12","1989","35-65 y.","East Germany","","","",""
"12","1989","66 and older","West Germany","3","","",""
"12","1989","66 and older","East Germany","","","",""
"13","1989","16-34 y.","West Germany","","","",""
"13","1989","16-34 y.","East Germany","","","",""
"13","1989","35-65 y.","West Germany","","","",""
"13","1989","35-65 y.","East Germany","","","",""
"13","1989","66 and older","West Germany","","","",""
"13","1989","66 and older","East Germany","","","",""
"14","1989","16-34 y.","West Germany","1","","",""
"14","1989","16-34 y.","East Germany","","","",""
"14","1989","35-65 y.","West Germany","4","","",""
"14","1989","35-65 y.","East Germany","","","",""
"14","1989","66 and older","West Germany","","","",""
"14","1989","66 and older","East Germany","","","",""
"15","1989","16-34 y.","West Germany","","","",""
"15","1989","16-34 y.","East Germany","","","",""
"15","1989","35-65 y.","West Germany","","","",""
"15","1989","35-65 y.","East Germany","","","",""
"15","1989","66 and older","West Germany","","","",""
"15","1989","66 and older","East Germany","","","",""
"16","1989","16-34 y.","West Germany","","","",""
"16","1989","16-34 y.","East Germany","","","",""
"16","1989","35-65 y.","West Germany","","","",""
"16","1989","35-65 y.","East Germany","","","",""
"16","1989","66 and older","West Germany","","","",""
"16","1989","66 and older","East Germany","","","",""
"17","1989","16-34 y.","West Germany","","","",""
"17","1989","16-34 y.","East Germany","","","",""
"17","1989","35-65 y.","West Germany","","","",""
"17","1989","35-65 y.","East Germany","","","",""
"17","1989","66 and older","West Germany","","","",""
"17","1989","66 and older","East Germany","","","",""
"18","1989","16-34 y.","West Germany","4","","",""
"18","1989","16-34 y.","East Germany","","","",""
"18","1989","35-65 y.","West Germany","3","","",""
"18","1989","35-65 y.","East Germany","","","",""
"18","1989","66 and older","West Germany","","","",""
"18","1989","66 and older","East Germany","","","",""
"19","1989","16-34 y.","West Germany","","","",""
"19","1989","16-34 y.","East Germany","","","",""
"19","1989","35-65 y.","West Germany","2","","",""
"19","1989","35-65 y.","East Germany","","","",""
"19","1989","66 and older","West Germany","","","",""
"19","1989","66 and older","East Germany","","","",""
"20","1989","16-34 y.","West Germany","","","",""
"20","1989","16-34 y.","East Germany","","","",""
"20","1989","35-65 y.","West Germany","1","","",""
"20","1989","35-65 y.","East Germany","","","",""
"20","1989","66 and older","West Germany","","","",""
"20","1989","66 and older","East Germany","","","",""
"21","1989","16-34 y.","West Germany","2","","",""
"21","1989","16-34 y.","East Germany","","","",""
"21","1989","35-65 y.","West Germany","","","",""
"21","1989","35-65 y.","East Germany","","","",""
"21","1989","66 and older","West Germany","","","",""
"21","1989","66 and older","East Germany","","","",""
"22","1989","16-34 y.","West Germany","4","","",""
"22","1989","16-34 y.","East Germany","","","",""
"22","1989","35-65 y.","West Germany","2","","",""
"22","1989","35-65 y.","East Germany","","","",""
"22","1989","66 and older","West Germany","","","",""
"22","1989","66 and older","East Germany","","","",""
"23","1989","16-34 y.","West Germany","","","",""
"23","1989","16-34 y.","East Germany","","","",""
"23","1989","35-65 y.","West Germany","","","",""
"23","1989","35-65 y.","East Germany","","","",""
"23","1989","66 and older","West Germany","","","",""
"23","1989","66 and older","East Germany","","","",""
"24","1989","16-34 y.","West Germany","","","",""
"24","1989","16-34 y.","East Germany","","","",""
"24","1989","35-65 y.","West Germany","1","","",""
"24","1989","35-65 y.","East Germany","","","",""
"24","1989","66 and older","West Germany","","","",""
"24","1989","66 and older","East Germany","","","",""
"25","1989","16-34 y.","West Germany","","","",""
"25","1989","16-34 y.","East Germany","","","",""
"25","1989","35-65 y.","West Germany","","","",""
"25","1989","35-65 y.","East Germany","","","",""
"25","1989","66 and older","West Germany","","","",""
"25","1989","66 and older","East Germany","","","",""
"26","1989","16-34 y.","West Germany","","","",""
"26","1989","16-34 y.","East Germany","","","",""
"26","1989","35-65 y.","West Germany","2","","",""
"26","1989","35-65 y.","East Germany","","","",""
"26","1989","66 and older","West Germany","","","",""
"26","1989","66 and older","East Germany","","","",""
"27","1989","16-34 y.","West Germany","","","",""
"27","1989","16-34 y.","East Germany","","","",""
"27","1989","35-65 y.","West Germany","","","",""
"27","1989","35-65 y.","East Germany","","","",""
"27","1989","66 and older","West Germany","","","",""
"27","1989","66 and older","East Germany","","","",""
"28","1989","16-34 y.","West Germany","","","",""
"28","1989","16-34 y.","East Germany","","","",""
"28","1989","35-65 y.","West Germany","","","",""
"28","1989","35-65 y.","East Germany","","","",""
"28","1989","66 and older","West Germany","","","",""
"28","1989","66 and older","East Germany","","","",""
"29","1989","16-34 y.","West Germany","","","",""
"29","1989","16-34 y.","East Germany","","","",""
"29","1989","35-65 y.","West Germany","","","",""
"29","1989","35-65 y.","East Germany","","","",""
"29","1989","66 and older","West Germany","","","",""
"29","1989","66 and older","East Germany","","","",""
"30","1989","16-34 y.","West Germany","","","",""
"30","1989","16-34 y.","East Germany","","","",""
"30","1989","35-65 y.","West Germany","","","",""
"30","1989","35-65 y.","East Germany","","","",""
"30","1989","66 and older","West Germany","","","",""
"30","1989","66 and older","East Germany","","","",""
"31","1989","16-34 y.","West Germany","1","","",""
"31","1989","16-34 y.","East Germany","","","",""
"31","1989","35-65 y.","West Germany","1","","",""
"31","1989","35-65 y.","East Germany","","","",""
"31","1989","66 and older","West Germany","","","",""
"31","1989","66 and older","East Germany","","","",""
"32","1989","16-34 y.","West Germany","","","",""
"32","1989","16-34 y.","East Germany","","","",""
"32","1989","35-65 y.","West Germany","","","",""
"32","1989","35-65 y.","East Germany","","","",""
"32","1989","66 and older","West Germany","","","",""
"32","1989","66 and older","East Germany","","","",""
"34","1989","16-34 y.","West Germany","","","",""
"34","1989","16-34 y.","East Germany","","","",""
"34","1989","35-65 y.","West Germany","1","","",""
"34","1989","35-65 y.","East Germany","","","",""
"34","1989","66 and older","West Germany","","","",""
"34","1989","66 and older","East Germany","","","",""
"35","1989","16-34 y.","West Germany","","","",""
"35","1989","16-34 y.","East Germany","","","",""
"35","1989","35-65 y.","West Germany","","","",""
"35","1989","35-65 y.","East Germany","","","",""
"35","1989","66 and older","West Germany","","","",""
"35","1989","66 and older","East Germany","","","",""
"36","1989","16-34 y.","West Germany","","","",""
"36","1989","16-34 y.","East Germany","","","",""
"36","1989","35-65 y.","West Germany","","","",""
"36","1989","35-65 y.","East Germany","","","",""
"36","1989","66 and older","West Germany","","","",""
"36","1989","66 and older","East Germany","","","",""
"37","1989","16-34 y.","West Germany","","","",""
"37","1989","16-34 y.","East Germany","","","",""
"37","1989","35-65 y.","West Germany","","","",""
"37","1989","35-65 y.","East Germany","","","",""
"37","1989","66 and older","West Germany","","","",""
"37","1989","66 and older","East Germany","","","",""
"38","1989","16-34 y.","West Germany","","","",""
"38","1989","16-34 y.","East Germany","","","",""
"38","1989","35-65 y.","West Germany","3","","",""
"38","1989","35-65 y.","East Germany","","","",""
"38","1989","66 and older","West Germany","","","",""
"38","1989","66 and older","East Germany","","","",""
"39","1989","16-34 y.","West Germany","1","","",""
"39","1989","16-34 y.","East Germany","","","",""
"39","1989","35-65 y.","West Germany","","","",""
"39","1989","35-65 y.","East Germany","","","",""
"39","1989","66 and older","West Germany","","","",""
"39","1989","66 and older","East Germany","","","",""
"40","1989","16-34 y.","West Germany","","","",""
"40","1989","16-34 y.","East Germany","","","",""
"40","1989","35-65 y.","West Germany","","","",""
"40","1989","35-65 y.","East Germany","","","",""
"40","1989","66 and older","West Germany","","","",""
"40","1989","66 and older","East Germany","","","",""
"41","1989","16-34 y.","West Germany","","","",""
"41","1989","16-34 y.","East Germany","","","",""
"41","1989","35-65 y.","West Germany","","","",""
"41","1989","35-65 y.","East Germany","","","",""
"41","1989","66 and older","West Germany","1","","",""
"41","1989","66 and older","East Germany","","","",""
"42","1989","16-34 y.","West Germany","","","",""
"42","1989","16-34 y.","East Germany","","","",""
"42","1989","35-65 y.","West Germany","","","",""
"42","1989","35-65 y.","East Germany","","","",""
"42","1989","66 and older","West Germany","","","",""
"42","1989","66 and older","East Germany","","","",""
"43","1989","16-34 y.","West Germany","","","",""
"43","1989","16-34 y.","East Germany","","","",""
"43","1989","35-65 y.","West Germany","","","",""
"43","1989","35-65 y.","East Germany","","","",""
"43","1989","66 and older","West Germany","","","",""
"43","1989","66 and older","East Germany","","","",""
"44","1989","16-34 y.","West Germany","","","",""
"44","1989","16-34 y.","East Germany","","","",""
"44","1989","35-65 y.","West Germany","1","","",""
"44","1989","35-65 y.","East Germany","","","",""
"44","1989","66 and older","West Germany","","","",""
"44","1989","66 and older","East Germany","","","",""
"45","1989","16-34 y.","West Germany","","","",""
"45","1989","16-34 y.","East Germany","","","",""
"45","1989","35-65 y.","West Germany","","","",""
"45","1989","35-65 y.","East Germany","","","",""
"45","1989","66 and older","West Germany","","","",""
"45","1989","66 and older","East Germany","","","",""
"46","1989","16-34 y.","West Germany","","","",""
"46","1989","16-34 y.","East Germany","","","",""
"46","1989","35-65 y.","West Germany","","","",""
"46","1989","35-65 y.","East Germany","","","",""
"46","1989","66 and older","West Germany","","","",""
"46","1989","66 and older","East Germany","","","",""
"47","1989","16-34 y.","West Germany","","","",""
"47","1989","16-34 y.","East Germany","","","",""
"47","1989","35-65 y.","West Germany","","","",""
"47","1989","35-65 y.","East Germany","","","",""
"47","1989","66 and older","West Germany","","","",""
"47","1989","66 and older","East Germany","","","",""
"48","1989","16-34 y.","West Germany","","","",""
"48","1989","16-34 y.","East Germany","","","",""
"48","1989","35-65 y.","West Germany","","","",""
"48","1989","35-65 y.","East Germany","","","",""
"48","1989","66 and older","West Germany","","","",""
"48","1989","66 and older","East Germany","","","",""
"49","1989","16-34 y.","West Germany","","","",""
"49","1989","16-34 y.","East Germany","","","",""
"49","1989","35-65 y.","West Germany","","","",""
"49","1989","35-65 y.","East Germany","","","",""
"49","1989","66 and older","West Germany","","","",""
"49","1989","66 and older","East Germany","","","",""
"50","1989","16-34 y.","West Germany","1","","",""
"50","1989","16-34 y.","East Germany","","","",""
"50","1989","35-65 y.","West Germany","","","",""
"50","1989","35-65 y.","East Germany","","","",""
"50","1989","66 and older","West Germany","","","",""
"50","1989","66 and older","East Germany","","","",""
"51","1989","16-34 y.","West Germany","","","",""
"51","1989","16-34 y.","East Germany","","","",""
"51","1989","35-65 y.","West Germany","","","",""
"51","1989","35-65 y.","East Germany","","","",""
"51","1989","66 and older","West Germany","","","",""
"51","1989","66 and older","East Germany","","","",""
"52","1989","16-34 y.","West Germany","","","",""
"52","1989","16-34 y.","East Germany","","","",""
"52","1989","35-65 y.","West Germany","","","",""
"52","1989","35-65 y.","East Germany","","","",""
"52","1989","66 and older","West Germany","","","",""
"52","1989","66 and older","East Germany","","","",""
"53","1989","16-34 y.","West Germany","","","",""
"53","1989","16-34 y.","East Germany","","","",""
"53","1989","35-65 y.","West Germany","","","",""
"53","1989","35-65 y.","East Germany","","","",""
"53","1989","66 and older","West Germany","","","",""
"53","1989","66 and older","East Germany","","","",""
"54","1989","16-34 y.","West Germany","","","",""
"54","1989","16-34 y.","East Germany","","","",""
"54","1989","35-65 y.","West Germany","","","",""
"54","1989","35-65 y.","East Germany","","","",""
"54","1989","66 and older","West Germany","","","",""
"54","1989","66 and older","East Germany","","","",""
"55","1989","16-34 y.","West Germany","","","",""
"55","1989","16-34 y.","East Germany","","","",""
"55","1989","35-65 y.","West Germany","","","",""
"55","1989","35-65 y.","East Germany","","","",""
"55","1989","66 and older","West Germany","","","",""
"55","1989","66 and older","East Germany","","","",""
"56","1989","16-34 y.","West Germany","","","",""
"56","1989","16-34 y.","East Germany","","","",""
"56","1989","35-65 y.","West Germany","","","",""
"56","1989","35-65 y.","East Germany","","","",""
"56","1989","66 and older","West Germany","","","",""
"56","1989","66 and older","East Germany","","","",""
"59","1989","16-34 y.","West Germany","","","",""
"59","1989","16-34 y.","East Germany","","","",""
"59","1989","35-65 y.","West Germany","","","",""
"59","1989","35-65 y.","East Germany","","","",""
"59","1989","66 and older","West Germany","","","",""
"59","1989","66 and older","East Germany","","","",""
"60","1989","16-34 y.","West Germany","","","",""
"60","1989","16-34 y.","East Germany","","","",""
"60","1989","35-65 y.","West Germany","","","",""
"60","1989","35-65 y.","East Germany","","","",""
"60","1989","66 and older","West Germany","","","",""
"60","1989","66 and older","East Germany","","","",""
"61","1989","16-34 y.","West Germany","","","",""
"61","1989","16-34 y.","East Germany","","","",""
"61","1989","35-65 y.","West Germany","","","",""
"61","1989","35-65 y.","East Germany","","","",""
"61","1989","66 and older","West Germany","","","",""
"61","1989","66 and older","East Germany","","","",""
"64","1989","16-34 y.","West Germany","","","",""
"64","1989","16-34 y.","East Germany","","","",""
"64","1989","35-65 y.","West Germany","","","",""
"64","1989","35-65 y.","East Germany","","","",""
"64","1989","66 and older","West Germany","","","",""
"64","1989","66 and older","East Germany","","","",""
"65","1989","16-34 y.","West Germany","","","",""
"65","1989","16-34 y.","East Germany","","","",""
"65","1989","35-65 y.","West Germany","","","",""
"65","1989","35-65 y.","East Germany","","","",""
"65","1989","66 and older","West Germany","","","",""
"65","1989","66 and older","East Germany","","","",""
"66","1989","16-34 y.","West Germany","","","",""
"66","1989","16-34 y.","East Germany","","","",""
"66","1989","35-65 y.","West Germany","","","",""
"66","1989","35-65 y.","East Germany","","","",""
"66","1989","66 and older","West Germany","","","",""
"66","1989","66 and older","East Germany","","","",""
"67","1989","16-34 y.","West Germany","","","",""
"67","1989","16-34 y.","East Germany","","","",""
"67","1989","35-65 y.","West Germany","","","",""
"67","1989","35-65 y.","East Germany","","","",""
"67","1989","66 and older","West Germany","","","",""
"67","1989","66 and older","East Germany","","","",""
"68","1989","16-34 y.","West Germany","","","",""
"68","1989","16-34 y.","East Germany","","","",""
"68","1989","35-65 y.","West Germany","","","",""
"68","1989","35-65 y.","East Germany","","","",""
"68","1989","66 and older","West Germany","","","",""
"68","1989","66 and older","East Germany","","","",""
"71","1989","16-34 y.","West Germany","","","",""
"71","1989","16-34 y.","East Germany","","","",""
"71","1989","35-65 y.","West Germany","","","",""
"71","1989","35-65 y.","East Germany","","","",""
"71","1989","66 and older","West Germany","","","",""
"71","1989","66 and older","East Germany","","","",""
"72","1989","16-34 y.","West Germany","","","",""
"72","1989","16-34 y.","East Germany","","","",""
"72","1989","35-65 y.","West Germany","","","",""
"72","1989","35-65 y.","East Germany","","","",""
"72","1989","66 and older","West Germany","","","",""
"72","1989","66 and older","East Germany","","","",""
"73","1989","16-34 y.","West Germany","","","",""
"73","1989","16-34 y.","East Germany","","","",""
"73","1989","35-65 y.","West Germany","","","",""
"73","1989","35-65 y.","East Germany","","","",""
"73","1989","66 and older","West Germany","","","",""
"73","1989","66 and older","East Germany","","","",""
"74","1989","16-34 y.","West Germany","","","",""
"74","1989","16-34 y.","East Germany","","","",""
"74","1989","35-65 y.","West Germany","","","",""
"74","1989","35-65 y.","East Germany","","","",""
"74","1989","66 and older","West Germany","","","",""
"74","1989","66 and older","East Germany","","","",""
"75","1989","16-34 y.","West Germany","","","",""
"75","1989","16-34 y.","East Germany","","","",""
"75","1989","35-65 y.","West Germany","","","",""
"75","1989","35-65 y.","East Germany","","","",""
"75","1989","66 and older","West Germany","","","",""
"75","1989","66 and older","East Germany","","","",""
"76","1989","16-34 y.","West Germany","","","",""
"76","1989","16-34 y.","East Germany","","","",""
"76","1989","35-65 y.","West Germany","","","",""
"76","1989","35-65 y.","East Germany","","","",""
"76","1989","66 and older","West Germany","","","",""
"76","1989","66 and older","East Germany","","","",""
