"pgnation","year","e11103","migback","n","percent","lower_confidence","upper_confidence"
"24","1984","Full Time","no migration background","","","",""
"24","1984","Full Time","direct migration background","","","",""
"24","1984","Full Time","indirect migration background","","","",""
"24","1984","Part Time","no migration background","","","",""
"24","1984","Part Time","direct migration background","","","",""
"24","1984","Part Time","indirect migration background","","","",""
"24","1984","Not Working","no migration background","","","",""
"24","1984","Not Working","direct migration background","2","","",""
"24","1984","Not Working","indirect migration background","","","",""
"25","1984","Full Time","no migration background","","","",""
"25","1984","Full Time","direct migration background","1","","",""
"25","1984","Full Time","indirect migration background","","","",""
"25","1984","Part Time","no migration background","","","",""
"25","1984","Part Time","direct migration background","","","",""
"25","1984","Part Time","indirect migration background","","","",""
"25","1984","Not Working","no migration background","","","",""
"25","1984","Not Working","direct migration background","1","","",""
"25","1984","Not Working","indirect migration background","","","",""
"26","1984","Full Time","no migration background","","","",""
"26","1984","Full Time","direct migration background","1","","",""
"26","1984","Full Time","indirect migration background","","","",""
"26","1984","Part Time","no migration background","","","",""
"26","1984","Part Time","direct migration background","1","","",""
"26","1984","Part Time","indirect migration background","","","",""
"26","1984","Not Working","no migration background","","","",""
"26","1984","Not Working","direct migration background","","","",""
"26","1984","Not Working","indirect migration background","","","",""
"27","1984","Full Time","no migration background","","","",""
"27","1984","Full Time","direct migration background","","","",""
"27","1984","Full Time","indirect migration background","","","",""
"27","1984","Part Time","no migration background","","","",""
"27","1984","Part Time","direct migration background","","","",""
"27","1984","Part Time","indirect migration background","","","",""
"27","1984","Not Working","no migration background","","","",""
"27","1984","Not Working","direct migration background","","","",""
"27","1984","Not Working","indirect migration background","","","",""
"28","1984","Full Time","no migration background","","","",""
"28","1984","Full Time","direct migration background","2","","",""
"28","1984","Full Time","indirect migration background","","","",""
"28","1984","Part Time","no migration background","","","",""
"28","1984","Part Time","direct migration background","","","",""
"28","1984","Part Time","indirect migration background","","","",""
"28","1984","Not Working","no migration background","","","",""
"28","1984","Not Working","direct migration background","2","","",""
"28","1984","Not Working","indirect migration background","","","",""
"29","1984","Full Time","no migration background","","","",""
"29","1984","Full Time","direct migration background","","","",""
"29","1984","Full Time","indirect migration background","","","",""
"29","1984","Part Time","no migration background","","","",""
"29","1984","Part Time","direct migration background","1","","",""
"29","1984","Part Time","indirect migration background","","","",""
"29","1984","Not Working","no migration background","","","",""
"29","1984","Not Working","direct migration background","","","",""
"29","1984","Not Working","indirect migration background","","","",""
"30","1984","Full Time","no migration background","","","",""
"30","1984","Full Time","direct migration background","","","",""
"30","1984","Full Time","indirect migration background","","","",""
"30","1984","Part Time","no migration background","","","",""
"30","1984","Part Time","direct migration background","","","",""
"30","1984","Part Time","indirect migration background","","","",""
"30","1984","Not Working","no migration background","","","",""
"30","1984","Not Working","direct migration background","","","",""
"30","1984","Not Working","indirect migration background","","","",""
"31","1984","Full Time","no migration background","","","",""
"31","1984","Full Time","direct migration background","1","","",""
"31","1984","Full Time","indirect migration background","","","",""
"31","1984","Part Time","no migration background","","","",""
"31","1984","Part Time","direct migration background","1","","",""
"31","1984","Part Time","indirect migration background","","","",""
"31","1984","Not Working","no migration background","","","",""
"31","1984","Not Working","direct migration background","1","","",""
"31","1984","Not Working","indirect migration background","","","",""
"32","1984","Full Time","no migration background","","","",""
"32","1984","Full Time","direct migration background","","","",""
"32","1984","Full Time","indirect migration background","","","",""
"32","1984","Part Time","no migration background","","","",""
"32","1984","Part Time","direct migration background","","","",""
"32","1984","Part Time","indirect migration background","","","",""
"32","1984","Not Working","no migration background","","","",""
"32","1984","Not Working","direct migration background","","","",""
"32","1984","Not Working","indirect migration background","","","",""
"34","1984","Full Time","no migration background","","","",""
"34","1984","Full Time","direct migration background","1","","",""
"34","1984","Full Time","indirect migration background","","","",""
"34","1984","Part Time","no migration background","","","",""
"34","1984","Part Time","direct migration background","1","","",""
"34","1984","Part Time","indirect migration background","","","",""
"34","1984","Not Working","no migration background","","","",""
"34","1984","Not Working","direct migration background","2","","",""
"34","1984","Not Working","indirect migration background","","","",""
"35","1984","Full Time","no migration background","","","",""
"35","1984","Full Time","direct migration background","","","",""
"35","1984","Full Time","indirect migration background","","","",""
"35","1984","Part Time","no migration background","","","",""
"35","1984","Part Time","direct migration background","","","",""
"35","1984","Part Time","indirect migration background","","","",""
"35","1984","Not Working","no migration background","","","",""
"35","1984","Not Working","direct migration background","","","",""
"35","1984","Not Working","indirect migration background","","","",""
"36","1984","Full Time","no migration background","","","",""
"36","1984","Full Time","direct migration background","","","",""
"36","1984","Full Time","indirect migration background","","","",""
"36","1984","Part Time","no migration background","","","",""
"36","1984","Part Time","direct migration background","","","",""
"36","1984","Part Time","indirect migration background","","","",""
"36","1984","Not Working","no migration background","","","",""
"36","1984","Not Working","direct migration background","1","","",""
"36","1984","Not Working","indirect migration background","","","",""
"37","1984","Full Time","no migration background","","","",""
"37","1984","Full Time","direct migration background","","","",""
"37","1984","Full Time","indirect migration background","","","",""
"37","1984","Part Time","no migration background","","","",""
"37","1984","Part Time","direct migration background","","","",""
"37","1984","Part Time","indirect migration background","","","",""
"37","1984","Not Working","no migration background","","","",""
"37","1984","Not Working","direct migration background","","","",""
