"pgnation","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence"
"148","1985","Not Employed","West Germany","","","",""
"148","1985","Not Employed","East Germany","","","",""
"148","1985","Employed","West Germany","","","",""
"148","1985","Employed","East Germany","","","",""
"149","1985","Not Employed","West Germany","","","",""
"149","1985","Not Employed","East Germany","","","",""
"149","1985","Employed","West Germany","","","",""
"149","1985","Employed","East Germany","","","",""
"151","1985","Not Employed","West Germany","","","",""
"151","1985","Not Employed","East Germany","","","",""
"151","1985","Employed","West Germany","","","",""
"151","1985","Employed","East Germany","","","",""
"152","1985","Not Employed","West Germany","","","",""
"152","1985","Not Employed","East Germany","","","",""
"152","1985","Employed","West Germany","","","",""
"152","1985","Employed","East Germany","","","",""
"154","1985","Not Employed","West Germany","","","",""
"154","1985","Not Employed","East Germany","","","",""
"154","1985","Employed","West Germany","","","",""
"154","1985","Employed","East Germany","","","",""
"155","1985","Not Employed","West Germany","","","",""
"155","1985","Not Employed","East Germany","","","",""
"155","1985","Employed","West Germany","","","",""
"155","1985","Employed","East Germany","","","",""
"156","1985","Not Employed","West Germany","","","",""
"156","1985","Not Employed","East Germany","","","",""
"156","1985","Employed","West Germany","","","",""
"156","1985","Employed","East Germany","","","",""
"158","1985","Not Employed","West Germany","","","",""
"158","1985","Not Employed","East Germany","","","",""
"158","1985","Employed","West Germany","","","",""
"158","1985","Employed","East Germany","","","",""
"162","1985","Not Employed","West Germany","","","",""
"162","1985","Not Employed","East Germany","","","",""
"162","1985","Employed","West Germany","","","",""
"162","1985","Employed","East Germany","","","",""
"164","1985","Not Employed","West Germany","","","",""
"164","1985","Not Employed","East Germany","","","",""
"164","1985","Employed","West Germany","","","",""
"164","1985","Employed","East Germany","","","",""
"165","1985","Not Employed","West Germany","","","",""
"165","1985","Not Employed","East Germany","","","",""
"165","1985","Employed","West Germany","","","",""
"165","1985","Employed","East Germany","","","",""
"166","1985","Not Employed","West Germany","","","",""
"166","1985","Not Employed","East Germany","","","",""
"166","1985","Employed","West Germany","","","",""
"166","1985","Employed","East Germany","","","",""
"167","1985","Not Employed","West Germany","","","",""
"167","1985","Not Employed","East Germany","","","",""
"167","1985","Employed","West Germany","","","",""
"167","1985","Employed","East Germany","","","",""
"168","1985","Not Employed","West Germany","","","",""
"168","1985","Not Employed","East Germany","","","",""
"168","1985","Employed","West Germany","","","",""
"168","1985","Employed","East Germany","","","",""
"169","1985","Not Employed","West Germany","","","",""
"169","1985","Not Employed","East Germany","","","",""
"169","1985","Employed","West Germany","","","",""
"169","1985","Employed","East Germany","","","",""
"172","1985","Not Employed","West Germany","","","",""
"172","1985","Not Employed","East Germany","","","",""
"172","1985","Employed","West Germany","","","",""
"172","1985","Employed","East Germany","","","",""
"173","1985","Not Employed","West Germany","","","",""
"173","1985","Not Employed","East Germany","","","",""
"173","1985","Employed","West Germany","","","",""
"173","1985","Employed","East Germany","","","",""
"178","1985","Not Employed","West Germany","","","",""
"178","1985","Not Employed","East Germany","","","",""
"178","1985","Employed","West Germany","","","",""
"178","1985","Employed","East Germany","","","",""
"181","1985","Not Employed","West Germany","","","",""
"181","1985","Not Employed","East Germany","","","",""
"181","1985","Employed","West Germany","","","",""
"181","1985","Employed","East Germany","","","",""
"183","1985","Not Employed","West Germany","","","",""
"183","1985","Not Employed","East Germany","","","",""
"183","1985","Employed","West Germany","","","",""
"183","1985","Employed","East Germany","","","",""
"188","1985","Not Employed","West Germany","","","",""
"188","1985","Not Employed","East Germany","","","",""
"188","1985","Employed","West Germany","","","",""
"188","1985","Employed","East Germany","","","",""
"195","1985","Not Employed","West Germany","","","",""
"195","1985","Not Employed","East Germany","","","",""
"195","1985","Employed","West Germany","","","",""
"195","1985","Employed","East Germany","","","",""
"196","1985","Not Employed","West Germany","","","",""
"196","1985","Not Employed","East Germany","","","",""
"196","1985","Employed","West Germany","","","",""
"196","1985","Employed","East Germany","","","",""
"999","1985","Not Employed","West Germany","","","",""
"999","1985","Not Employed","East Germany","","","",""
"999","1985","Employed","West Germany","","","",""
"999","1985","Employed","East Germany","","","",""
"1","1986","Not Employed","West Germany","3188","0.955875302861199","0.949465847502757","0.96228475821964"
"1","1986","Not Employed","East Germany","","","",""
"1","1986","Employed","West Germany","4832","0.921996415287969","0.91557401431774","0.928418816258198"
"1","1986","Employed","East Germany","","","",""
"2","1986","Not Employed","West Germany","322","0.0169207128956954","0.0128955520534618","0.0209458737379289"
"2","1986","Not Employed","East Germany","","","",""
"2","1986","Employed","West Germany","542","0.0241561454389174","0.0204792650434102","0.0278330258344245"
"2","1986","Employed","East Germany","","","",""
"3","1986","Not Employed","West Germany","109","0.00650165070315998","0.00399337639585647","0.0090099250104635"
"3","1986","Not Employed","East Germany","","","",""
"3","1986","Employed","West Germany","350","0.0154406194951266","0.0124878548177214","0.0183933841725317"
"3","1986","Employed","East Germany","","","",""
"4","1986","Not Employed","West Germany","99","0.00267914863256782","0.00106592159787791","0.00429237566725774"
"4","1986","Not Employed","East Germany","","","",""
"4","1986","Employed","West Germany","293","0.00713291729080186","0.00511754784670462","0.00914828673489911"
"4","1986","Employed","East Germany","","","",""
"5","1986","Not Employed","West Germany","118","0.00558962351245263","0.00326285198809528","0.00791639503680997"
"5","1986","Not Employed","East Germany","","","",""
"5","1986","Employed","West Germany","377","0.0140672797552652","0.011246921866698","0.0168876376438324"
"5","1986","Employed","East Germany","","","",""
"6","1986","Not Employed","West Germany","69","0.00128349415909468","0.000166122375958233","0.00240086594223112"
"6","1986","Not Employed","East Germany","","","",""
"6","1986","Employed","West Germany","234","0.00363499524365293","0.00219375402032743","0.00507623646697843"
"6","1986","Employed","East Germany","","","",""
"10","1986","Not Employed","West Germany","5","","",""
"10","1986","Not Employed","East Germany","","","",""
"10","1986","Employed","West Germany","24","","",""
"10","1986","Employed","East Germany","","","",""
"11","1986","Not Employed","West Germany","3","","",""
"11","1986","Not Employed","East Germany","","","",""
"11","1986","Employed","West Germany","9","","",""
"11","1986","Employed","East Germany","","","",""
"12","1986","Not Employed","West Germany","6","","",""
"12","1986","Not Employed","East Germany","","","",""
"12","1986","Employed","West Germany","3","","",""
"12","1986","Employed","East Germany","","","",""
"13","1986","Not Employed","West Germany","","","",""
"13","1986","Not Employed","East Germany","","","",""
"13","1986","Employed","West Germany","","","",""
"13","1986","Employed","East Germany","","","",""
"14","1986","Not Employed","West Germany","","","",""
"14","1986","Not Employed","East Germany","","","",""
"14","1986","Employed","West Germany","6","","",""
"14","1986","Employed","East Germany","","","",""
"15","1986","Not Employed","West Germany","","","",""
"15","1986","Not Employed","East Germany","","","",""
"15","1986","Employed","West Germany","","","",""
"15","1986","Employed","East Germany","","","",""
"16","1986","Not Employed","West Germany","","","",""
"16","1986","Not Employed","East Germany","","","",""
"16","1986","Employed","West Germany","","","",""
"16","1986","Employed","East Germany","","","",""
"17","1986","Not Employed","West Germany","","","",""
"17","1986","Not Employed","East Germany","","","",""
"17","1986","Employed","West Germany","1","","",""
"17","1986","Employed","East Germany","","","",""
"18","1986","Not Employed","West Germany","3","","",""
"18","1986","Not Employed","East Germany","","","",""
"18","1986","Employed","West Germany","6","","",""
"18","1986","Employed","East Germany","","","",""
"19","1986","Not Employed","West Germany","2","","",""
"19","1986","Not Employed","East Germany","","","",""
"19","1986","Employed","West Germany","3","","",""
"19","1986","Employed","East Germany","","","",""
"20","1986","Not Employed","West Germany","1","","",""
"20","1986","Not Employed","East Germany","","","",""
"20","1986","Employed","West Germany","1","","",""
"20","1986","Employed","East Germany","","","",""
"21","1986","Not Employed","West Germany","1","","",""
"21","1986","Not Employed","East Germany","","","",""
"21","1986","Employed","West Germany","1","","",""
"21","1986","Employed","East Germany","","","",""
"22","1986","Not Employed","West Germany","4","","",""
"22","1986","Not Employed","East Germany","","","",""
"22","1986","Employed","West Germany","3","","",""
"22","1986","Employed","East Germany","","","",""
"23","1986","Not Employed","West Germany","1","","",""
"23","1986","Not Employed","East Germany","","","",""
"23","1986","Employed","West Germany","1","","",""
"23","1986","Employed","East Germany","","","",""
"24","1986","Not Employed","West Germany","3","","",""
"24","1986","Not Employed","East Germany","","","",""
"24","1986","Employed","West Germany","","","",""
"24","1986","Employed","East Germany","","","",""
"25","1986","Not Employed","West Germany","1","","",""
"25","1986","Not Employed","East Germany","","","",""
"25","1986","Employed","West Germany","1","","",""
"25","1986","Employed","East Germany","","","",""
"26","1986","Not Employed","West Germany","1","","",""
"26","1986","Not Employed","East Germany","","","",""
"26","1986","Employed","West Germany","1","","",""
"26","1986","Employed","East Germany","","","",""
"27","1986","Not Employed","West Germany","","","",""
"27","1986","Not Employed","East Germany","","","",""
"27","1986","Employed","West Germany","","","",""
"27","1986","Employed","East Germany","","","",""
"28","1986","Not Employed","West Germany","","","",""
"28","1986","Not Employed","East Germany","","","",""
"28","1986","Employed","West Germany","","","",""
"28","1986","Employed","East Germany","","","",""
"29","1986","Not Employed","West Germany","","","",""
"29","1986","Not Employed","East Germany","","","",""
"29","1986","Employed","West Germany","","","",""
"29","1986","Employed","East Germany","","","",""
"30","1986","Not Employed","West Germany","","","",""
"30","1986","Not Employed","East Germany","","","",""
"30","1986","Employed","West Germany","","","",""
"30","1986","Employed","East Germany","","","",""
"31","1986","Not Employed","West Germany","","","",""
"31","1986","Not Employed","East Germany","","","",""
"31","1986","Employed","West Germany","2","","",""
"31","1986","Employed","East Germany","","","",""
"32","1986","Not Employed","West Germany","","","",""
"32","1986","Not Employed","East Germany","","","",""
"32","1986","Employed","West Germany","","","",""
"32","1986","Employed","East Germany","","","",""
"34","1986","Not Employed","West Germany","1","","",""
"34","1986","Not Employed","East Germany","","","",""
"34","1986","Employed","West Germany","","","",""
"34","1986","Employed","East Germany","","","",""
"35","1986","Not Employed","West Germany","","","",""
"35","1986","Not Employed","East Germany","","","",""
"35","1986","Employed","West Germany","","","",""
"35","1986","Employed","East Germany","","","",""
"36","1986","Not Employed","West Germany","","","",""
"36","1986","Not Employed","East Germany","","","",""
"36","1986","Employed","West Germany","","","",""
"36","1986","Employed","East Germany","","","",""
"37","1986","Not Employed","West Germany","","","",""
"37","1986","Not Employed","East Germany","","","",""
"37","1986","Employed","West Germany","","","",""
"37","1986","Employed","East Germany","","","",""
"38","1986","Not Employed","West Germany","","","",""
"38","1986","Not Employed","East Germany","","","",""
"38","1986","Employed","West Germany","1","","",""
"38","1986","Employed","East Germany","","","",""
"39","1986","Not Employed","West Germany","","","",""
"39","1986","Not Employed","East Germany","","","",""
"39","1986","Employed","West Germany","1","","",""
"39","1986","Employed","East Germany","","","",""
"40","1986","Not Employed","West Germany","","","",""
"40","1986","Not Employed","East Germany","","","",""
"40","1986","Employed","West Germany","","","",""
"40","1986","Employed","East Germany","","","",""
"41","1986","Not Employed","West Germany","","","",""
"41","1986","Not Employed","East Germany","","","",""
"41","1986","Employed","West Germany","1","","",""
"41","1986","Employed","East Germany","","","",""
"42","1986","Not Employed","West Germany","","","",""
"42","1986","Not Employed","East Germany","","","",""
"42","1986","Employed","West Germany","","","",""
"42","1986","Employed","East Germany","","","",""
"43","1986","Not Employed","West Germany","1","","",""
"43","1986","Not Employed","East Germany","","","",""
"43","1986","Employed","West Germany","1","","",""
"43","1986","Employed","East Germany","","","",""
"44","1986","Not Employed","West Germany","1","","",""
"44","1986","Not Employed","East Germany","","","",""
"44","1986","Employed","West Germany","","","",""
"44","1986","Employed","East Germany","","","",""
"45","1986","Not Employed","West Germany","","","",""
"45","1986","Not Employed","East Germany","","","",""
"45","1986","Employed","West Germany","","","",""
"45","1986","Employed","East Germany","","","",""
"46","1986","Not Employed","West Germany","","","",""
"46","1986","Not Employed","East Germany","","","",""
"46","1986","Employed","West Germany","","","",""
"46","1986","Employed","East Germany","","","",""
"47","1986","Not Employed","West Germany","1","","",""
"47","1986","Not Employed","East Germany","","","",""
"47","1986","Employed","West Germany","","","",""
"47","1986","Employed","East Germany","","","",""
"48","1986","Not Employed","West Germany","","","",""
"48","1986","Not Employed","East Germany","","","",""
"48","1986","Employed","West Germany","","","",""
"48","1986","Employed","East Germany","","","",""
"49","1986","Not Employed","West Germany","","","",""
"49","1986","Not Employed","East Germany","","","",""
"49","1986","Employed","West Germany","","","",""
"49","1986","Employed","East Germany","","","",""
"50","1986","Not Employed","West Germany","","","",""
"50","1986","Not Employed","East Germany","","","",""
"50","1986","Employed","West Germany","","","",""
"50","1986","Employed","East Germany","","","",""
"51","1986","Not Employed","West Germany","","","",""
"51","1986","Not Employed","East Germany","","","",""
"51","1986","Employed","West Germany","","","",""
"51","1986","Employed","East Germany","","","",""
"52","1986","Not Employed","West Germany","","","",""
"52","1986","Not Employed","East Germany","","","",""
"52","1986","Employed","West Germany","","","",""
"52","1986","Employed","East Germany","","","",""
"53","1986","Not Employed","West Germany","","","",""
"53","1986","Not Employed","East Germany","","","",""
"53","1986","Employed","West Germany","","","",""
"53","1986","Employed","East Germany","","","",""
"54","1986","Not Employed","West Germany","","","",""
"54","1986","Not Employed","East Germany","","","",""
"54","1986","Employed","West Germany","","","",""
"54","1986","Employed","East Germany","","","",""
"55","1986","Not Employed","West Germany","","","",""
"55","1986","Not Employed","East Germany","","","",""
"55","1986","Employed","West Germany","","","",""
"55","1986","Employed","East Germany","","","",""
"56","1986","Not Employed","West Germany","","","",""
"56","1986","Not Employed","East Germany","","","",""
"56","1986","Employed","West Germany","","","",""
"56","1986","Employed","East Germany","","","",""
"59","1986","Not Employed","West Germany","","","",""
"59","1986","Not Employed","East Germany","","","",""
"59","1986","Employed","West Germany","","","",""
"59","1986","Employed","East Germany","","","",""
"60","1986","Not Employed","West Germany","","","",""
"60","1986","Not Employed","East Germany","","","",""
"60","1986","Employed","West Germany","","","",""
"60","1986","Employed","East Germany","","","",""
"61","1986","Not Employed","West Germany","","","",""
"61","1986","Not Employed","East Germany","","","",""
"61","1986","Employed","West Germany","","","",""
"61","1986","Employed","East Germany","","","",""
"64","1986","Not Employed","West Germany","","","",""
"64","1986","Not Employed","East Germany","","","",""
"64","1986","Employed","West Germany","","","",""
"64","1986","Employed","East Germany","","","",""
"65","1986","Not Employed","West Germany","","","",""
"65","1986","Not Employed","East Germany","","","",""
"65","1986","Employed","West Germany","","","",""
"65","1986","Employed","East Germany","","","",""
"66","1986","Not Employed","West Germany","","","",""
"66","1986","Not Employed","East Germany","","","",""
"66","1986","Employed","West Germany","","","",""
"66","1986","Employed","East Germany","","","",""
"67","1986","Not Employed","West Germany","","","",""
"67","1986","Not Employed","East Germany","","","",""
"67","1986","Employed","West Germany","","","",""
"67","1986","Employed","East Germany","","","",""
"68","1986","Not Employed","West Germany","","","",""
"68","1986","Not Employed","East Germany","","","",""
"68","1986","Employed","West Germany","","","",""
"68","1986","Employed","East Germany","","","",""
"71","1986","Not Employed","West Germany","","","",""
"71","1986","Not Employed","East Germany","","","",""
"71","1986","Employed","West Germany","","","",""
"71","1986","Employed","East Germany","","","",""
"72","1986","Not Employed","West Germany","","","",""
"72","1986","Not Employed","East Germany","","","",""
"72","1986","Employed","West Germany","","","",""
"72","1986","Employed","East Germany","","","",""
"73","1986","Not Employed","West Germany","","","",""
"73","1986","Not Employed","East Germany","","","",""
"73","1986","Employed","West Germany","","","",""
"73","1986","Employed","East Germany","","","",""
"74","1986","Not Employed","West Germany","","","",""
"74","1986","Not Employed","East Germany","","","",""
"74","1986","Employed","West Germany","","","",""
"74","1986","Employed","East Germany","","","",""
"75","1986","Not Employed","West Germany","","","",""
"75","1986","Not Employed","East Germany","","","",""
"75","1986","Employed","West Germany","","","",""
"75","1986","Employed","East Germany","","","",""
"76","1986","Not Employed","West Germany","","","",""
"76","1986","Not Employed","East Germany","","","",""
"76","1986","Employed","West Germany","","","",""
"76","1986","Employed","East Germany","","","",""
"77","1986","Not Employed","West Germany","","","",""
"77","1986","Not Employed","East Germany","","","",""
"77","1986","Employed","West Germany","","","",""
"77","1986","Employed","East Germany","","","",""
"78","1986","Not Employed","West Germany","","","",""
"78","1986","Not Employed","East Germany","","","",""
"78","1986","Employed","West Germany","","","",""
"78","1986","Employed","East Germany","","","",""
"79","1986","Not Employed","West Germany","","","",""
"79","1986","Not Employed","East Germany","","","",""
"79","1986","Employed","West Germany","","","",""
"79","1986","Employed","East Germany","","","",""
"80","1986","Not Employed","West Germany","","","",""
"80","1986","Not Employed","East Germany","","","",""
"80","1986","Employed","West Germany","","","",""
"80","1986","Employed","East Germany","","","",""
"81","1986","Not Employed","West Germany","","","",""
"81","1986","Not Employed","East Germany","","","",""
"81","1986","Employed","West Germany","","","",""
"81","1986","Employed","East Germany","","","",""
"82","1986","Not Employed","West Germany","","","",""
"82","1986","Not Employed","East Germany","","","",""
"82","1986","Employed","West Germany","","","",""
"82","1986","Employed","East Germany","","","",""
"83","1986","Not Employed","West Germany","","","",""
"83","1986","Not Employed","East Germany","","","",""
"83","1986","Employed","West Germany","","","",""
"83","1986","Employed","East Germany","","","",""
"84","1986","Not Employed","West Germany","","","",""
"84","1986","Not Employed","East Germany","","","",""
"84","1986","Employed","West Germany","","","",""
"84","1986","Employed","East Germany","","","",""
"85","1986","Not Employed","West Germany","","","",""
"85","1986","Not Employed","East Germany","","","",""
"85","1986","Employed","West Germany","","","",""
"85","1986","Employed","East Germany","","","",""
"86","1986","Not Employed","West Germany","","","",""
"86","1986","Not Employed","East Germany","","","",""
"86","1986","Employed","West Germany","","","",""
"86","1986","Employed","East Germany","","","",""
"89","1986","Not Employed","West Germany","","","",""
"89","1986","Not Employed","East Germany","","","",""
"89","1986","Employed","West Germany","","","",""
"89","1986","Employed","East Germany","","","",""
"90","1986","Not Employed","West Germany","","","",""
"90","1986","Not Employed","East Germany","","","",""
"90","1986","Employed","West Germany","","","",""
"90","1986","Employed","East Germany","","","",""
"92","1986","Not Employed","West Germany","","","",""
"92","1986","Not Employed","East Germany","","","",""
"92","1986","Employed","West Germany","","","",""
"92","1986","Employed","East Germany","","","",""
"94","1986","Not Employed","West Germany","","","",""
"94","1986","Not Employed","East Germany","","","",""
"94","1986","Employed","West Germany","","","",""
"94","1986","Employed","East Germany","","","",""
"95","1986","Not Employed","West Germany","","","",""
"95","1986","Not Employed","East Germany","","","",""
"95","1986","Employed","West Germany","","","",""
"95","1986","Employed","East Germany","","","",""
"96","1986","Not Employed","West Germany","","","",""
"96","1986","Not Employed","East Germany","","","",""
"96","1986","Employed","West Germany","","","",""
"96","1986","Employed","East Germany","","","",""
"97","1986","Not Employed","West Germany","","","",""
"97","1986","Not Employed","East Germany","","","",""
"97","1986","Employed","West Germany","","","",""
"97","1986","Employed","East Germany","","","",""
"98","1986","Not Employed","West Germany","4","","",""
"98","1986","Not Employed","East Germany","","","",""
"98","1986","Employed","West Germany","4","","",""
"98","1986","Employed","East Germany","","","",""
"101","1986","Not Employed","West Germany","","","",""
"101","1986","Not Employed","East Germany","","","",""
"101","1986","Employed","West Germany","","","",""
"101","1986","Employed","East Germany","","","",""
"102","1986","Not Employed","West Germany","","","",""
"102","1986","Not Employed","East Germany","","","",""
"102","1986","Employed","West Germany","","","",""
"102","1986","Employed","East Germany","","","",""
"103","1986","Not Employed","West Germany","","","",""
"103","1986","Not Employed","East Germany","","","",""
"103","1986","Employed","West Germany","","","",""
"103","1986","Employed","East Germany","","","",""
"105","1986","Not Employed","West Germany","","","",""
"105","1986","Not Employed","East Germany","","","",""
"105","1986","Employed","West Germany","","","",""
"105","1986","Employed","East Germany","","","",""
"108","1986","Not Employed","West Germany","","","",""
"108","1986","Not Employed","East Germany","","","",""
"108","1986","Employed","West Germany","","","",""
"108","1986","Employed","East Germany","","","",""
"110","1986","Not Employed","West Germany","","","",""
"110","1986","Not Employed","East Germany","","","",""
"110","1986","Employed","West Germany","","","",""
"110","1986","Employed","East Germany","","","",""
"111","1986","Not Employed","West Germany","","","",""
"111","1986","Not Employed","East Germany","","","",""
"111","1986","Employed","West Germany","","","",""
"111","1986","Employed","East Germany","","","",""
"113","1986","Not Employed","West Germany","","","",""
"113","1986","Not Employed","East Germany","","","",""
"113","1986","Employed","West Germany","","","",""
"113","1986","Employed","East Germany","","","",""
"116","1986","Not Employed","West Germany","","","",""
"116","1986","Not Employed","East Germany","","","",""
"116","1986","Employed","West Germany","","","",""
"116","1986","Employed","East Germany","","","",""
"117","1986","Not Employed","West Germany","","","",""
"117","1986","Not Employed","East Germany","","","",""
"117","1986","Employed","West Germany","","","",""
"117","1986","Employed","East Germany","","","",""
"118","1986","Not Employed","West Germany","","","",""
"118","1986","Not Employed","East Germany","","","",""
"118","1986","Employed","West Germany","","","",""
"118","1986","Employed","East Germany","","","",""
"119","1986","Not Employed","West Germany","","","",""
"119","1986","Not Employed","East Germany","","","",""
"119","1986","Employed","West Germany","","","",""
"119","1986","Employed","East Germany","","","",""
"120","1986","Not Employed","West Germany","","","",""
"120","1986","Not Employed","East Germany","","","",""
"120","1986","Employed","West Germany","","","",""
"120","1986","Employed","East Germany","","","",""
"121","1986","Not Employed","West Germany","","","",""
"121","1986","Not Employed","East Germany","","","",""
"121","1986","Employed","West Germany","","","",""
"121","1986","Employed","East Germany","","","",""
"122","1986","Not Employed","West Germany","","","",""
"122","1986","Not Employed","East Germany","","","",""
"122","1986","Employed","West Germany","","","",""
"122","1986","Employed","East Germany","","","",""
"123","1986","Not Employed","West Germany","","","",""
"123","1986","Not Employed","East Germany","","","",""
"123","1986","Employed","West Germany","","","",""
"123","1986","Employed","East Germany","","","",""
"124","1986","Not Employed","West Germany","","","",""
"124","1986","Not Employed","East Germany","","","",""
"124","1986","Employed","West Germany","","","",""
"124","1986","Employed","East Germany","","","",""
"125","1986","Not Employed","West Germany","","","",""
"125","1986","Not Employed","East Germany","","","",""
"125","1986","Employed","West Germany","","","",""
"125","1986","Employed","East Germany","","","",""
"127","1986","Not Employed","West Germany","","","",""
"127","1986","Not Employed","East Germany","","","",""
"127","1986","Employed","West Germany","","","",""
"127","1986","Employed","East Germany","","","",""
"128","1986","Not Employed","West Germany","","","",""
"128","1986","Not Employed","East Germany","","","",""
"128","1986","Employed","West Germany","","","",""
"128","1986","Employed","East Germany","","","",""
"129","1986","Not Employed","West Germany","","","",""
"129","1986","Not Employed","East Germany","","","",""
"129","1986","Employed","West Germany","","","",""
"129","1986","Employed","East Germany","","","",""
"130","1986","Not Employed","West Germany","","","",""
"130","1986","Not Employed","East Germany","","","",""
"130","1986","Employed","West Germany","","","",""
"130","1986","Employed","East Germany","","","",""
"131","1986","Not Employed","West Germany","","","",""
"131","1986","Not Employed","East Germany","","","",""
"131","1986","Employed","West Germany","","","",""
"131","1986","Employed","East Germany","","","",""
"132","1986","Not Employed","West Germany","","","",""
"132","1986","Not Employed","East Germany","","","",""
"132","1986","Employed","West Germany","","","",""
"132","1986","Employed","East Germany","","","",""
"133","1986","Not Employed","West Germany","","","",""
"133","1986","Not Employed","East Germany","","","",""
"133","1986","Employed","West Germany","","","",""
"133","1986","Employed","East Germany","","","",""
"135","1986","Not Employed","West Germany","","","",""
"135","1986","Not Employed","East Germany","","","",""
"135","1986","Employed","West Germany","","","",""
"135","1986","Employed","East Germany","","","",""
"138","1986","Not Employed","West Germany","","","",""
"138","1986","Not Employed","East Germany","","","",""
"138","1986","Employed","West Germany","","","",""
"138","1986","Employed","East Germany","","","",""
"139","1986","Not Employed","West Germany","","","",""
"139","1986","Not Employed","East Germany","","","",""
"139","1986","Employed","West Germany","","","",""
"139","1986","Employed","East Germany","","","",""
"140","1986","Not Employed","West Germany","","","",""
"140","1986","Not Employed","East Germany","","","",""
"140","1986","Employed","West Germany","","","",""
"140","1986","Employed","East Germany","","","",""
"141","1986","Not Employed","West Germany","","","",""
"141","1986","Not Employed","East Germany","","","",""
"141","1986","Employed","West Germany","","","",""
"141","1986","Employed","East Germany","","","",""
"142","1986","Not Employed","West Germany","","","",""
"142","1986","Not Employed","East Germany","","","",""
"142","1986","Employed","West Germany","","","",""
"142","1986","Employed","East Germany","","","",""
"143","1986","Not Employed","West Germany","","","",""
"143","1986","Not Employed","East Germany","","","",""
"143","1986","Employed","West Germany","","","",""
"143","1986","Employed","East Germany","","","",""
"144","1986","Not Employed","West Germany","","","",""
"144","1986","Not Employed","East Germany","","","",""
"144","1986","Employed","West Germany","","","",""
"144","1986","Employed","East Germany","","","",""
"145","1986","Not Employed","West Germany","","","",""
"145","1986","Not Employed","East Germany","","","",""
"145","1986","Employed","West Germany","","","",""
"145","1986","Employed","East Germany","","","",""
"146","1986","Not Employed","West Germany","","","",""
"146","1986","Not Employed","East Germany","","","",""
"146","1986","Employed","West Germany","","","",""
"146","1986","Employed","East Germany","","","",""
"147","1986","Not Employed","West Germany","","","",""
"147","1986","Not Employed","East Germany","","","",""
"147","1986","Employed","West Germany","","","",""
"147","1986","Employed","East Germany","","","",""
"148","1986","Not Employed","West Germany","","","",""
"148","1986","Not Employed","East Germany","","","",""
"148","1986","Employed","West Germany","","","",""
"148","1986","Employed","East Germany","","","",""
"149","1986","Not Employed","West Germany","","","",""
"149","1986","Not Employed","East Germany","","","",""
"149","1986","Employed","West Germany","","","",""
"149","1986","Employed","East Germany","","","",""
"151","1986","Not Employed","West Germany","","","",""
"151","1986","Not Employed","East Germany","","","",""
"151","1986","Employed","West Germany","","","",""
"151","1986","Employed","East Germany","","","",""
"152","1986","Not Employed","West Germany","","","",""
"152","1986","Not Employed","East Germany","","","",""
"152","1986","Employed","West Germany","","","",""
"152","1986","Employed","East Germany","","","",""
"154","1986","Not Employed","West Germany","","","",""
"154","1986","Not Employed","East Germany","","","",""
"154","1986","Employed","West Germany","","","",""
"154","1986","Employed","East Germany","","","",""
"155","1986","Not Employed","West Germany","","","",""
"155","1986","Not Employed","East Germany","","","",""
"155","1986","Employed","West Germany","","","",""
"155","1986","Employed","East Germany","","","",""
"156","1986","Not Employed","West Germany","","","",""
"156","1986","Not Employed","East Germany","","","",""
"156","1986","Employed","West Germany","","","",""
"156","1986","Employed","East Germany","","","",""
"158","1986","Not Employed","West Germany","","","",""
"158","1986","Not Employed","East Germany","","","",""
"158","1986","Employed","West Germany","","","",""
"158","1986","Employed","East Germany","","","",""
"162","1986","Not Employed","West Germany","","","",""
"162","1986","Not Employed","East Germany","","","",""
"162","1986","Employed","West Germany","","","",""
"162","1986","Employed","East Germany","","","",""
"164","1986","Not Employed","West Germany","","","",""
"164","1986","Not Employed","East Germany","","","",""
"164","1986","Employed","West Germany","","","",""
"164","1986","Employed","East Germany","","","",""
"165","1986","Not Employed","West Germany","","","",""
"165","1986","Not Employed","East Germany","","","",""
"165","1986","Employed","West Germany","","","",""
"165","1986","Employed","East Germany","","","",""
"166","1986","Not Employed","West Germany","","","",""
"166","1986","Not Employed","East Germany","","","",""
"166","1986","Employed","West Germany","","","",""
"166","1986","Employed","East Germany","","","",""
"167","1986","Not Employed","West Germany","","","",""
"167","1986","Not Employed","East Germany","","","",""
"167","1986","Employed","West Germany","","","",""
"167","1986","Employed","East Germany","","","",""
"168","1986","Not Employed","West Germany","","","",""
"168","1986","Not Employed","East Germany","","","",""
"168","1986","Employed","West Germany","","","",""
"168","1986","Employed","East Germany","","","",""
"169","1986","Not Employed","West Germany","","","",""
"169","1986","Not Employed","East Germany","","","",""
"169","1986","Employed","West Germany","","","",""
"169","1986","Employed","East Germany","","","",""
"172","1986","Not Employed","West Germany","","","",""
"172","1986","Not Employed","East Germany","","","",""
"172","1986","Employed","West Germany","","","",""
"172","1986","Employed","East Germany","","","",""
"173","1986","Not Employed","West Germany","","","",""
"173","1986","Not Employed","East Germany","","","",""
"173","1986","Employed","West Germany","","","",""
"173","1986","Employed","East Germany","","","",""
"178","1986","Not Employed","West Germany","","","",""
"178","1986","Not Employed","East Germany","","","",""
"178","1986","Employed","West Germany","","","",""
"178","1986","Employed","East Germany","","","",""
"181","1986","Not Employed","West Germany","","","",""
