"pgnation","year","regtyp","sex","n","percent","lower_confidence","upper_confidence"
"14","1986","Rural Area","Female","","","",""
"15","1986","Urban Area","Male","","","",""
"15","1986","Urban Area","Female","","","",""
"15","1986","Rural Area","Male","","","",""
"15","1986","Rural Area","Female","","","",""
"16","1986","Urban Area","Male","","","",""
"16","1986","Urban Area","Female","","","",""
"16","1986","Rural Area","Male","","","",""
"16","1986","Rural Area","Female","","","",""
"17","1986","Urban Area","Male","","","",""
"17","1986","Urban Area","Female","","","",""
"17","1986","Rural Area","Male","","","",""
"17","1986","Rural Area","Female","1","","",""
"18","1986","Urban Area","Male","2","","",""
"18","1986","Urban Area","Female","5","","",""
"18","1986","Rural Area","Male","1","","",""
"18","1986","Rural Area","Female","1","","",""
"19","1986","Urban Area","Male","","","",""
"19","1986","Urban Area","Female","3","","",""
"19","1986","Rural Area","Male","1","","",""
"19","1986","Rural Area","Female","1","","",""
"20","1986","Urban Area","Male","1","","",""
"20","1986","Urban Area","Female","1","","",""
"20","1986","Rural Area","Male","","","",""
"20","1986","Rural Area","Female","","","",""
"21","1986","Urban Area","Male","1","","",""
"21","1986","Urban Area","Female","1","","",""
