"year","bula_h","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1992","Hesse","32216.26","28011.06","960","168","7588","46432","67130","129795","30370.28","34062.24","0","331317","33171","36634"
"1992","Lower Saxony","29392.69","26716.7","975","222","6248","44079","58639","111480","27832.25","30953.13","0","251250","28721","32509"
"1992","Mecklenburg-Western Pomerania","18935.12","17234.31","418","236","9559","27501","35116","54654","17634.31","20235.93","0","67272","19108","22168"
"1992","North Rhine-Westphalia","31031.23","28488.12","2540","205","10336","44784","62669","110546","30101.72","31960.74","0","258714","30292","32550"
"1992","Rhineland-Palatinate,Saarland","27435.92","27201","660","229","6749","40563","53818","98111","25772.74","29099.1","0","107202","28722","32211"
"1992","Saxony","16937.06","16656","1165","205","5298","24452","32652","66954","16179.48","17694.64","0","71592","18552","20524"
"1992","Saxony-Anhalt","17535.78","17428.25","779","149","5961","25545","35258","62498","16557.54","18514.02","0","71919","20172","21946"
"1992","Schleswig-Holstein","28559.33","26764.84","272","177","10736","39904","59209","86462","25909.53","31209.13","0","111295","25667","31465"
"1992","Thuringia","15561","14456.2","683","159","5873","22820","31522","52588","14634.73","16487.27","0","56624","16639","19035"
"1993","Baden-Württemberg","35861.56","33404.47","1793","888","14521","52132","72738","110758","34680.02","37043.1","0","206032","34556","37044"
"1993","Bavaria","32910.89","30591","1629","534","11248","49039","66114","107811","31658.95","34162.83","0","194014","33562","36988"
"1993","Berlin","27237.65","25877.63","580","190","9076","42090","55144","77742","25356.69","29118.61","0","234657","25462","30507"
"1993","Brandenburg","20691.48","18603","632","239","7692","29976","42693","65650","19429.36","21953.6","0","80222","19358","23362"
"1993","Bremen","18855.19","5576","93","0","205","34464","47704","90641","13827.58","23882.8","0","91443","5576","28080"
"1993","Hamburg","24967.77","22650","145","43","968","43127","55450","84955","21188","28747.54","0","84955","22591","36484"
"1993","Hesse","34377.37","30898.67","941","256","7264","49662","70917","112976","32405.5","36349.24","0","425113","33017","37467"
