"year","education","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1989","lower secondary degree","higher vocational","28592.75","28373","230","227","8049","42828","56508","92623","25792.64","31392.86","0","111948","28382","36148"
"1989","lower secondary degree","in school","","","","","","","","","","","","","",""
"1989","lower secondary degree","inadequately","","","","","","","","","","","","","",""
"1989","lower secondary degree","middle vocational","24450.57","23875.78","2767","153","6913","35155","47934","82282","23705.75","25195.39","0","300001","25908","27424"
"1989","lower secondary degree","vocational + Abi","","","","","","","","","","","","","",""
"1989","no degree/no degree yet","general elemantary","","","","","","","","","","","","","",""
"1989","no degree/no degree yet","higher education","","","","","","","","","","","","","",""
"1989","no degree/no degree yet","higher vocational","","","","","","","","","","","","","",""
"1989","no degree/no degree yet","in school","36796.34","33403.86","175","8049","23826","45171","61689","128851","33086.17","40506.51","0","161747","29650","35250"
"1989","no degree/no degree yet","inadequately","23831.14","22088","626","88","13008","33547","46824","66407","22514.78","25147.5","0","97737","25439","29017"
"1989","no degree/no degree yet","middle vocational","25781.91","23651.22","84","2382","17245","33547","51920","69748","21969.04","29594.78","0","92895","23008","31189"
"1989","no degree/no degree yet","vocational + Abi","","","","","","","","","","","","","",""
"1989","Other degree","general elemantary","26486.1","26085.28","533","11223","17806","33932","43690","67456","25203.1","27769.1","0","93773","26571","28909"
"1989","Other degree","higher education","28591.54","30734.76","34","868","15088","42813","52571","68761","23134.47","34048.61","868","68761","22635","39746"
"1989","Other degree","higher vocational","","","","","","","","","","","","","",""
"1989","Other degree","in school","","","","","","","","","","","","","",""
"1989","Other degree","inadequately","","","","","","","","","","","","","",""
"1989","Other degree","middle vocational","28376.73","26179.93","364","9203","17754","37442","47091","97737","26691.66","30061.8","0","132177","26639","31792"
"1989","Other degree","vocational + Abi","25044.13","22791.97","71","4806","15339","33352","41381","74113","21165.46","28922.8","0","74113","21604","32881"
"1989","secondary school degree","general elemantary","28703.6","28668.28","393","507","9638","41672","54270","82282","26351.9","31055.3","0","235174","28921","33123"
"1989","secondary school degree","higher education","51639.99","41667.43","56","2804","22497","54270","111850","300001","38207.69","65072.29","0","300001","35365","49123"
"1989","secondary school degree","higher vocational","31555.35","28859.9","165","440","17911","43677","54658","111421","28083.53","35027.17","0","165376","27984","36814"
"1989","secondary school degree","in school","","","","","","","","","","","","","",""
"1989","secondary school degree","inadequately","","","","","","","","","","","","","",""
"1989","secondary school degree","middle vocational","31931.22","29404","1099","531","15927","43156","58687","138178","30367.99","33494.45","0","301825","30780","33464"
"1989","secondary school degree","vocational + Abi","","","","","","","","","","","","","",""
"1990","college entrance qualification","general elemantary","","","","","","","","","","","","","",""
"1990","college entrance qualification","higher education","42946.31","38314.05","594","4603","25084","55675","71325","186025","40056.39","45836.23","0","375273","38449","42981"
"1990","college entrance qualification","higher vocational","33195.73","28796.38","115","1044","18176","44655","63572","129106","27992.03","38399.43","0","211096","28441","37970"
"1990","college entrance qualification","in school","","","","","","","","","","","","","",""
"1990","college entrance qualification","inadequately","","","","","","","","","","","","","",""
