"year","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2009","higher education","10.66","7","2770","1","2","17","25","40","10.26","11.06","0","64","9","11"
"2009","higher vocational","13.32","12","854","1","4","20","29","43","12.63","14.01","0","59","11","13"
"2009","in school","1.78","2","37","1","1","3","3","4","1.4","2.16","0","4","1","2"
"2009","inadequately","7.12","3","58","1","1","7","17","44","4.32","9.92","0","44","2","7"
"2009","middle vocational","11.6","8","5048","1","2","18","29","41","11.31","11.89","0","58","8","9"
"2009","vocational + Abi","8.72","6","713","1","2","13","21","34","8.06","9.38","0","44","6","8"
"2010","general elemantary","8.35","3","972","1","1","11","25","39","7.8","8.9","0","46","3","3"
"2010","higher education","10.75","8","3699","1","3","17","26","39","10.43","11.07","0","61","8","9"
"2010","higher vocational","13.06","11","1081","1","3","20","30","40","12.45","13.67","0","60","10","12"
"2010","in school","1.8","1.61","46","0","1","3","4","5","1.42","2.18","0","5","1","2"
"2010","inadequately","8.43","4","107","1","1","9","32","41","6.74","10.12","0","41","2","5"
"2010","middle vocational","11.97","9","6741","1","3","19","29","42","11.73","12.21","0","52","7","8"
"2010","vocational + Abi","9.24","7","1157","1","3","14","21","34","8.76","9.72","0","45","7","8"
"2011","general elemantary","8.75","4","1190","1","2","13","26","43","8.21","9.29","0","51","3","3"
"2011","higher education","10.88","8","4405","1","3","17","27","39","10.59","11.17","0","62","9","10"
"2011","higher vocational","13.06","12","1258","1","4","20","30","42","12.49","13.63","0","50","11","12"
"2011","in school","1.56","1","56","0","1","2","3","5","1.26","1.86","0","5","1","2"
"2011","inadequately","6.61","3","140","0","1","8","20","33","5.25","7.97","0","42","2","3"
"2011","middle vocational","11.73","9","8033","1","3","19","28","42","11.5","11.96","0","60","8","8"
"2011","vocational + Abi","9.5","7","1427","1","3","14","22","35","9.05","9.95","0","43","7","8"
"2012","general elemantary","8.54","4","1229","1","2","13","24","39","8.02","9.06","0","55","3","3"
"2012","higher education","10.79","8","4324","1","3","17","26","38","10.49","11.09","0","63","9","9"
"2012","higher vocational","13.63","12","1225","1","4","20","31","44","13.03","14.23","0","63","11","13"
"2012","in school","1.37","1","69","0","1","2","3","6","1.08","1.66","0","6","1","1"
"2012","inadequately","7.59","4","153","1","1","9","21","34","6.28","8.9","0","45","2","4"
"2012","middle vocational","11.83","8","7954","1","3","19","29","42","11.6","12.06","0","51","7","8"
"2012","vocational + Abi","9.19","7","1467","1","2","14","21","35","8.75","9.63","0","44","6","8"
"2013","general elemantary","8.05","3","1793","1","1","12","24","37","7.67","8.43","0","56","2","3"
"2013","higher education","10.9","7","4940","1","3","17","26","39","10.63","11.17","0","60","7","8"
"2013","higher vocational","13.78","11.44","1191","1","4","20","31","42","13.17","14.39","0","64","11","12"
"2013","in school","1.51","1","100","0","1","2","3","6","1.14","1.88","0","12","1","2"
"2013","inadequately","7.33","4","259","0","1","10","21","35","6.39","8.27","0","44","2","4"
"2013","middle vocational","11.55","8","8602","1","2","18","28","43","11.33","11.77","0","58","6","7"
"2013","vocational + Abi","8.99","6","1791","1","2","13","21","36","8.6","9.38","0","45","5","6"
"2014","general elemantary","8.25","3","1482","1","2","12","23","41","7.83","8.67","0","57","3","3"
"2014","higher education","10.79","8","4393","1","2","16","26","40","10.5","11.08","0","61","8","8"
"2014","higher vocational","13.98","12","1089","1","4","21","31","42","13.33","14.63","0","58","11","13"
"2014","in school","1.77","2","61","0","1","3","3","4","1.46","2.08","0","5","1","2"
"2014","inadequately","7.49","4","189","0","1","11","19","36","6.31","8.67","0","45","2","4"
"2014","middle vocational","11.88","8","7569","1","2","19","29","44","11.64","12.12","0","58","6","7"
"2014","vocational + Abi","9.08","6","1585","1","2","13","22","36","8.65","9.51","0","45","5","6"
"2015","general elemantary","7.69","3","1410","0","1","11","21","41","7.26","8.12","0","58","3","3"
"2015","higher education","10.7","7","4524","1","2","16","26","40","10.41","10.99","0","56","7","7"
"2015","higher vocational","13.59","11","1041","1","4","21","30","43","12.93","14.25","0","49","10","12"
"2015","in school","0.89","1","58","0","0","1","3","3","0.59","1.19","0","5","1","1"
"2015","inadequately","7.78","5","209","0","1","11","19","37","6.69","8.87","0","46","2","3"
"2015","middle vocational","11.74","8","7263","1","2","19","29","43","11.5","11.98","0","53","6","7"
"2015","vocational + Abi","9.36","7","1641","1","2","14","23","36","8.94","9.78","0","44","5","6"
"2016","general elemantary","8","4","1316","1","1","11","21","40","7.57","8.43","0","59","2","3"
"2016","higher education","10.53","7","4227","1","2","16","26","40","10.23","10.83","0","62","7","8"
"2016","higher vocational","13.92","11","959","1","4","22","30","45","13.22","14.62","0","55","10","12"
"2016","in school","0.9","1","55","0","0","1","2","3","0.63","1.17","0","4","1","1"
"2016","inadequately","7.81","4","303","0","1","12","21","37","6.99","8.63","0","48","1","1"
"2016","middle vocational","11.77","8","6754","1","2","18","29","44","11.51","12.03","0","54","6","7"
"2016","vocational + Abi","9.13","6","1592","1","2","14","23","37","8.7","9.56","0","45","5","6"
"2017","general elemantary","8.46","4","1546","1","1","12","23","41","8.02","8.9","0","60","2","3"
"2017","higher education","10.58","7","4853","1","2","16","27","40","10.29","10.87","0","57","7","8"
"2017","higher vocational","14.13","11","1068","1","4","22","31","43","13.44","14.82","0","54","10","12"
"2017","in school","1.33","1","74","0","0","2","4","5","1.06","1.6","0","5","1","1"
"2017","inadequately","7.39","3","425","0","1","10","20","38","6.74","8.04","0","40","0","1"
"2017","middle vocational","11.71","7","7671","1","2","18","29","44","11.47","11.95","0","55","6","7"
"2017","vocational + Abi","9.53","6","1753","1","2","15","24","38","9.09","9.97","0","46","5","6"
"2018","general elemantary","7.79","3","1558","0","1","11","22","43","7.37","8.21","0","61","2","2"
"2018","higher education","10.53","7","4735","1","2","17","27","39","10.24","10.82","0","55","7","7"
"2018","higher vocational","14.35","12","1001","1","4","23","32","43","13.63","15.07","0","48","11","13"
"2018","in school","1.37","1","49","0","1","2","3","4","1.02","1.72","0","5","1","2"
"2018","inadequately","6.64","3","504","0","1","10","19","39","6.16","7.12","0","40","0","1"
"2018","middle vocational","11.75","7","7259","1","2","18","29","45","11.5","12","0","56","6","6"
"2018","vocational + Abi","9.62","6","1673","1","2","15","24","39","9.17","10.07","0","46","5","6"
"2019","general elemantary","8.19","4","1491","1","1","11","23","41","7.71","8.67","0","68","2","2"
"2019","higher education","10.69","7","5422","1","2","17","28","40","10.41","10.97","0","60","9","9"
"2019","higher vocational","14.74","12","1203","2","4","23","32","44","14.06","15.42","0","62","13","15"
"2019","in school","1.21","1","70","0","0","2","3","4","0.9","1.52","0","6","1","1"
"2019","inadequately","5.6","2","558","0","1","9","18","29","5.16","6.04","0","55","1","1"
"2019","middle vocational","11.86","7","7139","1","2","19","30","45","11.6","12.12","0","60","7","7"
"2019","vocational + Abi","10.03","6","1758","1","2","16","25","38","9.55","10.51","0","67","6","7"
