"transab_cat","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Complete transfer dependency","1988","(Married) couple without C. ","6","","",""
"Complete transfer dependency","1988","Single parent ","6","","",""
"Complete transfer dependency","1988","Couple + C. LE 16 ","19","","",""
"Complete transfer dependency","1988","Couple + C. GT 16 ","3","","",""
"Complete transfer dependency","1988","Couple + C. LE and GT 16","6","","",""
"No transfer dependency","1989","1-pers.-HH","887","0.841340528017937","0.819314838927162","0.863366217108712"
"No transfer dependency","1989","(Married) couple without C. ","1925","0.888296796979867","0.875205202001599","0.901388391958135"
"No transfer dependency","1989","Single parent ","165","0.39466768018101","0.349203504775135","0.440131855586885"
"No transfer dependency","1989","Couple + C. LE 16 ","36","0.0159674420679388","0.0105425928783736","0.021392291257504"
"No transfer dependency","1989","Couple + C. GT 16 ","700","0.393386624034191","0.37132825351237","0.415444994556012"
"No transfer dependency","1989","Couple + C. LE and GT 16","20","","",""
"Very low transfer dependency","1989","1-pers.-HH","103","0.0967567816595259","0.0789348957423558","0.114578667576696"
"Very low transfer dependency","1989","(Married) couple without C. ","209","0.0786031279195981","0.0674184371680979","0.0897878186710982"
"Very low transfer dependency","1989","Single parent ","223","0.463031607145248","0.416651015301303","0.509412198989193"
"Very low transfer dependency","1989","Couple + C. LE 16 ","1885","0.921120271990933","0.909454697446392","0.932785846535474"
"Very low transfer dependency","1989","Couple + C. GT 16 ","1116","0.584967889688446","0.562718684320734","0.607217095056159"
"Very low transfer dependency","1989","Couple + C. LE and GT 16","855","0.914661164872235","0.896885802626006","0.932436527118465"
"Low transfer dependency","1989","1-pers.-HH","14","","",""
"Low transfer dependency","1989","(Married) couple without C. ","67","0.0257285510395994","0.0191485137962317","0.0323085882829671"
"Low transfer dependency","1989","Single parent ","20","","",""
"Low transfer dependency","1989","Couple + C. LE 16 ","71","0.0300979658825853","0.0227036539303984","0.0374922778347723"
"Low transfer dependency","1989","Couple + C. GT 16 ","39","0.0140343967183406","0.0087226739712619","0.0193461194654194"
"Low transfer dependency","1989","Couple + C. LE and GT 16","47","0.0386485556831753","0.0263848220044702","0.0509122893618805"
"High transfer dependency","1989","1-pers.-HH","14","","",""
"High transfer dependency","1989","(Married) couple without C. ","9","","",""
"High transfer dependency","1989","Single parent ","22","","",""
"High transfer dependency","1989","Couple + C. LE 16 ","20","","",""
"High transfer dependency","1989","Couple + C. GT 16 ","13","","",""
"High transfer dependency","1989","Couple + C. LE and GT 16","18","","",""
"Very high transfer dependency","1989","1-pers.-HH","17","","",""
"Very high transfer dependency","1989","(Married) couple without C. ","8","","",""
"Very high transfer dependency","1989","Single parent ","6","","",""
"Very high transfer dependency","1989","Couple + C. LE 16 ","10","","",""
"Very high transfer dependency","1989","Couple + C. GT 16 ","10","","",""
"Very high transfer dependency","1989","Couple + C. LE and GT 16","3","","",""
"Complete transfer dependency","1989","1-pers.-HH","22","","",""
"Complete transfer dependency","1989","(Married) couple without C. ","6","","",""
"Complete transfer dependency","1989","Single parent ","8","","",""
"Complete transfer dependency","1989","Couple + C. LE 16 ","29","","",""
"Complete transfer dependency","1989","Couple + C. GT 16 ","6","","",""
