"transab_cat","year","bula_h","e11103","n","percent","lower_confidence","upper_confidence"
"High transfer dependency","1984","North Rhine-Westphalia","Not Working","30","0.0180381916647861","0.0107500413152673","0.0253263420143049"
"High transfer dependency","1984","Hesse","Full Time","2","","",""
"High transfer dependency","1984","Hesse","Part Time","5","","",""
"High transfer dependency","1984","Hesse","Not Working","14","","",""
"High transfer dependency","1984","Rhineland-Palatinate,Saarland","Full Time","","","",""
"High transfer dependency","1984","Rhineland-Palatinate,Saarland","Part Time","1","","",""
"High transfer dependency","1984","Rhineland-Palatinate,Saarland","Not Working","4","","",""
"High transfer dependency","1984","Baden-Württemberg","Full Time","3","","",""
"High transfer dependency","1984","Baden-Württemberg","Part Time","5","","",""
"High transfer dependency","1984","Baden-Württemberg","Not Working","6","","",""
"High transfer dependency","1984","Bavaria","Full Time","","","",""
"High transfer dependency","1984","Bavaria","Part Time","7","","",""
"High transfer dependency","1984","Bavaria","Not Working","6","","",""
"High transfer dependency","1984","Berlin","Full Time","","","",""
"High transfer dependency","1984","Berlin","Part Time","2","","",""
"High transfer dependency","1984","Berlin","Not Working","1","","",""
"High transfer dependency","1984","Brandenburg","Full Time","","","",""
"High transfer dependency","1984","Brandenburg","Part Time","","","",""
"High transfer dependency","1984","Brandenburg","Not Working","","","",""
"High transfer dependency","1984","Mecklenburg-Western Pomerania","Full Time","","","",""
"High transfer dependency","1984","Mecklenburg-Western Pomerania","Part Time","","","",""
"High transfer dependency","1984","Mecklenburg-Western Pomerania","Not Working","","","",""
"High transfer dependency","1984","Saxony","Full Time","","","",""
"High transfer dependency","1984","Saxony","Part Time","","","",""
"High transfer dependency","1984","Saxony","Not Working","","","",""
"High transfer dependency","1984","Saxony-Anhalt","Full Time","","","",""
"High transfer dependency","1984","Saxony-Anhalt","Part Time","","","",""
"High transfer dependency","1984","Saxony-Anhalt","Not Working","","","",""
"High transfer dependency","1984","Thuringia","Full Time","","","",""
"High transfer dependency","1984","Thuringia","Part Time","","","",""
"High transfer dependency","1984","Thuringia","Not Working","","","",""
"Very high transfer dependency","1984","Schleswig-Holstein","Full Time","","","",""
"Very high transfer dependency","1984","Schleswig-Holstein","Part Time","2","","",""
"Very high transfer dependency","1984","Schleswig-Holstein","Not Working","3","","",""
