"transab_cat","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"Very low transfer dependency","1994","no migration background","West Germany","2611","0.368911822200193","0.356847763097734","0.380975881302651"
"Very low transfer dependency","1994","no migration background","East Germany","1868","0.452337212863769","0.435894838417101","0.468779587310437"
"Very low transfer dependency","1994","direct migration background","West Germany","1195","0.464837218552233","0.443759612464105","0.485914824640362"
"Very low transfer dependency","1994","direct migration background","East Germany","45","0.262504037160898","0.18962008904154","0.335387985280255"
"Very low transfer dependency","1994","indirect migration background","West Germany","283","0.603129608100006","0.558322694842032","0.647936521357981"
"Very low transfer dependency","1994","indirect migration background","East Germany","7","","",""
"Low transfer dependency","1994","no migration background","West Germany","172","0.0242250487877785","0.0203809520326382","0.0280691455429187"
"Low transfer dependency","1994","no migration background","East Germany","419","0.10002851713021","0.0901167052968871","0.109940328963533"
"Low transfer dependency","1994","direct migration background","West Germany","139","0.0516386941075717","0.0422867387663299","0.0609906494488136"
"Low transfer dependency","1994","direct migration background","East Germany","11","","",""
"Low transfer dependency","1994","indirect migration background","West Germany","33","0.0420923095721558","0.0237024437761917","0.0604821753681199"
"Low transfer dependency","1994","indirect migration background","East Germany","3","","",""
"High transfer dependency","1994","no migration background","West Germany","56","0.00926514381591597","0.00686966711460677","0.0116606205172252"
"High transfer dependency","1994","no migration background","East Germany","116","0.036894185106281","0.0306669864151991","0.0431213837973629"
"High transfer dependency","1994","direct migration background","West Germany","44","0.0178219239735319","0.0122307848741832","0.0234130630728806"
"High transfer dependency","1994","direct migration background","East Germany","6","","",""
"High transfer dependency","1994","indirect migration background","West Germany","5","","",""
"High transfer dependency","1994","indirect migration background","East Germany","2","","",""
"Very high transfer dependency","1994","no migration background","West Germany","35","0.00759291780511847","0.00542253457979033","0.00976330103044661"
"Very high transfer dependency","1994","no migration background","East Germany","60","0.0203837886215754","0.0157156129108482","0.0250519643323025"
"Very high transfer dependency","1994","direct migration background","West Germany","28","","",""
"Very high transfer dependency","1994","direct migration background","East Germany","","","",""
"Very high transfer dependency","1994","indirect migration background","West Germany","4","","",""
"Very high transfer dependency","1994","indirect migration background","East Germany","","","",""
"Complete transfer dependency","1994","no migration background","West Germany","31","0.00687868747794701","0.00481216046013333","0.00894521449576069"
"Complete transfer dependency","1994","no migration background","East Germany","17","","",""
"Complete transfer dependency","1994","direct migration background","West Germany","25","","",""
"Complete transfer dependency","1994","direct migration background","East Germany","1","","",""
"Complete transfer dependency","1994","indirect migration background","West Germany","2","","",""
"Complete transfer dependency","1994","indirect migration background","East Germany","","","",""
"No transfer dependency","1995","no migration background","West Germany","3247","0.589360745363093","0.577077642789756","0.60164384793643"
"No transfer dependency","1995","no migration background","East Germany","1128","0.420182468937605","0.403668970606406","0.436695967268804"
"No transfer dependency","1995","direct migration background","West Germany","803","0.408152120038759","0.38923465634658","0.427069583730939"
"No transfer dependency","1995","direct migration background","East Germany","83","0.6166781141098","0.536427269743713","0.696928958475886"
"No transfer dependency","1995","indirect migration background","West Germany","140","0.383871095055206","0.340227813377378","0.427514376733034"
"No transfer dependency","1995","indirect migration background","East Germany","4","","",""
"Very low transfer dependency","1995","no migration background","West Germany","2557","0.353363354065333","0.341428196554497","0.365298511576169"
"Very low transfer dependency","1995","no migration background","East Germany","1782","0.436728752474466","0.420135209077587","0.453322295871346"
"Very low transfer dependency","1995","direct migration background","West Germany","1423","0.450211143585086","0.4310618428665","0.469360444303672"
"Very low transfer dependency","1995","direct migration background","East Germany","43","0.250162660093554","0.178674633358763","0.321650686828346"
"Very low transfer dependency","1995","indirect migration background","West Germany","289","0.545768247568514","0.501086332481665","0.590450162655364"
"Very low transfer dependency","1995","indirect migration background","East Germany","6","","",""
"Low transfer dependency","1995","no migration background","West Germany","192","0.0277096096451559","0.0236113407996132","0.0318078784906987"
"Low transfer dependency","1995","no migration background","East Germany","358","0.0902971025222519","0.0807083712439318","0.099885833800572"
"Low transfer dependency","1995","direct migration background","West Germany","176","0.0533620083137092","0.0447112360168778","0.0620127806105405"
"Low transfer dependency","1995","direct migration background","East Germany","8","","",""
"Low transfer dependency","1995","indirect migration background","West Germany","30","0.0406823232724893","0.0229537821836543","0.0584108643613242"
"Low transfer dependency","1995","indirect migration background","East Germany","3","","",""
"High transfer dependency","1995","no migration background","West Germany","74","0.0121201138424573","0.0093880385416456","0.0148521891432691"
"High transfer dependency","1995","no migration background","East Germany","83","0.0234348818537863","0.0183736475901913","0.0284961161173814"
"High transfer dependency","1995","direct migration background","West Germany","72","0.0260686987965233","0.0199357311782129","0.0322016664148337"
"High transfer dependency","1995","direct migration background","East Germany","5","","",""
"High transfer dependency","1995","indirect migration background","West Germany","11","","",""
"High transfer dependency","1995","indirect migration background","East Germany","3","","",""
"Very high transfer dependency","1995","no migration background","West Germany","57","0.010284341998663","0.00776532719473575","0.0128033568025902"
"Very high transfer dependency","1995","no migration background","East Germany","64","0.0183746890234148","0.0138814727376649","0.0228679053091647"
"Very high transfer dependency","1995","direct migration background","West Germany","51","0.0215498404202752","0.0159607875732376","0.0271388932673129"
"Very high transfer dependency","1995","direct migration background","East Germany","2","","",""
"Very high transfer dependency","1995","indirect migration background","West Germany","5","","",""
"Very high transfer dependency","1995","indirect migration background","East Germany","","","",""
"Complete transfer dependency","1995","no migration background","West Germany","35","0.00716183508529726","0.00505641562008857","0.00926725455050594"
"Complete transfer dependency","1995","no migration background","East Germany","17","","",""
"Complete transfer dependency","1995","direct migration background","West Germany","68","0.0406561888456468","0.0330547237748633","0.0482576539164303"
"Complete transfer dependency","1995","direct migration background","East Germany","","","",""
"Complete transfer dependency","1995","indirect migration background","West Germany","2","","",""
"Complete transfer dependency","1995","indirect migration background","East Germany","","","",""
"No transfer dependency","1996","no migration background","West Germany","3049","0.561957750244016","0.549558795909482","0.574356704578549"
"No transfer dependency","1996","no migration background","East Germany","1067","0.399287138611968","0.382921046331136","0.4156532308928"
"No transfer dependency","1996","direct migration background","West Germany","782","0.409624298527798","0.389904743593879","0.429343853461716"
"No transfer dependency","1996","direct migration background","East Germany","74","0.59940528648306","0.517351108555716","0.681459464410404"
"No transfer dependency","1996","indirect migration background","West Germany","162","0.351865600800071","0.310132078552434","0.393599123047707"
"No transfer dependency","1996","indirect migration background","East Germany","5","","",""
"Very low transfer dependency","1996","no migration background","West Germany","2741","0.37946985247064","0.367343077751827","0.391596627189453"
"Very low transfer dependency","1996","no migration background","East Germany","1721","0.410619444582406","0.394180023216518","0.427058865948294"
"Very low transfer dependency","1996","direct migration background","West Germany","1274","0.459715978893552","0.439731359684844","0.47970059810226"
"Very low transfer dependency","1996","direct migration background","East Germany","39","0.229815487578001","0.159366485675929","0.300264489480074"
"Very low transfer dependency","1996","indirect migration background","West Germany","284","0.57063575948426","0.527378746581527","0.613892772386993"
"Very low transfer dependency","1996","indirect migration background","East Germany","9","","",""
"Low transfer dependency","1996","no migration background","West Germany","195","0.0295926802583501","0.0253577680636903","0.0338275924530099"
"Low transfer dependency","1996","no migration background","East Germany","426","0.122673207250413","0.111710333167102","0.133636081333724"
"Low transfer dependency","1996","direct migration background","West Germany","165","0.0509213886990095","0.042106004827131","0.0597367725708879"
"Low transfer dependency","1996","direct migration background","East Germany","14","","",""
"Low transfer dependency","1996","indirect migration background","West Germany","30","0.0375803431479376","0.0209605080085745","0.0542001782873006"
"Low transfer dependency","1996","indirect migration background","East Germany","6","","",""
"High transfer dependency","1996","no migration background","West Germany","81","0.0145584699575947","0.0115651818147515","0.0175517581004378"
"High transfer dependency","1996","no migration background","East Germany","140","0.0400993801589619","0.0335432006582658","0.0466555596596579"
"High transfer dependency","1996","direct migration background","West Germany","69","0.0247233531031451","0.0184966578000755","0.0309500484062147"
"High transfer dependency","1996","direct migration background","East Germany","4","","",""
"High transfer dependency","1996","indirect migration background","West Germany","12","","",""
"High transfer dependency","1996","indirect migration background","East Germany","","","",""
"Very high transfer dependency","1996","no migration background","West Germany","47","0.00786148643985639","0.00565442859019692","0.0100685442895159"
"Very high transfer dependency","1996","no migration background","East Germany","72","0.0196614518697119","0.0150220210629737","0.0243008826764501"
"Very high transfer dependency","1996","direct migration background","West Germany","47","0.0190074941645002","0.0135318490393241","0.0244831392896764"
"Very high transfer dependency","1996","direct migration background","East Germany","5","","",""
"Very high transfer dependency","1996","indirect migration background","West Germany","14","","",""
"Very high transfer dependency","1996","indirect migration background","East Germany","","","",""
"Complete transfer dependency","1996","no migration background","West Germany","38","0.00655976062954334","0.00454236954577465","0.00857715171331202"
"Complete transfer dependency","1996","no migration background","East Germany","14","","",""
"Complete transfer dependency","1996","direct migration background","West Germany","52","0.0360074866119954","0.0285365809812255","0.0434783922427652"
"Complete transfer dependency","1996","direct migration background","East Germany","1","","",""
"Complete transfer dependency","1996","indirect migration background","West Germany","1","","",""
"Complete transfer dependency","1996","indirect migration background","East Germany","","","",""
"No transfer dependency","1997","no migration background","West Germany","2891","0.523325275982627","0.51098034284732","0.535670209117935"
"No transfer dependency","1997","no migration background","East Germany","1092","0.402865012897355","0.386414904192266","0.419315121602444"
"No transfer dependency","1997","direct migration background","West Germany","751","0.399242680756205","0.379344291780946","0.419141069731464"
"No transfer dependency","1997","direct migration background","East Germany","70","0.569449737789343","0.484003516108038","0.654895959470647"
"No transfer dependency","1997","indirect migration background","West Germany","145","0.310960804731539","0.272134455289385","0.349787154173693"
"No transfer dependency","1997","indirect migration background","East Germany","3","","",""
"Very low transfer dependency","1997","no migration background","West Germany","2973","0.403358437003174","0.39123309075368","0.415483783252669"
"Very low transfer dependency","1997","no migration background","East Germany","1636","0.390515199202417","0.374152567781714","0.40687783062312"
"Very low transfer dependency","1997","direct migration background","West Germany","1181","0.442715480680709","0.422534106107273","0.462896855254146"
"Very low transfer dependency","1997","direct migration background","East Germany","35","0.228656706127486","0.156184903907346","0.301128508347626"
"Very low transfer dependency","1997","indirect migration background","West Germany","317","0.561696143466143","0.520077287627435","0.603314999304851"
"Very low transfer dependency","1997","indirect migration background","East Germany","12","","",""
"Low transfer dependency","1997","no migration background","West Germany","232","0.0362002764965451","0.0315834753726017","0.0408170776204885"
"Low transfer dependency","1997","no migration background","East Germany","453","0.130291781379758","0.119001674974439","0.141581887785078"
"Low transfer dependency","1997","direct migration background","West Germany","231","0.0812976932198291","0.0701937709169651","0.0924016155226931"
"Low transfer dependency","1997","direct migration background","East Germany","15","","",""
"Low transfer dependency","1997","indirect migration background","West Germany","56","0.0888150068550108","0.0649534802303229","0.112676533479699"
"Low transfer dependency","1997","indirect migration background","East Germany","4","","",""
"High transfer dependency","1997","no migration background","West Germany","91","0.0161912942956155","0.0130717731165622","0.0193108154746688"
"High transfer dependency","1997","no migration background","East Germany","148","0.0469725376330221","0.0398763113418467","0.0540687639241974"
"High transfer dependency","1997","direct migration background","West Germany","65","0.0266486418242498","0.020104958726982","0.0331923249215176"
"High transfer dependency","1997","direct migration background","East Germany","5","","",""
"High transfer dependency","1997","indirect migration background","West Germany","11","","",""
"High transfer dependency","1997","indirect migration background","East Germany","","","",""
"Very high transfer dependency","1997","no migration background","West Germany","67","0.0129605917624814","0.0101650145845164","0.0157561689404464"
"Very high transfer dependency","1997","no migration background","East Germany","70","0.0225113944848672","0.017536203142555","0.0274865858271794"
"Very high transfer dependency","1997","direct migration background","West Germany","52","0.0181753900361242","0.0127477788864713","0.0236030011857771"
"Very high transfer dependency","1997","direct migration background","East Germany","2","","",""
"Very high transfer dependency","1997","indirect migration background","West Germany","12","","",""
"Very high transfer dependency","1997","indirect migration background","East Germany","1","","",""
"Complete transfer dependency","1997","no migration background","West Germany","34","0.00796412445955596","0.00576715240510461","0.0101610965140073"
"Complete transfer dependency","1997","no migration background","East Germany","16","","",""
"Complete transfer dependency","1997","direct migration background","West Germany","47","0.0319201134828826","0.024777819679601","0.0390624072861643"
"Complete transfer dependency","1997","direct migration background","East Germany","2","","",""
"Complete transfer dependency","1997","indirect migration background","West Germany","5","","",""
"Complete transfer dependency","1997","indirect migration background","East Germany","","","",""
"No transfer dependency","1998","no migration background","West Germany","3581","0.534178331019347","0.522869322760515","0.545487339278179"
"No transfer dependency","1998","no migration background","East Germany","1170","0.401008144336816","0.38518628639492","0.416830002278711"
"No transfer dependency","1998","direct migration background","West Germany","697","0.392319310685905","0.372264242805463","0.412374378566348"
"No transfer dependency","1998","direct migration background","East Germany","62","0.540837175300542","0.450540494271408","0.631133856329676"
"No transfer dependency","1998","indirect migration background","West Germany","141","0.295109400705638","0.257732571326861","0.332486230084415"
"No transfer dependency","1998","indirect migration background","East Germany","6","","",""
"Very low transfer dependency","1998","no migration background","West Germany","3361","0.39422991832754","0.383150926439545","0.405308910215534"
"Very low transfer dependency","1998","no migration background","East Germany","1818","0.419060276237526","0.403131800806205","0.434988751668846"
"Very low transfer dependency","1998","direct migration background","West Germany","1188","0.447489892237501","0.427066479951762","0.467913304523239"
"Very low transfer dependency","1998","direct migration background","East Germany","30","0.227371657988617","0.151425004469761","0.303318311507473"
"Very low transfer dependency","1998","indirect migration background","West Germany","343","0.562442148792726","0.521787824563381","0.60309647302207"
"Very low transfer dependency","1998","indirect migration background","East Germany","14","","",""
"Low transfer dependency","1998","no migration background","West Germany","297","0.0359468736422321","0.0317264835922075","0.0401672636922566"
"Low transfer dependency","1998","no migration background","East Germany","455","0.109263489028633","0.09919225738914","0.119334720668125"
"Low transfer dependency","1998","direct migration background","West Germany","228","0.0801643819086915","0.0690108500760678","0.0913179137413152"
"Low transfer dependency","1998","direct migration background","East Germany","20","","",""
"Low transfer dependency","1998","indirect migration background","West Germany","48","0.0827362240276256","0.0601603254007872","0.105312122654464"
"Low transfer dependency","1998","indirect migration background","East Germany","3","","",""
"High transfer dependency","1998","no migration background","West Germany","91","0.0138805894917017","0.0112281819553873","0.0165329970280161"
"High transfer dependency","1998","no migration background","East Germany","129","0.0312518811835279","0.0256347580536351","0.0368690043134207"
"High transfer dependency","1998","direct migration background","West Germany","77","0.0280261042672764","0.021246954274507","0.0348052542600457"
"High transfer dependency","1998","direct migration background","East Germany","2","","",""
"High transfer dependency","1998","indirect migration background","West Germany","24","","",""
"High transfer dependency","1998","indirect migration background","East Germany","","","",""
"Very high transfer dependency","1998","no migration background","West Germany","86","0.0113126201899742","0.00891498754704763","0.0137102528329008"
"Very high transfer dependency","1998","no migration background","East Germany","83","0.0290732550127736","0.0236493698414138","0.0344971401841334"
"Very high transfer dependency","1998","direct migration background","West Germany","40","0.0213858956835494","0.01544384936083","0.0273279420062688"
"Very high transfer dependency","1998","direct migration background","East Germany","2","","",""
"Very high transfer dependency","1998","indirect migration background","West Germany","14","","",""
"Very high transfer dependency","1998","indirect migration background","East Germany","1","","",""
"Complete transfer dependency","1998","no migration background","West Germany","58","0.0104516673292054","0.00814607329929228","0.0127572613591185"
"Complete transfer dependency","1998","no migration background","East Germany","31","0.0103429542007246","0.00707681201653414","0.013609096384915"
"Complete transfer dependency","1998","direct migration background","West Germany","47","0.0306144152170766","0.02353857791498","0.0376902525191732"
"Complete transfer dependency","1998","direct migration background","East Germany","1","","",""
"Complete transfer dependency","1998","indirect migration background","West Germany","2","","",""
"Complete transfer dependency","1998","indirect migration background","East Germany","1","","",""
"No transfer dependency","1999","no migration background","West Germany","3391","0.52786018683859","0.516321717186622","0.539398656490558"
"No transfer dependency","1999","no migration background","East Germany","1180","0.403972906558724","0.387981636521734","0.419964176595714"
"No transfer dependency","1999","direct migration background","West Germany","659","0.405465943705396","0.384320168974022","0.42661171843677"
"No transfer dependency","1999","direct migration background","East Germany","62","0.619486406070907","0.528756026632032","0.710216785509781"
"No transfer dependency","1999","indirect migration background","West Germany","151","0.295449368505713","0.258350756438242","0.332547980573184"
"No transfer dependency","1999","indirect migration background","East Germany","3","","",""
"Very low transfer dependency","1999","no migration background","West Germany","3345","0.411273894850849","0.399900878449173","0.422646911252526"
"Very low transfer dependency","1999","no migration background","East Germany","1767","0.411406365392854","0.395369587266702","0.427443143519006"
"Very low transfer dependency","1999","direct migration background","West Germany","1065","0.450996093964952","0.429565601602399","0.472426586327505"
"Very low transfer dependency","1999","direct migration background","East Germany","30","0.214370359869326","0.137679598920049","0.291061120818603"
"Very low transfer dependency","1999","indirect migration background","West Germany","349","0.580761675853918","0.54063903707867","0.620884314629166"
"Very low transfer dependency","1999","indirect migration background","East Germany","14","","",""
"Low transfer dependency","1999","no migration background","West Germany","267","0.0335254112819917","0.0293650051894352","0.0376858173745482"
"Low transfer dependency","1999","no migration background","East Germany","413","0.105257403048913","0.0952562696780851","0.11525853641974"
"Low transfer dependency","1999","direct migration background","West Germany","234","0.089540574052766","0.0772435994238217","0.10183754868171"
"Low transfer dependency","1999","direct migration background","East Germany","12","","",""
"Low transfer dependency","1999","indirect migration background","West Germany","49","0.0713681498585009","0.0504350265616714","0.0923012731553304"
"Low transfer dependency","1999","indirect migration background","East Germany","3","","",""
"High transfer dependency","1999","no migration background","West Germany","80","0.00928835222002089","0.00707119536386512","0.0115055090761767"
"High transfer dependency","1999","no migration background","East Germany","165","0.0462809754063857","0.0394342121498855","0.053127738662886"
"High transfer dependency","1999","direct migration background","West Germany","47","0.0275834618531245","0.020529898110441","0.034637025595808"
"High transfer dependency","1999","direct migration background","East Germany","5","","",""
"High transfer dependency","1999","indirect migration background","West Germany","18","","",""
"High transfer dependency","1999","indirect migration background","East Germany","1","","",""
"Very high transfer dependency","1999","no migration background","West Germany","62","0.00967325082770769","0.00741106162034709","0.0119354400350683"
"Very high transfer dependency","1999","no migration background","East Germany","69","0.0228213678974597","0.0179547006422089","0.0276880351527105"
"Very high transfer dependency","1999","direct migration background","West Germany","29","","",""
"Very high transfer dependency","1999","direct migration background","East Germany","","","",""
"Very high transfer dependency","1999","indirect migration background","West Germany","12","","",""
"Very high transfer dependency","1999","indirect migration background","East Germany","1","","",""
"Complete transfer dependency","1999","no migration background","West Germany","46","0.0083789039808406","0.00627212036531077","0.0104856875963704"
"Complete transfer dependency","1999","no migration background","East Germany","23","","",""
"Complete transfer dependency","1999","direct migration background","West Germany","37","0.0181695818283068","0.0124171861795592","0.0239219774770544"
"Complete transfer dependency","1999","direct migration background","East Germany","1","","",""
"Complete transfer dependency","1999","indirect migration background","West Germany","2","","",""
"Complete transfer dependency","1999","indirect migration background","East Germany","","","",""
"No transfer dependency","2000","no migration background","West Germany","7079","0.555454616128331","0.547308729643016","0.563600502613646"
"No transfer dependency","2000","no migration background","East Germany","2055","0.441180704152198","0.428159786960075","0.454201621344321"
"No transfer dependency","2000","direct migration background","West Germany","998","0.37725726586569","0.360279532910974","0.394234998820406"
"No transfer dependency","2000","direct migration background","East Germany","81","0.637972105782116","0.559748838450613","0.71619537311362"
"No transfer dependency","2000","indirect migration background","West Germany","232","0.332268862061961","0.299402228261559","0.365135495862364"
"No transfer dependency","2000","indirect migration background","East Germany","4","","",""
"Very low transfer dependency","2000","no migration background","West Germany","6344","0.388642114313953","0.380651527018549","0.396632701609356"
"Very low transfer dependency","2000","no migration background","East Germany","2552","0.394827802779716","0.382009191656953","0.407646413902478"
"Very low transfer dependency","2000","direct migration background","West Germany","1553","0.44379533121316","0.426392687185188","0.461197975241133"
"Very low transfer dependency","2000","direct migration background","East Germany","37","0.215174631272345","0.148286950150319","0.282062312394372"
"Very low transfer dependency","2000","indirect migration background","West Germany","461","0.554309574031383","0.51962770995885","0.588991438103916"
"Very low transfer dependency","2000","indirect migration background","East Germany","16","","",""
"Low transfer dependency","2000","no migration background","West Germany","540","0.0334706964847556","0.0305222320145066","0.0364191609550047"
"Low transfer dependency","2000","no migration background","East Germany","607","0.095249042832635","0.0875507848499195","0.102947300815351"
"Low transfer dependency","2000","direct migration background","West Germany","326","0.0943200511951322","0.0840825032771397","0.104557599113125"
"Low transfer dependency","2000","direct migration background","East Germany","15","","",""
"Low transfer dependency","2000","indirect migration background","West Germany","62","0.0680905146025888","0.0505137165188331","0.0856673126863446"
"Low transfer dependency","2000","indirect migration background","East Germany","4","","",""
"High transfer dependency","2000","no migration background","West Germany","133","0.00867473572456734","0.00715456548927381","0.0101949059598609"
"High transfer dependency","2000","no migration background","East Germany","206","0.0363654601487194","0.0314564000600919","0.0412745202373469"
"High transfer dependency","2000","direct migration background","West Germany","104","0.0312242477072473","0.0251321876072662","0.0373163078072283"
"High transfer dependency","2000","direct migration background","East Germany","3","","",""
"High transfer dependency","2000","indirect migration background","West Germany","22","","",""
"High transfer dependency","2000","indirect migration background","East Germany","","","",""
"Very high transfer dependency","2000","no migration background","West Germany","113","0.00787538148357728","0.00642635966651473","0.00932440330063983"
"Very high transfer dependency","2000","no migration background","East Germany","114","0.0216031834602944","0.0177906468940814","0.0254157200265074"
"Very high transfer dependency","2000","direct migration background","West Germany","60","0.0241659284038595","0.0187869935027087","0.0295448633050103"
"Very high transfer dependency","2000","direct migration background","East Germany","7","","",""
"Very high transfer dependency","2000","indirect migration background","West Germany","8","","",""
"Very high transfer dependency","2000","indirect migration background","East Germany","2","","",""
"Complete transfer dependency","2000","no migration background","West Germany","86","0.00588245586481601","0.00462886961740832","0.00713604211222371"
"Complete transfer dependency","2000","no migration background","East Germany","52","0.0107738066264379","0.0080665463108529","0.0134810669420229"
"Complete transfer dependency","2000","direct migration background","West Germany","90","0.0292371756149109","0.0233361047005574","0.0351382465292643"
"Complete transfer dependency","2000","direct migration background","East Germany","2","","",""
"Complete transfer dependency","2000","indirect migration background","West Germany","4","","",""
"Complete transfer dependency","2000","indirect migration background","East Germany","","","",""
"No transfer dependency","2001","no migration background","West Germany","5955","0.533804912190435","0.525189044716455","0.542420779664415"
"No transfer dependency","2001","no migration background","East Germany","1777","0.416771094805906","0.403370788227073","0.43017140138474"
"No transfer dependency","2001","direct migration background","West Germany","801","0.333344028908324","0.315737921386227","0.350950136430421"
"No transfer dependency","2001","direct migration background","East Germany","71","0.648990503737925","0.564297647455684","0.733683360020165"
"No transfer dependency","2001","indirect migration background","West Germany","197","0.30768485180225","0.274272959069201","0.3410967445353"
"No transfer dependency","2001","indirect migration background","East Germany","2","","",""
"Very low transfer dependency","2001","no migration background","West Germany","6147","0.409040479278618","0.400548950382231","0.417532008175006"
"Very low transfer dependency","2001","no migration background","East Germany","2423","0.410303743339545","0.396934299407517","0.423673187271572"
"Very low transfer dependency","2001","direct migration background","West Germany","1443","0.477425019266967","0.458770115337554","0.496079923196381"
"Very low transfer dependency","2001","direct migration background","East Germany","29","","",""
"Very low transfer dependency","2001","indirect migration background","West Germany","445","0.585665743099971","0.550004503476696","0.621326982723247"
"Very low transfer dependency","2001","indirect migration background","East Germany","15","","",""
"Low transfer dependency","2001","no migration background","West Germany","459","0.032041408963378","0.028999767130517","0.0350830507962389"
"Low transfer dependency","2001","no migration background","East Germany","623","0.102279366008068","0.0940434665423039","0.110515265473832"
"Low transfer dependency","2001","direct migration background","West Germany","319","0.100423486031323","0.0891980602242005","0.111648911838445"
"Low transfer dependency","2001","direct migration background","East Germany","12","","",""
"Low transfer dependency","2001","indirect migration background","West Germany","49","0.0527383809668754","0.036557786595911","0.0689189753378397"
"Low transfer dependency","2001","indirect migration background","East Germany","3","","",""
"High transfer dependency","2001","no migration background","West Germany","142","0.0107285482226529","0.00894923626380447","0.0125078601815014"
"High transfer dependency","2001","no migration background","East Germany","193","0.0322637202967599","0.0274610568650223","0.0370663837284975"
"High transfer dependency","2001","direct migration background","West Germany","82","0.033748757347303","0.0270044081398446","0.0404931065547614"
"High transfer dependency","2001","direct migration background","East Germany","6","","",""
"High transfer dependency","2001","indirect migration background","West Germany","17","","",""
"High transfer dependency","2001","indirect migration background","East Germany","3","","",""
"Very high transfer dependency","2001","no migration background","West Germany","108","0.00862848723009533","0.00703110286765274","0.0102258715925379"
"Very high transfer dependency","2001","no migration background","East Germany","124","0.0264410523507918","0.0220802448752952","0.0308018598262884"
"Very high transfer dependency","2001","direct migration background","West Germany","60","0.0312016342313163","0.0247082441611788","0.0376950243014537"
"Very high transfer dependency","2001","direct migration background","East Germany","4","","",""
"Very high transfer dependency","2001","indirect migration background","West Germany","14","","",""
"Very high transfer dependency","2001","indirect migration background","East Germany","1","","",""
"Complete transfer dependency","2001","no migration background","West Germany","67","0.00575616411482025","0.00444958137122679","0.00706274685841371"
"Complete transfer dependency","2001","no migration background","East Germany","60","0.0119410231989294","0.00898873585783784","0.0148933105400209"
"Complete transfer dependency","2001","direct migration background","West Germany","49","0.023857074214767","0.0181576442749349","0.0295565041545992"
"Complete transfer dependency","2001","direct migration background","East Germany","","","",""
"Complete transfer dependency","2001","indirect migration background","West Germany","11","","",""
"Complete transfer dependency","2001","indirect migration background","East Germany","","","",""
"No transfer dependency","2002","no migration background","West Germany","6373","0.532851944865321","0.524597793424553","0.54110609630609"
"No transfer dependency","2002","no migration background","East Germany","1818","0.421525945265486","0.408125062814732","0.434926827716241"
"No transfer dependency","2002","direct migration background","West Germany","811","0.333780435160184","0.315751314715724","0.351809555604644"
"No transfer dependency","2002","direct migration background","East Germany","72","0.648504347257806","0.560475443367318","0.736533251148294"
"No transfer dependency","2002","indirect migration background","West Germany","183","0.268525429761779","0.236593544687279","0.300457314836279"
"No transfer dependency","2002","indirect migration background","East Germany","5","","",""
"Very low transfer dependency","2002","no migration background","West Germany","6881","0.397613179358087","0.389516442987468","0.405709915728705"
"Very low transfer dependency","2002","no migration background","East Germany","2490","0.397849898099113","0.384567046905071","0.411132749293155"
"Very low transfer dependency","2002","direct migration background","West Germany","1384","0.480843718326787","0.461741384050021","0.499946052603553"
"Very low transfer dependency","2002","direct migration background","East Germany","23","","",""
"Very low transfer dependency","2002","indirect migration background","West Germany","459","0.573780237930671","0.538149746248235","0.609410729613108"
"Very low transfer dependency","2002","indirect migration background","East Germany","13","","",""
"Low transfer dependency","2002","no migration background","West Germany","466","0.0380092998152312","0.0348457676535224","0.04117283197694"
"Low transfer dependency","2002","no migration background","East Germany","542","0.0998026482796119","0.0916683667777024","0.107936929781521"
"Low transfer dependency","2002","direct migration background","West Germany","256","0.10116407625919","0.0896351521209068","0.112693000397472"
"Low transfer dependency","2002","direct migration background","East Germany","8","","",""
"Low transfer dependency","2002","indirect migration background","West Germany","54","0.0636839854098529","0.0460902290298957","0.0812777417898101"
"Low transfer dependency","2002","indirect migration background","East Germany","1","","",""
"High transfer dependency","2002","no migration background","West Germany","177","0.0178122592856138","0.0156240006990787","0.0200005178721488"
"High transfer dependency","2002","no migration background","East Germany","183","0.0355185715101338","0.0304956778950112","0.0405414651252564"
"High transfer dependency","2002","direct migration background","West Germany","70","0.0356211628863785","0.0285349647254171","0.0427073610473399"
"High transfer dependency","2002","direct migration background","East Germany","7","","",""
"High transfer dependency","2002","indirect migration background","West Germany","22","","",""
"High transfer dependency","2002","indirect migration background","East Germany","","","",""
"Very high transfer dependency","2002","no migration background","West Germany","77","0.00726435129670504","0.00585941345493677","0.00866928913847331"
"Very high transfer dependency","2002","no migration background","East Germany","109","0.0260740373379037","0.0217494326689494","0.030398642006858"
"Very high transfer dependency","2002","direct migration background","West Germany","37","0.0123454155680993","0.00812368211979222","0.0165671490164063"
"Very high transfer dependency","2002","direct migration background","East Germany","2","","",""
"Very high transfer dependency","2002","indirect migration background","West Germany","14","","",""
"Very high transfer dependency","2002","indirect migration background","East Germany","4","","",""
"Complete transfer dependency","2002","no migration background","West Germany","61","0.00644896537904213","0.00512467874661756","0.0077732520114667"
"Complete transfer dependency","2002","no migration background","East Germany","74","0.0192288995077514","0.0155020629691536","0.0229557360463491"
"Complete transfer dependency","2002","direct migration background","West Germany","70","0.0362451917993618","0.0290995064191124","0.0433908771796112"
"Complete transfer dependency","2002","direct migration background","East Germany","1","","",""
"Complete transfer dependency","2002","indirect migration background","West Germany","8","","",""
"Complete transfer dependency","2002","indirect migration background","East Germany","1","","",""
