"transab_cat","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence"
"Very low transfer dependency","1987","(Married) couple without C. ","Rural Area","52","0.104392225358555","0.0762037310288265","0.132580719688284"
"Very low transfer dependency","1987","Single parent ","Urban Area","208","0.510997700461415","0.460671585004021","0.56132381591881"
"Very low transfer dependency","1987","Single parent ","Rural Area","72","0.549704484310755","0.461420560640822","0.637988407980688"
"Very low transfer dependency","1987","Couple + C. LE 16 ","Urban Area","1664","0.917856628530917","0.905238195481927","0.930475061579908"
"Very low transfer dependency","1987","Couple + C. LE 16 ","Rural Area","428","0.881180225336512","0.852382780488781","0.909977670184242"
"Very low transfer dependency","1987","Couple + C. GT 16 ","Urban Area","919","0.6055398958759","0.581050656348756","0.630029135403043"
"Very low transfer dependency","1987","Couple + C. GT 16 ","Rural Area","216","0.549024342703596","0.499125696840091","0.5989229885671"
"Very low transfer dependency","1987","Couple + C. LE and GT 16","Urban Area","843","0.89752639165865","0.878118592008588","0.916934191308711"
"Very low transfer dependency","1987","Couple + C. LE and GT 16","Rural Area","241","0.912077755558911","0.87817414045472","0.945981370663102"
"Low transfer dependency","1987","1-pers.-HH","Urban Area","21","","",""
"Low transfer dependency","1987","1-pers.-HH","Rural Area","4","","",""
"Low transfer dependency","1987","(Married) couple without C. ","Urban Area","38","0.0182975684432091","0.0122165139552678","0.0243786229311505"
"Low transfer dependency","1987","(Married) couple without C. ","Rural Area","8","","",""
"Low transfer dependency","1987","Single parent ","Urban Area","36","0.100876674446404","0.0705563742678299","0.131196974624979"
"Low transfer dependency","1987","Single parent ","Rural Area","13","","",""
"Low transfer dependency","1987","Couple + C. LE 16 ","Urban Area","63","0.0330617605955681","0.0248451236558695","0.0412783975352666"
"Low transfer dependency","1987","Couple + C. LE 16 ","Rural Area","35","0.0710306917661158","0.0481693915565381","0.0938919919756936"
"Low transfer dependency","1987","Couple + C. GT 16 ","Urban Area","33","0.0165184140967526","0.010131814832477","0.0229050133610282"
"Low transfer dependency","1987","Couple + C. GT 16 ","Rural Area","5","","",""
"Low transfer dependency","1987","Couple + C. LE and GT 16","Urban Area","55","0.0574431266397173","0.042552276617792","0.0723339766616426"
"Low transfer dependency","1987","Couple + C. LE and GT 16","Rural Area","8","","",""
"High transfer dependency","1987","1-pers.-HH","Urban Area","11","","",""
"High transfer dependency","1987","1-pers.-HH","Rural Area","3","","",""
"High transfer dependency","1987","(Married) couple without C. ","Urban Area","14","","",""
"High transfer dependency","1987","(Married) couple without C. ","Rural Area","2","","",""
"High transfer dependency","1987","Single parent ","Urban Area","8","","",""
"High transfer dependency","1987","Single parent ","Rural Area","1","","",""
"High transfer dependency","1987","Couple + C. LE 16 ","Urban Area","24","","",""
"High transfer dependency","1987","Couple + C. LE 16 ","Rural Area","2","","",""
"High transfer dependency","1987","Couple + C. GT 16 ","Urban Area","13","","",""
"High transfer dependency","1987","Couple + C. GT 16 ","Rural Area","6","","",""
"High transfer dependency","1987","Couple + C. LE and GT 16","Urban Area","11","","",""
"High transfer dependency","1987","Couple + C. LE and GT 16","Rural Area","6","","",""
"Very high transfer dependency","1987","1-pers.-HH","Urban Area","19","","",""
"Very high transfer dependency","1987","1-pers.-HH","Rural Area","3","","",""
"Very high transfer dependency","1987","(Married) couple without C. ","Urban Area","8","","",""
"Very high transfer dependency","1987","(Married) couple without C. ","Rural Area","2","","",""
"Very high transfer dependency","1987","Single parent ","Urban Area","4","","",""
"Very high transfer dependency","1987","Single parent ","Rural Area","4","","",""
"Very high transfer dependency","1987","Couple + C. LE 16 ","Urban Area","8","","",""
"Very high transfer dependency","1987","Couple + C. LE 16 ","Rural Area","4","","",""
"Very high transfer dependency","1987","Couple + C. GT 16 ","Urban Area","3","","",""
"Very high transfer dependency","1987","Couple + C. GT 16 ","Rural Area","","","",""
"Very high transfer dependency","1987","Couple + C. LE and GT 16","Urban Area","3","","",""
"Very high transfer dependency","1987","Couple + C. LE and GT 16","Rural Area","6","","",""
"Complete transfer dependency","1987","1-pers.-HH","Urban Area","19","","",""
"Complete transfer dependency","1987","1-pers.-HH","Rural Area","3","","",""
"Complete transfer dependency","1987","(Married) couple without C. ","Urban Area","4","","",""
"Complete transfer dependency","1987","(Married) couple without C. ","Rural Area","","","",""
"Complete transfer dependency","1987","Single parent ","Urban Area","7","","",""
"Complete transfer dependency","1987","Single parent ","Rural Area","3","","",""
"Complete transfer dependency","1987","Couple + C. LE 16 ","Urban Area","18","","",""
"Complete transfer dependency","1987","Couple + C. LE 16 ","Rural Area","6","","",""
"Complete transfer dependency","1987","Couple + C. GT 16 ","Urban Area","3","","",""
"Complete transfer dependency","1987","Couple + C. GT 16 ","Rural Area","","","",""
"Complete transfer dependency","1987","Couple + C. LE and GT 16","Urban Area","7","","",""
"Complete transfer dependency","1987","Couple + C. LE and GT 16","Rural Area","","","",""
"No transfer dependency","1988","1-pers.-HH","Urban Area","741","0.838017921702862","0.813880175864254","0.86215566754147"
"No transfer dependency","1988","1-pers.-HH","Rural Area","135","0.806859477339076","0.747517872972121","0.866201081706031"
"No transfer dependency","1988","(Married) couple without C. ","Urban Area","1557","0.886221164888369","0.871684370124879","0.900757959651859"
"No transfer dependency","1988","(Married) couple without C. ","Rural Area","365","0.879060403146062","0.847914519248764","0.910206287043361"
"No transfer dependency","1988","Single parent ","Urban Area","120","0.33891566829089","0.290943809626307","0.386887526955474"
"No transfer dependency","1988","Single parent ","Rural Area","35","0.326576744702692","0.2430179650554","0.410135524349983"
"No transfer dependency","1988","Couple + C. LE 16 ","Urban Area","38","0.0248697614503089","0.0174209005434692","0.0323186223571486"
"No transfer dependency","1988","Couple + C. LE 16 ","Rural Area","2","","",""
"No transfer dependency","1988","Couple + C. GT 16 ","Urban Area","564","0.388410918436715","0.363997079659993","0.412824757213437"
"No transfer dependency","1988","Couple + C. GT 16 ","Rural Area","167","0.457438027040446","0.407414257893153","0.507461796187739"
"No transfer dependency","1988","Couple + C. LE and GT 16","Urban Area","17","","",""
"No transfer dependency","1988","Couple + C. LE and GT 16","Rural Area","","","",""
"Very low transfer dependency","1988","1-pers.-HH","Urban Area","93","0.0975402905276496","0.0781026965245921","0.116977884530707"
"Very low transfer dependency","1988","1-pers.-HH","Rural Area","21","","",""
"Very low transfer dependency","1988","(Married) couple without C. ","Urban Area","220","0.0887182351164756","0.0757015725890468","0.101734897643904"
"Very low transfer dependency","1988","(Married) couple without C. ","Rural Area","42","0.0982920502734057","0.0698540411351116","0.1267300594117"
