"transab_cat","year","e11103","sex","n","percent","lower_confidence","upper_confidence","value"
"High transfer dependency","1993","Not Working","Female","65","0.0153727945234355","0.0108841805777717","0.0198614084690992","3"
"Low transfer dependency","1993","Full Time","Male","174","0.030758302042945","0.025377869719383","0.0361387343665071","2"
"Low transfer dependency","1993","Full Time","Female","66","0.0236588550029605","0.0170392323355865","0.0302784776703344","2"
"Low transfer dependency","1993","Part Time","Male","92","0.0931754793139799","0.0721753664360154","0.114175592191944","2"
"Low transfer dependency","1993","Part Time","Female","101","0.0483564164375047","0.037858330456011","0.0588545024189985","2"
"Low transfer dependency","1993","Not Working","Male","112","0.0461623373514157","0.0352903383775466","0.0570343363252847","2"
"Low transfer dependency","1993","Not Working","Female","239","0.0485912743201368","0.040746821829509","0.0564357268107645","2"
"No transfer dependency","1993","Full Time","Male","1491","0.468319921562661","0.452770420450942","0.48386942267438","0"
"No transfer dependency","1993","Full Time","Female","1002","0.619640832038004","0.598496082959266","0.640785581116742","0"
"No transfer dependency","1993","Part Time","Male","207","0.348415367165103","0.313992800371392","0.382837933958814","0"
"No transfer dependency","1993","Part Time","Female","406","0.323711321986869","0.30081367201759","0.346608971956147","0"
"No transfer dependency","1993","Not Working","Male","800","0.666116510420738","0.641682157340845","0.69055086350063","0"
"No transfer dependency","1993","Not Working","Female","1272","0.570718696145426","0.552660184035122","0.58877720825573","0"
"Very high transfer dependency","1993","Full Time","Male","4","","","","4"
"Very high transfer dependency","1993","Part Time","Female","15","","","","4"
"Very high transfer dependency","1993","Part Time","Male","14","","","","4"
"Very high transfer dependency","1993","Full Time","Female","1","","","","4"
"Very high transfer dependency","1993","Not Working","Female","48","0.015461206150807","0.0109599054125694","0.0199625068890445","4"
"Very high transfer dependency","1993","Not Working","Male","38","0.0233908138743174","0.0155599199123361","0.0312217078362988","4"
"Very low transfer dependency","1993","Part Time","Male","382","0.493847802618956","0.457727921686471","0.529967683551441","1"
"Very low transfer dependency","1993","Part Time","Female","1051","0.602402929380592","0.578452625142303","0.626353233618882","1"
"Very low transfer dependency","1993","Full Time","Female","944","0.350825632781318","0.330040063791677","0.371611201770958","1"
"Very low transfer dependency","1993","Full Time","Male","2268","0.496679666156125","0.481099202492673","0.512260129819576","1"
"Very low transfer dependency","1993","Not Working","Male","417","0.224951082763215","0.20331708028928","0.24658508523715","1"
"Very low transfer dependency","1993","Not Working","Female","1225","0.337926958925976","0.320669998635229","0.355183919216723","1"
"Complete transfer dependency","1994","Full Time","Male","","","","","5"
"Complete transfer dependency","1994","Full Time","Female","","","","","5"
"Complete transfer dependency","1994","Part Time","Male","","","","","5"
"Complete transfer dependency","1994","Part Time","Female","","","","","5"
"Complete transfer dependency","1994","Not Working","Male","36","0.0252410357829153","0.017255092998503","0.0332269785673276","5"
"Complete transfer dependency","1994","Not Working","Female","40","0.0132160636463874","0.00910275798215436","0.0173293693106205","5"
"High transfer dependency","1994","Full Time","Male","14","","","","3"
"High transfer dependency","1994","Full Time","Female","15","","","","3"
"High transfer dependency","1994","Part Time","Male","44","0.0681667966845581","0.0494427806296283","0.0868908127394879","3"
"High transfer dependency","1994","Part Time","Female","30","0.0156210179590043","0.0094655529708297","0.0217764829471789","3"
"High transfer dependency","1994","Not Working","Male","52","0.0244259602312649","0.0165667314793448","0.0322851889831851","3"
"High transfer dependency","1994","Not Working","Female","74","0.01905126122406","0.0141273080992102","0.0239752143489098","3"
"Low transfer dependency","1994","Full Time","Female","54","0.0173172102568762","0.0115048403394377","0.0231295801743146","2"
"Low transfer dependency","1994","Full Time","Male","168","0.0311764779765111","0.0256485337164993","0.0367044222365229","2"
"Low transfer dependency","1994","Part Time","Male","89","0.105874058602431","0.0830160916890309","0.128732025515832","2"
"Low transfer dependency","1994","Not Working","Male","114","0.0465366875833513","0.0358122699911254","0.0572611051755771","2"
"Low transfer dependency","1994","Not Working","Female","239","0.0454732435775694","0.0379691039322347","0.0529773832229042","2"
"Low transfer dependency","1994","Part Time","Female","113","0.0567204002200727","0.0452384701430748","0.0682023302970706","2"
"No transfer dependency","1994","Full Time","Male","1441","0.459711751448961","0.443859777277164","0.475563725620758","0"
"No transfer dependency","1994","Full Time","Female","1001","0.642270366527116","0.620913181631766","0.663627551422467","0"
"No transfer dependency","1994","Part Time","Male","204","0.369130175771781","0.333279023113722","0.40498132842984","0"
"No transfer dependency","1994","Part Time","Female","385","0.314870810712476","0.291815155442462","0.33792646598249","0"
"No transfer dependency","1994","Not Working","Male","826","0.660743982620955","0.636639135729221","0.68484882951269","0"
"No transfer dependency","1994","Not Working","Female","1355","0.585824243168396","0.568082148401184","0.603566337935608","0"
"Very high transfer dependency","1994","Part Time","Female","19","","","","4"
"Very high transfer dependency","1994","Full Time","Male","4","","","","4"
"Very high transfer dependency","1994","Part Time","Male","13","","","","4"
"Very high transfer dependency","1994","Full Time","Female","2","","","","4"
"Very high transfer dependency","1994","Not Working","Female","53","0.0174141030410162","0.0127025432643652","0.0221256628176673","4"
"Very high transfer dependency","1994","Not Working","Male","36","0.0208792073710833","0.0135997479450691","0.0281586667970975","4"
"Very low transfer dependency","1994","Full Time","Female","863","0.330997292643004","0.310030414807957","0.35196417047805","1"
"Very low transfer dependency","1994","Part Time","Male","346","0.425465829989555","0.38873474591944","0.462196914059669","1"
"Very low transfer dependency","1994","Part Time","Female","1012","0.60120273950095","0.576896845924338","0.625508633077561","1"
"Very low transfer dependency","1994","Full Time","Male","2170","0.505677083508187","0.489774422512612","0.521579744503762","1"
"Very low transfer dependency","1994","Not Working","Male","418","0.22217312641043","0.201008469911194","0.243337782909666","1"
"Very low transfer dependency","1994","Not Working","Female","1200","0.319021085342571","0.302232835880834","0.335809334804307","1"
"Complete transfer dependency","1995","Full Time","Male","","","","","5"
"Complete transfer dependency","1995","Full Time","Female","","","","","5"
"Complete transfer dependency","1995","Part Time","Male","","","","","5"
"Complete transfer dependency","1995","Part Time","Female","","","","","5"
"Complete transfer dependency","1995","Not Working","Male","58","0.0416169124714067","0.0317538380274066","0.0514799869154068","5"
"Complete transfer dependency","1995","Not Working","Female","64","0.0220284293173602","0.0168541071026099","0.0272027515321105","5"
"High transfer dependency","1995","Full Time","Male","18","","","","3"
"High transfer dependency","1995","Full Time","Female","10","","","","3"
"High transfer dependency","1995","Part Time","Male","39","0.040395197075958","0.0269847272052555","0.0538056669466604","3"
"High transfer dependency","1995","Part Time","Female","36","0.0195112144135335","0.0128854829486261","0.0261369458784409","3"
"High transfer dependency","1995","Not Working","Male","55","0.0297387614343718","0.0213496958164293","0.0381278270523144","3"
"High transfer dependency","1995","Not Working","Female","90","0.0201829020723531","0.0152254000295649","0.0251404041151413","3"
"Low transfer dependency","1995","Full Time","Female","58","0.0227436942848236","0.0160295163122453","0.029457872257402","2"
"Low transfer dependency","1995","Full Time","Male","140","0.0277310590110788","0.0224819165223966","0.0329802014997609","2"
"Low transfer dependency","1995","Part Time","Male","106","0.115241704422065","0.0934921641916542","0.136991244652476","2"
"Low transfer dependency","1995","Not Working","Male","127","0.0504882769341844","0.0396751014234403","0.0613014524449284","2"
"Low transfer dependency","1995","Not Working","Female","222","0.0427028008679984","0.0355750885427889","0.049830513193208","2"
"Low transfer dependency","1995","Part Time","Female","114","0.0565137078919005","0.0454521814255171","0.0675752343582839","2"
"No transfer dependency","1995","Full Time","Male","1474","0.469351902164875","0.453398088137319","0.485305716192431","0"
"No transfer dependency","1995","Full Time","Female","998","0.645968360691869","0.624431382654758","0.667505338728981","0"
"No transfer dependency","1995","Part Time","Male","244","0.38555824144646","0.352405589078198","0.418710893814723","0"
"No transfer dependency","1995","Part Time","Female","419","0.323011788548575","0.300610649408428","0.345412927688723","0"
"No transfer dependency","1995","Not Working","Male","849","0.653296925742584","0.629792915618188","0.67680093586698","0"
"No transfer dependency","1995","Not Working","Female","1421","0.593973691325418","0.576661211489899","0.611286171160937","0"
"Very high transfer dependency","1995","Full Time","Male","1","","","","4"
"Very high transfer dependency","1995","Full Time","Female","2","","","","4"
"Very high transfer dependency","1995","Part Time","Male","21","","","","4"
"Very high transfer dependency","1995","Part Time","Female","16","","","","4"
"Very high transfer dependency","1995","Not Working","Female","86","0.0219410128086288","0.0167767367691067","0.0271052888481508","4"
"Very high transfer dependency","1995","Not Working","Male","53","0.0326892914636205","0.0239072888206631","0.041471294106578","4"
"Very low transfer dependency","1995","Full Time","Male","2126","0.498966642503077","0.482982806867097","0.514950478139057","1"
"Very low transfer dependency","1995","Full Time","Female","826","0.325386905860823","0.304286756815418","0.346487054906228","1"
"Very low transfer dependency","1995","Part Time","Male","418","0.441827330957234","0.408001887809094","0.475652774105374","1"
"Very low transfer dependency","1995","Part Time","Female","1089","0.591299460095765","0.567750230108742","0.614848690082788","1"
"Very low transfer dependency","1995","Not Working","Male","433","0.192169831953833","0.172711283014931","0.211628380892734","1"
"Very low transfer dependency","1995","Not Working","Female","1208","0.299171163608242","0.283028899995306","0.315313427221177","1"
"Complete transfer dependency","1996","Full Time","Female","","","","","5"
"Complete transfer dependency","1996","Full Time","Male","","","","","5"
"Complete transfer dependency","1996","Part Time","Male","","","","","5"
"Complete transfer dependency","1996","Part Time","Female","","","","","5"
"Complete transfer dependency","1996","Not Working","Male","46","0.0359684494673564","0.0266225812850815","0.0453143176496313","5"
"Complete transfer dependency","1996","Not Working","Female","60","0.0192227083553915","0.0142936995680045","0.0241517171427786","5"
"High transfer dependency","1996","Full Time","Male","19","","","","3"
"High transfer dependency","1996","Full Time","Female","10","","","","3"
"High transfer dependency","1996","Part Time","Male","50","0.0483915067648246","0.0340159413272212","0.0627670722024281","3"
"High transfer dependency","1996","Part Time","Female","54","0.032372357855849","0.024056352385567","0.0406883633261309","3"
"High transfer dependency","1996","Not Working","Male","67","0.0323877203939333","0.0235027896804997","0.0412726511073669","3"
"High transfer dependency","1996","Not Working","Female","106","0.0275194268647054","0.0216468695702851","0.0333919841591257","3"
"Low transfer dependency","1996","Full Time","Male","158","0.0324716853736771","0.0267503714325046","0.0381929993148496","2"
"Low transfer dependency","1996","Full Time","Female","64","0.0254821379962434","0.0183032411143593","0.0326610348781275","2"
"Low transfer dependency","1996","Part Time","Male","96","0.0983232171747991","0.078376809437323","0.118269624912275","2"
"Low transfer dependency","1996","Part Time","Female","118","0.060473664713547","0.0492738435045623","0.0716734859225316","2"
"Low transfer dependency","1996","Not Working","Male","152","0.0692515154672866","0.0565093283330157","0.0819937026015576","2"
"Low transfer dependency","1996","Not Working","Female","248","0.0532550917232644","0.0451945512948126","0.0613156321517162","2"
"No transfer dependency","1996","Full Time","Male","1416","0.453197540939803","0.437129219017258","0.469265862862347","0"
"No transfer dependency","1996","Full Time","Female","944","0.611424938865468","0.589219778292647","0.63363009943829","0"
"No transfer dependency","1996","Part Time","Male","266","0.378055592890413","0.345571942647858","0.410539243132969","0"
"No transfer dependency","1996","Part Time","Female","424","0.291991705370959","0.270627935210919","0.313355475530999","0"
"No transfer dependency","1996","Not Working","Female","1331","0.585658573760831","0.567975061246971","0.603342086274691","0"
"No transfer dependency","1996","Not Working","Male","758","0.617993750027042","0.593607757023379","0.642379743030704","0"
"Very high transfer dependency","1996","Part Time","Female","13","","","","4"
"Very high transfer dependency","1996","Part Time","Male","16","","","","4"
"Very high transfer dependency","1996","Full Time","Male","2","","","","4"
"Very high transfer dependency","1996","Full Time","Female","1","","","","4"
"Very high transfer dependency","1996","Not Working","Female","90","0.022610966005195","0.0172744183432948","0.0279475136670953","4"
"Very high transfer dependency","1996","Not Working","Male","63","0.0284755076354994","0.0201276355919744","0.0368233796790243","4"
"Very low transfer dependency","1996","Full Time","Male","2092","0.511253113062238","0.495118018795354","0.527388207329122","1"
"Very low transfer dependency","1996","Full Time","Female","832","0.358815520587723","0.336964486609097","0.380666554566349","1"
"Very low transfer dependency","1996","Part Time","Male","428","0.462023007568582","0.428624669117224","0.495421346019941","1"
"Very low transfer dependency","1996","Part Time","Female","1131","0.608924186838555","0.585995163423838","0.631853210253272","1"
"Very low transfer dependency","1996","Not Working","Male","439","0.215923057008882","0.195272012592206","0.236574101425559","1"
"Very low transfer dependency","1996","Not Working","Female","1146","0.291733233290613","0.275415550444791","0.308050916136434","1"
"Complete transfer dependency","1997","Full Time","Male","","","","","5"
"Complete transfer dependency","1997","Full Time","Female","","","","","5"
"Complete transfer dependency","1997","Part Time","Male","","","","","5"
"Complete transfer dependency","1997","Part Time","Female","","","","","5"
"Complete transfer dependency","1997","Not Working","Male","42","0.0272327166233841","0.0192922451992346","0.0351731880475336","5"
"Complete transfer dependency","1997","Not Working","Female","62","0.025270485880634","0.0196831603235248","0.0308578114377432","5"
"High transfer dependency","1997","Full Time","Male","30","0.00541645589811401","0.00304216384379845","0.00779074795242957","3"
"High transfer dependency","1997","Full Time","Female","14","","","","3"
"High transfer dependency","1997","Part Time","Male","45","0.0463396029592674","0.0323385024530914","0.0603407034654434","3"
"High transfer dependency","1997","Part Time","Female","45","0.0329943966876657","0.0244017166964585","0.0415870766788729","3"
"High transfer dependency","1997","Not Working","Male","71","0.0314105990565198","0.0229010941774945","0.0399201039355451","3"
"High transfer dependency","1997","Not Working","Female","115","0.0327644948824222","0.0264269218594665","0.0391020679053779","3"
"Low transfer dependency","1997","Full Time","Male","198","0.041227439421002","0.0347960193293475","0.0476588595126565","2"
"Low transfer dependency","1997","Full Time","Female","75","0.0296629538096032","0.0220000842127008","0.0373258234065056","2"
"Low transfer dependency","1997","Part Time","Male","127","0.136023160166006","0.113191019806776","0.158855300525235","2"
"Low transfer dependency","1997","Part Time","Female","146","0.0800541872661518","0.0669994782240012","0.0931088963083025","2"
"Low transfer dependency","1997","Not Working","Male","163","0.0736645236976549","0.0609204091385058","0.0864086382568039","2"
"Low transfer dependency","1997","Not Working","Female","282","0.0605925988818709","0.0520989969781968","0.069086200785545","2"
"No transfer dependency","1997","Full Time","Male","1320","0.422178436014766","0.406201231483111","0.438155640546421","0"
"No transfer dependency","1997","Full Time","Female","911","0.586735327624014","0.564494128884537","0.608976526363491","0"
"No transfer dependency","1997","Part Time","Male","233","0.341824493994817","0.310233623526874","0.37341536446276","0"
"No transfer dependency","1997","Part Time","Female","368","0.250825201686814","0.229972073549596","0.271678329824033","0"
"No transfer dependency","1997","Not Working","Female","1337","0.560075077652987","0.542403817125107","0.577746338180867","0"
"No transfer dependency","1997","Not Working","Male","783","0.601404673355916","0.577518541445606","0.625290805266227","0"
"Very high transfer dependency","1997","Part Time","Female","25","","","","4"
"Very high transfer dependency","1997","Full Time","Male","2","","","","4"
"Very high transfer dependency","1997","Part Time","Male","24","","","","4"
"Very high transfer dependency","1997","Full Time","Female","","","","","4"
"Very high transfer dependency","1997","Not Working","Female","86","0.025216899746755","0.0196353478852647","0.0307984516082454","4"
"Very high transfer dependency","1997","Not Working","Male","67","0.0370437354856417","0.0278295490686342","0.0462579219026492","4"
"Very low transfer dependency","1997","Full Time","Male","2121","0.530786454577794","0.514642828680321","0.546930080475268","1"
"Very low transfer dependency","1997","Full Time","Female","883","0.376334647390536","0.354452706441858","0.398216588339213","1"
"Very low transfer dependency","1997","Part Time","Male","437","0.45207990031757","0.418932050663555","0.485227749971586","1"
"Very low transfer dependency","1997","Part Time","Female","1076","0.623474037230267","0.600166268645714","0.646781805814819","1"
"Very low transfer dependency","1997","Not Working","Male","488","0.229243751780883","0.208736682124349","0.249750821437418","1"
"Very low transfer dependency","1997","Not Working","Female","1149","0.296080442955331","0.279827893379946","0.312332992530715","1"
"Complete transfer dependency","1998","Full Time","Male","","","","","5"
"Complete transfer dependency","1998","Full Time","Female","","","","","5"
"Complete transfer dependency","1998","Part Time","Male","","","","","5"
"Complete transfer dependency","1998","Part Time","Female","","","","","5"
"Complete transfer dependency","1998","Not Working","Male","64","0.0427338470877494","0.0336442385002794","0.0518234556752194","5"
"Complete transfer dependency","1998","Not Working","Female","76","0.0223377625526524","0.0174087030911673","0.0272668220141375","5"
"High transfer dependency","1998","Full Time","Male","18","","","","3"
"High transfer dependency","1998","Full Time","Female","13","","","","3"
"High transfer dependency","1998","Part Time","Male","63","0.0630712458136945","0.0478979955132492","0.0782444961141398","3"
"High transfer dependency","1998","Part Time","Female","56","0.0284625575526284","0.0208850049642872","0.0360401101409696","3"
"High transfer dependency","1998","Not Working","Male","71","0.0264920038479201","0.0192747829001962","0.033709224795644","3"
"High transfer dependency","1998","Not Working","Female","102","0.0233307925307318","0.0182959221382641","0.0283656629231994","3"
"Low transfer dependency","1998","Full Time","Female","89","0.034039381870724","0.0261298555712673","0.0419489081701807","2"
"Low transfer dependency","1998","Full Time","Male","195","0.0381480431003283","0.0321675757691104","0.0441285104315462","2"
"Low transfer dependency","1998","Part Time","Male","128","0.122312678718742","0.101861644060385","0.142763713377098","2"
"Low transfer dependency","1998","Part Time","Female","129","0.0614261469832737","0.0504847420860333","0.072367551880514","2"
"Low transfer dependency","1998","Not Working","Male","193","0.0744405491358751","0.0626441413072608","0.0862369569644894","2"
"Low transfer dependency","1998","Not Working","Female","317","0.0592074984378822","0.0513354985075762","0.0670794983681881","2"
"No transfer dependency","1998","Full Time","Male","1408","0.41814744240155","0.402747607325679","0.43354727747742","0"
"No transfer dependency","1998","Full Time","Female","973","0.584262018659277","0.562764238842439","0.605759798476116","0"
"No transfer dependency","1998","Part Time","Male","255","0.323139261535844","0.293947912930019","0.352330610141668","0"
"No transfer dependency","1998","Part Time","Female","428","0.264884242606786","0.244776276026157","0.284992209187414","0"
"No transfer dependency","1998","Not Working","Female","1609","0.574591036554014","0.558100585172929","0.5910814879351","0"
"No transfer dependency","1998","Not Working","Male","984","0.603736114326228","0.581754546793388","0.625717681859067","0"
"Very high transfer dependency","1998","Full Time","Male","2","","","","4"
"Very high transfer dependency","1998","Full Time","Female","1","","","","4"
"Very high transfer dependency","1998","Part Time","Male","27","","","","4"
"Very high transfer dependency","1998","Part Time","Female","20","","","","4"
"Very high transfer dependency","1998","Not Working","Female","103","0.0281304995507771","0.0226155378508876","0.0336454612506667","4"
"Very high transfer dependency","1998","Not Working","Male","73","0.034505387202061","0.0263026043518166","0.0427081700523055","4"
"Very low transfer dependency","1998","Full Time","Male","2318","0.539403485593564","0.52384160526012","0.554965365927009","1"
"Very low transfer dependency","1998","Full Time","Female","943","0.37685173912323","0.355713885452906","0.397989592793554","1"
"Very low transfer dependency","1998","Part Time","Male","513","0.467635276687111","0.43649174207137","0.498778811302852","1"
"Very low transfer dependency","1998","Part Time","Female","1217","0.635923563410799","0.613997484563408","0.65784964225819","1"
"Very low transfer dependency","1998","Not Working","Male","517","0.218092098400167","0.199533695402054","0.23665050139828","1"
"Very low transfer dependency","1998","Not Working","Female","1246","0.292402410373942","0.277230738254301","0.307574082493584","1"
"Complete transfer dependency","1999","Full Time","Female","","","","","5"
"Complete transfer dependency","1999","Full Time","Male","","","","","5"
"Complete transfer dependency","1999","Part Time","Male","","","","","5"
"Complete transfer dependency","1999","Part Time","Female","","","","","5"
"Complete transfer dependency","1999","Not Working","Male","47","0.0319746985046813","0.0236747713883295","0.0402746256210331","5"
"Complete transfer dependency","1999","Not Working","Female","62","0.019717737879118","0.0148703400241345","0.0245651357341014","5"
"High transfer dependency","1999","Full Time","Male","21","","","","3"
"High transfer dependency","1999","Full Time","Female","12","","","","3"
"High transfer dependency","1999","Part Time","Male","58","0.0601933912289701","0.0453400681044004","0.0750467143535398","3"
"High transfer dependency","1999","Part Time","Female","63","0.0291128969936745","0.021598648951754","0.036627145035595","3"
"High transfer dependency","1999","Not Working","Male","66","0.0231244899789994","0.0160338834233733","0.0302150965346254","3"
"High transfer dependency","1999","Not Working","Female","96","0.0234516293553821","0.0181752265760475","0.0287280321347167","3"
"Low transfer dependency","1999","Full Time","Female","87","0.030056996828577","0.0224688768648949","0.0376451167922591","2"
"Low transfer dependency","1999","Full Time","Male","201","0.0392720690671324","0.033138818799687","0.0454053193345779","2"
"Low transfer dependency","1999","Part Time","Male","120","0.119101465114886","0.0988735337400771","0.139329396489696","2"
"Low transfer dependency","1999","Part Time","Female","143","0.0619938388306404","0.0512159038494309","0.0727717738118499","2"
"Low transfer dependency","1999","Not Working","Male","147","0.0570853952024746","0.046140127638684","0.0680306627662653","2"
"Low transfer dependency","1999","Not Working","Female","280","0.0602953040085397","0.0519959938934599","0.0685946141236196","2"
"No transfer dependency","1999","Full Time","Male","1354","0.402528145893575","0.38704335166541","0.418012940121739","0"
"No transfer dependency","1999","Full Time","Female","927","0.568126525771763","0.546113026335899","0.590140025207628","0"
"No transfer dependency","1999","Part Time","Male","275","0.328427585044415","0.299098655399419","0.35775651468941","0"
"No transfer dependency","1999","Part Time","Female","436","0.269518915262574","0.249687324072385","0.289350506452763","0"
"No transfer dependency","1999","Not Working","Female","1499","0.585865478310529","0.568691369072489","0.603039587548569","0"
"No transfer dependency","1999","Not Working","Male","955","0.649864645775093","0.627360779767149","0.672368511783036","0"
"Very high transfer dependency","1999","Full Time","Male","3","","","","4"
"Very high transfer dependency","1999","Full Time","Female","1","","","","4"
"Very high transfer dependency","1999","Part Time","Male","19","","","","4"
"Very high transfer dependency","1999","Part Time","Female","16","","","","4"
"Very high transfer dependency","1999","Not Working","Male","57","0.0266259334682597","0.0190310694551764","0.0342207974813431","4"
"Very high transfer dependency","1999","Not Working","Female","77","0.0221318806447891","0.0170026308100347","0.0272611304795434","4"
"Very low transfer dependency","1999","Full Time","Male","2274","0.554670586402599","0.538977554953437","0.570363617851762","1"
"Very low transfer dependency","1999","Full Time","Female","918","0.396513680464636","0.374774103395681","0.41825325753359","1"
"Very low transfer dependency","1999","Part Time","Male","513","0.473004234539456","0.44182495663584","0.504183512443072","1"
"Very low transfer dependency","1999","Not Working","Female","1146","0.288537969801642","0.272740704958251","0.304335234645034","1"
"Very low transfer dependency","1999","Not Working","Male","454","0.211324837070492","0.192065024836507","0.230584649304478","1"
"Very low transfer dependency","1999","Part Time","Female","1265","0.633089134396333","0.611547871285604","0.654630397507062","1"
"Complete transfer dependency","2000","Full Time","Female","","","","","5"
"Complete transfer dependency","2000","Full Time","Male","","","","","5"
"Complete transfer dependency","2000","Part Time","Male","","","","","5"
"Complete transfer dependency","2000","Part Time","Female","","","","","5"
"Complete transfer dependency","2000","Not Working","Male","108","0.0325649269004156","0.0264504021229774","0.0386794516778538","5"
"Complete transfer dependency","2000","Not Working","Female","126","0.0194851439593475","0.0158892589428943","0.0230810289758007","5"
"High transfer dependency","2000","Full Time","Male","24","","","","3"
"High transfer dependency","2000","Part Time","Female","91","0.0237187770384802","0.0186622248815445","0.0287753291954159","3"
"High transfer dependency","2000","Full Time","Female","23","","","","3"
"High transfer dependency","2000","Part Time","Male","82","0.0532014845636278","0.0420103399211317","0.0643926292061239","3"
"High transfer dependency","2000","Not Working","Male","105","0.0241480035890264","0.0188597857768288","0.0294362214012239","3"
"High transfer dependency","2000","Not Working","Female","143","0.0204753005632312","0.0167910450999103","0.0241595560265522","3"
"Low transfer dependency","2000","Full Time","Male","327","0.0409029301834529","0.036170531559646","0.0456353288072598","2"
"Low transfer dependency","2000","Full Time","Female","116","0.0268829092706345","0.0213678681504443","0.0323979503908247","2"
"Low transfer dependency","2000","Part Time","Male","189","0.106282269894637","0.0909143726989793","0.121650167090295","2"
"Low transfer dependency","2000","Part Time","Female","253","0.0648275101943494","0.0566457563536271","0.0730092640350716","2"
"Low transfer dependency","2000","Not Working","Male","232","0.0544005921681401","0.0465873344310471","0.062213849905233","2"
"Low transfer dependency","2000","Not Working","Female","437","0.0594337576667713","0.0532828644713816","0.065584650862161","2"
"No transfer dependency","2000","Full Time","Male","2519","0.434987468838445","0.423142327700749","0.44683260997614","0"
"No transfer dependency","2000","Full Time","Female","1591","0.553786190689417","0.536836154259798","0.570736227119037","0"
"No transfer dependency","2000","Part Time","Male","493","0.379857766229593","0.355656393030437","0.404059139428749","0"
"No transfer dependency","2000","Part Time","Female","869","0.293324236203277","0.278195419909125","0.308453052497429","0"
"No transfer dependency","2000","Not Working","Female","3004","0.615909265278591","0.603256012570001","0.628562517987181","0"
"No transfer dependency","2000","Not Working","Male","1973","0.67085480171213","0.654667115788836","0.687042487635424","0"
"Very high transfer dependency","2000","Full Time","Male","6","","","","4"
"Very high transfer dependency","2000","Full Time","Female","1","","","","4"
"Very high transfer dependency","2000","Part Time","Male","38","0.0269105689726078","0.0188415327132711","0.0349796052319444","4"
"Very high transfer dependency","2000","Part Time","Female","51","0.0157183683505848","0.0115851885534944","0.0198515481476751","4"
"Very high transfer dependency","2000","Not Working","Female","119","0.017781633602138","0.0143435474780386","0.0212197197262375","4"
"Very high transfer dependency","2000","Not Working","Male","87","0.0270883516945037","0.0214958679228607","0.0326808354661467","4"
"Very low transfer dependency","2000","Full Time","Male","3853","0.520176536236214","0.508239707940284","0.532113364532143","1"
"Very low transfer dependency","2000","Full Time","Female","1573","0.4124321432223","0.395646679686514","0.429217606758086","1"
"Very low transfer dependency","2000","Part Time","Male","743","0.433747910339534","0.409035935350018","0.45845988532905","1"
"Very low transfer dependency","2000","Not Working","Male","732","0.190943323935784","0.177403330509319","0.20448331736225","1"
"Very low transfer dependency","2000","Not Working","Female","1847","0.266914898929921","0.255407146706873","0.278422651152969","1"
"Very low transfer dependency","2000","Part Time","Female","2215","0.602411108213309","0.586148714038554","0.618673502388064","1"
"Complete transfer dependency","2001","Full Time","Female","","","","","5"
"Complete transfer dependency","2001","Full Time","Male","","","","","5"
"Complete transfer dependency","2001","Part Time","Male","","","","","5"
"Complete transfer dependency","2001","Part Time","Female","","","","","5"
"Complete transfer dependency","2001","Not Working","Male","91","0.0323531837982078","0.0260132569789843","0.0386931106174313","5"
"Complete transfer dependency","2001","Not Working","Female","96","0.0180686214764093","0.0143743662092004","0.0217628767436183","5"
"High transfer dependency","2001","Full Time","Male","27","","","","3"
"High transfer dependency","2001","Full Time","Female","23","","","","3"
"High transfer dependency","2001","Part Time","Male","80","0.057109422628705","0.0449886223206756","0.0692302229367345","3"
"High transfer dependency","2001","Part Time","Female","94","0.0311877876618561","0.0252945093003104","0.0370810660234018","3"
"High transfer dependency","2001","Not Working","Female","127","0.0192561955921764","0.0154447752026924","0.0230676159816603","3"
"High transfer dependency","2001","Not Working","Male","92","0.024849149754277","0.0192714007802668","0.0304268987282872","3"
"Low transfer dependency","2001","Full Time","Male","322","0.0409198008963604","0.0359104973715523","0.0459291044211684","2"
"Low transfer dependency","2001","Full Time","Female","108","0.0292941122781692","0.0232264231695048","0.0353618013868337","2"
"Low transfer dependency","2001","Part Time","Male","174","0.106490533892152","0.0903784451669825","0.122602622617321","2"
"Low transfer dependency","2001","Part Time","Female","258","0.06758772188527","0.0590766792853305","0.0760987644852094","2"
"Low transfer dependency","2001","Not Working","Male","208","0.0535032578879629","0.0454398807688674","0.0615666350070584","2"
"Low transfer dependency","2001","Not Working","Female","395","0.058127102178493","0.0516376309925159","0.0646165733644701","2"
"No transfer dependency","2001","Full Time","Male","2033","0.412412292257201","0.399964702098686","0.424859882415716","0"
"No transfer dependency","2001","Full Time","Female","1293","0.501130516028539","0.483139395540219","0.519121636516859","0"
"No transfer dependency","2001","Part Time","Male","402","0.359861822555998","0.334791985241436","0.384931659870559","0"
"No transfer dependency","2001","Part Time","Female","764","0.280333161178874","0.26510498645377","0.295561335903978","0"
"No transfer dependency","2001","Not Working","Female","2555","0.605506825780876","0.591951714408411","0.619061937153342","0"
"No transfer dependency","2001","Not Working","Male","1756","0.646537703283708","0.629408554880043","0.663666851687373","0"
"Very high transfer dependency","2001","Part Time","Male","41","0.0377976285167169","0.027836414952841","0.0477588420805928","4"
"Very high transfer dependency","2001","Full Time","Male","3","","","","4"
"Very high transfer dependency","2001","Full Time","Female","6","","","","4"
