"transab_cat","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Low transfer dependency","1988","66 and older","Couple + C. LE 16 ","","","","","2"
"No transfer dependency","1988","16-34 y.","1-pers.-HH","222","0.802198817520085","0.75520410464844","0.84919353039173","0"
"No transfer dependency","1988","16-34 y.","(Married) couple without C. ","441","0.805787523161933","0.773368575794888","0.838206470528978","0"
"No transfer dependency","1988","16-34 y.","Single parent ","67","0.269717600186475","0.213685147872572","0.325750052500378","0"
"No transfer dependency","1988","16-34 y.","Couple + C. LE 16 ","32","0.028974973400124","0.0189339626288572","0.0390159841713908","0"
"No transfer dependency","1988","16-34 y.","Couple + C. GT 16 ","280","0.368865223341082","0.33547219405075","0.402258252631414","0"
"No transfer dependency","1988","16-34 y.","Couple + C. LE and GT 16","7","","","","0"
"No transfer dependency","1988","35-65 y.","1-pers.-HH","319","0.784357252046848","0.744499681459666","0.82421482263403","0"
"No transfer dependency","1988","35-65 y.","(Married) couple without C. ","1015","0.882358600697712","0.864045587171732","0.900671614223692","0"
"No transfer dependency","1988","35-65 y.","Single parent ","71","0.342795153124767","0.281586923777379","0.404003382472154","0"
"No transfer dependency","1988","35-65 y.","Couple + C. LE 16 ","8","","","","0"
"No transfer dependency","1988","35-65 y.","Couple + C. GT 16 ","411","0.40321562030784","0.373587008554426","0.432844232061254","0"
"No transfer dependency","1988","35-65 y.","Couple + C. LE and GT 16","10","","","","0"
"No transfer dependency","1988","66 and older","1-pers.-HH","335","0.880715584101527","0.848126962807031","0.913304205396023","0"
"No transfer dependency","1988","66 and older","(Married) couple without C. ","466","0.942250728533992","0.921659553646364","0.96284190342162","0"
"No transfer dependency","1988","66 and older","Single parent ","17","","","","0"
"No transfer dependency","1988","66 and older","Couple + C. LE 16 ","","","","","0"
"No transfer dependency","1988","66 and older","Couple + C. GT 16 ","40","0.775386003886496","0.667046198986732","0.883725808786261","0"
"No transfer dependency","1988","66 and older","Couple + C. LE and GT 16","","","","","0"
"Very high transfer dependency","1988","35-65 y.","1-pers.-HH","8","","","","4"
"Very high transfer dependency","1988","35-65 y.","(Married) couple without C. ","7","","","","4"
"Very high transfer dependency","1988","35-65 y.","Single parent ","3","","","","4"
"Very high transfer dependency","1988","35-65 y.","Couple + C. LE 16 ","5","","","","4"
"Very high transfer dependency","1988","16-34 y.","Couple + C. LE and GT 16","3","","","","4"
"Very high transfer dependency","1988","16-34 y.","Couple + C. GT 16 ","5","","","","4"
"Very high transfer dependency","1988","16-34 y.","Couple + C. LE 16 ","9","","","","4"
"Very high transfer dependency","1988","16-34 y.","1-pers.-HH","8","","","","4"
"Very high transfer dependency","1988","16-34 y.","(Married) couple without C. ","2","","","","4"
"Very high transfer dependency","1988","16-34 y.","Single parent ","7","","","","4"
"Very high transfer dependency","1988","35-65 y.","Couple + C. GT 16 ","6","","","","4"
"Very high transfer dependency","1988","35-65 y.","Couple + C. LE and GT 16","2","","","","4"
"Very high transfer dependency","1988","66 and older","1-pers.-HH","1","","","","4"
"Very high transfer dependency","1988","66 and older","(Married) couple without C. ","1","","","","4"
"Very high transfer dependency","1988","66 and older","Single parent ","","","","","4"
"Very high transfer dependency","1988","66 and older","Couple + C. LE 16 ","","","","","4"
"Very high transfer dependency","1988","66 and older","Couple + C. GT 16 ","","","","","4"
"Very high transfer dependency","1988","66 and older","Couple + C. LE and GT 16","","","","","4"
"Very low transfer dependency","1988","35-65 y.","Couple + C. LE 16 ","994","0.93871803425916","0.924251981106625","0.953184087411695","1"
"Very low transfer dependency","1988","35-65 y.","Single parent ","129","0.525507499403501","0.461113375854083","0.58990162295292","1"
"Very low transfer dependency","1988","35-65 y.","(Married) couple without C. ","125","0.0811447686475359","0.0656240804938255","0.0966654568012463","1"
"Very low transfer dependency","1988","35-65 y.","1-pers.-HH","47","0.0944507138336526","0.0661077602486742","0.122793667418631","1"
"Very low transfer dependency","1988","16-34 y.","Couple + C. LE and GT 16","382","0.916920397155648","0.890802845175562","0.943037949135734","1"
"Very low transfer dependency","1988","16-34 y.","Couple + C. GT 16 ","491","0.602120302016019","0.568245370016416","0.635995234015622","1"
"Very low transfer dependency","1988","66 and older","Couple + C. LE and GT 16","1","","","","1"
"Very low transfer dependency","1988","35-65 y.","Couple + C. GT 16 ","603","0.571560672827329","0.541671786101306","0.601449559553353","1"
"Very low transfer dependency","1988","16-34 y.","Couple + C. LE 16 ","972","0.912166928875844","0.895222891770922","0.929110965980767","1"
"Very low transfer dependency","1988","66 and older","Couple + C. GT 16 ","17","","","","1"
"Very low transfer dependency","1988","16-34 y.","Single parent ","132","0.546691035733579","0.483840685841779","0.609541385625379","1"
"Very low transfer dependency","1988","66 and older","Couple + C. LE 16 ","","","","","1"
"Very low transfer dependency","1988","16-34 y.","1-pers.-HH","30","0.110529967235848","0.0735386981662073","0.147521236305489","1"
"Very low transfer dependency","1988","16-34 y.","(Married) couple without C. ","113","0.168497761962338","0.137823165629159","0.199172358295517","1"
"Very low transfer dependency","1988","35-65 y.","Couple + C. LE and GT 16","554","0.928035272037911","0.907476563435352","0.948593980640471","1"
"Very low transfer dependency","1988","66 and older","Single parent ","4","","","","1"
"Very low transfer dependency","1988","66 and older","1-pers.-HH","37","0.0985484469419728","0.0685808181417139","0.128516075742232","1"
"Very low transfer dependency","1988","66 and older","(Married) couple without C. ","24","","","","1"
"Complete transfer dependency","1989","16-34 y.","Couple + C. LE and GT 16","2","","","","5"
"Complete transfer dependency","1989","66 and older","Couple + C. LE and GT 16","","","","","5"
"Complete transfer dependency","1989","66 and older","Couple + C. GT 16 ","","","","","5"
"Complete transfer dependency","1989","66 and older","Couple + C. LE 16 ","","","","","5"
"Complete transfer dependency","1989","16-34 y.","(Married) couple without C. ","2","","","","5"
"Complete transfer dependency","1989","16-34 y.","Single parent ","4","","","","5"
"Complete transfer dependency","1989","66 and older","Single parent ","","","","","5"
"Complete transfer dependency","1989","16-34 y.","Couple + C. GT 16 ","2","","","","5"
"Complete transfer dependency","1989","16-34 y.","1-pers.-HH","5","","","","5"
"Complete transfer dependency","1989","16-34 y.","Couple + C. LE 16 ","14","","","","5"
"Complete transfer dependency","1989","35-65 y.","1-pers.-HH","16","","","","5"
"Complete transfer dependency","1989","35-65 y.","(Married) couple without C. ","4","","","","5"
"Complete transfer dependency","1989","35-65 y.","Single parent ","4","","","","5"
"Complete transfer dependency","1989","35-65 y.","Couple + C. LE 16 ","15","","","","5"
"Complete transfer dependency","1989","35-65 y.","Couple + C. GT 16 ","4","","","","5"
"Complete transfer dependency","1989","35-65 y.","Couple + C. LE and GT 16","4","","","","5"
"Complete transfer dependency","1989","66 and older","1-pers.-HH","1","","","","5"
"Complete transfer dependency","1989","66 and older","(Married) couple without C. ","","","","","5"
"High transfer dependency","1989","16-34 y.","1-pers.-HH","3","","","","3"
"High transfer dependency","1989","16-34 y.","(Married) couple without C. ","1","","","","3"
"High transfer dependency","1989","16-34 y.","Couple + C. GT 16 ","7","","","","3"
"High transfer dependency","1989","16-34 y.","Couple + C. LE and GT 16","9","","","","3"
"High transfer dependency","1989","35-65 y.","1-pers.-HH","7","","","","3"
"High transfer dependency","1989","35-65 y.","(Married) couple without C. ","8","","","","3"
"High transfer dependency","1989","35-65 y.","Single parent ","8","","","","3"
"High transfer dependency","1989","35-65 y.","Couple + C. LE 16 ","8","","","","3"
"High transfer dependency","1989","35-65 y.","Couple + C. GT 16 ","6","","","","3"
"High transfer dependency","1989","35-65 y.","Couple + C. LE and GT 16","9","","","","3"
"High transfer dependency","1989","66 and older","1-pers.-HH","4","","","","3"
"High transfer dependency","1989","66 and older","(Married) couple without C. ","","","","","3"
"High transfer dependency","1989","66 and older","Single parent ","","","","","3"
"High transfer dependency","1989","66 and older","Couple + C. LE 16 ","","","","","3"
"High transfer dependency","1989","66 and older","Couple + C. GT 16 ","","","","","3"
"High transfer dependency","1989","66 and older","Couple + C. LE and GT 16","","","","","3"
"High transfer dependency","1989","16-34 y.","Single parent ","14","","","","3"
"High transfer dependency","1989","16-34 y.","Couple + C. LE 16 ","12","","","","3"
"Low transfer dependency","1989","66 and older","Couple + C. LE and GT 16","","","","","2"
"Low transfer dependency","1989","16-34 y.","Couple + C. LE and GT 16","24","","","","2"
"Low transfer dependency","1989","66 and older","Couple + C. GT 16 ","1","","","","2"
"Low transfer dependency","1989","16-34 y.","Couple + C. GT 16 ","16","","","","2"
"Low transfer dependency","1989","16-34 y.","Couple + C. LE 16 ","40","0.03854682243593","0.0268184897325963","0.0502751551392638","2"
"Low transfer dependency","1989","16-34 y.","1-pers.-HH","2","","","","2"
"Low transfer dependency","1989","16-34 y.","(Married) couple without C. ","28","","","","2"
"Low transfer dependency","1989","16-34 y.","Single parent ","7","","","","2"
"Low transfer dependency","1989","35-65 y.","1-pers.-HH","9","","","","2"
"Low transfer dependency","1989","35-65 y.","(Married) couple without C. ","37","0.0307426875217041","0.0207310412338261","0.0407543338095822","2"
"Low transfer dependency","1989","35-65 y.","Single parent ","10","","","","2"
"Low transfer dependency","1989","35-65 y.","Couple + C. LE 16 ","31","0.0214231518096385","0.0125200695084085","0.0303262341108686","2"
"Low transfer dependency","1989","35-65 y.","Couple + C. GT 16 ","22","","","","2"
"Low transfer dependency","1989","35-65 y.","Couple + C. LE and GT 16","23","","","","2"
"Low transfer dependency","1989","66 and older","1-pers.-HH","3","","","","2"
"Low transfer dependency","1989","66 and older","(Married) couple without C. ","2","","","","2"
"Low transfer dependency","1989","66 and older","Single parent ","3","","","","2"
"Low transfer dependency","1989","66 and older","Couple + C. LE 16 ","","","","","2"
"No transfer dependency","1989","16-34 y.","1-pers.-HH","233","0.85008102667311","0.80804064330358","0.89212141004264","0"
"No transfer dependency","1989","35-65 y.","1-pers.-HH","326","0.805230033195071","0.766660750955636","0.843799315434506","0"
"No transfer dependency","1989","35-65 y.","(Married) couple without C. ","984","0.881974526043997","0.86326206382755","0.900686988260444","0"
"No transfer dependency","1989","35-65 y.","Single parent ","74","0.377682020797216","0.312111629806051","0.443252411788381","0"
"No transfer dependency","1989","35-65 y.","Couple + C. LE 16 ","16","","","","0"
"No transfer dependency","1989","35-65 y.","Couple + C. GT 16 ","402","0.400052671796271","0.370320879772129","0.429784463820414","0"
"No transfer dependency","1989","35-65 y.","Couple + C. LE and GT 16","11","","","","0"
"No transfer dependency","1989","66 and older","1-pers.-HH","328","0.862976942511166","0.828172964930162","0.89778092009217","0"
"No transfer dependency","1989","66 and older","(Married) couple without C. ","453","0.95914061281707","0.941281324175137","0.976999901459003","0"
"No transfer dependency","1989","16-34 y.","(Married) couple without C. ","488","0.806969442424306","0.775649226253656","0.838289658594955","0"
"No transfer dependency","1989","16-34 y.","Single parent ","70","0.335372611586163","0.271057084718925","0.399688138453401","0"
"No transfer dependency","1989","16-34 y.","Couple + C. LE 16 ","20","","","","0"
"No transfer dependency","1989","16-34 y.","Couple + C. GT 16 ","261","0.354142369749761","0.320601067824951","0.387683671674571","0"
"No transfer dependency","1989","16-34 y.","Couple + C. LE and GT 16","9","","","","0"
"No transfer dependency","1989","66 and older","Single parent ","21","","","","0"
"No transfer dependency","1989","66 and older","Couple + C. LE 16 ","","","","","0"
"No transfer dependency","1989","66 and older","Couple + C. GT 16 ","37","0.676865571790458","0.558530005277688","0.795201138303229","0"
"No transfer dependency","1989","66 and older","Couple + C. LE and GT 16","","","","","0"
"Very high transfer dependency","1989","35-65 y.","Couple + C. LE 16 ","7","","","","4"
"Very high transfer dependency","1989","35-65 y.","Single parent ","3","","","","4"
"Very high transfer dependency","1989","35-65 y.","(Married) couple without C. ","5","","","","4"
"Very high transfer dependency","1989","35-65 y.","1-pers.-HH","6","","","","4"
"Very high transfer dependency","1989","16-34 y.","Couple + C. LE and GT 16","1","","","","4"
"Very high transfer dependency","1989","66 and older","Couple + C. LE and GT 16","","","","","4"
"Very high transfer dependency","1989","16-34 y.","Couple + C. GT 16 ","4","","","","4"
"Very high transfer dependency","1989","66 and older","Couple + C. GT 16 ","","","","","4"
"Very high transfer dependency","1989","16-34 y.","Couple + C. LE 16 ","3","","","","4"
"Very high transfer dependency","1989","35-65 y.","Couple + C. GT 16 ","6","","","","4"
"Very high transfer dependency","1989","16-34 y.","Single parent ","3","","","","4"
"Very high transfer dependency","1989","16-34 y.","(Married) couple without C. ","2","","","","4"
"Very high transfer dependency","1989","66 and older","Single parent ","","","","","4"
"Very high transfer dependency","1989","66 and older","Couple + C. LE 16 ","","","","","4"
"Very high transfer dependency","1989","16-34 y.","1-pers.-HH","10","","","","4"
"Very high transfer dependency","1989","35-65 y.","Couple + C. LE and GT 16","2","","","","4"
"Very high transfer dependency","1989","66 and older","1-pers.-HH","1","","","","4"
"Very high transfer dependency","1989","66 and older","(Married) couple without C. ","1","","","","4"
"Very low transfer dependency","1989","35-65 y.","Couple + C. LE 16 ","939","0.933137044042518","0.917777909717803","0.948496178367233","1"
"Very low transfer dependency","1989","35-65 y.","Single parent ","111","0.490527876438902","0.422914830178532","0.558140922699271","1"
"Very low transfer dependency","1989","35-65 y.","(Married) couple without C. ","104","0.0780159181869178","0.0624609773851441","0.0935708589886914","1"
"Very low transfer dependency","1989","35-65 y.","1-pers.-HH","41","0.0813820918685642","0.0547532390264696","0.108010944710659","1"
"Very low transfer dependency","1989","16-34 y.","Couple + C. LE and GT 16","349","0.905511431865016","0.876628812105518","0.934394051624515","1"
"Very low transfer dependency","1989","16-34 y.","Couple + C. GT 16 ","491","0.623812386554524","0.58983798489612","0.657786788212929","1"
"Very low transfer dependency","1989","66 and older","Couple + C. LE and GT 16","","","","","1"
"Very low transfer dependency","1989","66 and older","Couple + C. GT 16 ","22","","","","1"
"Very low transfer dependency","1989","66 and older","Couple + C. LE 16 ","","","","","1"
"Very low transfer dependency","1989","16-34 y.","Couple + C. LE 16 ","946","0.909416507224987","0.89193077336897","0.926902241081003","1"
"Very low transfer dependency","1989","16-34 y.","1-pers.-HH","24","","","","1"
"Very low transfer dependency","1989","16-34 y.","(Married) couple without C. ","89","0.136641056047535","0.109384594505732","0.163897517589338","1"
"Very low transfer dependency","1989","35-65 y.","Couple + C. GT 16 ","603","0.577399307001085","0.547420857416013","0.607377756586157","1"
"Very low transfer dependency","1989","16-34 y.","Single parent ","109","0.50607730401369","0.437968878584935","0.574185729442445","1"
"Very low transfer dependency","1989","35-65 y.","Couple + C. LE and GT 16","506","0.920518262095581","0.898014688961664","0.943021835229497","1"
"Very low transfer dependency","1989","66 and older","1-pers.-HH","38","0.116067017400198","0.0836482469733466","0.148485787827049","1"
"Very low transfer dependency","1989","66 and older","(Married) couple without C. ","16","","","","1"
"Very low transfer dependency","1989","66 and older","Single parent ","3","","","","1"
"Complete transfer dependency","1990","16-34 y.","Couple + C. GT 16 ","2","","","","5"
"Complete transfer dependency","1990","16-34 y.","Single parent ","3","","","","5"
"Complete transfer dependency","1990","16-34 y.","Couple + C. LE and GT 16","1","","","","5"
"Complete transfer dependency","1990","16-34 y.","(Married) couple without C. ","3","","","","5"
"Complete transfer dependency","1990","66 and older","Single parent ","","","","","5"
"Complete transfer dependency","1990","66 and older","Couple + C. LE 16 ","","","","","5"
"Complete transfer dependency","1990","66 and older","Couple + C. GT 16 ","","","","","5"
"Complete transfer dependency","1990","66 and older","Couple + C. LE and GT 16","","","","","5"
"Complete transfer dependency","1990","16-34 y.","Couple + C. LE 16 ","6","","","","5"
"Complete transfer dependency","1990","16-34 y.","1-pers.-HH","2","","","","5"
"Complete transfer dependency","1990","35-65 y.","1-pers.-HH","9","","","","5"
"Complete transfer dependency","1990","35-65 y.","(Married) couple without C. ","9","","","","5"
"Complete transfer dependency","1990","35-65 y.","Single parent ","2","","","","5"
"Complete transfer dependency","1990","35-65 y.","Couple + C. LE 16 ","8","","","","5"
"Complete transfer dependency","1990","35-65 y.","Couple + C. GT 16 ","4","","","","5"
"Complete transfer dependency","1990","35-65 y.","Couple + C. LE and GT 16","2","","","","5"
"Complete transfer dependency","1990","66 and older","1-pers.-HH","","","","","5"
"Complete transfer dependency","1990","66 and older","(Married) couple without C. ","","","","","5"
"High transfer dependency","1990","16-34 y.","1-pers.-HH","4","","","","3"
"High transfer dependency","1990","16-34 y.","(Married) couple without C. ","","","","","3"
"High transfer dependency","1990","16-34 y.","Couple + C. GT 16 ","7","","","","3"
"High transfer dependency","1990","16-34 y.","Couple + C. LE and GT 16","9","","","","3"
"High transfer dependency","1990","35-65 y.","1-pers.-HH","4","","","","3"
"High transfer dependency","1990","35-65 y.","(Married) couple without C. ","15","","","","3"
"High transfer dependency","1990","35-65 y.","Single parent ","7","","","","3"
"High transfer dependency","1990","35-65 y.","Couple + C. LE 16 ","7","","","","3"
"High transfer dependency","1990","35-65 y.","Couple + C. GT 16 ","7","","","","3"
"High transfer dependency","1990","35-65 y.","Couple + C. LE and GT 16","8","","","","3"
"High transfer dependency","1990","66 and older","1-pers.-HH","4","","","","3"
"High transfer dependency","1990","66 and older","(Married) couple without C. ","2","","","","3"
"High transfer dependency","1990","66 and older","Single parent ","1","","","","3"
"High transfer dependency","1990","66 and older","Couple + C. LE 16 ","","","","","3"
"High transfer dependency","1990","66 and older","Couple + C. GT 16 ","1","","","","3"
"High transfer dependency","1990","66 and older","Couple + C. LE and GT 16","","","","","3"
"High transfer dependency","1990","16-34 y.","Single parent ","8","","","","3"
"High transfer dependency","1990","16-34 y.","Couple + C. LE 16 ","9","","","","3"
"Low transfer dependency","1990","16-34 y.","Couple + C. LE and GT 16","17","","","","2"
"Low transfer dependency","1990","16-34 y.","Couple + C. GT 16 ","20","","","","2"
"Low transfer dependency","1990","16-34 y.","1-pers.-HH","11","","","","2"
"Low transfer dependency","1990","16-34 y.","(Married) couple without C. ","8","","","","2"
"Low transfer dependency","1990","16-34 y.","Single parent ","16","","","","2"
"Low transfer dependency","1990","66 and older","Couple + C. GT 16 ","3","","","","2"
"Low transfer dependency","1990","66 and older","Couple + C. LE and GT 16","","","","","2"
"Low transfer dependency","1990","16-34 y.","Couple + C. LE 16 ","45","0.0384641999788254","0.0265802673271614","0.0503481326304895","2"
"Low transfer dependency","1990","35-65 y.","1-pers.-HH","8","","","","2"
"Low transfer dependency","1990","35-65 y.","(Married) couple without C. ","20","","","","2"
"Low transfer dependency","1990","35-65 y.","Single parent ","11","","","","2"
"Low transfer dependency","1990","35-65 y.","Couple + C. LE 16 ","23","","","","2"
"Low transfer dependency","1990","35-65 y.","Couple + C. GT 16 ","26","","","","2"
"Low transfer dependency","1990","35-65 y.","Couple + C. LE and GT 16","18","","","","2"
"Low transfer dependency","1990","66 and older","1-pers.-HH","4","","","","2"
"Low transfer dependency","1990","66 and older","(Married) couple without C. ","2","","","","2"
"Low transfer dependency","1990","66 and older","Single parent ","3","","","","2"
"Low transfer dependency","1990","66 and older","Couple + C. LE 16 ","","","","","2"
"No transfer dependency","1990","16-34 y.","1-pers.-HH","222","0.858787339308435","0.816539211146171","0.901035467470699","0"
"No transfer dependency","1990","35-65 y.","1-pers.-HH","329","0.852357487863222","0.817150214612907","0.887564761113536","0"
"No transfer dependency","1990","35-65 y.","(Married) couple without C. ","978","0.861150260833467","0.84120824293248","0.881092278734454","0"
"No transfer dependency","1990","35-65 y.","Single parent ","69","0.34992900137361","0.285421709764574","0.414436292982647","0"
"No transfer dependency","1990","35-65 y.","Couple + C. LE 16 ","4","","","","0"
"No transfer dependency","1990","35-65 y.","Couple + C. GT 16 ","433","0.460430615667052","0.429240331329921","0.491620900004182","0"
"No transfer dependency","1990","35-65 y.","Couple + C. LE and GT 16","11","","","","0"
"No transfer dependency","1990","66 and older","1-pers.-HH","330","0.870014014299712","0.835977596403459","0.904050432195966","0"
"No transfer dependency","1990","66 and older","(Married) couple without C. ","472","0.945573282708492","0.925688687445224","0.965457877971759","0"
"No transfer dependency","1990","16-34 y.","Couple + C. LE and GT 16","7","","","","0"
"No transfer dependency","1990","16-34 y.","Couple + C. GT 16 ","281","0.40647845871908","0.370725161581009","0.442231755857151","0"
"No transfer dependency","1990","66 and older","Couple + C. LE and GT 16","","","","","0"
"No transfer dependency","1990","16-34 y.","Couple + C. LE 16 ","31","0.0288301659431874","0.0184901724897003","0.0391701593966746","0"
"No transfer dependency","1990","16-34 y.","(Married) couple without C. ","533","0.862751388871527","0.835643257650903","0.88985952009215","0"
"No transfer dependency","1990","16-34 y.","Single parent ","70","0.32246387858346","0.259984654919677","0.384943102247243","0"
"No transfer dependency","1990","66 and older","Couple + C. GT 16 ","39","0.660044799018495","0.544888164438458","0.775201433598533","0"
"No transfer dependency","1990","66 and older","Single parent ","20","","","","0"
"No transfer dependency","1990","66 and older","Couple + C. LE 16 ","","","","","0"
"Very high transfer dependency","1990","35-65 y.","Couple + C. LE 16 ","3","","","","4"
"Very high transfer dependency","1990","35-65 y.","Single parent ","3","","","","4"
"Very high transfer dependency","1990","35-65 y.","(Married) couple without C. ","7","","","","4"
"Very high transfer dependency","1990","35-65 y.","1-pers.-HH","4","","","","4"
"Very high transfer dependency","1990","16-34 y.","Couple + C. LE and GT 16","4","","","","4"
"Very high transfer dependency","1990","66 and older","Couple + C. LE and GT 16","","","","","4"
"Very high transfer dependency","1990","16-34 y.","Couple + C. GT 16 ","2","","","","4"
"Very high transfer dependency","1990","66 and older","Couple + C. GT 16 ","","","","","4"
"Very high transfer dependency","1990","66 and older","Couple + C. LE 16 ","","","","","4"
"Very high transfer dependency","1990","16-34 y.","1-pers.-HH","3","","","","4"
"Very high transfer dependency","1990","16-34 y.","(Married) couple without C. ","1","","","","4"
"Very high transfer dependency","1990","16-34 y.","Single parent ","3","","","","4"
"Very high transfer dependency","1990","16-34 y.","Couple + C. LE 16 ","7","","","","4"
"Very high transfer dependency","1990","35-65 y.","Couple + C. GT 16 ","4","","","","4"
"Very high transfer dependency","1990","35-65 y.","Couple + C. LE and GT 16","4","","","","4"
"Very high transfer dependency","1990","66 and older","1-pers.-HH","","","","","4"
"Very high transfer dependency","1990","66 and older","(Married) couple without C. ","1","","","","4"
"Very high transfer dependency","1990","66 and older","Single parent ","","","","","4"
"Very low transfer dependency","1990","35-65 y.","Couple + C. LE 16 ","920","0.96312968243941","0.951240136831448","0.975019228047372","1"
"Very low transfer dependency","1990","35-65 y.","(Married) couple without C. ","126","0.100623024462687","0.083273935860105","0.117972113065268","1"
"Very low transfer dependency","1990","35-65 y.","Single parent ","118","0.524230704986788","0.456684978650086","0.59177643132349","1"
"Very low transfer dependency","1990","35-65 y.","1-pers.-HH","36","0.0899958226051968","0.06159384007373","0.118397805136663","1"
"Very low transfer dependency","1990","16-34 y.","Couple + C. LE and GT 16","289","0.889299465198829","0.855292091816161","0.923306838581498","1"
"Very low transfer dependency","1990","16-34 y.","Couple + C. GT 16 ","413","0.563746096454296","0.527647482701591","0.599844710207001","1"
"Very low transfer dependency","1990","66 and older","Couple + C. LE and GT 16","1","","","","1"
"Very low transfer dependency","1990","16-34 y.","Couple + C. LE 16 ","908","0.902231138092455","0.883878086464473","0.920584189720437","1"
"Very low transfer dependency","1990","66 and older","Couple + C. GT 16 ","22","","","","1"
"Very low transfer dependency","1990","16-34 y.","Single parent ","115","0.511798974481865","0.444983368679963","0.578614580283767","1"
"Very low transfer dependency","1990","66 and older","Couple + C. LE 16 ","","","","","1"
"Very low transfer dependency","1990","16-34 y.","1-pers.-HH","19","","","","1"
"Very low transfer dependency","1990","16-34 y.","(Married) couple without C. ","74","0.11405441686705","0.0890128012828978","0.139096032451203","1"
"Very low transfer dependency","1990","35-65 y.","Couple + C. GT 16 ","507","0.506136475583764","0.474850415045261","0.537422536122268","1"
"Very low transfer dependency","1990","35-65 y.","Couple + C. LE and GT 16","445","0.919142868948246","0.894955487430702","0.943330250465791","1"
"Very low transfer dependency","1990","66 and older","1-pers.-HH","37","0.109537761313248","0.0779279326951149","0.14114758993138","1"
"Very low transfer dependency","1990","66 and older","(Married) couple without C. ","23","","","","1"
"Very low transfer dependency","1990","66 and older","Single parent ","3","","","","1"
"Complete transfer dependency","1991","16-34 y.","Couple + C. GT 16 ","5","","","","5"
"Complete transfer dependency","1991","16-34 y.","Couple + C. LE 16 ","6","","","","5"
"Complete transfer dependency","1991","16-34 y.","1-pers.-HH","7","","","","5"
"Complete transfer dependency","1991","16-34 y.","(Married) couple without C. ","1","","","","5"
"Complete transfer dependency","1991","16-34 y.","Single parent ","2","","","","5"
"Complete transfer dependency","1991","16-34 y.","Couple + C. LE and GT 16","2","","","","5"
"Complete transfer dependency","1991","35-65 y.","1-pers.-HH","9","","","","5"
"Complete transfer dependency","1991","35-65 y.","(Married) couple without C. ","5","","","","5"
"Complete transfer dependency","1991","35-65 y.","Single parent ","1","","","","5"
"Complete transfer dependency","1991","35-65 y.","Couple + C. LE 16 ","4","","","","5"
"Complete transfer dependency","1991","35-65 y.","Couple + C. GT 16 ","8","","","","5"
"Complete transfer dependency","1991","35-65 y.","Couple + C. LE and GT 16","4","","","","5"
"Complete transfer dependency","1991","66 and older","1-pers.-HH","","","","","5"
"Complete transfer dependency","1991","66 and older","(Married) couple without C. ","","","","","5"
"Complete transfer dependency","1991","66 and older","Single parent ","","","","","5"
"Complete transfer dependency","1991","66 and older","Couple + C. LE 16 ","","","","","5"
"Complete transfer dependency","1991","66 and older","Couple + C. GT 16 ","","","","","5"
"Complete transfer dependency","1991","66 and older","Couple + C. LE and GT 16","","","","","5"
"High transfer dependency","1991","16-34 y.","1-pers.-HH","2","","","","3"
"High transfer dependency","1991","66 and older","Single parent ","","","","","3"
"High transfer dependency","1991","16-34 y.","Couple + C. LE and GT 16","4","","","","3"
"High transfer dependency","1991","35-65 y.","1-pers.-HH","8","","","","3"
"High transfer dependency","1991","35-65 y.","(Married) couple without C. ","6","","","","3"
"High transfer dependency","1991","35-65 y.","Single parent ","7","","","","3"
"High transfer dependency","1991","35-65 y.","Couple + C. LE 16 ","10","","","","3"
"High transfer dependency","1991","35-65 y.","Couple + C. GT 16 ","5","","","","3"
"High transfer dependency","1991","35-65 y.","Couple + C. LE and GT 16","4","","","","3"
"High transfer dependency","1991","66 and older","1-pers.-HH","5","","","","3"
"High transfer dependency","1991","66 and older","(Married) couple without C. ","2","","","","3"
"High transfer dependency","1991","16-34 y.","Couple + C. GT 16 ","6","","","","3"
"High transfer dependency","1991","66 and older","Couple + C. GT 16 ","1","","","","3"
"High transfer dependency","1991","66 and older","Couple + C. LE and GT 16","","","","","3"
"High transfer dependency","1991","16-34 y.","(Married) couple without C. ","2","","","","3"
"High transfer dependency","1991","16-34 y.","Single parent ","6","","","","3"
"High transfer dependency","1991","16-34 y.","Couple + C. LE 16 ","12","","","","3"
"High transfer dependency","1991","66 and older","Couple + C. LE 16 ","","","","","3"
"Low transfer dependency","1991","16-34 y.","Couple + C. LE and GT 16","26","","","","2"
"Low transfer dependency","1991","16-34 y.","Couple + C. GT 16 ","14","","","","2"
"Low transfer dependency","1991","66 and older","Couple + C. LE and GT 16","","","","","2"
"Low transfer dependency","1991","16-34 y.","Single parent ","25","","","","2"
"Low transfer dependency","1991","16-34 y.","1-pers.-HH","8","","","","2"
"Low transfer dependency","1991","16-34 y.","(Married) couple without C. ","17","","","","2"
"Low transfer dependency","1991","66 and older","Couple + C. GT 16 ","3","","","","2"
"Low transfer dependency","1991","16-34 y.","Couple + C. LE 16 ","39","0.0444782074989899","0.0317199441901292","0.0572364708078506","2"
"Low transfer dependency","1991","35-65 y.","1-pers.-HH","11","","","","2"
"Low transfer dependency","1991","35-65 y.","(Married) couple without C. ","17","","","","2"
"Low transfer dependency","1991","35-65 y.","Single parent ","19","","","","2"
"Low transfer dependency","1991","35-65 y.","Couple + C. LE 16 ","26","","","","2"
"Low transfer dependency","1991","35-65 y.","Couple + C. GT 16 ","20","","","","2"
