"transab_cat","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"Complete transfer dependency","1993","indirect migration background","Male","","","",""
"Complete transfer dependency","1993","indirect migration background","Female","2","","",""
"No transfer dependency","1994","no migration background","Male","2001","0.522715010492284","0.508228827763026","0.537201193221542"
"No transfer dependency","1994","no migration background","Female","2279","0.553904549325466","0.540259360854135","0.567549737796797"
"No transfer dependency","1994","direct migration background","Male","405","0.451078444942372","0.422578053608792","0.479578836275951"
"No transfer dependency","1994","direct migration background","Female","392","0.452631316319281","0.423480457629107","0.481782175009455"
"No transfer dependency","1994","indirect migration background","Male","65","0.269357108490508","0.212877624486434","0.325836592494583"
"No transfer dependency","1994","indirect migration background","Female","70","0.377417036160581","0.315703094698626","0.439130977622537"
"Very low transfer dependency","1994","no migration background","Male","2158","0.403400759398585","0.389172810750641","0.417628708046529"
"Very low transfer dependency","1994","no migration background","Female","2321","0.372850007173014","0.359576033126608","0.386123981219421"
"Very low transfer dependency","1994","direct migration background","Male","633","0.444789834675863","0.41632715569448","0.473252513657245"
"Very low transfer dependency","1994","direct migration background","Female","607","0.452343376887642","0.423194127913339","0.481492625861945"
"Very low transfer dependency","1994","indirect migration background","Male","143","0.622813421170729","0.561106906810618","0.684519935530841"
"Very low transfer dependency","1994","indirect migration background","Female","147","0.565315825621375","0.502204630520909","0.628427020721841"
"Low transfer dependency","1994","no migration background","Male","275","0.0420721664197313","0.0362498417510403","0.0478944910884223"
"Low transfer dependency","1994","no migration background","Female","316","0.0398532034004244","0.034483520843795","0.0452228859570537"
"Low transfer dependency","1994","direct migration background","Male","76","0.0553010448827815","0.0422097372173153","0.0683923525482477"
"Low transfer dependency","1994","direct migration background","Female","74","0.0504113350358057","0.0375977415994341","0.0632249284721773"
"Low transfer dependency","1994","indirect migration background","Male","20","","",""
"Low transfer dependency","1994","indirect migration background","Female","16","","",""
"High transfer dependency","1994","no migration background","Male","77","0.015245012317009","0.0116914775439545","0.0187985470900636"
"High transfer dependency","1994","no migration background","Female","95","0.0154303382414646","0.0120468932252343","0.0188137832576949"
"High transfer dependency","1994","direct migration background","Male","28","","",""
"High transfer dependency","1994","direct migration background","Female","22","","",""
"High transfer dependency","1994","indirect migration background","Male","5","","",""
"High transfer dependency","1994","indirect migration background","Female","2","","",""
"Very high transfer dependency","1994","no migration background","Male","37","0.00949598856174224","0.00668324074672786","0.0123087363767566"
"Very high transfer dependency","1994","no migration background","Female","58","0.0112199757735202","0.00832867030877013","0.0141112812382703"
"Very high transfer dependency","1994","direct migration background","Male","14","","",""
"Very high transfer dependency","1994","direct migration background","Female","14","","",""
"Very high transfer dependency","1994","indirect migration background","Male","2","","",""
"Very high transfer dependency","1994","indirect migration background","Female","2","","",""
"Complete transfer dependency","1994","no migration background","Male","19","","",""
"Complete transfer dependency","1994","no migration background","Female","29","","",""
"Complete transfer dependency","1994","direct migration background","Male","15","","",""
"Complete transfer dependency","1994","direct migration background","Female","11","","",""
"Complete transfer dependency","1994","indirect migration background","Male","2","","",""
"Complete transfer dependency","1994","indirect migration background","Female","","","",""
"No transfer dependency","1995","no migration background","Male","2051","0.538821049409482","0.52431754803944","0.553324550779524"
"No transfer dependency","1995","no migration background","Female","2324","0.563968328444608","0.550299511293023","0.577637145596194"
"No transfer dependency","1995","direct migration background","Male","441","0.397372940748661","0.371554381288556","0.423191500208767"
"No transfer dependency","1995","direct migration background","Female","445","0.447410801584829","0.42092621568187","0.473895387487787"
"No transfer dependency","1995","indirect migration background","Male","75","0.369265469832109","0.308711052326578","0.42981988733764"
"No transfer dependency","1995","indirect migration background","Female","69","0.390244650500945","0.329655521928913","0.450833779072977"
"Very low transfer dependency","1995","no migration background","Male","2086","0.383734428664365","0.369585772876036","0.397883084452694"
"Very low transfer dependency","1995","no migration background","Female","2253","0.360991065877918","0.34775233815238","0.374229793603457"
"Very low transfer dependency","1995","direct migration background","Male","746","0.454839589255957","0.428567184142697","0.481111994369217"
"Very low transfer dependency","1995","direct migration background","Female","720","0.418337271324981","0.392062577941693","0.44461196470827"
"Very low transfer dependency","1995","indirect migration background","Male","145","0.550884783967481","0.488473595764606","0.613295972170355"
"Very low transfer dependency","1995","indirect migration background","Female","150","0.521060387810967","0.459011667972036","0.583109107649897"
"Low transfer dependency","1995","no migration background","Male","266","0.0448096342853035","0.0387903270407317","0.0508289415298753"
"Low transfer dependency","1995","no migration background","Female","284","0.0385306393474093","0.0332252728493262","0.0438360058454924"
"Low transfer dependency","1995","direct migration background","Male","93","0.0557658158246481","0.0436589302598272","0.0678727013894689"
"Low transfer dependency","1995","direct migration background","Female","91","0.0556771579414017","0.0434637310943727","0.0678905847884307"
"Low transfer dependency","1995","indirect migration background","Male","14","","",""
"Low transfer dependency","1995","indirect migration background","Female","19","","",""
"High transfer dependency","1995","no migration background","Male","67","0.0139701453724731","0.0105553762934108","0.0173849144515354"
"High transfer dependency","1995","no migration background","Female","90","0.015185588007615","0.0118147524793796","0.0185564235358505"
"High transfer dependency","1995","direct migration background","Male","40","0.031509924896161","0.0222931322077846","0.0407267175845374"
"High transfer dependency","1995","direct migration background","Female","37","0.0217345937647606","0.0139677803764917","0.0295014071530296"
"High transfer dependency","1995","indirect migration background","Male","5","","",""
"High transfer dependency","1995","indirect migration background","Female","9","","",""
"Very high transfer dependency","1995","no migration background","Male","46","0.0105403476023347","0.0075690759695724","0.0135116192350971"
"Very high transfer dependency","1995","no migration background","Female","75","0.0134294781209731","0.0102567110184122","0.016602245223534"
"Very high transfer dependency","1995","direct migration background","Male","26","","",""
"Very high transfer dependency","1995","direct migration background","Female","27","","",""
"Very high transfer dependency","1995","indirect migration background","Male","3","","",""
"Very high transfer dependency","1995","indirect migration background","Female","2","","",""
"Complete transfer dependency","1995","no migration background","Male","22","","",""
"Complete transfer dependency","1995","no migration background","Female","30","0.00789490020147574","0.00545542323603261","0.0103343771669189"
"Complete transfer dependency","1995","direct migration background","Male","34","0.0385045230408386","0.0283528401156221","0.0486562059660551"
"Complete transfer dependency","1995","direct migration background","Female","34","0.0373120005704987","0.0272170126044115","0.047406988536586"
"Complete transfer dependency","1995","indirect migration background","Male","2","","",""
"Complete transfer dependency","1995","indirect migration background","Female","","","",""
"No transfer dependency","1996","no migration background","Male","1924","0.509510211585853","0.494979829139753","0.524040594031952"
"No transfer dependency","1996","no migration background","Female","2192","0.542248960860011","0.528499850886715","0.555998070833308"
"No transfer dependency","1996","direct migration background","Male","433","0.417369096315037","0.390216167167371","0.444522025462703"
"No transfer dependency","1996","direct migration background","Female","423","0.427845812577275","0.400516078292885","0.455175546861664"
"No transfer dependency","1996","indirect migration background","Male","83","0.323637807299321","0.26610036936081","0.381175245237832"
"No transfer dependency","1996","indirect migration background","Female","84","0.378235856735388","0.320284162626552","0.436187550844225"
"Very low transfer dependency","1996","no migration background","Male","2160","0.405983607787897","0.391709825179735","0.420257390396059"
"Very low transfer dependency","1996","no migration background","Female","2302","0.368368233987553","0.355056530976528","0.381679936998577"
"Very low transfer dependency","1996","direct migration background","Male","660","0.446530197252923","0.419156581545895","0.473903812959951"
"Very low transfer dependency","1996","direct migration background","Female","653","0.441391146111638","0.413962716568159","0.468819575655117"
"Very low transfer dependency","1996","indirect migration background","Male","139","0.591714489912719","0.531268246103629","0.65216073372181"
"Very low transfer dependency","1996","indirect migration background","Female","154","0.536424593094139","0.476832795614913","0.596016390573366"
"Low transfer dependency","1996","no migration background","Male","301","0.0523710706884864","0.0458959108177693","0.0588462305592036"
"Low transfer dependency","1996","no migration background","Female","320","0.0474019534820596","0.0415376894563826","0.0532662175077365"
"Low transfer dependency","1996","direct migration background","Male","88","0.054864938755237","0.0423261908722785","0.0674036866381955"
"Low transfer dependency","1996","direct migration background","Female","91","0.053886600985091","0.0414142817673226","0.0663589202028594"
"Low transfer dependency","1996","indirect migration background","Male","17","","",""
"Low transfer dependency","1996","indirect migration background","Female","19","","",""
"High transfer dependency","1996","no migration background","Male","96","0.0173489478649475","0.0135538599006111","0.0211440358292839"
"High transfer dependency","1996","no migration background","Female","125","0.0225700307913972","0.0184711106859101","0.0266689508968843"
"High transfer dependency","1996","direct migration background","Male","31","0.0212913051276389","0.0133427599163619","0.0292398503389159"
"High transfer dependency","1996","direct migration background","Female","42","0.0277174244064568","0.018649499536521","0.0367853492763926"
"High transfer dependency","1996","indirect migration background","Male","9","","",""
"High transfer dependency","1996","indirect migration background","Female","3","","",""
"Very high transfer dependency","1996","no migration background","Male","44","0.00781545281307009","0.00525593052330935","0.0103749751028308"
"Very high transfer dependency","1996","no migration background","Female","75","0.0127687850523395","0.00967033300306875","0.0158672371016103"
"Very high transfer dependency","1996","direct migration background","Male","31","0.0253363234060559","0.0166834774698176","0.0339891693422942"
"Very high transfer dependency","1996","direct migration background","Female","21","","",""
"Very high transfer dependency","1996","indirect migration background","Male","6","","",""
"Very high transfer dependency","1996","indirect migration background","Female","8","","",""
"Complete transfer dependency","1996","no migration background","Male","22","","",""
"Complete transfer dependency","1996","no migration background","Female","30","0.00664203582663955","0.00440040521855156","0.00888366643472754"
"Complete transfer dependency","1996","direct migration background","Male","24","","",""
"Complete transfer dependency","1996","direct migration background","Female","29","","",""
"Complete transfer dependency","1996","indirect migration background","Male","","","",""
"Complete transfer dependency","1996","indirect migration background","Female","1","","",""
"No transfer dependency","1997","no migration background","Male","1857","0.483094916544732","0.468683862552925","0.49750597053654"
"No transfer dependency","1997","no migration background","Female","2126","0.511256797428134","0.497516212117957","0.52499738273831"
"No transfer dependency","1997","direct migration background","Male","404","0.395641314197137","0.368468407172102","0.422814221222173"
"No transfer dependency","1997","direct migration background","Female","417","0.425992440509507","0.3981532544693","0.453831626549714"
"No transfer dependency","1997","indirect migration background","Male","75","0.293086539192949","0.240517152630941","0.345655925754957"
"No transfer dependency","1997","indirect migration background","Female","73","0.321202772936524","0.266313766978654","0.376091778894394"
"Very low transfer dependency","1997","no migration background","Male","2245","0.419745809075857","0.405513464914605","0.433978153237108"
"Very low transfer dependency","1997","no migration background","Female","2364","0.383335436036037","0.369970733392067","0.396700138680007"
"Very low transfer dependency","1997","direct migration background","Male","636","0.454510038541837","0.426840429546619","0.482179647537054"
"Very low transfer dependency","1997","direct migration background","Female","580","0.401744540480503","0.374144157509281","0.429344923451725"
"Very low transfer dependency","1997","indirect migration background","Male","165","0.53720234627861","0.479616418026632","0.594788274530588"
"Very low transfer dependency","1997","indirect migration background","Female","164","0.58438133588235","0.526448954302952","0.642313717461748"
"Low transfer dependency","1997","no migration background","Male","332","0.0591138420210562","0.0523126154493175","0.065915068592795"
"Low transfer dependency","1997","no migration background","Female","353","0.053338687356489","0.0471618837010027","0.0595154910119754"
"Low transfer dependency","1997","direct migration background","Male","123","0.0835650073066935","0.0681869682192832","0.0989430463941038"
"Low transfer dependency","1997","direct migration background","Female","123","0.0849748994611015","0.0692763829315416","0.100673415990661"
"Low transfer dependency","1997","indirect migration background","Male","33","0.1286192315684","0.0899550530096068","0.167283410127192"
"Low transfer dependency","1997","indirect migration background","Female","27","","",""
"High transfer dependency","1997","no migration background","Male","105","0.0189458034866365","0.0150141328957589","0.0228774740775141"
"High transfer dependency","1997","no migration background","Female","134","0.0260944953124001","0.021712436709995","0.0304765539148053"
"High transfer dependency","1997","direct migration background","Male","33","0.0207404800649489","0.0128210084925568","0.0286599516373409"
"High transfer dependency","1997","direct migration background","Female","37","0.033688673505183","0.0235309293117267","0.0438464176986394"
"High transfer dependency","1997","indirect migration background","Male","8","","",""
"High transfer dependency","1997","indirect migration background","Female","3","","",""
"Very high transfer dependency","1997","no migration background","Male","62","0.0141407806794821","0.010735771757491","0.0175457896014733"
"Very high transfer dependency","1997","no migration background","Female","75","0.0157383845200143","0.0123171671344174","0.0191596019056112"
"Very high transfer dependency","1997","direct migration background","Male","26","","",""
"Very high transfer dependency","1997","direct migration background","Female","28","","",""
"Very high transfer dependency","1997","indirect migration background","Male","5","","",""
"Very high transfer dependency","1997","indirect migration background","Female","8","","",""
"Complete transfer dependency","1997","no migration background","Male","18","","",""
"Complete transfer dependency","1997","no migration background","Female","32","0.0102361993469262","0.00746938212280617","0.0130030165710462"
"Complete transfer dependency","1997","direct migration background","Male","22","","",""
"Complete transfer dependency","1997","direct migration background","Female","27","","",""
"Complete transfer dependency","1997","indirect migration background","Male","2","","",""
"Complete transfer dependency","1997","indirect migration background","Female","3","","",""
"No transfer dependency","1998","no migration background","Male","2208","0.486604828401533","0.473172627067408","0.500037029735658"
"No transfer dependency","1998","no migration background","Female","2543","0.522551984031061","0.5097424808791","0.535361487183021"
"No transfer dependency","1998","direct migration background","Male","370","0.375694500314603","0.348349963787672","0.403039036841535"
"No transfer dependency","1998","direct migration background","Female","389","0.426755393974334","0.398641781007934","0.454869006940733"
"No transfer dependency","1998","indirect migration background","Male","69","0.269535053462082","0.219737788754795","0.319332318169369"
"No transfer dependency","1998","indirect migration background","Female","78","0.327175275827995","0.273360953593083","0.380989598062908"
"Very low transfer dependency","1998","no migration background","Male","2534","0.41541918448716","0.402175810312215","0.428662558662104"
"Very low transfer dependency","1998","no migration background","Female","2645","0.385146032182391","0.372666359582145","0.397625704782637"
"Very low transfer dependency","1998","direct migration background","Male","623","0.462178988963859","0.434028979249287","0.49032899867843"
"Very low transfer dependency","1998","direct migration background","Female","595","0.406352638745991","0.378435366825235","0.434269910666746"
"Very low transfer dependency","1998","indirect migration background","Male","191","0.588366909673057","0.533136606026252","0.643597213319863"
"Very low transfer dependency","1998","indirect migration background","Female","166","0.530454786629388","0.473212159089012","0.587697414169765"
"Low transfer dependency","1998","no migration background","Male","366","0.0563829424322576","0.0501841819520341","0.0625817029124811"
"Low transfer dependency","1998","no migration background","Female","386","0.0476045689039621","0.0421440054534498","0.0530651323544743"
"Low transfer dependency","1998","direct migration background","Male","127","0.0861159171896203","0.0702764036339565","0.101955430745284"
"Low transfer dependency","1998","direct migration background","Female","121","0.0874819506928465","0.0714222619200812","0.103541639465612"
"Low transfer dependency","1998","indirect migration background","Male","23","","",""
"Low transfer dependency","1998","indirect migration background","Female","28","","",""
"High transfer dependency","1998","no migration background","Male","95","0.0155879991031492","0.0122589765936871","0.0189170216126114"
"High transfer dependency","1998","no migration background","Female","125","0.0195057635161869","0.0159591939107806","0.0230523331215933"
"High transfer dependency","1998","direct migration background","Male","44","0.0335497982192104","0.0233828815411225","0.0437167148972983"
"High transfer dependency","1998","direct migration background","Female","35","0.0217598964698497","0.0134669605880032","0.0300528323516962"
"High transfer dependency","1998","indirect migration background","Male","13","","",""
"High transfer dependency","1998","indirect migration background","Female","11","","",""
"Very high transfer dependency","1998","no migration background","Male","76","0.0141254616679925","0.0109541038413342","0.0172968194946508"
"Very high transfer dependency","1998","no migration background","Female","93","0.0160891591834242","0.0128625301669518","0.0193157881998965"
"Very high transfer dependency","1998","direct migration background","Male","20","","",""
"Very high transfer dependency","1998","direct migration background","Female","22","","",""
"Very high transfer dependency","1998","indirect migration background","Male","6","","",""
"Very high transfer dependency","1998","indirect migration background","Female","9","","",""
"Complete transfer dependency","1998","no migration background","Male","40","0.0118795839079077","0.00896793740622303","0.0147912304095923"
"Complete transfer dependency","1998","no migration background","Female","49","0.00910249218297491","0.00666693117124368","0.0115380531947061"
"Complete transfer dependency","1998","direct migration background","Male","21","","",""
"Complete transfer dependency","1998","direct migration background","Female","27","","",""
"Complete transfer dependency","1998","indirect migration background","Male","3","","",""
"Complete transfer dependency","1998","indirect migration background","Female","","","",""
"No transfer dependency","1999","no migration background","Male","2148","0.482924507515514","0.469288666562799","0.496560348468229"
"No transfer dependency","1999","no migration background","Female","2423","0.518588385623766","0.505558758767622","0.53161801247991"
"No transfer dependency","1999","direct migration background","Male","362","0.410605251418664","0.381480770435862","0.439729732401465"
"No transfer dependency","1999","direct migration background","Female","359","0.424581287092146","0.395170568403383","0.453992005780909"
"No transfer dependency","1999","indirect migration background","Male","74","0.245331502044536","0.19735554786496","0.293307456224112"
"No transfer dependency","1999","indirect migration background","Female","80","0.344418908287576","0.290102489480169","0.398735327094983"
"Very low transfer dependency","1999","no migration background","Male","2504","0.433790428505048","0.420266778799717","0.447314078210379"
"Very low transfer dependency","1999","no migration background","Female","2608","0.390595955744715","0.377873268806511","0.403318642682918"
"Very low transfer dependency","1999","direct migration background","Male","547","0.437139338850015","0.407772769958188","0.466505907741841"
"Very low transfer dependency","1999","direct migration background","Female","548","0.438055243549849","0.408533331973219","0.467577155126479"
"Very low transfer dependency","1999","indirect migration background","Male","190","0.606458617787923","0.551987706561381","0.660929529014466"
"Very low transfer dependency","1999","indirect migration background","Female","173","0.549745808626675","0.492875672025701","0.60661594522765"
"Low transfer dependency","1999","no migration background","Male","314","0.0484045012829053","0.0425480519335621","0.0542609506322486"
"Low transfer dependency","1999","no migration background","Female","366","0.0491502247243536","0.0435127966793935","0.0547876527693138"
"Low transfer dependency","1999","direct migration background","Male","127","0.0982600791081984","0.080637396598823","0.115882761617574"
"Low transfer dependency","1999","direct migration background","Female","119","0.0821578344594053","0.0658182233354512","0.0984974455833593"
"Low transfer dependency","1999","indirect migration background","Male","27","","",""
"Low transfer dependency","1999","indirect migration background","Female","25","","",""
"High transfer dependency","1999","no migration background","Male","109","0.0154346023762567","0.0120707623478468","0.0187984424046665"
"High transfer dependency","1999","no migration background","Female","136","0.0187521360903818","0.0152147941859511","0.0222894779948125"
"High transfer dependency","1999","direct migration background","Male","28","","",""
"High transfer dependency","1999","direct migration background","Female","24","","",""
"High transfer dependency","1999","indirect migration background","Male","8","","",""
"High transfer dependency","1999","indirect migration background","Female","11","","",""
"Very high transfer dependency","1999","no migration background","Male","55","0.0109607858995187","0.00811964396687412","0.0138019278321632"
"Very high transfer dependency","1999","no migration background","Female","76","0.0138628307281524","0.010813834212663","0.0169118272436418"
"Very high transfer dependency","1999","direct migration background","Male","15","","",""
"Very high transfer dependency","1999","direct migration background","Female","14","","",""
"Very high transfer dependency","1999","indirect migration background","Male","9","","",""
"Very high transfer dependency","1999","indirect migration background","Female","4","","",""
"Complete transfer dependency","1999","no migration background","Male","29","","",""
"Complete transfer dependency","1999","no migration background","Female","40","0.00905046708863153","0.00658088441782765","0.0115200497594354"
"Complete transfer dependency","1999","direct migration background","Male","17","","",""
"Complete transfer dependency","1999","direct migration background","Female","21","","",""
"Complete transfer dependency","1999","indirect migration background","Male","1","","",""
"Complete transfer dependency","1999","indirect migration background","Female","1","","",""
"No transfer dependency","2000","no migration background","Male","4346","0.521257892126959","0.511211522702722","0.531304261551196"
"No transfer dependency","2000","no migration background","Female","4788","0.539975436334132","0.530388845820817","0.549562026847448"
"No transfer dependency","2000","direct migration background","Male","513","0.378048232955198","0.354369836923126","0.40172662898727"
"No transfer dependency","2000","direct migration background","Female","566","0.400098978978271","0.376566672591441","0.423631285365101"
"No transfer dependency","2000","indirect migration background","Male","126","0.33955871204002","0.293323791605197","0.385793632474843"
"No transfer dependency","2000","indirect migration background","Female","110","0.317528158258972","0.272577818997368","0.362478497520577"
"Very low transfer dependency","2000","no migration background","Male","4306","0.401797145161339","0.391937536619539","0.411656753703139"
"Very low transfer dependency","2000","no migration background","Female","4590","0.379007348420446","0.369675800089602","0.388338896751289"
"Very low transfer dependency","2000","direct migration background","Male","793","0.439390685120592","0.415154966674918","0.463626403566266"
"Very low transfer dependency","2000","direct migration background","Female","797","0.427347805753748","0.403586123950632","0.451109487556865"
"Very low transfer dependency","2000","indirect migration background","Male","229","0.545463313157503","0.496849150249599","0.594077476065407"
"Very low transfer dependency","2000","indirect migration background","Female","248","0.566142068993306","0.518286116199689","0.613998021786923"
"Low transfer dependency","2000","no migration background","Male","547","0.0470486553481307","0.0427903090150255","0.0513070016812359"
"Low transfer dependency","2000","no migration background","Female","600","0.0463873113330931","0.0423418106851667","0.0504328119810196"
"Low transfer dependency","2000","direct migration background","Male","169","0.0933215657732231","0.0791173267366795","0.107525804809767"
"Low transfer dependency","2000","direct migration background","Female","172","0.0931208677232819","0.0791623538180423","0.107079381628522"
"Low transfer dependency","2000","indirect migration background","Male","32","0.0710076261045729","0.0459318641004432","0.0960833881087026"
"Low transfer dependency","2000","indirect migration background","Female","34","0.0690124410314926","0.044536741321047","0.0934881407419383"
"High transfer dependency","2000","no migration background","Male","143","0.0129964033294548","0.0107186695298573","0.0152741371290523"
"High transfer dependency","2000","no migration background","Female","196","0.0160989028397691","0.013678093835193","0.0185197118443452"
"High transfer dependency","2000","direct migration background","Male","59","0.0340861286900214","0.0252256259964991","0.0429466313835436"
"High transfer dependency","2000","direct migration background","Female","48","0.027987850471602","0.0200653624493262","0.0359103384938778"
"High transfer dependency","2000","indirect migration background","Male","9","","",""
"High transfer dependency","2000","indirect migration background","Female","13","","",""
"Very high transfer dependency","2000","no migration background","Male","95","0.00999165667880267","0.00799147158147319","0.0119918417761322"
"Very high transfer dependency","2000","no migration background","Female","132","0.0115802294612247","0.00952236883220238","0.013638090090247"
"Very high transfer dependency","2000","direct migration background","Male","31","0.0260357881763004","0.0182597714675199","0.0338118048850809"
"Very high transfer dependency","2000","direct migration background","Female","36","0.0237494374019831","0.0164355497693567","0.0310633250346094"
"Very high transfer dependency","2000","indirect migration background","Male","6","","",""
"Very high transfer dependency","2000","indirect migration background","Female","4","","",""
"Complete transfer dependency","2000","no migration background","Male","61","0.00690824735531321","0.00524249423403694","0.00857400047658948"
"Complete transfer dependency","2000","no migration background","Female","77","0.00695077161133495","0.00535272823819235","0.00854881498447754"
"Complete transfer dependency","2000","direct migration background","Male","46","0.0291175992846654","0.020907254076494","0.0373279444928368"
"Complete transfer dependency","2000","direct migration background","Female","46","0.0276950596711137","0.0198129337092109","0.0355771856330165"
"Complete transfer dependency","2000","indirect migration background","Male","1","","",""
"Complete transfer dependency","2000","indirect migration background","Female","3","","",""
"No transfer dependency","2001","no migration background","Male","3676","0.502371222019385","0.491821695286298","0.512920748752471"
"No transfer dependency","2001","no migration background","Female","4056","0.514949007638538","0.504872014147943","0.525026001129133"
"No transfer dependency","2001","direct migration background","Male","413","0.334368463687774","0.309743923229569","0.358993004145979"
"No transfer dependency","2001","direct migration background","Female","459","0.359667846083119","0.335101839266114","0.384233852900125"
"No transfer dependency","2001","indirect migration background","Male","102","0.308057609131038","0.260950565749179","0.355164652512897"
"No transfer dependency","2001","indirect migration background","Female","97","0.29893440240155","0.253383235672729","0.344485569130372"
"Very low transfer dependency","2001","no migration background","Male","4149","0.419371398186755","0.408959822201851","0.429782974171659"
"Very low transfer dependency","2001","no migration background","Female","4421","0.399920048911902","0.390042565398175","0.409797532425629"
"Very low transfer dependency","2001","direct migration background","Male","725","0.466537740466058","0.440498172427889","0.492577308504227"
"Very low transfer dependency","2001","direct migration background","Female","747","0.463077446616654","0.437552564544964","0.488602328688343"
"Very low transfer dependency","2001","indirect migration background","Male","221","0.589657394583963","0.539468447079328","0.639846342088598"
"Very low transfer dependency","2001","indirect migration background","Female","239","0.58505595344456","0.536030039486868","0.634081867402253"
"Low transfer dependency","2001","no migration background","Male","503","0.0462495501796166","0.0418181702027892","0.050680930156444"
"Low transfer dependency","2001","no migration background","Female","579","0.0477034371535623","0.0434059349204821","0.0520009393866425"
"Low transfer dependency","2001","direct migration background","Male","176","0.106341355246735","0.0902506358798739","0.122432074613597"
"Low transfer dependency","2001","direct migration background","Female","155","0.0923626478142364","0.0775413759596027","0.10718391966887"
"Low transfer dependency","2001","indirect migration background","Male","25","","",""
"Low transfer dependency","2001","indirect migration background","Female","27","","",""
"High transfer dependency","2001","no migration background","Male","149","0.0137644550683632","0.0113061391508875","0.0162227709858388"
"High transfer dependency","2001","no migration background","Female","186","0.0167626976522734","0.0141741492166916","0.0193512460878553"
"High transfer dependency","2001","direct migration background","Male","40","0.0342406358892442","0.0247489379412515","0.0437323338372369"
"High transfer dependency","2001","direct migration background","Female","48","0.0353705270721423","0.0259150785375006","0.0448259756067839"
"High transfer dependency","2001","indirect migration background","Male","10","","",""
"High transfer dependency","2001","indirect migration background","Female","10","","",""
"Very high transfer dependency","2001","no migration background","Male","90","0.0106706235718124","0.0085027537050777","0.0128384934385471"
"Very high transfer dependency","2001","no migration background","Female","142","0.0140572034393886","0.0116834779641659","0.0164309289146113"
"Very high transfer dependency","2001","direct migration background","Male","29","","",""
"Very high transfer dependency","2001","direct migration background","Female","35","0.029018739929162","0.0204261159901569","0.0376113638681672"
"Very high transfer dependency","2001","indirect migration background","Male","9","","",""
"Very high transfer dependency","2001","indirect migration background","Female","6","","",""
"Complete transfer dependency","2001","no migration background","Male","62","0.00757275097406778","0.00574362324167104","0.00940187870646452"
"Complete transfer dependency","2001","no migration background","Female","65","0.0066076052043351","0.0049740356704642","0.00824117473820601"
"Complete transfer dependency","2001","direct migration background","Male","27","","",""
"Complete transfer dependency","2001","direct migration background","Female","22","","",""
"Complete transfer dependency","2001","indirect migration background","Male","2","","",""
"Complete transfer dependency","2001","indirect migration background","Female","9","","",""
"No transfer dependency","2002","no migration background","Male","3933","0.499871322363367","0.489704462183752","0.510038182542982"
"No transfer dependency","2002","no migration background","Female","4258","0.517448739853288","0.507635242364547","0.527262237342029"
"No transfer dependency","2002","direct migration background","Male","420","0.34219312459103","0.316704646352074","0.367681602829987"
"No transfer dependency","2002","direct migration background","Female","463","0.350998165615621","0.32608586016041","0.375910471070833"
"No transfer dependency","2002","indirect migration background","Male","97","0.294984988637875","0.247942138056071","0.342027839219678"
"No transfer dependency","2002","indirect migration background","Female","91","0.254567689319095","0.212037108386792","0.297098270251399"
"Very low transfer dependency","2002","no migration background","Male","4587","0.409497239400858","0.39949831427521","0.419496164526506"
"Very low transfer dependency","2002","no migration background","Female","4784","0.386567436801788","0.377003989507953","0.396130884095624"
"Very low transfer dependency","2002","direct migration background","Male","697","0.477682379641955","0.450847724860246","0.504517034423665"
"Very low transfer dependency","2002","direct migration background","Female","710","0.460676847417412","0.434659605211514","0.486694089623311"
"Very low transfer dependency","2002","indirect migration background","Male","218","0.561492128982455","0.510305677499586","0.612678580465323"
"Very low transfer dependency","2002","indirect migration background","Female","254","0.572101185669734","0.523795023677376","0.620407347662093"
"Low transfer dependency","2002","no migration background","Male","471","0.0507187971303195","0.0462571134779673","0.0551804807826717"
"Low transfer dependency","2002","no migration background","Female","537","0.0518076321486244","0.0474548841833107","0.056160380113938"
"Low transfer dependency","2002","direct migration background","Male","125","0.0952496671861675","0.0794788145933911","0.111020519778944"
"Low transfer dependency","2002","direct migration background","Female","139","0.103677368105461","0.087765810412339","0.119588925798582"
"Low transfer dependency","2002","indirect migration background","Male","27","","",""
"Low transfer dependency","2002","indirect migration background","Female","28","","",""
"High transfer dependency","2002","no migration background","Male","151","0.0183297539478373","0.0156021708375674","0.0210573370581072"
"High transfer dependency","2002","no migration background","Female","209","0.0246958455937236","0.0216479477305841","0.027743743456863"
"High transfer dependency","2002","direct migration background","Male","36","0.0380251964984706","0.0277503191771326","0.0483000738198086"
"High transfer dependency","2002","direct migration background","Female","41","0.0363384255633789","0.0265709156865596","0.0461059354401982"
"High transfer dependency","2002","indirect migration background","Male","10","","",""
"High transfer dependency","2002","indirect migration background","Female","12","","",""
"Very high transfer dependency","2002","no migration background","Male","84","0.011684728815269","0.00949961565450718","0.0138698419760309"
"Very high transfer dependency","2002","no migration background","Female","102","0.0109472084407098","0.00890368392590166","0.0129907329555179"
"Very high transfer dependency","2002","direct migration background","Male","17","","",""
"Very high transfer dependency","2002","direct migration background","Female","22","","",""
"Very high transfer dependency","2002","indirect migration background","Male","6","","",""
"Very high transfer dependency","2002","indirect migration background","Female","12","","",""
"Complete transfer dependency","2002","no migration background","Male","65","0.00989815834234926","0.00788520367889589","0.0119111130058026"
"Complete transfer dependency","2002","no migration background","Female","70","0.00853313716186581","0.00672674563734744","0.0103395286863842"
