"year","e11102","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1998","Not Employed","Urban Area","19.99","14","576","3","6","22","45","120","18.16","21.82","1","200","10","14"
"1999","Employed","Rural Area","12.71","8","285","2","4","16","25","120","11.19","14.23","1","120","7","10"
"1999","Employed","Urban Area","13.95","8","537","3","4","14","26","110","12.58","15.32","1","150","7","10"
"1999","Not Employed","Rural Area","16.54","12","308","4","6","21","35","81","14.51","18.57","1","150","10","14"
"1999","Not Employed","Urban Area","18.91","12","544","2","5","21","40","120","16.61","21.21","1","330","10","12"
"2000","Employed","Rural Area","12.32","7","524","2","4","14","26","80","10.93","13.71","1","180","7","8"
"2000","Employed","Urban Area","12.2","7","888","2","4","14","25","100","11.09","13.31","1","180","7","8"
"2000","Not Employed","Rural Area","19.23","14","512","3","6","22","42","100","17.38","21.08","1","150","10","14"
"2000","Not Employed","Urban Area","19.98","14","930","3","7","24","42","100","18.54","21.42","1","305","10","14"
"2001","Employed","Rural Area","11.28","7","476","2","4","14","25","60","9.94","12.62","1","175","6","8"
"2001","Employed","Urban Area","12.16","7","816","2","4","14","24","90","10.96","13.36","1","180","6","7"
"2001","Not Employed","Rural Area","18.84","13.42","482","3","6","21","40","133","16.86","20.82","1","210","10","14"
"2001","Not Employed","Urban Area","18.39","12","860","3","6","21","37","112","16.9","19.88","1","250","10","12"
"2002","Employed","Rural Area","10.34","7","450","2","4","14","20","50","9.2","11.48","1","150","6","8"
"2002","Employed","Urban Area","12.48","7","900","2","4","14","28","90","11.35","13.61","1","180","6","7"
"2002","Not Employed","Rural Area","17.71","12","498","3","5","21","35","125","15.96","19.46","0","200","10","12"
"2002","Not Employed","Urban Area","18.52","11.18","868","3","6","21","42","110","16.99","20.05","1","360","10","12"
"2003","Employed","Rural Area","9.29","7","435","2","4","12","20","42","8.32","10.26","1","90","6","7"
"2003","Employed","Urban Area","11.94","7","893","2","4","14","25","100","10.68","13.2","1","215","6","7"
"2003","Not Employed","Rural Area","16.68","11","459","3","5","21","32","97","14.7","18.66","1","240","10","12"
"2003","Not Employed","Urban Area","16.79","10","845","3","5","21","35","115","15.31","18.27","1","242","9","10"
"2004","Employed","Rural Area","12.13","6","404","2","3","12","27","90","10.42","13.84","1","275","5","7"
"2004","Employed","Urban Area","10.87","6","811","1","3","11","21","97","9.76","11.98","1","180","5","6"
"2004","Not Employed","Rural Area","17.78","12","488","3","6","21","40","95","16.05","19.51","1","220","10","12"
"2004","Not Employed","Urban Area","17.94","11","887","3","5","20","35","150","16.34","19.54","1","350","10","11"
"2005","Employed","Rural Area","10.47","7","402","2","4","12","21","60","9.21","11.73","1","125","6","7"
"2005","Employed","Urban Area","12.73","6","713","2","3","12","28","122","11.51","13.95","1","180","5","6"
"2005","Not Employed","Rural Area","14.66","10","424","3","5","15","30","84","13.12","16.2","1","170","9","10"
"2005","Not Employed","Urban Area","17.57","10","758","3","5","20","37","120","15.86","19.28","1","250","9","10"
"2006","Employed","Rural Area","10.34","6","374","1","3","11","24","60","8.93","11.75","1","125","5","7"
"2006","Employed","Urban Area","9.58","6","753","2","3","10","20","60","8.59","10.57","1","193","5","6"
"2006","Not Employed","Rural Area","18.63","10","529","3","5","20","40","180","16.81","20.45","1","220","10","11"
"2006","Not Employed","Urban Area","17.3","10","908","3","5","20","35","120","15.85","18.75","1","280","8","10"
"2007","Employed","Rural Area","9.27","6","398","2","3","10","20","44","8.3","10.24","1","86","5","6"
"2007","Employed","Urban Area","10.02","5","708","1","3","10","23","72","8.94","11.1","1","180","5","6"
"2007","Not Employed","Rural Area","15.17","10","477","3","5","16","35","106","13.55","16.79","1","150","9","10"
"2007","Not Employed","Urban Area","16.54","10","859","3","5","20","38","90","15.1","17.98","1","231","9","10"
"2008","Employed","Rural Area","9.79","6","359","2","4","10","19","77","8.37","11.21","1","120","5","7"
"2008","Employed","Urban Area","9.92","5","629","1","3","10","24","71","8.67","11.17","1","150","5","5"
"2008","Not Employed","Rural Area","17.23","10","477","3","5","20","33","240","15.43","19.03","1","240","10","12"
"2008","Not Employed","Urban Area","15.35","10","791","3","5","20","37","90","14.07","16.63","1","200","8","10"
"2009","Employed","Rural Area","8.03","5","368","1","3","10","14","48","6","10.06","1","290","5","6"
"2009","Employed","Urban Area","10.52","5","664","2","3","10","21","113","9.2","11.84","1","230","5","5"
"2009","Not Employed","Rural Area","14.37","9.29","489","2","5","15","30","99","12.43","16.31","1","220","9","10"
"2009","Not Employed","Urban Area","14.76","10","783","3","5","17","30","91","13.34","16.18","1","300","8","10"
"2010","Employed","Rural Area","9.5","5","568","1","3","9","20","148","8.29","10.71","1","240","5","5"
"2010","Employed","Urban Area","10.7","5","1075","1","3","10","21","120","10.03","11.37","1","120","4","5"
"2010","Not Employed","Rural Area","13.68","8","570","3","4","15","28","90","12.23","15.13","1","200","7","8"
"2010","Not Employed","Urban Area","15.88","9","1066","2","4","18","30","150","14.44","17.32","1","250","7","7"
"2011","Employed","Rural Area","7.8","5","692","1","3","10","16","50","6.93","8.67","1","150","4","5"
"2011","Employed","Urban Area","8.14","5","1221","2","3","8","15","68","7.36","8.92","1","200","4","5"
"2011","Not Employed","Rural Area","15.01","9","737","2","5","14","30","180","13.42","16.6","1","250","7","9"
"2011","Not Employed","Urban Area","14.33","9","1251","2","4","15","30","84","13.31","15.35","1","200","7","7"
"2012","Employed","Rural Area","7.59","4","679","1","3","9","15","50","6.7","8.48","1","150","4","5"
"2012","Employed","Urban Area","9.64","5","1164","1","3","9","20","100","8.59","10.69","1","280","4","5"
