"plb0195_h","year","migback","n","percent","lower_confidence","upper_confidence"
"Acclaimed","1996","indirect migration background","77","0.441189432220333","0.371676611595972","0.510702252844695"
"Partly, partly","1996","no migration background","717","0.17344104294882","0.162108338594131","0.184773747303509"
"Partly, partly","1996","direct migration background","121","0.127362999594073","0.105273671002386","0.14945232818576"
"Partly, partly","1996","indirect migration background","42","0.194685963539405","0.139252755841285","0.250119171237525"
"Paid","1996","no migration background","1012","0.232939107329931","0.22028717597672","0.245591038683141"
"Paid","1996","direct migration background","406","0.406526701188734","0.373981332592472","0.439072069784995"
"Paid","1996","indirect migration background","54","0.261321217996491","0.199812708316497","0.322829727676484"
"Not paid","1996","no migration background","705","0.168410063856144","0.157208998393847","0.179611129318442"
"Not paid","1996","direct migration background","67","0.122926204345841","0.101169937928475","0.144682470763206"
"Not paid","1996","indirect migration background","23","","",""
"Acclaimed","1997","no migration background","1621","0.438026400043285","0.422087145475836","0.453965654610734"
"Acclaimed","1997","direct migration background","255","0.375266719496056","0.338927696220421","0.411605742771691"
"Acclaimed","1997","indirect migration background","93","0.525100922845841","0.455544450268128","0.594657395423553"
"Partly, partly","1997","no migration background","799","0.209804900344917","0.196724082846266","0.222885717843567"
"Partly, partly","1997","direct migration background","134","0.184643380002883","0.155523031022035","0.21376372898373"
"Partly, partly","1997","indirect migration background","41","0.155632012499939","0.105139051139083","0.206124973860796"
"Paid","1997","no migration background","620","0.156506336494316","0.144833758577173","0.168178914411459"
"Paid","1997","direct migration background","218","0.261166667655813","0.228199015617124","0.294134319694503"
"Paid","1997","indirect migration background","39","0.22647314820401","0.168174088305236","0.284772208102783"
"Not paid","1997","no migration background","682","0.195662363117482","0.182917571198006","0.208407155036958"
"Not paid","1997","direct migration background","75","0.178923232845248","0.15015712172099","0.207689343969506"
"Not paid","1997","indirect migration background","25","","",""
"Acclaimed","1998","no migration background","1894","0.450501367137787","0.435482777371368","0.465519956904206"
"Acclaimed","1998","direct migration background","246","0.37253935499365","0.334725792584093","0.410352917403207"
"Acclaimed","1998","indirect migration background","80","0.480626333307278","0.408824528135936","0.55242813847862"
"Partly, partly","1998","no migration background","912","0.210449621132532","0.198145182993829","0.222754059271235"
"Partly, partly","1998","direct migration background","127","0.204142981653335","0.172618132203487","0.235667831103182"
"Partly, partly","1998","indirect migration background","44","0.198120821352813","0.140839748014162","0.255401894691464"
"Paid","1998","no migration background","647","0.153747507933425","0.142859415157429","0.164635600709421"
"Paid","1998","direct migration background","189","0.263610969521719","0.229151890691621","0.298070048351817"
"Paid","1998","indirect migration background","39","0.200032572516017","0.142544449253456","0.257520695778579"
"Not paid","1998","no migration background","763","0.185301503796256","0.173573186166159","0.197029821426353"
"Not paid","1998","direct migration background","66","0.159706693831296","0.131055331245468","0.188358056417125"
"Not paid","1998","indirect migration background","23","","",""
"Acclaimed","1999","no migration background","1895","0.453397567491925","0.438329379399878","0.468465755583971"
"Acclaimed","1999","direct migration background","222","0.433928551623245","0.393170007599124","0.474687095647366"
"Acclaimed","1999","indirect migration background","90","0.540780394177547","0.472563516093432","0.608997272261663"
"Partly, partly","1999","no migration background","914","0.22097062899608","0.208412357966589","0.233528900025571"
"Partly, partly","1999","direct migration background","112","0.15910684691971","0.12902608960154","0.189187604237879"
"Partly, partly","1999","indirect migration background","44","0.138870936737628","0.0915328210702923","0.186209052404964"
"Paid","1999","no migration background","621","0.140825356187409","0.130296848592196","0.151353863782622"
"Paid","1999","direct migration background","180","0.254682906256335","0.218853108017689","0.290512704494981"
"Paid","1999","indirect migration background","47","0.194792375587628","0.140578422357281","0.249006328817975"
"Not paid","1999","no migration background","763","0.184806447324587","0.173058159251027","0.196554735398147"
"Not paid","1999","direct migration background","54","0.15228169520071","0.122734003767764","0.181829386633657"
"Not paid","1999","indirect migration background","24","","",""
"Acclaimed","2000","no migration background","3406","0.480063575816837","0.468475175628809","0.491651976004866"
"Acclaimed","2000","direct migration background","377","0.413483277141535","0.381020091669994","0.445946462613075"
"Acclaimed","2000","indirect migration background","118","0.504284663600921","0.443973155880773","0.564596171321069"
"Partly, partly","2000","no migration background","1474","0.208389342577064","0.198968439112159","0.217810246041969"
"Partly, partly","2000","direct migration background","167","0.184311597098171","0.158751621575972","0.209871572620369"
"Partly, partly","2000","indirect migration background","61","0.201028666628974","0.152684873556895","0.249372459701052"
"Paid","2000","no migration background","1012","0.143263313830203","0.135137064120798","0.151389563539608"
"Paid","2000","direct migration background","246","0.269480818700581","0.240232446586528","0.298729190814635"
"Paid","2000","indirect migration background","50","0.164909803919988","0.120145064806028","0.209674543033948"
"Not paid","2000","no migration background","1248","0.168283767775895","0.159606006723111","0.17696152882868"
"Not paid","2000","direct migration background","94","0.132724307059714","0.110358952929217","0.15508966119021"
"Not paid","2000","indirect migration background","35","0.129776865850118","0.0892390747239343","0.170314656976301"
"Acclaimed","2001","no migration background","3103","0.469621310352463","0.457637009365547","0.48160561133938"
"Acclaimed","2001","direct migration background","300","0.357935102166801","0.325002390046498","0.390867814287104"
"Acclaimed","2001","indirect migration background","123","0.448430884269715","0.389543734040298","0.507318034499132"
"Partly, partly","2001","no migration background","1443","0.216620680769898","0.206728733648197","0.226512627891599"
"Partly, partly","2001","direct migration background","197","0.241908028787725","0.212489430334129","0.271326627241321"
"Partly, partly","2001","indirect migration background","68","0.231477115671088","0.18153634468428","0.281417886657896"
"Paid","2001","no migration background","977","0.151384449004056","0.142777645220961","0.159991252787151"
"Paid","2001","direct migration background","216","0.241846335854582","0.212430292045479","0.271262379663684"
"Paid","2001","indirect migration background","44","0.169568886885191","0.125136698847373","0.214001074923009"
