"plb0195_h","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence","value"
"Not paid","2000","35-65 y.","Not Employed","2","","","","4"
"Not paid","2000","35-65 y.","Employed","957","0.176088899058928","0.165901410959317","0.18627638715854","4"
"Not paid","2000","66 and older","Not Employed","","","","","4"
"Not paid","2000","66 and older","Employed","4","","","","4"
"Paid","2000","16-34 y.","Not Employed","8","","","","3"
"Paid","2000","16-34 y.","Employed","464","0.159808303779282","0.146312761815478","0.173303845743085","3"
"Paid","2000","35-65 y.","Not Employed","7","","","","3"
"Paid","2000","35-65 y.","Employed","828","0.155136763753054","0.145453728384608","0.1648197991215","3"
"Paid","2000","66 and older","Not Employed","","","","","3"
"Paid","2000","66 and older","Employed","1","","","","3"
"Partly, partly","2000","16-34 y.","Not Employed","12","","","","2"
"Partly, partly","2000","16-34 y.","Employed","612","0.214038913359983","0.198932952417886","0.229144874302079","2"
"Partly, partly","2000","35-65 y.","Employed","1071","0.201938494868451","0.191201353106696","0.212675636630205","2"
"Partly, partly","2000","35-65 y.","Not Employed","7","","","","2"
"Partly, partly","2000","66 and older","Not Employed","","","","","2"
"Partly, partly","2000","66 and older","Employed","","","","","2"
"Acclaimed","2001","16-34 y.","Not Employed","19","","","","1"
"Acclaimed","2001","16-34 y.","Employed","1137","0.448937659100519","0.429571737428299","0.468303580772739","1"
"Acclaimed","2001","35-65 y.","Not Employed","10","","","","1"
"Acclaimed","2001","35-65 y.","Employed","2356","0.462345706852692","0.44871685525093","0.475974558454454","1"
"Acclaimed","2001","66 and older","Not Employed","","","","","1"
"Acclaimed","2001","66 and older","Employed","4","","","","1"
"Not paid","2001","16-34 y.","Not Employed","9","","","","4"
"Not paid","2001","16-34 y.","Employed","365","0.137666809449213","0.124251615356662","0.151082003541763","4"
"Not paid","2001","35-65 y.","Not Employed","4","","","","4"
"Not paid","2001","35-65 y.","Employed","898","0.172780874006416","0.162446542092869","0.183115205919963","4"
"Not paid","2001","66 and older","Not Employed","","","","","4"
"Not paid","2001","66 and older","Employed","3","","","","4"
"Paid","2001","16-34 y.","Not Employed","11","","","","3"
"Paid","2001","16-34 y.","Employed","423","0.166419820123867","0.151918050561067","0.180921589686666","3"
"Paid","2001","35-65 y.","Employed","801","0.158171518811622","0.148196809709103","0.16814622791414","3"
"Paid","2001","35-65 y.","Not Employed","","","","","3"
"Paid","2001","66 and older","Not Employed","","","","","3"
"Paid","2001","66 and older","Employed","2","","","","3"
"Partly, partly","2001","16-34 y.","Not Employed","7","","","","2"
"Partly, partly","2001","16-34 y.","Employed","609","0.246975711326402","0.230184717556883","0.26376670509592","2"
"Partly, partly","2001","35-65 y.","Employed","1086","0.20670190032927","0.195632738654546","0.217771062003994","2"
"Partly, partly","2001","35-65 y.","Not Employed","5","","","","2"
"Partly, partly","2001","66 and older","Not Employed","","","","","2"
"Partly, partly","2001","66 and older","Employed","1","","","","2"
"Acclaimed","2002","16-34 y.","Not Employed","19","","","","1"
"Acclaimed","2002","16-34 y.","Employed","1083","0.45624197242888","0.436129710941825","0.476354233915935","1"
"Acclaimed","2002","35-65 y.","Not Employed","13","","","","1"
"Acclaimed","2002","35-65 y.","Employed","2516","0.489136646970811","0.475998348635058","0.502274945306565","1"
"Acclaimed","2002","66 and older","Not Employed","","","","","1"
"Acclaimed","2002","66 and older","Employed","2","","","","1"
"Not paid","2002","16-34 y.","Employed","381","0.171953983471325","0.156717182150209","0.187190784792441","4"
"Not paid","2002","16-34 y.","Not Employed","3","","","","4"
"Not paid","2002","35-65 y.","Not Employed","","","","","4"
"Not paid","2002","35-65 y.","Employed","1305","0.180447709853003","0.170340398019296","0.19055502168671","4"
"Not paid","2002","66 and older","Not Employed","","","","","4"
"Not paid","2002","66 and older","Employed","6","","","","4"
"Paid","2002","16-34 y.","Not Employed","10","","","","3"
"Paid","2002","16-34 y.","Employed","338","0.140310902232674","0.126286741965516","0.154335062499833","3"
"Paid","2002","35-65 y.","Employed","639","0.13074474730415","0.121884263617023","0.139605230991277","3"
"Paid","2002","35-65 y.","Not Employed","4","","","","3"
"Paid","2002","66 and older","Not Employed","","","","","3"
"Paid","2002","66 and older","Employed","1","","","","3"
"Partly, partly","2002","16-34 y.","Not Employed","5","","","","2"
"Partly, partly","2002","16-34 y.","Employed","554","0.231493141867121","0.214461622750022","0.248524660984219","2"
"Partly, partly","2002","35-65 y.","Not Employed","2","","","","2"
"Partly, partly","2002","35-65 y.","Employed","1101","0.199670895872035","0.189164268449621","0.21017752329445","2"
"Partly, partly","2002","66 and older","Not Employed","","","","","2"
"Partly, partly","2002","66 and older","Employed","","","","","2"
"Acclaimed","2003","16-34 y.","Not Employed","20","","","","1"
"Acclaimed","2003","16-34 y.","Employed","1120","0.498151361398624","0.47745484162064","0.518847881176608","1"
"Acclaimed","2003","35-65 y.","Not Employed","14","","","","1"
"Acclaimed","2003","35-65 y.","Employed","2473","0.508572260483069","0.495056932773494","0.522087588192644","1"
"Acclaimed","2003","66 and older","Employed","1","","","","1"
"Acclaimed","2003","66 and older","Not Employed","","","","","1"
"Not paid","2003","16-34 y.","Employed","348","0.15337606443665","0.138459996488331","0.16829213238497","4"
"Not paid","2003","16-34 y.","Not Employed","7","","","","4"
"Not paid","2003","35-65 y.","Employed","1184","0.173277992779328","0.163045725726111","0.183510259832546","4"
"Not paid","2003","35-65 y.","Not Employed","4","","","","4"
"Not paid","2003","66 and older","Not Employed","","","","","4"
"Not paid","2003","66 and older","Employed","6","","","","4"
"Paid","2003","16-34 y.","Not Employed","10","","","","3"
"Paid","2003","16-34 y.","Employed","298","0.138739882891808","0.124431250804854","0.153048514978761","3"
"Paid","2003","35-65 y.","Employed","589","0.127368436365059","0.118355490133995","0.136381382596122","3"
"Paid","2003","35-65 y.","Not Employed","4","","","","3"
"Paid","2003","66 and older","Not Employed","","","","","3"
"Paid","2003","66 and older","Employed","1","","","","3"
"Partly, partly","2003","16-34 y.","Not Employed","4","","","","2"
"Partly, partly","2003","16-34 y.","Employed","476","0.209732691272918","0.192880733582244","0.226584648963593","2"
"Partly, partly","2003","35-65 y.","Employed","1010","0.190781310372544","0.180158943943554","0.201403676801533","2"
"Partly, partly","2003","35-65 y.","Not Employed","2","","","","2"
"Partly, partly","2003","66 and older","Not Employed","","","","","2"
"Partly, partly","2003","66 and older","Employed","","","","","2"
"Acclaimed","2004","16-34 y.","Not Employed","12","","","","1"
"Acclaimed","2004","16-34 y.","Employed","999","0.474357108544147","0.452762468178417","0.495951748909877","1"
"Acclaimed","2004","35-65 y.","Not Employed","6","","","","1"
"Acclaimed","2004","35-65 y.","Employed","2475","0.504165672891306","0.490565773973457","0.517765571809156","1"
"Acclaimed","2004","66 and older","Not Employed","","","","","1"
"Acclaimed","2004","66 and older","Employed","1","","","","1"
"Not paid","2004","16-34 y.","Employed","345","0.186725028435346","0.169872392376157","0.203577664494535","4"
"Not paid","2004","16-34 y.","Not Employed","10","","","","4"
"Not paid","2004","35-65 y.","Employed","1243","0.192410632943658","0.181688268130955","0.203132997756362","4"
"Not paid","2004","35-65 y.","Not Employed","3","","","","4"
"Not paid","2004","66 and older","Not Employed","","","","","4"
"Not paid","2004","66 and older","Employed","5","","","","4"
"Paid","2004","16-34 y.","Not Employed","2","","","","3"
"Paid","2004","16-34 y.","Employed","255","0.126285620377991","0.111920490260881","0.140650750495101","3"
"Paid","2004","35-65 y.","Not Employed","3","","","","3"
"Paid","2004","35-65 y.","Employed","545","0.1231426514434","0.114204463706886","0.132080839179913","3"
"Paid","2004","66 and older","Employed","4","","","","3"
"Paid","2004","66 and older","Not Employed","","","","","3"
"Partly, partly","2004","16-34 y.","Not Employed","7","","","","2"
"Partly, partly","2004","16-34 y.","Employed","455","0.212632242642516","0.194937215036965","0.230327270248068","2"
"Partly, partly","2004","35-65 y.","Employed","929","0.180281042721636","0.169824496314224","0.190737589129047","2"
"Partly, partly","2004","35-65 y.","Not Employed","2","","","","2"
"Partly, partly","2004","66 and older","Employed","","","","","2"
"Partly, partly","2004","66 and older","Not Employed","","","","","2"
"Acclaimed","2005","16-34 y.","Not Employed","6","","","","1"
"Acclaimed","2005","16-34 y.","Employed","969","0.488259820060708","0.465947495001901","0.510572145119515","1"
"Acclaimed","2005","35-65 y.","Not Employed","7","","","","1"
"Acclaimed","2005","35-65 y.","Employed","2409","0.515540786696579","0.501433624812277","0.52964794858088","1"
"Acclaimed","2005","66 and older","Not Employed","","","","","1"
"Acclaimed","2005","66 and older","Employed","1","","","","1"
"Not paid","2005","16-34 y.","Not Employed","7","","","","4"
"Not paid","2005","16-34 y.","Employed","315","0.172168855189694","0.155317192681839","0.189020517697548","4"
"Not paid","2005","35-65 y.","Not Employed","3","","","","4"
"Not paid","2005","35-65 y.","Employed","1047","0.17950018461645","0.168667122861119","0.19033324637178","4"
"Not paid","2005","66 and older","Not Employed","","","","","4"
"Not paid","2005","66 and older","Employed","6","","","","4"
"Paid","2005","16-34 y.","Not Employed","7","","","","3"
"Paid","2005","16-34 y.","Employed","212","0.109942957347395","0.0959796851510859","0.123906229543703","3"
"Paid","2005","35-65 y.","Not Employed","1","","","","3"
"Paid","2005","35-65 y.","Employed","466","0.11009227874796","0.101256792743701","0.118927764752219","3"
"Paid","2005","66 and older","Not Employed","","","","","3"
"Paid","2005","66 and older","Employed","3","","","","3"
"Partly, partly","2005","16-34 y.","Not Employed","7","","","","2"
"Partly, partly","2005","16-34 y.","Employed","432","0.229628367402203","0.21085433831143","0.248402396492977","2"
"Partly, partly","2005","35-65 y.","Employed","899","0.194866749939011","0.183685707976489","0.206047791901533","2"
"Partly, partly","2005","35-65 y.","Not Employed","3","","","","2"
"Partly, partly","2005","66 and older","Not Employed","","","","","2"
"Partly, partly","2005","66 and older","Employed","","","","","2"
"Acclaimed","2006","16-34 y.","Not Employed","13","","","","1"
"Acclaimed","2006","16-34 y.","Employed","971","0.483548209279705","0.461519982451866","0.505576436107544","1"
"Acclaimed","2006","35-65 y.","Not Employed","16","","","","1"
"Acclaimed","2006","35-65 y.","Employed","2732","0.501160884285265","0.487881494881855","0.514440273688675","1"
"Acclaimed","2006","66 and older","Not Employed","","","","","1"
"Acclaimed","2006","66 and older","Employed","5","","","","1"
"Not paid","2006","16-34 y.","Employed","383","0.190035954545592","0.172741952137466","0.207329956953717","4"
"Not paid","2006","16-34 y.","Not Employed","5","","","","4"
"Not paid","2006","35-65 y.","Employed","1218","0.200386913507422","0.189755674127342","0.211018152887503","4"
"Not paid","2006","35-65 y.","Not Employed","5","","","","4"
"Not paid","2006","66 and older","Not Employed","","","","","4"
"Not paid","2006","66 and older","Employed","8","","","","4"
"Paid","2006","16-34 y.","Not Employed","10","","","","3"
"Paid","2006","16-34 y.","Employed","218","0.119777190852414","0.105464274699565","0.134090107005262","3"
"Paid","2006","35-65 y.","Employed","526","0.115112060296452","0.106635613819502","0.123588506773402","3"
"Paid","2006","35-65 y.","Not Employed","3","","","","3"
"Paid","2006","66 and older","Employed","6","","","","3"
"Paid","2006","66 and older","Not Employed","","","","","3"
"Partly, partly","2006","16-34 y.","Not Employed","7","","","","2"
"Partly, partly","2006","16-34 y.","Employed","405","0.20663864532229","0.188790789447246","0.224486501197334","2"
"Partly, partly","2006","35-65 y.","Employed","970","0.183340141910861","0.173063324071513","0.193616959750209","2"
"Partly, partly","2006","35-65 y.","Not Employed","7","","","","2"
"Partly, partly","2006","66 and older","Employed","2","","","","2"
"Partly, partly","2006","66 and older","Not Employed","","","","","2"
"Acclaimed","2007","16-34 y.","Not Employed","21","","","","1"
"Acclaimed","2007","16-34 y.","Employed","898","0.464980702890383","0.442028116128547","0.487933289652218","1"
"Acclaimed","2007","35-65 y.","Not Employed","14","","","","1"
"Acclaimed","2007","35-65 y.","Employed","2515","0.503471752733782","0.489677728851289","0.517265776616275","1"
"Acclaimed","2007","66 and older","Employed","6","","","","1"
"Acclaimed","2007","66 and older","Not Employed","","","","","1"
"Not paid","2007","16-34 y.","Employed","335","0.193341062014983","0.175167649917147","0.211514474112819","4"
"Not paid","2007","16-34 y.","Not Employed","8","","","","4"
"Not paid","2007","35-65 y.","Employed","1133","0.191254631673306","0.180404292288009","0.202104971058603","4"
"Not paid","2007","35-65 y.","Not Employed","6","","","","4"
"Not paid","2007","66 and older","Not Employed","","","","","4"
"Not paid","2007","66 and older","Employed","13","","","","4"
"Paid","2007","16-34 y.","Not Employed","6","","","","3"
"Paid","2007","16-34 y.","Employed","180","0.104174674832068","0.0901167183568552","0.118232631307281","3"
"Paid","2007","35-65 y.","Not Employed","3","","","","3"
"Paid","2007","35-65 y.","Employed","446","0.0994107344862753","0.0911558412071316","0.107665627765419","3"
"Paid","2007","66 and older","Employed","2","","","","3"
"Paid","2007","66 and older","Not Employed","","","","","3"
"Partly, partly","2007","16-34 y.","Not Employed","9","","","","2"
"Partly, partly","2007","16-34 y.","Employed","401","0.237503560262566","0.217920370968958","0.257086749556174","2"
"Partly, partly","2007","35-65 y.","Not Employed","7","","","","2"
"Partly, partly","2007","35-65 y.","Employed","953","0.205862881106637","0.194707916160094","0.217017846053179","2"
"Partly, partly","2007","66 and older","Not Employed","","","","","2"
"Partly, partly","2007","66 and older","Employed","2","","","","2"
"Acclaimed","2008","16-34 y.","Not Employed","13","","","","1"
"Acclaimed","2008","16-34 y.","Employed","897","0.493368773984624","0.470336298903982","0.516401249065265","1"
"Acclaimed","2008","35-65 y.","Not Employed","18","","","","1"
"Acclaimed","2008","35-65 y.","Employed","2394","0.487162655203796","0.473272022863962","0.50105328754363","1"
"Acclaimed","2008","66 and older","Not Employed","","","","","1"
"Acclaimed","2008","66 and older","Employed","6","","","","1"
"Not paid","2008","16-34 y.","Not Employed","10","","","","4"
"Not paid","2008","16-34 y.","Employed","324","0.187203499704545","0.169233142998528","0.205173856410562","4"
"Not paid","2008","35-65 y.","Not Employed","8","","","","4"
"Not paid","2008","35-65 y.","Employed","1128","0.189769848848613","0.1788726969002","0.200667000797026","4"
"Not paid","2008","66 and older","Not Employed","","","","","4"
"Not paid","2008","66 and older","Employed","8","","","","4"
"Paid","2008","16-34 y.","Not Employed","4","","","","3"
"Paid","2008","16-34 y.","Employed","202","0.103525572961238","0.089490923249188","0.117560222673288","3"
"Paid","2008","35-65 y.","Employed","479","0.106733343090963","0.0981523842571706","0.115314301924754","3"
"Paid","2008","35-65 y.","Not Employed","3","","","","3"
"Paid","2008","66 and older","Employed","5","","","","3"
"Paid","2008","66 and older","Not Employed","","","","","3"
"Partly, partly","2008","16-34 y.","Not Employed","6","","","","2"
"Partly, partly","2008","16-34 y.","Employed","387","0.215902153349593","0.19694721304121","0.234857093657975","2"
"Partly, partly","2008","35-65 y.","Employed","973","0.216334152856629","0.204891592699748","0.227776713013509","2"
"Partly, partly","2008","35-65 y.","Not Employed","2","","","","2"
"Partly, partly","2008","66 and older","Employed","1","","","","2"
"Partly, partly","2008","66 and older","Not Employed","","","","","2"
"Acclaimed","2009","16-34 y.","Not Employed","8","","","","1"
"Acclaimed","2009","16-34 y.","Employed","782","0.458792162879939","0.434414020656149","0.483170305103728","1"
"Acclaimed","2009","35-65 y.","Not Employed","7","","","","1"
"Acclaimed","2009","35-65 y.","Employed","2181","0.49893013151328","0.484209812387515","0.513650450639044","1"
"Acclaimed","2009","66 and older","Employed","3","","","","1"
"Acclaimed","2009","66 and older","Not Employed","","","","","1"
"Not paid","2009","16-34 y.","Not Employed","6","","","","4"
"Not paid","2009","16-34 y.","Employed","289","0.192729352107025","0.173432161599292","0.212026542614757","4"
"Not paid","2009","35-65 y.","Not Employed","2","","","","4"
"Not paid","2009","35-65 y.","Employed","985","0.18403321117072","0.172624605784042","0.195441816557397","4"
"Not paid","2009","66 and older","Not Employed","1","","","","4"
"Not paid","2009","66 and older","Employed","7","","","","4"
"Paid","2009","16-34 y.","Not Employed","4","","","","3"
"Paid","2009","16-34 y.","Employed","168","0.105461093520468","0.0904346457949592","0.120487541245978","3"
"Paid","2009","35-65 y.","Employed","408","0.102854925693935","0.0939117430346218","0.111798108353248","3"
"Paid","2009","35-65 y.","Not Employed","3","","","","3"
"Paid","2009","66 and older","Not Employed","","","","","3"
"Paid","2009","66 and older","Employed","8","","","","3"
"Partly, partly","2009","16-34 y.","Not Employed","","","","","2"
"Partly, partly","2009","16-34 y.","Employed","366","0.243017391492569","0.222034168257237","0.2640006147279","2"
"Partly, partly","2009","35-65 y.","Not Employed","1","","","","2"
"Partly, partly","2009","35-65 y.","Employed","858","0.214181731622066","0.202103579690187","0.226259883553945","2"
"Partly, partly","2009","66 and older","Not Employed","","","","","2"
"Partly, partly","2009","66 and older","Employed","2","","","","2"
"Acclaimed","2010","16-34 y.","Not Employed","39","0.268840824500425","0.172879829733787","0.364801819267064","1"
"Acclaimed","2010","16-34 y.","Employed","1138","0.519528919547892","0.498985042009399","0.540072797086386","1"
"Acclaimed","2010","35-65 y.","Not Employed","26","","","","1"
"Acclaimed","2010","35-65 y.","Employed","3060","0.523174602478929","0.510545102826949","0.535804102130909","1"
"Acclaimed","2010","66 and older","Not Employed","","","","","1"
"Acclaimed","2010","66 and older","Employed","6","","","","1"
"Not paid","2010","16-34 y.","Not Employed","11","","","","4"
"Not paid","2010","16-34 y.","Employed","383","0.172785091425938","0.157239536214515","0.188330646637362","4"
"Not paid","2010","35-65 y.","Not Employed","11","","","","4"
"Not paid","2010","35-65 y.","Employed","1213","0.189999805754093","0.180080020534997","0.199919590973189","4"
"Not paid","2010","66 and older","Not Employed","","","","","4"
"Not paid","2010","66 and older","Employed","13","","","","4"
"Paid","2010","16-34 y.","Not Employed","14","","","","3"
"Paid","2010","16-34 y.","Employed","278","0.0966136864862516","0.0844658200659173","0.108761552906586","3"
"Paid","2010","35-65 y.","Not Employed","10","","","","3"
"Paid","2010","35-65 y.","Employed","657","0.109967590421674","0.102056827046727","0.11787835379662","3"
"Paid","2010","66 and older","Not Employed","","","","","3"
"Paid","2010","66 and older","Employed","6","","","","3"
"Partly, partly","2010","16-34 y.","Not Employed","18","","","","2"
"Partly, partly","2010","16-34 y.","Employed","473","0.211072302539918","0.194292835858146","0.22785176922169","2"
"Partly, partly","2010","35-65 y.","Employed","1078","0.176858001345305","0.167210099734025","0.186505902956584","2"
"Partly, partly","2010","35-65 y.","Not Employed","7","","","","2"
"Partly, partly","2010","66 and older","Employed","3","","","","2"
"Partly, partly","2010","66 and older","Not Employed","","","","","2"
"Acclaimed","2011","16-34 y.","Not Employed","40","0.5305843543747","0.41367343626695","0.647495272482451","1"
"Acclaimed","2011","35-65 y.","Not Employed","39","0.43871035186105","0.318992592317529","0.558428111404571","1"
"Acclaimed","2011","16-34 y.","Employed","1211","0.510160268409131","0.490473909066215","0.529846627752048","1"
"Acclaimed","2011","35-65 y.","Employed","3721","0.489668125933614","0.478365981231788","0.50097027063544","1"
"Acclaimed","2011","66 and older","Not Employed","","","","","1"
"Acclaimed","2011","66 and older","Employed","7","","","","1"
"Not paid","2011","16-34 y.","Not Employed","6","","","","4"
"Not paid","2011","16-34 y.","Employed","387","0.169424479428945","0.154651682388396","0.184197276469494","4"
"Not paid","2011","35-65 y.","Not Employed","9","","","","4"
"Not paid","2011","35-65 y.","Employed","1549","0.197038203417774","0.18804516891834","0.206031237917208","4"
"Not paid","2011","66 and older","Not Employed","","","","","4"
"Not paid","2011","66 and older","Employed","10","","","","4"
"Paid","2011","16-34 y.","Not Employed","14","","","","3"
"Paid","2011","16-34 y.","Employed","350","0.115928478511964","0.103321127161854","0.128535829862074","3"
"Paid","2011","35-65 y.","Not Employed","9","","","","3"
"Paid","2011","35-65 y.","Employed","863","0.12042923710057","0.113070810561047","0.127787663640093","3"
"Paid","2011","66 and older","Employed","6","","","","3"
"Paid","2011","66 and older","Not Employed","","","","","3"
"Partly, partly","2011","16-34 y.","Not Employed","10","","","","2"
"Partly, partly","2011","16-34 y.","Employed","529","0.20448677364996","0.188603449415485","0.220370097884435","2"
"Partly, partly","2011","35-65 y.","Not Employed","9","","","","2"
"Partly, partly","2011","35-65 y.","Employed","1382","0.192864433548042","0.183944062611576","0.201784804484508","2"
"Partly, partly","2011","66 and older","Employed","3","","","","2"
"Partly, partly","2011","66 and older","Not Employed","","","","","2"
"Acclaimed","2012","16-34 y.","Not Employed","28","","","","1"
"Acclaimed","2012","35-65 y.","Not Employed","80","0.666494454761956","0.587547095567205","0.745441813956706","1"
"Acclaimed","2012","35-65 y.","Employed","3989","0.507866794734695","0.496724817906267","0.519008771563124","1"
"Acclaimed","2012","16-34 y.","Employed","1194","0.513770025266615","0.493757129670756","0.533782920862473","1"
"Acclaimed","2012","66 and older","Not Employed","","","","","1"
"Acclaimed","2012","66 and older","Employed","10","","","","1"
"Not paid","2012","16-34 y.","Not Employed","13","","","","4"
"Not paid","2012","16-34 y.","Employed","351","0.155919280035845","0.141393261809109","0.170445298262582","4"
"Not paid","2012","35-65 y.","Not Employed","24","","","","4"
"Not paid","2012","35-65 y.","Employed","1406","0.171938222637326","0.16352885008794","0.180347595186711","4"
"Not paid","2012","66 and older","Not Employed","","","","","4"
"Not paid","2012","66 and older","Employed","16","","","","4"
"Paid","2012","16-34 y.","Not Employed","14","","","","3"
"Paid","2012","16-34 y.","Employed","327","0.116628460306566","0.103776225338437","0.129480695274695","3"
"Paid","2012","35-65 y.","Employed","847","0.113906904362287","0.106826456843863","0.12098735188071","3"
"Paid","2012","35-65 y.","Not Employed","10","","","","3"
"Paid","2012","66 and older","Not Employed","","","","","3"
"Paid","2012","66 and older","Employed","14","","","","3"
"Partly, partly","2012","16-34 y.","Not Employed","18","","","","2"
"Partly, partly","2012","16-34 y.","Employed","524","0.213682234390973","0.197269235645911","0.230095233136036","2"
"Partly, partly","2012","35-65 y.","Not Employed","23","","","","2"
"Partly, partly","2012","35-65 y.","Employed","1492","0.206288078265692","0.197269989122234","0.21530616740915","2"
"Partly, partly","2012","66 and older","Employed","5","","","","2"
"Partly, partly","2012","66 and older","Not Employed","","","","","2"
"Acclaimed","2013","16-34 y.","Not Employed","340","0.42050498249404","0.385339986083292","0.455669978904788","1"
"Acclaimed","2013","35-65 y.","Not Employed","472","0.445590788306902","0.416151700271993","0.475029876341811","1"
"Acclaimed","2013","16-34 y.","Employed","1073","0.515792532198787","0.494484094500768","0.537100969896806","1"
"Acclaimed","2013","35-65 y.","Employed","3707","0.518816949388243","0.507157935478579","0.530475963297907","1"
"Acclaimed","2013","66 and older","Not Employed","1","","","","1"
"Acclaimed","2013","66 and older","Employed","11","","","","1"
"Not paid","2013","16-34 y.","Not Employed","95","0.155613939838069","0.12979163950863","0.181436240167509","4"
"Not paid","2013","16-34 y.","Employed","306","0.146401762162289","0.131328812475245","0.161474711849332","4"
"Not paid","2013","35-65 y.","Not Employed","138","0.13536011666202","0.11509710363504","0.155623129689","4"
"Not paid","2013","35-65 y.","Employed","1281","0.178285716158436","0.169354342171982","0.187217090144889","4"
"Not paid","2013","66 and older","Not Employed","1","","","","4"
"Not paid","2013","66 and older","Employed","9","","","","4"
"Paid","2013","16-34 y.","Not Employed","147","0.186601632496445","0.158848659128074","0.214354605864815","3"
"Paid","2013","16-34 y.","Employed","255","0.108889723514185","0.0956079057820732","0.122171541246297","3"
"Paid","2013","35-65 y.","Not Employed","245","0.224326008297581","0.199618982961194","0.249033033633967","3"
"Paid","2013","35-65 y.","Employed","753","0.102904019782318","0.0958141998128153","0.109993839751821","3"
"Paid","2013","66 and older","Employed","6","","","","3"
"Paid","2013","66 and older","Not Employed","1","","","","3"
"Partly, partly","2013","16-34 y.","Not Employed","175","0.237279445171446","0.206974539564935","0.267584350777957","2"
"Partly, partly","2013","16-34 y.","Employed","479","0.228915982124739","0.21100220153289","0.246829762716588","2"
"Partly, partly","2013","35-65 y.","Employed","1314","0.199993314671003","0.190659608407481","0.209327020934525","2"
"Partly, partly","2013","35-65 y.","Not Employed","240","0.194723086733498","0.171268792002465","0.218177381464531","2"
"Partly, partly","2013","66 and older","Not Employed","","","","","2"
"Partly, partly","2013","66 and older","Employed","2","","","","2"
"Acclaimed","2014","16-34 y.","Not Employed","49","0.53736795385074","0.442894467956257","0.631841439745224","1"
"Acclaimed","2014","35-65 y.","Not Employed","66","0.543323953036476","0.458024551206846","0.628623354866105","1"
"Acclaimed","2014","16-34 y.","Employed","1206","0.521563550746431","0.501536597383071","0.54159050410979","1"
"Acclaimed","2014","35-65 y.","Employed","3760","0.50253563591987","0.491145262284558","0.513926009555182","1"
"Acclaimed","2014","66 and older","Not Employed","","","","","1"
"Acclaimed","2014","66 and older","Employed","12","","","","1"
"Not paid","2014","16-34 y.","Not Employed","19","","","","4"
"Not paid","2014","16-34 y.","Employed","318","0.132416289448047","0.11882766355911","0.146004915336983","4"
"Not paid","2014","35-65 y.","Not Employed","15","","","","4"
"Not paid","2014","35-65 y.","Employed","1250","0.171791084264324","0.163198104051805","0.180384064476843","4"
"Not paid","2014","66 and older","Not Employed","","","","","4"
"Not paid","2014","66 and older","Employed","12","","","","4"
"Paid","2014","16-34 y.","Not Employed","20","","","","3"
"Paid","2014","16-34 y.","Employed","317","0.11307599567036","0.100379684573458","0.125772306767262","3"
"Paid","2014","35-65 y.","Employed","824","0.107890818362803","0.100823172197326","0.114958464528279","3"
"Paid","2014","35-65 y.","Not Employed","23","","","","3"
"Paid","2014","66 and older","Not Employed","1","","","","3"
"Paid","2014","66 and older","Employed","13","","","","3"
"Partly, partly","2014","16-34 y.","Not Employed","19","","","","2"
"Partly, partly","2014","16-34 y.","Employed","549","0.232944164135163","0.215997331239147","0.249890997031178","2"
"Partly, partly","2014","35-65 y.","Employed","1568","0.217782461453003","0.208379843801224","0.227185079104782","2"
"Partly, partly","2014","35-65 y.","Not Employed","27","","","","2"
"Partly, partly","2014","66 and older","Employed","6","","","","2"
"Partly, partly","2014","66 and older","Not Employed","","","","","2"
"Acclaimed","2015","16-34 y.","Not Employed","","","","","1"
"Acclaimed","2015","16-34 y.","Employed","","","","","1"
"Acclaimed","2015","35-65 y.","Not Employed","","","","","1"
"Acclaimed","2015","35-65 y.","Employed","","","","","1"
"Acclaimed","2015","66 and older","Not Employed","","","","","1"
"Acclaimed","2015","66 and older","Employed","","","","","1"
"Not paid","2015","16-34 y.","Not Employed","","","","","4"
"Not paid","2015","16-34 y.","Employed","","","","","4"
"Not paid","2015","35-65 y.","Not Employed","","","","","4"
"Not paid","2015","35-65 y.","Employed","","","","","4"
"Not paid","2015","66 and older","Not Employed","","","","","4"
"Not paid","2015","66 and older","Employed","","","","","4"
"Paid","2015","16-34 y.","Not Employed","","","","","3"
"Paid","2015","16-34 y.","Employed","","","","","3"
"Paid","2015","35-65 y.","Not Employed","","","","","3"
"Paid","2015","66 and older","Employed","","","","","3"
"Paid","2015","35-65 y.","Employed","","","","","3"
"Paid","2015","66 and older","Not Employed","","","","","3"
"Partly, partly","2015","16-34 y.","Not Employed","","","","","2"
"Partly, partly","2015","16-34 y.","Employed","","","","","2"
"Partly, partly","2015","35-65 y.","Employed","","","","","2"
"Partly, partly","2015","35-65 y.","Not Employed","","","","","2"
"Partly, partly","2015","66 and older","Not Employed","","","","","2"
"Partly, partly","2015","66 and older","Employed","","","","","2"
"Acclaimed","2016","16-34 y.","Not Employed","","","","","1"
"Acclaimed","2016","35-65 y.","Not Employed","","","","","1"
"Acclaimed","2016","16-34 y.","Employed","","","","","1"
"Acclaimed","2016","35-65 y.","Employed","","","","","1"
"Acclaimed","2016","66 and older","Not Employed","","","","","1"
"Acclaimed","2016","66 and older","Employed","","","","","1"
"Not paid","2016","16-34 y.","Not Employed","","","","","4"
"Not paid","2016","16-34 y.","Employed","","","","","4"
"Not paid","2016","35-65 y.","Not Employed","","","","","4"
"Not paid","2016","35-65 y.","Employed","","","","","4"
