"plb0195_h","year","pgcasmin","sampreg","n","percent","lower_confidence","upper_confidence"
"Partly, partly","1992","(1a) inadequately completed","East Germany","2","","",""
"Partly, partly","1992","(1b) general elementary school","West Germany","69","0.114308258146787","0.0882329062704232","0.140383610023151"
"Partly, partly","1992","(1b) general elementary school","East Germany","3","","",""
"Partly, partly","1992","(1c) basic vocational qualification","West Germany","253","0.177828400045867","0.157841878010911","0.197814922080823"
"Partly, partly","1992","(1c) basic vocational qualification","East Germany","61","0.181617232997857","0.141285090027609","0.221949375968105"
"Partly, partly","1992","(2b) intermediate general qualification","West Germany","20","","",""
"Partly, partly","1992","(2b) intermediate general qualification","East Germany","9","","",""
"Partly, partly","1992","(2a) intermediate vocational","West Germany","125","0.181820504634339","0.152461789037706","0.211179220230972"
"Partly, partly","1992","(2a) intermediate vocational","East Germany","139","0.199510580519537","0.169948138990884","0.22907302204819"
"Partly, partly","1992","(2c_gen) general maturity certificate","West Germany","9","","",""
"Partly, partly","1992","(2c_gen) general maturity certificate","East Germany","1","","",""
"Partly, partly","1992","(2c_voc) vocational maturity certificate","West Germany","38","0.174798839041943","0.124382764111138","0.225214913972747"
"Partly, partly","1992","(2c_voc) vocational maturity certificate","East Germany","3","","",""
"Partly, partly","1992","(3a) lower tertiary education","West Germany","33","0.230912537325459","0.160086937800893","0.301738136850025"
"Partly, partly","1992","(3a) lower tertiary education","East Germany","38","0.12107523597142","0.0852212005149484","0.156929271427893"
"Partly, partly","1992","(3b) higher tertiary education","West Germany","34","0.159066155261854","0.113362562078706","0.204769748445001"
"Partly, partly","1992","(3b) higher tertiary education","East Germany","21","","",""
"Paid","1992","(0) in school","West Germany","2","","",""
"Paid","1992","(0) in school","East Germany","","","",""
"Paid","1992","(1a) inadequately completed","West Germany","130","0.72911152272495","0.664187699686781","0.794035345763119"
"Paid","1992","(1a) inadequately completed","East Germany","2","","",""
"Paid","1992","(1b) general elementary school","West Germany","356","0.57195870246672","0.531410159930099","0.612507245003341"
"Paid","1992","(1b) general elementary school","East Germany","8","","",""
"Paid","1992","(1c) basic vocational qualification","West Germany","620","0.415401981386582","0.389643611099878","0.441160351673287"
"Paid","1992","(1c) basic vocational qualification","East Germany","121","0.342691691159134","0.293040361746704","0.392343020571564"
"Paid","1992","(2b) intermediate general qualification","West Germany","25","","",""
"Paid","1992","(2b) intermediate general qualification","East Germany","12","","",""
"Paid","1992","(2a) intermediate vocational","West Germany","149","0.227682620481302","0.195763260742139","0.259601980220464"
"Paid","1992","(2a) intermediate vocational","East Germany","248","0.375801486802492","0.339973686334068","0.411629287270916"
"Paid","1992","(2c_gen) general maturity certificate","West Germany","33","0.295528570137757","0.200733769756841","0.390323370518673"
"Paid","1992","(2c_gen) general maturity certificate","East Germany","2","","",""
"Paid","1992","(2c_voc) vocational maturity certificate","West Germany","50","0.225133870762483","0.16968999239009","0.280577749134876"
"Paid","1992","(2c_voc) vocational maturity certificate","East Germany","7","","",""
"Paid","1992","(3a) lower tertiary education","West Germany","14","","",""
"Paid","1992","(3a) lower tertiary education","East Germany","28","","",""
"Paid","1992","(3b) higher tertiary education","West Germany","28","","",""
"Paid","1992","(3b) higher tertiary education","East Germany","14","","",""
"Not paid","1992","(0) in school","West Germany","","","",""
"Not paid","1992","(0) in school","East Germany","","","",""
"Not paid","1992","(1a) inadequately completed","West Germany","3","","",""
"Not paid","1992","(1a) inadequately completed","East Germany","","","",""
"Not paid","1992","(1b) general elementary school","West Germany","39","0.0759214755424736","0.0542151238474632","0.0976278272374839"
"Not paid","1992","(1b) general elementary school","East Germany","","","",""
"Not paid","1992","(1c) basic vocational qualification","West Germany","103","0.0824425379958069","0.0680662176035003","0.0968188583881134"
"Not paid","1992","(1c) basic vocational qualification","East Germany","29","","",""
"Not paid","1992","(2b) intermediate general qualification","West Germany","16","","",""
"Not paid","1992","(2b) intermediate general qualification","East Germany","2","","",""
"Not paid","1992","(2a) intermediate vocational","West Germany","95","0.160581815943837","0.132635234167069","0.188528397720605"
"Not paid","1992","(2a) intermediate vocational","East Germany","56","0.0728533798879515","0.0536278376689004","0.0920789221070025"
"Not paid","1992","(2c_gen) general maturity certificate","West Germany","16","","",""
"Not paid","1992","(2c_gen) general maturity certificate","East Germany","2","","",""
"Not paid","1992","(2c_voc) vocational maturity certificate","West Germany","40","0.207567580184047","0.153730596110551","0.261404564257544"
"Not paid","1992","(2c_voc) vocational maturity certificate","East Germany","7","","",""
"Not paid","1992","(3a) lower tertiary education","West Germany","44","0.313390310708408","0.235429493436698","0.391351127980118"
"Not paid","1992","(3a) lower tertiary education","East Germany","95","0.30601985247969","0.255369455307172","0.356670249652209"
"Not paid","1992","(3b) higher tertiary education","West Germany","120","0.477566830011875","0.415148379080485","0.539985280943264"
"Not paid","1992","(3b) higher tertiary education","East Germany","104","0.602496282627403","0.532726885225497","0.672265680029309"
"Acclaimed","1993","(0) in school","West Germany","","","",""
"Acclaimed","1993","(0) in school","East Germany","","","",""
"Acclaimed","1993","(1a) inadequately completed","West Germany","28","","",""
"Acclaimed","1993","(1a) inadequately completed","East Germany","3","","",""
"Acclaimed","1993","(1b) general elementary school","West Germany","111","0.244368235758069","0.207921810169019","0.280814661347119"
"Acclaimed","1993","(1b) general elementary school","East Germany","7","","",""
"Acclaimed","1993","(1c) basic vocational qualification","West Germany","396","0.317957124540301","0.29262329386457","0.343290955216032"
"Acclaimed","1993","(1c) basic vocational qualification","East Germany","119","0.378608457933222","0.325044749323029","0.432172166543414"
"Acclaimed","1993","(2b) intermediate general qualification","West Germany","54","0.414814053022285","0.326292650773785","0.503335455270785"
"Acclaimed","1993","(2b) intermediate general qualification","East Germany","26","","",""
"Acclaimed","1993","(2a) intermediate vocational","West Germany","326","0.434410106441556","0.398052124833688","0.470768088049423"
"Acclaimed","1993","(2a) intermediate vocational","East Germany","241","0.347376783922568","0.311694578038495","0.38305898980664"
"Acclaimed","1993","(2c_gen) general maturity certificate","West Germany","29","","",""
"Acclaimed","1993","(2c_gen) general maturity certificate","East Germany","6","","",""
"Acclaimed","1993","(2c_voc) vocational maturity certificate","West Germany","94","0.465511776345921","0.397395815478582","0.53362773721326"
"Acclaimed","1993","(2c_voc) vocational maturity certificate","East Germany","17","","",""
"Acclaimed","1993","(3a) lower tertiary education","West Germany","48","0.374466925942239","0.293717318594946","0.455216533289531"
"Acclaimed","1993","(3a) lower tertiary education","East Germany","158","0.485900043683259","0.431975264719451","0.539824822647068"
"Acclaimed","1993","(3b) higher tertiary education","West Germany","54","0.214887654475958","0.165527227391699","0.264248081560217"
"Acclaimed","1993","(3b) higher tertiary education","East Germany","49","0.258088881759414","0.193805505638896","0.322372257879932"
"Partly, partly","1993","(0) in school","West Germany","","","",""
"Partly, partly","1993","(0) in school","East Germany","","","",""
"Partly, partly","1993","(1a) inadequately completed","West Germany","34","0.19280449588191","0.134018621135971","0.251590370627848"
"Partly, partly","1993","(1a) inadequately completed","East Germany","2","","",""
"Partly, partly","1993","(1b) general elementary school","West Germany","72","0.121115833897083","0.0934436302874313","0.148788037506735"
"Partly, partly","1993","(1b) general elementary school","East Germany","4","","",""
"Partly, partly","1993","(1c) basic vocational qualification","West Germany","222","0.16443867932474","0.144273508811416","0.184603849838063"
"Partly, partly","1993","(1c) basic vocational qualification","East Germany","66","0.213355902369692","0.168114684304944","0.258597120434439"
"Partly, partly","1993","(2b) intermediate general qualification","West Germany","21","","",""
"Partly, partly","1993","(2b) intermediate general qualification","East Germany","6","","",""
"Partly, partly","1993","(2a) intermediate vocational","West Germany","118","0.166009732090551","0.138717047840983","0.19330241634012"
"Partly, partly","1993","(2a) intermediate vocational","East Germany","137","0.199427945722805","0.169483708062394","0.229372183383217"
"Partly, partly","1993","(2c_gen) general maturity certificate","West Germany","15","","",""
"Partly, partly","1993","(2c_gen) general maturity certificate","East Germany","3","","",""
"Partly, partly","1993","(2c_voc) vocational maturity certificate","West Germany","37","0.169005649283724","0.117829909734912","0.220181388832535"
"Partly, partly","1993","(2c_voc) vocational maturity certificate","East Germany","4","","",""
"Partly, partly","1993","(3a) lower tertiary education","West Germany","32","0.189089489203496","0.123757074972996","0.254421903433995"
"Partly, partly","1993","(3a) lower tertiary education","East Germany","47","0.125748436045069","0.089975002471564","0.161521869618574"
"Partly, partly","1993","(3b) higher tertiary education","West Germany","45","0.167904785487311","0.122986277533438","0.212823293441183"
"Partly, partly","1993","(3b) higher tertiary education","East Germany","21","","",""
"Paid","1993","(0) in school","West Germany","","","",""
"Paid","1993","(0) in school","East Germany","","","",""
"Paid","1993","(1a) inadequately completed","West Germany","107","0.613530582383635","0.540970007708697","0.686091157058572"
"Paid","1993","(1a) inadequately completed","East Germany","2","","",""
"Paid","1993","(1b) general elementary school","West Germany","313","0.557933696401864","0.51581135882815","0.600056033975578"
"Paid","1993","(1b) general elementary school","East Germany","8","","",""
"Paid","1993","(1c) basic vocational qualification","West Germany","568","0.414289583806797","0.387491470090639","0.441087697522955"
"Paid","1993","(1c) basic vocational qualification","East Germany","105","0.323888324513697","0.272211040751473","0.375565608275921"
"Paid","1993","(2b) intermediate general qualification","West Germany","28","","",""
"Paid","1993","(2b) intermediate general qualification","East Germany","15","","",""
"Paid","1993","(2a) intermediate vocational","West Germany","159","0.223218912199718","0.192675763926291","0.253762060473144"
"Paid","1993","(2a) intermediate vocational","East Germany","247","0.365100060433588","0.329019054638253","0.401181066228923"
"Paid","1993","(2c_gen) general maturity certificate","West Germany","34","0.322164277775447","0.226674892988976","0.417653662561918"
"Paid","1993","(2c_gen) general maturity certificate","East Germany","1","","",""
"Paid","1993","(2c_voc) vocational maturity certificate","West Germany","43","0.181382424240052","0.128762209721985","0.234002638758119"
"Paid","1993","(2c_voc) vocational maturity certificate","East Germany","2","","",""
"Paid","1993","(3a) lower tertiary education","West Germany","19","","",""
"Paid","1993","(3a) lower tertiary education","East Germany","34","0.0996012165441834","0.0672909238421101","0.131911509246257"
"Paid","1993","(3b) higher tertiary education","West Germany","29","","",""
"Paid","1993","(3b) higher tertiary education","East Germany","13","","",""
"Not paid","1993","(0) in school","West Germany","","","",""
"Not paid","1993","(0) in school","East Germany","","","",""
"Not paid","1993","(1a) inadequately completed","West Germany","4","","",""
"Not paid","1993","(1a) inadequately completed","East Germany","1","","",""
"Not paid","1993","(1b) general elementary school","West Germany","38","0.0765822339429835","0.0540273503073192","0.0991371175786478"
"Not paid","1993","(1b) general elementary school","East Germany","2","","",""
"Not paid","1993","(1c) basic vocational qualification","West Germany","112","0.103314612328162","0.0867564679043954","0.11987275675193"
"Not paid","1993","(1c) basic vocational qualification","East Germany","25","","",""
"Not paid","1993","(2b) intermediate general qualification","West Germany","16","","",""
"Not paid","1993","(2b) intermediate general qualification","East Germany","4","","",""
"Not paid","1993","(2a) intermediate vocational","West Germany","111","0.176361249268175","0.148405640500257","0.204316858036094"
"Not paid","1993","(2a) intermediate vocational","East Germany","59","0.0880952099210394","0.0668544066767766","0.109336013165302"
"Not paid","1993","(2c_gen) general maturity certificate","West Germany","14","","",""
"Not paid","1993","(2c_gen) general maturity certificate","East Germany","4","","",""
"Not paid","1993","(2c_voc) vocational maturity certificate","West Germany","32","0.184100150130303","0.131175258335448","0.237025041925157"
"Not paid","1993","(2c_voc) vocational maturity certificate","East Germany","14","","",""
"Not paid","1993","(3a) lower tertiary education","West Germany","39","0.268006463887741","0.194108103071657","0.341904824703825"
"Not paid","1993","(3a) lower tertiary education","East Germany","91","0.288750303727488","0.239855422791522","0.337645184663455"
"Not paid","1993","(3b) higher tertiary education","West Germany","138","0.521296213934432","0.461264189484534","0.581328238384331"
"Not paid","1993","(3b) higher tertiary education","East Germany","95","0.560096889105137","0.487176632756609","0.633017145453665"
"Acclaimed","1994","(0) in school","West Germany","","","",""
"Acclaimed","1994","(0) in school","East Germany","","","",""
"Acclaimed","1994","(1a) inadequately completed","West Germany","26","","",""
"Acclaimed","1994","(1a) inadequately completed","East Germany","6","","",""
"Acclaimed","1994","(1b) general elementary school","West Germany","109","0.263585169098662","0.223191645469461","0.303978692727862"
"Acclaimed","1994","(1b) general elementary school","East Germany","6","","",""
"Acclaimed","1994","(1c) basic vocational qualification","West Germany","460","0.363083541559608","0.336882082867632","0.389285000251583"
"Acclaimed","1994","(1c) basic vocational qualification","East Germany","118","0.382557144688683","0.328191386797465","0.4369229025799"
"Acclaimed","1994","(2b) intermediate general qualification","West Germany","52","0.471921204564244","0.379877735274253","0.563964673854236"
"Acclaimed","1994","(2b) intermediate general qualification","East Germany","28","","",""
"Acclaimed","1994","(2a) intermediate vocational","West Germany","339","0.458837794024868","0.422439991569013","0.495235596480722"
"Acclaimed","1994","(2a) intermediate vocational","East Germany","257","0.354994933705315","0.319239132635062","0.390750734775568"
"Acclaimed","1994","(2c_gen) general maturity certificate","West Germany","31","0.421257429668509","0.316901924071426","0.525612935265592"
"Acclaimed","1994","(2c_gen) general maturity certificate","East Germany","9","","",""
"Acclaimed","1994","(2c_voc) vocational maturity certificate","West Germany","102","0.460741356034639","0.394421224357354","0.527061487711924"
"Acclaimed","1994","(2c_voc) vocational maturity certificate","East Germany","19","","",""
"Acclaimed","1994","(3a) lower tertiary education","West Germany","59","0.348068551083136","0.275384440997644","0.420752661168628"
"Acclaimed","1994","(3a) lower tertiary education","East Germany","148","0.46104369815243","0.405373783557945","0.516713612746914"
"Acclaimed","1994","(3b) higher tertiary education","West Germany","64","0.25940081596245","0.206628951591002","0.312172680333897"
"Acclaimed","1994","(3b) higher tertiary education","East Germany","45","0.218099817165452","0.158912235463089","0.277287398867814"
"Partly, partly","1994","(0) in school","West Germany","","","",""
"Partly, partly","1994","(0) in school","East Germany","","","",""
"Partly, partly","1994","(1a) inadequately completed","West Germany","17","","",""
"Partly, partly","1994","(1a) inadequately completed","East Germany","","","",""
"Partly, partly","1994","(1b) general elementary school","West Germany","61","0.144609523973497","0.112363910450519","0.176855137496476"
"Partly, partly","1994","(1b) general elementary school","East Germany","3","","",""
"Partly, partly","1994","(1c) basic vocational qualification","West Germany","241","0.176537329271111","0.155763278573409","0.197311379968813"
"Partly, partly","1994","(1c) basic vocational qualification","East Germany","52","0.174166269816361","0.131742697382282","0.21658984225044"
"Partly, partly","1994","(2b) intermediate general qualification","West Germany","23","","",""
"Partly, partly","1994","(2b) intermediate general qualification","East Germany","8","","",""
"Partly, partly","1994","(2a) intermediate vocational","West Germany","136","0.180059693467204","0.151993648673923","0.208125738260484"
"Partly, partly","1994","(2a) intermediate vocational","East Germany","140","0.215128250373066","0.184423756479521","0.245832744266612"
"Partly, partly","1994","(2c_gen) general maturity certificate","West Germany","11","","",""
"Partly, partly","1994","(2c_gen) general maturity certificate","East Germany","2","","",""
"Partly, partly","1994","(2c_voc) vocational maturity certificate","West Germany","38","0.145572712573268","0.0986486325998991","0.192496792546636"
"Partly, partly","1994","(2c_voc) vocational maturity certificate","East Germany","9","","",""
"Partly, partly","1994","(3a) lower tertiary education","West Germany","36","0.244812566327489","0.179205540611349","0.310419592043629"
"Partly, partly","1994","(3a) lower tertiary education","East Germany","46","0.173630274950687","0.131327129725321","0.215933420176053"
"Partly, partly","1994","(3b) higher tertiary education","West Germany","33","0.0991922486869336","0.0632023951518861","0.135182102221981"
"Partly, partly","1994","(3b) higher tertiary education","East Germany","30","0.126020756253278","0.0784545091335256","0.173587003373031"
"Paid","1994","(0) in school","West Germany","2","","",""
"Paid","1994","(0) in school","East Germany","","","",""
"Paid","1994","(1a) inadequately completed","West Germany","89","0.658238610370295","0.57881658052012","0.73766064022047"
"Paid","1994","(1a) inadequately completed","East Germany","3","","",""
"Paid","1994","(1b) general elementary school","West Germany","261","0.541029069666426","0.495342044452466","0.586716094880386"
"Paid","1994","(1b) general elementary school","East Germany","4","","",""
"Paid","1994","(1c) basic vocational qualification","West Germany","505","0.373418923574538","0.34706363648034","0.399774210668737"
"Paid","1994","(1c) basic vocational qualification","East Germany","98","0.320676441551588","0.268466793083955","0.372886090019221"
"Paid","1994","(2b) intermediate general qualification","West Germany","24","","",""
"Paid","1994","(2b) intermediate general qualification","East Germany","13","","",""
"Paid","1994","(2a) intermediate vocational","West Germany","148","0.202966708439398","0.173588014954465","0.232345401924332"
"Paid","1994","(2a) intermediate vocational","East Germany","221","0.340255880604122","0.304852522684165","0.375659238524079"
"Paid","1994","(2c_gen) general maturity certificate","West Germany","34","0.296850888953346","0.200292111527949","0.393409666378743"
"Paid","1994","(2c_gen) general maturity certificate","East Germany","1","","",""
"Paid","1994","(2c_voc) vocational maturity certificate","West Germany","40","0.187367497862044","0.135450156219097","0.239284839504991"
"Paid","1994","(2c_voc) vocational maturity certificate","East Germany","6","","",""
"Paid","1994","(3a) lower tertiary education","West Germany","23","","",""
"Paid","1994","(3a) lower tertiary education","East Germany","24","","",""
"Paid","1994","(3b) higher tertiary education","West Germany","27","","",""
"Paid","1994","(3b) higher tertiary education","East Germany","10","","",""
"Not paid","1994","(0) in school","West Germany","1","","",""
"Not paid","1994","(0) in school","East Germany","","","",""
"Not paid","1994","(1a) inadequately completed","West Germany","5","","",""
"Not paid","1994","(1a) inadequately completed","East Germany","1","","",""
"Not paid","1994","(1b) general elementary school","West Germany","26","","",""
"Not paid","1994","(1b) general elementary school","East Germany","6","","",""
"Not paid","1994","(1c) basic vocational qualification","West Germany","88","0.0869602055947433","0.0716074588834702","0.102312952306016"
"Not paid","1994","(1c) basic vocational qualification","East Germany","39","0.122600143943368","0.0859122169867952","0.159288070899941"
"Not paid","1994","(2b) intermediate general qualification","West Germany","14","","",""
"Not paid","1994","(2b) intermediate general qualification","East Germany","8","","",""
"Not paid","1994","(2a) intermediate vocational","West Germany","97","0.15813580406853","0.131484530441812","0.184787077695249"
"Not paid","1994","(2a) intermediate vocational","East Germany","70","0.0896209353174964","0.0682772337959278","0.110964636839065"
"Not paid","1994","(2c_gen) general maturity certificate","West Germany","10","","",""
"Not paid","1994","(2c_gen) general maturity certificate","East Germany","1","","",""
"Not paid","1994","(2c_voc) vocational maturity certificate","West Germany","37","0.206318433530049","0.152477772058542","0.260159095001556"
"Not paid","1994","(2c_voc) vocational maturity certificate","East Germany","5","","",""
"Not paid","1994","(3a) lower tertiary education","West Germany","47","0.289091346309716","0.219919309304628","0.358263383314805"
"Not paid","1994","(3a) lower tertiary education","East Germany","90","0.273300039691511","0.223529752315424","0.323070327067597"
"Not paid","1994","(3b) higher tertiary education","West Germany","141","0.548539452310577","0.488623979558461","0.608454925062692"
"Not paid","1994","(3b) higher tertiary education","East Germany","102","0.595017286018677","0.524659798493939","0.665374773543415"
"Acclaimed","1995","(0) in school","West Germany","","","",""
"Acclaimed","1995","(0) in school","East Germany","","","",""
"Acclaimed","1995","(1a) inadequately completed","West Germany","28","","",""
"Acclaimed","1995","(1a) inadequately completed","East Germany","5","","",""
"Acclaimed","1995","(1b) general elementary school","West Germany","110","0.271441554414188","0.231617020694577","0.3112660881338"
"Acclaimed","1995","(1b) general elementary school","East Germany","5","","",""
"Acclaimed","1995","(1c) basic vocational qualification","West Germany","455","0.354898367150772","0.329421588454637","0.380375145846906"
"Acclaimed","1995","(1c) basic vocational qualification","East Germany","113","0.387778861984628","0.331011188049489","0.444546535919768"
"Acclaimed","1995","(2b) intermediate general qualification","West Germany","48","0.467668955016476","0.372683889565267","0.562654020467684"
"Acclaimed","1995","(2b) intermediate general qualification","East Germany","36","0.579789925893515","0.454896083120417","0.704683768666612"
"Acclaimed","1995","(2a) intermediate vocational","West Germany","374","0.45187623004568","0.417687343657353","0.486065116434007"
"Acclaimed","1995","(2a) intermediate vocational","East Germany","271","0.370895402545402","0.335111621687265","0.406679183403539"
"Acclaimed","1995","(2c_gen) general maturity certificate","West Germany","44","0.449438518955449","0.352903238580118","0.54597379933078"
"Acclaimed","1995","(2c_gen) general maturity certificate","East Germany","11","","",""
"Acclaimed","1995","(2c_voc) vocational maturity certificate","West Germany","116","0.43671540265636","0.376999727520661","0.496431077792058"
"Acclaimed","1995","(2c_voc) vocational maturity certificate","East Germany","22","","",""
"Acclaimed","1995","(3a) lower tertiary education","West Germany","69","0.383362944098566","0.312725939807356","0.453999948389776"
"Acclaimed","1995","(3a) lower tertiary education","East Germany","154","0.463610576248179","0.408628476652518","0.518592675843841"
"Acclaimed","1995","(3b) higher tertiary education","West Germany","86","0.260093363081722","0.212618440438768","0.307568285724676"
"Acclaimed","1995","(3b) higher tertiary education","East Germany","50","0.26660116523611","0.201642181885799","0.331560148586422"
"Partly, partly","1995","(0) in school","West Germany","","","",""
"Partly, partly","1995","(0) in school","East Germany","","","",""
"Partly, partly","1995","(1a) inadequately completed","West Germany","21","","",""
"Partly, partly","1995","(1a) inadequately completed","East Germany","1","","",""
"Partly, partly","1995","(1b) general elementary school","West Germany","60","0.115873806090226","0.0872102480225367","0.144537364157915"
"Partly, partly","1995","(1b) general elementary school","East Germany","1","","",""
"Partly, partly","1995","(1c) basic vocational qualification","West Germany","247","0.185089033825736","0.164410303542583","0.20576776410889"
"Partly, partly","1995","(1c) basic vocational qualification","East Germany","52","0.180481570016073","0.135674074935773","0.225289065096373"
"Partly, partly","1995","(2b) intermediate general qualification","West Germany","18","","",""
"Partly, partly","1995","(2b) intermediate general qualification","East Germany","11","","",""
"Partly, partly","1995","(2a) intermediate vocational","West Germany","160","0.197674652596361","0.170316508220541","0.225032796972182"
"Partly, partly","1995","(2a) intermediate vocational","East Germany","153","0.218635568558756","0.188016900255601","0.249254236861911"
"Partly, partly","1995","(2c_gen) general maturity certificate","West Germany","14","","",""
"Partly, partly","1995","(2c_gen) general maturity certificate","East Germany","3","","",""
"Partly, partly","1995","(2c_voc) vocational maturity certificate","West Germany","51","0.17840540335941","0.132309965668498","0.224500841050322"
"Partly, partly","1995","(2c_voc) vocational maturity certificate","East Germany","12","","",""
"Partly, partly","1995","(3a) lower tertiary education","West Germany","38","0.185615362200119","0.129130230983875","0.242100493416364"
"Partly, partly","1995","(3a) lower tertiary education","East Germany","48","0.170455921001499","0.128995822513523","0.211916019489474"
"Partly, partly","1995","(3b) higher tertiary education","West Germany","44","0.132002809712608","0.0953707012395168","0.168634918185699"
"Partly, partly","1995","(3b) higher tertiary education","East Germany","33","0.153798639614694","0.100801650563018","0.20679562866637"
"Paid","1995","(0) in school","West Germany","1","","",""
"Paid","1995","(0) in school","East Germany","","","",""
"Paid","1995","(1a) inadequately completed","West Germany","87","0.637599526095992","0.558256838757437","0.716942213434546"
"Paid","1995","(1a) inadequately completed","East Germany","2","","",""
"Paid","1995","(1b) general elementary school","West Germany","277","0.549211544820154","0.504652429905081","0.593770659735226"
"Paid","1995","(1b) general elementary school","East Germany","12","","",""
"Paid","1995","(1c) basic vocational qualification","West Germany","550","0.374700728025266","0.348927745850384","0.400473710200147"
"Paid","1995","(1c) basic vocational qualification","East Germany","89","0.323453300235238","0.268951662021619","0.377954938448858"
"Paid","1995","(2b) intermediate general qualification","West Germany","25","","",""
"Paid","1995","(2b) intermediate general qualification","East Germany","8","","",""
"Paid","1995","(2a) intermediate vocational","West Germany","180","0.210349307458517","0.182351505185143","0.238347109731891"
"Paid","1995","(2a) intermediate vocational","East Germany","212","0.315686717949066","0.281255315649885","0.350118120248247"
"Paid","1995","(2c_gen) general maturity certificate","West Germany","30","0.194661598421463","0.117823368463284","0.271499828379643"
"Paid","1995","(2c_gen) general maturity certificate","East Germany","3","","",""
"Paid","1995","(2c_voc) vocational maturity certificate","West Germany","59","0.228806438343023","0.178230846685586","0.279382030000461"
"Paid","1995","(2c_voc) vocational maturity certificate","East Germany","3","","",""
"Paid","1995","(3a) lower tertiary education","West Germany","18","","",""
"Paid","1995","(3a) lower tertiary education","East Germany","29","","",""
"Paid","1995","(3b) higher tertiary education","West Germany","34","0.0991642269671486","0.0668189036543577","0.13150955027994"
"Paid","1995","(3b) higher tertiary education","East Germany","10","","",""
"Not paid","1995","(0) in school","West Germany","","","",""
"Not paid","1995","(0) in school","East Germany","","","",""
"Not paid","1995","(1a) inadequately completed","West Germany","5","","",""
"Not paid","1995","(1a) inadequately completed","East Germany","","","",""
"Not paid","1995","(1b) general elementary school","West Germany","32","0.0634730946754323","0.0416389944146605","0.085307194936204"
"Not paid","1995","(1b) general elementary school","East Germany","4","","",""
"Not paid","1995","(1c) basic vocational qualification","West Germany","103","0.0853118709982263","0.0704381476907709","0.100185594305682"
"Not paid","1995","(1c) basic vocational qualification","East Germany","29","","",""
"Not paid","1995","(2b) intermediate general qualification","West Germany","15","","",""
"Not paid","1995","(2b) intermediate general qualification","East Germany","5","","",""
"Not paid","1995","(2a) intermediate vocational","West Germany","100","0.140099809899442","0.116255833458497","0.163943786340386"
"Not paid","1995","(2a) intermediate vocational","East Germany","64","0.0947823109467764","0.0730833352367231","0.11648128665683"
"Not paid","1995","(2c_gen) general maturity certificate","West Germany","14","","",""
"Not paid","1995","(2c_gen) general maturity certificate","East Germany","2","","",""
"Not paid","1995","(2c_voc) vocational maturity certificate","West Germany","39","0.156072755641207","0.112376803519208","0.199768707763206"
"Not paid","1995","(2c_voc) vocational maturity certificate","East Germany","5","","",""
"Not paid","1995","(3a) lower tertiary education","West Germany","57","0.344858482722288","0.275802642365381","0.413914323079195"
"Not paid","1995","(3a) lower tertiary education","East Germany","85","0.258235719535895","0.209980347870336","0.306491091201455"
"Not paid","1995","(3b) higher tertiary education","West Germany","164","0.508739600238521","0.454637413382993","0.56284178709405"
"Not paid","1995","(3b) higher tertiary education","East Germany","85","0.534305925121794","0.461026265875828","0.60758558436776"
"Acclaimed","1996","(0) in school","West Germany","1","","",""
"Acclaimed","1996","(0) in school","East Germany","","","",""
"Acclaimed","1996","(1a) inadequately completed","West Germany","43","0.356743100425121","0.274396356262243","0.439089844587999"
"Acclaimed","1996","(1a) inadequately completed","East Germany","5","","",""
"Acclaimed","1996","(1b) general elementary school","West Germany","124","0.327204307892928","0.281621403468323","0.372787212317534"
"Acclaimed","1996","(1b) general elementary school","East Germany","5","","",""
"Acclaimed","1996","(1c) basic vocational qualification","West Germany","505","0.402123984596818","0.375692721492146","0.42855524770149"
"Acclaimed","1996","(1c) basic vocational qualification","East Germany","106","0.389763926239208","0.329549912139871","0.449977940338546"
"Acclaimed","1996","(2b) intermediate general qualification","West Germany","62","0.554251978819629","0.462199090926049","0.64630486671321"
"Acclaimed","1996","(2b) intermediate general qualification","East Germany","34","0.468399733999594","0.345180435787169","0.591619032212018"
"Acclaimed","1996","(2a) intermediate vocational","West Germany","406","0.501500882445779","0.466875077304655","0.536126687586903"
"Acclaimed","1996","(2a) intermediate vocational","East Germany","274","0.391452119317542","0.354794754933671","0.428109483701413"
"Acclaimed","1996","(2c_gen) general maturity certificate","West Germany","37","0.341884428087686","0.252007763739019","0.431761092436354"
"Acclaimed","1996","(2c_gen) general maturity certificate","East Germany","9","","",""
"Acclaimed","1996","(2c_voc) vocational maturity certificate","West Germany","125","0.48397293484694","0.422514993211645","0.545430876482235"
"Acclaimed","1996","(2c_voc) vocational maturity certificate","East Germany","30","0.51572111973066","0.379889261370117","0.651552978091203"
"Acclaimed","1996","(3a) lower tertiary education","West Germany","97","0.490502343394397","0.420516259335475","0.560488427453318"
"Acclaimed","1996","(3a) lower tertiary education","East Germany","151","0.508337889663479","0.451671948266593","0.565003831060366"
"Acclaimed","1996","(3b) higher tertiary education","West Germany","83","0.226356606893677","0.180434717564476","0.272278496222878"
"Acclaimed","1996","(3b) higher tertiary education","East Germany","54","0.275448990213101","0.209070320853122","0.34182765957308"
"Partly, partly","1996","(0) in school","West Germany","","","",""
"Partly, partly","1996","(0) in school","East Germany","","","",""
"Partly, partly","1996","(1a) inadequately completed","West Germany","15","","",""
"Partly, partly","1996","(1a) inadequately completed","East Germany","3","","",""
