"ple0053","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","2016","Not Employed","Urban Area","4304","0.799308510026205","0.788529769178191","0.810087250874219","2"
"No","2016","Not Employed","Rural Area","2252","0.802688890887976","0.787997938602223","0.817379843173729","2"
"No","2016","Employed","Urban Area","9569","0.905785633477334","0.90022524684528","0.911346020109388","2"
"Yes","2016","Not Employed","Rural Area","567","0.197311109112024","0.182620156826271","0.212002061397777","1"
"Yes","2016","Employed","Rural Area","619","0.110292866194241","0.102041092703687","0.118544639684794","1"
"Yes","2016","Not Employed","Urban Area","1000","0.200691489973795","0.189912749125781","0.211470230821809","1"
"Yes","2016","Employed","Urban Area","1034","0.094214366522666","0.0886539798906117","0.0997747531547203","1"
"No","2017","Employed","Rural Area","5658","0.889638808332626","0.881924677077159","0.897352939588093","2"
"No","2017","Not Employed","Urban Area","4337","0.79192137003807","0.781127355227105","0.802715384849034","2"
"No","2017","Not Employed","Rural Area","2425","0.775585445946304","0.760806047382736","0.790364844509871","2"
"No","2017","Employed","Urban Area","10538","0.899680178890106","0.894241841350434","0.905118516429778","2"
"Yes","2017","Not Employed","Rural Area","636","0.224414554053696","0.209635155490129","0.239193952617264","1"
"Yes","2017","Employed","Rural Area","680","0.110361191667374","0.102647060411907","0.118075322922841","1"
"Yes","2017","Not Employed","Urban Area","1096","0.20807862996193","0.197284615150966","0.218872644772895","1"
"Yes","2017","Employed","Urban Area","1185","0.100319821109894","0.0948814835702225","0.105758158649566","1"
"No","2018","Not Employed","Urban Area","4269","0.797263635459828","0.786448064799766","0.808079206119891","2"
"No","2018","Not Employed","Rural Area","2301","0.786060336089638","0.771132475199842","0.800988196979434","2"
"No","2018","Employed","Urban Area","10202","0.89625825970299","0.890646284209286","0.901870235196695","2"
"No","2018","Employed","Rural Area","5446","0.885787701168511","0.877818236971446","0.893757165365575","2"
"Yes","2018","Not Employed","Rural Area","598","0.213939663910362","0.199011803020566","0.228867524800158","1"
"Yes","2018","Employed","Rural Area","673","0.114212298831489","0.106242834634425","0.122181763028554","1"
"Yes","2018","Not Employed","Urban Area","1039","0.202736364540172","0.191920793880109","0.213551935200234","1"
"Yes","2018","Employed","Urban Area","1139","0.10374174029701","0.0981297648033054","0.109353715790714","1"
"No","2019","Not Employed","Urban Area","3899","0.801858117372148","0.790553578813854","0.813162655930442","2"
"No","2019","Not Employed","Rural Area","2269","0.775228173977253","0.759916215401459","0.790540132553047","2"
"No","2019","Employed","Urban Area","9533","0.897766806231707","0.892017911932695","0.903515700530719","2"
"No","2019","Employed","Rural Area","5371","0.894962413259179","0.887210270627797","0.902714555890561","2"
"Yes","2019","Not Employed","Rural Area","586","0.224771826022747","0.209459867446953","0.240083784598541","1"
"Yes","2019","Employed","Rural Area","638","0.105037586740821","0.0972854441094388","0.112789729372203","1"
"Yes","2019","Not Employed","Urban Area","877","0.198141882627852","0.186837344069558","0.209446421186146","1"
"Yes","2019","Employed","Urban Area","1135","0.102233193768294","0.0964842994692816","0.107982088067305","1"
