"year","migback","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1992","indirect migration background","middle vocational","4.51","1.77","123","0","0","4.42","12.32","45.1","2.61","6.41","0","48.01","1.07088041305542","3.12722826004028"
"1992","indirect migration background","vocational + Abi","","","","","","","","","","","","","",""
"1992","no migration background","general elemantary","5.68","0","1813","0","0","3.44","15.25","93.21","5","6.36","0","100","0","0.851996779441833"
"1992","no migration background","higher education","5.22","0.97","1525","0","0","4.47","14.54","60.19","4.62","5.82","0","96.82","1.70359647274017","2.19688367843628"
"1992","no migration background","higher vocational","4.94","0","700","0","0","3.41","13.92","89.14","4.17","5.71","0","92.73","0.777549803256989","1.39513742923737"
"1992","no migration background","in school","4.84","1.85","125","0.58","1.15","3.79","10.25","59.47","2.91","6.77","0","79.21","1.85735511779785","3.04778742790222"
"1992","no migration background","inadequately","13.92","3.51","88","0","0","16.88","55.66","100","9.47","18.37","0","100","1.70073676109314","4.98189544677734"
"1992","no migration background","middle vocational","5.7","0","5777","0","0","4.41","17.05","86.99","5.35","6.05","0","100","1.16557192802429","1.35129189491272"
"1992","no migration background","vocational + Abi","5.52","0","277","0","0","5.09","17.6","66.37","3.66","7.38","0","100","0.525829017162323","2.11621952056885"
"1993","direct migration background","general elemantary","8.74","1.61","790","0","0","8.86","25.63","81.73","7.58","9.9","0","100","2.29044318199158","2.89957857131958"
"1993","direct migration background","higher education","3.76","0.95","132","0","0","5.1","11.48","28.71","2.26","5.26","0","60.74","0.487129122018814","1.96924483776093"
"1993","direct migration background","higher vocational","3.1","0","58","0","0","2.28","5.8","79.94","-1.63","7.83","0","100","0","1.98795175552368"
"1993","direct migration background","in school","","","","","","","","","","","","","",""
"1993","direct migration background","inadequately","10.78","2.79","506","0","0","9.65","33.53","100","9.05","12.51","0","100","2.53915691375732","3.62447261810303"
"1993","direct migration background","middle vocational","5.24","0.55","844","0","0","4.07","13.85","87.78","4.21","6.27","0","100","1.40316092967987","2.05048203468323"
"1993","direct migration background","vocational + Abi","16.04","4.24","96","0","0.69","14.97","64.05","100","11.26","20.82","0","100","2.36389684677124","7.35346984863281"
"1993","indirect migration background","general elemantary","11.16","3.43","198","0","1.19","14.26","28.82","91.71","8.34","13.98","0","100","2.45976758003235","4.85232067108154"
"1993","indirect migration background","higher education","","","","","","","","","","","","","",""
"1993","indirect migration background","higher vocational","","","","","","","","","","","","","",""
"1993","indirect migration background","in school","5.98","3.65","47","1.56","1.91","5.74","12.55","23.71","1.84","10.12","1.38","72.62","3.17243409156799","5.52612066268921"
"1993","indirect migration background","inadequately","","","","","","","","","","","","","",""
"1993","indirect migration background","middle vocational","4.27","1.43","150","0","0","3.19","13.29","44.2","2.34","6.2","0","81.9","0","1.84199225902557"
"1993","indirect migration background","vocational + Abi","","","","","","","","","","","","","",""
"1993","no migration background","general elemantary","6.1","0","1718","0","0","3.75","17.05","88.7","5.34","6.86","0","100","0","0.751721620559692"
"1993","no migration background","higher education","5.56","1.1","1503","0","0","4.7","14.8","63.54","4.87","6.25","0","100","1.92690336704254","2.482013463974"
"1993","no migration background","higher vocational","4.45","0","681","0","0","3.4","15.54","46.11","3.69","5.21","0","91.03","1.02848100662231","1.69172072410583"
"1993","no migration background","in school","7.05","2.98","128","0.98","1.28","7.58","19.21","46.02","4.92","9.18","0","64.47","3.05577325820923","5.57547760009766"
