"year","hgtyp1hh","pgcasmin","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","Couple + C. GT 16 ","(3b) higher tertiary education","3.99","4","71","2","3","5","5","5","3.74","4.24","2","5","4","4"
"1985","Couple + C. LE 16","(0) in school","","","","","","","","","","","","","",""
"1985","Couple + C. LE 16","(1a) inadequately completed","4.62","5","280","4","4","5","5","5","4.53","4.71","2","5","5","5"
"1985","Couple + C. LE 16","(1b) general elementary school","4.34","4.34","515","3","4","5","5","5","4.27","4.41","2","5","4","5"
"1985","Couple + C. LE 16","(1c) basic vocational qualification","4.18","4","1011","3","4","5","5","5","4.13","4.23","2","5","4","4"
"1985","Couple + C. LE 16","(2a) intermediate vocational","4.05","4","365","3","4","5","5","5","3.97","4.13","2","5","4","4"
"1985","Couple + C. LE 16","(2b) intermediate general qualification","3.95","4","36","3","4","5","5","5","3.66","4.24","2","5","4","4"
"1985","Couple + C. LE 16","(2c_gen) general maturity certificate","4.24","4","47","3","4","5","5","5","4.03","4.45","2","5","4","5"
"1985","Couple + C. LE 16","(2c_voc) vocational maturity certificate","4.2","4","109","3","4","5","5","5","4.02","4.38","2","5","4","5"
"1985","Couple + C. LE 16","(3a) lower tertiary education","3.99","4","73","3","4","5","5","5","3.8","4.18","2","5","4","4"
"1985","Couple + C. LE 16","(3b) higher tertiary education","4.06","4","170","3","4","5","5","5","3.94","4.18","2","5","4","4"
"1985","Couple + C. LE and GT 16","(0) in school","3.12","3","79","2","2","4","4","5","2.89","3.35","2","5","3","3"
"1985","Couple + C. LE and GT 16","(1a) inadequately completed","4.39","5","208","2","4","5","5","5","4.28","4.5","2","5","5","5"
"1985","Couple + C. LE and GT 16","(1b) general elementary school","3.96","4","391","2","3","5","5","5","3.85","4.07","2","5","4","5"
"1985","Couple + C. LE and GT 16","(1c) basic vocational qualification","4.04","4","435","2","4","5","5","5","3.95","4.13","2","5","4","4"
"1985","Couple + C. LE and GT 16","(2a) intermediate vocational","3.67","4","103","2","3","4","5","5","3.47","3.87","2","5","4","4"
"1985","Couple + C. LE and GT 16","(2b) intermediate general qualification","3.07","3","117","2","2","4","4","5","2.89","3.25","2","5","3","3"
"1985","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","3.21","3","46","2","3","4","5","5","2.9","3.52","2","5","3","4"
"1985","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"1985","Couple + C. LE and GT 16","(3a) lower tertiary education","","","","","","","","","","","","","",""
"1985","Couple + C. LE and GT 16","(3b) higher tertiary education","3.91","4","32","3","4","4","5","5","3.6","4.22","2","5","4","4"
"1985","Single parent","(0) in school","","","","","","","","","","","","","",""
"1985","Single parent","(1a) inadequately completed","4.11","5","37","2","3","5","5","5","3.8","4.42","2","5","5","5"
"1985","Single parent","(1b) general elementary school","4.17","5","152","2","4","5","5","5","4","4.34","2","5","4","5"
"1985","Single parent","(1c) basic vocational qualification","4.06","4","165","3","3","5","5","5","3.91","4.21","2","5","4","4"
"1985","Single parent","(2a) intermediate vocational","3.96","4","54","2","3","5","5","5","3.69","4.23","2","5","4","4"
"1985","Single parent","(2b) intermediate general qualification","3.18","3","46","2","2","4","5","5","2.89","3.47","2","5","3","4"
"1985","Single parent","(2c_gen) general maturity certificate","3.09","3","32","2","2","4","4","5","2.73","3.45","2","5","2","4"
"1985","Single parent","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"1985","Single parent","(3a) lower tertiary education","","","","","","","","","","","","","",""
"1985","Single parent","(3b) higher tertiary education","","","","","","","","","","","","","",""
"1986","(Married) couple without C.","(0) in school","","","","","","","","","","","","","",""
"1986","(Married) couple without C.","(1a) inadequately completed","4.55","5","96","4","4","5","5","5","4.41","4.69","3","5","5","5"
"1986","(Married) couple without C.","(1b) general elementary school","4.7","5","538","4","5","5","5","5","4.64","4.76","2","5","5","5"
"1986","(Married) couple without C.","(1c) basic vocational qualification","4.46","5","961","3","4","5","5","5","4.41","4.51","2","5","5","5"
"1986","(Married) couple without C.","(2a) intermediate vocational","4.12","4","350","3","4","5","5","5","4.02","4.22","2","5","4","4"
"1986","(Married) couple without C.","(2b) intermediate general qualification","4.3","5","46","3","3","5","5","5","4.05","4.55","3","5","4","5"
"1986","(Married) couple without C.","(2c_gen) general maturity certificate","3.61","4","48","2","3","4","5","5","3.34","3.88","2","5","3","4"
"1986","(Married) couple without C.","(2c_voc) vocational maturity certificate","4.12","4","111","3","4","5","5","5","3.94","4.3","2","5","4","4"
"1986","(Married) couple without C.","(3a) lower tertiary education","4.3","4","80","3","4","5","5","5","4.13","4.47","3","5","4","5"
"1986","(Married) couple without C.","(3b) higher tertiary education","4.02","4","111","3","4","5","5","5","3.84","4.2","2","5","4","4"
"1986","1-pers.-HH","(0) in school","","","","","","","","","","","","","",""
"1986","1-pers.-HH","(1a) inadequately completed","4.27","5","56","2","4","5","5","5","4.01","4.53","2","5","5","5"
"1986","1-pers.-HH","(1b) general elementary school","4.78","5","270","4","5","5","5","5","4.7","4.86","2","5","5","5"
"1986","1-pers.-HH","(1c) basic vocational qualification","4.38","5","340","3","4","5","5","5","4.28","4.48","2","5","5","5"
"1986","1-pers.-HH","(2a) intermediate vocational","4.18","5","172","3","3","5","5","5","4.02","4.34","2","5","4","5"
"1986","1-pers.-HH","(2b) intermediate general qualification","4.45","5","36","3","4","5","5","5","4.09","4.81","2","5","4","5"
"1986","1-pers.-HH","(2c_gen) general maturity certificate","3.35","3","58","2","3","4","5","5","3.09","3.61","2","5","3","3"
