"year","education","pgcasmin","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1996","lower secondary degree","(3b) higher tertiary education","","","","","","","","","","","","","",""
"1996","no degree/no degree yet","(0) in school","2.75","3","285","2","2","3","4","5","2.66","2.84","2","5","3","3"
"1996","no degree/no degree yet","(1a) inadequately completed","4.49","5","538","3","4","5","5","5","4.43","4.55","2","5","5","5"
"1996","no degree/no degree yet","(1b) general elementary school","","","","","","","","","","","","","",""
"1996","no degree/no degree yet","(1c) basic vocational qualification","","","","","","","","","","","","","",""
"1996","no degree/no degree yet","(2a) intermediate vocational","","","","","","","","","","","","","",""
"1996","no degree/no degree yet","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"1996","no degree/no degree yet","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"1996","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"1996","no degree/no degree yet","(3a) lower tertiary education","","","","","","","","","","","","","",""
"1996","no degree/no degree yet","(3b) higher tertiary education","","","","","","","","","","","","","",""
"1996","Other degree","(0) in school","","","","","","","","","","","","","",""
"1996","Other degree","(1a) inadequately completed","","","","","","","","","","","","","",""
"1996","Other degree","(1b) general elementary school","4.5","5","483","3","4","5","5","5","4.44","4.56","2","5","5","5"
"1996","Other degree","(1c) basic vocational qualification","4.33","5","357","3","4","5","5","5","4.24","4.42","2","5","4","5"
"1996","Other degree","(2a) intermediate vocational","","","","","","","","","","","","","",""
"1996","Other degree","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"1996","Other degree","(2c_gen) general maturity certificate","4.04","4","70","2","4","5","5","5","3.82","4.26","2","5","4","5"
"1996","Other degree","(2c_voc) vocational maturity certificate","4.19","4","104","3","4","5","5","5","4.03","4.35","2","5","4","5"
"1996","Other degree","(3a) lower tertiary education","","","","","","","","","","","","","",""
"1996","Other degree","(3b) higher tertiary education","3.98","4","74","3","3","5","5","5","3.77","4.19","2","5","4","4"
"1996","secondary school degree","(0) in school","","","","","","","","","","","","","",""
"1996","secondary school degree","(1a) inadequately completed","","","","","","","","","","","","","",""
"1996","secondary school degree","(1b) general elementary school","","","","","","","","","","","","","",""
"1996","secondary school degree","(1c) basic vocational qualification","","","","","","","","","","","","","",""
"1996","secondary school degree","(2a) intermediate vocational","3.85","4","2624","3","3","4","5","5","3.82","3.88","2","5","4","4"
"1996","secondary school degree","(2b) intermediate general qualification","3.55","4","467","2","3","4","5","5","3.46","3.64","2","5","3","4"
"1996","secondary school degree","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"1996","secondary school degree","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"1996","secondary school degree","(3a) lower tertiary education","4.04","4","428","3","4","4","5","5","3.98","4.1","2","5","4","4"
"1996","secondary school degree","(3b) higher tertiary education","4.21","4","50","4","4","5","5","5","3.98","4.44","2","5","4","4"
"1997","college entrance qualification","(0) in school","","","","","","","","","","","","","",""
"1997","college entrance qualification","(1a) inadequately completed","","","","","","","","","","","","","",""
"1997","college entrance qualification","(1b) general elementary school","","","","","","","","","","","","","",""
"1997","college entrance qualification","(1c) basic vocational qualification","","","","","","","","","","","","","",""
"1997","college entrance qualification","(2a) intermediate vocational","","","","","","","","","","","","","",""
"1997","college entrance qualification","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"1997","college entrance qualification","(2c_gen) general maturity certificate","3.09","3","362","2","2","4","4","5","3","3.18","2","5","3","3"
"1997","college entrance qualification","(2c_voc) vocational maturity certificate","3.64","4","487","2","3","4","5","5","3.56","3.72","2","5","4","4"
"1997","college entrance qualification","(3a) lower tertiary education","3.79","4","346","2","3","4","5","5","3.7","3.88","2","5","4","4"
"1997","college entrance qualification","(3b) higher tertiary education","3.91","4","739","3","3","4","5","5","3.85","3.97","2","5","4","4"
"1997","lower secondary degree","(0) in school","","","","","","","","","","","","","",""
"1997","lower secondary degree","(1a) inadequately completed","","","","","","","","","","","","","",""
"1997","lower secondary degree","(1b) general elementary school","4.45","5","1431","3","4","5","5","5","4.4","4.5","2","5","5","5"
"1997","lower secondary degree","(1c) basic vocational qualification","4.26","4","3531","3","4","5","5","5","4.23","4.29","2","5","4","4"
"1997","lower secondary degree","(2a) intermediate vocational","","","","","","","","","","","","","",""
"1997","lower secondary degree","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"1997","lower secondary degree","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"1997","lower secondary degree","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"1997","lower secondary degree","(3a) lower tertiary education","4.38","4.93","93","4","4","5","5","5","4.22","4.54","2","5","4","5"
"1997","lower secondary degree","(3b) higher tertiary education","","","","","","","","","","","","","",""
"1997","no degree/no degree yet","(0) in school","2.94","3","313","2","2","4","4","5","2.84","3.04","2","5","3","3"
"1997","no degree/no degree yet","(1a) inadequately completed","4.59","5","504","4","4","5","5","5","4.52","4.66","2","5","5","5"
"1997","no degree/no degree yet","(1b) general elementary school","","","","","","","","","","","","","",""
"1997","no degree/no degree yet","(1c) basic vocational qualification","","","","","","","","","","","","","",""
"1997","no degree/no degree yet","(2a) intermediate vocational","","","","","","","","","","","","","",""
"1997","no degree/no degree yet","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"1997","no degree/no degree yet","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"1997","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"1997","no degree/no degree yet","(3a) lower tertiary education","","","","","","","","","","","","","",""
