"ple0179","year","bula_h","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Four to six days a week","2016","Schleswig-Holstein","Single parent ","12","","",""
"Four to six days a week","2016","Schleswig-Holstein","Couple + C. LE 16 ","69","0.337525299593496","0.276938504939846","0.398112094247145"
"Four to six days a week","2016","Schleswig-Holstein","Couple + C. GT 16 ","30","0.43782557812527","0.339095761640284","0.536555394610256"
"Four to six days a week","2016","Schleswig-Holstein","Couple + C. LE and GT 16","10","","",""
"Four to six days a week","2016","Hamburg","1-pers.-HH","9","","",""
"Four to six days a week","2016","Hamburg","(Married) couple without C. ","38","0.315788755376603","0.234302095044513","0.397275415708694"
"Four to six days a week","2016","Hamburg","Single parent ","7","","",""
"Four to six days a week","2016","Hamburg","Couple + C. LE 16 ","26","","",""
"Four to six days a week","2016","Hamburg","Couple + C. GT 16 ","10","","",""
"Four to six days a week","2016","Hamburg","Couple + C. LE and GT 16","9","","",""
"Four to six days a week","2016","Lower Saxony","1-pers.-HH","46","0.140004038905052","0.100272739487175","0.179735338322929"
"Four to six days a week","2016","Lower Saxony","(Married) couple without C. ","184","0.251190941443713","0.219379267920931","0.283002614966495"
"Four to six days a week","2016","Lower Saxony","Single parent ","32","0.164366751256723","0.116155322297923","0.212578180215523"
"Four to six days a week","2016","Lower Saxony","Couple + C. LE 16 ","162","0.320847927170217","0.281657231371207","0.360038622969227"
"Four to six days a week","2016","Lower Saxony","Couple + C. GT 16 ","68","0.260410007725327","0.209987325439518","0.310832690011136"
"Four to six days a week","2016","Lower Saxony","Couple + C. LE and GT 16","57","0.297267268550297","0.236315002964635","0.358219534135959"
"Four to six days a week","2016","Bremen","1-pers.-HH","7","","",""
"Four to six days a week","2016","Bremen","(Married) couple without C. ","3","","",""
"Four to six days a week","2016","Bremen","Single parent ","7","","",""
"Four to six days a week","2016","Bremen","Couple + C. LE 16 ","10","","",""
"Four to six days a week","2016","Bremen","Couple + C. GT 16 ","2","","",""
"Four to six days a week","2016","Bremen","Couple + C. LE and GT 16","5","","",""
"Four to six days a week","2016","North Rhine-Westphalia","1-pers.-HH","99","0.180048758143862","0.149828973155665","0.210268543132059"
"Four to six days a week","2016","North Rhine-Westphalia","(Married) couple without C. ","313","0.227100486025154","0.205099452554101","0.249101519496208"
"Four to six days a week","2016","North Rhine-Westphalia","Single parent ","87","0.15293832661256","0.119383682320681","0.186492970904439"
"Four to six days a week","2016","North Rhine-Westphalia","Couple + C. LE 16 ","347","0.259997597773487","0.23578776552523","0.284207430021745"
"Four to six days a week","2016","North Rhine-Westphalia","Couple + C. GT 16 ","214","0.303553758386255","0.269045939466953","0.338061577305558"
"Four to six days a week","2016","North Rhine-Westphalia","Couple + C. LE and GT 16","131","0.264661907713608","0.22568074481628","0.303643070610936"
"Four to six days a week","2016","Hesse","1-pers.-HH","30","0.143777191463284","0.0973080736395055","0.190246309287061"
"Four to six days a week","2016","Hesse","(Married) couple without C. ","102","0.231146722281364","0.193472772232675","0.268820672330053"
"Four to six days a week","2016","Hesse","Single parent ","24","","",""
"Four to six days a week","2016","Hesse","Couple + C. LE 16 ","115","0.34577627666316","0.298693095469346","0.392859457856973"
"Four to six days a week","2016","Hesse","Couple + C. GT 16 ","37","0.274476739883139","0.208170880171128","0.34078259959515"
"Four to six days a week","2016","Hesse","Couple + C. LE and GT 16","43","0.423654504327183","0.339037078579751","0.508271930074615"
"Four to six days a week","2016","Rhineland-Palatinate,Saarland","1-pers.-HH","26","","",""
"Four to six days a week","2016","Rhineland-Palatinate,Saarland","(Married) couple without C. ","87","0.176465704960724","0.140050895188695","0.212880514732753"
"Four to six days a week","2016","Rhineland-Palatinate,Saarland","Single parent ","28","","",""
"Four to six days a week","2016","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","116","0.369311007546544","0.319107083225247","0.419514931867841"
"Four to six days a week","2016","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","31","0.246997985576157","0.178662363810982","0.315333607341332"
