"plb0196_h","year","bula_h","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"No","1994","Berlin","1-pers.-HH","26","","","","2"
"No","1994","Berlin","(Married) couple without C. ","39","1","1","1","2"
"No","1994","Berlin","Single parent ","13","","","","2"
"No","1994","Berlin","Couple + C. LE 16 ","62","1","1","1","2"
"No","1994","Berlin","Couple + C. GT 16 ","29","","","","2"
"No","1994","Berlin","Couple + C. LE and GT 16","11","","","","2"
"No","1994","Brandenburg","1-pers.-HH","8","","","","2"
"No","1994","Brandenburg","(Married) couple without C. ","47","1","1","1","2"
"No","1994","Brandenburg","Single parent ","12","","","","2"
"No","1994","Brandenburg","Couple + C. LE 16 ","62","1","1","1","2"
"No","1994","Saxony","Couple + C. GT 16 ","70","1","1","1","2"
"No","1994","Saxony","(Married) couple without C. ","48","1","1","1","2"
"No","1994","Saxony","Single parent ","20","","","","2"
"No","1994","Saxony","Couple + C. LE 16 ","116","1","1","1","2"
"No","1994","Brandenburg","Couple + C. GT 16 ","33","1","1","1","2"
"No","1994","Brandenburg","Couple + C. LE and GT 16","30","1","1","1","2"
"No","1994","Mecklenburg-Western Pomerania","1-pers.-HH","4","","","","2"
"No","1994","Mecklenburg-Western Pomerania","(Married) couple without C. ","21","","","","2"
"No","1994","Mecklenburg-Western Pomerania","Single parent ","3","","","","2"
"No","1994","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","44","1","1","1","2"
"No","1994","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","40","1","1","1","2"
"No","1994","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","14","","","","2"
"No","1994","Saxony","1-pers.-HH","11","","","","2"
"No","1994","Saxony","Couple + C. LE and GT 16","49","1","1","1","2"
"No","1994","Saxony-Anhalt","1-pers.-HH","5","","","","2"
"No","1994","Saxony-Anhalt","(Married) couple without C. ","38","1","1","1","2"
"No","1994","Saxony-Anhalt","Single parent ","11","","","","2"
"No","1994","Saxony-Anhalt","Couple + C. LE 16 ","67","1","1","1","2"
"No","1994","Saxony-Anhalt","Couple + C. GT 16 ","59","1","1","1","2"
"No","1994","Saxony-Anhalt","Couple + C. LE and GT 16","26","","","","2"
"No","1994","Thuringia","1-pers.-HH","9","","","","2"
"No","1994","Thuringia","(Married) couple without C. ","26","","","","2"
"No","1994","Thuringia","Single parent ","4","","","","2"
"No","1994","Thuringia","Couple + C. LE 16 ","68","1","1","1","2"
"No","1994","Thuringia","Couple + C. GT 16 ","54","1","1","1","2"
"No","1994","Thuringia","Couple + C. LE and GT 16","30","1","1","1","2"
"Yes","1994","Schleswig-Holstein","1-pers.-HH","","","","","1"
"Yes","1994","Schleswig-Holstein","(Married) couple without C. ","","","","","1"
"Yes","1994","Schleswig-Holstein","Single parent ","","","","","1"
"Yes","1994","Schleswig-Holstein","Couple + C. LE 16 ","","","","","1"
"Yes","1994","Schleswig-Holstein","Couple + C. GT 16 ","","","","","1"
"Yes","1994","Schleswig-Holstein","Couple + C. LE and GT 16","","","","","1"
"Yes","1994","Hamburg","1-pers.-HH","","","","","1"
"Yes","1994","Hamburg","(Married) couple without C. ","","","","","1"
"Yes","1994","Hamburg","Single parent ","","","","","1"
"Yes","1994","Hamburg","Couple + C. LE 16 ","","","","","1"
"Yes","1994","Hamburg","Couple + C. GT 16 ","","","","","1"
"Yes","1994","Hamburg","Couple + C. LE and GT 16","","","","","1"
"Yes","1994","Lower Saxony","1-pers.-HH","","","","","1"
"Yes","1994","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","","","","","1"
"Yes","1994","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","","","","","1"
"Yes","1994","Baden-Württemberg","1-pers.-HH","","","","","1"
"Yes","1994","Baden-Württemberg","(Married) couple without C. ","","","","","1"
"Yes","1994","Baden-Württemberg","Single parent ","","","","","1"
"Yes","1994","Baden-Württemberg","Couple + C. LE 16 ","","","","","1"
"Yes","1994","Baden-Württemberg","Couple + C. GT 16 ","","","","","1"
"Yes","1994","Baden-Württemberg","Couple + C. LE and GT 16","","","","","1"
"Yes","1994","Bavaria","1-pers.-HH","","","","","1"
"Yes","1994","Bavaria","(Married) couple without C. ","","","","","1"
"Yes","1994","Bavaria","Single parent ","","","","","1"
"Yes","1994","Bavaria","Couple + C. LE 16 ","","","","","1"
"Yes","1994","Bavaria","Couple + C. GT 16 ","","","","","1"
"Yes","1994","Bavaria","Couple + C. LE and GT 16","","","","","1"
"Yes","1994","Berlin","1-pers.-HH","","","","","1"
"Yes","1994","Berlin","(Married) couple without C. ","","","","","1"
"Yes","1994","Berlin","Single parent ","","","","","1"
"Yes","1994","Berlin","Couple + C. LE 16 ","","","","","1"
"Yes","1994","Berlin","Couple + C. GT 16 ","","","","","1"
"Yes","1994","Berlin","Couple + C. LE and GT 16","","","","","1"
"Yes","1994","Brandenburg","1-pers.-HH","","","","","1"
"Yes","1994","Brandenburg","(Married) couple without C. ","","","","","1"
"Yes","1994","Brandenburg","Single parent ","","","","","1"
"Yes","1994","Brandenburg","Couple + C. LE 16 ","","","","","1"
"Yes","1994","Brandenburg","Couple + C. GT 16 ","","","","","1"
"Yes","1994","Rhineland-Palatinate,Saarland","(Married) couple without C. ","","","","","1"
"Yes","1994","Rhineland-Palatinate,Saarland","Single parent ","","","","","1"
"Yes","1994","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","","","","","1"
"Yes","1994","Brandenburg","Couple + C. LE and GT 16","","","","","1"
"Yes","1994","Mecklenburg-Western Pomerania","1-pers.-HH","","","","","1"
"Yes","1994","Mecklenburg-Western Pomerania","(Married) couple without C. ","","","","","1"
"Yes","1994","Mecklenburg-Western Pomerania","Single parent ","","","","","1"
"Yes","1994","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","","","","","1"
"Yes","1994","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","","","","","1"
"Yes","1994","Hesse","Couple + C. GT 16 ","","","","","1"
"Yes","1994","Hesse","Couple + C. LE and GT 16","","","","","1"
"Yes","1994","Rhineland-Palatinate,Saarland","1-pers.-HH","","","","","1"
"Yes","1994","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","","","","","1"
"Yes","1994","Saxony","1-pers.-HH","","","","","1"
"Yes","1994","Saxony","(Married) couple without C. ","","","","","1"
"Yes","1994","Saxony","Single parent ","","","","","1"
"Yes","1994","Saxony","Couple + C. LE 16 ","","","","","1"
"Yes","1994","Lower Saxony","(Married) couple without C. ","","","","","1"
"Yes","1994","Lower Saxony","Single parent ","","","","","1"
"Yes","1994","Lower Saxony","Couple + C. LE 16 ","","","","","1"
"Yes","1994","Lower Saxony","Couple + C. GT 16 ","","","","","1"
"Yes","1994","Lower Saxony","Couple + C. LE and GT 16","","","","","1"
"Yes","1994","Bremen","1-pers.-HH","","","","","1"
"Yes","1994","Hesse","(Married) couple without C. ","","","","","1"
"Yes","1994","Hesse","Single parent ","","","","","1"
"Yes","1994","Hesse","Couple + C. LE 16 ","","","","","1"
"Yes","1994","Saxony","Couple + C. GT 16 ","","","","","1"
"Yes","1994","Saxony","Couple + C. LE and GT 16","","","","","1"
"Yes","1994","Saxony-Anhalt","1-pers.-HH","","","","","1"
"Yes","1994","Saxony-Anhalt","(Married) couple without C. ","","","","","1"
"Yes","1994","Saxony-Anhalt","Single parent ","","","","","1"
"Yes","1994","Saxony-Anhalt","Couple + C. LE 16 ","","","","","1"
"Yes","1994","Bremen","(Married) couple without C. ","","","","","1"
"Yes","1994","Bremen","Single parent ","","","","","1"
"Yes","1994","Bremen","Couple + C. LE 16 ","","","","","1"
"Yes","1994","Bremen","Couple + C. GT 16 ","","","","","1"
"Yes","1994","Bremen","Couple + C. LE and GT 16","","","","","1"
"Yes","1994","North Rhine-Westphalia","1-pers.-HH","","","","","1"
"Yes","1994","North Rhine-Westphalia","(Married) couple without C. ","","","","","1"
"Yes","1994","North Rhine-Westphalia","Single parent ","","","","","1"
"Yes","1994","North Rhine-Westphalia","Couple + C. LE 16 ","","","","","1"
"Yes","1994","North Rhine-Westphalia","Couple + C. GT 16 ","","","","","1"
"Yes","1994","North Rhine-Westphalia","Couple + C. LE and GT 16","","","","","1"
"Yes","1994","Hesse","1-pers.-HH","","","","","1"
"Yes","1994","Saxony-Anhalt","Couple + C. GT 16 ","","","","","1"
"Yes","1994","Saxony-Anhalt","Couple + C. LE and GT 16","","","","","1"
"Yes","1994","Thuringia","1-pers.-HH","","","","","1"
"Yes","1994","Thuringia","(Married) couple without C. ","","","","","1"
"Yes","1994","Thuringia","Single parent ","","","","","1"
"Yes","1994","Thuringia","Couple + C. LE 16 ","","","","","1"
"Yes","1994","Thuringia","Couple + C. GT 16 ","","","","","1"
"Yes","1994","Thuringia","Couple + C. LE and GT 16","","","","","1"
"No","1995","Schleswig-Holstein","1-pers.-HH","10","","","","2"
"No","1995","Schleswig-Holstein","(Married) couple without C. ","29","","","","2"
"No","1995","Bavaria","Single parent ","34","1","1","1","2"
"No","1995","Schleswig-Holstein","Single parent ","1","","","","2"
"No","1995","Schleswig-Holstein","Couple + C. LE 16 ","25","","","","2"
"No","1995","Schleswig-Holstein","Couple + C. GT 16 ","14","","","","2"
"No","1995","Schleswig-Holstein","Couple + C. LE and GT 16","5","","","","2"
"No","1995","Hamburg","1-pers.-HH","16","","","","2"
"No","1995","Hamburg","(Married) couple without C. ","11","","","","2"
"No","1995","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","21","","","","2"
"No","1995","Baden-Württemberg","Single parent ","28","","","","2"
"No","1995","Baden-Württemberg","Couple + C. LE 16 ","178","1","1","1","2"
"No","1995","Baden-Württemberg","Couple + C. GT 16 ","163","1","1","1","2"
"No","1995","Baden-Württemberg","Couple + C. LE and GT 16","85","1","1","1","2"
"No","1995","Bavaria","1-pers.-HH","59","1","1","1","2"
"No","1995","Bavaria","(Married) couple without C. ","150","1","1","1","2"
"No","1995","Hamburg","Single parent ","1","","","","2"
"No","1995","Hamburg","Couple + C. LE 16 ","6","","","","2"
"No","1995","Hamburg","Couple + C. GT 16 ","3","","","","2"
"No","1995","Hamburg","Couple + C. LE and GT 16","3","","","","2"
"No","1995","Lower Saxony","1-pers.-HH","27","","","","2"
"No","1995","Hesse","Couple + C. LE and GT 16","38","1","1","1","2"
"No","1995","Rhineland-Palatinate,Saarland","Single parent ","14","","","","2"
"No","1995","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","68","1","1","1","2"
"No","1995","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","56","1","1","1","2"
"No","1995","Baden-Württemberg","1-pers.-HH","54","1","1","1","2"
"No","1995","Baden-Württemberg","(Married) couple without C. ","115","1","1","1","2"
"No","1995","Lower Saxony","(Married) couple without C. ","93","1","1","1","2"
"No","1995","Lower Saxony","Single parent ","18","","","","2"
"No","1995","Lower Saxony","Couple + C. LE 16 ","94","1","1","1","2"
"No","1995","Lower Saxony","Couple + C. GT 16 ","63","1","1","1","2"
"No","1995","Lower Saxony","Couple + C. LE and GT 16","19","","","","2"
"No","1995","Bremen","1-pers.-HH","2","","","","2"
"No","1995","North Rhine-Westphalia","Couple + C. LE and GT 16","104","1","1","1","2"
"No","1995","Hesse","Single parent ","16","","","","2"
"No","1995","Hesse","Couple + C. LE 16 ","101","1","1","1","2"
"No","1995","Hesse","Couple + C. GT 16 ","78","1","1","1","2"
"No","1995","Rhineland-Palatinate,Saarland","1-pers.-HH","16","","","","2"
"No","1995","Rhineland-Palatinate,Saarland","(Married) couple without C. ","53","1","1","1","2"
"No","1995","Bremen","(Married) couple without C. ","6","","","","2"
"No","1995","Bremen","Single parent ","1","","","","2"
"No","1995","Bremen","Couple + C. LE 16 ","3","","","","2"
"No","1995","Bremen","Couple + C. GT 16 ","5","","","","2"
"No","1995","Bremen","Couple + C. LE and GT 16","","","","","2"
"No","1995","North Rhine-Westphalia","1-pers.-HH","73","1","1","1","2"
"No","1995","North Rhine-Westphalia","Single parent ","48","1","1","1","2"
"No","1995","North Rhine-Westphalia","Couple + C. LE 16 ","248","1","1","1","2"
"No","1995","North Rhine-Westphalia","Couple + C. GT 16 ","176","1","1","1","2"
"No","1995","Hesse","1-pers.-HH","29","","","","2"
"No","1995","Hesse","(Married) couple without C. ","92","1","1","1","2"
"No","1995","Bavaria","Couple + C. LE 16 ","162","1","1","1","2"
"No","1995","Bavaria","Couple + C. GT 16 ","130","1","1","1","2"
"No","1995","Bavaria","Couple + C. LE and GT 16","65","1","1","1","2"
"No","1995","Berlin","1-pers.-HH","25","","","","2"
"No","1995","North Rhine-Westphalia","(Married) couple without C. ","218","1","1","1","2"
"No","1995","Berlin","(Married) couple without C. ","31","1","1","1","2"
"No","1995","Berlin","Single parent ","8","","","","2"
"No","1995","Berlin","Couple + C. LE 16 ","61","1","1","1","2"
"No","1995","Berlin","Couple + C. GT 16 ","29","","","","2"
"No","1995","Berlin","Couple + C. LE and GT 16","10","","","","2"
"No","1995","Brandenburg","1-pers.-HH","9","","","","2"
"No","1995","Brandenburg","(Married) couple without C. ","48","1","1","1","2"
"No","1995","Brandenburg","Single parent ","18","","","","2"
"No","1995","Brandenburg","Couple + C. LE 16 ","49","1","1","1","2"
"No","1995","Brandenburg","Couple + C. GT 16 ","41","1","1","1","2"
"No","1995","Brandenburg","Couple + C. LE and GT 16","39","1","1","1","2"
"No","1995","Mecklenburg-Western Pomerania","1-pers.-HH","3","","","","2"
"No","1995","Mecklenburg-Western Pomerania","(Married) couple without C. ","21","","","","2"
"No","1995","Mecklenburg-Western Pomerania","Single parent ","8","","","","2"
"No","1995","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","38","1","1","1","2"
"No","1995","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","43","1","1","1","2"
"No","1995","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","14","","","","2"
"No","1995","Saxony","1-pers.-HH","16","","","","2"
"No","1995","Saxony","(Married) couple without C. ","55","1","1","1","2"
"No","1995","Saxony","Single parent ","19","","","","2"
"No","1995","Saxony","Couple + C. LE 16 ","90","1","1","1","2"
"No","1995","Saxony","Couple + C. GT 16 ","81","1","1","1","2"
"No","1995","Saxony-Anhalt","(Married) couple without C. ","42","1","1","1","2"
"No","1995","Saxony-Anhalt","Single parent ","9","","","","2"
"No","1995","Saxony-Anhalt","Couple + C. LE 16 ","71","1","1","1","2"
"No","1995","Saxony-Anhalt","Couple + C. GT 16 ","61","1","1","1","2"
"No","1995","Saxony-Anhalt","Couple + C. LE and GT 16","32","1","1","1","2"
"No","1995","Thuringia","1-pers.-HH","10","","","","2"
"No","1995","Thuringia","(Married) couple without C. ","29","","","","2"
"No","1995","Thuringia","Single parent ","7","","","","2"
"No","1995","Thuringia","Couple + C. LE 16 ","62","1","1","1","2"
"No","1995","Thuringia","Couple + C. GT 16 ","46","1","1","1","2"
"No","1995","Thuringia","Couple + C. LE and GT 16","34","1","1","1","2"
"No","1995","Saxony","Couple + C. LE and GT 16","42","1","1","1","2"
"No","1995","Saxony-Anhalt","1-pers.-HH","9","","","","2"
"Yes","1995","Schleswig-Holstein","1-pers.-HH","","","","","1"
"Yes","1995","Schleswig-Holstein","(Married) couple without C. ","","","","","1"
"Yes","1995","Schleswig-Holstein","Single parent ","","","","","1"
"Yes","1995","Schleswig-Holstein","Couple + C. LE 16 ","","","","","1"
"Yes","1995","Schleswig-Holstein","Couple + C. GT 16 ","","","","","1"
"Yes","1995","Schleswig-Holstein","Couple + C. LE and GT 16","","","","","1"
"Yes","1995","Hamburg","1-pers.-HH","","","","","1"
"Yes","1995","Hamburg","(Married) couple without C. ","","","","","1"
"Yes","1995","Hamburg","Single parent ","","","","","1"
"Yes","1995","Hamburg","Couple + C. LE 16 ","","","","","1"
"Yes","1995","Hamburg","Couple + C. GT 16 ","","","","","1"
"Yes","1995","Hamburg","Couple + C. LE and GT 16","","","","","1"
"Yes","1995","Lower Saxony","1-pers.-HH","","","","","1"
"Yes","1995","Baden-Württemberg","(Married) couple without C. ","","","","","1"
"Yes","1995","Baden-Württemberg","Single parent ","","","","","1"
"Yes","1995","Baden-Württemberg","Couple + C. LE 16 ","","","","","1"
"Yes","1995","Baden-Württemberg","Couple + C. GT 16 ","","","","","1"
"Yes","1995","Baden-Württemberg","Couple + C. LE and GT 16","","","","","1"
"Yes","1995","Bavaria","1-pers.-HH","","","","","1"
"Yes","1995","Bavaria","(Married) couple without C. ","","","","","1"
"Yes","1995","Bavaria","Single parent ","","","","","1"
"Yes","1995","Bavaria","Couple + C. LE 16 ","","","","","1"
"Yes","1995","Bavaria","Couple + C. GT 16 ","","","","","1"
"Yes","1995","Bavaria","Couple + C. LE and GT 16","","","","","1"
"Yes","1995","Berlin","1-pers.-HH","","","","","1"
"Yes","1995","Berlin","(Married) couple without C. ","","","","","1"
"Yes","1995","Berlin","Single parent ","","","","","1"
"Yes","1995","Berlin","Couple + C. LE 16 ","","","","","1"
"Yes","1995","Berlin","Couple + C. GT 16 ","","","","","1"
"Yes","1995","Berlin","Couple + C. LE and GT 16","","","","","1"
"Yes","1995","Brandenburg","1-pers.-HH","","","","","1"
"Yes","1995","Brandenburg","(Married) couple without C. ","","","","","1"
"Yes","1995","Brandenburg","Single parent ","","","","","1"
"Yes","1995","Brandenburg","Couple + C. LE 16 ","","","","","1"
"Yes","1995","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","","","","","1"
"Yes","1995","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","","","","","1"
"Yes","1995","Baden-Württemberg","1-pers.-HH","","","","","1"
"Yes","1995","Brandenburg","Couple + C. GT 16 ","","","","","1"
"Yes","1995","Brandenburg","Couple + C. LE and GT 16","","","","","1"
"Yes","1995","Mecklenburg-Western Pomerania","1-pers.-HH","","","","","1"
"Yes","1995","Mecklenburg-Western Pomerania","(Married) couple without C. ","","","","","1"
"Yes","1995","Mecklenburg-Western Pomerania","Single parent ","","","","","1"
"Yes","1995","Rhineland-Palatinate,Saarland","(Married) couple without C. ","","","","","1"
"Yes","1995","Rhineland-Palatinate,Saarland","Single parent ","","","","","1"
"Yes","1995","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","","","","","1"
"Yes","1995","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","","","","","1"
"Yes","1995","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","","","","","1"
"Yes","1995","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","","","","","1"
"Yes","1995","Saxony","1-pers.-HH","","","","","1"
"Yes","1995","Saxony","(Married) couple without C. ","","","","","1"
"Yes","1995","Saxony","Single parent ","","","","","1"
"Yes","1995","Lower Saxony","(Married) couple without C. ","","","","","1"
"Yes","1995","Lower Saxony","Single parent ","","","","","1"
"Yes","1995","Lower Saxony","Couple + C. LE 16 ","","","","","1"
"Yes","1995","Lower Saxony","Couple + C. GT 16 ","","","","","1"
"Yes","1995","Hesse","Couple + C. GT 16 ","","","","","1"
"Yes","1995","Hesse","Couple + C. LE and GT 16","","","","","1"
"Yes","1995","Rhineland-Palatinate,Saarland","1-pers.-HH","","","","","1"
"Yes","1995","Saxony","Couple + C. LE 16 ","","","","","1"
"Yes","1995","Saxony","Couple + C. GT 16 ","","","","","1"
"Yes","1995","Saxony","Couple + C. LE and GT 16","","","","","1"
"Yes","1995","Saxony-Anhalt","1-pers.-HH","","","","","1"
"Yes","1995","Saxony-Anhalt","(Married) couple without C. ","","","","","1"
"Yes","1995","Saxony-Anhalt","Single parent ","","","","","1"
"Yes","1995","Lower Saxony","Couple + C. LE and GT 16","","","","","1"
"Yes","1995","Bremen","1-pers.-HH","","","","","1"
"Yes","1995","Bremen","(Married) couple without C. ","","","","","1"
"Yes","1995","Bremen","Single parent ","","","","","1"
"Yes","1995","Bremen","Couple + C. LE 16 ","","","","","1"
"Yes","1995","Bremen","Couple + C. GT 16 ","","","","","1"
"Yes","1995","Hesse","(Married) couple without C. ","","","","","1"
"Yes","1995","Hesse","Single parent ","","","","","1"
"Yes","1995","Hesse","Couple + C. LE 16 ","","","","","1"
"Yes","1995","Saxony-Anhalt","Couple + C. LE 16 ","","","","","1"
"Yes","1995","Saxony-Anhalt","Couple + C. GT 16 ","","","","","1"
"Yes","1995","Saxony-Anhalt","Couple + C. LE and GT 16","","","","","1"
"Yes","1995","Thuringia","1-pers.-HH","","","","","1"
"Yes","1995","Thuringia","(Married) couple without C. ","","","","","1"
"Yes","1995","Bremen","Couple + C. LE and GT 16","","","","","1"
"Yes","1995","North Rhine-Westphalia","1-pers.-HH","","","","","1"
"Yes","1995","North Rhine-Westphalia","(Married) couple without C. ","","","","","1"
"Yes","1995","North Rhine-Westphalia","Single parent ","","","","","1"
"Yes","1995","North Rhine-Westphalia","Couple + C. LE 16 ","","","","","1"
"Yes","1995","North Rhine-Westphalia","Couple + C. GT 16 ","","","","","1"
"Yes","1995","North Rhine-Westphalia","Couple + C. LE and GT 16","","","","","1"
"Yes","1995","Hesse","1-pers.-HH","","","","","1"
"Yes","1995","Thuringia","Single parent ","","","","","1"
"Yes","1995","Thuringia","Couple + C. LE 16 ","","","","","1"
"Yes","1995","Thuringia","Couple + C. GT 16 ","","","","","1"
"Yes","1995","Thuringia","Couple + C. LE and GT 16","","","","","1"
"No","1996","Schleswig-Holstein","1-pers.-HH","12","","","","2"
"No","1996","Schleswig-Holstein","(Married) couple without C. ","23","","","","2"
"No","1996","Schleswig-Holstein","Single parent ","","","","","2"
"No","1996","Schleswig-Holstein","Couple + C. LE 16 ","30","1","1","1","2"
"No","1996","Schleswig-Holstein","Couple + C. GT 16 ","20","","","","2"
"No","1996","Bavaria","Single parent ","34","1","1","1","2"
"No","1996","Schleswig-Holstein","Couple + C. LE and GT 16","8","","","","2"
"No","1996","Baden-Württemberg","Single parent ","32","1","1","1","2"
"No","1996","Baden-Württemberg","Couple + C. LE 16 ","147","1","1","1","2"
"No","1996","Baden-Württemberg","Couple + C. LE and GT 16","88","1","1","1","2"
"No","1996","Bavaria","1-pers.-HH","59","1","1","1","2"
"No","1996","Bavaria","(Married) couple without C. ","135","1","1","1","2"
"No","1996","Hamburg","1-pers.-HH","13","","","","2"
"No","1996","Hamburg","(Married) couple without C. ","11","","","","2"
"No","1996","Hamburg","Single parent ","","","","","2"
"No","1996","Hamburg","Couple + C. LE 16 ","11","","","","2"
"No","1996","Hamburg","Couple + C. GT 16 ","5","","","","2"
"No","1996","Hamburg","Couple + C. LE and GT 16","4","","","","2"
"No","1996","Rhineland-Palatinate,Saarland","Single parent ","16","","","","2"
"No","1996","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","81","1","1","1","2"
"No","1996","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","13","","","","2"
"No","1996","Baden-Württemberg","1-pers.-HH","55","1","1","1","2"
"No","1996","Baden-Württemberg","(Married) couple without C. ","123","1","1","1","2"
"No","1996","Baden-Württemberg","Couple + C. GT 16 ","130","1","1","1","2"
"No","1996","Lower Saxony","1-pers.-HH","34","1","1","1","2"
"No","1996","Lower Saxony","(Married) couple without C. ","87","1","1","1","2"
"No","1996","Lower Saxony","Single parent ","22","","","","2"
"No","1996","Lower Saxony","Couple + C. LE 16 ","85","1","1","1","2"
"No","1996","Lower Saxony","Couple + C. GT 16 ","61","1","1","1","2"
"No","1996","Lower Saxony","Couple + C. LE and GT 16","28","","","","2"
"No","1996","Hesse","Single parent ","13","","","","2"
"No","1996","Hesse","Couple + C. LE 16 ","101","1","1","1","2"
"No","1996","Hesse","Couple + C. GT 16 ","58","1","1","1","2"
"No","1996","Hesse","Couple + C. LE and GT 16","35","1","1","1","2"
"No","1996","Rhineland-Palatinate,Saarland","1-pers.-HH","14","","","","2"
"No","1996","Rhineland-Palatinate,Saarland","(Married) couple without C. ","52","1","1","1","2"
"No","1996","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","50","1","1","1","2"
"No","1996","Bremen","1-pers.-HH","3","","","","2"
"No","1996","Bremen","(Married) couple without C. ","4","","","","2"
"No","1996","Bremen","Single parent ","3","","","","2"
"No","1996","Bremen","Couple + C. LE 16 ","2","","","","2"
"No","1996","Bremen","Couple + C. GT 16 ","9","","","","2"
"No","1996","North Rhine-Westphalia","Single parent ","57","1","1","1","2"
"No","1996","North Rhine-Westphalia","Couple + C. LE 16 ","235","1","1","1","2"
"No","1996","North Rhine-Westphalia","Couple + C. GT 16 ","177","1","1","1","2"
"No","1996","North Rhine-Westphalia","Couple + C. LE and GT 16","114","1","1","1","2"
"No","1996","Hesse","1-pers.-HH","30","1","1","1","2"
"No","1996","Hesse","(Married) couple without C. ","87","1","1","1","2"
"No","1996","Bavaria","Couple + C. LE 16 ","162","1","1","1","2"
"No","1996","Bavaria","Couple + C. GT 16 ","118","1","1","1","2"
"No","1996","Bremen","Couple + C. LE and GT 16","","","","","2"
"No","1996","North Rhine-Westphalia","1-pers.-HH","68","1","1","1","2"
"No","1996","North Rhine-Westphalia","(Married) couple without C. ","214","1","1","1","2"
"No","1996","Bavaria","Couple + C. LE and GT 16","61","1","1","1","2"
"No","1996","Berlin","1-pers.-HH","27","","","","2"
"No","1996","Berlin","(Married) couple without C. ","37","1","1","1","2"
"No","1996","Berlin","Single parent ","7","","","","2"
"No","1996","Berlin","Couple + C. LE 16 ","53","1","1","1","2"
"No","1996","Berlin","Couple + C. GT 16 ","31","1","1","1","2"
"No","1996","Berlin","Couple + C. LE and GT 16","5","","","","2"
"No","1996","Brandenburg","1-pers.-HH","17","","","","2"
"No","1996","Brandenburg","(Married) couple without C. ","44","1","1","1","2"
"No","1996","Brandenburg","Single parent ","15","","","","2"
"No","1996","Brandenburg","Couple + C. LE 16 ","48","1","1","1","2"
"No","1996","Brandenburg","Couple + C. GT 16 ","34","1","1","1","2"
"No","1996","Brandenburg","Couple + C. LE and GT 16","33","1","1","1","2"
"No","1996","Mecklenburg-Western Pomerania","1-pers.-HH","2","","","","2"
"No","1996","Mecklenburg-Western Pomerania","(Married) couple without C. ","27","","","","2"
"No","1996","Mecklenburg-Western Pomerania","Single parent ","4","","","","2"
"No","1996","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","34","1","1","1","2"
"No","1996","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","38","1","1","1","2"
"No","1996","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","18","","","","2"
"No","1996","Saxony","1-pers.-HH","13","","","","2"
"No","1996","Saxony","(Married) couple without C. ","70","1","1","1","2"
"No","1996","Saxony","Single parent ","22","","","","2"
"No","1996","Saxony","Couple + C. LE 16 ","88","1","1","1","2"
"No","1996","Saxony","Couple + C. GT 16 ","75","1","1","1","2"
"No","1996","Saxony-Anhalt","(Married) couple without C. ","46","1","1","1","2"
"No","1996","Saxony-Anhalt","Single parent ","8","","","","2"
"No","1996","Saxony-Anhalt","Couple + C. LE 16 ","66","1","1","1","2"
"No","1996","Saxony-Anhalt","Couple + C. GT 16 ","58","1","1","1","2"
"No","1996","Saxony-Anhalt","Couple + C. LE and GT 16","27","","","","2"
"No","1996","Thuringia","1-pers.-HH","8","","","","2"
"No","1996","Thuringia","(Married) couple without C. ","29","","","","2"
"No","1996","Thuringia","Single parent ","9","","","","2"
"No","1996","Thuringia","Couple + C. LE 16 ","54","1","1","1","2"
"No","1996","Thuringia","Couple + C. GT 16 ","45","1","1","1","2"
"No","1996","Thuringia","Couple + C. LE and GT 16","35","1","1","1","2"
"No","1996","Saxony","Couple + C. LE and GT 16","51","1","1","1","2"
"No","1996","Saxony-Anhalt","1-pers.-HH","7","","","","2"
"Yes","1996","Schleswig-Holstein","1-pers.-HH","","","","","1"
"Yes","1996","Schleswig-Holstein","(Married) couple without C. ","","","","","1"
"Yes","1996","Schleswig-Holstein","Single parent ","","","","","1"
