"plb0196_h","year","migback","sex","n","percent","lower_confidence","upper_confidence","value"
"Yes","2018","indirect migration background","Female","243","0.738865401429746","0.691968082616289","0.785762720243202","1"
"No","2019","no migration background","Male","766","0.223621569341655","0.209795740301022","0.237447398382288","2"
"No","2019","no migration background","Female","916","0.235372010535587","0.221676667024215","0.249067354046958","2"
"No","2019","direct migration background","Male","261","0.256468425685786","0.228448051540107","0.284488799831466","2"
"No","2019","direct migration background","Female","142","0.20922688461179","0.175863912762373","0.242589856461206","2"
"No","2019","indirect migration background","Male","75","0.249859507656113","0.201032077882686","0.298686937429539","2"
"No","2019","indirect migration background","Female","80","0.267095666871829","0.21735995194104","0.316831381802618","2"
"Yes","2019","no migration background","Male","2723","0.776378430658345","0.762552601617712","0.790204259698978","1"
"Yes","2019","no migration background","Female","2770","0.764627989464414","0.750932645953042","0.778323332975785","1"
"Yes","2019","direct migration background","Female","429","0.79077311538821","0.757410143538794","0.824136087237627","1"
"Yes","2019","direct migration background","Male","672","0.743531574314214","0.715511200168534","0.771551948459893","1"
"Yes","2019","indirect migration background","Male","227","0.750140492343887","0.701313062570461","0.798967922117314","1"
"Yes","2019","indirect migration background","Female","224","0.732904333128171","0.683168618197382","0.78264004805896","1"
