"plb0196_h","year","education","sampreg","n","percent","lower_confidence","upper_confidence"
"No","2008","Other degree","West Germany","65","0.347516387691245","0.283567832296437","0.411464943086053"
"No","2008","Other degree","East Germany","2","","",""
"No","2008","no degree/no degree yet","West Germany","13","","",""
"No","2008","no degree/no degree yet","East Germany","1","","",""
"Yes","2009","lower secondary degree","West Germany","766","0.656811454270508","0.629630103421731","0.683992805119286"
"Yes","2009","lower secondary degree","East Germany","53","0.542674673172044","0.443535651862114","0.641813694481974"
"Yes","2009","secondary school degree","West Germany","995","0.710604101067598","0.686669510709156","0.73453869142604"
"Yes","2009","secondary school degree","East Germany","633","0.652497948801939","0.622328985709039","0.682666911894839"
"Yes","2009","college entrance qualification","West Germany","1259","0.787084859110412","0.767308459558952","0.806861258661872"
"Yes","2009","college entrance qualification","East Germany","369","0.775409825117093","0.737682137412291","0.813137512821896"
"Yes","2009","Other degree","West Germany","94","0.555569368052981","0.477089390687394","0.634049345418567"
"Yes","2009","Other degree","East Germany","7","","",""
"Yes","2009","no degree/no degree yet","West Germany","15","","",""
"Yes","2009","no degree/no degree yet","East Germany","","","",""
"No","2009","lower secondary degree","West Germany","406","0.343188545729492","0.316007194880714","0.370369896578269"
"No","2009","lower secondary degree","East Germany","44","0.457325326827957","0.358186305518027","0.556464348137886"
"No","2009","secondary school degree","West Germany","384","0.289395898932402","0.26546130857396","0.313330489290844"
"No","2009","secondary school degree","East Germany","324","0.347502051198061","0.317333088105161","0.377671014290961"
"No","2009","college entrance qualification","West Germany","387","0.212915140889588","0.193138741338128","0.232691540441048"
"No","2009","college entrance qualification","East Germany","101","0.224590174882907","0.186862487178104","0.262317862587709"
"No","2009","Other degree","West Germany","60","0.444430631947019","0.365950654581433","0.522910609312606"
"No","2009","Other degree","East Germany","3","","",""
"No","2009","no degree/no degree yet","West Germany","10","","",""
"No","2009","no degree/no degree yet","East Germany","","","",""
"Yes","2010","lower secondary degree","West Germany","963","0.620802976308683","0.596562668167351","0.645043284450015"
"Yes","2010","lower secondary degree","East Germany","80","0.74241460626623","0.666951078082026","0.817878134450434"
"Yes","2010","secondary school degree","West Germany","1397","0.685891721011321","0.665564636704469","0.706218805318172"
"Yes","2010","secondary school degree","East Germany","750","0.611006542751124","0.582878516070987","0.63913456943126"
"Yes","2010","college entrance qualification","West Germany","1757","0.743373055660853","0.725717706505661","0.761028404816046"
"Yes","2010","college entrance qualification","East Germany","433","0.737421812583895","0.701733256248953","0.773110368918836"
"Yes","2010","Other degree","West Germany","250","0.645238792541977","0.596879218636078","0.693598366447876"
"Yes","2010","Other degree","East Germany","13","","",""
"Yes","2010","no degree/no degree yet","West Germany","33","0.801435845916813","0.689740556540261","0.913131135293365"
"Yes","2010","no degree/no degree yet","East Germany","1","","",""
"No","2010","lower secondary degree","West Germany","576","0.379197023691317","0.354956715549985","0.403437331832649"
"No","2010","lower secondary degree","East Germany","49","0.25758539373377","0.182121865549566","0.333048921917974"
"No","2010","secondary school degree","West Germany","606","0.314108278988679","0.293781194681828","0.334435363295531"
"No","2010","secondary school degree","East Germany","404","0.388993457248876","0.36086543056874","0.417121483929013"
"No","2010","college entrance qualification","West Germany","594","0.256626944339147","0.238971595183954","0.27428229349434"
"No","2010","college entrance qualification","East Germany","151","0.262578187416105","0.226889631081164","0.298266743751047"
"No","2010","Other degree","West Germany","126","0.354761207458023","0.306401633552124","0.403120781363922"
"No","2010","Other degree","East Germany","6","","",""
"No","2010","no degree/no degree yet","West Germany","16","","",""
"No","2010","no degree/no degree yet","East Germany","4","","",""
"Yes","2011","lower secondary degree","West Germany","1241","0.664823403024335","0.643010046257141","0.686636759791529"
"Yes","2011","lower secondary degree","East Germany","96","0.658602006849287","0.584429958691944","0.73277405500663"
"Yes","2011","secondary school degree","West Germany","1864","0.773880910952393","0.757387237233677","0.790374584671109"
"Yes","2011","secondary school degree","East Germany","922","0.700325935740086","0.675769967022223","0.724881904457948"
"Yes","2011","college entrance qualification","West Germany","2247","0.794659533921571","0.779758360374561","0.809560707468582"
"Yes","2011","college entrance qualification","East Germany","517","0.695853183575165","0.661748819972547","0.729957547177782"
"Yes","2011","Other degree","West Germany","333","0.708085651796145","0.667156802166046","0.749014501426244"
"Yes","2011","Other degree","East Germany","14","","",""
"Yes","2011","no degree/no degree yet","West Germany","58","0.797412718774684","0.708782420139004","0.886043017410365"
"Yes","2011","no degree/no degree yet","East Germany","5","","",""
"No","2011","lower secondary degree","West Germany","558","0.335176596975665","0.313363240208471","0.35698995374286"
"No","2011","lower secondary degree","East Germany","61","0.341397993150713","0.26722594499337","0.415570041308056"
"No","2011","secondary school degree","West Germany","607","0.226119089047607","0.209625415328891","0.242612762766323"
"No","2011","secondary school degree","East Germany","415","0.299674064259914","0.275118095542052","0.324230032977777"
"No","2011","college entrance qualification","West Germany","576","0.205340466078429","0.190439292531418","0.220241639625439"
"No","2011","college entrance qualification","East Germany","182","0.304146816424835","0.270042452822218","0.338251180027453"
"No","2011","Other degree","West Germany","141","0.291914348203855","0.250985498573756","0.332843197833954"
"No","2011","Other degree","East Germany","9","","",""
"No","2011","no degree/no degree yet","West Germany","21","","",""
"No","2011","no degree/no degree yet","East Germany","","","",""
"Yes","2012","lower secondary degree","West Germany","1219","0.640857631638998","0.619019909916465","0.662695353361531"
"Yes","2012","lower secondary degree","East Germany","111","0.642178561839302","0.569257140165911","0.715099983512693"
"Yes","2012","secondary school degree","West Germany","1829","0.744673715669898","0.727587919797494","0.761759511542302"
"Yes","2012","secondary school degree","East Germany","877","0.647208787903259","0.621440962791475","0.672976613015044"
"Yes","2012","college entrance qualification","West Germany","2272","0.780784960901728","0.765850648085958","0.795719273717497"
"Yes","2012","college entrance qualification","East Germany","531","0.749054778196859","0.716821687999143","0.781287868394576"
"Yes","2012","Other degree","West Germany","345","0.672883610825503","0.632005204169495","0.71376201748151"
"Yes","2012","Other degree","East Germany","15","","",""
"Yes","2012","no degree/no degree yet","West Germany","57","0.715035171016468","0.625205138498572","0.804865203534365"
"Yes","2012","no degree/no degree yet","East Germany","6","","",""
"No","2012","lower secondary degree","West Germany","635","0.359142368361002","0.337304646638469","0.380980090083535"
"No","2012","lower secondary degree","East Germany","55","0.357821438160698","0.284900016487307","0.430742859834089"
"No","2012","secondary school degree","West Germany","673","0.255326284330102","0.238240488457698","0.272412080202506"
"No","2012","secondary school degree","East Germany","444","0.352791212096741","0.327023386984956","0.378559037208525"
"No","2012","college entrance qualification","West Germany","676","0.219215039098272","0.204280726282503","0.234149351914042"
"No","2012","college entrance qualification","East Germany","164","0.250945221803141","0.218712131605424","0.283178312000857"
"No","2012","Other degree","West Germany","161","0.327116389174497","0.28623798251849","0.367994795830505"
"No","2012","Other degree","East Germany","11","","",""
"No","2012","no degree/no degree yet","West Germany","40","0.284964828983532","0.195134796465635","0.374794861501428"
"No","2012","no degree/no degree yet","East Germany","1","","",""
"Yes","2013","lower secondary degree","West Germany","1263","0.688101473211517","0.666765042417511","0.709437904005524"
"Yes","2013","lower secondary degree","East Germany","102","0.604819546235453","0.529302361741291","0.680336730729614"
"Yes","2013","secondary school degree","West Germany","1829","0.733083803792181","0.715733659308745","0.750433948275616"
"Yes","2013","secondary school degree","East Germany","851","0.699989722869378","0.674179609186974","0.725799836551783"
"Yes","2013","college entrance qualification","West Germany","2274","0.772450855768373","0.75736780560901","0.787533905927736"
"Yes","2013","college entrance qualification","East Germany","487","0.746129116341436","0.712593260664408","0.779664972018465"
"Yes","2013","Other degree","West Germany","856","0.667018051603023","0.640733912856524","0.693302190349523"
"Yes","2013","Other degree","East Germany","54","0.539910125850778","0.437507883008591","0.642312368692964"
"Yes","2013","no degree/no degree yet","West Germany","84","0.672395693915868","0.591716104868876","0.75307528296286"
"Yes","2013","no degree/no degree yet","East Germany","6","","",""
"No","2013","lower secondary degree","West Germany","548","0.311898526788483","0.290562095994476","0.333234957582489"
"No","2013","lower secondary degree","East Germany","59","0.395180453764547","0.319663269270386","0.470697638258709"
"No","2013","secondary school degree","West Germany","668","0.266916196207819","0.249566051724384","0.284266340691255"
"No","2013","secondary school degree","East Germany","360","0.300010277130622","0.274200163448217","0.325820390813026"
"No","2013","college entrance qualification","West Germany","694","0.227549144231627","0.212466094072264","0.24263219439099"
"No","2013","college entrance qualification","East Germany","160","0.253870883658564","0.220335027981535","0.287406739335592"
"No","2013","Other degree","West Germany","379","0.332981948396977","0.306697809650478","0.359266087143477"
"No","2013","Other degree","East Germany","37","0.460089874149222","0.357687631307036","0.562492116991409"
"No","2013","no degree/no degree yet","West Germany","46","0.327604306084132","0.24692471703714","0.408283895131124"
"No","2013","no degree/no degree yet","East Germany","3","","",""
"Yes","2014","lower secondary degree","West Germany","1104","0.653340201992706","0.630222624517027","0.676457779468385"
"Yes","2014","lower secondary degree","East Germany","102","0.755461377483118","0.684767177733866","0.82615557723237"
"Yes","2014","secondary school degree","West Germany","1649","0.756559707269829","0.738854535427994","0.774264879111664"
"Yes","2014","secondary school degree","East Germany","765","0.654631271886318","0.626595867065712","0.682666676706924"
"Yes","2014","college entrance qualification","West Germany","2135","0.776548099416223","0.761187255651531","0.791908943180914"
"Yes","2014","college entrance qualification","East Germany","455","0.758243127716303","0.724322331678161","0.792163923754446"
"Yes","2014","Other degree","West Germany","658","0.722690481879702","0.694268117934134","0.751112845825271"
"Yes","2014","Other degree","East Germany","60","0.750896986445803","0.655526451903354","0.846267520988252"
"Yes","2014","no degree/no degree yet","West Germany","63","0.732755265796914","0.64281779524166","0.822692736352168"
"Yes","2014","no degree/no degree yet","East Germany","4","","",""
"No","2014","lower secondary degree","West Germany","524","0.346659798007294","0.323542220531615","0.369777375482973"
"No","2014","lower secondary degree","East Germany","40","0.244538622516882","0.17384442276763","0.315232822266134"
"No","2014","secondary school degree","West Germany","608","0.243440292730171","0.225735120888336","0.261145464572006"
"No","2014","secondary school degree","East Germany","340","0.345368728113682","0.317333323293076","0.373404132934288"
"No","2014","college entrance qualification","West Germany","690","0.223451900583777","0.208091056819086","0.238812744348469"
"No","2014","college entrance qualification","East Germany","157","0.241756872283697","0.207836076245554","0.275677668321839"
"No","2014","Other degree","West Germany","295","0.277309518120298","0.248887154174729","0.305731882065866"
"No","2014","Other degree","East Germany","19","","",""
"No","2014","no degree/no degree yet","West Germany","30","0.267244734203086","0.177307263647832","0.35718220475834"
"No","2014","no degree/no degree yet","East Germany","1","","",""
"Yes","2015","lower secondary degree","West Germany","1054","0.718355990559233","0.695091637016796","0.741620344101669"
"Yes","2015","lower secondary degree","East Germany","85","0.730988416651136","0.651975854718536","0.810000978583735"
"Yes","2015","secondary school degree","West Germany","1615","0.783697521959935","0.766050311754723","0.801344732165146"
"Yes","2015","secondary school degree","East Germany","735","0.714273261811123","0.686576418039781","0.741970105582466"
"Yes","2015","college entrance qualification","West Germany","2134","0.801895798464252","0.78665153161752","0.817140065310983"
"Yes","2015","college entrance qualification","East Germany","451","0.757354031402082","0.722284645933543","0.792423416870622"
"Yes","2015","Other degree","West Germany","837","0.714632758314209","0.688690061533153","0.740575455095264"
"Yes","2015","Other degree","East Germany","71","0.674167634485269","0.579920674933593","0.768414594036944"
"Yes","2015","no degree/no degree yet","West Germany","65","0.797976784004989","0.718074721064364","0.877878846945615"
"Yes","2015","no degree/no degree yet","East Germany","5","","",""
"No","2015","lower secondary degree","West Germany","382","0.281644009440767","0.258379655898331","0.304908362983204"
"No","2015","lower secondary degree","East Germany","36","0.269011583348864","0.189999021416265","0.348024145281464"
"No","2015","secondary school degree","West Germany","476","0.216302478040065","0.198655267834854","0.233949688245277"
"No","2015","secondary school degree","East Germany","287","0.285726738188877","0.258029894417534","0.313423581960219"
"No","2015","college entrance qualification","West Germany","492","0.198104201535749","0.182859934689017","0.21334846838248"
"No","2015","college entrance qualification","East Germany","123","0.242645968597918","0.207576583129378","0.277715354066457"
"No","2015","Other degree","West Germany","327","0.285367241685791","0.259424544904736","0.311309938466847"
"No","2015","Other degree","East Germany","24","","",""
"No","2015","no degree/no degree yet","West Germany","32","0.202023215995011","0.122121153054385","0.281925278935636"
"No","2015","no degree/no degree yet","East Germany","3","","",""
"Yes","2016","lower secondary degree","West Germany","994","0.712046767704949","0.687928062048232","0.736165473361666"
"Yes","2016","lower secondary degree","East Germany","82","0.582735795107029","0.495944001885491","0.669527588328566"
"Yes","2016","secondary school degree","West Germany","1527","0.785962964921815","0.767928857104943","0.803997072738687"
"Yes","2016","secondary school degree","East Germany","680","0.69193229786916","0.662726615303167","0.721137980435154"
"Yes","2016","college entrance qualification","West Germany","2093","0.80670775210454","0.791555528000231","0.821859976208849"
"Yes","2016","college entrance qualification","East Germany","472","0.820874091918975","0.790011086058606","0.851737097779345"
"Yes","2016","Other degree","West Germany","696","0.723379321773062","0.695067738748117","0.751690904798006"
"Yes","2016","Other degree","East Germany","63","0.609897948799598","0.5068079418942","0.712987955704996"
"Yes","2016","no degree/no degree yet","West Germany","65","0.666067848672876","0.570728426112516","0.761407271233236"
"Yes","2016","no degree/no degree yet","East Germany","3","","",""
"No","2016","lower secondary degree","West Germany","360","0.287953232295051","0.263834526638333","0.312071937951768"
"No","2016","lower secondary degree","East Germany","42","0.417264204892972","0.330472411671434","0.504055998114509"
"No","2016","secondary school degree","West Germany","460","0.214037035078185","0.196002927261313","0.232071142895057"
"No","2016","secondary school degree","East Germany","280","0.30806770213084","0.278862019564846","0.337273384696833"
"No","2016","college entrance qualification","West Germany","516","0.19329224789546","0.178140023791151","0.208444471999769"
"No","2016","college entrance qualification","East Germany","121","0.179125908081025","0.148262902220655","0.209988913941394"
"No","2016","Other degree","West Germany","263","0.276620678226939","0.248309095201994","0.304932261251883"
"No","2016","Other degree","East Germany","23","","",""
"No","2016","no degree/no degree yet","West Germany","29","","",""
"No","2016","no degree/no degree yet","East Germany","2","","",""
"Yes","2017","lower secondary degree","West Germany","1001","0.695567407744024","0.671488629870095","0.719646185617954"
"Yes","2017","lower secondary degree","East Germany","93","0.732120744926415","0.658763169147071","0.805478320705759"
"Yes","2017","secondary school degree","West Germany","1675","0.786671250085534","0.769447030187986","0.803895469983081"
"Yes","2017","secondary school degree","East Germany","751","0.728125154667802","0.701162057310428","0.755088252025176"
"Yes","2017","college entrance qualification","West Germany","2349","0.789214586847277","0.774476382108577","0.803952791585977"
"Yes","2017","college entrance qualification","East Germany","497","0.823622969637636","0.793978310134112","0.853267629141161"
"Yes","2017","Other degree","West Germany","684","0.722908644333533","0.694112966859431","0.751704321807636"
"Yes","2017","Other degree","East Germany","63","0.736881335705351","0.650144195323632","0.823618476087071"
"Yes","2017","no degree/no degree yet","West Germany","80","0.616323801915748","0.530034873695536","0.70261273013596"
"Yes","2017","no degree/no degree yet","East Germany","3","","",""
"No","2017","lower secondary degree","West Germany","402","0.304432592255975","0.280353814382046","0.328511370129905"
"No","2017","lower secondary degree","East Germany","47","0.267879255073585","0.194521679294241","0.341236830852929"
"No","2017","secondary school degree","West Germany","498","0.213328749914466","0.196104530016919","0.230552969812014"
"No","2017","secondary school degree","East Germany","295","0.271874845332198","0.244911747974825","0.298837942689572"
"No","2017","college entrance qualification","West Germany","593","0.210785413152723","0.196047208414023","0.225523617891423"
"No","2017","college entrance qualification","East Germany","138","0.176377030362363","0.146732370858839","0.206021689865888"
"No","2017","Other degree","West Germany","244","0.277091355666467","0.248295678192364","0.305887033140569"
"No","2017","Other degree","East Germany","36","0.263118664294649","0.176381523912929","0.349855804676368"
"No","2017","no degree/no degree yet","West Germany","42","0.383676198084252","0.29738726986404","0.469965126304464"
"No","2017","no degree/no degree yet","East Germany","7","","",""
"Yes","2018","lower secondary degree","West Germany","980","0.710998218743719","0.687253414731774","0.734743022755665"
"Yes","2018","lower secondary degree","East Germany","104","0.733149688091503","0.663063480598031","0.803235895584974"
"Yes","2018","secondary school degree","West Germany","1647","0.777111145728245","0.759584265869789","0.794638025586701"
"Yes","2018","secondary school degree","East Germany","719","0.696584273451251","0.668816581564766","0.724351965337735"
"Yes","2018","college entrance qualification","West Germany","2323","0.778340307486704","0.763479472312154","0.793201142661254"
"Yes","2018","college entrance qualification","East Germany","458","0.732569440443565","0.698277819101918","0.766861061785212"
"Yes","2018","Other degree","West Germany","723","0.707688611348074","0.680269424646565","0.735107798049584"
"Yes","2018","Other degree","East Germany","81","0.766062630022611","0.69000258985304","0.842122670192182"
"Yes","2018","no degree/no degree yet","West Germany","95","0.597944041670696","0.517861035466553","0.678027047874839"
"Yes","2018","no degree/no degree yet","East Germany","13","","",""
"No","2018","lower secondary degree","West Germany","420","0.289001781256281","0.265256977244335","0.312746585268226"
"No","2018","lower secondary degree","East Germany","49","0.266850311908497","0.196764104415026","0.336936519401968"
"No","2018","secondary school degree","West Germany","519","0.222888854271754","0.205361974413298","0.240415734130211"
"No","2018","secondary school degree","East Germany","334","0.303415726548749","0.275648034662265","0.331183418435234"
"No","2018","college entrance qualification","West Germany","678","0.221659692513296","0.206798857338746","0.236520527687846"
"No","2018","college entrance qualification","East Germany","182","0.267430559556435","0.233138938214788","0.301722180898082"
"No","2018","Other degree","West Germany","334","0.292311388651926","0.264892201950416","0.319730575353435"
"No","2018","Other degree","East Germany","38","0.233937369977389","0.157877329807818","0.30999741014696"
"No","2018","no degree/no degree yet","West Germany","49","0.402055958329304","0.321972952125161","0.482138964533447"
"No","2018","no degree/no degree yet","East Germany","6","","",""
"Yes","2019","lower secondary degree","West Germany","838","0.742342786658365","0.717142538895562","0.767543034421167"
"Yes","2019","lower secondary degree","East Germany","84","0.549145739241202","0.462607485193698","0.635683993288705"
"Yes","2019","secondary school degree","West Germany","1502","0.774538935636156","0.756062243722361","0.793015627549952"
"Yes","2019","secondary school degree","East Germany","696","0.737134374467144","0.709054036871331","0.765214712062958"
"Yes","2019","college entrance qualification","West Germany","2231","0.791153977640531","0.776248819681507","0.806059135599554"
"Yes","2019","college entrance qualification","East Germany","510","0.763730227548314","0.731124164455444","0.796336290641184"
"Yes","2019","Other degree","West Germany","641","0.740203105551538","0.711163650179001","0.769242560924075"
"Yes","2019","Other degree","East Germany","59","0.840281289590611","0.759497394471971","0.92106518470925"
"Yes","2019","no degree/no degree yet","West Germany","105","0.777232668088025","0.711726300678127","0.842739035497923"
"Yes","2019","no degree/no degree yet","East Germany","16","","",""
"No","2019","lower secondary degree","West Germany","319","0.257657213341635","0.232456965578833","0.282857461104438"
"No","2019","lower secondary degree","East Germany","43","0.450854260758799","0.364316006711295","0.537392514806302"
"No","2019","secondary school degree","West Germany","463","0.225461064363844","0.206984372450048","0.243937756277639"
"No","2019","secondary school degree","East Germany","248","0.262865625532856","0.234785287937042","0.29094596312867"
"No","2019","college entrance qualification","West Germany","626","0.208846022359469","0.193940864400446","0.223751180318492"
"No","2019","college entrance qualification","East Germany","142","0.236269772451686","0.203663709358816","0.268875835544556"
"No","2019","Other degree","West Germany","235","0.259796894448462","0.230757439075925","0.288836349820999"
"No","2019","Other degree","East Germany","20","","",""
"No","2019","no degree/no degree yet","West Germany","50","0.222767331911975","0.157260964502077","0.288273699321873"
"No","2019","no degree/no degree yet","East Germany","6","","",""
