"plb0196_h","year","bula_h","n","percent","lower_confidence","upper_confidence"
"No","2004","Bremen","16","","",""
"No","2004","North Rhine-Westphalia","396","0.287911846760557","0.264452013445693","0.311371680075421"
"No","2004","Hesse","140","0.257242401511162","0.219958104487347","0.294526698534977"
"No","2004","Rhineland-Palatinate,Saarland","116","0.347646384486691","0.300138593830199","0.395154175143182"
"No","2004","Baden-Württemberg","262","0.286040413208896","0.256933703749974","0.315147122667817"
"No","2004","Bavaria","317","0.294905662899199","0.267810060381102","0.322001265417297"
"No","2004","Berlin","82","0.324214464231212","0.267643854992447","0.380785073469977"
"No","2004","Brandenburg","85","0.342144913615933","0.286575061907709","0.397714765324157"
"No","2004","Mecklenburg-Western Pomerania","69","0.424386032305976","0.350522500397823","0.498249564214129"
"No","2004","Saxony","153","0.286290550884766","0.249375703292058","0.323205398477474"
"No","2004","Saxony-Anhalt","113","0.303673555960501","0.253984576875471","0.353362535045532"
"No","2004","Thuringia","108","0.317270637078055","0.267432142154635","0.367109132001475"
"Yes","2005","Schleswig-Holstein","113","0.667186005915815","0.595717597718312","0.738654414113318"
"Yes","2005","Hamburg","68","0.68604911646385","0.5901675113456","0.781930721582101"
"Yes","2005","Lower Saxony","392","0.692222550006666","0.653993337893174","0.730451762120158"
"Yes","2005","Bremen","39","0.699597435166595","0.571238539058289","0.8279563312749"
"Yes","2005","North Rhine-Westphalia","983","0.740488774569436","0.716822619833319","0.764154929305553"
"Yes","2005","Hesse","361","0.692903446935777","0.65286872330807","0.732938170563484"
"Yes","2005","Rhineland-Palatinate,Saarland","253","0.640505760553285","0.590729591265752","0.690281929840819"
"Yes","2005","Baden-Württemberg","661","0.759091067061459","0.730593129563131","0.787589004559786"
"Yes","2005","Bavaria","701","0.680553449991164","0.652147577243404","0.708959322738924"
"Yes","2005","Berlin","184","0.712976179807455","0.656788008483534","0.769164351131375"
"Yes","2005","Brandenburg","187","0.679306299507406","0.623940088567788","0.734672510447025"
"Yes","2005","Mecklenburg-Western Pomerania","104","0.51470862225579","0.437508646784187","0.591908597727393"
"Yes","2005","Saxony","373","0.68828278376341","0.648848495747375","0.727717071779445"
"Yes","2005","Saxony-Anhalt","199","0.63343101111191","0.579528819342043","0.687333202881778"
"Yes","2005","Thuringia","194","0.624198758854586","0.569023701798794","0.679373815910377"
"No","2005","Schleswig-Holstein","54","0.332813994084185","0.261345585886682","0.404282402281688"
"No","2005","Hamburg","22","","",""
"No","2005","Lower Saxony","168","0.307777449993334","0.269548237879842","0.346006662106826"
"No","2005","Bremen","10","","",""
"No","2005","North Rhine-Westphalia","335","0.259511225430564","0.235845070694447","0.283177380166681"
"No","2005","Hesse","149","0.307096553064223","0.267061829436516","0.34713127669193"
"No","2005","Rhineland-Palatinate,Saarland","104","0.359494239446714","0.309718070159181","0.409270408734248"
"No","2005","Baden-Württemberg","204","0.240908932938541","0.212410995440214","0.269406870436869"
"No","2005","Bavaria","334","0.319446550008836","0.291040677261076","0.347852422756596"
"No","2005","Berlin","65","0.287023820192546","0.230835648868625","0.343211991516466"
"No","2005","Brandenburg","86","0.320693700492594","0.265327489552975","0.376059911432212"
"No","2005","Mecklenburg-Western Pomerania","57","0.48529137774421","0.408091402272607","0.562491353215812"
"No","2005","Saxony","157","0.31171721623659","0.272282928220555","0.351151504252626"
"No","2005","Saxony-Anhalt","108","0.366568988888089","0.312666797118222","0.420471180657957"
"No","2005","Thuringia","102","0.375801241145414","0.320626184089623","0.430976298201206"
"Yes","2006","Schleswig-Holstein","145","0.694348076966847","0.633334256699862","0.755361897233831"
"Yes","2006","Hamburg","71","0.656761525266478","0.560265716634428","0.753257333898529"
"Yes","2006","Lower Saxony","420","0.683659325369245","0.646633123191124","0.720685527547367"
"Yes","2006","Bremen","39","0.783694400769834","0.664713725905869","0.902675075633799"
"Yes","2006","North Rhine-Westphalia","1108","0.753963293579887","0.731893362255224","0.776033224904551"
"Yes","2006","Hesse","421","0.717957217030891","0.680950487881724","0.754963946180059"
"Yes","2006","Rhineland-Palatinate,Saarland","310","0.747770754058809","0.705936707155467","0.789604800962151"
"Yes","2006","Baden-Württemberg","738","0.748577298658327","0.721105575147331","0.776049022169323"
"Yes","2006","Bavaria","811","0.713035056117697","0.686765296846278","0.739304815389116"
"Yes","2006","Berlin","190","0.709330470460983","0.653816078011735","0.764844862910231"
"Yes","2006","Brandenburg","220","0.698289598713866","0.646777279999161","0.74980191742857"
"Yes","2006","Mecklenburg-Western Pomerania","126","0.70585960172467","0.640021745534313","0.771697457915027"
"Yes","2006","Saxony","413","0.727708985217435","0.691197831135887","0.764220139298984"
"Yes","2006","Saxony-Anhalt","218","0.648280113377024","0.595548309753258","0.70101191700079"
"Yes","2006","Thuringia","225","0.682186205544815","0.631795666107035","0.732576744982596"
"No","2006","Schleswig-Holstein","74","0.305651923033153","0.244638102766169","0.366665743300138"
"No","2006","Hamburg","22","","",""
"No","2006","Lower Saxony","186","0.316340674630755","0.279314472452633","0.353366876808876"
"No","2006","Bremen","7","","",""
"No","2006","North Rhine-Westphalia","355","0.246036706420113","0.223966775095449","0.268106637744776"
"No","2006","Hesse","147","0.282042782969109","0.245036053819942","0.319049512118276"
"No","2006","Rhineland-Palatinate,Saarland","104","0.252229245941191","0.210395199037849","0.294063292844533"
"No","2006","Baden-Württemberg","220","0.251422701341673","0.223950977830677","0.278894424852669"
"No","2006","Bavaria","328","0.286964943882303","0.260695184610884","0.313234703153722"
"No","2006","Berlin","67","0.290669529539017","0.235155137089769","0.346183921988265"
"No","2006","Brandenburg","85","0.301710401286134","0.250198082571429","0.353222720000838"
"No","2006","Mecklenburg-Western Pomerania","58","0.29414039827533","0.228302542084973","0.359978254465687"
"No","2006","Saxony","158","0.272291014782565","0.235779860701016","0.308802168864113"
"No","2006","Saxony-Anhalt","97","0.351719886622976","0.29898808299921","0.404451690246742"
"No","2006","Thuringia","103","0.317813794455185","0.267423255017404","0.368204333892965"
"Yes","2007","Schleswig-Holstein","116","0.689680950500833","0.620543684584207","0.75881821641746"
"Yes","2007","Hamburg","77","0.685941399630206","0.596738232437017","0.775144566823395"
"Yes","2007","Lower Saxony","444","0.759935897648174","0.725759635874028","0.794112159422319"
"Yes","2007","Bremen","37","0.733653235507899","0.608599518864898","0.858706952150899"
"Yes","2007","North Rhine-Westphalia","1047","0.783852728709033","0.761747852125541","0.805957605292524"
"Yes","2007","Hesse","378","0.764068286413115","0.726627594618234","0.801508978207996"
"Yes","2007","Rhineland-Palatinate,Saarland","248","0.66307818459324","0.614388076164104","0.711768293022375"
"Yes","2007","Baden-Württemberg","689","0.791327489537027","0.764509603229859","0.818145375844194"
"Yes","2007","Bavaria","782","0.739100243057201","0.712589842154669","0.765610643959732"
"Yes","2007","Berlin","181","0.738597915125342","0.683800739231444","0.793395091019239"
"Yes","2007","Brandenburg","199","0.595493071463427","0.538908177231127","0.652077965695727"
"Yes","2007","Mecklenburg-Western Pomerania","118","0.697653393667615","0.629412316790818","0.765894470544413"
"Yes","2007","Saxony","388","0.709930705242491","0.672074470861869","0.747786939623112"
"Yes","2007","Saxony-Anhalt","221","0.697714807709447","0.647553648776753","0.747875966642141"
"Yes","2007","Thuringia","231","0.71172402792582","0.662478539736997","0.760969516114644"
"No","2007","Schleswig-Holstein","56","0.310319049499167","0.24118178358254","0.379456315415793"
"No","2007","Hamburg","27","","",""
"No","2007","Lower Saxony","156","0.240064102351826","0.205887840577681","0.274240364125972"
"No","2007","Bremen","11","","",""
"No","2007","North Rhine-Westphalia","285","0.216147271290967","0.194042394707476","0.238252147874459"
"No","2007","Hesse","116","0.235931713586885","0.198491021792004","0.273372405381766"
"No","2007","Rhineland-Palatinate,Saarland","114","0.33692181540676","0.288231706977625","0.385611923835896"
"No","2007","Baden-Württemberg","193","0.208672510462973","0.181854624155805","0.235490396770141"
"No","2007","Bavaria","272","0.260899756942799","0.234389356040268","0.287410157845331"
"No","2007","Berlin","66","0.261402084874658","0.206604908980761","0.316199260768556"
"No","2007","Brandenburg","90","0.404506928536573","0.347922034304273","0.461091822768873"
"No","2007","Mecklenburg-Western Pomerania","56","0.302346606332385","0.234105529455588","0.370587683209182"
"No","2007","Saxony","164","0.290069294757509","0.252213060376888","0.327925529138131"
"No","2007","Saxony-Anhalt","101","0.302285192290553","0.252124033357859","0.352446351223247"
"No","2007","Thuringia","94","0.28827597207418","0.239030483885356","0.337521460263003"
"Yes","2008","Schleswig-Holstein","122","0.734263603259594","0.668056961819709","0.800470244699479"
"Yes","2008","Hamburg","71","0.732243561233299","0.643668753796468","0.820818368670131"
"Yes","2008","Lower Saxony","416","0.699477360285754","0.661871505424807","0.7370832151467"
"Yes","2008","Bremen","37","0.727595513783075","0.60294267161573","0.852248355950421"
"Yes","2008","North Rhine-Westphalia","972","0.735760060802073","0.71171730921595","0.759802812388197"
"Yes","2008","Hesse","369","0.740582892375698","0.702125134363109","0.779040650388287"
"Yes","2008","Rhineland-Palatinate,Saarland","242","0.605043747753246","0.554962466204494","0.655125029301997"
"Yes","2008","Baden-Württemberg","671","0.769037030746983","0.741128251450434","0.796945810043532"
"Yes","2008","Bavaria","773","0.744860500580502","0.718554902334468","0.771166098826536"
"Yes","2008","Berlin","189","0.743895962926984","0.690323413530196","0.797468512323771"
"Yes","2008","Brandenburg","185","0.65952342391498","0.60158852397964","0.717458323850321"
"Yes","2008","Mecklenburg-Western Pomerania","96","0.590338660972664","0.515302739201351","0.665374582743978"
"Yes","2008","Saxony","394","0.695769138792111","0.657595355327382","0.733942922256839"
"Yes","2008","Saxony-Anhalt","232","0.677286704654193","0.626921709283861","0.727651700024524"
"Yes","2008","Thuringia","206","0.656279436364678","0.602534863024721","0.710024009704635"
"No","2008","Schleswig-Holstein","49","0.265736396740406","0.199529755300521","0.331943038180291"
"No","2008","Hamburg","25","","",""
"No","2008","Lower Saxony","155","0.300522639714246","0.2629167848533","0.338128494575193"
"No","2008","Bremen","12","","",""
"No","2008","North Rhine-Westphalia","320","0.264239939197927","0.240197187611803","0.28828269078405"
"No","2008","Hesse","130","0.259417107624302","0.220959349611713","0.297874865636891"
"No","2008","Rhineland-Palatinate,Saarland","124","0.394956252246754","0.344874970698003","0.445037533795506"
"No","2008","Baden-Württemberg","205","0.230962969253017","0.203054189956468","0.258871748549566"
"No","2008","Bavaria","282","0.255139499419498","0.228833901173464","0.281445097665532"
"No","2008","Berlin","66","0.256104037073016","0.202531487676229","0.309676586469804"
"No","2008","Brandenburg","72","0.34047657608502","0.282541676149679","0.39841147602036"
"No","2008","Mecklenburg-Western Pomerania","69","0.409661339027336","0.334625417256022","0.484697260798649"
"No","2008","Saxony","164","0.304230861207889","0.266057077743161","0.342404644672617"
"No","2008","Saxony-Anhalt","99","0.322713295345807","0.272348299975475","0.373078290716139"
"No","2008","Thuringia","94","0.343720563635322","0.289975990295365","0.397465136975279"
"Yes","2009","Schleswig-Holstein","95","0.668594985317573","0.589772721705084","0.747417248930061"
"Yes","2009","Hamburg","71","0.733844350217346","0.639891826504255","0.827796873930438"
"Yes","2009","Lower Saxony","374","0.675249578301893","0.635716491038577","0.714782665565208"
"Yes","2009","Bremen","27","","",""
"Yes","2009","North Rhine-Westphalia","832","0.780190005573448","0.755860996645502","0.804519014501394"
"Yes","2009","Hesse","309","0.67260219716167","0.629051242164903","0.716153152158436"
"Yes","2009","Rhineland-Palatinate,Saarland","209","0.693496205012621","0.641839422739064","0.745152987286177"
"Yes","2009","Baden-Württemberg","515","0.67557678410481","0.641615822260037","0.709537745949583"
"Yes","2009","Bavaria","684","0.716708526153788","0.688322901889444","0.745094150418132"
"Yes","2009","Berlin","166","0.711398431288586","0.652192853023706","0.770604009553466"
"Yes","2009","Brandenburg","171","0.722234415288249","0.665686333553473","0.778782497023025"
"Yes","2009","Mecklenburg-Western Pomerania","89","0.512799547208355","0.433856226875062","0.591742867541647"
"Yes","2009","Saxony","366","0.695921264109149","0.656420790002061","0.735421738216237"
"Yes","2009","Saxony-Anhalt","208","0.710819377504157","0.6585480664571","0.763090688551214"
"Yes","2009","Thuringia","176","0.655443328850566","0.597899951158352","0.71298670654278"
"No","2009","Schleswig-Holstein","42","0.331405014682427","0.252582751069939","0.410227278294916"
"No","2009","Hamburg","14","","",""
"No","2009","Lower Saxony","165","0.324750421698107","0.285217334434792","0.364283508961423"
"No","2009","Bremen","9","","",""
"No","2009","North Rhine-Westphalia","281","0.219809994426552","0.195480985498606","0.244139003354498"
"No","2009","Hesse","137","0.32739780283833","0.283846847841564","0.370948757835097"
"No","2009","Rhineland-Palatinate,Saarland","97","0.306503794987379","0.254847012713823","0.358160577260936"
"No","2009","Baden-Württemberg","215","0.32442321589519","0.290462254050417","0.358384177739963"
"No","2009","Bavaria","284","0.283291473846212","0.254905849581868","0.311677098110556"
"No","2009","Berlin","59","0.288601568711414","0.229395990446534","0.347807146976293"
"No","2009","Brandenburg","70","0.277765584711751","0.221217502976975","0.334313666446527"
"No","2009","Mecklenburg-Western Pomerania","65","0.487200452791645","0.408257132458353","0.566143773124938"
"No","2009","Saxony","155","0.304078735890851","0.264578261783763","0.343579209997939"
"No","2009","Saxony-Anhalt","81","0.289180622495843","0.236909311448786","0.3414519335429"
"No","2009","Thuringia","86","0.344556671149434","0.28701329345722","0.402100048841648"
"Yes","2010","Schleswig-Holstein","183","0.689980597910935","0.633545261978562","0.746415933843308"
"Yes","2010","Hamburg","93","0.778243768413452","0.704223416043099","0.852264120783805"
"Yes","2010","Lower Saxony","504","0.654763682248146","0.620321308144752","0.689206056351539"
"Yes","2010","Bremen","45","0.632298713222151","0.510292713004208","0.754304713440095"
"Yes","2010","North Rhine-Westphalia","1105","0.710756062040137","0.688154639985204","0.73335748409507"
"Yes","2010","Hesse","455","0.712351913518705","0.677309249194345","0.747394577843065"
"Yes","2010","Rhineland-Palatinate,Saarland","277","0.644116286413083","0.599632240269138","0.688600332557028"
"Yes","2010","Baden-Württemberg","755","0.675212020005541","0.64730878754642","0.703115252464662"
"Yes","2010","Bavaria","947","0.681514422599656","0.657022487413288","0.706006357786024"
"Yes","2010","Berlin","212","0.704700196198262","0.652466825038414","0.75693356735811"
"Yes","2010","Brandenburg","194","0.614321335700901","0.559332382809406","0.669310288592396"
"Yes","2010","Mecklenburg-Western Pomerania","123","0.592023221153321","0.521204297805276","0.662842144501365"
"Yes","2010","Saxony","434","0.677620709078703","0.641325000623296","0.71391641753411"
"Yes","2010","Saxony-Anhalt","226","0.660855981588895","0.609465251869927","0.712246711307864"
"Yes","2010","Thuringia","232","0.611936756700391","0.561244871904272","0.66262864149651"
"No","2010","Schleswig-Holstein","75","0.310019402089065","0.253584066156692","0.366454738021438"
"No","2010","Hamburg","28","","",""
"No","2010","Lower Saxony","228","0.345236317751854","0.310793943648461","0.379678691855248"
"No","2010","Bremen","15","","",""
"No","2010","North Rhine-Westphalia","441","0.289243937959863","0.26664251590493","0.311845360014796"
"No","2010","Hesse","186","0.287648086481295","0.252605422156935","0.322690750805654"
"No","2010","Rhineland-Palatinate,Saarland","168","0.355883713586917","0.311399667442972","0.400367759730862"
"No","2010","Baden-Württemberg","327","0.324787979994459","0.296884747535338","0.35269121245358"
"No","2010","Bavaria","443","0.318485577400344","0.293993642213976","0.342977512586712"
"No","2010","Berlin","81","0.295299803801738","0.24306643264189","0.347533174961586"
"No","2010","Brandenburg","107","0.385678664299099","0.330689711407604","0.440667617190594"
"No","2010","Mecklenburg-Western Pomerania","62","0.407976778846679","0.337157855498635","0.478795702194724"
"No","2010","Saxony","203","0.322379290921297","0.28608358246589","0.358674999376704"
"No","2010","Saxony-Anhalt","100","0.339144018411105","0.287753288692136","0.390534748130073"
"No","2010","Thuringia","123","0.388063243299609","0.33737135850349","0.438755128095729"
"Yes","2011","Schleswig-Holstein","269","0.747113616271827","0.702521538623213","0.791705693920442"
"Yes","2011","Hamburg","99","0.745148106852184","0.667820706693149","0.82247550701122"
"Yes","2011","Lower Saxony","707","0.724970581970169","0.696797510221964","0.753143653718374"
"Yes","2011","Bremen","45","0.670451693158802","0.549481776203945","0.791421610113658"
"Yes","2011","North Rhine-Westphalia","1409","0.780034325405704","0.761174194797531","0.798894456013877"
"Yes","2011","Hesse","555","0.73220275069594","0.700658596630378","0.763746904761502"
"Yes","2011","Rhineland-Palatinate,Saarland","337","0.622922588120466","0.581266477529064","0.664578698711867"
"Yes","2011","Baden-Württemberg","1051","0.781115722218218","0.758926854054283","0.803304590382153"
"Yes","2011","Bavaria","1302","0.752729111188326","0.732280873394288","0.773177348982364"
"Yes","2011","Berlin","271","0.782779996307158","0.739393645705441","0.826166346908875"
"Yes","2011","Brandenburg","264","0.688961537192324","0.642600489582166","0.735322584802481"
"Yes","2011","Mecklenburg-Western Pomerania","145","0.662438717910595","0.599666277650051","0.725211158171138"
"Yes","2011","Saxony","503","0.707847544396072","0.674444755441715","0.741250333350429"
"Yes","2011","Saxony-Anhalt","276","0.673891615762605","0.627484875185193","0.720298356340017"
"Yes","2011","Thuringia","277","0.691908830954397","0.646887174433504","0.73693048747529"
"No","2011","Schleswig-Holstein","96","0.252886383728172","0.208294306079558","0.297478461376787"
"No","2011","Hamburg","23","","",""
"No","2011","Lower Saxony","258","0.275029418029831","0.246856346281626","0.303202489778036"
"No","2011","Bremen","13","","",""
"No","2011","North Rhine-Westphalia","444","0.219965674594296","0.201105543986123","0.238825805202469"
"No","2011","Hesse","202","0.26779724930406","0.236253095238498","0.299341403369622"
"No","2011","Rhineland-Palatinate,Saarland","183","0.377077411879535","0.335421301288133","0.418733522470936"
"No","2011","Baden-Württemberg","283","0.218884277781782","0.196695409617847","0.241073145945717"
"No","2011","Bavaria","408","0.247270888811674","0.226822651017636","0.267719126605712"
"No","2011","Berlin","76","0.217220003692842","0.173833653091125","0.260606354294559"
"No","2011","Brandenburg","119","0.311038462807677","0.264677415197519","0.357399510417834"
"No","2011","Mecklenburg-Western Pomerania","73","0.337561282089405","0.274788841828862","0.400333722349948"
"No","2011","Saxony","209","0.292152455603928","0.258749666649571","0.325555244558285"
"No","2011","Saxony-Anhalt","116","0.326108384237395","0.279701643659983","0.372515124814807"
"No","2011","Thuringia","127","0.308091169045603","0.26306951252471","0.353112825566496"
"Yes","2012","Schleswig-Holstein","280","0.747766500516381","0.704328796265291","0.791204204767471"
"Yes","2012","Hamburg","100","0.671024717778882","0.589630416508296","0.752419019049468"
"Yes","2012","Lower Saxony","688","0.725675786371132","0.697046491165064","0.754305081577199"
"Yes","2012","Bremen","55","0.757567324211514","0.657883403467953","0.857251244955075"
"Yes","2012","North Rhine-Westphalia","1358","0.713043116367855","0.692741109800868","0.733345122934842"
"Yes","2012","Hesse","552","0.709196385632199","0.67728530955561","0.741107461708789"
"Yes","2012","Rhineland-Palatinate,Saarland","355","0.640634251833275","0.60008989913268","0.681178604533871"
"Yes","2012","Baden-Württemberg","1046","0.770081371181177","0.747791797804371","0.792370944557983"
"Yes","2012","Bavaria","1275","0.73565600761811","0.71516986436613","0.756142150870089"
"Yes","2012","Berlin","282","0.761735438332118","0.71873140176711","0.804739474897126"
"Yes","2012","Brandenburg","252","0.64475820052102","0.595457365661366","0.694059035380674"
"Yes","2012","Mecklenburg-Western Pomerania","145","0.63109769475693","0.567483221475375","0.694712168038486"
"Yes","2012","Saxony","510","0.691645379284633","0.658349319541044","0.724941439028222"
"Yes","2012","Saxony-Anhalt","272","0.671736508030727","0.624209198960445","0.719263817101009"
"Yes","2012","Thuringia","257","0.619549333999348","0.571488403031146","0.667610264967549"
"No","2012","Schleswig-Holstein","104","0.252233499483619","0.208795795232529","0.29567120373471"
"No","2012","Hamburg","28","","",""
"No","2012","Lower Saxony","245","0.274324213628868","0.245694918422801","0.302953508834936"
"No","2012","Bremen","16","","",""
"No","2012","North Rhine-Westphalia","549","0.286956883632145","0.266654877065158","0.307258890199132"
"No","2012","Hesse","226","0.290803614367801","0.258892538291211","0.32271469044439"
"No","2012","Rhineland-Palatinate,Saarland","183","0.359365748166725","0.318821395466129","0.39991010086732"
"No","2012","Baden-Württemberg","323","0.229918628818823","0.207629055442017","0.252208202195629"
"No","2012","Bavaria","505","0.26434399238189","0.243857849129911","0.28483013563387"
"No","2012","Berlin","95","0.238264561667882","0.195260525102874","0.28126859823289"
"No","2012","Brandenburg","110","0.35524179947898","0.305940964619326","0.404542634338634"
"No","2012","Mecklenburg-Western Pomerania","76","0.36890230524307","0.305287831961514","0.432516778524625"
"No","2012","Saxony","229","0.308354620715367","0.275058560971778","0.341650680458956"
"No","2012","Saxony-Anhalt","103","0.328263491969273","0.280736182898991","0.375790801039555"
"No","2012","Thuringia","135","0.380450666000652","0.332389735032451","0.428511596968854"
"Yes","2013","Schleswig-Holstein","284","0.733046503818377","0.688685641523837","0.777407366112916"
"Yes","2013","Hamburg","120","0.750020704059793","0.68313646363651","0.816904944483076"
"Yes","2013","Lower Saxony","763","0.721472077497585","0.694674965422616","0.748269189572554"
"Yes","2013","Bremen","59","0.773530997566659","0.676853569723965","0.870208425409352"
"Yes","2013","North Rhine-Westphalia","1537","0.716069225484586","0.69697857424298","0.735159876726193"
"Yes","2013","Hesse","627","0.728368336809861","0.698640412204644","0.758096261415078"
"Yes","2013","Rhineland-Palatinate,Saarland","426","0.712488918521126","0.676091446597737","0.748886390444515"
"Yes","2013","Baden-Württemberg","1141","0.774887291736517","0.753779468502193","0.795995114970842"
"Yes","2013","Bavaria","1337","0.711751012118146","0.691077437550253","0.732424586686039"
"Yes","2013","Berlin","289","0.784575556100762","0.743185752755064","0.82596535944646"
"Yes","2013","Brandenburg","251","0.647986405191703","0.598093427435891","0.697879382947515"
"Yes","2013","Mecklenburg-Western Pomerania","149","0.69289272977698","0.630650532680303","0.755134926873657"
"Yes","2013","Saxony","469","0.724823278012207","0.691280699289199","0.758365856735216"
"Yes","2013","Saxony-Anhalt","275","0.633049713326293","0.584590225848028","0.681509200804559"
"Yes","2013","Thuringia","256","0.758606760818883","0.715003583738093","0.802209937899673"
"No","2013","Schleswig-Holstein","98","0.266953496181623","0.222592633887084","0.311314358476163"
"No","2013","Hamburg","41","0.249979295940207","0.183095055516924","0.31686353636349"
"No","2013","Lower Saxony","312","0.278527922502415","0.251730810427446","0.305325034577384"
"No","2013","Bremen","13","","",""
"No","2013","North Rhine-Westphalia","606","0.283930774515414","0.264840123273807","0.30302142575702"
"No","2013","Hesse","233","0.271631663190139","0.241903738584922","0.301359587795356"
"No","2013","Rhineland-Palatinate,Saarland","168","0.287511081478874","0.251113609555485","0.323908553402263"
"No","2013","Baden-Württemberg","363","0.225112708263483","0.204004885029158","0.246220531497807"
"No","2013","Bavaria","507","0.288248987881854","0.267575413313961","0.308922562449747"
"No","2013","Berlin","90","0.215424443899238","0.17403464055354","0.256814247244936"
"No","2013","Brandenburg","101","0.352013594808297","0.302120617052485","0.401906572564109"
"No","2013","Mecklenburg-Western Pomerania","62","0.30710727022302","0.244865073126343","0.369349467319697"
"No","2013","Saxony","212","0.275176721987793","0.241634143264784","0.308719300710801"
"No","2013","Saxony-Anhalt","105","0.366950286673707","0.318490799195441","0.415409774151973"
"No","2013","Thuringia","114","0.241393239181117","0.197790062100327","0.284996416261907"
"Yes","2014","Schleswig-Holstein","238","0.741687672307326","0.693804967869596","0.789570376745056"
"Yes","2014","Hamburg","88","0.731488403208829","0.654711895715214","0.808264910702444"
"Yes","2014","Lower Saxony","677","0.720659631436593","0.69220333648067","0.749115926392515"
"Yes","2014","Bremen","51","0.774152606275614","0.67250146841433","0.875803744136899"
"Yes","2014","North Rhine-Westphalia","1382","0.739437669694216","0.719798767640652","0.759076571747781"
"Yes","2014","Hesse","551","0.722011827599631","0.690160568125404","0.753863087073859"
"Yes","2014","Rhineland-Palatinate,Saarland","393","0.71661475899935","0.678918920597881","0.754310597400819"
"Yes","2014","Baden-Württemberg","964","0.792928640503296","0.770651862059424","0.815205418947167"
"Yes","2014","Bavaria","1277","0.712522207826331","0.691717936724567","0.733326478928095"
"Yes","2014","Berlin","277","0.766982970163114","0.723373462693794","0.810592477632434"
"Yes","2014","Brandenburg","225","0.667075769437182","0.615522541876071","0.718628996998293"
"Yes","2014","Mecklenburg-Western Pomerania","132","0.675136909868924","0.607833397361887","0.742440422375962"
"Yes","2014","Saxony","430","0.676402714694436","0.639840888981873","0.712964540407"
"Yes","2014","Saxony-Anhalt","237","0.717316022786122","0.66902340808127","0.765608637490974"
"Yes","2014","Thuringia","268","0.67512059469583","0.627140697036002","0.723100492355658"
"No","2014","Schleswig-Holstein","83","0.258312327692674","0.210429623254944","0.306195032130404"
"No","2014","Hamburg","40","0.268511596791171","0.191735089297556","0.345288104284786"
"No","2014","Lower Saxony","278","0.279340368563407","0.250884073607485","0.30779666351933"
"No","2014","Bremen","14","","",""
"No","2014","North Rhine-Westphalia","537","0.260562330305783","0.240923428252219","0.280201232359348"
"No","2014","Hesse","209","0.277988172400369","0.246136912926141","0.309839431874596"
"No","2014","Rhineland-Palatinate,Saarland","156","0.28338524100065","0.245689402599181","0.321081079402119"
"No","2014","Baden-Württemberg","307","0.207071359496704","0.184794581052833","0.229348137940576"
"No","2014","Bavaria","541","0.287477792173669","0.266673521071905","0.308282063275433"
"No","2014","Berlin","84","0.233017029836886","0.189407522367566","0.276626537306206"
"No","2014","Brandenburg","96","0.332924230562818","0.281371003001707","0.384477458123929"
"No","2014","Mecklenburg-Western Pomerania","54","0.324863090131076","0.257559577624038","0.392166602638113"
"No","2014","Saxony","199","0.323597285305564","0.287035459593001","0.360159111018127"
"No","2014","Saxony-Anhalt","97","0.282683977213878","0.234391362509026","0.33097659191873"
"No","2014","Thuringia","98","0.32487940530417","0.276899507644342","0.372859302963998"
"Yes","2015","Schleswig-Holstein","245","0.761264132492354","0.714915926273324","0.807612338711385"
"Yes","2015","Hamburg","96","0.732346471098848","0.655647791106827","0.809045151090869"
"Yes","2015","Lower Saxony","690","0.749142318591067","0.721340671879115","0.776943965303019"
"Yes","2015","Bremen","46","0.743604652209946","0.630250669778435","0.856958634641458"
"Yes","2015","North Rhine-Westphalia","1305","0.768306389133575","0.748297249765728","0.788315528501423"
"Yes","2015","Hesse","552","0.716919431024543","0.684635419198026","0.74920344285106"
"Yes","2015","Rhineland-Palatinate,Saarland","391","0.753719609117431","0.716290540174609","0.791148678060252"
"Yes","2015","Baden-Württemberg","1056","0.834848530139753","0.814593633330234","0.855103426949272"
"Yes","2015","Bavaria","1366","0.771779726886416","0.752266541497802","0.79129291227503"
"Yes","2015","Berlin","258","0.772626664310595","0.727128496977012","0.818124831644177"
"Yes","2015","Brandenburg","234","0.704181131617751","0.653858924899541","0.75450333833596"
"Yes","2015","Mecklenburg-Western Pomerania","118","0.7251946053469","0.657284570019181","0.793104640674619"
"Yes","2015","Saxony","423","0.722706612011702","0.686274456649555","0.75913876737385"
"Yes","2015","Saxony-Anhalt","236","0.698188259605065","0.64733365782105","0.749042861389081"
"Yes","2015","Thuringia","263","0.773373807339455","0.729451498787835","0.817296115891076"
"No","2015","Schleswig-Holstein","80","0.238735867507646","0.192387661288615","0.285084073726676"
"No","2015","Hamburg","32","0.267653528901152","0.190954848909131","0.344352208893173"
"No","2015","Lower Saxony","244","0.250857681408933","0.223056034696981","0.278659328120885"
"No","2015","Bremen","11","","",""
"No","2015","North Rhine-Westphalia","403","0.231693610866425","0.211684471498577","0.251702750234272"
"No","2015","Hesse","196","0.283080568975457","0.25079655714894","0.315364580801974"
"No","2015","Rhineland-Palatinate,Saarland","118","0.246280390882569","0.208851321939748","0.283709459825391"
"No","2015","Baden-Württemberg","235","0.165151469860247","0.144896573050728","0.185406366669766"
"No","2015","Bavaria","411","0.228220273113584","0.20870708772497","0.247733458502198"
"No","2015","Berlin","68","0.227373335689405","0.181875168355823","0.272871503022988"
