"plb0196_h","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence"
"No","2005","higher education","Female","224","0.285857441550647","0.254129158523115","0.317585724578179"
"Yes","2006","in school","Male","3","","",""
"Yes","2006","in school","Female","","","",""
"Yes","2006","inadequately","Male","12","","",""
"Yes","2006","inadequately","Female","4","","",""
"Yes","2006","general elemantary","Male","136","0.678642896657448","0.613430586741027","0.74385520657387"
"Yes","2006","general elemantary","Female","113","0.601150718491685","0.532599347066889","0.669702089916481"
"Yes","2006","middle vocational","Male","1443","0.699759128670696","0.679810028643228","0.719708228698165"
"Yes","2006","middle vocational","Female","1134","0.683561961401132","0.66111430279487","0.706009620007394"
"Yes","2006","vocational + Abi","Male","185","0.720266026764857","0.665280653112676","0.775251400417039"
"Yes","2006","vocational + Abi","Female","234","0.702501159773482","0.65209649728956","0.752905822257405"
"Yes","2006","higher vocational","Male","305","0.79370438255218","0.753441337378967","0.833967427725393"
"Yes","2006","higher vocational","Female","224","0.747206410367301","0.698430936842648","0.795981883891954"
"Yes","2006","higher education","Male","941","0.82250435892889","0.800187048935498","0.844821668922283"
"Yes","2006","higher education","Female","678","0.765765373325249","0.738263497735706","0.793267248914791"
"No","2006","in school","Male","4","","",""
"No","2006","in school","Female","1","","",""
"No","2006","inadequately","Male","9","","",""
"No","2006","inadequately","Female","2","","",""
"No","2006","general elemantary","Male","61","0.321357103342552","0.25614479342613","0.386569413258973"
"No","2006","general elemantary","Female","83","0.398849281508315","0.330297910083519","0.467400652933111"
"No","2006","middle vocational","Male","585","0.300240871329304","0.280291771301836","0.320189971356772"
"No","2006","middle vocational","Female","515","0.316438038598868","0.293990379992606","0.33888569720513"
"No","2006","vocational + Abi","Male","71","0.279733973235143","0.224748599582961","0.334719346887324"
"No","2006","vocational + Abi","Female","82","0.297498840226518","0.247094177742595","0.34790350271044"
"No","2006","higher vocational","Male","83","0.20629561744782","0.166032572274607","0.246558662621033"
"No","2006","higher vocational","Female","81","0.252793589632699","0.204018116108046","0.301569063157352"
"No","2006","higher education","Male","185","0.17749564107111","0.155178331077717","0.199812951064502"
"No","2006","higher education","Female","233","0.234234626674752","0.206732751085209","0.261736502264294"
"Yes","2007","in school","Male","2","","",""
"Yes","2007","in school","Female","","","",""
"Yes","2007","inadequately","Male","4","","",""
"Yes","2007","inadequately","Female","4","","",""
"Yes","2007","general elemantary","Male","123","0.734846997876288","0.669070344120887","0.800623651631689"
"Yes","2007","general elemantary","Female","78","0.508483657926006","0.42596616672352","0.591001149128493"
"Yes","2007","middle vocational","Male","1421","0.736638465418452","0.716998175310601","0.756278755526302"
"Yes","2007","middle vocational","Female","1065","0.722507370649659","0.699908107081109","0.745106634218208"
"Yes","2007","vocational + Abi","Male","188","0.775014785964995","0.722620351067911","0.827409220862079"
"Yes","2007","vocational + Abi","Female","229","0.789969908388772","0.74380005111903","0.836139765658515"
"Yes","2007","higher vocational","Male","303","0.791158128527462","0.750342542298381","0.831973714756543"
"Yes","2007","higher vocational","Female","189","0.746124644973925","0.693017347384203","0.799231942563646"
"Yes","2007","higher education","Male","876","0.835820407198105","0.813520080228151","0.858120734168059"
"Yes","2007","higher education","Female","638","0.719338856685547","0.689533187674629","0.749144525696466"
"No","2007","in school","Male","","","",""
"No","2007","in school","Female","3","","",""
"No","2007","inadequately","Male","5","","",""
"No","2007","inadequately","Female","4","","",""
"No","2007","general elemantary","Male","50","0.265153002123712","0.199376348368311","0.330929655879113"
"No","2007","general elemantary","Female","63","0.491516342073994","0.408998850871507","0.57403383327648"
"No","2007","middle vocational","Male","511","0.263361534581548","0.243721244473698","0.283001824689399"
"No","2007","middle vocational","Female","443","0.277492629350341","0.254893365781792","0.300091892918891"
"No","2007","vocational + Abi","Male","56","0.224985214035005","0.172590779137921","0.277379648932089"
"No","2007","vocational + Abi","Female","70","0.210030091611228","0.163860234341485","0.25619994888097"
"No","2007","higher vocational","Male","78","0.208841871472538","0.168026285243456","0.249657457701619"
"No","2007","higher vocational","Female","69","0.253875355026075","0.200768057436353","0.306982652615797"
"No","2007","higher education","Male","184","0.164179592801895","0.141879265831941","0.186479919771849"
"No","2007","higher education","Female","235","0.280661143314453","0.250855474303534","0.310466812325371"
"Yes","2008","in school","Male","1","","",""
"Yes","2008","in school","Female","3","","",""
"Yes","2008","inadequately","Male","8","","",""
"Yes","2008","inadequately","Female","3","","",""
"Yes","2008","general elemantary","Male","128","0.662895665236085","0.595142116717246","0.730649213754924"
"Yes","2008","general elemantary","Female","99","0.596522808202891","0.521208531362966","0.671837085042816"
"Yes","2008","middle vocational","Male","1313","0.706416616800947","0.685798001940678","0.727035231661215"
"Yes","2008","middle vocational","Female","1047","0.675450388540352","0.651959031866157","0.698941745214547"
"Yes","2008","vocational + Abi","Male","177","0.757559475912813","0.702649514709561","0.812469437116064"
"Yes","2008","vocational + Abi","Female","222","0.737583490398922","0.688046690481698","0.787120290316146"
"Yes","2008","higher vocational","Male","281","0.81078606713821","0.769335476253628","0.852236658022793"
"Yes","2008","higher vocational","Female","190","0.768896060914472","0.717055615460333","0.820736506368611"
"Yes","2008","higher education","Male","822","0.811862580201284","0.787675887954056","0.836049272448512"
"Yes","2008","higher education","Female","633","0.733659683574027","0.704047052813337","0.763272314334718"
"No","2008","in school","Male","1","","",""
"No","2008","in school","Female","4","","",""
"No","2008","inadequately","Male","7","","",""
"No","2008","inadequately","Female","2","","",""
"No","2008","general elemantary","Male","59","0.337104334763915","0.269350786245076","0.404857883282754"
"No","2008","general elemantary","Female","64","0.403477191797109","0.328162914957184","0.478791468637034"
"No","2008","middle vocational","Male","561","0.293583383199053","0.272964768338785","0.314201998059322"
"No","2008","middle vocational","Female","479","0.324549611459648","0.301058254785453","0.348040968133843"
"No","2008","vocational + Abi","Male","57","0.242440524087187","0.187530562883935","0.297350485290439"
"No","2008","vocational + Abi","Female","81","0.262416509601078","0.212879709683854","0.311953309518302"
"No","2008","higher vocational","Male","62","0.18921393286179","0.147763341977207","0.230664523746372"
"No","2008","higher vocational","Female","64","0.231103939085528","0.179263493631389","0.282944384539667"
"No","2008","higher education","Male","181","0.188137419798716","0.163950727551488","0.212324112045944"
"No","2008","higher education","Female","223","0.266340316425973","0.236727685665282","0.295952947186663"
"Yes","2009","in school","Male","1","","",""
"Yes","2009","in school","Female","2","","",""
"Yes","2009","inadequately","Male","9","","",""
"Yes","2009","inadequately","Female","4","","",""
"Yes","2009","general elemantary","Male","85","0.678676854998987","0.601044418857983","0.75630929113999"
"Yes","2009","general elemantary","Female","71","0.56873714155857","0.482262326380626","0.655211956736515"
"Yes","2009","middle vocational","Male","1070","0.68189311597673","0.659143197755865","0.704643034197595"
"Yes","2009","middle vocational","Female","916","0.653955399946598","0.628598284458354","0.679312515434843"
"Yes","2009","vocational + Abi","Male","143","0.772126464696524","0.712948421475789","0.831304507917258"
"Yes","2009","vocational + Abi","Female","209","0.710583178135268","0.657560180449051","0.763606175821486"
"Yes","2009","higher vocational","Male","240","0.731671715295206","0.68342508941752","0.779918341172893"
"Yes","2009","higher vocational","Female","162","0.773011647754055","0.718033454368922","0.827989841139188"
"Yes","2009","higher education","Male","754","0.808065015250724","0.782740539854147","0.8333894906473"
"Yes","2009","higher education","Female","581","0.736104783214664","0.705331731871904","0.766877834557424"
"No","2009","in school","Male","1","","",""
"No","2009","in school","Female","1","","",""
"No","2009","inadequately","Male","6","","",""
"No","2009","inadequately","Female","4","","",""
"No","2009","general elemantary","Male","54","0.321323145001013","0.24369070886001","0.398955581142017"
"No","2009","general elemantary","Female","55","0.43126285844143","0.344788043263485","0.517737673619375"
"No","2009","middle vocational","Male","540","0.31810688402327","0.295356965802405","0.340856802244135"
"No","2009","middle vocational","Female","436","0.346044600053401","0.320687484565157","0.371401715541646"
"No","2009","vocational + Abi","Male","50","0.227873535303476","0.168695492082742","0.287051578524211"
"No","2009","vocational + Abi","Female","72","0.289416821864732","0.236393824178514","0.342439819550949"
"No","2009","higher vocational","Male","84","0.268328284704794","0.220081658827107","0.31657491058248"
"No","2009","higher vocational","Female","61","0.226988352245945","0.172010158860812","0.281966545631078"
"No","2009","higher education","Male","175","0.191934984749276","0.1666105093527","0.217259460145853"
"No","2009","higher education","Female","207","0.263895216785336","0.233122165442576","0.294668268128096"
"Yes","2010","in school","Male","3","","",""
"Yes","2010","in school","Female","2","","",""
"Yes","2010","inadequately","Male","20","","",""
"Yes","2010","inadequately","Female","8","","",""
"Yes","2010","general elemantary","Male","153","0.594664874741144","0.531760126908833","0.657569622573455"
"Yes","2010","general elemantary","Female","120","0.539816719657567","0.471253902208144","0.60837953710699"
"Yes","2010","middle vocational","Male","1475","0.642578487680743","0.622868200184289","0.662288775177198"
"Yes","2010","middle vocational","Female","1159","0.645376114238441","0.623251008194954","0.667501220281928"
"Yes","2010","vocational + Abi","Male","225","0.720345535001817","0.670382529272363","0.770308540731272"
"Yes","2010","vocational + Abi","Female","299","0.67575124503931","0.631352904355711","0.72014958572291"
"Yes","2010","higher vocational","Male","319","0.705556015493308","0.66212049802239","0.748991532964225"
"Yes","2010","higher vocational","Female","191","0.76218949130981","0.710637618809725","0.813741363809895"
"Yes","2010","higher education","Male","1014","0.816787512825041","0.795537168608979","0.838037857041102"
"Yes","2010","higher education","Female","753","0.692771478007007","0.664919659856979","0.720623296157035"
"No","2010","in school","Male","1","","",""
"No","2010","in school","Female","1","","",""
"No","2010","inadequately","Male","9","","",""
"No","2010","inadequately","Female","4","","",""
"No","2010","general elemantary","Male","81","0.405335125258856","0.342430377426545","0.468239873091167"
"No","2010","general elemantary","Female","83","0.460183280342433","0.39162046289301","0.528746097791856"
"No","2010","middle vocational","Male","796","0.357421512319257","0.337711224822802","0.377131799815711"
"No","2010","middle vocational","Female","637","0.354623885761559","0.332498779718072","0.376748991805046"
"No","2010","vocational + Abi","Male","85","0.279654464998183","0.229691459268728","0.329617470727637"
"No","2010","vocational + Abi","Female","128","0.324248754960689","0.27985041427709","0.368647095644289"
"No","2010","higher vocational","Male","104","0.294443984506692","0.251008467035775","0.337879501977609"
"No","2010","higher vocational","Female","71","0.23781050869019","0.186258636190105","0.289362381190275"
"No","2010","higher education","Male","259","0.183212487174959","0.161962142958898","0.204462831391021"
"No","2010","higher education","Female","301","0.307228521992993","0.279376703842965","0.335080340143021"
"Yes","2011","in school","Male","5","","",""
"Yes","2011","in school","Female","3","","",""
"Yes","2011","inadequately","Male","30","0.751081354836555","0.624749160741769","0.87741354893134"
"Yes","2011","inadequately","Female","11","","",""
"Yes","2011","general elemantary","Male","207","0.715759526844939","0.664113037219655","0.767406016470224"
"Yes","2011","general elemantary","Female","176","0.595729995218062","0.538854450638114","0.65260553979801"
"Yes","2011","middle vocational","Male","1850","0.723314785081361","0.706005608336904","0.740623961825818"
"Yes","2011","middle vocational","Female","1570","0.69662701278812","0.67769892473281","0.715555100843431"
"Yes","2011","vocational + Abi","Male","283","0.81103619616418","0.77013969171232","0.85193270061604"
"Yes","2011","vocational + Abi","Female","411","0.754248852204807","0.718103293146222","0.790394411263392"
"Yes","2011","higher vocational","Male","412","0.773602829138964","0.737804483104294","0.809401175173634"
"Yes","2011","higher vocational","Female","237","0.801697909941972","0.75612115006191","0.847274669822034"
"Yes","2011","higher education","Male","1221","0.818013123620561","0.79844843396447","0.837577813276653"
"Yes","2011","higher education","Female","965","0.751008486225366","0.72734659476676","0.774670377683972"
"No","2011","in school","Male","2","","",""
"No","2011","in school","Female","","","",""
"No","2011","inadequately","Male","15","","",""
"No","2011","inadequately","Female","3","","",""
"No","2011","general elemantary","Male","86","0.284240473155061","0.232593983529776","0.335886962780345"
"No","2011","general elemantary","Female","110","0.404270004781938","0.34739446020199","0.461145549361886"
"No","2011","middle vocational","Male","716","0.276685214918639","0.259376038174182","0.293994391663096"
"No","2011","middle vocational","Female","696","0.30337298721188","0.284444899156569","0.32230107526719"
"No","2011","vocational + Abi","Male","69","0.18896380383582","0.14806729938396","0.22986030828768"
"No","2011","vocational + Abi","Female","134","0.245751147795193","0.209605588736608","0.281896706853778"
"No","2011","higher vocational","Male","113","0.226397170861036","0.190598824826366","0.262195516895706"
"No","2011","higher vocational","Female","57","0.198302090058028","0.152725330177966","0.24387884993809"
"No","2011","higher education","Male","273","0.181986876379439","0.162422186723347","0.20155156603553"
"No","2011","higher education","Female","318","0.248991513774634","0.225329622316028","0.27265340523324"
"Yes","2012","in school","Male","6","","",""
"Yes","2012","in school","Female","2","","",""
"Yes","2012","inadequately","Male","33","0.71134853102436","0.592667261571356","0.830029800477363"
"Yes","2012","inadequately","Female","13","","",""
"Yes","2012","general elemantary","Male","212","0.663662894638593","0.610727209637612","0.716598579639575"
"Yes","2012","general elemantary","Female","178","0.603302571342861","0.546704136233845","0.659901006451876"
"Yes","2012","middle vocational","Male","1776","0.676056581976367","0.658047598153604","0.694065565799131"
"Yes","2012","middle vocational","Female","1619","0.680716681516338","0.662045721745128","0.699387641287547"
"Yes","2012","vocational + Abi","Male","282","0.754440026835484","0.710039753918986","0.798840299751982"
"Yes","2012","vocational + Abi","Female","438","0.759651339857199","0.725317876479331","0.793984803235066"
"Yes","2012","higher vocational","Male","418","0.777182515491141","0.741620090868479","0.812744940113803"
"Yes","2012","higher vocational","Female","219","0.752000001755503","0.702803185883157","0.801196817627849"
"Yes","2012","higher education","Male","1183","0.815130636895845","0.795272836362462","0.834988437429227"
"Yes","2012","higher education","Female","977","0.734215424582959","0.710545510963119","0.757885338202799"
"No","2012","in school","Male","1","","",""
"No","2012","in school","Female","3","","",""
"No","2012","inadequately","Male","23","","",""
"No","2012","inadequately","Female","8","","",""
"No","2012","general elemantary","Male","94","0.336337105361407","0.283401420360425","0.389272790362388"
"No","2012","general elemantary","Female","109","0.396697428657139","0.340098993548124","0.453295863766155"
"No","2012","middle vocational","Male","818","0.323943418023633","0.305934434200869","0.341952401846396"
"No","2012","middle vocational","Female","776","0.319283318483662","0.300612358712453","0.337954278254872"
"No","2012","vocational + Abi","Male","79","0.245559973164516","0.201159700248018","0.289960246081014"
"No","2012","vocational + Abi","Female","157","0.240348660142801","0.206015196764934","0.274682123520669"
"No","2012","higher vocational","Male","108","0.222817484508859","0.187255059886197","0.258379909131521"
"No","2012","higher vocational","Female","77","0.247999998244497","0.19880318237215","0.297196814116843"
"No","2012","higher education","Male","285","0.184869363104155","0.165011562570773","0.204727163637538"
"No","2012","higher education","Female","361","0.265784575417041","0.242114661797201","0.289454489036881"
"Yes","2013","in school","Male","4","","",""
"Yes","2013","in school","Female","12","","",""
"Yes","2013","inadequately","Male","40","0.618238641209448","0.501910511283082","0.734566771135814"
"Yes","2013","inadequately","Female","22","","",""
"Yes","2013","general elemantary","Male","331","0.703495510635151","0.662595197201862","0.74439582406844"
"Yes","2013","general elemantary","Female","221","0.687251112031705","0.637826262755524","0.736675961307885"
"Yes","2013","middle vocational","Male","1847","0.696442975959961","0.678887172677357","0.713998779242565"
"Yes","2013","middle vocational","Female","1718","0.700041866098868","0.681930085228812","0.718153646968924"
"Yes","2013","vocational + Abi","Male","340","0.698548062991168","0.656429566914119","0.740666559068217"
"Yes","2013","vocational + Abi","Female","484","0.777588513968046","0.74583740429769","0.809339623638403"
"Yes","2013","higher vocational","Male","390","0.791931877343798","0.755990332692543","0.827873421995053"
"Yes","2013","higher vocational","Female","203","0.761033701951931","0.710260597530454","0.811806806373408"
"Yes","2013","higher education","Male","1255","0.795250797289788","0.775347721707005","0.81515387287257"
"Yes","2013","higher education","Female","1037","0.73178452244811","0.70866003782843","0.75490900706779"
"No","2013","in school","Male","1","","",""
"No","2013","in school","Female","4","","",""
"No","2013","inadequately","Male","27","","",""
"No","2013","inadequately","Female","12","","",""
"No","2013","general elemantary","Male","148","0.296504489364849","0.25560417593156","0.337404802798137"
"No","2013","general elemantary","Female","117","0.312748887968295","0.263324038692115","0.362173737244476"
"No","2013","middle vocational","Male","788","0.303557024040039","0.286001220757435","0.321112827322643"
"No","2013","middle vocational","Female","741","0.299958133901132","0.281846353031076","0.318069914771188"
"No","2013","vocational + Abi","Male","116","0.301451937008832","0.259333440931784","0.343570433085881"
"No","2013","vocational + Abi","Female","175","0.222411486031953","0.190660376361597","0.25416259570231"
"No","2013","higher vocational","Male","100","0.208068122656202","0.172126578004947","0.244009667307457"
"No","2013","higher vocational","Female","68","0.238966298048069","0.188193193626592","0.289739402469546"
"No","2013","higher education","Male","324","0.204749202710212","0.18484612712743","0.224652278292995"
"No","2013","higher education","Female","373","0.26821547755189","0.24509099293221","0.29133996217157"
"Yes","2014","in school","Male","4","","",""
"Yes","2014","in school","Female","7","","",""
"Yes","2014","inadequately","Male","26","","",""
"Yes","2014","inadequately","Female","12","","",""
"Yes","2014","general elemantary","Male","265","0.644466688748393","0.596898821877635","0.692034555619151"
"Yes","2014","general elemantary","Female","200","0.676571392981723","0.624244501748363","0.728898284215084"
"Yes","2014","middle vocational","Male","1671","0.698264382791054","0.679630636064643","0.716898129517465"
"Yes","2014","middle vocational","Female","1533","0.705738026839521","0.686857814221674","0.724618239457368"
"Yes","2014","vocational + Abi","Male","319","0.788723178031951","0.749257877928156","0.828188478135746"
"Yes","2014","vocational + Abi","Female","443","0.749652561976034","0.715414267445614","0.783890856506453"
"Yes","2014","higher vocational","Male","354","0.774658936392561","0.735708494071553","0.813609378713569"
"Yes","2014","higher vocational","Female","172","0.719928266696978","0.664597449707101","0.775259083686855"
"Yes","2014","higher education","Male","1112","0.806640405096155","0.786004482404218","0.827276327788091"
"Yes","2014","higher education","Female","980","0.744885001249939","0.721767794755667","0.76800220774421"
"No","2014","in school","Male","","","",""
"No","2014","in school","Female","2","","",""
"No","2014","inadequately","Male","14","","",""
"No","2014","inadequately","Female","16","","",""
"No","2014","general elemantary","Male","124","0.355533311251607","0.307965444380849","0.403101178122365"
"No","2014","general elemantary","Female","107","0.323428607018277","0.271101715784916","0.375755498251637"
"No","2014","middle vocational","Male","660","0.301735617208946","0.283101870482535","0.320369363935357"
"No","2014","middle vocational","Female","705","0.294261973160479","0.275381760542632","0.313142185778326"
"No","2014","vocational + Abi","Male","92","0.211276821968049","0.171811521864254","0.250742122071844"
"No","2014","vocational + Abi","Female","172","0.250347438023966","0.216109143493547","0.284585732554386"
"No","2014","higher vocational","Male","88","0.225341063607439","0.18639062128643","0.264291505928447"
"No","2014","higher vocational","Female","81","0.280071733303022","0.224740916313145","0.335402550292899"
"No","2014","higher education","Male","295","0.193359594903845","0.172723672211909","0.213995517595782"
"No","2014","higher education","Female","386","0.255114998750061","0.23199779225579","0.278232205244333"
"Yes","2015","in school","Male","1","","",""
"Yes","2015","in school","Female","2","","",""
"Yes","2015","inadequately","Male","32","0.771307737289251","0.652493891878594","0.890121582699908"
"Yes","2015","inadequately","Female","16","","",""
"Yes","2015","general elemantary","Male","262","0.723419918888156","0.677277519790514","0.769562317985798"
"Yes","2015","general elemantary","Female","197","0.780041144455669","0.731610035644972","0.828472253266366"
"Yes","2015","middle vocational","Male","1553","0.711088258147066","0.691933695694198","0.730242820599934"
"Yes","2015","middle vocational","Female","1547","0.749032475943357","0.730386336412654","0.76767861547406"
"Yes","2015","vocational + Abi","Male","314","0.718693882977006","0.675486000008968","0.761901765945043"
"Yes","2015","vocational + Abi","Female","427","0.751768486858766","0.716242640043562","0.787294333673971"
"Yes","2015","higher vocational","Male","370","0.802162635265894","0.764855112787858","0.83947015774393"
"Yes","2015","higher vocational","Female","207","0.857521839769795","0.81357357843409","0.9014701011055"
"Yes","2015","higher education","Male","1198","0.846880522951817","0.828235999525039","0.865525046378595"
"Yes","2015","higher education","Female","1033","0.789127792340534","0.767096572432876","0.811159012248191"
"No","2015","in school","Male","1","","",""
"No","2015","in school","Female","4","","",""
"No","2015","inadequately","Male","16","","",""
"No","2015","inadequately","Female","11","","",""
"No","2015","general elemantary","Male","99","0.276580081111844","0.230437682014202","0.322722480209486"
"No","2015","general elemantary","Female","84","0.219958855544331","0.171527746733634","0.268389964355028"
"No","2015","middle vocational","Male","598","0.288911741852934","0.269757179400066","0.308066304305802"
"No","2015","middle vocational","Female","530","0.250967524056643","0.232321384525939","0.269613663587346"
"No","2015","vocational + Abi","Male","102","0.281306117022994","0.238098234054957","0.324513999991032"
"No","2015","vocational + Abi","Female","141","0.248231513141234","0.212705666326029","0.283757359956438"
"No","2015","higher vocational","Male","68","0.197837364734106","0.16052984225607","0.235144887212142"
"No","2015","higher vocational","Female","36","0.142478160230205","0.0985298988944995","0.18642642156591"
"No","2015","higher education","Male","235","0.153119477048183","0.134474953621405","0.171764000474961"
"No","2015","higher education","Female","284","0.210872207659466","0.188840987751808","0.232903427567124"
"Yes","2016","in school","Male","1","","",""
"Yes","2016","in school","Female","6","","",""
"Yes","2016","inadequately","Male","34","0.550700930601216","0.411425113282886","0.689976747919547"
"Yes","2016","inadequately","Female","10","","",""
"Yes","2016","general elemantary","Male","232","0.674064177262667","0.62270834482382","0.725420009701513"
"Yes","2016","general elemantary","Female","161","0.6813722230585","0.623381799623683","0.739362646493317"
"Yes","2016","middle vocational","Male","1494","0.738290597974845","0.718933993109491","0.7576472028402"
"Yes","2016","middle vocational","Female","1491","0.73532984733399","0.716176725008594","0.754482969659386"
"Yes","2016","vocational + Abi","Male","297","0.711125714363701","0.666541566394598","0.755709862332804"
"Yes","2016","vocational + Abi","Female","473","0.824613698431202","0.794005071231942","0.855222325630463"
"Yes","2016","higher vocational","Male","314","0.803941158263415","0.764789073601925","0.843093242924904"
"Yes","2016","higher vocational","Female","189","0.806359299967901","0.756676326976911","0.856042272958891"
"Yes","2016","higher education","Male","1088","0.865560272569136","0.847024021130967","0.884096524007305"
"Yes","2016","higher education","Female","1006","0.75629880885424","0.733217462674506","0.779380155033973"
"No","2016","in school","Male","1","","",""
"No","2016","in school","Female","3","","",""
"No","2016","inadequately","Male","15","","",""
"No","2016","inadequately","Female","7","","",""
"No","2016","general elemantary","Male","88","0.325935822737333","0.274579990298487","0.37729165517618"
"No","2016","general elemantary","Female","87","0.3186277769415","0.260637353506683","0.376618200376317"
"No","2016","middle vocational","Male","487","0.261709402025155","0.2423527971598","0.281066006890509"
"No","2016","middle vocational","Female","547","0.26467015266601","0.245517030340614","0.283823274991406"
"No","2016","vocational + Abi","Male","100","0.288874285636299","0.244290137667197","0.333458433605402"
"No","2016","vocational + Abi","Female","120","0.175386301568798","0.144777674369537","0.205994928768058"
"No","2016","higher vocational","Male","81","0.196058841736585","0.156906757075096","0.235210926398075"
"No","2016","higher vocational","Female","54","0.193640700032099","0.143957727041109","0.243323673023089"
"No","2016","higher education","Male","213","0.134439727430864","0.115903475992695","0.152975978869033"
"No","2016","higher education","Female","323","0.24370119114576","0.220619844966027","0.266782537325494"
"Yes","2017","in school","Male","2","","",""
"Yes","2017","in school","Female","2","","",""
"Yes","2017","inadequately","Male","50","0.599079336166432","0.488164702367709","0.709993969965155"
"Yes","2017","inadequately","Female","18","","",""
"Yes","2017","general elemantary","Male","253","0.718110287590187","0.67124172358273","0.764978851597645"
"Yes","2017","general elemantary","Female","192","0.663796921953309","0.608063974722511","0.719529869184108"
"Yes","2017","middle vocational","Male","1612","0.747445874639612","0.729232512606652","0.765659236672572"
"Yes","2017","middle vocational","Female","1578","0.728021168716666","0.709272992874832","0.7467693445585"
"Yes","2017","vocational + Abi","Male","312","0.731000437779634","0.688891149940983","0.773109725618286"
"Yes","2017","vocational + Abi","Female","482","0.757298366999914","0.723821278863176","0.790775455136652"
"Yes","2017","higher vocational","Male","332","0.802465079297397","0.763448148104813","0.841482010489981"
"Yes","2017","higher vocational","Female","190","0.796125910263327","0.747249451324693","0.845002369201961"
"Yes","2017","higher education","Male","1218","0.830673348292003","0.811462110338515","0.849884586245491"
"Yes","2017","higher education","Female","1087","0.793424101011288","0.772118078555492","0.814730123467085"
"No","2017","in school","Male","1","","",""
"No","2017","in school","Female","2","","",""
"No","2017","inadequately","Male","25","","",""
"No","2017","inadequately","Female","11","","",""
"No","2017","general elemantary","Male","101","0.281889712409813","0.235021148402355","0.32875827641727"
"No","2017","general elemantary","Female","84","0.336203078046691","0.280470130815892","0.391936025277489"
"No","2017","middle vocational","Male","574","0.252554125360388","0.234340763327428","0.270767487393348"
"No","2017","middle vocational","Female","586","0.271978831283334","0.2532306554415","0.290727007125168"
"No","2017","vocational + Abi","Male","114","0.268999562220366","0.226890274381714","0.311108850059017"
"No","2017","vocational + Abi","Female","148","0.242701633000086","0.209224544863348","0.276178721136824"
"No","2017","higher vocational","Male","68","0.197534920702603","0.158517989510019","0.236551851895187"
"No","2017","higher vocational","Female","71","0.203874089736673","0.154997630798039","0.252750548675306"
"No","2017","higher education","Male","246","0.169326651707997","0.150115413754509","0.188537889661485"
"No","2017","higher education","Female","300","0.206575898988711","0.185269876532915","0.227881921444508"
"Yes","2018","in school","Male","1","","",""
"Yes","2018","in school","Female","1","","",""
"Yes","2018","inadequately","Male","71","0.574041102734851","0.481210710793965","0.666871494675737"
"Yes","2018","inadequately","Female","15","","",""
"Yes","2018","general elemantary","Male","267","0.72787993926119","0.683481817962635","0.772278060559745"
"Yes","2018","general elemantary","Female","194","0.747063767116721","0.696328740022548","0.797798794210894"
"Yes","2018","middle vocational","Male","1627","0.748506305763123","0.730546916291597","0.766465695234649"
"Yes","2018","middle vocational","Female","1570","0.717417018866356","0.698653496536543","0.736180541196168"
"Yes","2018","vocational + Abi","Male","310","0.772139854838539","0.7323551332558","0.811924576421278"
"Yes","2018","vocational + Abi","Female","489","0.789177977284621","0.757723874717697","0.820632079851545"
"Yes","2018","higher vocational","Male","324","0.758083393902041","0.716168609470555","0.799998178333527"
"Yes","2018","higher vocational","Female","190","0.75664162140034","0.704482570256593","0.808800672544087"
"Yes","2018","higher education","Male","1198","0.80648235969453","0.786667715028607","0.826297004360454"
"Yes","2018","higher education","Female","1071","0.734745507569431","0.712100550233134","0.757390464905729"
"No","2018","in school","Male","3","","",""
"No","2018","in school","Female","","","",""
"No","2018","inadequately","Male","38","0.425958897265149","0.333128505324263","0.518789289206035"
"No","2018","inadequately","Female","12","","",""
"No","2018","general elemantary","Male","119","0.27212006073881","0.227721939440255","0.316518182037365"
"No","2018","general elemantary","Female","88","0.252936232883279","0.202201205789106","0.303671259977452"
"No","2018","middle vocational","Male","615","0.251493694236877","0.233534304765351","0.269453083708403"
"No","2018","middle vocational","Female","642","0.282582981133644","0.263819458803832","0.301346503463456"
"No","2018","vocational + Abi","Male","117","0.227860145161461","0.188075423578722","0.2676448667442"
"No","2018","vocational + Abi","Female","157","0.210822022715379","0.179367920148455","0.242276125282303"
"No","2018","higher vocational","Male","77","0.241916606097959","0.200001821666473","0.283831390529445"
"No","2018","higher vocational","Female","70","0.24335837859966","0.191199327455913","0.295517429743407"
"No","2018","higher education","Male","329","0.19351764030547","0.173702995639546","0.213332284971393"
"No","2018","higher education","Female","389","0.265254492430569","0.242609535094271","0.287899449766866"
"Yes","2019","in school","Male","4","","",""
"Yes","2019","in school","Female","4","","",""
"Yes","2019","inadequately","Male","84","0.722153582066303","0.644248925655742","0.800058238476863"
"Yes","2019","inadequately","Female","18","","",""
"Yes","2019","general elemantary","Male","239","0.741357471609769","0.694948831681584","0.787766111537954"
"Yes","2019","general elemantary","Female","169","0.694067351395562","0.635401194515157","0.752733508275966"
"Yes","2019","middle vocational","Male","1414","0.734895947074965","0.715075122819692","0.754716771330237"
"Yes","2019","middle vocational","Female","1440","0.747391842111324","0.728214319732556","0.766569364490093"
"Yes","2019","vocational + Abi","Male","308","0.769960109186823","0.729072984042445","0.810847234331201"
"Yes","2019","vocational + Abi","Female","465","0.791122538243736","0.758404412764338","0.823840663723134"
"Yes","2019","higher vocational","Male","312","0.781795959084114","0.740213842548032","0.823378075620196"
