"plj0046","year","migback","sex","n","percent","lower_confidence","upper_confidence","value"
"No worries","2015","direct migration background","Female","567","0.271774474721088","0.253764770986612","0.289784178455563","3"
"No worries","2015","indirect migration background","Female","240","0.283424338951343","0.253529889006476","0.31331878889621","3"
"No worries","2015","no migration background","Female","2402","0.227142646651975","0.219055866221396","0.235229427082554","3"
"No worries","2015","indirect migration background","Male","254","0.344381883378206","0.310375293747232","0.378388473009179","3"
"Some worries","2015","direct migration background","Female","1074","0.443504611747508","0.423392895071972","0.463616328423044","2"
"Some worries","2015","direct migration background","Male","813","0.404048449856744","0.382139102893597","0.425957796819891","2"
"Some worries","2015","no migration background","Female","4474","0.434767417280455","0.425199471008947","0.444335363551964","2"
"Some worries","2015","no migration background","Male","3519","0.395538496701254","0.385297922155388","0.40577907124712","2"
"Some worries","2015","indirect migration background","Female","383","0.428274100984404","0.39544977566379","0.461098426305019","2"
"Some worries","2015","indirect migration background","Male","304","0.397491869980795","0.362468088045236","0.432515651916355","2"
"Big worries","2016","direct migration background","Male","854","0.396182041636154","0.375503005657897","0.41686107761441","1"
"Big worries","2016","indirect migration background","Female","332","0.352927078924174","0.320513726075097","0.38534043177325","1"
"Big worries","2016","indirect migration background","Male","236","0.292304890570139","0.25870770489845","0.325902076241829","1"
"Big worries","2016","no migration background","Female","4523","0.486645357266514","0.476678125267766","0.496612589265263","1"
"Big worries","2016","no migration background","Male","3687","0.458231298490306","0.447450978172611","0.469011618808002","1"
"Big worries","2016","direct migration background","Female","1138","0.440030581390397","0.421015996229311","0.459045166551484","1"
"No worries","2016","direct migration background","Male","428","0.211783351953909","0.194509126087425","0.229057577820393","3"
"No worries","2016","no migration background","Male","1439","0.164437514106034","0.156417553173908","0.172457475038159","3"
"No worries","2016","direct migration background","Female","385","0.140647002504138","0.127329759994348","0.153964245013928","3"
"No worries","2016","indirect migration background","Female","143","0.169529462205456","0.144079358267027","0.194979566143884","3"
"No worries","2016","no migration background","Female","1353","0.127836335406653","0.121177693207066","0.13449497760624","3"
"No worries","2016","indirect migration background","Male","195","0.284712441128301","0.251377068076377","0.318047814180226","3"
"Some worries","2016","direct migration background","Female","1095","0.419322416105465","0.400420543132576","0.438224289078353","2"
"Some worries","2016","direct migration background","Male","867","0.392034606409937","0.37139356925206","0.412675643567815","2"
"Some worries","2016","no migration background","Female","3784","0.385518307326833","0.375812391843721","0.395224222809945","2"
"Some worries","2016","no migration background","Male","3080","0.37733118740366","0.366843680909044","0.387818693898276","2"
"Some worries","2016","indirect migration background","Female","360","0.477543458870371","0.443664005928212","0.511422911812529","2"
"Some worries","2016","indirect migration background","Male","273","0.42298266830156","0.386489003660205","0.459476332942915","2"
"Big worries","2017","direct migration background","Male","723","0.343820112751954","0.32331386540132","0.364326360102589","1"
"Big worries","2017","indirect migration background","Female","291","0.298919225692554","0.269338070461077","0.328500380924031","1"
"Big worries","2017","indirect migration background","Male","236","0.280290465403319","0.248871198099931","0.311709732706707","1"
"Big worries","2017","no migration background","Female","4143","0.401264251953808","0.392023052471453","0.410505451436164","1"
"Big worries","2017","no migration background","Male","3486","0.372620353923035","0.362857539355424","0.382383168490646","1"
"Big worries","2017","direct migration background","Female","961","0.359151223940954","0.340559730576274","0.377742717305634","1"
"No worries","2017","direct migration background","Male","441","0.218267175154686","0.200433843633491","0.23610050667588","3"
"No worries","2017","no migration background","Male","2051","0.209467542264406","0.201250892745201","0.217684191783611","3"
"No worries","2017","direct migration background","Female","441","0.191864334011613","0.17660494715916","0.207123720864066","3"
"No worries","2017","indirect migration background","Female","216","0.244708348607274","0.216928113775465","0.272488583439083","3"
"No worries","2017","indirect migration background","Male","236","0.302055429461646","0.269936056930827","0.334174801992465","3"
"No worries","2017","no migration background","Female","1947","0.168466932716081","0.161410379650193","0.17552348578197","3"
"Some worries","2017","direct migration background","Female","1156","0.448984442047433","0.429709397173671","0.468259486921195","2"
"Some worries","2017","direct migration background","Male","897","0.43791271209336","0.416493437767113","0.459331986419608","2"
"Some worries","2017","indirect migration background","Female","413","0.456372425700172","0.424186603038329","0.488558248362016","2"
"Some worries","2017","indirect migration background","Male","313","0.417654105135035","0.38315465691727","0.452153553352799","2"
"Some worries","2017","no migration background","Female","4717","0.43026881533011","0.420934113581281","0.43960351707894","2"
"Some worries","2017","no migration background","Male","3885","0.417912103812559","0.40795315958441","0.427871048040708","2"
"Big worries","2018","direct migration background","Male","551","0.268546279276877","0.249024540713109","0.288068017840645","1"
"Big worries","2018","indirect migration background","Female","214","0.226228657819678","0.199410903027195","0.253046412612161","1"
"Big worries","2018","no migration background","Male","2811","0.327010752997393","0.317363701260271","0.336657804734516","1"
"Big worries","2018","direct migration background","Female","750","0.284441417321299","0.266481646194929","0.302401188447668","1"
"Big worries","2018","indirect migration background","Male","194","0.224896717501712","0.195444989072279","0.254348445931145","1"
"Big worries","2018","no migration background","Female","3251","0.319481031210248","0.310553085301538","0.328408977118958","1"
"No worries","2018","direct migration background","Male","555","0.293940933044481","0.273874690963175","0.314007175125787","3"
"No worries","2018","no migration background","Male","2523","0.27038350045391","0.26124979621162","0.279517204696199","3"
"No worries","2018","direct migration background","Female","547","0.230481525792445","0.213716301470812","0.247246750114079","3"
"No worries","2018","no migration background","Female","2549","0.230884105398663","0.222815438154478","0.238952772642848","3"
"No worries","2018","indirect migration background","Female","280","0.298840766284596","0.269500061944015","0.328181470625176","3"
"No worries","2018","indirect migration background","Male","269","0.338184125730236","0.304811940930259","0.371556310530214","3"
"Some worries","2018","direct migration background","Female","1127","0.485077056886256","0.465181400502841","0.504972713269671","2"
"Some worries","2018","direct migration background","Male","874","0.437512787678642","0.415661994908836","0.459363580448448","2"
"Some worries","2018","indirect migration background","Female","441","0.474930575895726","0.44292204694537","0.506939104846082","2"
"Some worries","2018","indirect migration background","Male","309","0.436919156768052","0.401930653845893","0.471907659690211","2"
"Some worries","2018","no migration background","Female","4678","0.449634863391089","0.440109877511496","0.459159849270682","2"
"Some worries","2018","no migration background","Male","3750","0.402605746548697","0.392520650625729","0.412690842471664","2"
"Big worries","2019","direct migration background","Male","437","0.235301291813013","0.215266314662496","0.25533626896353","1"
"Big worries","2019","no migration background","Male","2814","0.308691371863281","0.299525196270785","0.317857547455777","1"
"Big worries","2019","indirect migration background","Female","228","0.255386094335141","0.226848585174259","0.283923603496023","1"
"Big worries","2019","direct migration background","Female","605","0.270130109167248","0.251093737776443","0.289166480558052","1"
"Big worries","2019","indirect migration background","Male","192","0.205062554070744","0.17701459817522","0.233110509966269","1"
"Big worries","2019","no migration background","Female","2926","0.290704065810147","0.281999103322114","0.299409028298181","1"
"No worries","2019","direct migration background","Male","522","0.31410007327271","0.292177278688798","0.336022867856622","3"
"No worries","2019","no migration background","Male","3045","0.294674608780895","0.285628619775841","0.303720597785948","3"
"No worries","2019","direct migration background","Female","474","0.230626203530464","0.2125670259576","0.248685381103329","3"
"No worries","2019","no migration background","Female","2825","0.24621738438562","0.237958715941442","0.254476052829798","3"
"No worries","2019","indirect migration background","Female","281","0.314099631956586","0.283724644923797","0.344474618989376","3"
"No worries","2019","indirect migration background","Male","283","0.405799476843904","0.37168695604509","0.439911997642717","3"
"Some worries","2019","direct migration background","Female","1011","0.499243687302288","0.477807652401665","0.520679722202911","2"
"Some worries","2019","direct migration background","Male","763","0.450598634914277","0.427098447791942","0.474098822036612","2"
"Some worries","2019","indirect migration background","Female","388","0.430514273708272","0.39811113583582","0.462917411580725","2"
"Some worries","2019","indirect migration background","Male","321","0.389137969085352","0.355267990114477","0.423007948056228","2"
"Some worries","2019","no migration background","Female","4702","0.463078549804233","0.453519596823632","0.472637502784833","2"
"Some worries","2019","no migration background","Male","3898","0.396634019355824","0.386927236175226","0.406340802536422","2"
