"plj0046","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"No worries","2015","direct migration background","Urban Area","878","0.28516138085789","0.269523180056269","0.300799581659511"
"No worries","2015","indirect migration background","Rural Area","80","0.256920305274119","0.207559554699488","0.306281055848749"
"No worries","2015","indirect migration background","Urban Area","414","0.326999436536413","0.301711489134247","0.35228738393858"
"No worries","2015","no migration background","Rural Area","1611","0.21183413224096","0.202444720739186","0.221223543742733"
"No worries","2015","no migration background","Urban Area","3259","0.272056222645368","0.264025079453097","0.280087365837639"
"Some worries","2015","direct migration background","Rural Area","484","0.424100704344989","0.394475114290595","0.453726294399383"
"Some worries","2015","direct migration background","Urban Area","1403","0.424677716403197","0.407556967347445","0.441798465458949"
"Some worries","2015","indirect migration background","Rural Area","129","0.47111236969508","0.414721498803721","0.52750324058644"
"Some worries","2015","indirect migration background","Urban Area","558","0.400452480334168","0.374039362871062","0.426865597797274"
"Some worries","2015","no migration background","Rural Area","3091","0.421244115804637","0.409898025765788","0.432590205843487"
"Some worries","2015","no migration background","Urban Area","4902","0.412773034269678","0.403888027306018","0.421658041233337"
"Big worries","2016","direct migration background","Rural Area","537","0.412037785975283","0.384474989553716","0.439600582396849"
"Big worries","2016","direct migration background","Urban Area","1455","0.420692633706061","0.404434870572077","0.436950396840045"
"Big worries","2016","indirect migration background","Rural Area","126","0.342662357357895","0.289223861261449","0.396100853454341"
"Big worries","2016","indirect migration background","Urban Area","442","0.317602095945506","0.291648390126637","0.343555801764375"
"Big worries","2016","no migration background","Rural Area","3424","0.517104088021491","0.505231380310118","0.528976795732864"
"Big worries","2016","no migration background","Urban Area","4786","0.449766962118085","0.44049614525597","0.4590377789802"
"No worries","2016","direct migration background","Rural Area","226","0.214989930988272","0.19198469352519","0.237995168451354"
"No worries","2016","direct migration background","Urban Area","587","0.164361078020564","0.152156222766041","0.176565933275088"
"No worries","2016","indirect migration background","Rural Area","60","0.190910439216422","0.146657724900475","0.235163153532368"
"No worries","2016","indirect migration background","Urban Area","278","0.236292266324457","0.21260978498619","0.259974747662724"
"No worries","2016","no migration background","Rural Area","888","0.119972365852846","0.112252268218775","0.127692463486918"
"No worries","2016","no migration background","Urban Area","1904","0.159042692076177","0.152227239056148","0.165858145096205"
"Some worries","2016","direct migration background","Rural Area","462","0.372972283036446","0.345891470209655","0.400053095863236"
"Some worries","2016","direct migration background","Urban Area","1500","0.414946288273375","0.398720058403433","0.431172518143317"
"Some worries","2016","indirect migration background","Rural Area","117","0.466427203425683","0.410255764074338","0.522598642777028"
"Some worries","2016","indirect migration background","Urban Area","516","0.446105637730037","0.418393426293414","0.473817849166659"
"Some worries","2016","no migration background","Rural Area","2493","0.362923546125662","0.351499041545588","0.374348050705737"
"Some worries","2016","no migration background","Urban Area","4371","0.391190345805738","0.382095701374879","0.400284990236598"
"Big worries","2017","direct migration background","Rural Area","462","0.351796629149936","0.324755727943016","0.378837530356855"
"Big worries","2017","direct migration background","Urban Area","1222","0.352071800486948","0.336066987069729","0.368076613904167"
"Big worries","2017","indirect migration background","Rural Area","98","0.264277107993101","0.214627744608022","0.313926471378181"
"Big worries","2017","indirect migration background","Urban Area","429","0.29333130655487","0.269499266592789","0.317163346516952"
"Big worries","2017","no migration background","Rural Area","3345","0.432422166323951","0.421481737239382","0.443362595408519"
"Big worries","2017","no migration background","Urban Area","4284","0.363302148763825","0.354820503103586","0.371783794424065"
"No worries","2017","direct migration background","Rural Area","241","0.219746328066172","0.196298727566822","0.243193928565522"
"No worries","2017","direct migration background","Urban Area","641","0.200070690274297","0.18666500268931","0.213476377859284"
"No worries","2017","indirect migration background","Rural Area","73","0.269837936307528","0.219858895994215","0.31981697662084"
"No worries","2017","indirect migration background","Urban Area","379","0.275381901638462","0.251999109447558","0.298764693829365"
"No worries","2017","no migration background","Rural Area","1261","0.152100294251444","0.144169714484562","0.160030874018326"
"No worries","2017","no migration background","Urban Area","2737","0.207937034199505","0.200780129635655","0.215093938763356"
"Some worries","2017","direct migration background","Rural Area","495","0.428457042783892","0.400435130856245","0.45647895471154"
"Some worries","2017","direct migration background","Urban Area","1558","0.447857509238755","0.431193976880073","0.464521041597437"
"Some worries","2017","indirect migration background","Rural Area","132","0.465884955699371","0.40971765856095","0.522052252837793"
"Some worries","2017","indirect migration background","Urban Area","594","0.431286791806668","0.405362683894227","0.457210899719108"
"Some worries","2017","no migration background","Rural Area","3271","0.415477539424606","0.404594704399815","0.426360374449396"
"Some worries","2017","no migration background","Urban Area","5331","0.428760817036669","0.420033193816073","0.437488440257266"
"Big worries","2018","direct migration background","Rural Area","358","0.283056632703946","0.256673997449928","0.309439267957964"
"Big worries","2018","direct migration background","Urban Area","943","0.275412348134669","0.260133743768955","0.290690952500384"
"Big worries","2018","indirect migration background","Rural Area","76","0.204389270689839","0.160067827475571","0.248710713904107"
"Big worries","2018","indirect migration background","Urban Area","332","0.229368676518417","0.207258747349459","0.251478605687374"
"Big worries","2018","no migration background","Rural Area","2652","0.371200300060974","0.360311247936929","0.382089352185018"
"Big worries","2018","no migration background","Urban Area","3410","0.297581414231927","0.289401318865429","0.305761509598425"
"No worries","2018","direct migration background","Rural Area","235","0.235347753954782","0.210503492389424","0.260192015520141"
"No worries","2018","direct migration background","Urban Area","867","0.266690231902475","0.251565286823133","0.281815176981816"
"No worries","2018","indirect migration background","Rural Area","88","0.326940122571645","0.275382190186982","0.378498054956308"
"No worries","2018","indirect migration background","Urban Area","461","0.317341343035219","0.292864122721443","0.341818563348996"
"No worries","2018","no migration background","Rural Area","1621","0.208887909775621","0.199725590583194","0.218050228968048"
"No worries","2018","no migration background","Urban Area","3451","0.272388658399843","0.264423366270264","0.280353950529421"
"Some worries","2018","direct migration background","Rural Area","527","0.481595613341272","0.452332894484485","0.510858332198058"
"Some worries","2018","direct migration background","Urban Area","1474","0.457897419962856","0.440857350839578","0.474937489086133"
"Some worries","2018","indirect migration background","Rural Area","154","0.468670606738516","0.413823930950502","0.52351728252653"
"Some worries","2018","indirect migration background","Urban Area","596","0.453289980446364","0.427110348022136","0.479469612870591"
"Some worries","2018","no migration background","Rural Area","3289","0.419911790163406","0.408787922637308","0.431035657689503"
"Some worries","2018","no migration background","Urban Area","5139","0.43002992736823","0.421171985317087","0.438887869419373"
"Big worries","2019","direct migration background","Rural Area","269","0.243558737160092","0.216533117233946","0.270584357086237"
"Big worries","2019","direct migration background","Urban Area","739","0.257774054186766","0.241176547766265","0.274371560607268"
"Big worries","2019","indirect migration background","Rural Area","88","0.228750446556206","0.183014884144946","0.274486008967467"
"Big worries","2019","indirect migration background","Urban Area","310","0.230804923711373","0.207567541670548","0.254042305752199"
"Big worries","2019","no migration background","Rural Area","2540","0.347705569743784","0.336946031268454","0.358465108219114"
"Big worries","2019","no migration background","Urban Area","2938","0.276806380461047","0.268613663039953","0.284999097882141"
"No worries","2019","direct migration background","Rural Area","245","0.277617742584375","0.249421363092499","0.30581412207625"
"No worries","2019","direct migration background","Urban Area","682","0.262295478020051","0.245604114992227","0.278986841047875"
"No worries","2019","indirect migration background","Rural Area","91","0.328725840488437","0.277576213271548","0.379875467705326"
"No worries","2019","indirect migration background","Urban Area","422","0.36394239854168","0.337407895037568","0.390476902045792"
"No worries","2019","no migration background","Rural Area","1765","0.22110770856499","0.211731945391021","0.23048347173896"
"No worries","2019","no migration background","Urban Area","3616","0.292436018902215","0.284106672492307","0.300765365312124"
"Some worries","2019","direct migration background","Rural Area","455","0.478823520255534","0.447370211063038","0.510276829448029"
"Some worries","2019","direct migration background","Urban Area","1247","0.479930467793183","0.460973230556342","0.498887705030023"
"Some worries","2019","indirect migration background","Rural Area","145","0.442523712955356","0.388441175570161","0.496606250340552"
"Some worries","2019","indirect migration background","Urban Area","531","0.405252677746946","0.378177232323584","0.432328123170308"
"Some worries","2019","no migration background","Rural Area","3221","0.431186721691225","0.419997921039478","0.442375522342973"
"Some worries","2019","no migration background","Urban Area","4903","0.430757600636738","0.421690305974091","0.439824895299385"
