"pli0095_h","year","e11103","sex","n","percent","lower_confidence","upper_confidence"
"Never","1993","Full Time","Male","","","",""
"Never","1993","Full Time","Female","","","",""
"Never","1993","Part Time","Male","","","",""
"Never","1993","Part Time","Female","","","",""
"Never","1993","Not Working","Male","","","",""
"Never","1993","Not Working","Female","","","",""
"Min 1x per week","1994","Full Time","Male","335","0.0781306664756515","0.069762312837504","0.086499020113799"
"Min 1x per week","1994","Full Time","Female","150","0.0672983992558067","0.0563292496279841","0.0782675488836293"
"Min 1x per week","1994","Part Time","Male","72","0.0842645825881998","0.0640443274878015","0.104484837688598"
"Min 1x per week","1994","Part Time","Female","151","0.0863095086507006","0.072701790163989","0.0999172271374122"
"Min 1x per week","1994","Not Working","Male","188","0.115534940661809","0.0995067895916146","0.131563091732002"
"Min 1x per week","1994","Not Working","Female","335","0.104339399060792","0.0934275001595718","0.115251297962013"
"Min 1x per month","1994","Full Time","Male","1319","0.314944542161216","0.300461010106436","0.329428074215997"
"Min 1x per month","1994","Full Time","Female","493","0.251454510879574","0.232459565605597","0.270449456153552"
"Min 1x per month","1994","Part Time","Male","244","0.342341418382156","0.307802474295517","0.376880362468794"
"Min 1x per month","1994","Part Time","Female","452","0.271782207127377","0.250224746827821","0.293339667426933"
"Min 1x per month","1994","Not Working","Male","388","0.235518312316618","0.214242688752869","0.256793935880367"
"Min 1x per month","1994","Not Working","Female","647","0.189138511286636","0.175159780107711","0.203117242465561"
"Rarely","1994","Full Time","Male","2033","0.539706227148107","0.524164802022904","0.555247652273311"
"Rarely","1994","Full Time","Female","1160","0.577350968409678","0.555723328964276","0.598978607855079"
"Rarely","1994","Part Time","Male","354","0.48546802369469","0.449087781381712","0.521848266007669"
"Rarely","1994","Part Time","Female","881","0.540770227331726","0.516622411994363","0.564918042669089"
"Rarely","1994","Not Working","Male","656","0.417909764268488","0.393179837505349","0.442639691031628"
"Rarely","1994","Not Working","Female","1330","0.420058248144601","0.402440460162538","0.437676036126663"
"Never","1994","Full Time","Male","264","0.067218564215025","0.0594107559638053","0.0750263724662447"
"Never","1994","Full Time","Female","201","0.103896121454941","0.090536994454326","0.117255248455556"
"Never","1994","Part Time","Male","55","0.0879259753349543","0.0673124282929984","0.10853952237691"
"Never","1994","Part Time","Female","152","0.101138056890196","0.0865277196445426","0.115748394135849"
"Never","1994","Not Working","Male","296","0.231036982753085","0.209903070855667","0.252170894650504"
"Never","1994","Not Working","Female","703","0.286463841507971","0.270325929932108","0.302601753083834"
"Min 1x per week","1995","Full Time","Male","","","",""
"Min 1x per week","1995","Full Time","Female","","","",""
"Min 1x per week","1995","Part Time","Male","","","",""
"Min 1x per week","1995","Part Time","Female","","","",""
"Min 1x per week","1995","Not Working","Male","","","",""
"Min 1x per week","1995","Not Working","Female","","","",""
"Min 1x per month","1995","Full Time","Male","","","",""
"Min 1x per month","1995","Full Time","Female","","","",""
"Min 1x per month","1995","Part Time","Male","","","",""
"Min 1x per month","1995","Part Time","Female","","","",""
"Min 1x per month","1995","Not Working","Male","","","",""
"Min 1x per month","1995","Not Working","Female","","","",""
"Rarely","1995","Full Time","Male","","","",""
"Rarely","1995","Full Time","Female","","","",""
"Rarely","1995","Part Time","Male","","","",""
"Rarely","1995","Part Time","Female","","","",""
"Rarely","1995","Not Working","Male","","","",""
"Rarely","1995","Not Working","Female","","","",""
"Never","1995","Full Time","Male","","","",""
"Never","1995","Full Time","Female","","","",""
"Never","1995","Part Time","Male","","","",""
"Never","1995","Part Time","Female","","","",""
"Never","1995","Not Working","Male","","","",""
"Never","1995","Not Working","Female","","","",""
"Min 1x per week","1996","Full Time","Male","443","0.104348604214979","0.0946628892223342","0.114034319207624"
"Min 1x per week","1996","Full Time","Female","205","0.108751059405886","0.0948000102961598","0.122702108515613"
"Min 1x per week","1996","Part Time","Male","113","0.114723773940475","0.0937511681200773","0.135696379760872"
"Min 1x per week","1996","Part Time","Female","201","0.106700270415254","0.0924615625627087","0.1209389782678"
"Min 1x per week","1996","Not Working","Male","205","0.126031749558498","0.109646321371392","0.142417177745604"
"Min 1x per week","1996","Not Working","Female","419","0.133275533961578","0.121235376412109","0.145315691511048"
"Min 1x per month","1996","Full Time","Male","1384","0.351570719910619","0.336443590657258","0.366697849163979"
"Min 1x per month","1996","Full Time","Female","589","0.275952823124741","0.255922338403149","0.295983307846333"
"Min 1x per month","1996","Part Time","Male","325","0.370582248021768","0.338799014368597","0.40236548167494"
"Min 1x per month","1996","Part Time","Female","581","0.336279985031239","0.314491241603719","0.358068728458759"
"Min 1x per month","1996","Not Working","Male","484","0.263824407224005","0.242066447058743","0.285582367389267"
"Min 1x per month","1996","Not Working","Female","812","0.233212904960832","0.21823227373905","0.248193536182614"
"Rarely","1996","Full Time","Male","1802","0.490528323178063","0.47468993703919","0.506366709316936"
"Rarely","1996","Full Time","Female","980","0.54388709201694","0.521567761504479","0.5662064225294"
"Rarely","1996","Part Time","Male","388","0.437738408859534","0.405089940107065","0.470386877612003"
"Rarely","1996","Part Time","Female","900","0.489121909302732","0.466067371738253","0.512176446867211"
"Rarely","1996","Not Working","Male","643","0.421833862622597","0.397451991562735","0.446215733682459"
"Rarely","1996","Not Working","Female","1254","0.39503758804607","0.377719504419287","0.412355671672853"
"Never","1996","Full Time","Male","198","0.0535523526963395","0.0464196120068521","0.0606850933858268"
"Never","1996","Full Time","Female","139","0.0714090254524331","0.0598697274759164","0.0829483234289498"
"Never","1996","Part Time","Male","61","0.0769555691782232","0.0594160529082807","0.0944950854481657"
"Never","1996","Part Time","Female","124","0.0678978352507744","0.0562954056918523","0.0795002648096965"
"Never","1996","Not Working","Male","244","0.1883099805949","0.169008005243397","0.207611955946404"
"Never","1996","Not Working","Female","576","0.23847397303152","0.223377367914893","0.253570578148146"
"Min 1x per week","1997","Full Time","Male","390","0.0901040614847558","0.0808592642152646","0.0993488587542471"
"Min 1x per week","1997","Full Time","Female","167","0.0896478165667764","0.0767889259555142","0.102506707178039"
"Min 1x per week","1997","Part Time","Male","116","0.121589142874033","0.0999350342756132","0.143243251472453"
"Min 1x per week","1997","Part Time","Female","169","0.102357266658904","0.0878063152360855","0.116908218081722"
"Min 1x per week","1997","Not Working","Male","231","0.131542994952813","0.115149821928456","0.147936167977171"
"Min 1x per week","1997","Not Working","Female","443","0.144831509172664","0.132360094320882","0.157302924024445"
"Min 1x per month","1997","Full Time","Male","1334","0.359195249801855","0.343705032918649","0.374685466685061"
"Min 1x per month","1997","Full Time","Female","571","0.295116209836997","0.274586433471141","0.315645986202854"
"Min 1x per month","1997","Part Time","Male","303","0.33513163738918","0.303855031864831","0.366408242913529"
"Min 1x per month","1997","Part Time","Female","515","0.3077936207443","0.285635756509653","0.329951484978947"
"Min 1x per month","1997","Not Working","Male","466","0.270610557462529","0.249062550705557","0.292158564219502"
"Min 1x per month","1997","Not Working","Female","675","0.183565594497494","0.169846841268149","0.19728434772684"
"Rarely","1997","Full Time","Male","1740","0.486448831863848","0.470311200592677","0.502586463135018"
"Rarely","1997","Full Time","Female","994","0.521118930095125","0.498632983016654","0.543604877173596"
"Rarely","1997","Part Time","Male","397","0.48277128692369","0.449661522278446","0.515881051568934"
"Rarely","1997","Part Time","Female","856","0.513414398826709","0.489420880285083","0.537407917368335"
"Rarely","1997","Not Working","Male","659","0.389477887187548","0.365827018294894","0.413128756080201"
"Rarely","1997","Not Working","Female","1322","0.415960071517076","0.398493589375032","0.43342655365912"
"Never","1997","Full Time","Male","221","0.0642518568495414","0.0563350203938558","0.0721686933052271"
"Never","1997","Full Time","Female","164","0.0941170435011013","0.0809739043171526","0.10726018268505"
"Never","1997","Part Time","Male","59","0.0605079328130968","0.0447101266350553","0.0763057389911383"
"Never","1997","Part Time","Female","127","0.0764347137700875","0.0636803319713062","0.0891890955688688"
"Never","1997","Not Working","Male","277","0.20836856039711","0.188670085144038","0.228067035650181"
"Never","1997","Not Working","Female","619","0.255642824812766","0.240184378358772","0.27110127126676"
"Min 1x per week","1998","Full Time","Male","","","",""
"Min 1x per week","1998","Full Time","Female","","","",""
"Min 1x per week","1998","Part Time","Male","","","",""
"Min 1x per week","1998","Part Time","Female","","","",""
"Min 1x per week","1998","Not Working","Male","","","",""
"Min 1x per week","1998","Not Working","Female","","","",""
"Min 1x per month","1998","Full Time","Male","","","",""
"Min 1x per month","1998","Full Time","Female","","","",""
"Min 1x per month","1998","Part Time","Male","","","",""
"Min 1x per month","1998","Part Time","Female","","","",""
"Min 1x per month","1998","Not Working","Male","","","",""
"Min 1x per month","1998","Not Working","Female","","","",""
"Rarely","1998","Full Time","Male","","","",""
"Rarely","1998","Full Time","Female","","","",""
"Rarely","1998","Part Time","Male","","","",""
"Rarely","1998","Part Time","Female","","","",""
"Rarely","1998","Not Working","Male","","","",""
"Rarely","1998","Not Working","Female","","","",""
"Never","1998","Full Time","Male","","","",""
"Never","1998","Full Time","Female","","","",""
"Never","1998","Part Time","Male","","","",""
"Never","1998","Part Time","Female","","","",""
"Never","1998","Not Working","Male","","","",""
"Never","1998","Not Working","Female","","","",""
"Min 1x per week","1999","Full Time","Male","385","0.0854501580696152","0.0766585442072862","0.0942417719319442"
"Min 1x per week","1999","Full Time","Female","170","0.109219405501013","0.0953646012843189","0.123074209717708"
"Min 1x per week","1999","Part Time","Male","121","0.111189603815653","0.0916857930464228","0.130693414584883"
"Min 1x per week","1999","Part Time","Female","219","0.127071395832285","0.11223950421407","0.141903287450499"
"Min 1x per week","1999","Not Working","Male","206","0.112333777046987","0.0974922588761031","0.12717529521787"
"Min 1x per week","1999","Not Working","Female","360","0.10466454442244","0.0940332521476397","0.11529583669724"
"Min 1x per month","1999","Full Time","Male","1396","0.343144878021211","0.328214113841493","0.358075642200929"
"Min 1x per month","1999","Full Time","Female","533","0.243642094477657","0.224574102845505","0.26271008610981"
"Min 1x per month","1999","Part Time","Male","342","0.319499369273306","0.290570458032655","0.348428280513958"
"Min 1x per month","1999","Part Time","Female","547","0.278817359657211","0.258847922798141","0.298786796516281"
"Min 1x per month","1999","Not Working","Male","445","0.232957549513921","0.213089904364712","0.252825194663129"
"Min 1x per month","1999","Not Working","Female","743","0.198702483018166","0.18484475867114","0.212560207365192"
"Rarely","1999","Full Time","Male","1885","0.506638311210363","0.490915137769821","0.522361484650905"
"Rarely","1999","Full Time","Female","1096","0.573623526276118","0.551656300711789","0.595590751840446"
"Rarely","1999","Part Time","Male","473","0.487032131958568","0.456021779043517","0.518042484873618"
"Rarely","1999","Part Time","Female","1026","0.52459785602764","0.502358249240663","0.546837462814617"
"Rarely","1999","Not Working","Male","795","0.465577139110029","0.442132873260872","0.489021404959185"
"Rarely","1999","Not Working","Female","1397","0.423092755351827","0.405934854119459","0.440250656584195"
"Never","1999","Full Time","Male","218","0.0647666526988109","0.0570265949946825","0.0725067104029392"
"Never","1999","Full Time","Female","148","0.0735149737452119","0.0619226041044405","0.0851073433859832"
"Never","1999","Part Time","Male","62","0.0822788949524727","0.0652305428951702","0.0993272470097752"
"Never","1999","Part Time","Female","145","0.069513388482864","0.0581874923506234","0.0808392846151046"
"Never","1999","Not Working","Male","293","0.189131534329064","0.170725701275754","0.207537367382373"
"Never","1999","Not Working","Female","685","0.273540217207567","0.25805883421783","0.289021600197304"
"Min 1x per week","2000","Full Time","Male","","","",""
"Min 1x per week","2000","Full Time","Female","","","",""
"Min 1x per week","2000","Part Time","Male","","","",""
"Min 1x per week","2000","Part Time","Female","","","",""
"Min 1x per week","2000","Not Working","Male","","","",""
"Min 1x per week","2000","Not Working","Female","","","",""
"Min 1x per month","2000","Full Time","Male","","","",""
"Min 1x per month","2000","Full Time","Female","","","",""
"Min 1x per month","2000","Part Time","Male","","","",""
"Min 1x per month","2000","Part Time","Female","","","",""
"Min 1x per month","2000","Not Working","Male","","","",""
"Min 1x per month","2000","Not Working","Female","","","",""
"Rarely","2000","Full Time","Male","","","",""
"Rarely","2000","Full Time","Female","","","",""
"Rarely","2000","Part Time","Male","","","",""
"Rarely","2000","Part Time","Female","","","",""
"Rarely","2000","Not Working","Male","","","",""
"Rarely","2000","Not Working","Female","","","",""
"Never","2000","Full Time","Male","","","",""
"Never","2000","Full Time","Female","","","",""
"Never","2000","Part Time","Male","","","",""
"Never","2000","Part Time","Female","","","",""
"Never","2000","Not Working","Male","","","",""
"Never","2000","Not Working","Female","","","",""
"Min 1x per week","2001","Full Time","Male","692","0.112596091732849","0.104638851832902","0.120553331632796"
"Min 1x per week","2001","Full Time","Female","295","0.101267820179399","0.0904289876870973","0.112106652671701"
"Min 1x per week","2001","Part Time","Male","236","0.168576286748258","0.149199446421359","0.187953127075156"
"Min 1x per week","2001","Part Time","Female","440","0.137999234333682","0.126356342065418","0.149642126601947"
"Min 1x per week","2001","Not Working","Male","416","0.128924955339527","0.116976902302204","0.140873008376851"
"Min 1x per week","2001","Not Working","Female","651","0.123108598254736","0.114033205007637","0.132183991501836"
"Min 1x per month","2001","Full Time","Male","2229","0.357694305844722","0.345628202952419","0.369760408737024"
"Min 1x per month","2001","Full Time","Female","916","0.30103926946648","0.284558799520164","0.317519739412796"
"Min 1x per month","2001","Part Time","Male","500","0.335545006829503","0.311106104804334","0.359983908854672"
"Min 1x per month","2001","Part Time","Female","1010","0.29763447350403","0.282199996273229","0.31306895073483"
"Min 1x per month","2001","Not Working","Male","817","0.261975767428047","0.246298631186894","0.277652903669201"
"Min 1x per month","2001","Not Working","Female","1265","0.223168217266894","0.211667418130079","0.23466901640371"
"Rarely","2001","Full Time","Male","2762","0.461335157364892","0.448786197889681","0.473884116840102"
