"pli0095_h","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence"
"Never","1988","1-pers.-HH","West Germany","352","0.371598653296008","0.342494449002143","0.400702857589873"
"Never","1988","1-pers.-HH","East Germany","","","",""
"Never","1988","(Married) couple without C. ","West Germany","578","0.27517665794957","0.256800584233041","0.293552731666099"
"Never","1988","(Married) couple without C. ","East Germany","","","",""
"Never","1988","Single parent ","West Germany","118","0.231586611028918","0.194939192729693","0.268234029328144"
"Never","1988","Single parent ","East Germany","","","",""
"Never","1988","Couple + C. LE 16 ","West Germany","336","0.12548885479189","0.111708612421121","0.139269097162659"
"Never","1988","Couple + C. LE 16 ","East Germany","","","",""
"Never","1988","Couple + C. GT 16 ","West Germany","428","0.185541209035928","0.169275068201406","0.20180734987045"
"Never","1988","Couple + C. GT 16 ","East Germany","","","",""
"Never","1988","Couple + C. LE and GT 16","West Germany","187","0.140556468641297","0.119894703948884","0.161218233333709"
"Never","1988","Couple + C. LE and GT 16","East Germany","","","",""
"Min 1x per week","1989","1-pers.-HH","West Germany","","","",""
"Min 1x per week","1989","1-pers.-HH","East Germany","","","",""
"Min 1x per week","1989","(Married) couple without C. ","West Germany","","","",""
"Min 1x per week","1989","(Married) couple without C. ","East Germany","","","",""
"Min 1x per week","1989","Single parent ","West Germany","","","",""
"Min 1x per week","1989","Single parent ","East Germany","","","",""
"Min 1x per week","1989","Couple + C. LE 16 ","West Germany","","","",""
"Min 1x per week","1989","Couple + C. LE 16 ","East Germany","","","",""
"Min 1x per week","1989","Couple + C. GT 16 ","West Germany","","","",""
"Min 1x per week","1989","Couple + C. GT 16 ","East Germany","","","",""
"Min 1x per week","1989","Couple + C. LE and GT 16","West Germany","","","",""
"Min 1x per week","1989","Couple + C. LE and GT 16","East Germany","","","",""
"Min 1x per month","1989","1-pers.-HH","West Germany","","","",""
"Min 1x per month","1989","1-pers.-HH","East Germany","","","",""
"Min 1x per month","1989","(Married) couple without C. ","West Germany","","","",""
"Min 1x per month","1989","(Married) couple without C. ","East Germany","","","",""
"Min 1x per month","1989","Single parent ","West Germany","","","",""
"Min 1x per month","1989","Single parent ","East Germany","","","",""
"Min 1x per month","1989","Couple + C. LE 16 ","West Germany","","","",""
"Min 1x per month","1989","Couple + C. LE 16 ","East Germany","","","",""
"Min 1x per month","1989","Couple + C. GT 16 ","West Germany","","","",""
"Min 1x per month","1989","Couple + C. GT 16 ","East Germany","","","",""
"Min 1x per month","1989","Couple + C. LE and GT 16","West Germany","","","",""
"Min 1x per month","1989","Couple + C. LE and GT 16","East Germany","","","",""
"Rarely","1989","1-pers.-HH","West Germany","","","",""
"Rarely","1989","1-pers.-HH","East Germany","","","",""
"Rarely","1989","(Married) couple without C. ","West Germany","","","",""
"Rarely","1989","(Married) couple without C. ","East Germany","","","",""
"Rarely","1989","Single parent ","West Germany","","","",""
"Rarely","1989","Single parent ","East Germany","","","",""
"Rarely","1989","Couple + C. LE 16 ","West Germany","","","",""
"Rarely","1989","Couple + C. LE 16 ","East Germany","","","",""
"Rarely","1989","Couple + C. GT 16 ","West Germany","","","",""
"Rarely","1989","Couple + C. GT 16 ","East Germany","","","",""
"Rarely","1989","Couple + C. LE and GT 16","West Germany","","","",""
"Rarely","1989","Couple + C. LE and GT 16","East Germany","","","",""
"Never","1989","1-pers.-HH","West Germany","","","",""
"Never","1989","1-pers.-HH","East Germany","","","",""
"Never","1989","(Married) couple without C. ","West Germany","","","",""
"Never","1989","(Married) couple without C. ","East Germany","","","",""
"Never","1989","Single parent ","West Germany","","","",""
"Never","1989","Single parent ","East Germany","","","",""
"Never","1989","Couple + C. LE 16 ","West Germany","","","",""
"Never","1989","Couple + C. LE 16 ","East Germany","","","",""
"Never","1989","Couple + C. GT 16 ","West Germany","","","",""
"Never","1989","Couple + C. GT 16 ","East Germany","","","",""
"Never","1989","Couple + C. LE and GT 16","West Germany","","","",""
"Never","1989","Couple + C. LE and GT 16","East Germany","","","",""
"Min 1x per week","1990","1-pers.-HH","West Germany","","","",""
"Min 1x per week","1990","1-pers.-HH","East Germany","74","0.202183926004724","0.159046852547958","0.245320999461489"
"Min 1x per week","1990","(Married) couple without C. ","West Germany","","","",""
"Min 1x per week","1990","(Married) couple without C. ","East Germany","164","0.170668418196632","0.146579406678295","0.194757429714969"
"Min 1x per week","1990","Single parent ","West Germany","","","",""
"Min 1x per week","1990","Single parent ","East Germany","26","","",""
"Min 1x per week","1990","Couple + C. LE 16 ","West Germany","","","",""
"Min 1x per week","1990","Couple + C. LE 16 ","East Germany","274","0.181649292817837","0.161979875303022","0.201318710332651"
"Min 1x per week","1990","Couple + C. GT 16 ","West Germany","","","",""
"Min 1x per week","1990","Couple + C. GT 16 ","East Germany","124","0.153512815053764","0.128869751678747","0.178155878428781"
"Min 1x per week","1990","Couple + C. LE and GT 16","West Germany","","","",""
"Min 1x per week","1990","Couple + C. LE and GT 16","East Germany","61","0.195562370955665","0.151968707546326","0.239156034365004"
"Min 1x per month","1990","1-pers.-HH","West Germany","","","",""
"Min 1x per month","1990","1-pers.-HH","East Germany","71","0.214653969567999","0.170555251707051","0.258752687428948"
"Min 1x per month","1990","(Married) couple without C. ","West Germany","","","",""
"Min 1x per month","1990","(Married) couple without C. ","East Germany","250","0.263809933331779","0.235592413152771","0.292027453510786"
"Min 1x per month","1990","Single parent ","West Germany","","","",""
"Min 1x per month","1990","Single parent ","East Germany","53","0.267954874583911","0.205308313733753","0.330601435434068"
"Min 1x per month","1990","Couple + C. LE 16 ","West Germany","","","",""
"Min 1x per month","1990","Couple + C. LE 16 ","East Germany","495","0.34057769996095","0.31640112188799","0.364754278033911"
"Min 1x per month","1990","Couple + C. GT 16 ","West Germany","","","",""
