"year","e11102","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1999","Employed","direct migration background","16520.7","14386.77","1311","9171.2","11405.6","19278.5","24757.5","50947.33","16119.57","16921.83","2454","94794.66","13486.6669921875","14143.5712890625"
"1999","Employed","indirect migration background","14990.65","14414.72","419","8618","10785","18453.04","22873.5","33150.5","14425.58","15555.72","1790","42762","13928","15188.5712890625"
"1999","Employed","no migration background","19053.22","17311.13","7070","10668","13301.11","22624.67","29119.33","50506","18859.38","19247.06","341","122128.66","16593.888671875","17019.28515625"
"1999","Not Employed","direct migration background","13085.39","11564.42","912","6627","8907.83","14874.67","19925.33","42909.45","12675.09","13495.69","208","94794.66","11096.0869140625","11602.5"
"1999","Not Employed","indirect migration background","13400.1","12047.09","193","7003.89","9630.95","15483.6","23066","34849.2","12637.88","14162.32","245","37033.81","10655.416015625","12065"
"1999","Not Employed","no migration background","14970.34","13533.15","3863","7821.3","10426","17713.33","23855.33","39828","14744.89","15195.79","102","122128.66","13336.6669921875","13712"
"2000","Employed","direct migration background","16663.64","14676.33","1977","9158.8","11279","19431","25850.8","50693.5","16311.44","17015.84","1436","86549.34","14167.6201171875","14677.0263671875"
"2000","Employed","indirect migration background","16501.48","15048.41","584","9048.18","11590.48","19162.5","25406.11","52962.67","15880.63","17122.33","2044","84414.66","14551.515625","15869.5"
"2000","Employed","no migration background","19729.6","17583.83","12634","10666.88","13767","23302","30529.2","54718.67","19557.31","19901.89","722","222456","17260.556640625","17579"
"2000","Not Employed","direct migration background","12456.29","11233.56","1367","5713.33","8024","14933.91","19742.67","38923.89","12122.44","12790.14","0","58422.5","10914.2861328125","11451"
"2000","Not Employed","indirect migration background","14311.98","12880.12","247","7761","10295","16671.33","21881.33","37230.95","13531.25","15092.71","0","41007.6","11576.400390625","13110"
