"year","e11103","pgcasmin","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1988","Full Time","(2a) intermediate vocational","90.81","82.47","99","42","60","100","145","312","81.73","99.89","10","312","77","90"
"1988","Full Time","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"1988","Full Time","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"1988","Full Time","(2c_voc) vocational maturity certificate","83.1","78.87","32","45","57","98","156","170","70.91","95.29","38","170","60","93"
"1988","Full Time","(3a) lower tertiary education","","","","","","","","","","","","","",""
"1988","Full Time","(3b) higher tertiary education","114.97","105.02","36","75","86","140","180","220","99.8","130.14","20","220","90","135"
"1988","Not Working","(0) in school","","","","","","","","","","","","","",""
"1988","Not Working","(1a) inadequately completed","69.65","68","39","35","52","77","110","200","58.54","80.76","20","200","60","73"
"1988","Not Working","(1b) general elementary school","63.81","63","79","20","33","85","107","168","54.5","73.12","12","200","63","80"
"1988","Not Working","(1c) basic vocational qualification","68.98","65.26","53","20","50","80","110","260","57.36","80.6","18","260","65","80"
"1988","Not Working","(2a) intermediate vocational","","","","","","","","","","","","","",""
"1988","Not Working","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"1988","Not Working","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"1988","Not Working","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"1988","Not Working","(3a) lower tertiary education","","","","","","","","","","","","","",""
"1988","Not Working","(3b) higher tertiary education","","","","","","","","","","","","","",""
"1988","Part Time","(0) in school","","","","","","","","","","","","","",""
"1988","Part Time","(1a) inadequately completed","","","","","","","","","","","","","",""
"1988","Part Time","(1b) general elementary school","85.94","80","58","62","68","100","120","200","77.03","94.85","25","220","70","90"
"1988","Part Time","(1c) basic vocational qualification","95.71","83","67","39","65","130","170","312","83.85","107.57","20","312","73","90"
"1988","Part Time","(2a) intermediate vocational","","","","","","","","","","","","","",""
"1988","Part Time","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"1988","Part Time","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"1988","Part Time","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"1988","Part Time","(3a) lower tertiary education","","","","","","","","","","","","","",""
"1988","Part Time","(3b) higher tertiary education","","","","","","","","","","","","","",""
"1989","Full Time","(0) in school","","","","","","","","","","","","","",""
"1989","Full Time","(1a) inadequately completed","","","","","","","","","","","","","",""
"1989","Full Time","(1b) general elementary school","72.94","65","79","40","53","90","130","180","66.27","79.61","18","180","64","80"
"1989","Full Time","(1c) basic vocational qualification","86.62","82","167","45","64","100","130","250","80.66","92.58","15","270","76","86"
"1989","Full Time","(2a) intermediate vocational","90.14","82.57","122","45","57","110","145","250","82.25","98.03","20","250","75","90"
"1989","Full Time","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"1989","Full Time","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"1989","Full Time","(2c_voc) vocational maturity certificate","80.02","79.86","39","52","57","90","100","170","69.84","90.2","12","170","65","90"
"1989","Full Time","(3a) lower tertiary education","","","","","","","","","","","","","",""
"1989","Full Time","(3b) higher tertiary education","100.02","108.64","33","50","67","120","140","170","87.77","112.27","42","200","90","120"
"1989","Not Working","(0) in school","","","","","","","","","","","","","",""
"1989","Not Working","(1a) inadequately completed","","","","","","","","","","","","","",""
"1989","Not Working","(1b) general elementary school","69.14","69.08","65","40","55","80","95","195","60.86","77.42","12","200","62","73"
"1989","Not Working","(1c) basic vocational qualification","74.33","63","42","35","53","90","130","168","63.68","84.98","20","168","63","86"
"1989","Not Working","(2a) intermediate vocational","","","","","","","","","","","","","",""
"1989","Not Working","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"1989","Not Working","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"1989","Not Working","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"1989","Not Working","(3a) lower tertiary education","","","","","","","","","","","","","",""
"1989","Not Working","(3b) higher tertiary education","","","","","","","","","","","","","",""
"1989","Part Time","(0) in school","","","","","","","","","","","","","",""
"1989","Part Time","(1a) inadequately completed","","","","","","","","","","","","","",""
"1989","Part Time","(1b) general elementary school","79.75","67.72","34","30","50","110","140","178","65.41","94.09","25","178","56","86"
"1989","Part Time","(1c) basic vocational qualification","91.13","81.97","58","49","60","120","130","200","80.92","101.34","33","200","73","100"
"1989","Part Time","(2a) intermediate vocational","87.51","67.1","39","42","50","120","145","270","70.27","104.75","25","270","64","120"
"1989","Part Time","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"1989","Part Time","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"1989","Part Time","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"1989","Part Time","(3a) lower tertiary education","","","","","","","","","","","","","",""
"1989","Part Time","(3b) higher tertiary education","","","","","","","","","","","","","",""
"1990","Full Time","(0) in school","","","","","","","","","","","","","",""
"1990","Full Time","(1a) inadequately completed","73.26","62","33","37","54","80","120","240","53.99","92.53","15","240","62","100"
"1990","Full Time","(1b) general elementary school","88.48","75.03","69","25","54","128","130","300","76.64","100.32","10","300","70","80"
"1990","Full Time","(1c) basic vocational qualification","89.95","80","164","40","65","101","150","240","83.7","96.2","20","240","75","85"
"1990","Full Time","(2a) intermediate vocational","88.49","80","95","50","60","110","130","180","80.55","96.43","25","300","79","94"
"1990","Full Time","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"1990","Full Time","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"1990","Full Time","(2c_voc) vocational maturity certificate","79.57","70","36","40","55","92","143","200","67.09","92.05","35","200","70","95"
"1990","Full Time","(3a) lower tertiary education","","","","","","","","","","","","","",""
"1990","Full Time","(3b) higher tertiary education","106.66","100","42","42","75","140","160","250","92.55","120.77","40","250","90","126"
"1990","Not Working","(0) in school","","","","","","","","","","","","","",""
"1990","Not Working","(1a) inadequately completed","","","","","","","","","","","","","",""
"1990","Not Working","(1b) general elementary school","81.53","65","52","40","50","110","130","260","67.67","95.39","6","260","62","92"
"1990","Not Working","(1c) basic vocational qualification","74.15","68","39","18","45","110","120","160","61.3","87","0","160","67","90"
"1990","Not Working","(2a) intermediate vocational","","","","","","","","","","","","","",""
"1990","Not Working","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"1990","Not Working","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"1990","Not Working","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"1990","Not Working","(3a) lower tertiary education","","","","","","","","","","","","","",""
"1990","Not Working","(3b) higher tertiary education","","","","","","","","","","","","","",""
"1990","Part Time","(0) in school","","","","","","","","","","","","","",""
"1990","Part Time","(1a) inadequately completed","","","","","","","","","","","","","",""
"1990","Part Time","(1b) general elementary school","85.75","70","42","36","50","125","146","260","70.22","101.28","20","260","60","90"
"1990","Part Time","(1c) basic vocational qualification","65.88","65.66","49","25","35","80","110","160","55.63","76.13","12","160","65","80"
"1990","Part Time","(2a) intermediate vocational","","","","","","","","","","","","","",""
"1990","Part Time","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"1990","Part Time","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"1990","Part Time","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"1990","Part Time","(3a) lower tertiary education","","","","","","","","","","","","","",""
"1990","Part Time","(3b) higher tertiary education","","","","","","","","","","","","","",""
"1991","Full Time","(0) in school","","","","","","","","","","","","","",""
"1991","Full Time","(1a) inadequately completed","","","","","","","","","","","","","",""
"1991","Full Time","(1b) general elementary school","79.6","65","64","30","52","102","148","204","69.41","89.79","12","204","64","87"
"1991","Full Time","(1c) basic vocational qualification","86.32","80","156","50","60","104","130","200","80.81","91.83","9","204","70","90"
"1991","Full Time","(2a) intermediate vocational","84.39","85","99","40","58","109","130","186","76.77","92.01","12","199","70","92"
"1991","Full Time","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"1991","Full Time","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"1991","Full Time","(2c_voc) vocational maturity certificate","78.13","68","36","46","60","104","112","145","68.66","87.6","40","145","65","85"
"1991","Full Time","(3a) lower tertiary education","","","","","","","","","","","","","",""
"1991","Full Time","(3b) higher tertiary education","107.05","110","38","56","68","140","167","180","94.68","119.42","27","180","100","130"
"1991","Not Working","(0) in school","","","","","","","","","","","","","",""
"1991","Not Working","(1a) inadequately completed","","","","","","","","","","","","","",""
"1991","Not Working","(1b) general elementary school","62.39","53.9","41","15","40","72","100","250","49.21","75.57","9","250","52","70"
"1991","Not Working","(1c) basic vocational qualification","91.77","91.32","51","40","61","112","143","250","80.05","103.49","12","250","80","100"
"1991","Not Working","(2a) intermediate vocational","","","","","","","","","","","","","",""
"1991","Not Working","(2b) intermediate general qualification","","","","","","","","","","","","","",""
"1991","Not Working","(2c_gen) general maturity certificate","","","","","","","","","","","","","",""
"1991","Not Working","(2c_voc) vocational maturity certificate","","","","","","","","","","","","","",""
"1991","Not Working","(3a) lower tertiary education","","","","","","","","","","","","","",""
"1991","Not Working","(3b) higher tertiary education","","","","","","","","","","","","","",""
"1991","Part Time","(0) in school","","","","","","","","","","","","","",""
"1991","Part Time","(1a) inadequately completed","","","","","","","","","","","","","",""
"1991","Part Time","(1b) general elementary school","","","","","","","","","","","","","",""
"1991","Part Time","(1c) basic vocational qualification","85.65","80","42","36","60","105","136","199","73.69","97.61","15","199","64","94"
"1991","Part Time","(2a) intermediate vocational","98.75","104","31","16","56","130","186","200","81.08","116.42","16","200","70","120"
"1991","Part Time","(2b) intermediate general qualification","","","","","","","","","","","","","",""
