"year","sampreg","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2012","Westdeutschland, alte Bundeslaender","Male","7.83","8","9282","5","7","9","10","7.79","7.87","8","8"
"2013","Ostdeutschland, neue Bundeslaender","Female","7.8","8","3330","5","7","9","10","7.73","7.87","8","8"
"2013","Ostdeutschland, neue Bundeslaender","Male","7.65","8","2797","5","7","9","10","7.58","7.72","8","8"
"2013","Westdeutschland, alte Bundeslaender","Female","7.85","8","13345","5","7","9","10","7.81","7.89","8","8"
"2013","Westdeutschland, alte Bundeslaender","Male","7.81","8","11210","5","7","9","10","7.77","7.85","8","8"
"2014","Ostdeutschland, neue Bundeslaender","Female","7.8","8","3046","5","7","9","10","7.73","7.87","8","8"
"2014","Ostdeutschland, neue Bundeslaender","Male","7.64","8","2554","5","7","9","10","7.57","7.71","8","8"
"2014","Westdeutschland, alte Bundeslaender","Female","7.87","8","11622","5","7","9","10","7.83","7.91","8","8"
"2014","Westdeutschland, alte Bundeslaender","Male","7.86","8","9893","5","7","9","10","7.82","7.9","8","8"
"2015","Ostdeutschland, neue Bundeslaender","Female","7.77","8","2867","5","7","9","10","7.7","7.84","8","8"
"2015","Ostdeutschland, neue Bundeslaender","Male","7.59","8","2409","5","7","9","10","7.52","7.66","8","8"
"2015","Westdeutschland, alte Bundeslaender","Female","7.93","8","10728","5","7","9","10","7.89","7.97","8","8"
"2015","Westdeutschland, alte Bundeslaender","Male","7.88","8","9054","5","7","9","10","7.84","7.92","8","8"
"2016","Ostdeutschland, neue Bundeslaender","Female","7.77","8","2759","5","7","9","10","7.7","7.84","8","8"
"2016","Ostdeutschland, neue Bundeslaender","Male","7.75","8","2288","5","7","9","10","7.68","7.82","8","8"
"2016","Westdeutschland, alte Bundeslaender","Female","7.92","8","10377","5","7","9","10","7.88","7.96","8","8"
"2016","Westdeutschland, alte Bundeslaender","Male","7.88","8","8779","5","7","9","10","7.84","7.92","8","8"
"2017","Ostdeutschland, neue Bundeslaender","Female","7.81","8","3029","5","7","9","10","7.74","7.88","8","8"
"2017","Ostdeutschland, neue Bundeslaender","Male","7.72","8","2587","5","7","9","10","7.65","7.79","8","8"
"2017","Westdeutschland, alte Bundeslaender","Female","7.9","8","11227","5","7","9","10","7.86","7.94","8","8"
"2017","Westdeutschland, alte Bundeslaender","Male","7.83","8","9653","5","7","9","10","7.79","7.87","8","8"
"2018","Ostdeutschland, neue Bundeslaender","Female","7.75","8","2967","5","7","9","10","7.68","7.82","8","8"
"2018","Ostdeutschland, neue Bundeslaender","Male","7.7","8","2533","5","7","9","10","7.63","7.77","8","8"
"2018","Westdeutschland, alte Bundeslaender","Female","7.86","8","10865","5","7","9","10","7.82","7.9","8","8"
"2018","Westdeutschland, alte Bundeslaender","Male","7.84","8","9263","5","7","9","10","7.8","7.88","8","8"
"2019","Ostdeutschland, neue Bundeslaender","Female","7.91","8","2914","6","7","9","10","7.84","7.98","8","8"
"2019","Ostdeutschland, neue Bundeslaender","Male","7.78","8","2654","5","7","9","10","7.71","7.85","8","8"
"2019","Westdeutschland, alte Bundeslaender","Female","7.96","8","10510","5","7","9","10","7.92","8","8","8"
"2019","Westdeutschland, alte Bundeslaender","Male","7.89","8","9622","5","7","9","10","7.85","7.93","8","8"
