"year","pgcasmin","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"1999","(2c_voc) vocational maturity certificate","7.45","8","670","7.3","7.6","5","7","9","10"
"1999","(3a) lower tertiary education","7.67","8","951","7.55","7.79","5","7","9","10"
"1999","(3b) higher tertiary education","7.76","8","1015","7.64","7.88","5","7","9","10"
"2000","(0) in school","7.8","8","465","7.61","7.99","5","7","9","10"
"2000","(1a) inadequately completed","7.23","8","420","7.02","7.44","4","6","9","10"
"2000","(1b) general elementary school","7.65","8","2866","7.57","7.73","5","6","9","10"
"2000","(1c) basic vocational qualification","7.88","8","7818","7.84","7.92","5","7","9","10"
"2000","(2a) intermediate vocational","7.7","8","5554","7.65","7.75","5","7","9","10"
"2000","(2b) intermediate general qualification","7.54","8","719","7.38","7.7","5","6","9","10"
"2000","(2c_gen) general maturity certificate","7.3","8","815","7.16","7.44","4","6","9","10"
"2000","(2c_voc) vocational maturity certificate","7.61","8","1558","7.51","7.71","5","7","9","10"
"2000","(3a) lower tertiary education","7.75","8","1700","7.66","7.84","5","7","9","10"
"2000","(3b) higher tertiary education","7.81","8","2128","7.73","7.89","5","7","9","10"
"2001","(0) in school","7.91","8","532","7.73","8.09","5","7","10","10"
"2001","(1a) inadequately completed","7.32","8","321","7.09","7.55","5","6","8","10"
"2001","(1b) general elementary school","7.62","8","2471","7.54","7.7","5","6","9","10"
"2001","(1c) basic vocational qualification","7.87","8","6922","7.83","7.91","5","7","9","10"
"2001","(2a) intermediate vocational","7.73","8","5112","7.68","7.78","5","7","9","10"
"2001","(2b) intermediate general qualification","7.55","8","646","7.39","7.71","5","7","9","10"
"2001","(2c_gen) general maturity certificate","7.29","8","786","7.15","7.43","5","6","9","10"
"2001","(2c_voc) vocational maturity certificate","7.58","8","1455","7.48","7.68","5","7","9","10"
"2001","(3a) lower tertiary education","7.81","8","1595","7.72","7.9","5","7","9","10"
"2001","(3b) higher tertiary education","7.87","8","1961","7.79","7.95","5","7","9","10"
"2002","(0) in school","7.84","8","589","7.69","7.99","5","7","9","10"
"2002","(1a) inadequately completed","6.92","8","290","6.65","7.19","4","5","8","10"
"2002","(1b) general elementary school","7.43","8","2280","7.34","7.52","5","6","9","10"
"2002","(1c) basic vocational qualification","7.77","8","6648","7.72","7.82","5","7","9","10"
"2002","(2a) intermediate vocational","7.7","8","5331","7.65","7.75","5","7","9","10"
"2002","(2b) intermediate general qualification","7.52","8","644","7.36","7.68","5","7","9","10"
"2002","(2c_gen) general maturity certificate","7.21","8","882","7.08","7.34","4","6","9","10"
"2002","(2c_voc) vocational maturity certificate","7.53","8","1587","7.44","7.62","5","7","9","10"
"2002","(3a) lower tertiary education","7.75","8","1798","7.67","7.83","5","7","9","10"
"2002","(3b) higher tertiary education","7.8","8","2760","7.73","7.87","5","7","9","10"
"2003","(0) in school","7.79","8","587","7.63","7.95","5","7","9","10"
"2003","(1a) inadequately completed","6.77","7","278","6.49","7.05","3","5","8","10"
"2003","(1b) general elementary school","7.53","8","2150","7.44","7.62","5","6","9","10"
"2003","(1c) basic vocational qualification","7.81","8","6339","7.76","7.86","5","7","9","10"
"2003","(2a) intermediate vocational","7.62","8","5154","7.57","7.67","5","7","9","10"
"2003","(2b) intermediate general qualification","7.61","8","623","7.45","7.77","5","6","9","10"
"2003","(2c_gen) general maturity certificate","7.32","8","858","7.19","7.45","5","6","9","10"
"2003","(2c_voc) vocational maturity certificate","7.51","8","1572","7.42","7.6","5","7","9","10"
"2003","(3a) lower tertiary education","7.74","8","1725","7.66","7.82","5","7","9","10"
"2003","(3b) higher tertiary education","7.85","8","2637","7.78","7.92","5","7","9","10"
"2004","(0) in school","7.81","8","612","7.66","7.96","5","7","9","10"
"2004","(1a) inadequately completed","7.04","7","263","6.76","7.32","4","5","9","10"
"2004","(1b) general elementary school","7.58","8","2015","7.49","7.67","5","6","9","10"
"2004","(1c) basic vocational qualification","7.82","8","6078","7.77","7.87","5","7","9","10"
"2004","(2a) intermediate vocational","7.77","8","4992","7.72","7.82","5","7","9","10"
"2004","(2b) intermediate general qualification","7.48","8","598","7.32","7.64","5","6","9","10"
"2004","(2c_gen) general maturity certificate","7.49","8","841","7.36","7.62","5","6","9","10"
"2004","(2c_voc) vocational maturity certificate","7.6","8","1564","7.51","7.69","5","7","9","10"
"2004","(3a) lower tertiary education","7.83","8","1706","7.75","7.91","5","7","9","10"
"2004","(3b) higher tertiary education","7.97","8","2590","7.91","8.03","5","7","9","10"
"2005","(0) in school","7.9","8","623","7.75","8.05","5","7","9","10"
"2005","(1a) inadequately completed","7.2","8","249","6.92","7.48","4","6","9","10"
"2005","(1b) general elementary school","7.5","8","1859","7.4","7.6","5","6","9","10"
"2005","(1c) basic vocational qualification","7.79","8","5731","7.74","7.84","5","7","9","10"
"2005","(2a) intermediate vocational","7.74","8","4804","7.69","7.79","5","7","9","10"
"2005","(2b) intermediate general qualification","7.4","8","568","7.23","7.57","5","6","9","10"
"2005","(2c_gen) general maturity certificate","7.23","8","790","7.09","7.37","4","6","9","10"
"2005","(2c_voc) vocational maturity certificate","7.49","8","1518","7.39","7.59","5","7","9","10"
"2005","(3a) lower tertiary education","7.85","8","1647","7.77","7.93","5","7","9","10"
"2005","(3b) higher tertiary education","7.8","8","2520","7.73","7.87","5","7","9","10"
"2006","(0) in school","7.82","8","392","7.64","8","5","7","9","10"
"2006","(1a) inadequately completed","6.81","7","243","6.54","7.08","3","5","8","10"
"2006","(1b) general elementary school","7.47","8","1947","7.38","7.56","4","6","9","10"
"2006","(1c) basic vocational qualification","7.76","8","6167","7.71","7.81","5","7","9","10"
"2006","(2a) intermediate vocational","7.73","8","5171","7.68","7.78","5","7","9","10"
"2006","(2b) intermediate general qualification","7.31","8","572","7.13","7.49","4","6","9","10"
"2006","(2c_gen) general maturity certificate","7.52","8","829","7.39","7.65","5","7","9","10"
"2006","(2c_voc) vocational maturity certificate","7.43","8","1628","7.34","7.52","5","6","9","10"
"2006","(3a) lower tertiary education","7.83","8","1807","7.75","7.91","5","7","9","10"
"2006","(3b) higher tertiary education","7.79","8","2774","7.73","7.85","5","7","9","10"
"2007","(0) in school","7.88","8","326","7.68","8.08","5","7","9","10"
"2007","(1a) inadequately completed","6.77","7","217","6.47","7.07","3","5","8","10"
"2007","(1b) general elementary school","7.51","8","1735","7.42","7.6","5","6","9","10"
"2007","(1c) basic vocational qualification","7.77","8","5631","7.72","7.82","5","7","9","10"
"2007","(2a) intermediate vocational","7.71","8","4879","7.66","7.76","5","7","9","10"
"2007","(2b) intermediate general qualification","7.31","8","505","7.12","7.5","3","6","9","10"
"2007","(2c_gen) general maturity certificate","7.6","8","807","7.47","7.73","5","7","9","10"
"2007","(2c_voc) vocational maturity certificate","7.48","8","1557","7.39","7.57","5","6","9","10"
"2007","(3a) lower tertiary education","7.86","8","1710","7.78","7.94","5","7","9","10"
"2007","(3b) higher tertiary education","7.87","8","2679","7.81","7.93","6","7","9","10"
"2008","(0) in school","8.22","9","343","8.04","8.4","6","7","10","10"
"2008","(1a) inadequately completed","7.05","7","189","6.76","7.34","5","6","8","10"
"2008","(1b) general elementary school","7.64","8","1585","7.54","7.74","5","7","9","10"
"2008","(1c) basic vocational qualification","7.86","8","5256","7.81","7.91","5","7","9","10"
"2008","(2a) intermediate vocational","7.79","8","4646","7.74","7.84","5","7","9","10"
"2008","(2b) intermediate general qualification","7.57","8","476","7.4","7.74","4","7","9","10"
"2008","(2c_gen) general maturity certificate","7.46","8","736","7.33","7.59","5","6","9","10"
"2008","(2c_voc) vocational maturity certificate","7.76","8","1448","7.67","7.85","5","7","9","10"
"2008","(3a) lower tertiary education","8.03","8","1646","7.95","8.11","6","7","9","10"
"2008","(3b) higher tertiary education","8.09","8","2555","8.03","8.15","6","7","9","10"
"2009","(0) in school","7.91","8","296","7.72","8.1","5","7","9","10"
"2009","(1a) inadequately completed","6.89","7","173","6.54","7.24","4","5","8","10"
"2009","(1b) general elementary school","7.73","8","1407","7.63","7.83","5","7","9","10"
"2009","(1c) basic vocational qualification","7.84","8","4834","7.79","7.89","5","7","9","10"
"2009","(2a) intermediate vocational","7.67","8","4385","7.62","7.72","5","7","9","10"
"2009","(2b) intermediate general qualification","7.59","8","424","7.4","7.78","5","7","9","10"
"2009","(2c_gen) general maturity certificate","7.43","8","686","7.29","7.57","5","6","9","10"
"2009","(2c_voc) vocational maturity certificate","7.54","8","1323","7.44","7.64","5","7","9","10"
"2009","(3a) lower tertiary education","7.77","8","1584","7.69","7.85","5","7","9","10"
"2009","(3b) higher tertiary education","7.87","8","2458","7.8","7.94","5","7","9","10"
"2010","(0) in school","7.99","8","406","7.8","8.18","6","7","9","10"
"2010","(1a) inadequately completed","6.93","7","358","6.65","7.21","4","5","9","10"
"2010","(1b) general elementary school","7.49","8","1883","7.38","7.6","4","6","9","10"
"2010","(1c) basic vocational qualification","7.83","8","5630","7.78","7.88","5","7","9","10"
"2010","(2a) intermediate vocational","7.68","8","6165","7.63","7.73","5","7","9","10"
"2010","(2b) intermediate general qualification","7.48","8","623","7.3","7.66","5","7","9","10"
"2010","(2c_gen) general maturity certificate","7.41","8","920","7.27","7.55","5","7","9","10"
"2010","(2c_voc) vocational maturity certificate","7.64","8","2154","7.56","7.72","5","7","9","10"
"2010","(3a) lower tertiary education","7.86","8","1943","7.78","7.94","5","7","9","10"
"2010","(3b) higher tertiary education","7.88","8","3434","7.82","7.94","6","7","9","10"
"2011","(0) in school","8.23","9","420","8.06","8.4","6","7","10","10"
"2011","(1a) inadequately completed","6.88","7","374","6.61","7.15","4","5","9","10"
"2011","(1b) general elementary school","7.54","8","1964","7.44","7.64","5","6","9","10"
"2011","(1c) basic vocational qualification","7.81","8","6003","7.76","7.86","5","7","9","10"
"2011","(2a) intermediate vocational","7.77","8","6584","7.72","7.82","5","7","9","10"
