"year","education","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1999","secondary school degree","Westdeutschland, alte Bundeslaender","6.67","7","1601","4","5","8","9","6.57","6.77","7","7"
"2000","college entrance qualification","Ostdeutschland, neue Bundeslaender","6.53","7","620","4","5","8","9","6.37","6.69","6","7"
"2000","college entrance qualification","Westdeutschland, alte Bundeslaender","6.4","7","2462","4","5","8","9","6.32","6.48","7","7"
"2000","lower secondary degree","Ostdeutschland, neue Bundeslaender","6.5","7","1439","4","5","8","9","6.39","6.61","7","7"
"2000","lower secondary degree","Westdeutschland, alte Bundeslaender","6.7","7","6014","4","5","8","10","6.65","6.75","7","7"
"2000","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","6.42","7","85","3","5","8","9","5.94","6.9","5","7"
"2000","no degree/no degree yet","Westdeutschland, alte Bundeslaender","6.37","6","461","4","5","8","10","6.16","6.58","6","7"
"2000","Other degree","Ostdeutschland, neue Bundeslaender","6.77","7","59","3","5","9","10","6.08","7.46","5","8"
"2000","Other degree","Westdeutschland, alte Bundeslaender","6.82","7","1058","4","5","8","10","6.69","6.95","7","7"
"2000","secondary school degree","Ostdeutschland, neue Bundeslaender","6.53","7","1854","4","5","8","9","6.44","6.62","7","7"
"2000","secondary school degree","Westdeutschland, alte Bundeslaender","6.62","7","3294","4","5","8","9","6.55","6.69","7","7"
"2001","college entrance qualification","Ostdeutschland, neue Bundeslaender","6.2","6","629","4","5","8","8","6.05","6.35","6","7"
"2001","college entrance qualification","Westdeutschland, alte Bundeslaender","6.48","7","2307","4","5","8","9","6.39","6.57","7","7"
"2001","lower secondary degree","Ostdeutschland, neue Bundeslaender","6.63","7","1328","4","5","8","9","6.52","6.74","7","7"
"2001","lower secondary degree","Westdeutschland, alte Bundeslaender","6.7","7","5314","4","5","8","10","6.64","6.76","7","7"
"2001","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","6.28","6","100","3","5","8","10","5.81","6.75","5","7"
"2001","no degree/no degree yet","Westdeutschland, alte Bundeslaender","6.25","6","423","3","5","8","9","6.03","6.47","6","7"
"2001","Other degree","Ostdeutschland, neue Bundeslaender","6.2","6","38","4","5","8","9","5.39","7.01","5","8"
"2001","Other degree","Westdeutschland, alte Bundeslaender","6.59","7","1004","4","5","8","9","6.46","6.72","7","7"
"2001","secondary school degree","Ostdeutschland, neue Bundeslaender","6.63","7","1824","4","5","8","9","6.54","6.72","7","7"
"2001","secondary school degree","Westdeutschland, alte Bundeslaender","6.76","7","3032","4","5","8","9","6.69","6.83","7","7"
"2002","college entrance qualification","Ostdeutschland, neue Bundeslaender","6.37","7","666","3","5","8","9","6.22","6.52","6","7"
"2002","college entrance qualification","Westdeutschland, alte Bundeslaender","6.49","7","2935","4","5","8","9","6.42","6.56","7","7"
"2002","lower secondary degree","Ostdeutschland, neue Bundeslaender","6.37","7","1255","4","5","8","9","6.26","6.48","7","7"
"2002","lower secondary degree","Westdeutschland, alte Bundeslaender","6.59","7","5120","4","5","8","9","6.53","6.65","7","7"
"2002","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","6.93","7","97","4","5","8","10","6.51","7.35","6","8"
"2002","no degree/no degree yet","Westdeutschland, alte Bundeslaender","6.16","6","395","3","5","8","9","5.93","6.39","6","7"
"2002","Other degree","Ostdeutschland, neue Bundeslaender","6.38","7","39","4","5","8","9","5.66","7.1","6","8"
"2002","Other degree","Westdeutschland, alte Bundeslaender","6.6","7","952","4","5","8","9","6.47","6.73","7","7"
"2002","secondary school degree","Ostdeutschland, neue Bundeslaender","6.49","7","1802","4","5","8","9","6.4","6.58","7","7"
"2002","secondary school degree","Westdeutschland, alte Bundeslaender","6.57","7","3250","4","5","8","9","6.5","6.64","7","7"
"2003","college entrance qualification","Ostdeutschland, neue Bundeslaender","6.47","7","725","4","5","8","9","6.33","6.61","7","7"
"2003","college entrance qualification","Westdeutschland, alte Bundeslaender","6.51","7","2906","4","5","8","9","6.44","6.58","7","7"
