"hgowner","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Owner","1990","35-65 y.","West Germany","2212","0.528383435642939","0.514258480037607","0.54250839124827","1"
"Owner","1990","35-65 y.","East Germany","788","0.329265901752577","0.310072599888789","0.348459203616364","1"
"Owner","1990","66 and older","West Germany","530","0.429549511307297","0.399763936063709","0.459335086550885","1"
"Owner","1990","66 and older","East Germany","146","0.288676935145094","0.246287725482657","0.331066144807532","1"
"Resident or shared accommodation","1990","16-34 y.","West Germany","","","","","5"
"Resident or shared accommodation","1990","16-34 y.","East Germany","","","","","5"
"Resident or shared accommodation","1990","35-65 y.","West Germany","","","","","5"
"Resident or shared accommodation","1990","35-65 y.","East Germany","","","","","5"
"Resident or shared accommodation","1990","66 and older","West Germany","","","","","5"
"Resident or shared accommodation","1990","66 and older","East Germany","","","","","5"
"Subtenant","1990","16-34 y.","West Germany","125","0.0462645854967306","0.0394565172086978","0.0530726537847635","3"
"Subtenant","1990","16-34 y.","East Germany","76","0.0515726634900184","0.0410470606398822","0.0620982663401546","3"
"Subtenant","1990","35-65 y.","West Germany","71","0.0169914680240129","0.0133345766157126","0.0206483594323132","3"
"Subtenant","1990","35-65 y.","East Germany","68","0.0268263274458436","0.0202273459829415","0.0334253089087457","3"
"Subtenant","1990","66 and older","West Germany","11","","","","3"
"Subtenant","1990","66 and older","East Germany","9","","","","3"
"Tenant","1990","16-34 y.","West Germany","1","","","","4"
"Tenant","1990","16-34 y.","East Germany","2","","","","4"
"Tenant","1990","35-65 y.","West Germany","3","","","","4"
"Tenant","1990","35-65 y.","East Germany","4","","","","4"
"Tenant","1990","66 and older","West Germany","1","","","","4"
"Tenant","1990","66 and older","East Germany","","","","","4"
"Main tenant","1991","16-34 y.","West Germany","2367","0.584684091872696","0.568708596915634","0.600659586829757","2"
"Main tenant","1991","16-34 y.","East Germany","961","0.655096576258697","0.63120043842492","0.678992714092474","2"
"Main tenant","1991","35-65 y.","West Germany","2464","0.453149390827841","0.439025546443321","0.46727323521236","2"
"Main tenant","1991","35-65 y.","East Germany","1378","0.636697013760823","0.616757699532024","0.656636327989623","2"
"Main tenant","1991","66 and older","East Germany","249","0.665787807566338","0.620016104377988","0.711559510754687","2"
"Main tenant","1991","66 and older","West Germany","511","0.529292683951991","0.499468719356111","0.559116648547871","2"
"Owner","1991","16-34 y.","West Germany","1155","0.365314221196474","0.349703711852921","0.380924730540026","1"
"Owner","1991","16-34 y.","East Germany","461","0.266408241393107","0.244183979472138","0.288632503314075","1"
"Owner","1991","35-65 y.","West Germany","2232","0.530198535559264","0.516038174778369","0.544358896340159","1"
"Owner","1991","35-65 y.","East Germany","770","0.325942834808044","0.306510346669956","0.345375322946131","1"
"Owner","1991","66 and older","West Germany","550","0.449854876798962","0.420130222969265","0.479579530628659","1"
"Owner","1991","66 and older","East Germany","138","0.273339969463224","0.230095037652736","0.316584901273712","1"
"Resident or shared accommodation","1991","16-34 y.","West Germany","","","","","5"
"Resident or shared accommodation","1991","16-34 y.","East Germany","","","","","5"
"Resident or shared accommodation","1991","35-65 y.","West Germany","","","","","5"
"Resident or shared accommodation","1991","35-65 y.","East Germany","","","","","5"
"Resident or shared accommodation","1991","66 and older","West Germany","","","","","5"
"Resident or shared accommodation","1991","66 and older","East Germany","","","","","5"
"Subtenant","1991","16-34 y.","East Germany","97","0.0779311062767871","0.0644550317739307","0.0914071807796436","3"
"Subtenant","1991","16-34 y.","West Germany","127","0.0477450276059427","0.0408323691541725","0.0546576860577129","3"
"Subtenant","1991","35-65 y.","East Germany","83","0.0345243480396728","0.0269552743518293","0.0420934217275163","3"
"Subtenant","1991","35-65 y.","West Germany","69","0.0156929139225899","0.0121666486865777","0.019219179158602","3"
"Subtenant","1991","66 and older","West Germany","11","","","","3"
"Subtenant","1991","66 and older","East Germany","20","","","","3"
"Tenant","1991","16-34 y.","West Germany","6","","","","4"
"Tenant","1991","16-34 y.","East Germany","1","","","","4"
"Tenant","1991","35-65 y.","East Germany","4","","","","4"
"Tenant","1991","35-65 y.","West Germany","7","","","","4"
"Tenant","1991","66 and older","West Germany","4","","","","4"
"Tenant","1991","66 and older","East Germany","1","","","","4"
"Main tenant","1992","16-34 y.","West Germany","2350","0.58675787474603","0.570677062051055","0.602838687441006","2"
"Main tenant","1992","16-34 y.","East Germany","931","0.706236730939935","0.68236035534109","0.730113106538779","2"
"Main tenant","1992","35-65 y.","West Germany","2406","0.448784225480714","0.434589048770748","0.46297940219068","2"
"Main tenant","1992","35-65 y.","East Germany","1409","0.662783728669686","0.643006246178539","0.682561211160833","2"
"Main tenant","1992","66 and older","West Germany","506","0.519225916549914","0.489428067320247","0.549023765779581","2"
"Main tenant","1992","66 and older","East Germany","254","0.68361593060814","0.638040425920469","0.729191435295811","2"
"Owner","1992","16-34 y.","West Germany","1125","0.363434794683804","0.347727154771435","0.379142434596173","1"
"Owner","1992","16-34 y.","East Germany","412","0.252421268501402","0.229650066998713","0.27519247000409","1"
"Owner","1992","35-65 y.","West Germany","2233","0.532566192754059","0.518326256353474","0.546806129154645","1"
"Owner","1992","35-65 y.","East Germany","729","0.312612134804654","0.293219595722358","0.332004673886949","1"
"Owner","1992","66 and older","East Germany","141","0.298424130003007","0.253583429832389","0.343264830173625","1"
"Owner","1992","66 and older","West Germany","554","0.456556789030172","0.42684965882829","0.486263919232054","1"
"Resident or shared accommodation","1992","16-34 y.","West Germany","","","","","5"
"Resident or shared accommodation","1992","16-34 y.","East Germany","","","","","5"
"Resident or shared accommodation","1992","35-65 y.","West Germany","","","","","5"
"Resident or shared accommodation","1992","35-65 y.","East Germany","","","","","5"
"Resident or shared accommodation","1992","66 and older","West Germany","","","","","5"
"Resident or shared accommodation","1992","66 and older","East Germany","","","","","5"
"Subtenant","1992","16-34 y.","East Germany","55","0.0413420005586638","0.0309062882050853","0.0517777129122423","3"
"Subtenant","1992","16-34 y.","West Germany","126","0.0494415131954571","0.0423618673047551","0.056521159086159","3"
"Subtenant","1992","35-65 y.","West Germany","74","0.0176818624649669","0.0139204472377812","0.0214432776921526","3"
"Subtenant","1992","35-65 y.","East Germany","54","0.0211370681980046","0.0151195952798661","0.027154541116143","3"
"Subtenant","1992","66 and older","West Germany","19","","","","3"
"Subtenant","1992","66 and older","East Germany","5","","","","3"
"Tenant","1992","16-34 y.","West Germany","1","","","","4"
"Tenant","1992","16-34 y.","East Germany","","","","","4"
"Tenant","1992","35-65 y.","West Germany","3","","","","4"
"Tenant","1992","35-65 y.","East Germany","3","","","","4"
"Tenant","1992","66 and older","West Germany","1","","","","4"
"Tenant","1992","66 and older","East Germany","","","","","4"
"Main tenant","1993","16-34 y.","West Germany","2352","0.599078456547867","0.583044787694938","0.615112125400797","2"
"Main tenant","1993","35-65 y.","West Germany","2340","0.437595591239787","0.423324527359394","0.451866655120179","2"
"Main tenant","1993","16-34 y.","East Germany","876","0.685485421485975","0.660531329456407","0.710439513515542","2"
"Main tenant","1993","66 and older","West Germany","514","0.503610292251241","0.474130417456539","0.533090167045944","2"
"Main tenant","1993","35-65 y.","East Germany","1353","0.651523277854233","0.63122112401438","0.671825431694086","2"
"Main tenant","1993","66 and older","East Germany","258","0.697697489195037","0.652349875609516","0.743045102780557","2"
"Owner","1993","16-34 y.","West Germany","1092","0.351565332293529","0.335944740036065","0.367185924550993","1"
"Owner","1993","16-34 y.","East Germany","392","0.262688388018721","0.239036367606796","0.286340408430645","1"
"Owner","1993","35-65 y.","West Germany","2207","0.537553002611688","0.523210096651162","0.551895908572214","1"
"Owner","1993","35-65 y.","East Germany","739","0.34045443062946","0.32026415916753","0.360644702091391","1"
