"hgowner","year","e11102","migback","n","percent","lower_confidence","upper_confidence","value"
"Subtenant","1989","Employed","no migration background","89","0.0238073690564001","0.0192613664304935","0.0283533716823068","3"
"Subtenant","1989","Employed","direct migration background","36","0.0280678504963964","0.0204334348905668","0.0357022661022259","3"
"Subtenant","1989","Employed","indirect migration background","","","","","3"
"Tenant","1989","Not Employed","no migration background","5","","","","4"
"Tenant","1989","Not Employed","direct migration background","1","","","","4"
"Tenant","1989","Not Employed","indirect migration background","","","","","4"
"Tenant","1989","Employed","no migration background","8","","","","4"
"Tenant","1989","Employed","direct migration background","","","","","4"
"Tenant","1989","Employed","indirect migration background","","","","","4"
"Main tenant","1990","Not Employed","no migration background","1048","0.483147669619399","0.46325445503917","0.503040884199629","2"
"Main tenant","1990","Not Employed","direct migration background","649","0.686234123098707","0.654119715357378","0.718348530840036","2"
"Main tenant","1990","Not Employed","indirect migration background","96","0.79564034321909","0.723191644278163","0.868089042160017","2"
"Main tenant","1990","Employed","no migration background","1950","0.475544214657492","0.460521129284188","0.490567300030797","2"
"Main tenant","1990","Employed","direct migration background","1445","0.72957047203796","0.70875367702986","0.75038726704606","2"
"Main tenant","1990","Employed","indirect migration background","145","0.782859104092252","0.722119203926858","0.843599004257647","2"
"Owner","1990","Not Employed","no migration background","1335","0.493640919669625","0.473738005925407","0.513543833413843","1"
"Owner","1990","Not Employed","direct migration background","133","0.283773680572369","0.252572422799252","0.314974938345486","1"
"Owner","1990","Not Employed","indirect migration background","22","","","","1"
"Owner","1990","Employed","no migration background","2188","0.496709014989823","0.481668252942856","0.511749777036789","1"
"Owner","1990","Employed","direct migration background","263","0.234961313145605","0.215091532838925","0.254831093452285","1"
"Owner","1990","Employed","indirect migration background","30","0.195516793936466","0.137090009852356","0.253943578020577","1"
"Resident or shared accommodation","1990","Not Employed","no migration background","","","","","5"
"Resident or shared accommodation","1990","Not Employed","direct migration background","","","","","5"
"Resident or shared accommodation","1990","Not Employed","indirect migration background","","","","","5"
"Resident or shared accommodation","1990","Employed","no migration background","","","","","5"
"Resident or shared accommodation","1990","Employed","direct migration background","","","","","5"
"Resident or shared accommodation","1990","Employed","indirect migration background","","","","","5"
"Subtenant","1990","Not Employed","no migration background","38","0.0211144510844609","0.0153912679947707","0.0268376341741511","3"
"Subtenant","1990","Not Employed","direct migration background","20","","","","3"
"Subtenant","1990","Not Employed","indirect migration background","1","","","","3"
"Subtenant","1990","Employed","no migration background","107","0.027746770352685","0.0228058806301376","0.0326876600752324","3"
"Subtenant","1990","Employed","direct migration background","39","0.0349757963387358","0.0263657379824989","0.0435858546949726","3"
"Subtenant","1990","Employed","indirect migration background","2","","","","3"
"Tenant","1990","Not Employed","no migration background","3","","","","4"
"Tenant","1990","Not Employed","direct migration background","","","","","4"
"Tenant","1990","Not Employed","indirect migration background","","","","","4"
"Tenant","1990","Employed","no migration background","","","","","4"
"Tenant","1990","Employed","direct migration background","2","","","","4"
"Tenant","1990","Employed","indirect migration background","","","","","4"
"Main tenant","1991","Not Employed","no migration background","1007","0.470484360564898","0.450414846164138","0.490553874965657","2"
"Main tenant","1991","Not Employed","direct migration background","598","0.65836943645559","0.624629800490647","0.692109072420533","2"
"Main tenant","1991","Not Employed","indirect migration background","106","0.744194332951379","0.670319935461597","0.818068730441162","2"
"Main tenant","1991","Employed","no migration background","2001","0.48323493767617","0.468193446344657","0.498276429007683","2"
"Main tenant","1991","Employed","indirect migration background","178","0.771601189782681","0.715487061068625","0.827715318496737","2"
"Main tenant","1991","Employed","direct migration background","1420","0.726843253181313","0.705906958880232","0.747779547482394","2"
"Owner","1991","Not Employed","no migration background","1324","0.503358305975125","0.483254185374251","0.523462426576","1"
"Owner","1991","Not Employed","direct migration background","140","0.313258710316769","0.280261641633919","0.346255778999619","1"
"Owner","1991","Not Employed","indirect migration background","26","","","","1"
"Owner","1991","Employed","no migration background","2135","0.488839643167912","0.473793438874858","0.503885847460966","1"
"Owner","1991","Employed","direct migration background","276","0.239362572260141","0.219313677590571","0.259411466929711","1"
"Owner","1991","Employed","indirect migration background","35","0.218756050515089","0.163497151027097","0.27401495000308","1"
"Resident or shared accommodation","1991","Not Employed","no migration background","","","","","5"
"Resident or shared accommodation","1991","Not Employed","direct migration background","","","","","5"
"Resident or shared accommodation","1991","Not Employed","indirect migration background","","","","","5"
"Resident or shared accommodation","1991","Employed","no migration background","","","","","5"
"Resident or shared accommodation","1991","Employed","direct migration background","","","","","5"
"Resident or shared accommodation","1991","Employed","indirect migration background","","","","","5"
"Subtenant","1991","Not Employed","direct migration background","20","","","","3"
"Subtenant","1991","Not Employed","no migration background","40","0.0223201586145149","0.0163803583489633","0.0282599588800664","3"
"Subtenant","1991","Employed","no migration background","97","0.0265835841664935","0.0217416234330489","0.0314255448999382","3"
"Subtenant","1991","Not Employed","indirect migration background","2","","","","3"
"Subtenant","1991","Employed","direct migration background","40","0.031842398443976","0.0235924851737957","0.0400923117141563","3"
"Subtenant","1991","Employed","indirect migration background","2","","","","3"
"Tenant","1991","Not Employed","no migration background","5","","","","4"
"Tenant","1991","Not Employed","direct migration background","1","","","","4"
"Tenant","1991","Employed","no migration background","7","","","","4"
"Tenant","1991","Not Employed","indirect migration background","","","","","4"
"Tenant","1991","Employed","direct migration background","4","","","","4"
"Tenant","1991","Employed","indirect migration background","","","","","4"
"Main tenant","1992","Not Employed","no migration background","1619","0.507444870669188","0.490415823158987","0.524473918179388","2"
"Main tenant","1992","Not Employed","direct migration background","623","0.686087909413489","0.65406909637217","0.718106722454808","2"
"Main tenant","1992","Not Employed","indirect migration background","119","0.702547965986017","0.631268241982781","0.773827689989252","2"
"Main tenant","1992","Employed","no migration background","3901","0.524219592680282","0.512601362011355","0.535837823349208","2"
"Main tenant","1992","Employed","direct migration background","1384","0.701139647798238","0.67977797711194","0.722501318484536","2"
"Main tenant","1992","Employed","indirect migration background","210","0.775154824262757","0.723712113631263","0.82659753489425","2"
"Owner","1992","Not Employed","no migration background","1628","0.467502731783463","0.450507806124581","0.484497657442345","1"
"Owner","1992","Not Employed","direct migration background","165","0.294533591140325","0.263083861983112","0.325983320297538","1"
"Owner","1992","Not Employed","indirect migration background","39","0.297452034013983","0.226172310010748","0.368731758017219","1"
"Owner","1992","Employed","no migration background","2994","0.444178122511344","0.432618956688493","0.455737288334196","1"
"Owner","1992","Employed","indirect migration background","39","0.194268149237377","0.145517107801834","0.24301919067292","1"
"Owner","1992","Employed","direct migration background","329","0.258934675700813","0.23849273361115","0.279376617790475","1"
"Resident or shared accommodation","1992","Not Employed","no migration background","","","","","5"
"Resident or shared accommodation","1992","Not Employed","direct migration background","","","","","5"
"Resident or shared accommodation","1992","Not Employed","indirect migration background","","","","","5"
"Resident or shared accommodation","1992","Employed","no migration background","","","","","5"
"Resident or shared accommodation","1992","Employed","direct migration background","","","","","5"
"Resident or shared accommodation","1992","Employed","indirect migration background","","","","","5"
"Subtenant","1992","Not Employed","direct migration background","19","","","","3"
"Subtenant","1992","Not Employed","no migration background","60","0.0227489013020397","0.017670210214554","0.0278275923895253","3"
"Subtenant","1992","Not Employed","indirect migration background","","","","","3"
"Subtenant","1992","Employed","no migration background","200","0.0310211402692842","0.0269877882899913","0.0350544922485771","3"
"Subtenant","1992","Employed","direct migration background","50","0.0379399153395059","0.0290243666206995","0.0468554640583123","3"
"Subtenant","1992","Employed","indirect migration background","4","","","","3"
"Tenant","1992","Not Employed","no migration background","4","","","","4"
"Tenant","1992","Not Employed","direct migration background","","","","","4"
"Tenant","1992","Not Employed","indirect migration background","","","","","4"
"Tenant","1992","Employed","no migration background","3","","","","4"
"Tenant","1992","Employed","direct migration background","1","","","","4"
"Tenant","1992","Employed","indirect migration background","","","","","4"
"Main tenant","1993","Not Employed","no migration background","1763","0.509853498454123","0.493184491776204","0.526522505132042","2"
"Main tenant","1993","Not Employed","indirect migration background","124","0.615633254164098","0.542075681585647","0.689190826742549","2"
"Main tenant","1993","Not Employed","direct migration background","624","0.641145033530094","0.608314436038052","0.673975631022136","2"
"Main tenant","1993","Employed","direct migration background","1307","0.698116800527042","0.676151576873768","0.720082024180317","2"
"Main tenant","1993","Employed","no migration background","3630","0.512629052014132","0.500702245818602","0.524555858209662","2"
"Main tenant","1993","Employed","indirect migration background","245","0.74610965638433","0.697502842465716","0.794716470302943","2"
"Owner","1993","Not Employed","no migration background","1621","0.462547408303052","0.445922001840538","0.479172814765567","1"
"Owner","1993","Not Employed","direct migration background","170","0.314088667645241","0.28231983275394","0.345857502536541","1"
"Owner","1993","Not Employed","indirect migration background","42","0.378087930516304","0.304762545893222","0.451413315139386","1"
"Owner","1993","Employed","no migration background","2922","0.457587512172779","0.445699899188629","0.469475125156929","1"
"Owner","1993","Employed","direct migration background","321","0.25965889142793","0.238680622690761","0.2806371601651","1"
"Owner","1993","Employed","indirect migration background","53","0.200478916409495","0.15576712749841","0.245190705320581","1"
"Resident or shared accommodation","1993","Not Employed","no migration background","","","","","5"
"Resident or shared accommodation","1993","Not Employed","direct migration background","","","","","5"
"Resident or shared accommodation","1993","Not Employed","indirect migration background","","","","","5"
"Resident or shared accommodation","1993","Employed","no migration background","","","","","5"
"Resident or shared accommodation","1993","Employed","direct migration background","","","","","5"
"Resident or shared accommodation","1993","Employed","indirect migration background","","","","","5"
"Subtenant","1993","Not Employed","no migration background","71","0.0275990932428252","0.0221365592871892","0.0330616271984611","3"
"Subtenant","1993","Not Employed","direct migration background","26","","","","3"
"Subtenant","1993","Not Employed","indirect migration background","2","","","","3"
"Subtenant","1993","Employed","no migration background","195","0.0297834358130889","0.0257272814289084","0.0338395901972694","3"
"Subtenant","1993","Employed","direct migration background","50","0.0422243080450273","0.0326023094600743","0.0518463066299804","3"
"Subtenant","1993","Employed","indirect migration background","10","","","","3"
"Tenant","1993","Not Employed","no migration background","","","","","4"
"Tenant","1993","Not Employed","direct migration background","","","","","4"
"Tenant","1993","Not Employed","indirect migration background","","","","","4"
"Tenant","1993","Employed","no migration background","","","","","4"
"Tenant","1993","Employed","direct migration background","","","","","4"
"Tenant","1993","Employed","indirect migration background","","","","","4"
"Main tenant","1994","Not Employed","direct migration background","637","0.663955634887186","0.632012591804775","0.695898677969598","2"
