"hgowner","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Subtenant","1990","35-65 y.","Rural Area","69","0.0285243257084418","0.0218505316778508","0.0351981197390329","3"
"Subtenant","1990","66 and older","Urban Area","9","","","","3"
"Subtenant","1990","66 and older","Rural Area","11","","","","3"
"Tenant","1990","16-34 y.","Urban Area","2","","","","4"
"Tenant","1990","35-65 y.","Urban Area","3","","","","4"
"Tenant","1990","16-34 y.","Rural Area","1","","","","4"
"Tenant","1990","35-65 y.","Rural Area","4","","","","4"
"Tenant","1990","66 and older","Urban Area","1","","","","4"
"Tenant","1990","66 and older","Rural Area","","","","","4"
"Main tenant","1991","16-34 y.","Urban Area","2396","0.651395676981234","0.635337881865686","0.667453472096783","2"
"Main tenant","1991","16-34 y.","Rural Area","897","0.482779783945054","0.459380998035312","0.506178569854797","2"
"Main tenant","1991","35-65 y.","Urban Area","2737","0.528582732530742","0.514127430374082","0.543038034687401","2"
"Main tenant","1991","35-65 y.","Rural Area","1063","0.405331202182507","0.38561515691071","0.425047247454303","2"
"Main tenant","1991","66 and older","Urban Area","530","0.583416794759493","0.552247516990637","0.614586072528349","2"
"Main tenant","1991","66 and older","Rural Area","224","0.483602543819716","0.440526168237747","0.526678919401685","2"
"Owner","1991","16-34 y.","Urban Area","865","0.298937731255077","0.28351128976863","0.314364172741525","1"
"Owner","1991","16-34 y.","Rural Area","748","0.448644397084309","0.425355546184617","0.471933247984001","1"
"Owner","1991","35-65 y.","Urban Area","1756","0.453614012999726","0.439197475945188","0.468030550054264","1"
"Owner","1991","35-65 y.","Rural Area","1244","0.566287958907196","0.546385963767008","0.586189954047384","1"
"Owner","1991","66 and older","Urban Area","409","0.387640089040302","0.356836301796988","0.418443876283616","1"
"Owner","1991","66 and older","Rural Area","279","0.490163407829856","0.447072190398231","0.533254625261481","1"
"Resident or shared accommodation","1991","16-34 y.","Urban Area","","","","","5"
"Resident or shared accommodation","1991","16-34 y.","Rural Area","","","","","5"
"Resident or shared accommodation","1991","35-65 y.","Urban Area","","","","","5"
"Resident or shared accommodation","1991","35-65 y.","Rural Area","","","","","5"
"Resident or shared accommodation","1991","66 and older","Urban Area","","","","","5"
"Resident or shared accommodation","1991","66 and older","Rural Area","","","","","5"
"Subtenant","1991","16-34 y.","Urban Area","116","0.0468799719547204","0.0397569454313154","0.0540029984781254","3"
"Subtenant","1991","16-34 y.","Rural Area","106","0.0685224435184462","0.0566924731040082","0.0803524139328842","3"
"Subtenant","1991","35-65 y.","Urban Area","79","0.0158695221656199","0.0122506252602092","0.0194884190710306","3"
"Subtenant","1991","35-65 y.","Rural Area","73","0.0282900290371409","0.0216317462148337","0.034948311859448","3"
"Subtenant","1991","66 and older","Urban Area","17","","","","3"
"Subtenant","1991","66 and older","Rural Area","14","","","","3"
"Tenant","1991","16-34 y.","Urban Area","6","","","","4"
"Tenant","1991","16-34 y.","Rural Area","1","","","","4"
"Tenant","1991","35-65 y.","Urban Area","9","","","","4"
"Tenant","1991","66 and older","Urban Area","5","","","","4"
"Tenant","1991","35-65 y.","Rural Area","2","","","","4"
"Tenant","1991","66 and older","Rural Area","","","","","4"
"Main tenant","1992","16-34 y.","Urban Area","2339","0.647379630824314","0.631093051472447","0.663666210176181","2"
"Main tenant","1992","16-34 y.","Rural Area","889","0.520716669893908","0.496501578354021","0.544931761433794","2"
"Main tenant","1992","35-65 y.","Urban Area","2727","0.528331189489926","0.513840635169181","0.542821743810671","2"
"Main tenant","1992","35-65 y.","Rural Area","1037","0.403654569298343","0.383599115658279","0.423710022938407","2"
"Main tenant","1992","66 and older","Rural Area","225","0.470818033141945","0.427369694596143","0.514266371687748","2"
"Main tenant","1992","66 and older","Urban Area","529","0.581047103964921","0.549933680730845","0.612160527198996","2"
"Owner","1992","16-34 y.","Urban Area","858","0.304785580496975","0.289094485189478","0.320476675804472","1"
"Owner","1992","16-34 y.","Rural Area","675","0.43028610352116","0.406286930367794","0.454285276674525","1"
"Owner","1992","35-65 y.","Urban Area","1755","0.454629690558275","0.440175694307533","0.469083686809017","1"
"Owner","1992","35-65 y.","Rural Area","1205","0.569555763856983","0.549316012199258","0.589795515514709","1"
"Owner","1992","66 and older","Urban Area","420","0.397202346550069","0.366345523709389","0.428059169390749","1"
"Owner","1992","66 and older","Rural Area","274","0.502784851867516","0.459262998708277","0.546306705026755","1"
"Resident or shared accommodation","1992","16-34 y.","Urban Area","","","","","5"
"Resident or shared accommodation","1992","16-34 y.","Rural Area","","","","","5"
"Resident or shared accommodation","1992","35-65 y.","Urban Area","","","","","5"
"Resident or shared accommodation","1992","35-65 y.","Rural Area","","","","","5"
"Resident or shared accommodation","1992","66 and older","Urban Area","","","","","5"
"Resident or shared accommodation","1992","66 and older","Rural Area","","","","","5"
"Subtenant","1992","16-34 y.","Rural Area","71","0.0489972265849328","0.0385339946249466","0.0594604585449191","3"
"Subtenant","1992","16-34 y.","Urban Area","108","0.0474097991264349","0.0401657101014323","0.0546538881514375","3"
"Subtenant","1992","35-65 y.","Urban Area","73","0.0156124623621302","0.0120138749988272","0.0192110497254333","3"
"Subtenant","1992","35-65 y.","Rural Area","55","0.0251465126947715","0.0187464067510369","0.031546618638506","3"
"Subtenant","1992","66 and older","Urban Area","16","","","","3"
"Subtenant","1992","66 and older","Rural Area","8","","","","3"
"Tenant","1992","16-34 y.","Urban Area","1","","","","4"
"Tenant","1992","16-34 y.","Rural Area","","","","","4"
"Tenant","1992","35-65 y.","Rural Area","2","","","","4"
"Tenant","1992","35-65 y.","Urban Area","4","","","","4"
"Tenant","1992","66 and older","Urban Area","1","","","","4"
"Tenant","1992","66 and older","Rural Area","","","","","4"
"Main tenant","1993","16-34 y.","Urban Area","2373","0.665478193171759","0.649399732344027","0.681556653999491","2"
"Main tenant","1993","16-34 y.","Rural Area","855","0.504632208213106","0.480217491654684","0.529046924771528","2"
"Main tenant","1993","35-65 y.","Urban Area","2671","0.512791364784113","0.498166296704614","0.527416432863613","2"
"Main tenant","1993","35-65 y.","Rural Area","1022","0.406159168688088","0.38596050294153","0.426357834434647","2"
"Main tenant","1993","66 and older","Urban Area","542","0.567993498725398","0.536995731617301","0.598991265833495","2"
"Main tenant","1993","66 and older","Rural Area","230","0.473590054660673","0.430592224409892","0.516587884911453","2"
"Owner","1993","16-34 y.","Urban Area","826","0.293551941141213","0.278033505589927","0.3090703766925","1"
