"hgowner","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Owner","1986","Employed","inadequately","37","0.14013323301236","0.108582622487255","0.171683843537464","1"
"Owner","1986","Employed","general elemantary","512","0.458356999830968","0.433479583561237","0.4832344161007","1"
"Owner","1986","Employed","middle vocational","1428","0.462052435513949","0.445232403923118","0.47887246710478","1"
"Owner","1986","Employed","vocational + Abi","62","0.367626580101618","0.301623923501405","0.433629236701831","1"
"Owner","1986","Employed","higher vocational","220","0.526395896360137","0.47853025020266","0.574261542517615","1"
"Owner","1986","Employed","higher education","297","0.496611532954636","0.456836204309861","0.536386861599411","1"
"Resident or shared accommodation","1986","Employed","inadequately","","","","","5"
"Resident or shared accommodation","1986","Employed","vocational + Abi","","","","","5"
"Resident or shared accommodation","1986","Employed","higher vocational","","","","","5"
"Resident or shared accommodation","1986","Employed","higher education","","","","","5"
"Resident or shared accommodation","1986","Employed","general elemantary","","","","","5"
"Resident or shared accommodation","1986","Employed","middle vocational","","","","","5"
"Resident or shared accommodation","1986","Not Employed","higher vocational","","","","","5"
"Resident or shared accommodation","1986","Not Employed","higher education","","","","","5"
"Resident or shared accommodation","1986","Employed","in school","","","","","5"
"Resident or shared accommodation","1986","Not Employed","in school","","","","","5"
"Resident or shared accommodation","1986","Not Employed","inadequately","","","","","5"
"Resident or shared accommodation","1986","Not Employed","general elemantary","","","","","5"
"Resident or shared accommodation","1986","Not Employed","middle vocational","","","","","5"
"Resident or shared accommodation","1986","Not Employed","vocational + Abi","","","","","5"
"Subtenant","1986","Employed","vocational + Abi","4","","","","3"
"Subtenant","1986","Employed","higher vocational","5","","","","3"
"Subtenant","1986","Employed","higher education","2","","","","3"
"Subtenant","1986","Not Employed","higher education","1","","","","3"
"Subtenant","1986","Employed","in school","","","","","3"
"Subtenant","1986","Employed","inadequately","17","","","","3"
"Subtenant","1986","Employed","general elemantary","32","0.0217663762204123","0.0144808465612939","0.0290519058795306","3"
"Subtenant","1986","Employed","middle vocational","71","0.0175691604013697","0.0131367731215699","0.0220015476811695","3"
"Subtenant","1986","Not Employed","in school","2","","","","3"
"Subtenant","1986","Not Employed","inadequately","7","","","","3"
"Subtenant","1986","Not Employed","general elemantary","22","","","","3"
"Subtenant","1986","Not Employed","middle vocational","27","","","","3"
