"hgowner","year","e11103","migback","n","percent","lower_confidence","upper_confidence"
"5","1993","Full Time","no migration background","","","",""
"5","1993","Full Time","direct migration background","","","",""
"5","1993","Full Time","indirect migration background","","","",""
"5","1993","Part Time","no migration background","","","",""
"5","1993","Part Time","direct migration background","","","",""
"5","1993","Part Time","indirect migration background","","","",""
"5","1993","Not Working","no migration background","","","",""
"5","1993","Not Working","direct migration background","","","",""
"5","1993","Not Working","indirect migration background","","","",""
"1","1994","Full Time","no migration background","1999","0.448817307190024","0.434538526490742","0.463096087889306"
"1","1994","Full Time","direct migration background","217","0.26458876001231","0.238615346011104","0.290562174013517"
"1","1994","Full Time","indirect migration background","37","0.188767583337688","0.136337860653889","0.241197306021487"
"1","1994","Part Time","no migration background","857","0.481264985918572","0.458410225800786","0.504119746036358"
"1","1994","Part Time","direct migration background","78","0.283175011005558","0.240290625233488","0.326059396777627"
"1","1994","Part Time","indirect migration background","13","","",""
"1","1994","Not Working","no migration background","1693","0.469822127248002","0.453459676604562","0.486184577891443"
"1","1994","Not Working","direct migration background","177","0.300230339671555","0.269233794459357","0.331226884883753"
"1","1994","Not Working","indirect migration background","43","0.376039629502798","0.303859052214426","0.44822020679117"
"2","1994","Full Time","no migration background","2538","0.522757291336926","0.508417981792117","0.537096600881735"
"2","1994","Full Time","direct migration background","863","0.708035731904842","0.681264358571804","0.73480710523788"
"2","1994","Full Time","indirect migration background","171","0.782523669402126","0.727252844791638","0.837794494012614"
"2","1994","Part Time","no migration background","919","0.490674762852613","0.46780791978594","0.513541605919287"
"2","1994","Part Time","direct migration background","332","0.683260618751091","0.638980437522715","0.727540799979467"
"2","1994","Part Time","indirect migration background","93","0.775273580949851","0.696914487997608","0.853632673902094"
"2","1994","Not Working","no migration background","1806","0.501219760284918","0.484827474048173","0.517612046521664"
"2","1994","Not Working","direct migration background","637","0.663955634887186","0.632012591804775","0.695898677969598"
"2","1994","Not Working","indirect migration background","130","0.623960370497202","0.55177979320883","0.696140947785574"
"3","1994","Full Time","no migration background","124","0.0284254014730497","0.023654505807618","0.0331962971384813"
"3","1994","Full Time","direct migration background","28","","",""
"3","1994","Full Time","indirect migration background","6","","",""
"3","1994","Part Time","no migration background","60","0.0280602512288147","0.0205062473781567","0.0356142550794728"
"3","1994","Part Time","direct migration background","14","","",""
"3","1994","Part Time","indirect migration background","3","","",""
"3","1994","Not Working","no migration background","75","0.0289581124670795","0.023460489851868","0.034455735082291"
"3","1994","Not Working","direct migration background","26","","",""
"3","1994","Not Working","indirect migration background","","","",""
"4","1994","Full Time","no migration background","","","",""
"4","1994","Full Time","direct migration background","","","",""
"4","1994","Full Time","indirect migration background","","","",""
"4","1994","Part Time","no migration background","","","",""
"4","1994","Part Time","direct migration background","","","",""
"4","1994","Part Time","indirect migration background","","","",""
"4","1994","Not Working","no migration background","","","",""
"4","1994","Not Working","direct migration background","","","",""
"4","1994","Not Working","indirect migration background","","","",""
"5","1994","Full Time","no migration background","","","",""
"5","1994","Full Time","direct migration background","","","",""
"5","1994","Full Time","indirect migration background","","","",""
"5","1994","Part Time","no migration background","","","",""
"5","1994","Part Time","direct migration background","","","",""
"5","1994","Part Time","indirect migration background","","","",""
"5","1994","Not Working","no migration background","","","",""
"5","1994","Not Working","direct migration background","","","",""
"5","1994","Not Working","indirect migration background","","","",""
"1","1995","Full Time","no migration background","2001","0.465255596109138","0.450764087464946","0.479747104753329"
"1","1995","Full Time","direct migration background","222","0.268207195067367","0.242734534605516","0.293679855529218"
"1","1995","Full Time","indirect migration background","38","0.189215936050478","0.135598922809026","0.24283294929193"
"1","1995","Part Time","no migration background","892","0.479762856920129","0.457485763863559","0.502039949976699"
"1","1995","Part Time","direct migration background","103","0.256419152945291","0.21979301745286","0.293045288437721"
"1","1995","Part Time","indirect migration background","23","","",""
"1","1995","Not Working","no migration background","1669","0.483802851840098","0.467386936470354","0.500218767209842"
"1","1995","Not Working","direct migration background","198","0.264001621910072","0.238023230634336","0.289980013185808"
"1","1995","Not Working","indirect migration background","42","0.389479463225029","0.316604845828522","0.462354080621537"
"2","1995","Full Time","no migration background","2412","0.501540563368546","0.487014008924145","0.516067117812947"
"2","1995","Full Time","direct migration background","909","0.695015709943267","0.668544056276273","0.721487363610262"
"2","1995","Full Time","indirect migration background","160","0.721986183972343","0.660656773025827","0.783315594918859"
"2","1995","Part Time","no migration background","994","0.495847619091311","0.473553025635328","0.518142212547293"
"2","1995","Part Time","direct migration background","421","0.687831309275909","0.648963737308628","0.726698881243189"
"2","1995","Part Time","indirect migration background","111","0.624228184068551","0.542830429387707","0.705625938749394"
"2","1995","Not Working","no migration background","1803","0.485405454524119","0.468987917385076","0.501822991663163"
"2","1995","Not Working","direct migration background","866","0.686189157542774","0.658841103736958","0.713537211348591"
"2","1995","Not Working","indirect migration background","124","0.533684019460518","0.459130849132884","0.608237189788153"
"3","1995","Full Time","no migration background","138","0.0332038405223166","0.0279984143518515","0.0384092666927817"
"3","1995","Full Time","direct migration background","31","0.0367770949893652","0.0259553539197141","0.0475988360590163"
"3","1995","Full Time","indirect migration background","7","","",""
"3","1995","Part Time","no migration background","46","0.0243895239885604","0.0175111716314197","0.0312678763457012"
"3","1995","Part Time","direct migration background","22","","",""
"3","1995","Part Time","indirect migration background","2","","",""
"3","1995","Not Working","no migration background","88","0.0307916936357826","0.0251169212815989","0.0364664659899663"
"3","1995","Not Working","direct migration background","42","0.0498092205471536","0.036987957625458","0.0626304834688492"
"3","1995","Not Working","indirect migration background","6","","",""
"4","1995","Full Time","no migration background","","","",""
"4","1995","Full Time","direct migration background","","","",""
"4","1995","Full Time","indirect migration background","","","",""
"4","1995","Part Time","no migration background","","","",""
"4","1995","Part Time","direct migration background","","","",""
"4","1995","Part Time","indirect migration background","","","",""
"4","1995","Not Working","no migration background","","","",""
"4","1995","Not Working","direct migration background","","","",""
"4","1995","Not Working","indirect migration background","","","",""
"5","1995","Full Time","no migration background","","","",""
"5","1995","Full Time","direct migration background","","","",""
"5","1995","Full Time","indirect migration background","","","",""
"5","1995","Part Time","no migration background","","","",""
"5","1995","Part Time","direct migration background","","","",""
"5","1995","Part Time","indirect migration background","","","",""
"5","1995","Not Working","no migration background","","","",""
"5","1995","Not Working","direct migration background","","","",""
"5","1995","Not Working","indirect migration background","","","",""
"1","1996","Full Time","no migration background","2037","0.463957105231295","0.449426708032824","0.478487502429767"
"1","1996","Full Time","direct migration background","186","0.250948508743817","0.224183587421822","0.277713430065813"
"1","1996","Full Time","indirect migration background","39","0.204999463362572","0.151654082075159","0.258344844649985"
"1","1996","Part Time","no migration background","927","0.489161164113224","0.467064624228652","0.511257703997796"
"1","1996","Part Time","direct migration background","117","0.224952798144734","0.191174418188238","0.258731178101229"
"1","1996","Part Time","indirect migration background","27","","",""
"1","1996","Not Working","no migration background","1646","0.490351874594401","0.473704402910097","0.506999346278705"
"1","1996","Not Working","direct migration background","199","0.276138483137871","0.24878166254274","0.303495303733002"
"1","1996","Not Working","indirect migration background","43","0.376298682896408","0.305721635878657","0.446875729914159"
"2","1996","Full Time","no migration background","2365","0.505543741194685","0.490976339113482","0.520111143275889"
"2","1996","Full Time","direct migration background","772","0.695455553248701","0.667045119974549","0.723865986522854"
"2","1996","Full Time","indirect migration background","168","0.705714658096138","0.645495367502717","0.765933948689558"
"2","1996","Part Time","no migration background","981","0.479219455912547","0.457136819056423","0.501302092768671"
"2","1996","Part Time","direct migration background","452","0.74370265129058","0.708384272336896","0.779021030244265"
"2","1996","Part Time","indirect migration background","115","0.731376896979478","0.659966814795868","0.802786979163089"
"2","1996","Not Working","no migration background","1741","0.484134969203047","0.467492781331161","0.500777157074933"
"2","1996","Not Working","direct migration background","790","0.684057147817378","0.655610907775749","0.712503387859007"
"2","1996","Not Working","indirect migration background","132","0.581994482866445","0.510139110485674","0.653849855247216"
"3","1996","Full Time","no migration background","123","0.0304991535740194","0.0254889336586409","0.0355093734893979"
"3","1996","Full Time","direct migration background","50","0.0535959380074812","0.0396925046085172","0.0674993714064452"
"3","1996","Full Time","indirect migration background","13","","",""
"3","1996","Part Time","no migration background","58","0.0316193799742295","0.0238844559224668","0.0393543040259922"
"3","1996","Part Time","direct migration background","18","","",""
"3","1996","Part Time","indirect migration background","6","","",""
"3","1996","Not Working","no migration background","77","0.0255131562025523","0.0202623107799855","0.030764001625119"
"3","1996","Not Working","direct migration background","37","0.0398043690447514","0.0278419325439585","0.0517668055455444"
"3","1996","Not Working","indirect migration background","6","","",""
"4","1996","Full Time","no migration background","","","",""
"4","1996","Full Time","direct migration background","","","",""
"4","1996","Full Time","indirect migration background","","","",""
"4","1996","Part Time","no migration background","","","",""
"4","1996","Part Time","direct migration background","","","",""
"4","1996","Part Time","indirect migration background","","","",""
"4","1996","Not Working","no migration background","","","",""
"4","1996","Not Working","direct migration background","","","",""
"4","1996","Not Working","indirect migration background","","","",""
"5","1996","Full Time","no migration background","","","",""
"5","1996","Full Time","direct migration background","","","",""
"5","1996","Full Time","indirect migration background","","","",""
"5","1996","Part Time","no migration background","","","",""
"5","1996","Part Time","direct migration background","","","",""
"5","1996","Part Time","indirect migration background","","","",""
"5","1996","Not Working","no migration background","","","",""
"5","1996","Not Working","direct migration background","","","",""
"5","1996","Not Working","indirect migration background","","","",""
"1","1997","Full Time","no migration background","2048","0.474965816526909","0.460247311887053","0.489684321166765"
"1","1997","Full Time","direct migration background","209","0.289554178502751","0.260788355384285","0.318320001621217"
"1","1997","Full Time","indirect migration background","51","0.262665136014103","0.20566656726123","0.319663704766975"
"1","1997","Part Time","no migration background","915","0.493075751604007","0.470559999455202","0.515591503752811"
"1","1997","Part Time","direct migration background","107","0.231002559583048","0.194741937105754","0.267263182060342"
"1","1997","Part Time","indirect migration background","28","","",""
"1","1997","Not Working","no migration background","1712","0.496970355964273","0.480481148767846","0.5134595631607"
"1","1997","Not Working","direct migration background","206","0.248012702341386","0.221483974973059","0.274541429709713"
"1","1997","Not Working","indirect migration background","53","0.39725387521106","0.329774090093792","0.464733660328328"
"2","1997","Full Time","no migration background","2253","0.496046686197581","0.481310158968222","0.51078321342694"
"2","1997","Full Time","direct migration background","712","0.666123885160672","0.636213873384704","0.69603389693664"
"2","1997","Full Time","indirect migration background","168","0.688518658613878","0.628538967484346","0.748498349743409"
"2","1997","Part Time","no migration background","924","0.480608121274573","0.458107151637564","0.503109090911582"
"2","1997","Part Time","direct migration background","396","0.732140842854022","0.694041719881106","0.770239965826938"
"2","1997","Part Time","indirect migration background","113","0.72340253406445","0.650342317310323","0.796462750818577"
"2","1997","Not Working","no migration background","1750","0.474199002632805","0.457731461213651","0.490666544051958"
"2","1997","Not Working","direct migration background","779","0.720353088250055","0.692782125784069","0.747924050716042"
"2","1997","Not Working","indirect migration background","146","0.585725178745336","0.517794864695979","0.653655492794693"
"3","1997","Full Time","no migration background","121","0.02898749727551","0.0240426088902064","0.0339323856608136"
"3","1997","Full Time","direct migration background","34","0.0443219363365765","0.0312688991053193","0.0573749735678336"
"3","1997","Full Time","indirect migration background","10","","",""
"3","1997","Part Time","no migration background","55","0.0263161271214203","0.0191070764203416","0.0335251778224989"
"3","1997","Part Time","direct migration background","16","","",""
"3","1997","Part Time","indirect migration background","3","","",""
"3","1997","Not Working","no migration background","70","0.0288306414029222","0.0233122515112991","0.0343490312945452"
"3","1997","Not Working","direct migration background","33","0.0316342094085586","0.0208826263576846","0.0423857924594326"
"3","1997","Not Working","indirect migration background","3","","",""
"4","1997","Full Time","no migration background","","","",""
"4","1997","Full Time","direct migration background","","","",""
"4","1997","Full Time","indirect migration background","","","",""
"4","1997","Part Time","no migration background","","","",""
"4","1997","Part Time","direct migration background","","","",""
"4","1997","Part Time","indirect migration background","","","",""
"4","1997","Not Working","no migration background","","","",""
"4","1997","Not Working","direct migration background","","","",""
"4","1997","Not Working","indirect migration background","","","",""
"5","1997","Full Time","no migration background","","","",""
"5","1997","Full Time","direct migration background","","","",""
"5","1997","Full Time","indirect migration background","","","",""
"5","1997","Part Time","no migration background","","","",""
"5","1997","Part Time","direct migration background","","","",""
"5","1997","Part Time","indirect migration background","","","",""
"5","1997","Not Working","no migration background","","","",""
"5","1997","Not Working","direct migration background","","","",""
"5","1997","Not Working","indirect migration background","","","",""
"1","1998","Full Time","no migration background","2327","0.480863286644479","0.46683509897677","0.494891474312188"
"1","1998","Full Time","direct migration background","207","0.269566846209966","0.240397903466036","0.298735788953896"
"1","1998","Full Time","indirect migration background","60","0.270100891203764","0.214502852169831","0.325698930237697"
"1","1998","Part Time","no migration background","1072","0.491813721915665","0.470979978190775","0.512647465640555"
"1","1998","Part Time","direct migration background","124","0.253991891123467","0.216506252762372","0.291477529484562"
"1","1998","Part Time","indirect migration background","32","0.322628927105124","0.248065717796209","0.397192136414038"
"1","1998","Not Working","no migration background","2115","0.511013558826707","0.495926280201921","0.526100837451493"
"1","1998","Not Working","direct migration background","227","0.276258956360242","0.248737025588516","0.303780887131968"
"1","1998","Not Working","indirect migration background","58","0.383009430282351","0.316946106496312","0.449072754068391"
"2","1998","Full Time","no migration background","2417","0.490643091053775","0.476607075853341","0.504679106254209"
"2","1998","Full Time","direct migration background","641","0.679022815156804","0.648334257608781","0.709711372704827"
"2","1998","Full Time","indirect migration background","175","0.680028071938593","0.621618448221989","0.738437695655197"
"2","1998","Part Time","no migration background","1073","0.466144304635371","0.445355588886258","0.486933020384485"
"2","1998","Part Time","direct migration background","370","0.687328573137948","0.647406828884366","0.727250317391529"
"2","1998","Part Time","indirect migration background","109","0.627914821306485","0.550818941297967","0.705010701315003"
"2","1998","Not Working","no migration background","1991","0.457155872224126","0.442120436653191","0.472191307795061"
"2","1998","Not Working","direct migration background","749","0.681768018669383","0.653098570260532","0.710437467078234"
"2","1998","Not Working","indirect migration background","143","0.558444516903201","0.490960786748094","0.625928247058309"
"3","1998","Full Time","no migration background","129","0.0284936223017461","0.0238222278034165","0.0331650168000758"
"3","1998","Full Time","direct migration background","41","0.0514103386332304","0.0368938480641787","0.065926829202282"
"3","1998","Full Time","indirect migration background","10","","",""
"3","1998","Part Time","no migration background","67","0.0420419734489639","0.0336788151580082","0.0504051317399196"
"3","1998","Part Time","direct migration background","24","","",""
"3","1998","Part Time","indirect migration background","10","","",""
"3","1998","Not Working","no migration background","97","0.0265246241033511","0.0216747172828155","0.0313745309238866"
"3","1998","Not Working","direct migration background","34","0.0299603108191347","0.0194673748494157","0.0404532467888537"
"3","1998","Not Working","indirect migration background","6","","",""
"4","1998","Full Time","no migration background","","","",""
"4","1998","Full Time","direct migration background","","","",""
"4","1998","Full Time","indirect migration background","","","",""
"4","1998","Part Time","no migration background","","","",""
"4","1998","Part Time","direct migration background","","","",""
"4","1998","Part Time","indirect migration background","","","",""
"4","1998","Not Working","no migration background","14","","",""
"4","1998","Not Working","direct migration background","4","","",""
"4","1998","Not Working","indirect migration background","1","","",""
"5","1998","Full Time","no migration background","","","",""
"5","1998","Full Time","direct migration background","","","",""
"5","1998","Full Time","indirect migration background","","","",""
"5","1998","Part Time","no migration background","","","",""
"5","1998","Part Time","direct migration background","","","",""
"5","1998","Part Time","indirect migration background","","","",""
"5","1998","Not Working","no migration background","","","",""
"5","1998","Not Working","direct migration background","","","",""
"5","1998","Not Working","indirect migration background","","","",""
"1","1999","Full Time","no migration background","2305","0.483015689175189","0.468818265611569","0.49721311273881"
"1","1999","Full Time","direct migration background","215","0.298046430022575","0.267260922294025","0.328831937751125"
"1","1999","Full Time","indirect migration background","66","0.336667270632644","0.277372097691894","0.395962443573393"
"1","1999","Part Time","no migration background","1154","0.509306030656362","0.488924214128235","0.529687847184489"
"1","1999","Part Time","direct migration background","127","0.295550585219149","0.253988396149486","0.337112774288811"
"1","1999","Part Time","indirect migration background","39","0.288926207296944","0.221770972586764","0.356081442007124"
"1","1999","Not Working","no migration background","1927","0.502121444110233","0.486354343744422","0.517888544476043"
"1","1999","Not Working","direct migration background","218","0.288742360138688","0.2593307097443","0.318154010533076"
"1","1999","Not Working","indirect migration background","49","0.376138219482369","0.307796270654145","0.444480168310593"
"2","1999","Full Time","no migration background","2351","0.492190733018952","0.477986844144374","0.506394621893529"
"2","1999","Full Time","direct migration background","609","0.677786199346611","0.646332727169305","0.709239671523918"
"2","1999","Full Time","indirect migration background","168","0.605479397614463","0.544154376455282","0.666804418773645"
"2","1999","Part Time","no migration background","1099","0.461742853889088","0.441417266182513","0.482068441595663"
"2","1999","Part Time","direct migration background","316","0.66003179676144","0.616883945348077","0.703179648174803"
"2","1999","Part Time","indirect migration background","130","0.67888019096574","0.609703595650134","0.748056786281347"
"2","1999","Not Working","no migration background","1849","0.469336030215409","0.453598467075168","0.485073593355651"
"2","1999","Not Working","direct migration background","655","0.655003021902388","0.62415126013241","0.685854783672366"
"2","1999","Not Working","indirect migration background","136","0.56063584821363","0.490615836635206","0.630655859792054"
"3","1999","Full Time","no migration background","103","0.0247935778058589","0.0203757568010037","0.0292113988107141"
"3","1999","Full Time","direct migration background","24","","",""
"3","1999","Full Time","indirect migration background","10","","",""
"3","1999","Part Time","no migration background","56","0.0286559492616065","0.0218538641725496","0.0354580343506634"
"3","1999","Part Time","direct migration background","20","","",""
"3","1999","Part Time","indirect migration background","6","","",""
"3","1999","Not Working","no migration background","68","0.0204418828430458","0.0159795569114672","0.0249042087746244"
"3","1999","Not Working","direct migration background","35","0.0431084884098534","0.0299270313195627","0.056289945500144"
"3","1999","Not Working","indirect migration background","7","","",""
"4","1999","Full Time","no migration background","","","",""
"4","1999","Full Time","direct migration background","","","",""
"4","1999","Full Time","indirect migration background","","","",""
"4","1999","Part Time","no migration background","","","",""
"4","1999","Part Time","direct migration background","","","",""
"4","1999","Part Time","indirect migration background","","","",""
"4","1999","Not Working","no migration background","","","",""
"4","1999","Not Working","direct migration background","","","",""
"4","1999","Not Working","indirect migration background","","","",""
"5","1999","Full Time","no migration background","","","",""
"5","1999","Full Time","direct migration background","","","",""
"5","1999","Full Time","indirect migration background","","","",""
"5","1999","Part Time","no migration background","2","","",""
"5","1999","Part Time","direct migration background","","","",""
"5","1999","Part Time","indirect migration background","","","",""
"5","1999","Not Working","no migration background","19","","",""
"5","1999","Not Working","direct migration background","4","","",""
"5","1999","Not Working","indirect migration background","1","","",""
"1","2000","Full Time","no migration background","4491","0.487976856404357","0.477354281305505","0.498599431503208"
"1","2000","Full Time","direct migration background","360","0.287372479086747","0.262315631116589","0.312429327056905"
"1","2000","Full Time","indirect migration background","94","0.270546821980648","0.223326541622852","0.317767102338443"
"1","2000","Part Time","no migration background","2238","0.509342917774318","0.494092827358072","0.524593008190564"
"1","2000","Part Time","direct migration background","190","0.218356580278308","0.18826352464305","0.248449635913567"
"1","2000","Part Time","indirect migration background","65","0.291595540694519","0.234568050292668","0.34862303109637"
"1","2000","Not Working","no migration background","4152","0.52400431770308","0.51266744666088","0.53534118874528"
"1","2000","Not Working","direct migration background","364","0.276257057297429","0.252553545410869","0.299960569183989"
"1","2000","Not Working","indirect migration background","94","0.43839956149398","0.376519834490658","0.500279288497302"
"2","2000","Full Time","no migration background","3893","0.495103517857348","0.484478379835899","0.505728655878797"
"2","2000","Full Time","direct migration background","867","0.685945238914734","0.660246017305478","0.71164446052399"
"2","2000","Full Time","indirect migration background","233","0.686553862104341","0.637244725142747","0.735862999065935"
"2","2000","Part Time","no migration background","1823","0.470680477687517","0.455453970374012","0.485906985001021"
"2","2000","Part Time","direct migration background","520","0.765564937269729","0.734705989850265","0.796423884689193"
"2","2000","Part Time","indirect migration background","173","0.674056819723486","0.615243948678417","0.732869690768554"
"2","2000","Not Working","no migration background","3200","0.45774139752315","0.446432049002039","0.469050746044262"
"2","2000","Not Working","direct migration background","975","0.695046871074073","0.670641386958193","0.719452355189954"
"2","2000","Not Working","indirect migration background","149","0.517101218184977","0.4547829393973","0.579419496972654"
"3","2000","Full Time","no migration background","121","0.0166014616209076","0.0138861270814636","0.0193167961603516"
"3","2000","Full Time","direct migration background","26","","",""
"3","2000","Full Time","indirect migration background","13","","",""
"3","2000","Part Time","no migration background","67","0.0199766045381654","0.0157082812640157","0.0242449278123152"
"3","2000","Part Time","direct migration background","14","","",""
"3","2000","Part Time","indirect migration background","6","","",""
"3","2000","Not Working","no migration background","75","0.012254823667385","0.00975735378775562","0.0147522935470143"
"3","2000","Not Working","direct migration background","25","","",""
"3","2000","Not Working","indirect migration background","3","","",""
"4","2000","Full Time","no migration background","","","",""
"4","2000","Full Time","direct migration background","","","",""
"4","2000","Full Time","indirect migration background","","","",""
"4","2000","Part Time","no migration background","","","",""
"4","2000","Part Time","direct migration background","","","",""
"4","2000","Part Time","indirect migration background","","","",""
"4","2000","Not Working","no migration background","","","",""
"4","2000","Not Working","direct migration background","","","",""
"4","2000","Not Working","indirect migration background","","","",""
"5","2000","Full Time","no migration background","1","","",""
"5","2000","Full Time","direct migration background","","","",""
"5","2000","Full Time","indirect migration background","","","",""
"5","2000","Part Time","no migration background","","","",""
"5","2000","Part Time","direct migration background","","","",""
"5","2000","Part Time","indirect migration background","","","",""
"5","2000","Not Working","no migration background","28","","",""
"5","2000","Not Working","direct migration background","3","","",""
"5","2000","Not Working","indirect migration background","1","","",""
"1","2001","Full Time","no migration background","4059","0.490663899534535","0.4794695299183","0.50185826915077"
"1","2001","Full Time","direct migration background","337","0.295682589291294","0.268775666007917","0.322589512574672"
"1","2001","Full Time","indirect migration background","78","0.266676864809705","0.218148784342245","0.315204945277165"
"1","2001","Part Time","no migration background","2135","0.505142877521274","0.489499496575765","0.520786258466784"
"1","2001","Part Time","direct migration background","186","0.246410631902029","0.214257695003427","0.278563568800631"
"1","2001","Part Time","indirect migration background","71","0.300365173319386","0.240466482575438","0.360263864063334"
"1","2001","Not Working","no migration background","3765","0.528134136734598","0.516230362806935","0.540037910662261"
"1","2001","Not Working","direct migration background","304","0.248811534010935","0.2238248352637","0.27379823275817"
"1","2001","Not Working","indirect migration background","85","0.452827601252523","0.388913208541722","0.516741993963324"
"2","2001","Full Time","no migration background","3479","0.491753736697412","0.480558937928692","0.502948535466132"
"2","2001","Full Time","direct migration background","755","0.683984055167197","0.656571820641235","0.711396289693159"
"2","2001","Full Time","indirect migration background","232","0.699746870891068","0.649446984621788","0.750046757160349"
"2","2001","Part Time","no migration background","1714","0.472427140317056","0.456806737321638","0.488047543312474"
"2","2001","Part Time","direct migration background","491","0.724336672261244","0.690995314649397","0.75767802987309"
"2","2001","Part Time","indirect migration background","147","0.661163564251705","0.599318315532661","0.723008812970749"
"2","2001","Not Working","no migration background","2892","0.451398833562596","0.439532628474087","0.463265038651104"
"2","2001","Not Working","direct migration background","820","0.715098049729949","0.689010716921192","0.741185382538707"
"2","2001","Not Working","indirect migration background","146","0.515842889294162","0.451674370881092","0.580011407707232"
"3","2001","Full Time","no migration background","121","0.0175372638981151","0.0145979611415248","0.0204765666547053"
"3","2001","Full Time","direct migration background","13","","",""
"3","2001","Full Time","indirect migration background","9","","",""
"3","2001","Part Time","no migration background","73","0.021694791112086","0.0171365372243307","0.0262530449998413"
"3","2001","Part Time","direct migration background","13","","",""
"3","2001","Part Time","indirect migration background","7","","",""
"3","2001","Not Working","no migration background","70","0.0127555993366144","0.0100797229641892","0.0154314757090397"
"3","2001","Not Working","direct migration background","22","","",""
"3","2001","Not Working","indirect migration background","1","","",""
"4","2001","Full Time","no migration background","","","",""
"4","2001","Full Time","direct migration background","","","",""
"4","2001","Full Time","indirect migration background","","","",""
"4","2001","Part Time","no migration background","","","",""
"4","2001","Part Time","direct migration background","","","",""
"4","2001","Part Time","indirect migration background","","","",""
"4","2001","Not Working","no migration background","1","","",""
"4","2001","Not Working","direct migration background","","","",""
"4","2001","Not Working","indirect migration background","","","",""
"5","2001","Full Time","no migration background","2","","",""
"5","2001","Full Time","direct migration background","","","",""
"5","2001","Full Time","indirect migration background","","","",""
"5","2001","Part Time","no migration background","2","","",""
"5","2001","Part Time","direct migration background","","","",""
"5","2001","Part Time","indirect migration background","","","",""
"5","2001","Not Working","no migration background","28","","",""
"5","2001","Not Working","direct migration background","4","","",""
"5","2001","Not Working","indirect migration background","1","","",""
"1","2002","Full Time","no migration background","4647","0.497641848363796","0.486823835117917","0.508459861609676"
"1","2002","Full Time","direct migration background","354","0.284778770584654","0.25757152347025","0.311986017699058"
"1","2002","Full Time","indirect migration background","104","0.303200858168234","0.253758626432117","0.352643089904352"
"1","2002","Part Time","no migration background","2512","0.500191177675913","0.485397206978358","0.514985148373467"
"1","2002","Part Time","direct migration background","190","0.25329146629857","0.21990963718872","0.286673295408421"
"1","2002","Part Time","indirect migration background","76","0.354894976843269","0.290637535671737","0.419152418014802"
"1","2002","Not Working","no migration background","3991","0.531884561236751","0.520160992142692","0.54360813033081"
"1","2002","Not Working","direct migration background","324","0.272716255114133","0.246528485332242","0.298904024896025"
"1","2002","Not Working","indirect migration background","90","0.405423959569298","0.343178518565382","0.467669400573215"
"2","2002","Full Time","no migration background","3441","0.485172935853923","0.474359559893444","0.495986311814403"
"2","2002","Full Time","direct migration background","689","0.694474977481697","0.666705846374752","0.722244108588642"
"2","2002","Full Time","indirect migration background","218","0.66918751743681","0.61857663506417","0.719798399809449"
"2","2002","Part Time","no migration background","1798","0.478294688355094","0.463514662637857","0.493074714072332"
"2","2002","Part Time","direct migration background","449","0.723162032820223","0.68881771239359","0.757506353246856"
"2","2002","Part Time","indirect migration background","130","0.593681135612207","0.527722994579605","0.659639276644809"
"2","2002","Not Working","no migration background","2851","0.447191919172076","0.435510144154794","0.458873694189358"
"2","2002","Not Working","direct migration background","764","0.700252634573927","0.673312725561309","0.727192543586546"
"2","2002","Not Working","indirect migration background","145","0.543207707893342","0.480055071432735","0.60636034435395"
"3","2002","Full Time","no migration background","115","0.0168569868754951","0.0140716312165108","0.0196423425344795"
"3","2002","Full Time","direct migration background","14","","",""
"3","2002","Full Time","indirect migration background","10","","",""
"3","2002","Part Time","no migration background","77","0.0208809816224994","0.0166503230254494","0.0251116402195493"
"3","2002","Part Time","direct migration background","13","","",""
"3","2002","Part Time","indirect migration background","7","","",""
"3","2002","Not Working","no migration background","90","0.0141659030597975","0.0113893963776614","0.0169424097419337"
"3","2002","Not Working","direct migration background","21","","",""
"3","2002","Not Working","indirect migration background","3","","",""
"4","2002","Full Time","no migration background","","","",""
"4","2002","Full Time","direct migration background","","","",""
"4","2002","Full Time","indirect migration background","","","",""
"4","2002","Part Time","no migration background","","","",""
"4","2002","Part Time","direct migration background","","","",""
"4","2002","Part Time","indirect migration background","","","",""
"4","2002","Not Working","no migration background","1","","",""
"4","2002","Not Working","direct migration background","","","",""
"4","2002","Not Working","indirect migration background","","","",""
"5","2002","Full Time","no migration background","3","","",""
"5","2002","Full Time","direct migration background","","","",""
"5","2002","Full Time","indirect migration background","","","",""
"5","2002","Part Time","no migration background","1","","",""
"5","2002","Part Time","direct migration background","","","",""
"5","2002","Part Time","indirect migration background","","","",""
"5","2002","Not Working","no migration background","26","","",""
"5","2002","Not Working","direct migration background","2","","",""
"5","2002","Not Working","indirect migration background","1","","",""
"1","2003","Full Time","no migration background","4352","0.484886128523143","0.473716044916927","0.496056212129358"
"1","2003","Full Time","direct migration background","317","0.298766932584923","0.269349546888994","0.328184318280853"
"1","2003","Full Time","indirect migration background","102","0.289031423952852","0.238811776865929","0.339251071039776"
"1","2003","Part Time","no migration background","2445","0.511455813097668","0.496464513280855","0.526447112914482"
"1","2003","Part Time","direct migration background","216","0.305747880377109","0.270247231972287","0.341248528781931"
"1","2003","Part Time","indirect migration background","92","0.431559032257346","0.36712757517824","0.495990489336452"
"1","2003","Not Working","no migration background","3972","0.529803279675897","0.518027512883591","0.541579046468202"
"1","2003","Not Working","direct migration background","321","0.265749465010637","0.239257095740041","0.292241834281234"
