"hgowner","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Owner","1991","Full Time","Urban Area","1208","0.396547116809867","0.380439488614067","0.412654745005667","1"
"Owner","1991","Full Time","Rural Area","479","0.593259317285944","0.561004816136307","0.625513818435582","1"
"Owner","1991","Part Time","Urban Area","536","0.445738822958639","0.419438050974914","0.472039594942364","1"
"Owner","1991","Part Time","Rural Area","223","0.604361356490304","0.555768661495894","0.652954051484714","1"
"Owner","1991","Not Working","Urban Area","1075","0.443722926882225","0.424614997341748","0.462830856422703","1"
"Owner","1991","Not Working","Rural Area","415","0.597044821502961","0.559960076843479","0.634129566162442","1"
"Resident or shared accommodation","1991","Full Time","Urban Area","","","","","5"
"Resident or shared accommodation","1991","Full Time","Rural Area","","","","","5"
"Resident or shared accommodation","1991","Part Time","Urban Area","","","","","5"
"Resident or shared accommodation","1991","Part Time","Rural Area","","","","","5"
"Resident or shared accommodation","1991","Not Working","Urban Area","","","","","5"
"Resident or shared accommodation","1991","Not Working","Rural Area","","","","","5"
"Subtenant","1991","Full Time","Urban Area","66","0.0240835450470398","0.0190354323420723","0.0291316577520073","3"
"Subtenant","1991","Full Time","Rural Area","33","0.043148179127929","0.0298064284878847","0.0564899297679734","3"
"Subtenant","1991","Part Time","Urban Area","27","","","","3"
"Subtenant","1991","Part Time","Rural Area","13","","","","3"
"Subtenant","1991","Not Working","Urban Area","47","0.0217050422626252","0.0161006652680347","0.0273094192572158","3"
"Subtenant","1991","Not Working","Rural Area","15","","","","3"
"Tenant","1991","Full Time","Urban Area","5","","","","4"
"Tenant","1991","Full Time","Rural Area","3","","","","4"
"Tenant","1991","Part Time","Urban Area","3","","","","4"
"Tenant","1991","Not Working","Urban Area","6","","","","4"
"Tenant","1991","Part Time","Rural Area","","","","","4"
"Tenant","1991","Not Working","Rural Area","","","","","4"
"Main tenant","1992","Full Time","Urban Area","2880","0.594799195246805","0.580201861543002","0.609396528950608","2"
"Main tenant","1992","Full Time","Rural Area","1115","0.468808596460483","0.447922750166934","0.489694442754032","2"
"Main tenant","1992","Part Time","Urban Area","985","0.552475449171719","0.527972984260005","0.576977914083433","2"
"Main tenant","1992","Part Time","Rural Area","430","0.435544984793788","0.403205329046419","0.467884640541157","2"
"Main tenant","1992","Not Working","Rural Area","606","0.444125923232621","0.417572029000088","0.470679817465154","2"
"Main tenant","1992","Not Working","Urban Area","1730","0.561870026828658","0.543824515187371","0.579915538469946","2"
"Owner","1992","Full Time","Urban Area","1354","0.373955604207152","0.359568751750181","0.388342456664122","1"
"Owner","1992","Full Time","Rural Area","1009","0.502135440054398","0.481209025782426","0.523061854326371","1"
"Owner","1992","Part Time","Urban Area","555","0.416907794164588","0.39261186701035","0.441203721318825","1"
"Owner","1992","Part Time","Rural Area","439","0.513263650361223","0.480663368093474","0.545863932628973","1"
"Owner","1992","Not Working","Urban Area","1124","0.416356763659458","0.398427752994719","0.434285774324196","1"
"Owner","1992","Not Working","Rural Area","706","0.525885687846844","0.499200260787305","0.552571114906382","1"
"Resident or shared accommodation","1992","Full Time","Urban Area","","","","","5"
"Resident or shared accommodation","1992","Full Time","Rural Area","","","","","5"
"Resident or shared accommodation","1992","Part Time","Urban Area","","","","","5"
"Resident or shared accommodation","1992","Part Time","Rural Area","","","","","5"
"Resident or shared accommodation","1992","Not Working","Urban Area","","","","","5"
"Resident or shared accommodation","1992","Not Working","Rural Area","","","","","5"
