"hgowner","year","migback","n","percent","lower_confidence","upper_confidence"
"3","2014","indirect migration background","27","","",""
"4","2014","no migration background","3","","",""
"4","2014","direct migration background","","","",""
"4","2014","indirect migration background","","","",""
"5","2014","no migration background","38","0.00290635217398879","0.00217249855306455","0.00364020579491303"
"5","2014","direct migration background","3","","",""
"5","2014","indirect migration background","1","","",""
"1","2015","no migration background","10713","0.536695496343142","0.529733479507969","0.543657513178315"
"1","2015","direct migration background","1597","0.316077697293253","0.3043102739969","0.327845120589606"
"1","2015","indirect migration background","631","0.33433787226828","0.312592412748096","0.356083331788463"
"2","2015","no migration background","8698","0.443840607926524","0.436903938668931","0.450777277184117"
"2","2015","direct migration background","4283","0.659786450364109","0.647795363033731","0.671777537694486"
"2","2015","indirect migration background","1149","0.641221892177211","0.619113049152341","0.663330735202081"
"3","2015","no migration background","253","0.0161267613957216","0.0143681050361303","0.0178854177553129"
"3","2015","direct migration background","113","0.0233718217358317","0.0195480498608623","0.0271955936108011"
"3","2015","indirect migration background","27","","",""
"4","2015","no migration background","","","",""
"4","2015","direct migration background","","","",""
"4","2015","indirect migration background","","","",""
"5","2015","no migration background","43","0.00333713433461197","0.00253194351238755","0.00414232515683638"
"5","2015","direct migration background","4","","",""
"5","2015","indirect migration background","1","","",""
"1","2016","no migration background","10057","0.537973072424187","0.530758033816836","0.545188111031538"
"1","2016","direct migration background","1412","0.316931047475818","0.303937864536865","0.32992423041477"
"1","2016","indirect migration background","602","0.34113905725809","0.318522605316363","0.363755509199816"
"2","2016","no migration background","7995","0.438073872807088","0.430893648109247","0.445254097504929"
"2","2016","direct migration background","3433","0.663708783895936","0.650515666351222","0.67690190144065"
"2","2016","indirect migration background","1054","0.624878579225637","0.601782108573805","0.647975049877468"
"3","2016","no migration background","248","0.0201215237579747","0.0180894414794819","0.0221536060364674"
"3","2016","direct migration background","77","0.0174903238606598","0.0138295893711564","0.0211510583501632"
"3","2016","indirect migration background","32","0.0339823635162737","0.025339031652492","0.0426256953800554"
"4","2016","no migration background","","","",""
"4","2016","direct migration background","","","",""
"4","2016","indirect migration background","","","",""
"5","2016","no migration background","42","0.00383153101075047","0.00293744908706991","0.00472561293443103"
"5","2016","direct migration background","4","","",""
"5","2016","indirect migration background","","","",""
"1","2017","no migration background","11335","0.537570559647703","0.53077814209499","0.544362977200416"
"1","2017","direct migration background","1409","0.309617051062426","0.299559140225175","0.319674961899678"
"1","2017","indirect migration background","663","0.346474544622864","0.324726303122745","0.368222786122983"
"2","2017","no migration background","8973","0.436078094301951","0.429322313999863","0.442833874604039"
"2","2017","direct migration background","5869","0.649386918441324","0.639006469327687","0.65976736755496"
"2","2017","indirect migration background","1142","0.625934092411924","0.603818651924397","0.648049532899452"
"3","2017","no migration background","339","0.0222113964373057","0.0202037172490375","0.024219075625574"
"3","2017","direct migration background","220","0.0228951625059618","0.0196413481949018","0.0261489768170218"
"3","2017","indirect migration background","34","0.0275913629652117","0.020105046059655","0.0350776798707685"
"4","2017","no migration background","","","",""
"4","2017","direct migration background","","","",""
"4","2017","indirect migration background","","","",""
"5","2017","no migration background","51","0.00413994961304005","0.00326520639758762","0.00501469282849248"
"5","2017","direct migration background","619","0.018100867990288","0.0152006312050429","0.0210011047755331"
"5","2017","indirect migration background","","","",""
"1","2018","no migration background","10717","0.540696911201299","0.533783986681581","0.547609835721018"
"1","2018","direct migration background","1313","0.311146672210444","0.301527275162571","0.320766069258318"
"1","2018","indirect migration background","646","0.374639423117664","0.352395892128081","0.396882954107247"
"2","2018","no migration background","8902","0.436932169577587","0.430051629068678","0.443812710086497"
"2","2018","direct migration background","6648","0.648336003686867","0.638414764642749","0.658257242730986"
"2","2018","indirect migration background","1150","0.604336923550647","0.581865319813099","0.626808527288195"
"3","2018","no migration background","291","0.0180553277975775","0.0162082661723627","0.0199023894227922"
"3","2018","direct migration background","183","0.0177468246675517","0.0150035206447047","0.0204901286903987"
"3","2018","indirect migration background","23","","",""
"4","2018","no migration background","1","","",""
"4","2018","direct migration background","","","",""
"4","2018","indirect migration background","","","",""
"5","2018","no migration background","52","0.00416952538102384","0.00327566187865971","0.00506338888338797"
"5","2018","direct migration background","754","0.0227704994351365","0.019671036459161","0.0258699624111119"
"5","2018","indirect migration background","","","",""
"1","2019","no migration background","11636","0.541040474219226","0.534239286352538","0.547841662085914"
"1","2019","direct migration background","1323","0.330233007243977","0.31980409329771","0.340661921190244"
"1","2019","indirect migration background","707","0.391328940565121","0.368669115584987","0.413988765545256"
"2","2019","no migration background","8612","0.434479603621866","0.427714233936488","0.441244973307244"
"2","2019","direct migration background","5781","0.635776032039309","0.625105076505989","0.64644698757263"
"2","2019","indirect migration background","1033","0.582389477701117","0.559492048889687","0.605286906512547"
"3","2019","no migration background","317","0.019713657878847","0.0178163282736039","0.0216109874840902"
"3","2019","direct migration background","230","0.0171044311556722","0.0142291853407877","0.0199796769705566"
"3","2019","indirect migration background","42","0.0262815817337619","0.0188541839576012","0.0337089795099225"
"4","2019","no migration background","","","",""
"4","2019","direct migration background","","","",""
"4","2019","indirect migration background","","","",""
"5","2019","no migration background","57","0.00476626428006063","0.00382625031853978","0.00570627824158147"
"5","2019","direct migration background","478","0.0168865295610414","0.0140293403639889","0.0197437187580939"
"5","2019","indirect migration background","","","",""
