"hgowner","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence"
"3","2002","(Married) couple without C. ","East Germany","39","0.017523612652271","0.0114921306714111","0.0235550946331309"
"3","2002","Single parent ","West Germany","12","","",""
"3","2002","Single parent ","East Germany","2","","",""
"3","2002","Couple + C. LE 16 ","West Germany","26","","",""
"3","2002","Couple + C. LE 16 ","East Germany","23","","",""
"3","2002","Couple + C. GT 16 ","West Germany","21","","",""
"3","2002","Couple + C. GT 16 ","East Germany","9","","",""
"3","2002","Couple + C. LE and GT 16","West Germany","11","","",""
"3","2002","Couple + C. LE and GT 16","East Germany","3","","",""
"4","2002","1-pers.-HH","West Germany","1","","",""
"4","2002","1-pers.-HH","East Germany","","","",""
"4","2002","(Married) couple without C. ","West Germany","","","",""
"4","2002","(Married) couple without C. ","East Germany","","","",""
"4","2002","Single parent ","West Germany","","","",""
"4","2002","Single parent ","East Germany","","","",""
"4","2002","Couple + C. LE 16 ","West Germany","","","",""
"4","2002","Couple + C. LE 16 ","East Germany","","","",""
"4","2002","Couple + C. GT 16 ","West Germany","","","",""
"4","2002","Couple + C. GT 16 ","East Germany","","","",""
"4","2002","Couple + C. LE and GT 16","West Germany","","","",""
"4","2002","Couple + C. LE and GT 16","East Germany","","","",""
"5","2002","1-pers.-HH","West Germany","26","","",""
"5","2002","1-pers.-HH","East Germany","7","","",""
"5","2002","(Married) couple without C. ","West Germany","","","",""
"5","2002","(Married) couple without C. ","East Germany","","","",""
"5","2002","Single parent ","West Germany","","","",""
"5","2002","Single parent ","East Germany","","","",""
"5","2002","Couple + C. LE 16 ","West Germany","","","",""
"5","2002","Couple + C. LE 16 ","East Germany","","","",""
"5","2002","Couple + C. GT 16 ","West Germany","","","",""
"5","2002","Couple + C. GT 16 ","East Germany","","","",""
"5","2002","Couple + C. LE and GT 16","West Germany","","","",""
"5","2002","Couple + C. LE and GT 16","East Germany","","","",""
"1","2003","1-pers.-HH","West Germany","663","0.277209659536421","0.258811973188777","0.295607345884065"
"1","2003","1-pers.-HH","East Germany","124","0.161813916161198","0.134950722090985","0.188677110231411"
"1","2003","(Married) couple without C. ","West Germany","3158","0.563498825571958","0.5503582538026","0.576639397341316"
"1","2003","(Married) couple without C. ","East Germany","749","0.386663894672818","0.364538502335736","0.4087892870099"
"1","2003","Single parent ","West Germany","269","0.300904805555478","0.269814307984899","0.331995303126057"
"1","2003","Single parent ","East Germany","86","0.246425124343812","0.196482567577442","0.296367681110182"
"1","2003","Couple + C. LE 16 ","West Germany","2013","0.515787248938499","0.499412247962462","0.532162249914536"
"1","2003","Couple + C. LE 16 ","East Germany","397","0.490060372821276","0.455739884320957","0.524380861321596"
"1","2003","Couple + C. GT 16 ","West Germany","2007","0.660549137890518","0.643115453034225","0.677982822746812"
"1","2003","Couple + C. GT 16 ","East Germany","773","0.597252085046748","0.568592670298942","0.625911499794554"
"1","2003","Couple + C. LE and GT 16","West Germany","958","0.623368860201253","0.598246372588285","0.648491347814222"
"1","2003","Couple + C. LE and GT 16","East Germany","276","0.621688254447413","0.575197007577873","0.668179501316953"
"2","2003","1-pers.-HH","West Germany","1497","0.666016035532785","0.646631383412916","0.685400687652654"
"2","2003","1-pers.-HH","East Germany","553","0.772209084928899","0.741616572495489","0.802801597362309"
"2","2003","(Married) couple without C. ","West Germany","2231","0.419274326679084","0.406200290126203","0.432348363231965"
"2","2003","(Married) couple without C. ","East Germany","1059","0.589963977314484","0.567618035788645","0.612309918840323"
"2","2003","Single parent ","West Germany","558","0.690080948230813","0.658732279080954","0.721429617380671"
"2","2003","Single parent ","East Germany","194","0.740007067215532","0.689171955813163","0.790842178617902"
"2","2003","Couple + C. LE 16 ","West Germany","1530","0.470246934086181","0.453892796441006","0.486601071731356"
"2","2003","Couple + C. LE 16 ","East Germany","400","0.495299879977924","0.460974124689934","0.529625635265915"
"2","2003","Couple + C. GT 16 ","West Germany","796","0.32783134401254","0.310548606514662","0.345114081510418"
"2","2003","Couple + C. GT 16 ","East Germany","347","0.386435493219169","0.357981681825753","0.414889304612584"
"2","2003","Couple + C. LE and GT 16","West Germany","454","0.35749253681522","0.332643786352495","0.382341287277945"
"2","2003","Couple + C. LE and GT 16","East Germany","139","0.374100514972259","0.327712434673635","0.420488595270883"
"3","2003","1-pers.-HH","West Germany","88","0.0432440750860004","0.0348838735408012","0.0516042766311997"
"3","2003","1-pers.-HH","East Germany","40","0.0566514833735312","0.0397890121836504","0.073513954563412"
"3","2003","(Married) couple without C. ","West Germany","80","0.0169113412384818","0.0134950065075688","0.0203276759693949"
"3","2003","(Married) couple without C. ","East Germany","53","0.0233721280126981","0.0165079491772127","0.0302363068481836"
"3","2003","Single parent ","West Germany","9","","",""
"3","2003","Single parent ","East Germany","6","","",""
"3","2003","Couple + C. LE 16 ","West Germany","35","0.0139658169753202","0.0101207219115228","0.0178109120391176"
"3","2003","Couple + C. LE 16 ","East Germany","18","","",""
"3","2003","Couple + C. GT 16 ","West Germany","31","0.0116195180969423","0.00767399757451922","0.0155650386193655"
"3","2003","Couple + C. GT 16 ","East Germany","5","","",""
"3","2003","Couple + C. LE and GT 16","West Germany","17","","",""
"3","2003","Couple + C. LE and GT 16","East Germany","3","","",""
"4","2003","1-pers.-HH","West Germany","1","","",""
"4","2003","1-pers.-HH","East Germany","","","",""
"4","2003","(Married) couple without C. ","West Germany","","","",""
"4","2003","(Married) couple without C. ","East Germany","","","",""
"4","2003","Single parent ","West Germany","","","",""
"4","2003","Single parent ","East Germany","","","",""
"4","2003","Couple + C. LE 16 ","West Germany","","","",""
"4","2003","Couple + C. LE 16 ","East Germany","","","",""
"4","2003","Couple + C. GT 16 ","West Germany","","","",""
"4","2003","Couple + C. GT 16 ","East Germany","","","",""
"4","2003","Couple + C. LE and GT 16","West Germany","","","",""
"4","2003","Couple + C. LE and GT 16","East Germany","","","",""
"5","2003","1-pers.-HH","West Germany","25","","",""
"5","2003","1-pers.-HH","East Germany","5","","",""
"5","2003","(Married) couple without C. ","West Germany","3","","",""
"5","2003","(Married) couple without C. ","East Germany","","","",""
"5","2003","Single parent ","West Germany","","","",""
"5","2003","Single parent ","East Germany","","","",""
"5","2003","Couple + C. LE 16 ","West Germany","","","",""
"5","2003","Couple + C. LE 16 ","East Germany","","","",""
"5","2003","Couple + C. GT 16 ","West Germany","","","",""
"5","2003","Couple + C. GT 16 ","East Germany","","","",""
"5","2003","Couple + C. LE and GT 16","West Germany","","","",""
"5","2003","Couple + C. LE and GT 16","East Germany","","","",""
"1","2004","1-pers.-HH","West Germany","687","0.291475608655653","0.272563244051418","0.310387973259888"
"1","2004","1-pers.-HH","East Germany","116","0.148669652451632","0.122701522293385","0.17463778260988"
"1","2004","(Married) couple without C. ","West Germany","3096","0.545636734082944","0.532442987435475","0.558830480730413"
"1","2004","(Married) couple without C. ","East Germany","754","0.384931591489319","0.362595445223027","0.407267737755611"
"1","2004","Single parent ","West Germany","256","0.272939702066732","0.242223962102463","0.303655442031002"
"1","2004","Single parent ","East Germany","81","0.211709143984807","0.164691361273927","0.258726926695687"
"1","2004","Couple + C. LE 16 ","West Germany","1884","0.515266310664569","0.498258718557406","0.532273902771732"
"1","2004","Couple + C. LE 16 ","East Germany","372","0.46446426206442","0.428818364787441","0.500110159341399"
"1","2004","Couple + C. GT 16 ","West Germany","2023","0.666892034437393","0.649424881134732","0.684359187740054"
"1","2004","Couple + C. GT 16 ","East Germany","776","0.622921228462832","0.594650712975349","0.651191743950316"
"1","2004","Couple + C. LE and GT 16","West Germany","915","0.595291363999006","0.569635215674482","0.620947512323531"
"1","2004","Couple + C. LE and GT 16","East Germany","268","0.600267290653709","0.551651990611164","0.648882590696254"
"2","2004","1-pers.-HH","West Germany","1426","0.656012077232566","0.636242615946699","0.675781538518432"
"2","2004","1-pers.-HH","East Germany","554","0.781109319170762","0.750927180902683","0.81129145743884"
"2","2004","(Married) couple without C. ","West Germany","2297","0.434723532091739","0.421587876237177","0.447859187946302"
"2","2004","(Married) couple without C. ","East Germany","1017","0.586401239578298","0.56379429806339","0.609008181093205"
"2","2004","Single parent ","West Germany","536","0.708439710669053","0.677102665369137","0.739776755968969"
"2","2004","Single parent ","East Germany","208","0.787607591119483","0.740534411530612","0.834680770708354"
"2","2004","Couple + C. LE 16 ","West Germany","1394","0.473678347320363","0.45668641614932","0.490670278491406"
"2","2004","Couple + C. LE 16 ","East Germany","368","0.523846814441145","0.488151215663063","0.559542413219228"
"2","2004","Couple + C. GT 16 ","West Germany","754","0.320220706035856","0.302930087515761","0.337511324555952"
"2","2004","Couple + C. GT 16 ","East Germany","345","0.372419984930765","0.344219786659225","0.400620183202306"
"2","2004","Couple + C. LE and GT 16","West Germany","480","0.396986814307661","0.371412330537092","0.42256129807823"
"2","2004","Couple + C. LE and GT 16","East Germany","122","0.399732709346291","0.351117409303746","0.448348009388836"
"3","2004","1-pers.-HH","West Germany","78","0.037183164425768","0.0293088576323146","0.0450574712192215"
"3","2004","1-pers.-HH","East Germany","43","0.0554818477487337","0.0387724394518969","0.0721912560455706"
"3","2004","(Married) couple without C. ","West Germany","75","0.0191253456372534","0.0154960183314965","0.0227546729430103"
"3","2004","(Married) couple without C. ","East Germany","52","0.0286671689323835","0.0210071261786591","0.036327211686108"
"3","2004","Single parent ","West Germany","16","","",""
"3","2004","Single parent ","East Germany","1","","",""
"3","2004","Couple + C. LE 16 ","West Germany","37","0.0109101760601454","0.00737501584016613","0.0144453362801246"
"3","2004","Couple + C. LE 16 ","East Germany","12","","",""
"3","2004","Couple + C. GT 16 ","West Germany","20","","",""
"3","2004","Couple + C. GT 16 ","East Germany","8","","",""
"3","2004","Couple + C. LE and GT 16","West Germany","11","","",""
"3","2004","Couple + C. LE and GT 16","East Germany","","","",""
"4","2004","1-pers.-HH","West Germany","2","","",""
"4","2004","1-pers.-HH","East Germany","","","",""
"4","2004","(Married) couple without C. ","West Germany","1","","",""
"4","2004","(Married) couple without C. ","East Germany","","","",""
"4","2004","Single parent ","West Germany","","","",""
"4","2004","Single parent ","East Germany","","","",""
"4","2004","Couple + C. LE 16 ","West Germany","","","",""
"4","2004","Couple + C. LE 16 ","East Germany","","","",""
"4","2004","Couple + C. GT 16 ","West Germany","","","",""
"4","2004","Couple + C. GT 16 ","East Germany","","","",""
"4","2004","Couple + C. LE and GT 16","West Germany","","","",""
"4","2004","Couple + C. LE and GT 16","East Germany","","","",""
"5","2004","1-pers.-HH","West Germany","25","","",""
"5","2004","1-pers.-HH","East Germany","8","","",""
"5","2004","(Married) couple without C. ","West Germany","2","","",""
"5","2004","(Married) couple without C. ","East Germany","","","",""
"5","2004","Single parent ","West Germany","","","",""
"5","2004","Single parent ","East Germany","","","",""
"5","2004","Couple + C. LE 16 ","West Germany","2","","",""
"5","2004","Couple + C. LE 16 ","East Germany","","","",""
"5","2004","Couple + C. GT 16 ","West Germany","","","",""
"5","2004","Couple + C. GT 16 ","East Germany","","","",""
"5","2004","Couple + C. LE and GT 16","West Germany","","","",""
"5","2004","Couple + C. LE and GT 16","East Germany","","","",""
"1","2005","1-pers.-HH","West Germany","683","0.278319864212073","0.259785073233452","0.296854655190694"
"1","2005","1-pers.-HH","East Germany","124","0.148010666178516","0.122250405914052","0.17377092644298"
"1","2005","(Married) couple without C. ","West Germany","3015","0.535397166139997","0.521962246167095","0.548832086112899"
"1","2005","(Married) couple without C. ","East Germany","764","0.382902737441277","0.360257206714105","0.40554826816845"
"1","2005","Single parent ","West Germany","266","0.258672048820151","0.228421720689429","0.288922376950873"
"1","2005","Single parent ","East Germany","93","0.219814044293072","0.173414452449007","0.266213636137138"
"1","2005","Couple + C. LE 16 ","West Germany","1734","0.509541037893676","0.491738194339314","0.527343881448039"
"1","2005","Couple + C. LE 16 ","East Germany","359","0.455993417360765","0.419044497778721","0.49294233694281"
"1","2005","Couple + C. GT 16 ","West Germany","1852","0.638198807874302","0.619767436654804","0.6566301790938"
"1","2005","Couple + C. GT 16 ","East Germany","742","0.644779223220384","0.615845692705448","0.67371275373532"
"1","2005","Couple + C. LE and GT 16","West Germany","863","0.583303804025699","0.556847611126408","0.60975999692499"
"1","2005","Couple + C. LE and GT 16","East Germany","257","0.564281999012584","0.514028866416853","0.614535131608315"
"2","2005","1-pers.-HH","West Germany","1425","0.658317180475042","0.638702900019676","0.677931460930409"
"2","2005","1-pers.-HH","East Germany","551","0.769437223017031","0.738883238496189","0.799991207537873"
"2","2005","(Married) couple without C. ","West Germany","2191","0.441263759695519","0.427888301337749","0.454639218053289"
"2","2005","(Married) couple without C. ","East Germany","969","0.594637338920522","0.571765061124165","0.617509616716878"
"2","2005","Single parent ","West Germany","525","0.721522714805754","0.690557789048132","0.752487640563376"
"2","2005","Single parent ","East Germany","204","0.771843356386101","0.724824883167672","0.81886182960453"
"2","2005","Couple + C. LE 16 ","West Germany","1268","0.479313472024004","0.461522632478996","0.497104311569011"
"2","2005","Couple + C. LE 16 ","East Germany","333","0.538618668736818","0.501636609517976","0.575600727955661"
"2","2005","Couple + C. GT 16 ","West Germany","726","0.348089218366592","0.329817305193631","0.366361131539554"
"2","2005","Couple + C. GT 16 ","East Germany","304","0.352432618821875","0.323550618809611","0.381314618834138"
"2","2005","Couple + C. LE and GT 16","West Germany","465","0.408435670006398","0.382058208525974","0.434813131486822"
"2","2005","Couple + C. LE and GT 16","East Germany","117","0.435718000987416","0.385464868391685","0.485971133583147"
"3","2005","1-pers.-HH","West Germany","115","0.0499766562410986","0.0409652213066941","0.0589880911755031"
"3","2005","1-pers.-HH","East Germany","45","0.0645020883799753","0.0466826111036918","0.0823215656562588"
"3","2005","(Married) couple without C. ","West Germany","84","0.0223432050304361","0.0183619310142257","0.0263244790466464"
"3","2005","(Married) couple without C. ","East Germany","35","0.0220980590901095","0.0152497054735061","0.0289464127067128"
"3","2005","Single parent ","West Germany","14","","",""
"3","2005","Single parent ","East Germany","9","","",""
"3","2005","Couple + C. LE 16 ","West Germany","27","","",""
"3","2005","Couple + C. LE 16 ","East Germany","6","","",""
"3","2005","Couple + C. GT 16 ","West Germany","33","0.0137119737591057","0.00925134045913161","0.0181726070590799"
"3","2005","Couple + C. GT 16 ","East Germany","5","","",""
"3","2005","Couple + C. LE and GT 16","West Germany","6","","",""
"3","2005","Couple + C. LE and GT 16","East Germany","","","",""
"4","2005","1-pers.-HH","West Germany","","","",""
"4","2005","1-pers.-HH","East Germany","","","",""
"4","2005","(Married) couple without C. ","West Germany","","","",""
"4","2005","(Married) couple without C. ","East Germany","2","","",""
"4","2005","Single parent ","West Germany","","","",""
"4","2005","Single parent ","East Germany","","","",""
"4","2005","Couple + C. LE 16 ","West Germany","","","",""
"4","2005","Couple + C. LE 16 ","East Germany","","","",""
"4","2005","Couple + C. GT 16 ","West Germany","","","",""
"4","2005","Couple + C. GT 16 ","East Germany","","","",""
"4","2005","Couple + C. LE and GT 16","West Germany","","","",""
"4","2005","Couple + C. LE and GT 16","East Germany","","","",""
"5","2005","1-pers.-HH","West Germany","23","","",""
"5","2005","1-pers.-HH","East Germany","10","","",""
"5","2005","(Married) couple without C. ","West Germany","4","","",""
"5","2005","(Married) couple without C. ","East Germany","","","",""
"5","2005","Single parent ","West Germany","","","",""
"5","2005","Single parent ","East Germany","","","",""
"5","2005","Couple + C. LE 16 ","West Germany","","","",""
"5","2005","Couple + C. LE 16 ","East Germany","","","",""
"5","2005","Couple + C. GT 16 ","West Germany","","","",""
"5","2005","Couple + C. GT 16 ","East Germany","","","",""
"5","2005","Couple + C. LE and GT 16","West Germany","","","",""
"5","2005","Couple + C. LE and GT 16","East Germany","","","",""
"1","2006","1-pers.-HH","West Germany","795","0.282587846715267","0.265025663456102","0.300150029974432"
"1","2006","1-pers.-HH","East Germany","157","0.165275096081918","0.140021514896623","0.190528677267212"
"1","2006","(Married) couple without C. ","West Germany","3497","0.539183935348572","0.52649068506275","0.551877185634395"
"1","2006","(Married) couple without C. ","East Germany","916","0.40198455197352","0.380322657926112","0.423646446020928"
"1","2006","Single parent ","West Germany","313","0.285036308395737","0.255624895544933","0.314447721246541"
"1","2006","Single parent ","East Germany","101","0.24302499052039","0.195279376529808","0.290770604510972"
"1","2006","Couple + C. LE 16 ","West Germany","1848","0.500416265367867","0.483122172289159","0.517710358446575"
"1","2006","Couple + C. LE 16 ","East Germany","342","0.399693363250987","0.363914059618231","0.435472666883743"
"1","2006","Couple + C. GT 16 ","West Germany","1955","0.646979362870295","0.628926095072824","0.665032630667767"
"1","2006","Couple + C. GT 16 ","East Germany","756","0.63020187972301","0.601751194918004","0.658652564528016"
"1","2006","Couple + C. LE and GT 16","West Germany","870","0.594596305484336","0.567835216454343","0.621357394514329"
"1","2006","Couple + C. LE and GT 16","East Germany","224","0.568992721167788","0.515723701198199","0.622261741137378"
"2","2006","1-pers.-HH","West Germany","1601","0.664156492334419","0.645735157796489","0.682577826872349"
"2","2006","1-pers.-HH","East Germany","619","0.763237556848066","0.734335160532786","0.792139953163345"
"2","2006","(Married) couple without C. ","West Germany","2360","0.445089586720755","0.432434191271919","0.457744982169591"
"2","2006","(Married) couple without C. ","East Germany","1010","0.577750124229428","0.555928336193594","0.599571912265262"
"2","2006","Single parent ","West Germany","580","0.697082176784727","0.667143803130519","0.727020550438934"
"2","2006","Single parent ","East Germany","207","0.753715693186174","0.705754564736438","0.801676821635909"
"2","2006","Couple + C. LE 16 ","West Germany","1337","0.489386963841859","0.472096761103577","0.50667716658014"
"2","2006","Couple + C. LE 16 ","East Germany","349","0.571259009556612","0.53511004370455","0.607407975408675"
"2","2006","Couple + C. GT 16 ","West Germany","713","0.337960517199225","0.320092124372065","0.355828910026384"
"2","2006","Couple + C. GT 16 ","East Germany","341","0.36418237956182","0.335823029607034","0.392541729516607"
"2","2006","Couple + C. LE and GT 16","West Germany","415","0.398252592011331","0.371569555637467","0.424935628385195"
"2","2006","Couple + C. LE and GT 16","East Germany","108","0.431007278832212","0.377738258862622","0.484276298801801"
"3","2006","1-pers.-HH","West Germany","98","0.0407076765574624","0.0329998658240157","0.0484154872909092"
"3","2006","1-pers.-HH","East Germany","43","0.0554037009007776","0.0398497728023915","0.0709576289991637"
"3","2006","(Married) couple without C. ","West Germany","65","0.0153353201490649","0.0122061356547366","0.0184645046433933"
"3","2006","(Married) couple without C. ","East Germany","39","0.019248631495103","0.0131782646878194","0.0253189983023866"
"3","2006","Single parent ","West Germany","12","","",""
"3","2006","Single parent ","East Germany","2","","",""
"3","2006","Couple + C. LE 16 ","West Germany","26","","",""
"3","2006","Couple + C. LE 16 ","East Germany","29","","",""
"3","2006","Couple + C. GT 16 ","West Germany","24","","",""
"3","2006","Couple + C. GT 16 ","East Germany","9","","",""
"3","2006","Couple + C. LE and GT 16","West Germany","8","","",""
"3","2006","Couple + C. LE and GT 16","East Germany","","","",""
"4","2006","1-pers.-HH","West Germany","","","",""
"4","2006","1-pers.-HH","East Germany","","","",""
"4","2006","(Married) couple without C. ","West Germany","","","",""
"4","2006","(Married) couple without C. ","East Germany","2","","",""
"4","2006","Single parent ","West Germany","","","",""
"4","2006","Single parent ","East Germany","","","",""
"4","2006","Couple + C. LE 16 ","West Germany","","","",""
"4","2006","Couple + C. LE 16 ","East Germany","","","",""
"4","2006","Couple + C. GT 16 ","West Germany","","","",""
"4","2006","Couple + C. GT 16 ","East Germany","","","",""
"4","2006","Couple + C. LE and GT 16","West Germany","","","",""
"4","2006","Couple + C. LE and GT 16","East Germany","","","",""
"5","2006","1-pers.-HH","West Germany","31","0.0125479843928517","0.00820625866530546","0.0168897101203979"
"5","2006","1-pers.-HH","East Germany","12","","",""
"5","2006","(Married) couple without C. ","West Germany","2","","",""
"5","2006","(Married) couple without C. ","East Germany","1","","",""
"5","2006","Single parent ","West Germany","","","",""
"5","2006","Single parent ","East Germany","","","",""
"5","2006","Couple + C. LE 16 ","West Germany","","","",""
"5","2006","Couple + C. LE 16 ","East Germany","","","",""
"5","2006","Couple + C. GT 16 ","West Germany","","","",""
"5","2006","Couple + C. GT 16 ","East Germany","","","",""
"5","2006","Couple + C. LE and GT 16","West Germany","","","",""
"5","2006","Couple + C. LE and GT 16","East Germany","","","",""
"1","2007","1-pers.-HH","West Germany","751","0.278032783912296","0.260108194644344","0.295957373180249"
"1","2007","1-pers.-HH","East Germany","141","0.169908763743484","0.143586967746346","0.196230559740621"
"1","2007","(Married) couple without C. ","West Germany","3258","0.553138343057325","0.53998115133787","0.56629553477678"
"1","2007","(Married) couple without C. ","East Germany","894","0.405184256577365","0.383127268647554","0.427241244507177"
"1","2007","Single parent ","West Germany","292","0.282375868366971","0.252024236680562","0.31272750005338"
"1","2007","Single parent ","East Germany","103","0.24400886243545","0.196351286744334","0.291666438126566"
"1","2007","Couple + C. LE 16 ","West Germany","1695","0.512258555046838","0.494208806332421","0.530308303761255"
"1","2007","Couple + C. LE 16 ","East Germany","306","0.424956096775861","0.386865437938929","0.463046755612792"
"1","2007","Couple + C. GT 16 ","West Germany","1873","0.628352732419061","0.609824004152404","0.646881460685718"
"1","2007","Couple + C. GT 16 ","East Germany","737","0.624220807987494","0.595201190270626","0.653240425704363"
"1","2007","Couple + C. LE and GT 16","West Germany","824","0.630090971119185","0.602661103952007","0.657520838286363"
"1","2007","Couple + C. LE and GT 16","East Germany","204","0.595641328528726","0.539157401359266","0.652125255698185"
"2","2007","1-pers.-HH","West Germany","1516","0.664499953860288","0.645609767613698","0.683390140106878"
"2","2007","1-pers.-HH","East Germany","588","0.744918324467004","0.714366392809457","0.77547025612455"
"2","2007","(Married) couple without C. ","West Germany","2139","0.421374191146524","0.408306687154447","0.4344416951386"
"2","2007","(Married) couple without C. ","East Germany","974","0.572255140582076","0.5500263442006","0.594483936963551"
"2","2007","Single parent ","West Germany","542","0.698868474544288","0.667937359681727","0.729799589406849"
"2","2007","Single parent ","East Germany","203","0.747858823768603","0.699674863470879","0.796042784066327"
"2","2007","Couple + C. LE 16 ","West Germany","1221","0.476103974127999","0.458069429739649","0.494138518516349"
"2","2007","Couple + C. LE 16 ","East Germany","326","0.551968831561377","0.513650433735089","0.590287229387665"
"2","2007","Couple + C. GT 16 ","West Germany","729","0.364853495706562","0.346395922565426","0.383311068847698"
"2","2007","Couple + C. GT 16 ","East Germany","326","0.369865329379606","0.340938908458645","0.398791750300567"
"2","2007","Couple + C. LE and GT 16","West Germany","364","0.369399692439847","0.341977639546715","0.396821745332979"
"2","2007","Couple + C. LE and GT 16","East Germany","86","0.404358671471274","0.347874744301814","0.460842598640734"
"3","2007","1-pers.-HH","West Germany","104","0.0437631546160374","0.0355788927435898","0.051947416488485"
"3","2007","1-pers.-HH","East Germany","41","0.0672137333112671","0.0496642313773931","0.0847632352451412"
"3","2007","(Married) couple without C. ","West Germany","80","0.0234430116096057","0.0194388161163053","0.0274472071029062"
"3","2007","(Married) couple without C. ","East Germany","32","0.0215030471042318","0.0149858862714013","0.0280202079370623"
"3","2007","Single parent ","West Germany","11","","",""
"3","2007","Single parent ","East Germany","6","","",""
"3","2007","Couple + C. LE 16 ","West Germany","30","0.0116374708251631","0.0077647235378555","0.0155102181124707"
"3","2007","Couple + C. LE 16 ","East Germany","15","","",""
"3","2007","Couple + C. GT 16 ","West Germany","11","","",""
"3","2007","Couple + C. GT 16 ","East Germany","7","","",""
"3","2007","Couple + C. LE and GT 16","West Germany","2","","",""
"3","2007","Couple + C. LE and GT 16","East Germany","","","",""
"4","2007","1-pers.-HH","West Germany","","","",""
"4","2007","1-pers.-HH","East Germany","","","",""
"4","2007","(Married) couple without C. ","West Germany","","","",""
"4","2007","(Married) couple without C. ","East Germany","2","","",""
"4","2007","Single parent ","West Germany","","","",""
"4","2007","Single parent ","East Germany","","","",""
"4","2007","Couple + C. LE 16 ","West Germany","","","",""
"4","2007","Couple + C. LE 16 ","East Germany","","","",""
"4","2007","Couple + C. GT 16 ","West Germany","","","",""
"4","2007","Couple + C. GT 16 ","East Germany","","","",""
"4","2007","Couple + C. LE and GT 16","West Germany","","","",""
"4","2007","Couple + C. LE and GT 16","East Germany","","","",""
"5","2007","1-pers.-HH","West Germany","29","","",""
"5","2007","1-pers.-HH","East Germany","12","","",""
"5","2007","(Married) couple without C. ","West Germany","8","","",""
"5","2007","(Married) couple without C. ","East Germany","1","","",""
"5","2007","Single parent ","West Germany","","","",""
"5","2007","Single parent ","East Germany","","","",""
"5","2007","Couple + C. LE 16 ","West Germany","","","",""
"5","2007","Couple + C. LE 16 ","East Germany","","","",""
"5","2007","Couple + C. GT 16 ","West Germany","","","",""
"5","2007","Couple + C. GT 16 ","East Germany","","","",""
"5","2007","Couple + C. LE and GT 16","West Germany","","","",""
"5","2007","Couple + C. LE and GT 16","East Germany","","","",""
"1","2008","1-pers.-HH","West Germany","739","0.287051670788864","0.268527251017554","0.305576090560173"
"1","2008","1-pers.-HH","East Germany","153","0.177071875295764","0.150056801699252","0.204086948892277"
"1","2008","(Married) couple without C. ","West Germany","3141","0.556187640655456","0.542707127741546","0.569668153569367"
"1","2008","(Married) couple without C. ","East Germany","897","0.419010084982427","0.396629446763991","0.441390723200864"
"1","2008","Single parent ","West Germany","293","0.292810576099968","0.262019251737368","0.323601900462569"
"1","2008","Single parent ","East Germany","96","0.220721442728814","0.173070639825279","0.268372245632349"
"1","2008","Couple + C. LE 16 ","West Germany","1508","0.514555601587882","0.495341023463969","0.533770179711795"
"1","2008","Couple + C. LE 16 ","East Germany","283","0.399605559845558","0.360925082325249","0.438286037365867"
"1","2008","Couple + C. GT 16 ","West Germany","1818","0.635402775005161","0.616606783490364","0.654198766519959"
"1","2008","Couple + C. GT 16 ","East Germany","651","0.690712688820401","0.661243922466188","0.720181455174614"
"1","2008","Couple + C. LE and GT 16","West Germany","807","0.70354243702579","0.676317827436618","0.730767046614961"
"1","2008","Couple + C. LE and GT 16","East Germany","185","0.646393460204767","0.587248212980002","0.705538707429532"
"2","2008","1-pers.-HH","West Germany","1429","0.65584404208547","0.636389837380159","0.67529824679078"
"2","2008","1-pers.-HH","East Germany","570","0.736016218888846","0.70482138165958","0.767211056118113"
"2","2008","(Married) couple without C. ","West Germany","1994","0.423783942335296","0.410376035598535","0.437191849072057"
"2","2008","(Married) couple without C. ","East Germany","922","0.543648526260573","0.521054960981822","0.566242091539323"
"2","2008","Single parent ","West Germany","539","0.701874648638328","0.670922105123926","0.73282719215273"
"2","2008","Single parent ","East Germany","193","0.775420908915116","0.727474618662929","0.823367199167302"
"2","2008","Couple + C. LE 16 ","West Germany","1066","0.473068839007626","0.453874018146492","0.49226365986876"
"2","2008","Couple + C. LE 16 ","East Germany","323","0.584890182850815","0.545978823486755","0.623801542214875"
"2","2008","Couple + C. GT 16 ","West Germany","692","0.355709739803441","0.337014860364548","0.374404619242335"
"2","2008","Couple + C. GT 16 ","East Germany","289","0.306126379719919","0.276741578788725","0.335511180651114"
"2","2008","Couple + C. LE and GT 16","West Germany","260","0.272581005356325","0.246036455973315","0.299125554739336"
"2","2008","Couple + C. LE and GT 16","East Germany","66","0.353606539795233","0.294461292570468","0.412751787019998"
"3","2008","1-pers.-HH","West Germany","95","0.0421760769912016","0.0339458563714265","0.0504062976109767"
"3","2008","1-pers.-HH","East Germany","34","0.0706121059294265","0.0524824944720226","0.0887417173868303"
"3","2008","(Married) couple without C. ","West Germany","75","0.0183598033834283","0.0147172474148297","0.0220023593520269"
"3","2008","(Married) couple without C. ","East Germany","45","0.0362945527958954","0.0278111748910214","0.0447779307007694"
"3","2008","Single parent ","West Germany","7","","",""
"3","2008","Single parent ","East Germany","2","","",""
"3","2008","Couple + C. LE 16 ","West Germany","25","","",""
"3","2008","Couple + C. LE 16 ","East Germany","10","","",""
"3","2008","Couple + C. GT 16 ","West Germany","9","","",""
"3","2008","Couple + C. GT 16 ","East Germany","5","","",""
