"hgowner","year","sampreg","sex","n","percent","lower_confidence","upper_confidence","value"
"Subtenant","2002","East Germany","Female","62","0.0232858089839777","0.0177127628380774","0.028858855129878","3"
"Subtenant","2002","East Germany","Male","50","0.0164481128671083","0.0116009018167753","0.0212953239174412","3"
"Subtenant","2002","West Germany","Female","131","0.0177046821459656","0.0150049338938876","0.0204044303980435","3"
"Subtenant","2002","West Germany","Male","107","0.0169669088637175","0.0142267064127113","0.0197071113147236","3"
"Tenant","2002","East Germany","Male","","","","","4"
"Tenant","2002","East Germany","Female","","","","","4"
"Tenant","2002","West Germany","Male","","","","","4"
"Tenant","2002","West Germany","Female","1","","","","4"
"Main tenant","2003","East Germany","Female","1452","0.589843824005595","0.571546755839101","0.608140892172088","2"
"Main tenant","2003","West Germany","Female","3824","0.48345977392711","0.4730129109145","0.493906636939719","2"
"Main tenant","2003","East Germany","Male","1285","0.569468258740729","0.550420973048228","0.588515544433229","2"
"Main tenant","2003","West Germany","Male","3394","0.47786315221381","0.467008566419351","0.48871773800827","2"
"Owner","2003","West Germany","Male","4609","0.499621417178824","0.488756180470528","0.51048665388712","1"
"Owner","2003","West Germany","Female","4798","0.489650241960696","0.479199897715118","0.500100586206274","1"
"Owner","2003","East Germany","Male","1251","0.407047132584818","0.388148595656729","0.425945669512907","1"
"Owner","2003","East Germany","Female","1250","0.375092889260319","0.357082814774941","0.393102963745697","1"
"Resident or shared accommodation","2003","West Germany","Female","24","","","","5"
"Resident or shared accommodation","2003","West Germany","Male","4","","","","5"
"Resident or shared accommodation","2003","East Germany","Male","","","","","5"
"Resident or shared accommodation","2003","East Germany","Female","5","","","","5"
"Subtenant","2003","East Germany","Male","60","0.0234846086744534","0.0176591924999694","0.0293100248489375","3"
"Subtenant","2003","East Germany","Female","69","0.0308914939477712","0.0244550792371876","0.0373279086583547","3"
"Subtenant","2003","West Germany","Female","143","0.0219658822420685","0.0189017678020825","0.0250299966820546","3"
"Subtenant","2003","West Germany","Male","128","0.0215130689643314","0.0183602574217175","0.0246658805069454","3"
"Tenant","2003","West Germany","Female","1","","","","4"
"Tenant","2003","East Germany","Female","","","","","4"
"Tenant","2003","West Germany","Male","","","","","4"
"Tenant","2003","East Germany","Male","","","","","4"
"Main tenant","2004","East Germany","Male","1227","0.574178687415741","0.554842292613837","0.593515082217646","2"
"Main tenant","2004","East Germany","Female","1428","0.601113594513905","0.582788843609705","0.619438345418105","2"
"Main tenant","2004","West Germany","Female","3728","0.488010095056705","0.477421680304054","0.498598509809355","2"
"Main tenant","2004","West Germany","Male","3300","0.483948542324432","0.472940404303257","0.494956680345606","2"
"Owner","2004","West Germany","Male","4506","0.496834744171903","0.485821149978069","0.507848338365737","1"
"Owner","2004","West Germany","Female","4671","0.483753720929896","0.473167853058973","0.49433958880082","1"
"Owner","2004","East Germany","Male","1222","0.399147001906624","0.379996117914527","0.418297885898722","1"
"Owner","2004","East Germany","Female","1248","0.366035269497654","0.348008031062195","0.384062507933112","1"
"Resident or shared accommodation","2004","West Germany","Male","5","","","","5"
"Resident or shared accommodation","2004","West Germany","Female","24","","","","5"
"Resident or shared accommodation","2004","East Germany","Male","","","","","5"
"Resident or shared accommodation","2004","East Germany","Female","8","","","","5"
"Subtenant","2004","East Germany","Female","59","0.0262555758762634","0.0202718945900056","0.0322392571625212","3"
"Subtenant","2004","East Germany","Male","63","0.0266743106776343","0.0203732455418504","0.0329753758134182","3"
"Subtenant","2004","West Germany","Female","136","0.0225534508980201","0.0194083190770149","0.0256985827190253","3"
"Subtenant","2004","West Germany","Male","105","0.0179622442124095","0.0150366629925366","0.0208878254322825","3"
"Tenant","2004","West Germany","Female","2","","","","4"
"Tenant","2004","East Germany","Male","","","","","4"
"Tenant","2004","East Germany","Female","","","","","4"
"Tenant","2004","West Germany","Male","1","","","","4"
"Main tenant","2005","East Germany","Female","1343","0.600080025151252","0.581368301493577","0.618791748808928","2"
"Main tenant","2005","East Germany","Male","1166","0.579716299787448","0.560090652764824","0.599341946810072","2"
"Main tenant","2005","West Germany","Male","3142","0.490891345342623","0.47958941482635","0.502193275858897","2"
"Main tenant","2005","West Germany","Female","3601","0.498812573522231","0.488011567958671","0.509613579085791","2"
"Owner","2005","West Germany","Male","4246","0.483985412731715","0.472687405955181","0.495283419508249","1"
"Owner","2005","West Germany","Female","4445","0.469850360313371","0.459068978473371","0.480631742153371","1"
"Owner","2005","East Germany","Male","1215","0.399766733178929","0.380290349981487","0.41924311637637","1"
"Owner","2005","East Germany","Female","1223","0.362128187801393","0.343770392092499","0.380485983510286","1"
"Resident or shared accommodation","2005","West Germany","Male","5","","","","5"
"Resident or shared accommodation","2005","West Germany","Female","22","","","","5"
"Resident or shared accommodation","2005","East Germany","Male","","","","","5"
"Resident or shared accommodation","2005","East Germany","Female","10","","","","5"
"Subtenant","2005","West Germany","Female","164","0.0261172269928887","0.0226720440860633","0.0295624098997141","3"
"Subtenant","2005","East Germany","Male","48","0.020386110786814","0.0147673620524767","0.0260048595211513","3"
"Subtenant","2005","East Germany","Female","56","0.0295034432739927","0.0230401179960361","0.0359667685519492","3"
"Subtenant","2005","West Germany","Male","123","0.0239623356269509","0.0205049122252884","0.0274197590286133","3"
"Tenant","2005","West Germany","Male","","","","","4"
"Tenant","2005","East Germany","Male","1","","","","4"
"Tenant","2005","West Germany","Female","","","","","4"
"Tenant","2005","East Germany","Female","1","","","","4"
"Main tenant","2006","West Germany","Female","3862","0.507512189831577","0.497126157451855","0.517898222211299","2"
"Main tenant","2006","East Germany","Female","1428","0.604644217656737","0.586544135687764","0.62274429962571","2"
"Main tenant","2006","East Germany","Male","1227","0.573182810168842","0.554130414349785","0.5922352059879","2"
"Main tenant","2006","West Germany","Male","3289","0.491188192357521","0.480291773924303","0.502084610790739","2"
"Owner","2006","West Germany","Male","4683","0.490451622398249","0.47955549877734","0.501347746019157","1"
"Owner","2006","West Germany","Female","4877","0.463765820925834","0.453405927071183","0.474125714780485","1"
"Owner","2006","East Germany","Male","1297","0.397080985739582","0.378233600756979","0.415928370722186","1"
"Owner","2006","East Germany","Female","1299","0.361940787337327","0.344150383877192","0.379731190797461","1"
"Resident or shared accommodation","2006","West Germany","Male","7","","","","5"
"Resident or shared accommodation","2006","West Germany","Female","26","","","","5"
"Resident or shared accommodation","2006","East Germany","Male","2","","","","5"
"Resident or shared accommodation","2006","East Germany","Female","11","","","","5"
"Subtenant","2006","East Germany","Male","62","0.0284010664165646","0.022002349394909","0.0347997834382202","3"
"Subtenant","2006","West Germany","Female","136","0.0243031330822498","0.0211041107031801","0.0275021554613194","3"
"Subtenant","2006","West Germany","Male","107","0.0169090966541608","0.0140988899559377","0.0197193033523839","3"
"Subtenant","2006","East Germany","Female","64","0.0262219641705125","0.0203063595535098","0.0321375687875152","3"
"Tenant","2006","East Germany","Female","1","","","","4"
"Tenant","2006","West Germany","Male","","","","","4"
"Tenant","2006","West Germany","Female","","","","","4"
"Tenant","2006","East Germany","Male","1","","","","4"
"Main tenant","2007","East Germany","Male","1171","0.559861869861367","0.540249628633955","0.579474111088779","2"
"Main tenant","2007","West Germany","Female","3581","0.49872167878608","0.487974720845804","0.509468636726355","2"
"Main tenant","2007","East Germany","Female","1366","0.606571258482414","0.587982370006361","0.625160146958467","2"
"Main tenant","2007","West Germany","Male","3039","0.481394521282336","0.470113542873325","0.492675499691347","2"
"Owner","2007","West Germany","Male","4380","0.496396127949243","0.485107624525725","0.507684631372762","1"
"Owner","2007","West Germany","Female","4570","0.472088435498986","0.461358200507541","0.48281867049043","1"
"Owner","2007","East Germany","Female","1219","0.358311139412198","0.3400649629312","0.376557315893195","1"
"Owner","2007","East Germany","Male","1238","0.407689556956544","0.388274808298046","0.427104305615042","1"
"Resident or shared accommodation","2007","West Germany","Male","9","","","","5"
"Resident or shared accommodation","2007","West Germany","Female","28","","","","5"
"Resident or shared accommodation","2007","East Germany","Male","1","","","","5"
"Resident or shared accommodation","2007","East Germany","Female","12","","","","5"
"Subtenant","2007","West Germany","Male","108","0.0200041312721434","0.0168429484269397","0.0231653141173471","3"
"Subtenant","2007","West Germany","Female","136","0.0239269758641775","0.0206422281042443","0.0272117236241107","3"
"Subtenant","2007","East Germany","Male","50","0.0318059770577451","0.0248728708454628","0.0387390832700273","3"
"Subtenant","2007","East Germany","Female","55","0.02649027652915","0.0203795498532025","0.0326010032050974","3"
"Tenant","2007","West Germany","Female","","","","","4"
"Tenant","2007","East Germany","Female","1","","","","4"
"Tenant","2007","West Germany","Male","","","","","4"
"Tenant","2007","East Germany","Male","1","","","","4"
"Main tenant","2008","West Germany","Male","2786","0.474141736682804","0.462485112891165","0.485798360474442","2"
"Main tenant","2008","East Germany","Male","1104","0.547240636148272","0.527055366198777","0.567425906097766","2"
"Main tenant","2008","East Germany","Female","1292","0.588532357383449","0.569230822916157","0.60783389185074","2"
"Main tenant","2008","West Germany","Female","3278","0.490335467674273","0.479244273186431","0.501426662162115","2"
"Owner","2008","West Germany","Male","4155","0.504292565337413","0.492620751964651","0.515964378710175","1"
"Owner","2008","West Germany","Female","4365","0.481146831942031","0.470061453797473","0.492232210086588","1"
"Owner","2008","East Germany","Male","1180","0.413311787596619","0.393342882691022","0.433280692502215","1"
"Owner","2008","East Germany","Female","1143","0.373127066430489","0.354157519598276","0.392096613262702","1"
"Resident or shared accommodation","2008","West Germany","Male","9","","","","5"
"Resident or shared accommodation","2008","West Germany","Female","27","","","","5"
"Resident or shared accommodation","2008","East Germany","Male","1","","","","5"
"Resident or shared accommodation","2008","East Germany","Female","10","","","","5"
"Subtenant","2008","West Germany","Female","134","0.0230180755285013","0.0196909649862549","0.0263451860707477","3"
"Subtenant","2008","West Germany","Male","99","0.0191669243642833","0.0159661275832414","0.0223677211453252","3"
"Subtenant","2008","East Germany","Female","51","0.0300953496312764","0.0233941425738383","0.0367965566887145","3"
"Subtenant","2008","East Germany","Male","50","0.0387982118376701","0.0309670750159618","0.0466293486593785","3"
"Tenant","2008","East Germany","Male","1","","","","4"
"Tenant","2008","West Germany","Male","","","","","4"
"Tenant","2008","West Germany","Female","","","","","4"
"Tenant","2008","East Germany","Female","1","","","","4"
"Main tenant","2009","West Germany","Female","3040","0.487438129508768","0.475896583274398","0.498979675743139","2"
"Main tenant","2009","East Germany","Female","1209","0.591941334130483","0.57220862537371","0.611674042887255","2"
"Main tenant","2009","West Germany","Male","2576","0.467351368178703","0.455283242649131","0.479419493708276","2"
"Main tenant","2009","East Germany","Male","1008","0.530567506551548","0.509755826944077","0.551379186159019","2"
"Owner","2009","West Germany","Male","3883","0.509046003301","0.496954047035615","0.521137959566385","1"
"Owner","2009","West Germany","Female","4015","0.483708005900637","0.472168945901393","0.495247065899881","1"
"Owner","2009","East Germany","Male","1141","0.434793220300627","0.414120611031392","0.455465829569862","1"
"Owner","2009","East Germany","Female","1102","0.374068477111975","0.354640613875791","0.39349634034816","1"
"Resident or shared accommodation","2009","West Germany","Male","10","","","","5"
"Resident or shared accommodation","2009","West Germany","Female","24","","","","5"
"Resident or shared accommodation","2009","East Germany","Male","","","","","5"
"Resident or shared accommodation","2009","East Germany","Female","6","","","","5"
"Subtenant","2009","West Germany","Male","97","0.0210127478555935","0.0175435617785163","0.0244819339326708","3"
"Subtenant","2009","West Germany","Female","126","0.0238156542742668","0.020294960303876","0.0273363482446576","3"
"Subtenant","2009","East Germany","Male","59","0.0345164808140675","0.0269038298075275","0.0421291318206075","3"
"Subtenant","2009","East Germany","Female","65","0.0295882641758068","0.022784898200706","0.0363916301509076","3"
"Tenant","2009","East Germany","Female","1","","","","4"
"Tenant","2009","West Germany","Male","","","","","4"
"Tenant","2009","East Germany","Male","1","","","","4"
"Tenant","2009","West Germany","Female","","","","","4"
"Main tenant","2010","West Germany","Female","4997","0.485853692307193","0.476203381954139","0.495504002660246","2"
"Main tenant","2010","East Germany","Male","1252","0.531132061198786","0.511728909201527","0.550535213196046","2"
"Main tenant","2010","East Germany","Female","1669","0.57900846617408","0.561329521992567","0.596687410355593","2"
"Main tenant","2010","West Germany","Male","3690","0.459179088593254","0.448641432515402","0.469716744671106","2"
"Owner","2010","West Germany","Male","4786","0.517533238963124","0.506966790121131","0.528099687805117","1"
"Owner","2010","West Germany","Female","5139","0.487649665533394","0.477998436024666","0.497300895042122","1"
"Owner","2010","East Germany","Male","1233","0.440678237363438","0.421374676949843","0.459981797777032","1"
"Owner","2010","East Germany","Female","1243","0.389173801283736","0.37171526568964","0.406632336877832","1"
"Resident or shared accommodation","2010","East Germany","Male","1","","","","5"
"Resident or shared accommodation","2010","West Germany","Male","10","","","","5"
"Resident or shared accommodation","2010","West Germany","Female","24","","","","5"
"Resident or shared accommodation","2010","East Germany","Female","6","","","","5"
"Subtenant","2010","West Germany","Male","103","0.0199270075300486","0.0169718782514982","0.0228821368085989","3"
"Subtenant","2010","East Germany","Female","76","0.0275517921451014","0.0216906081726208","0.0334129761175821","3"
"Subtenant","2010","East Germany","Male","53","0.0273085391971324","0.0209715561579714","0.0336455222362935","3"
"Subtenant","2010","West Germany","Female","143","0.0215576744889753","0.0187534438080308","0.0243619051699198","3"
"Tenant","2010","East Germany","Female","2","","","","4"
"Tenant","2010","West Germany","Female","1","","","","4"
"Tenant","2010","West Germany","Male","2","","","","4"
"Tenant","2010","East Germany","Male","2","","","","4"
"Main tenant","2011","West Germany","Male","4260","0.44899971325198","0.43936780692322","0.458631619580741","2"
"Main tenant","2011","East Germany","Male","1485","0.541294715875544","0.523270605813059","0.559318825938029","2"
"Main tenant","2011","West Germany","Female","5839","0.476019051321688","0.467213756307193","0.484824346336184","2"
"Main tenant","2011","East Germany","Female","2016","0.600960245362699","0.584683157797699","0.617237332927698","2"
"Owner","2011","West Germany","Male","5847","0.529659522637037","0.519994166159209","0.539324879114864","1"
"Owner","2011","West Germany","Female","6349","0.501313894820835","0.492498485134633","0.510129304507036","1"
"Owner","2011","East Germany","Male","1395","0.430325081106354","0.412415643652071","0.448234518560637","1"
"Owner","2011","East Germany","Female","1397","0.37789290015658","0.361776698578598","0.394009101734563","1"
"Resident or shared accommodation","2011","East Germany","Male","4","","","","5"
"Resident or shared accommodation","2011","West Germany","Male","13","","","","5"
"Resident or shared accommodation","2011","West Germany","Female","27","","","","5"
"Resident or shared accommodation","2011","East Germany","Female","8","","","","5"
"Subtenant","2011","East Germany","Female","54","0.0173100825609321","0.0129749381874464","0.0216452269344178","3"
"Subtenant","2011","West Germany","Male","122","0.0187633023920692","0.0161357291166075","0.0213908756675309","3"
"Subtenant","2011","West Germany","Female","142","0.0181291681283003","0.0157768821854339","0.0204814540711668","3"
"Subtenant","2011","East Germany","Male","50","0.0262317971151613","0.0204506784716158","0.0320129157587067","3"
"Tenant","2011","East Germany","Male","2","","","","4"
"Tenant","2011","East Germany","Female","2","","","","4"
"Tenant","2011","West Germany","Female","1","","","","4"
"Tenant","2011","West Germany","Male","2","","","","4"
"Main tenant","2012","East Germany","Female","1975","0.597779884677946","0.581307523474145","0.614252245881746","2"
"Main tenant","2012","West Germany","Male","4155","0.453696320127315","0.443930797375229","0.463461842879401","2"
"Main tenant","2012","West Germany","Female","5637","0.478496984740482","0.469563756218702","0.487430213262262","2"
"Main tenant","2012","East Germany","Male","1475","0.54270914210766","0.524502348106888","0.560915936108432","2"
"Owner","2012","West Germany","Male","5722","0.529115992270744","0.519324965919227","0.538907018622261","1"
"Owner","2012","West Germany","Female","6225","0.500248391485759","0.491306891503938","0.50918989146758","1"
"Owner","2012","East Germany","Male","1340","0.429995490700083","0.411901900638819","0.448089080761347","1"
"Owner","2012","East Germany","Female","1347","0.369073993613536","0.352863387552907","0.385284599674165","1"
"Resident or shared accommodation","2012","West Germany","Female","18","","","","5"
"Resident or shared accommodation","2012","East Germany","Male","3","","","","5"
"Resident or shared accommodation","2012","West Germany","Male","7","","","","5"
"Resident or shared accommodation","2012","East Germany","Female","9","","","","5"
"Subtenant","2012","East Germany","Female","72","0.0292542908548789","0.0235931906453877","0.0349153910643702","3"
"Subtenant","2012","East Germany","Male","56","0.0255791299216779","0.0198092095111341","0.0313490503322217","3"
"Subtenant","2012","West Germany","Female","131","0.0181731329610025","0.015784371480357","0.020561894441648","3"
"Subtenant","2012","West Germany","Male","98","0.0156524037026666","0.0132176189820177","0.0180871884233156","3"
"Tenant","2012","East Germany","Female","1","","","","4"
"Tenant","2012","East Germany","Male","2","","","","4"
"Tenant","2012","West Germany","Male","2","","","","4"
"Tenant","2012","West Germany","Female","1","","","","4"
"Main tenant","2013","West Germany","Female","7035","0.476909215395906","0.468519222180483","0.485299208611329","2"
"Main tenant","2013","East Germany","Female","2007","0.580418035458917","0.563813183167659","0.597022887750175","2"
"Main tenant","2013","West Germany","Male","5460","0.456250209610095","0.447131802490455","0.465368616729736","2"
"Main tenant","2013","East Germany","Male","1504","0.51961927763527","0.501267008466811","0.537971546803729","2"
"Owner","2013","West Germany","Male","5867","0.529129823000131","0.519991855661759","0.538267790338502","1"
"Owner","2013","West Germany","Female","6408","0.503846451741468","0.495447745895703","0.512245157587233","1"
"Owner","2013","East Germany","Male","1286","0.449557256689457","0.431284547648037","0.467829965730877","1"
"Owner","2013","East Germany","Female","1312","0.389517947381406","0.373109920908042","0.405925973854769","1"
"Resident or shared accommodation","2013","East Germany","Male","5","","","","5"
"Resident or shared accommodation","2013","East Germany","Female","9","","","","5"
"Resident or shared accommodation","2013","West Germany","Female","23","","","","5"
"Resident or shared accommodation","2013","West Germany","Male","8","","","","5"
"Subtenant","2013","East Germany","Female","64","0.0258623967770793","0.0205216658229217","0.0312031277312369","3"
"Subtenant","2013","East Germany","Male","50","0.0276997343359129","0.0216714689735773","0.0337279996982486","3"
"Subtenant","2013","West Germany","Male","127","0.0134244142077734","0.0113175781485119","0.0155312502670348","3"
"Subtenant","2013","West Germany","Female","148","0.0155872432244021","0.0135064520819016","0.0176680343669026","3"
"Tenant","2013","East Germany","Female","1","","","","4"
"Tenant","2013","West Germany","Female","","","","","4"
"Tenant","2013","East Germany","Male","2","","","","4"
"Tenant","2013","West Germany","Male","","","","","4"
"Main tenant","2014","East Germany","Male","1386","0.536057028660217","0.516910119249691","0.555203938070742","2"
"Main tenant","2014","East Germany","Female","1822","0.591086087593481","0.573774029674078","0.608398145512884","2"
"Main tenant","2014","West Germany","Male","4711","0.46490528741124","0.455214543557695","0.474596031264785","2"
"Main tenant","2014","West Germany","Female","5936","0.474501317328772","0.465531787489679","0.483470847167866","2"
"Owner","2014","West Germany","Male","5350","0.521869279263797","0.51216387271303","0.531574685814563","1"
"Owner","2014","West Germany","Female","5810","0.505362968360263","0.496382268692928","0.514343668027597","1"
"Owner","2014","East Germany","Male","1171","0.432058497181908","0.413039659854186","0.451077334509631","1"
"Owner","2014","East Germany","Female","1203","0.369083342028258","0.352090907564373","0.386075776492144","1"
"Resident or shared accommodation","2014","East Germany","Male","4","","","","5"
"Resident or shared accommodation","2014","West Germany","Female","22","","","","5"
"Resident or shared accommodation","2014","East Germany","Female","7","","","","5"
"Resident or shared accommodation","2014","West Germany","Male","9","","","","5"
"Subtenant","2014","East Germany","Female","65","0.0357227731844259","0.0291872415299736","0.0422583048388783","3"
"Subtenant","2014","East Germany","Male","43","0.0289273463772465","0.0224924575922783","0.0353622351622148","3"
"Subtenant","2014","West Germany","Female","138","0.0168589215198744","0.0145463883664445","0.0191714546733043","3"
"Subtenant","2014","West Germany","Male","106","0.0118154939077977","0.00971604890515778","0.0139149389104377","3"
"Tenant","2014","East Germany","Male","2","","","","4"
"Tenant","2014","West Germany","Female","","","","","4"
"Tenant","2014","East Germany","Female","1","","","","4"
"Tenant","2014","West Germany","Male","","","","","4"
"Main tenant","2015","West Germany","Male","4878","0.460593026960429","0.450888494911344","0.470297559009514","2"
"Main tenant","2015","East Germany","Female","1790","0.598580334143362","0.581060018677202","0.616100649609521","2"
"Main tenant","2015","East Germany","Male","1375","0.549733213603828","0.530362049043654","0.569104378164002","2"
"Main tenant","2015","West Germany","Female","6087","0.472839779501333","0.463845723533148","0.481833835469518","2"
"Owner","2015","West Germany","Male","5093","0.519563001316535","0.509835641694475","0.529290360938596","1"
"Owner","2015","West Germany","Female","5581","0.508180074002921","0.499173924679767","0.517186223326075","1"
"Owner","2015","East Germany","Male","1115","0.429304392391121","0.410032262382885","0.448576522399358","1"
"Owner","2015","East Germany","Female","1152","0.372366012319741","0.355086971894906","0.389645052744576","1"
"Resident or shared accommodation","2015","East Germany","Male","5","","","","5"
"Resident or shared accommodation","2015","West Germany","Female","24","","","","5"
"Resident or shared accommodation","2015","East Germany","Female","7","","","","5"
"Resident or shared accommodation","2015","West Germany","Male","12","","","","5"
"Subtenant","2015","East Germany","Female","58","0.0250735438785694","0.0194853023880703","0.0306617853690685","3"
"Subtenant","2015","East Germany","Male","39","0.0175626081914022","0.0124482430212208","0.0226769733615835","3"
"Subtenant","2015","West Germany","Female","145","0.015577736291122","0.0133468873964569","0.0178085851857871","3"
"Subtenant","2015","West Germany","Male","151","0.0180492299521815","0.0154572488097354","0.0206412110946277","3"
"Tenant","2015","East Germany","Male","","","","","4"
"Tenant","2015","East Germany","Female","","","","","4"
"Tenant","2015","West Germany","Male","","","","","4"
"Tenant","2015","West Germany","Female","","","","","4"
"Main tenant","2016","West Germany","Male","4238","0.459107653044272","0.448869064762436","0.469346241326108","2"
"Main tenant","2016","West Germany","Female","5374","0.472475380313611","0.463010593710746","0.481940166916475","2"
"Main tenant","2016","East Germany","Female","1629","0.582611779275435","0.564404824168291","0.600818734382578","2"
"Main tenant","2016","East Germany","Male","1241","0.533282486747346","0.513111837865554","0.553453135629137","2"
"Owner","2016","West Germany","Male","4734","0.520479557201124","0.510215175437328","0.530743938964919","1"
"Owner","2016","West Germany","Female","5152","0.505112879624482","0.495634214823558","0.514591544425406","1"
"Owner","2016","East Germany","Male","1060","0.432356910145778","0.412327274933749","0.452386545357807","1"
"Owner","2016","East Germany","Female","1125","0.381832803079728","0.363895085077283","0.399770521082173","1"
"Resident or shared accommodation","2016","West Germany","Female","26","","","","5"
"Resident or shared accommodation","2016","East Germany","Male","4","","","","5"
"Resident or shared accommodation","2016","West Germany","Male","9","","","","5"
"Resident or shared accommodation","2016","East Germany","Female","7","","","","5"
"Subtenant","2016","East Germany","Male","45","0.0313527139091653","0.0243068449357352","0.0383985828825954","3"
"Subtenant","2016","East Germany","Female","57","0.0315573708623577","0.0251028359755012","0.0380119057492142","3"
"Subtenant","2016","West Germany","Female","136","0.0175749891974224","0.0150838550953993","0.0200661232994455","3"
"Subtenant","2016","West Germany","Male","119","0.0187483718159833","0.0159616130946212","0.0215351305373454","3"
"Tenant","2016","West Germany","Female","","","","","4"
"Tenant","2016","East Germany","Female","","","","","4"
"Tenant","2016","West Germany","Male","","","","","4"
"Tenant","2016","East Germany","Male","","","","","4"
"Main tenant","2017","West Germany","Male","5783","0.457915981875981","0.448866122212191","0.466965841539771","2"
"Main tenant","2017","East Germany","Male","1625","0.538979110284897","0.521084865588466","0.556873354981328","2"
"Main tenant","2017","West Germany","Female","6630","0.471540362868561","0.462854764562494","0.480225961174628","2"
"Main tenant","2017","East Germany","Female","1946","0.570004340282689","0.553217035688815","0.586791644876563","2"
"Owner","2017","West Germany","Male","5251","0.513571985190057","0.504493244859312","0.522650725520802","1"
"Owner","2017","West Germany","Female","5688","0.50484045982682","0.496141165101981","0.513539754551659","1"
"Owner","2017","East Germany","Male","1188","0.414471341570236","0.396787018734618","0.432155664405854","1"
"Owner","2017","East Germany","Female","1280","0.393180156436061","0.376617288621043","0.409743024251079","1"
"Resident or shared accommodation","2017","West Germany","Female","173","0.00551386376498107","0.00422543095785743","0.00680229657210471","5"
"Resident or shared accommodation","2017","East Germany","Male","81","0.00817552413313083","0.00494299597870344","0.0114080522875582","5"
"Resident or shared accommodation","2017","West Germany","Male","373","0.00620678782016407","0.00478020462128827","0.00763337101903986","5"
"Resident or shared accommodation","2017","East Germany","Female","43","0.00629153601446019","0.0036104071316723","0.00897266489724808","5"
"Subtenant","2017","East Germany","Female","72","0.03052396726679","0.0246908745273593","0.0363570600062207","3"
"Subtenant","2017","East Germany","Male","87","0.0383740240117366","0.0314781571561537","0.0452698908673195","3"
"Subtenant","2017","West Germany","Female","198","0.018105313539638","0.015785410294945","0.0204252167843309","3"
"Subtenant","2017","West Germany","Male","236","0.0223052451137977","0.0196228621325568","0.0249876280950385","3"
"Tenant","2017","West Germany","Female","","","","","4"
"Tenant","2017","East Germany","Male","","","","","4"
"Tenant","2017","East Germany","Female","","","","","4"
"Tenant","2017","West Germany","Male","","","","","4"
"Main tenant","2018","East Germany","Female","1969","0.578780518885623","0.56189331706889","0.595667720702355","2"
"Main tenant","2018","West Germany","Male","6185","0.456707539145297","0.447731357173211","0.465683721117384","2"
"Main tenant","2018","East Germany","Male","1707","0.531695792590553","0.513731726961256","0.54965985821985","2"
"Main tenant","2018","West Germany","Female","6839","0.474248303332073","0.465530208521186","0.48296639814296","2"
"Owner","2018","West Germany","Male","4957","0.516950097977722","0.507945257391174","0.525954938564269","1"
"Owner","2018","West Germany","Female","5370","0.5050080164998","0.496278773723013","0.513737259276587","1"
"Owner","2018","East Germany","Male","1126","0.429985741070651","0.412162820229577","0.447808661911725","1"
"Owner","2018","East Germany","Female","1223","0.392305333995131","0.375605915997845","0.409004751992416","1"
"Resident or shared accommodation","2018","West Germany","Male","492","0.00883120444231169","0.00714527459815063","0.0105171342864727","5"
"Resident or shared accommodation","2018","West Germany","Female","212","0.00433721546758005","0.0031898811347396","0.00548454980042049","5"
"Resident or shared accommodation","2018","East Germany","Male","69","0.00793827739619516","0.00474349359705379","0.0111330611953365","5"
"Resident or shared accommodation","2018","East Germany","Female","33","0.00959679446386895","0.00626241031879611","0.0129311786089418","5"
"Subtenant","2018","West Germany","Female","180","0.0161359303519432","0.0139360811615222","0.0183357795423642","3"
"Subtenant","2018","East Germany","Male","62","0.0303801889426009","0.024201377149406","0.0365590007357958","3"
"Subtenant","2018","East Germany","Female","59","0.0193173526553775","0.0146099151155497","0.0240247901952053","3"
"Subtenant","2018","West Germany","Male","196","0.0175111584346692","0.015147542165019","0.0198747747043195","3"
"Tenant","2018","West Germany","Male","","","","","4"
"Tenant","2018","East Germany","Male","","","","","4"
"Tenant","2018","West Germany","Female","1","","","","4"
"Tenant","2018","East Germany","Female","","","","","4"
"Main tenant","2019","West Germany","Male","5793","0.458091073224471","0.449134688103848","0.467047458345094","2"
"Main tenant","2019","West Germany","Female","6222","0.470631256402163","0.461726296293242","0.479536216511084","2"
"Main tenant","2019","East Germany","Female","1797","0.55519776469895","0.537917642131016","0.572477887266884","2"
"Main tenant","2019","East Germany","Male","1558","0.507055905159044","0.489159778969769","0.524952031348318","2"
"Owner","2019","West Germany","Male","5524","0.516508810212492","0.50752569764064","0.525491922784344","1"
"Owner","2019","West Germany","Female","5481","0.506085556882195","0.497165856180027","0.515005257584364","1"
"Owner","2019","East Germany","Male","1340","0.455665242338954","0.437837831990017","0.473492652687892","1"
"Owner","2019","East Germany","Female","1300","0.412982583783845","0.39586151605062","0.43010365151707","1"
"Resident or shared accommodation","2019","West Germany","Male","319","0.00717440248415125","0.00565727161798506","0.00869153335031744","5"
"Resident or shared accommodation","2019","West Germany","Female","151","0.00555368063798464","0.00422783314783937","0.0068795281281299","5"
"Resident or shared accommodation","2019","East Germany","Male","42","0.00671982633143903","0.00379535623599935","0.00964429642687872","5"
"Resident or shared accommodation","2019","East Germany","Female","23","","","","5"
"Subtenant","2019","East Germany","Male","58","0.0305590261705632","0.0243978629009186","0.0367201894402077","3"
"Subtenant","2019","West Germany","Female","215","0.017729506077657","0.0153751274044601","0.0200838847508538","3"
"Subtenant","2019","West Germany","Male","252","0.0182257140788857","0.0158211198757156","0.0206303082820558","3"
