"year","age_gr","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1994","16-34 y.","vocational + Abi","","","","","","","","","","","","","",""
"1994","35-65 y.","general elemantary","","","","","","","","","","","","","",""
"1994","35-65 y.","higher education","","","","","","","","","","","","","",""
"1994","35-65 y.","higher vocational","","","","","","","","","","","","","",""
"1994","35-65 y.","in school","","","","","","","","","","","","","",""
"1994","35-65 y.","inadequately","","","","","","","","","","","","","",""
"1994","35-65 y.","middle vocational","","","","","","","","","","","","","",""
"1994","35-65 y.","vocational + Abi","","","","","","","","","","","","","",""
"1994","66 and older","general elemantary","","","","","","","","","","","","","",""
"1994","66 and older","higher education","","","","","","","","","","","","","",""
"1994","66 and older","higher vocational","","","","","","","","","","","","","",""
"1994","66 and older","in school","","","","","","","","","","","","","",""
"1994","66 and older","inadequately","","","","","","","","","","","","","",""
"1994","66 and older","middle vocational","","","","","","","","","","","","","",""
"1994","66 and older","vocational + Abi","","","","","","","","","","","","","",""
"1995","16-34 y.","general elemantary","","","","","","","","","","","","","",""
"1995","16-34 y.","higher education","","","","","","","","","","","","","",""
"1995","16-34 y.","higher vocational","","","","","","","","","","","","","",""
"1995","16-34 y.","in school","","","","","","","","","","","","","",""
"1995","16-34 y.","inadequately","","","","","","","","","","","","","",""
"1995","16-34 y.","middle vocational","","","","","","","","","","","","","",""
"1995","16-34 y.","vocational + Abi","","","","","","","","","","","","","",""
"1995","35-65 y.","general elemantary","","","","","","","","","","","","","",""
"1995","35-65 y.","higher education","","","","","","","","","","","","","",""
"1995","35-65 y.","higher vocational","","","","","","","","","","","","","",""
"1995","35-65 y.","in school","","","","","","","","","","","","","",""
"1995","35-65 y.","inadequately","","","","","","","","","","","","","",""
"1995","35-65 y.","middle vocational","","","","","","","","","","","","","",""
"1995","35-65 y.","vocational + Abi","","","","","","","","","","","","","",""
"1995","66 and older","general elemantary","","","","","","","","","","","","","",""
"1995","66 and older","higher education","","","","","","","","","","","","","",""
"1995","66 and older","higher vocational","","","","","","","","","","","","","",""
"1995","66 and older","in school","","","","","","","","","","","","","",""
"1995","66 and older","inadequately","","","","","","","","","","","","","",""
"1995","66 and older","middle vocational","","","","","","","","","","","","","",""
"1995","66 and older","vocational + Abi","","","","","","","","","","","","","",""
"1996","16-34 y.","general elemantary","2.26","2","853","1","1","3","4","4","2.19","2.33","1","4","2","2"
"1996","16-34 y.","higher education","2.16","2","421","1","1","3","4","4","2.06","2.26","1","4","2","2"
"1996","16-34 y.","higher vocational","2.18","2","222","1","1","3","4","4","2.04","2.32","1","4","2","2"
"1996","16-34 y.","in school","2.25","2","286","1","1","3","4","4","2.14","2.36","1","4","2","2"
"1996","16-34 y.","inadequately","2.64","3","110","1","2","3","4","4","2.46","2.82","1","4","3","3"
"1996","16-34 y.","middle vocational","2.18","2","2344","1","1","3","4","4","2.14","2.22","1","4","2","2"
"1996","16-34 y.","vocational + Abi","2.11","2","268","1","1","3","4","4","1.99","2.23","1","4","2","2"
"1996","35-65 y.","general elemantary","2.46","2","1026","1","2","3","4","4","2.4","2.52","1","4","2","3"
"1996","35-65 y.","higher education","2.07","2","1171","1","1","3","3","4","2.02","2.12","1","4","2","2"
"1996","35-65 y.","higher vocational","2.16","2","455","1","1","3","4","4","2.07","2.25","1","4","2","2"
"1996","35-65 y.","in school","","","","","","","","","","","","","",""
"1996","35-65 y.","inadequately","2.64","3","323","1","2","3","4","4","2.53","2.75","1","4","3","3"
"1996","35-65 y.","middle vocational","2.25","2","3419","1","1","3","4","4","2.22","2.28","1","4","2","2"
"1996","35-65 y.","vocational + Abi","2.37","2","175","1","1","3","4","4","2.21","2.53","1","4","2","3"
